Time,Washington,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:06.0, ,11-19,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by C. Cunningham),,1,19,11,8,294.0
6:51.0,T. Jones makes 3-pt jump shot from 25 ft (assist by K. Kuzma),14-19, ,,1,19,14,5,309.0
6:43.0, ,14-19,Shooting foul by D. Avdija (drawn by C. Cunningham),,1,19,14,5,317.0
6:43.0, ,14-19,C. Cunningham misses free throw 1 of 2,,1,19,14,5,317.0
6:43.0, ,14-19,Offensive rebound by Team,,1,19,14,5,317.0
6:43.0,B. Coulibaly enters the game for D. Avdija,14-19, ,,1,19,14,5,317.0
6:43.0,C. Kispert enters the game for J. Poole,14-19, ,,1,19,14,5,317.0
6:43.0, ,14-20,C. Cunningham makes free throw 2 of 2,,1,20,14,6,317.0
6:22.0,K. Kuzma misses 2-pt jump shot from 5 ft,14-20, ,,1,20,14,6,338.0
6:20.0, ,14-20,Defensive rebound by C. Cunningham,,1,20,14,6,340.0
6:15.0, ,14-22,J. Ivey makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,22,14,8,345.0
5:59.0,T. Jones misses 2-pt jump shot from 4 ft,14-22, ,,1,22,14,8,361.0
5:57.0, ,14-22,Defensive rebound by I. Stewart,,1,22,14,8,363.0
5:45.0, ,14-22,Shooting foul by T. Jones (drawn by I. Stewart),,1,22,14,8,375.0
5:45.0, ,14-23,I. Stewart makes free throw 1 of 2,,1,23,14,9,375.0
5:45.0, ,14-24,I. Stewart makes free throw 2 of 2,,1,24,14,10,375.0
5:29.0,B. Coulibaly misses 2-pt layup from 2 ft (block by J. Ivey),14-24, ,,1,24,14,10,391.0
5:27.0, ,14-24,Defensive rebound by J. Duren,,1,24,14,10,393.0
5:22.0, ,14-24,C. Cunningham misses 2-pt layup from 4 ft (block by T. Jones),,1,24,14,10,398.0
5:21.0, ,14-24,Offensive rebound by Team,,1,24,14,10,399.0
5:21.0, ,14-24,A. Thompson enters the game for J. Ivey,,1,24,14,10,399.0
5:06.0, ,14-24,Turnover by C. Cunningham (bad pass; steal by B. Coulibaly),,1,24,14,10,414.0
4:52.0,D. Gafford makes 2-pt hook shot from 2 ft (assist by K. Kuzma),16-24, ,,1,24,16,8,428.0
4:37.0, ,16-24,Shooting foul by B. Coulibaly (drawn by B. Bogdanović),,1,24,16,8,443.0
4:37.0, ,16-25,B. Bogdanović makes free throw 1 of 2,,1,25,16,9,443.0
4:37.0,M. Bagley enters the game for D. Gafford,16-25, ,,1,25,16,9,443.0
4:37.0, ,16-25,M. Morris enters the game for C. Cunningham,,1,25,16,9,443.0
4:37.0, ,16-25,M. Muscala enters the game for J. Duren,,1,25,16,9,443.0
4:37.0, ,16-26,B. Bogdanović makes free throw 2 of 2,,1,26,16,10,443.0
4:24.0,C. Kispert misses 3-pt jump shot from 25 ft,16-26, ,,1,26,16,10,456.0
4:22.0, ,16-26,Defensive rebound by Team,,1,26,16,10,458.0
4:22.0,Loose ball foul by M. Bagley (drawn by M. Muscala),16-26, ,,1,26,16,10,458.0
4:22.0, ,16-26,A. Burks enters the game for B. Bogdanović,,1,26,16,10,458.0
3:59.0, ,16-26,A. Burks misses 3-pt jump shot from 25 ft,,1,26,16,10,481.0
3:57.0, ,16-26,Offensive rebound by I. Stewart,,1,26,16,10,483.0
3:55.0, ,16-26,M. Muscala misses 2-pt jump shot from 15 ft,,1,26,16,10,485.0
3:53.0, ,16-26,Offensive rebound by Team,,1,26,16,10,487.0
3:49.0, ,16-28,A. Thompson makes 2-pt dunk from 1 ft (assist by M. Muscala),,1,28,16,12,491.0
3:40.0,B. Coulibaly makes 2-pt layup from 1 ft (assist by M. Bagley),18-28, ,,1,28,18,10,500.0
3:40.0,Shooting foul by M. Muscala (drawn by B. Coulibaly),18-28, ,,1,28,18,10,500.0
3:40.0,D. Avdija enters the game for T. Jones,18-28, ,,1,28,18,10,500.0
3:40.0,J. Poole enters the game for K. Kuzma,18-28, ,,1,28,18,10,500.0
3:40.0, ,18-28,K. Hayes enters the game for I. Stewart,,1,28,18,10,500.0
3:40.0,B. Coulibaly makes free throw 1 of 1,19-28, ,,1,28,19,9,500.0
3:24.0, ,19-28,Shooting foul by D. Avdija (drawn by M. Morris),,1,28,19,9,516.0
3:24.0, ,19-28,M. Morris misses free throw 1 of 2,,1,28,19,9,516.0
3:24.0, ,19-28,Offensive rebound by Team,,1,28,19,9,516.0
3:24.0, ,19-29,M. Morris makes free throw 2 of 2,,1,29,19,10,516.0
3:11.0,Turnover by C. Kispert (traveling),19-29, ,,1,29,19,10,529.0
2:56.0, ,19-29,A. Burks misses 2-pt jump shot from 9 ft,,1,29,19,10,544.0
2:54.0,Defensive rebound by D. Avdija,19-29, ,,1,29,19,10,546.0
2:47.0,J. Poole makes 2-pt jump shot from 21 ft,21-29, ,,1,29,21,8,553.0
2:33.0, ,21-29,M. Morris misses 2-pt layup from 5 ft (block by D. Avdija),,1,29,21,8,567.0
2:32.0,Defensive rebound by D. Avdija,21-29, ,,1,29,21,8,568.0
2:27.0,C. Kispert makes 3-pt jump shot from 24 ft (assist by D. Avdija),24-29, ,,1,29,24,5,573.0
2:26.0, ,24-29,Detroit full timeout,,1,29,24,5,574.0
2:12.0, ,24-29,K. Hayes misses 2-pt jump shot from 7 ft,,1,29,24,5,588.0
2:10.0, ,24-29,Offensive rebound by A. Thompson,,1,29,24,5,590.0
2:09.0, ,24-31,A. Thompson makes 2-pt layup at rim,,1,31,24,7,591.0
1:51.0,J. Poole makes 3-pt jump shot from 25 ft,27-31, ,,1,31,27,4,609.0
1:41.0, ,27-31,Turnover by K. Hayes (bad pass; steal by J. Poole),,1,31,27,4,619.0
1:36.0,J. Poole makes 2-pt layup from 1 ft,29-31, ,,1,31,29,2,624.0
1:18.0, ,29-31,Turnover by M. Morris (bad pass),,1,31,29,2,642.0
1:10.0,D. Avdija misses 2-pt jump shot from 4 ft,29-31, ,,1,31,29,2,650.0
1:09.0,Offensive rebound by M. Bagley,29-31, ,,1,31,29,2,651.0
1:08.0,M. Bagley makes 2-pt dunk at rim,31-31, ,Tie,1,31,31,0,652.0
0:49.0, ,31-31,A. Burks misses 2-pt jump shot from 9 ft,,1,31,31,0,671.0
0:48.0, ,31-31,Offensive rebound by A. Thompson,,1,31,31,0,672.0
0:48.0, ,31-33,A. Thompson makes 2-pt layup at rim,,1,33,31,2,672.0
0:42.0,M. Bagley misses 2-pt layup from 6 ft (block by A. Thompson),31-33, ,,1,33,31,2,678.0
0:41.0,Offensive rebound by D. Avdija,31-33, ,,1,33,31,2,679.0
0:40.0,D. Avdija misses 2-pt layup from 3 ft (block by M. Morris),31-33, ,,1,33,31,2,680.0
0:39.0,Offensive rebound by M. Bagley,31-33, ,,1,33,31,2,681.0
0:38.0,M. Bagley makes 2-pt hook shot from 4 ft,33-33, ,Tie,1,33,33,0,682.0
0:25.0, ,33-33,M. Morris misses 3-pt jump shot from 27 ft,,1,33,33,0,695.0
0:23.0,Defensive rebound by B. Coulibaly,33-33, ,,1,33,33,0,697.0
0:02.0,J. Poole makes 3-pt jump shot from 25 ft,36-33, ,Lead change,1,33,36,-3,718.0
0:01.0, ,36-33,A. Thompson misses 3-pt jump shot from 42 ft,,1,33,36,-3,719.0
0:01.0, ,36-33,Offensive rebound by Team,,1,33,36,-3,719.0
0:00.0,End of 1st quarter,36-33,,,1,33,36,-3,720.0
12:00.0,Start of 2nd quarter,36-33,,,2,33,36,-3,720.0
11:58.0,Turnover by M. Bagley (traveling),36-33, ,,2,33,36,-3,722.0
11:45.0, ,36-35,B. Bogdanović makes 2-pt jump shot from 16 ft,,2,35,36,-1,735.0
11:20.0,Shooting foul by M. Muscala (drawn by B. Coulibaly),36-35, ,,2,35,36,-1,760.0
11:20.0,B. Coulibaly makes free throw 1 of 2,37-35, ,,2,35,37,-2,760.0
11:20.0,B. Coulibaly makes free throw 2 of 2,38-35, ,,2,35,38,-3,760.0
11:06.0, ,38-35,Shooting foul by C. Kispert (drawn by A. Burks),,2,35,38,-3,774.0
11:06.0, ,38-35,A. Burks misses free throw 1 of 2,,2,35,38,-3,774.0
11:06.0, ,38-35,Offensive rebound by Team,,2,35,38,-3,774.0
11:06.0, ,38-36,A. Burks makes free throw 2 of 2,,2,36,38,-2,774.0
10:46.0,Personal foul by K. Hayes (drawn by B. Coulibaly),38-36, ,,2,36,38,-2,794.0
10:40.0,D. Wright misses 2-pt layup from 3 ft,38-36, ,,2,36,38,-2,800.0
10:37.0, ,38-36,Defensive rebound by A. Burks,,2,36,38,-2,803.0
10:29.0, ,38-36,Shooting foul by L. Shamet (drawn by B. Bogdanović),,2,36,38,-2,811.0
10:29.0, ,38-37,B. Bogdanović makes free throw 1 of 2,,2,37,38,-1,811.0
10:29.0, ,38-38,B. Bogdanović makes free throw 2 of 2,Tie,2,38,38,0,811.0
10:18.0,M. Bagley misses 2-pt layup from 4 ft (block by M. Muscala),38-38, ,,2,38,38,0,822.0
10:17.0, ,38-38,Defensive rebound by K. Hayes,,2,38,38,0,823.0
10:01.0, ,38-38,A. Burks misses 3-pt jump shot from 25 ft,,2,38,38,0,839.0
9:58.0,Defensive rebound by B. Coulibaly,38-38, ,,2,38,38,0,842.0
9:55.0,Turnover by C. Kispert (step out of bounds),38-38, ,,2,38,38,0,845.0
9:41.0, ,38-40,K. Hayes makes 2-pt layup from 2 ft,Lead change,2,40,38,2,859.0
9:34.0,L. Shamet misses 2-pt jump shot from 4 ft,38-40, ,,2,40,38,2,866.0
9:33.0, ,38-40,Defensive rebound by A. Burks,,2,40,38,2,867.0
9:30.0, ,38-40,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,40,38,2,870.0
9:27.0,Defensive rebound by B. Coulibaly,38-40, ,,2,40,38,2,873.0
9:17.0,C. Kispert misses 3-pt jump shot from 24 ft,38-40, ,,2,40,38,2,883.0
9:14.0,Offensive rebound by M. Bagley,38-40, ,,2,40,38,2,886.0
9:13.0,M. Bagley makes 2-pt layup from 1 ft,40-40, ,Tie,2,40,40,0,887.0
9:01.0, ,40-40,Shooting foul by L. Shamet (drawn by A. Burks),,2,40,40,0,899.0
9:01.0, ,40-41,A. Burks makes free throw 1 of 2,,2,41,40,1,899.0
9:01.0, ,40-42,A. Burks makes free throw 2 of 2,,2,42,40,2,899.0
8:46.0,L. Shamet misses 2-pt layup from 2 ft (block by K. Hayes),40-42, ,,2,42,40,2,914.0
8:43.0,Offensive rebound by L. Shamet,40-42, ,,2,42,40,2,917.0
8:40.0,B. Coulibaly misses 2-pt layup from 8 ft (block by A. Thompson),40-42, ,,2,42,40,2,920.0
8:40.0, ,40-42,Defensive rebound by Team,,2,42,40,2,920.0
8:40.0, ,40-42,J. Ivey enters the game for A. Burks,,2,42,40,2,920.0
8:27.0, ,40-42,Turnover by B. Bogdanović (bad pass; steal by D. Wright),,2,42,40,2,933.0
8:20.0,C. Kispert misses 2-pt jump shot from 20 ft,40-42, ,,2,42,40,2,940.0
8:17.0, ,40-42,Defensive rebound by B. Bogdanović,,2,42,40,2,943.0
8:11.0, ,40-42,M. Muscala misses 3-pt jump shot from 26 ft,,2,42,40,2,949.0
8:08.0,Defensive rebound by L. Shamet,40-42, ,,2,42,40,2,952.0
8:01.0,Def 3 sec tech foul by Team,40-42, ,,2,42,40,2,959.0
8:01.0,L. Shamet makes technical free throw,41-42, ,,2,42,41,1,959.0
8:01.0,K. Kuzma enters the game for C. Kispert,41-42, ,,2,42,41,1,959.0
8:01.0, ,41-42,C. Cunningham enters the game for K. Hayes,,2,42,41,1,959.0
8:01.0, ,41-42,J. Duren enters the game for M. Muscala,,2,42,41,1,959.0
8:01.0, ,41-42,I. Stewart enters the game for A. Thompson,,2,42,41,1,959.0
7:56.0,L. Shamet misses 3-pt jump shot from 26 ft,41-42, ,,2,42,41,1,964.0
7:54.0, ,41-42,Defensive rebound by J. Duren,,2,42,41,1,966.0
7:45.0, ,41-44,C. Cunningham makes 2-pt jump shot from 19 ft,,2,44,41,3,975.0
7:24.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by D. Wright),44-44, ,Tie,2,44,44,0,996.0
7:05.0, ,44-47,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,2,47,44,3,1015.0
6:46.0,L. Shamet misses 2-pt jump shot from 15 ft,44-47, ,,2,47,44,3,1034.0
6:44.0, ,44-47,Defensive rebound by B. Bogdanović,,2,47,44,3,1036.0
6:38.0, ,44-50,J. Ivey makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,2,50,44,6,1042.0
6:13.0,K. Kuzma misses 3-pt jump shot from 24 ft,44-50, ,,2,50,44,6,1067.0
6:11.0, ,44-50,Defensive rebound by B. Bogdanović,,2,50,44,6,1069.0
6:03.0, ,44-50,C. Cunningham misses 3-pt jump shot from 24 ft,,2,50,44,6,1077.0
5:59.0,Defensive rebound by B. Coulibaly,44-50, ,,2,50,44,6,1081.0
5:58.0,Personal foul by B. Bogdanović (drawn by B. Coulibaly),44-50, ,,2,50,44,6,1082.0
5:58.0, ,44-50,Detroit full timeout,,2,50,44,6,1082.0
5:58.0,D. Gafford enters the game for M. Bagley,44-50, ,,2,50,44,6,1082.0
5:58.0,T. Jones enters the game for L. Shamet,44-50, ,,2,50,44,6,1082.0
5:58.0,J. Poole enters the game for D. Wright,44-50, ,,2,50,44,6,1082.0
5:51.0,K. Kuzma makes 2-pt dunk from 1 ft,46-50, ,,2,50,46,4,1089.0
5:32.0, ,46-50,B. Bogdanović misses 2-pt jump shot from 13 ft,,2,50,46,4,1108.0
5:31.0, ,46-50,Offensive rebound by J. Duren,,2,50,46,4,1109.0
5:24.0, ,46-52,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,2,52,46,6,1116.0
5:11.0,D. Gafford misses 2-pt hook shot from 3 ft,46-52, ,,2,52,46,6,1129.0
5:09.0, ,46-52,Defensive rebound by C. Cunningham,,2,52,46,6,1131.0
5:03.0,Violation by Team (kicked ball),46-52, ,,2,52,46,6,1137.0
5:03.0, ,46-52,A. Thompson enters the game for B. Bogdanović,,2,52,46,6,1137.0
4:57.0, ,46-52,A. Thompson misses 3-pt jump shot from 23 ft,,2,52,46,6,1143.0
4:57.0, ,46-52,Offensive rebound by Team,,2,52,46,6,1143.0
4:55.0, ,46-52,C. Cunningham misses 2-pt jump shot from 14 ft,,2,52,46,6,1145.0
4:52.0,Defensive rebound by Team,46-52, ,,2,52,46,6,1148.0
4:42.0,K. Kuzma makes 2-pt hook shot from 3 ft,48-52, ,,2,52,48,4,1158.0
4:26.0, ,48-52,Turnover by C. Cunningham (lost ball; steal by T. Jones),,2,52,48,4,1174.0
4:22.0,J. Poole makes 2-pt layup from 2 ft (assist by T. Jones),50-52, ,,2,52,50,2,1178.0
4:05.0, ,50-52,Turnover by A. Thompson (lost ball; steal by D. Gafford),,2,52,50,2,1195.0
4:02.0,T. Jones makes 2-pt layup at rim (assist by D. Gafford),52-52, ,Tie,2,52,52,0,1198.0
4:02.0, ,52-52,Detroit full timeout,,2,52,52,0,1198.0
4:02.0,D. Avdija enters the game for B. Coulibaly,52-52, ,,2,52,52,0,1198.0
4:02.0, ,52-52,A. Burks enters the game for A. Thompson,,2,52,52,0,1198.0
3:46.0, ,52-52,Turnover by C. Cunningham (bad pass; steal by T. Jones),,2,52,52,0,1214.0
3:38.0,D. Gafford misses 2-pt hook shot from 2 ft,52-52, ,,2,52,52,0,1222.0
3:37.0,Offensive rebound by D. Gafford,52-52, ,,2,52,52,0,1223.0
3:36.0,Shooting foul by J. Duren (drawn by D. Gafford),52-52, ,,2,52,52,0,1224.0
3:36.0,D. Gafford misses free throw 1 of 2,52-52, ,,2,52,52,0,1224.0
3:36.0,Offensive rebound by Team,52-52, ,,2,52,52,0,1224.0
3:36.0,D. Gafford makes free throw 2 of 2,53-52, ,Lead change,2,52,53,-1,1224.0
3:17.0, ,53-52,C. Cunningham misses 2-pt jump shot from 8 ft,,2,52,53,-1,1243.0
3:14.0,Defensive rebound by T. Jones,53-52, ,,2,52,53,-1,1246.0
3:10.0,D. Avdija makes 2-pt layup from 2 ft (assist by T. Jones),55-52, ,,2,52,55,-3,1250.0
2:58.0, ,55-52,Personal foul by J. Poole (drawn by A. Burks),,2,52,55,-3,1262.0
2:58.0, ,55-52,B. Bogdanović enters the game for J. Ivey,,2,52,55,-3,1262.0
2:51.0, ,55-52,I. Stewart misses 3-pt jump shot from 23 ft,,2,52,55,-3,1269.0
2:47.0,Defensive rebound by D. Gafford,55-52, ,,2,52,55,-3,1273.0
2:44.0,Turnover by K. Kuzma (lost ball; steal by B. Bogdanović),55-52, ,,2,52,55,-3,1276.0
2:29.0, ,55-54,I. Stewart makes 2-pt dunk from 2 ft (assist by J. Duren),,2,54,55,-1,1291.0
2:14.0,K. Kuzma misses 3-pt jump shot from 25 ft,55-54, ,,2,54,55,-1,1306.0
2:11.0, ,55-54,Defensive rebound by J. Duren,,2,54,55,-1,1309.0
1:56.0, ,55-57,A. Burks makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),Lead change,2,57,55,2,1324.0
1:44.0,J. Poole misses 2-pt jump shot from 8 ft,55-57, ,,2,57,55,2,1336.0
1:43.0,Offensive rebound by D. Gafford,55-57, ,,2,57,55,2,1337.0
1:40.0,D. Gafford makes 2-pt layup from 2 ft,57-57, ,Tie,2,57,57,0,1340.0
1:30.0, ,57-57,Shooting foul by D. Avdija (drawn by C. Cunningham),,2,57,57,0,1350.0
1:30.0, ,57-58,C. Cunningham makes free throw 1 of 2,,2,58,57,1,1350.0
1:30.0,B. Coulibaly enters the game for D. Avdija,57-58, ,,2,58,57,1,1350.0
1:30.0, ,57-58,C. Cunningham misses free throw 2 of 2,,2,58,57,1,1350.0
1:26.0, ,57-58,Offensive rebound by I. Stewart,,2,58,57,1,1354.0
1:26.0, ,57-58,I. Stewart misses 2-pt layup at rim,,2,58,57,1,1354.0
1:26.0,Defensive rebound by B. Coulibaly,57-58, ,,2,58,57,1,1354.0
1:07.0,J. Poole misses 3-pt jump shot from 25 ft,57-58, ,,2,58,57,1,1373.0
1:00.0,Offensive rebound by D. Gafford,57-58, ,,2,58,57,1,1380.0
0:57.0,K. Kuzma misses 3-pt jump shot from 24 ft,57-58, ,,2,58,57,1,1383.0
0:55.0, ,57-58,Defensive rebound by J. Duren,,2,58,57,1,1385.0
0:46.0, ,57-58,Shooting foul by D. Gafford (drawn by I. Stewart),,2,58,57,1,1394.0
0:46.0, ,57-59,I. Stewart makes free throw 1 of 2,,2,59,57,2,1394.0
0:46.0, ,57-60,I. Stewart makes free throw 2 of 2,,2,60,57,3,1394.0
0:39.0,T. Jones makes 2-pt jump shot from 10 ft,59-60, ,,2,60,59,1,1401.0
0:28.0, ,59-60,C. Cunningham misses 2-pt jump shot from 17 ft,,2,60,59,1,1412.0
0:25.0,Defensive rebound by K. Kuzma,59-60, ,,2,60,59,1,1415.0
0:04.0,K. Kuzma makes 2-pt hook shot from 8 ft (assist by T. Jones),61-60, ,Lead change,2,60,61,-1,1436.0
0:01.0, ,61-63,C. Cunningham makes 3-pt jump shot from 27 ft,Lead change,2,63,61,2,1439.0
0:00.0,End of 2nd quarter,61-63,,,2,63,61,2,1440.0
12:00.0,Start of 3rd quarter,61-63,,,3,63,61,2,1440.0
11:43.0,J. Poole misses 2-pt layup from 8 ft,61-63, ,,3,63,61,2,1457.0
11:39.0, ,61-63,Defensive rebound by J. Duren,,3,63,61,2,1461.0
11:23.0, ,61-65,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),,3,65,61,4,1477.0
11:09.0,K. Kuzma makes 2-pt jump shot from 12 ft (assist by J. Poole),63-65, ,,3,65,63,2,1491.0
10:47.0, ,63-65,C. Cunningham misses 2-pt jump shot from 12 ft,,3,65,63,2,1513.0
10:43.0,Defensive rebound by K. Kuzma,63-65, ,,3,65,63,2,1517.0
10:32.0,T. Jones makes 2-pt jump shot from 12 ft (assist by K. Kuzma),65-65, ,Tie,3,65,65,0,1528.0
10:16.0, ,65-65,B. Bogdanović misses 3-pt jump shot from 23 ft,,3,65,65,0,1544.0
10:15.0, ,65-65,Offensive rebound by J. Ivey,,3,65,65,0,1545.0
10:14.0, ,65-65,J. Ivey misses 2-pt layup at rim,,3,65,65,0,1546.0
10:13.0, ,65-65,Offensive rebound by J. Ivey,,3,65,65,0,1547.0
10:07.0, ,65-65,J. Ivey misses 2-pt layup at rim,,3,65,65,0,1553.0
10:06.0,Defensive rebound by K. Kuzma,65-65, ,,3,65,65,0,1554.0
10:03.0,K. Kuzma misses 3-pt jump shot from 26 ft,65-65, ,,3,65,65,0,1557.0
10:01.0, ,65-65,Defensive rebound by J. Ivey,,3,65,65,0,1559.0
9:56.0, ,65-65,Turnover by J. Ivey (bad pass; steal by D. Gafford),,3,65,65,0,1564.0
9:45.0,Personal foul by J. Ivey (drawn by D. Avdija),65-65, ,,3,65,65,0,1575.0
9:41.0,Personal foul by I. Stewart (drawn by K. Kuzma),65-65, ,,3,65,65,0,1579.0
9:36.0,K. Kuzma makes 2-pt jump shot from 17 ft (assist by T. Jones),67-65, ,Lead change,3,65,67,-2,1584.0
9:19.0, ,67-65,I. Stewart misses 2-pt hook shot from 1 ft,,3,65,67,-2,1601.0
9:17.0, ,67-65,Offensive rebound by I. Stewart,,3,65,67,-2,1603.0
9:17.0, ,67-67,I. Stewart makes 2-pt layup from 1 ft,Tie,3,67,67,0,1603.0
9:07.0,T. Jones misses 2-pt jump shot from 11 ft,67-67, ,,3,67,67,0,1613.0
9:06.0,Offensive rebound by D. Gafford,67-67, ,,3,67,67,0,1614.0
9:05.0,D. Gafford makes 2-pt layup at rim,69-67, ,,3,67,69,-2,1615.0
8:51.0, ,69-67,Turnover by B. Bogdanović (discontinued dribble),,3,67,69,-2,1629.0
8:31.0,Turnover by T. Jones (bad pass),69-67, ,,3,67,69,-2,1649.0
8:12.0, ,69-69,C. Cunningham makes 2-pt layup from 1 ft (assist by I. Stewart),Tie,3,69,69,0,1668.0
8:05.0,Shooting foul by J. Duren (drawn by J. Poole),69-69, ,,3,69,69,0,1675.0
8:05.0,J. Poole makes free throw 1 of 2,70-69, ,,3,69,70,-1,1675.0
8:05.0,J. Poole makes free throw 2 of 2,71-69, ,,3,69,71,-2,1675.0
7:53.0, ,71-69,Turnover by C. Cunningham (lost ball; steal by D. Gafford),,3,69,71,-2,1687.0
7:49.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by T. Jones),73-69, ,,3,69,73,-4,1691.0
7:27.0, ,73-72,B. Bogdanović makes 3-pt jump shot from 29 ft (assist by I. Stewart),,3,72,73,-1,1713.0
7:09.0,D. Gafford misses 2-pt jump shot from 7 ft,73-72, ,,3,72,73,-1,1731.0
7:07.0, ,73-72,Defensive rebound by C. Cunningham,,3,72,73,-1,1733.0
6:58.0, ,73-74,J. Duren makes 2-pt layup from 5 ft (assist by C. Cunningham),Lead change,3,74,73,1,1742.0
6:37.0,D. Avdija makes 3-pt jump shot from 23 ft (assist by T. Jones),76-74, ,Lead change,3,74,76,-2,1763.0
6:26.0, ,76-74,Offensive foul by C. Cunningham (drawn by T. Jones),,3,74,76,-2,1774.0
6:26.0, ,76-74,Turnover by C. Cunningham (offensive foul),,3,74,76,-2,1774.0
6:26.0, ,76-74,Detroit full timeout,,3,74,76,-2,1774.0
6:26.0,B. Coulibaly enters the game for D. Avdija,76-74, ,,3,74,76,-2,1774.0
6:26.0,C. Kispert enters the game for J. Poole,76-74, ,,3,74,76,-2,1774.0
6:06.0,K. Kuzma misses 2-pt jump shot from 14 ft,76-74, ,,3,74,76,-2,1794.0
6:04.0, ,76-74,Defensive rebound by J. Duren,,3,74,76,-2,1796.0
5:51.0, ,76-74,J. Ivey misses 2-pt jump shot from 9 ft,,3,74,76,-2,1809.0
5:45.0,Defensive rebound by D. Gafford,76-74, ,,3,74,76,-2,1815.0
5:29.0,D. Gafford makes 2-pt dunk from 2 ft (assist by B. Coulibaly),78-74, ,,3,74,78,-4,1831.0
