Time,Detroit,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:13.0,J. Ivey misses 2-pt jump shot from 17 ft,29-51, ,,2,29,51,-22,1067.0
6:11.0, ,29-51,Defensive rebound by J. Hart,,2,29,51,-22,1069.0
6:07.0, ,29-51,M. McBride misses 3-pt jump shot from 23 ft,,2,29,51,-22,1073.0
6:02.0,Defensive rebound by M. Sasser,29-51, ,,2,29,51,-22,1078.0
5:59.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Sasser),32-51, ,,2,32,51,-19,1081.0
5:36.0, ,32-53,J. Hart makes 2-pt layup from 1 ft (assist by I. Hartenstein),,2,32,53,-21,1104.0
5:24.0,J. Ivey misses 3-pt jump shot from 24 ft,32-53, ,,2,32,53,-21,1116.0
5:20.0,Offensive rebound by T. Evbuomwan,32-53, ,,2,32,53,-21,1120.0
5:18.0,B. Boeheim misses 3-pt jump shot from 26 ft,32-53, ,,2,32,53,-21,1122.0
5:15.0, ,32-53,Defensive rebound by I. Hartenstein,,2,32,53,-21,1125.0
5:11.0, ,32-53,Personal foul by B. Boeheim (drawn by J. Brunson),,2,32,53,-21,1129.0
5:11.0, ,32-53,D. DiVincenzo enters the game for M. McBride,,2,32,53,-21,1129.0
5:03.0, ,32-53,I. Hartenstein misses 2-pt dunk at rim,,2,32,53,-21,1137.0
5:01.0,Defensive rebound by J. Ivey,32-53, ,,2,32,53,-21,1139.0
4:56.0,M. Sasser misses 3-pt jump shot from 23 ft,32-53, ,,2,32,53,-21,1144.0
4:53.0, ,32-53,Defensive rebound by I. Hartenstein,,2,32,53,-21,1147.0
4:50.0, ,32-56,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Brunson),,2,32,56,-24,1150.0
4:35.0,M. Sasser makes 2-pt jump shot from 18 ft,34-56, ,,2,34,56,-22,1165.0
4:23.0, ,34-56,J. Brunson misses 3-pt jump shot from 25 ft,,2,34,56,-22,1177.0
4:18.0, ,34-56,Offensive rebound by I. Hartenstein,,2,34,56,-22,1182.0
4:18.0, ,34-56,I. Hartenstein misses 2-pt layup at rim,,2,34,56,-22,1182.0
4:16.0,Defensive rebound by J. Wiseman,34-56, ,,2,34,56,-22,1184.0
4:10.0,M. Sasser misses 3-pt jump shot from 26 ft,34-56, ,,2,34,56,-22,1190.0
4:07.0, ,34-56,Defensive rebound by I. Hartenstein,,2,34,56,-22,1193.0
4:02.0, ,34-56,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,34,56,-22,1198.0
4:01.0,Defensive rebound by B. Boeheim,34-56, ,,2,34,56,-22,1199.0
3:52.0,M. Sasser misses 2-pt layup from 1 ft (block by I. Hartenstein),34-56, ,,2,34,56,-22,1208.0
3:49.0, ,34-56,Defensive rebound by J. Hart,,2,34,56,-22,1211.0
3:44.0, ,34-56,D. DiVincenzo misses 3-pt jump shot from 25 ft,,2,34,56,-22,1216.0
3:42.0, ,34-56,Offensive rebound by J. Hart,,2,34,56,-22,1218.0
3:41.0, ,34-56,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,34,56,-22,1219.0
3:41.0,Defensive rebound by J. Ivey,34-56, ,,2,34,56,-22,1219.0
3:34.0,Shooting foul by B. Bogdanović (drawn by J. Ivey),34-56, ,,2,34,56,-22,1226.0
3:34.0,T. Brown enters the game for T. Evbuomwan,34-56, ,,2,34,56,-22,1226.0
3:34.0, ,34-56,M. McBride enters the game for B. Bogdanović,,2,34,56,-22,1226.0
3:34.0, ,34-56,J. Sims enters the game for I. Hartenstein,,2,34,56,-22,1226.0
3:34.0,J. Ivey makes free throw 1 of 2,35-56, ,,2,35,56,-21,1226.0
3:34.0,J. Ivey makes free throw 2 of 2,36-56, ,,2,36,56,-20,1226.0
3:18.0, ,36-56,M. McBride misses 3-pt jump shot from 25 ft,,2,36,56,-20,1242.0
3:15.0,Defensive rebound by T. Brown,36-56, ,,2,36,56,-20,1245.0
3:10.0,Offensive foul by J. Wiseman (drawn by J. Brunson),36-56, ,,2,36,56,-20,1250.0
3:10.0,Turnover by J. Wiseman (offensive foul),36-56, ,,2,36,56,-20,1250.0
2:58.0, ,36-56,J. Hart misses 2-pt jump shot from 8 ft (block by J. Ivey),,2,36,56,-20,1262.0
2:55.0, ,36-56,Offensive rebound by J. Hart,,2,36,56,-20,1265.0
2:49.0, ,36-56,D. DiVincenzo misses 3-pt jump shot from 25 ft,,2,36,56,-20,1271.0
2:46.0,Defensive rebound by T. Brown,36-56, ,,2,36,56,-20,1274.0
2:40.0,Shooting foul by M. McBride (drawn by J. Ivey),36-56, ,,2,36,56,-20,1280.0
2:40.0,Detroit full timeout,36-56, ,,2,36,56,-20,1280.0
2:40.0,J. Ivey makes free throw 1 of 2,37-56, ,,2,37,56,-19,1280.0
2:40.0,J. Ivey makes free throw 2 of 2,38-56, ,,2,38,56,-18,1280.0
2:28.0, ,38-56,J. Brunson misses 2-pt jump shot from 8 ft,,2,38,56,-18,1292.0
2:25.0,Defensive rebound by B. Boeheim,38-56, ,,2,38,56,-18,1295.0
2:07.0,J. Ivey makes 2-pt jump shot from 17 ft,40-56, ,,2,40,56,-16,1313.0
1:50.0, ,40-56,J. Brunson misses 2-pt jump shot from 11 ft,,2,40,56,-16,1330.0
1:48.0,Defensive rebound by T. Brown,40-56, ,,2,40,56,-16,1332.0
1:39.0,J. Ivey misses 3-pt jump shot from 26 ft,40-56, ,,2,40,56,-16,1341.0
1:37.0, ,40-56,Defensive rebound by J. Brunson,,2,40,56,-16,1343.0
1:24.0, ,40-56,M. McBride misses 3-pt jump shot from 26 ft,,2,40,56,-16,1356.0
1:22.0,Defensive rebound by J. Wiseman,40-56, ,,2,40,56,-16,1358.0
1:09.0,B. Boeheim misses 3-pt jump shot from 26 ft,40-56, ,,2,40,56,-16,1371.0
1:05.0, ,40-56,Defensive rebound by J. Hart,,2,40,56,-16,1375.0
1:02.0, ,40-56,Turnover by J. Hart (bad pass; steal by J. Ivey),,2,40,56,-16,1378.0
0:59.0,J. Ivey misses 2-pt layup from 1 ft,40-56, ,,2,40,56,-16,1381.0
0:57.0, ,40-56,Defensive rebound by J. Hart,,2,40,56,-16,1383.0
0:54.0, ,40-59,J. Brunson makes 3-pt jump shot from 25 ft (assist by J. Hart),,2,40,59,-19,1386.0
0:40.0,T. Brown misses 3-pt jump shot from 24 ft,40-59, ,,2,40,59,-19,1400.0
0:37.0, ,40-59,Defensive rebound by D. DiVincenzo,,2,40,59,-19,1403.0
0:15.0, ,40-59,J. Brunson misses 3-pt jump shot from 25 ft,,2,40,59,-19,1425.0
0:12.0,Defensive rebound by J. Wiseman,40-59, ,,2,40,59,-19,1428.0
0:03.0,Shooting foul by M. McBride (drawn by M. Sasser),40-59, ,,2,40,59,-19,1437.0
0:03.0,J. Rhoden enters the game for B. Boeheim,40-59, ,,2,40,59,-19,1437.0
0:03.0, ,40-59,P. Achiuwa enters the game for J. Sims,,2,40,59,-19,1437.0
0:03.0,M. Sasser makes free throw 1 of 2,41-59, ,,2,41,59,-18,1437.0
0:03.0,M. Sasser makes free throw 2 of 2,42-59, ,,2,42,59,-17,1437.0
0:00.0, ,42-59,J. Brunson misses 2-pt jump shot from 5 ft,,2,42,59,-17,1440.0
0:00.0, ,42-59,Offensive rebound by Team,,2,42,59,-17,1440.0
0:00.0,End of 2nd quarter,42-59,,,2,42,59,-17,1440.0
12:00.0,Start of 3rd quarter,42-59,,,3,42,59,-17,1440.0
11:44.0, ,42-61,J. Brunson makes 2-pt jump shot from 5 ft,,3,42,61,-19,1456.0
11:23.0,T. Brown misses 2-pt jump shot from 9 ft,42-61, ,,3,42,61,-19,1477.0
11:21.0,Offensive rebound by Team,42-61, ,,3,42,61,-19,1479.0
11:21.0,Violation by Team (kicked ball),42-61, ,,3,42,61,-19,1479.0
11:09.0, ,42-63,J. Brunson makes 2-pt jump shot from 12 ft,,3,42,63,-21,1491.0
10:56.0,M. Sasser makes 2-pt jump shot from 11 ft,44-63, ,,3,44,63,-19,1504.0
10:43.0, ,44-66,J. Brunson makes 3-pt jump shot from 25 ft (assist by J. Hart),,3,44,66,-22,1517.0
10:43.0, ,44-66,Shooting foul by T. Evbuomwan (drawn by J. Brunson),,3,44,66,-22,1517.0
10:43.0, ,44-66,Instant Replay (Request: Stands),,3,44,66,-22,1517.0
10:43.0, ,44-67,J. Brunson makes free throw 1 of 1,,3,44,67,-23,1517.0
10:30.0,M. Sasser makes 2-pt jump shot from 17 ft (assist by J. Wiseman),46-67, ,,3,46,67,-21,1530.0
10:10.0, ,46-67,Personal foul by T. Brown (drawn by J. Brunson),,3,46,67,-21,1550.0
10:02.0, ,46-67,J. Brunson misses 3-pt jump shot from 24 ft,,3,46,67,-21,1558.0
9:56.0,Defensive rebound by J. Wiseman,46-67, ,,3,46,67,-21,1564.0
9:49.0,Personal foul by M. McBride (drawn by M. Sasser),46-67, ,,3,46,67,-21,1571.0
9:36.0,Turnover by J. Wiseman (off goaltending),46-67, ,,3,46,67,-21,1584.0
9:12.0, ,46-67,J. Hart misses 2-pt jump shot from 6 ft,,3,46,67,-21,1608.0
9:10.0,Defensive rebound by T. Brown,46-67, ,,3,46,67,-21,1610.0
8:59.0,J. Wiseman makes 2-pt jump shot from 7 ft (assist by M. Sasser),48-67, ,,3,48,67,-19,1621.0
8:41.0, ,48-67,Personal foul by M. Sasser (drawn by J. Brunson),,3,48,67,-19,1639.0
8:34.0, ,48-70,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Brunson),,3,48,70,-22,1646.0
8:21.0,J. Ivey misses 2-pt jump shot from 14 ft,48-70, ,,3,48,70,-22,1659.0
8:18.0, ,48-70,Defensive rebound by J. Hart,,3,48,70,-22,1662.0
8:14.0, ,48-73,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Hart),,3,48,73,-25,1666.0
8:01.0,M. Sasser makes 2-pt jump shot from 10 ft,50-73, ,,3,50,73,-23,1679.0
7:49.0, ,50-76,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Brunson),,3,50,76,-26,1691.0
7:46.0,Detroit full timeout,50-76, ,,3,50,76,-26,1694.0
7:23.0,T. Evbuomwan misses 2-pt jump shot from 6 ft,50-76, ,,3,50,76,-26,1717.0
7:22.0,Offensive rebound by Team,50-76, ,,3,50,76,-26,1718.0
7:22.0, ,50-76,P. Achiuwa enters the game for I. Hartenstein,,3,50,76,-26,1718.0
7:19.0,Offensive foul by J. Wiseman (drawn by D. DiVincenzo),50-76, ,,3,50,76,-26,1721.0
7:19.0,Turnover by J. Wiseman (offensive foul),50-76, ,,3,50,76,-26,1721.0
7:02.0, ,50-76,Personal foul by J. Ivey (drawn by J. Brunson),,3,50,76,-26,1738.0
7:02.0,M. Flynn enters the game for T. Evbuomwan,50-76, ,,3,50,76,-26,1738.0
6:55.0, ,50-76,Offensive foul by P. Achiuwa (drawn by M. Sasser),,3,50,76,-26,1745.0
6:55.0, ,50-76,Turnover by P. Achiuwa (offensive foul),,3,50,76,-26,1745.0
6:47.0,M. Sasser misses 2-pt jump shot from 19 ft,50-76, ,,3,50,76,-26,1753.0
6:44.0, ,50-76,Defensive rebound by M. McBride,,3,50,76,-26,1756.0
6:35.0, ,50-76,J. Hart misses 3-pt jump shot from 25 ft,,3,50,76,-26,1765.0
6:34.0,Defensive rebound by Team,50-76, ,,3,50,76,-26,1766.0
6:20.0,J. Wiseman makes 2-pt jump shot from 1 ft (assist by J. Ivey),52-76, ,,3,52,76,-24,1780.0
5:58.0, ,52-79,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Hart),,3,52,79,-27,1802.0
5:48.0,J. Ivey misses 2-pt layup from 3 ft,52-79, ,,3,52,79,-27,1812.0
5:47.0,Offensive rebound by J. Ivey,52-79, ,,3,52,79,-27,1813.0
5:45.0,J. Ivey misses 2-pt layup from 3 ft (block by D. DiVincenzo),52-79, ,,3,52,79,-27,1815.0
5:44.0,Offensive rebound by J. Wiseman,52-79, ,,3,52,79,-27,1816.0
5:43.0,J. Wiseman makes 2-pt dunk from 3 ft,54-79, ,,3,54,79,-25,1817.0
5:30.0, ,54-81,P. Achiuwa makes 2-pt jump shot from 9 ft (assist by J. Hart),,3,54,81,-27,1830.0
5:16.0,J. Wiseman misses 2-pt layup from 2 ft,54-81, ,,3,54,81,-27,1844.0
5:10.0,Offensive rebound by J. Wiseman,54-81, ,,3,54,81,-27,1850.0
5:10.0,J. Wiseman misses 2-pt layup at rim,54-81, ,,3,54,81,-27,1850.0
5:10.0, ,54-81,Defensive rebound by M. McBride,,3,54,81,-27,1850.0
5:10.0,J. Rhoden enters the game for T. Brown,54-81, ,,3,54,81,-27,1850.0
5:04.0, ,54-81,Turnover by D. DiVincenzo (step out of bounds),,3,54,81,-27,1856.0
4:43.0,J. Wiseman makes 2-pt hook shot from 5 ft (assist by M. Sasser),56-81, ,,3,56,81,-25,1877.0
4:32.0, ,56-81,D. DiVincenzo misses 3-pt jump shot from 24 ft,,3,56,81,-25,1888.0
4:30.0,Defensive rebound by Team,56-81, ,,3,56,81,-25,1890.0
