Time,Philadelphia,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:32.0, ,5-11,Defensive rebound by A. Thompson,,1,11,5,6,208.0
8:31.0, ,5-11,I. Stewart misses 3-pt jump shot from 28 ft,,1,11,5,6,209.0
8:28.0,Defensive rebound by T. Harris,5-11, ,,1,11,5,6,212.0
8:25.0,Turnover by T. Harris (lost ball; steal by A. Thompson),5-11, ,,1,11,5,6,215.0
8:21.0, ,5-13,A. Thompson makes 2-pt layup from 3 ft (assist by K. Hayes),,1,13,5,8,219.0
8:12.0,Personal foul by K. Hayes (drawn by T. Maxey),5-13, ,,1,13,5,8,228.0
8:02.0,J. Embiid makes 2-pt layup from 3 ft (assist by T. Maxey),7-13, ,,1,13,7,6,238.0
7:52.0, ,7-15,C. Cunningham makes 2-pt jump shot from 18 ft,,1,15,7,8,248.0
7:37.0,Personal foul by I. Stewart (drawn by J. Embiid),7-15, ,,1,15,7,8,263.0
7:37.0,Turnover by  (5 sec),7-15, ,,1,15,7,8,263.0
7:37.0, ,7-15,S. Umude enters the game for I. Stewart,,1,15,7,8,263.0
7:23.0, ,7-15,J. Duren misses 2-pt hook shot from 7 ft,,1,15,7,8,277.0
7:16.0,Defensive rebound by K. Oubre,7-15, ,,1,15,7,8,284.0
7:13.0,D. Melton misses 3-pt jump shot from 24 ft,7-15, ,,1,15,7,8,287.0
7:09.0, ,7-15,Defensive rebound by S. Umude,,1,15,7,8,291.0
7:07.0, ,7-15,Personal foul by D. Melton (drawn by C. Cunningham),,1,15,7,8,293.0
7:02.0, ,7-17,C. Cunningham makes 2-pt jump shot from 18 ft,,1,17,7,10,298.0
7:00.0,Philadelphia full timeout,7-17, ,,1,17,7,10,300.0
6:41.0,J. Embiid misses 2-pt layup from 4 ft (block by J. Duren),7-17, ,,1,17,7,10,319.0
6:41.0,Offensive rebound by J. Embiid,7-17, ,,1,17,7,10,319.0
6:41.0,Turnover by J. Embiid (bad pass; steal by K. Hayes),7-17, ,,1,17,7,10,319.0
6:35.0, ,7-17,C. Cunningham misses 3-pt jump shot from 23 ft,,1,17,7,10,325.0
6:30.0, ,7-17,Offensive rebound by A. Thompson,,1,17,7,10,330.0
6:30.0, ,7-17,A. Thompson misses 2-pt layup from 4 ft (block by J. Embiid),,1,17,7,10,330.0
6:25.0,Defensive rebound by T. Harris,7-17, ,,1,17,7,10,335.0
6:23.0,T. Harris misses 2-pt hook shot from 9 ft (block by A. Thompson),7-17, ,,1,17,7,10,337.0
6:23.0,Offensive rebound by Team,7-17, ,,1,17,7,10,337.0
6:23.0, ,7-17,M. Sasser enters the game for K. Hayes,,1,17,7,10,337.0
6:14.0,K. Oubre makes 2-pt layup from 6 ft (assist by T. Harris),9-17, ,,1,17,9,8,346.0
6:14.0,Shooting foul by C. Cunningham (drawn by K. Oubre),9-17, ,,1,17,9,8,346.0
6:14.0,K. Oubre misses free throw 1 of 1,9-17, ,,1,17,9,8,346.0
6:11.0, ,9-17,Defensive rebound by S. Umude,,1,17,9,8,349.0
6:02.0, ,9-17,C. Cunningham misses 2-pt layup from 4 ft,,1,17,9,8,358.0
5:59.0,Defensive rebound by K. Oubre,9-17, ,,1,17,9,8,361.0
5:46.0,D. Melton makes 2-pt layup from 4 ft (assist by T. Maxey),11-17, ,,1,17,11,6,374.0
5:22.0, ,11-17,A. Thompson misses 2-pt layup from 6 ft,,1,17,11,6,398.0
5:19.0,Defensive rebound by J. Embiid,11-17, ,,1,17,11,6,401.0
5:17.0,Shooting foul by M. Sasser (drawn by T. Maxey),11-17, ,,1,17,11,6,403.0
5:17.0,T. Maxey makes free throw 1 of 2,12-17, ,,1,17,12,5,403.0
5:17.0,N. Batum enters the game for D. Melton,12-17, ,,1,17,12,5,403.0
5:17.0,P. Beverley enters the game for K. Oubre,12-17, ,,1,17,12,5,403.0
5:17.0, ,12-17,M. Bagley enters the game for J. Duren,,1,17,12,5,403.0
5:17.0,T. Maxey makes free throw 2 of 2,13-17, ,,1,17,13,4,403.0
5:02.0, ,13-17,A. Thompson misses 3-pt jump shot from 26 ft,,1,17,13,4,418.0
4:59.0, ,13-17,Offensive rebound by M. Bagley,,1,17,13,4,421.0
4:58.0, ,13-17,M. Bagley misses 2-pt layup from 3 ft,,1,17,13,4,422.0
4:58.0,Defensive rebound by J. Embiid,13-17, ,,1,17,13,4,422.0
4:45.0,J. Embiid misses 2-pt hook shot from 8 ft,13-17, ,,1,17,13,4,435.0
4:43.0, ,13-17,Defensive rebound by M. Bagley,,1,17,13,4,437.0
4:39.0, ,13-19,A. Thompson makes 2-pt layup from 4 ft (assist by C. Cunningham),,1,19,13,6,441.0
4:19.0,T. Harris misses 2-pt layup from 3 ft,13-19, ,,1,19,13,6,461.0
4:16.0,Offensive rebound by J. Embiid,13-19, ,,1,19,13,6,464.0
4:13.0,Def 3 sec tech foul by Team,13-19, ,,1,19,13,6,467.0
4:13.0,J. Embiid makes technical free throw,14-19, ,,1,19,14,5,467.0
4:00.0,T. Maxey misses 2-pt jump shot from 8 ft,14-19, ,,1,19,14,5,480.0
3:56.0, ,14-19,Defensive rebound by M. Bagley,,1,19,14,5,484.0
3:42.0, ,14-19,M. Sasser misses 3-pt jump shot from 26 ft,,1,19,14,5,498.0
3:38.0, ,14-19,Offensive rebound by C. Cunningham,,1,19,14,5,502.0
3:36.0, ,14-21,M. Bagley makes 2-pt dunk from 2 ft (assist by C. Cunningham),,1,21,14,7,504.0
3:28.0,Offensive foul by J. Embiid (drawn by M. Bagley),14-21, ,,1,21,14,7,512.0
3:28.0,Turnover by J. Embiid (offensive foul),14-21, ,,1,21,14,7,512.0
3:28.0,R. Covington enters the game for T. Harris,14-21, ,,1,21,14,7,512.0
3:28.0,D. Melton enters the game for T. Maxey,14-21, ,,1,21,14,7,512.0
3:28.0, ,14-21,K. Hayes enters the game for C. Cunningham,,1,21,14,7,512.0
3:14.0, ,14-21,S. Umude misses 3-pt jump shot from 24 ft,,1,21,14,7,526.0
3:08.0, ,14-21,Offensive rebound by M. Bagley,,1,21,14,7,532.0
3:07.0, ,14-21,Turnover by M. Bagley (lost ball; steal by R. Covington),,1,21,14,7,533.0
3:02.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Melton),17-21, ,,1,21,17,4,538.0
2:48.0, ,17-21,Shooting foul by J. Embiid (drawn by S. Umude),,1,21,17,4,552.0
2:48.0, ,17-21,Detroit full timeout,,1,21,17,4,552.0
2:48.0, ,17-21,J. Rhoden enters the game for A. Thompson,,1,21,17,4,552.0
2:48.0, ,17-22,S. Umude makes free throw 1 of 2,,1,22,17,5,552.0
2:48.0, ,17-23,S. Umude makes free throw 2 of 2,,1,23,17,6,552.0
2:38.0,P. Beverley misses 2-pt jump shot from 7 ft,17-23, ,,1,23,17,6,562.0
2:38.0,Offensive rebound by J. Embiid,17-23, ,,1,23,17,6,562.0
2:38.0,Shooting foul by S. Umude (drawn by J. Embiid),17-23, ,,1,23,17,6,562.0
2:38.0,J. Embiid makes free throw 1 of 2,18-23, ,,1,23,18,5,562.0
2:38.0,M. Morris enters the game for D. Melton,18-23, ,,1,23,18,5,562.0
2:38.0,J. Embiid makes free throw 2 of 2,19-23, ,,1,23,19,4,562.0
2:20.0, ,19-25,J. Rhoden makes 2-pt dunk from 4 ft (assist by K. Hayes),,1,25,19,6,580.0
2:05.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by P. Beverley),21-25, ,,1,25,21,4,595.0
1:43.0, ,21-28,K. Hayes makes 3-pt jump shot from 27 ft,,1,28,21,7,617.0
1:23.0,J. Embiid misses 2-pt jump shot from 14 ft,21-28, ,,1,28,21,7,637.0
1:19.0, ,21-28,Defensive rebound by S. Umude,,1,28,21,7,641.0
0:59.0, ,21-28,K. Hayes misses 3-pt jump shot from 26 ft,,1,28,21,7,661.0
0:56.0,Defensive rebound by J. Embiid,21-28, ,,1,28,21,7,664.0
0:51.0,Turnover by J. Embiid (bad pass),21-28, ,,1,28,21,7,669.0
0:29.0, ,21-31,J. Rhoden makes 3-pt jump shot from 23 ft (assist by K. Hayes),,1,31,21,10,691.0
0:05.0,J. Embiid misses 2-pt layup from 3 ft,21-31, ,,1,31,21,10,715.0
0:01.0, ,21-31,Defensive rebound by M. Bagley,,1,31,21,10,719.0
0:00.0, ,21-33,M. Sasser makes 2-pt jump shot from 23 ft (assist by K. Hayes),,1,33,21,12,720.0
0:00.0, ,21-33,Instant Replay (Request: Ruling Stands),,1,33,21,12,720.0
0:00.0,End of 1st quarter,21-33,,,1,33,21,12,720.0
12:00.0,Start of 2nd quarter,21-33,,,2,33,21,12,720.0
11:45.0,T. Maxey makes 2-pt jump shot from 11 ft,23-33, ,,2,33,23,10,735.0
11:29.0, ,23-33,Shooting foul by M. Morris (drawn by S. Umude),,2,33,23,10,751.0
11:29.0, ,23-34,S. Umude makes free throw 1 of 2,,2,34,23,11,751.0
11:29.0,Technical foul by M. Morris,23-34, ,,2,34,23,11,751.0
11:29.0, ,23-35,S. Umude makes technical free throw,,2,35,23,12,751.0
11:29.0, ,23-36,S. Umude makes free throw 2 of 2,,2,36,23,13,751.0
11:17.0, ,23-36,Violation by Team (kicked ball),,2,36,23,13,763.0
11:12.0,Shooting foul by J. Rhoden (drawn by T. Maxey),23-36, ,,2,36,23,13,768.0
11:12.0,T. Maxey makes free throw 1 of 2,24-36, ,,2,36,24,12,768.0
11:12.0,T. Maxey makes free throw 2 of 2,25-36, ,,2,36,25,11,768.0
11:11.0, ,25-36,Personal foul by N. Batum (drawn by J. Duren),,2,36,25,11,769.0
11:11.0, ,25-36,A. Thompson enters the game for S. Umude,,2,36,25,11,769.0
10:59.0, ,25-36,Shooting foul by M. Morris (drawn by K. Hayes),,2,36,25,11,781.0
10:59.0, ,25-37,K. Hayes makes free throw 1 of 2,,2,37,25,12,781.0
10:59.0, ,25-37,C. Cunningham enters the game for J. Rhoden,,2,37,25,12,781.0
10:59.0, ,25-38,K. Hayes makes free throw 2 of 2,,2,38,25,13,781.0
10:49.0,T. Maxey misses 3-pt jump shot from 26 ft,25-38, ,,2,38,25,13,791.0
10:45.0, ,25-38,Defensive rebound by K. Hayes,,2,38,25,13,795.0
10:43.0, ,25-38,M. Sasser misses 2-pt jump shot from 23 ft,,2,38,25,13,797.0
10:38.0,Defensive rebound by P. Reed,25-38, ,,2,38,25,13,802.0
10:31.0,T. Maxey misses 2-pt jump shot from 8 ft,25-38, ,,2,38,25,13,809.0
10:27.0, ,25-38,Defensive rebound by A. Thompson,,2,38,25,13,813.0
10:24.0, ,25-38,Turnover by C. Cunningham (bad pass; steal by T. Maxey),,2,38,25,13,816.0
10:04.0,T. Maxey makes 3-pt jump shot from 25 ft,28-38, ,,2,38,28,10,836.0
9:44.0, ,28-40,J. Duren makes 2-pt layup from 4 ft (assist by K. Hayes),,2,40,28,12,856.0
9:20.0,T. Maxey misses 3-pt jump shot from 25 ft,28-40, ,,2,40,28,12,880.0
9:16.0, ,28-40,Defensive rebound by M. Sasser,,2,40,28,12,884.0
9:14.0, ,28-42,K. Hayes makes 2-pt layup from 3 ft (assist by M. Sasser),,2,42,28,14,886.0
8:57.0,R. Covington misses 3-pt jump shot from 25 ft,28-42, ,,2,42,28,14,903.0
8:54.0, ,28-42,Defensive rebound by A. Thompson,,2,42,28,14,906.0
8:48.0, ,28-42,M. Sasser misses 3-pt jump shot from 28 ft,,2,42,28,14,912.0
8:44.0,Defensive rebound by M. Morris,28-42, ,,2,42,28,14,916.0
8:38.0,T. Maxey misses 2-pt layup from 2 ft,28-42, ,,2,42,28,14,922.0
8:36.0, ,28-42,Defensive rebound by Team,,2,42,28,14,924.0
8:36.0,T. Harris enters the game for N. Batum,28-42, ,,2,42,28,14,924.0
8:36.0,K. Oubre enters the game for M. Morris,28-42, ,,2,42,28,14,924.0
8:36.0, ,28-42,I. Stewart enters the game for M. Sasser,,2,42,28,14,924.0
8:28.0, ,28-42,C. Cunningham misses 3-pt jump shot from 28 ft,,2,42,28,14,932.0
8:26.0, ,28-42,Offensive rebound by A. Thompson,,2,42,28,14,934.0
8:20.0, ,28-42,Turnover by K. Hayes (bad pass; steal by R. Covington),,2,42,28,14,940.0
8:02.0,P. Reed misses 2-pt layup from 6 ft,28-42, ,,2,42,28,14,958.0
8:01.0, ,28-42,Defensive rebound by A. Thompson,,2,42,28,14,959.0
8:01.0, ,28-42,Personal foul by P. Reed (drawn by A. Thompson),,2,42,28,14,959.0
7:45.0, ,28-42,K. Hayes misses 3-pt jump shot from 24 ft,,2,42,28,14,975.0
7:40.0,Defensive rebound by P. Reed,28-42, ,,2,42,28,14,980.0
7:35.0,R. Covington misses 3-pt jump shot from 28 ft,28-42, ,,2,42,28,14,985.0
7:30.0, ,28-42,Defensive rebound by K. Hayes,,2,42,28,14,990.0
7:27.0, ,28-42,K. Hayes misses 2-pt jump shot from 15 ft,,2,42,28,14,993.0
7:23.0, ,28-42,Offensive rebound by J. Duren,,2,42,28,14,997.0
7:22.0, ,28-42,Turnover by J. Duren (lost ball; steal by R. Covington),,2,42,28,14,998.0
7:13.0,K. Oubre makes 2-pt dunk from 2 ft (assist by T. Maxey),30-42, ,,2,42,30,12,1007.0
7:12.0, ,30-42,Detroit full timeout,,2,42,30,12,1008.0
7:12.0, ,30-42,M. Sasser enters the game for K. Hayes,,2,42,30,12,1008.0
6:55.0, ,30-44,C. Cunningham makes 2-pt jump shot from 13 ft,,2,44,30,14,1025.0
6:37.0,T. Harris makes 2-pt jump shot from 9 ft,32-44, ,,2,44,32,12,1043.0
6:37.0,Shooting foul by A. Thompson (drawn by T. Harris),32-44, ,,2,44,32,12,1043.0
6:37.0, ,32-44,M. Bagley enters the game for J. Duren,,2,44,32,12,1043.0
6:37.0,T. Harris makes free throw 1 of 1,33-44, ,,2,44,33,11,1043.0
6:28.0, ,33-47,I. Stewart makes 3-pt jump shot from 26 ft (assist by M. Bagley),,2,47,33,14,1052.0
6:09.0,T. Maxey misses 2-pt jump shot from 7 ft,33-47, ,,2,47,33,14,1071.0
6:06.0, ,33-47,Defensive rebound by C. Cunningham,,2,47,33,14,1074.0
6:03.0, ,33-49,M. Bagley makes 2-pt dunk from 3 ft (assist by C. Cunningham),,2,49,33,16,1077.0
5:48.0,T. Maxey makes 3-pt jump shot from 29 ft (assist by T. Harris),36-49, ,,2,49,36,13,1092.0
5:28.0, ,36-49,Turnover by A. Thompson (bad pass; steal by K. Oubre),,2,49,36,13,1112.0
5:25.0,Shooting foul by C. Cunningham (drawn by K. Oubre),36-49, ,,2,49,36,13,1115.0
5:25.0,K. Oubre makes free throw 1 of 2,37-49, ,,2,49,37,12,1115.0
5:25.0,J. Embiid enters the game for R. Covington,37-49, ,,2,49,37,12,1115.0
5:25.0,D. Melton enters the game for P. Reed,37-49, ,,2,49,37,12,1115.0
5:25.0,K. Oubre makes free throw 2 of 2,38-49, ,,2,49,38,11,1115.0
5:17.0, ,38-49,Personal foul by K. Oubre (drawn by C. Cunningham),,2,49,38,11,1123.0
5:17.0, ,38-50,C. Cunningham makes free throw 1 of 2,,2,50,38,12,1123.0
5:17.0, ,38-51,C. Cunningham makes free throw 2 of 2,,2,51,38,13,1123.0
5:09.0,Personal foul by M. Bagley (drawn by J. Embiid),38-51, ,,2,51,38,13,1131.0
4:56.0,Personal foul by C. Cunningham (drawn by J. Embiid),38-51, ,,2,51,38,13,1144.0
4:56.0, ,38-51,Detroit full timeout,,2,51,38,13,1144.0
4:56.0, ,38-51,Instant Replay (Challenge: Stands),,2,51,38,13,1144.0
4:56.0,Technical foul by J. Embiid,38-51, ,,2,51,38,13,1144.0
4:56.0, ,38-52,M. Sasser makes technical free throw,,2,52,38,14,1144.0
4:56.0, ,38-52,K. Hayes enters the game for C. Cunningham,,2,52,38,14,1144.0
4:56.0,J. Embiid makes free throw 1 of 2,39-52, ,,2,52,39,13,1144.0
4:56.0,J. Embiid makes free throw 2 of 2,40-52, ,,2,52,40,12,1144.0
4:35.0, ,40-54,A. Thompson makes 2-pt layup from 4 ft (assist by K. Hayes),,2,54,40,14,1165.0
4:18.0,Shooting foul by M. Sasser (drawn by D. Melton),40-54, ,,2,54,40,14,1182.0
4:18.0,D. Melton misses free throw 1 of 2,40-54, ,,2,54,40,14,1182.0
4:18.0,Offensive rebound by Team,40-54, ,,2,54,40,14,1182.0
4:18.0, ,40-54,J. Duren enters the game for M. Bagley,,2,54,40,14,1182.0
4:18.0,D. Melton makes free throw 2 of 2,41-54, ,,2,54,41,13,1182.0
3:58.0, ,41-54,K. Hayes misses 2-pt jump shot from 14 ft,,2,54,41,13,1202.0
3:55.0,Defensive rebound by J. Embiid,41-54, ,,2,54,41,13,1205.0
3:41.0,D. Melton misses 2-pt layup from 3 ft,41-54, ,,2,54,41,13,1219.0
3:38.0, ,41-54,Defensive rebound by I. Stewart,,2,54,41,13,1222.0
3:21.0, ,41-56,K. Hayes makes 2-pt jump shot from 14 ft (assist by J. Duren),,2,56,41,15,1239.0
2:57.0,T. Harris misses 2-pt jump shot from 6 ft,41-56, ,,2,56,41,15,1263.0
2:53.0, ,41-56,Defensive rebound by K. Hayes,,2,56,41,15,1267.0
2:42.0, ,41-56,Turnover by J. Duren (bad pass; steal by D. Melton),,2,56,41,15,1278.0
2:36.0,D. Melton misses 2-pt layup from 3 ft,41-56, ,,2,56,41,15,1284.0
2:33.0,Offensive rebound by J. Embiid,41-56, ,,2,56,41,15,1287.0
2:31.0,J. Embiid makes 2-pt layup from 3 ft,43-56, ,,2,56,43,13,1289.0
2:19.0, ,43-56,I. Stewart misses 3-pt jump shot from 24 ft,,2,56,43,13,1301.0
2:15.0,Defensive rebound by K. Oubre,43-56, ,,2,56,43,13,1305.0
2:11.0,J. Embiid misses 3-pt jump shot from 25 ft,43-56, ,,2,56,43,13,1309.0
2:07.0, ,43-56,Defensive rebound by K. Hayes,,2,56,43,13,1313.0
2:01.0, ,43-56,M. Sasser misses 3-pt jump shot from 26 ft,,2,56,43,13,1319.0
1:57.0,Defensive rebound by J. Embiid,43-56, ,,2,56,43,13,1323.0
1:52.0,Shooting foul by A. Thompson (drawn by J. Embiid),43-56, ,,2,56,43,13,1328.0
1:52.0,J. Embiid makes free throw 1 of 2,44-56, ,,2,56,44,12,1328.0
1:52.0,N. Batum enters the game for K. Oubre,44-56, ,,2,56,44,12,1328.0
1:52.0, ,44-56,S. Umude enters the game for A. Thompson,,2,56,44,12,1328.0
1:52.0,J. Embiid misses free throw 2 of 2,44-56, ,,2,56,44,12,1328.0
1:48.0, ,44-56,Defensive rebound by J. Duren,,2,56,44,12,1332.0
1:44.0, ,44-56,Turnover by J. Duren (lost ball; steal by N. Batum),,2,56,44,12,1336.0
1:42.0,T. Harris misses 2-pt layup from 2 ft,44-56, ,,2,56,44,12,1338.0
1:42.0, ,44-56,Defensive rebound by Team,,2,56,44,12,1338.0
1:17.0, ,44-56,K. Hayes misses 2-pt jump shot from 15 ft,,2,56,44,12,1363.0
1:13.0,Defensive rebound by T. Maxey,44-56, ,,2,56,44,12,1367.0
1:06.0,T. Harris makes 3-pt jump shot from 22 ft (assist by N. Batum),47-56, ,,2,56,47,9,1374.0
0:45.0, ,47-56,J. Duren misses 2-pt jump shot from 20 ft,,2,56,47,9,1395.0
0:42.0,Defensive rebound by J. Embiid,47-56, ,,2,56,47,9,1398.0
0:33.0,Shooting foul by J. Duren (drawn by J. Embiid),47-56, ,,2,56,47,9,1407.0
0:33.0,J. Embiid makes free throw 1 of 2,48-56, ,,2,56,48,8,1407.0
0:33.0, ,48-56,C. Cunningham enters the game for S. Umude,,2,56,48,8,1407.0
0:33.0,J. Embiid misses free throw 2 of 2,48-56, ,,2,56,48,8,1407.0
0:31.0, ,48-56,Defensive rebound by J. Duren,,2,56,48,8,1409.0
0:09.0, ,48-56,C. Cunningham misses 3-pt jump shot from 32 ft,,2,56,48,8,1431.0
0:09.0, ,48-56,Offensive rebound by Team,,2,56,48,8,1431.0
0:09.0, ,48-56,Turnover by Team (shot clock),,2,56,48,8,1431.0
0:00.0,J. Embiid misses 2-pt jump shot from 19 ft,48-56, ,,2,56,48,8,1440.0
0:00.0,Offensive rebound by J. Embiid,48-56, ,,2,56,48,8,1440.0
0:00.0,J. Embiid misses 2-pt layup at rim,48-56, ,,2,56,48,8,1440.0
0:00.0,Offensive rebound by Team,48-56, ,,2,56,48,8,1440.0
0:00.0,End of 2nd quarter,48-56,,,2,56,48,8,1440.0
12:00.0,Start of 3rd quarter,48-56,,,3,56,48,8,1440.0
11:45.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Maxey),50-56, ,,3,56,50,6,1455.0
11:33.0, ,50-56,Turnover by C. Cunningham (out of bounds lost ball),,3,56,50,6,1467.0
11:19.0,T. Maxey makes 2-pt layup from 9 ft (assist by J. Embiid),52-56, ,,3,56,52,4,1481.0
11:04.0, ,52-56,Personal foul by T. Maxey (drawn by A. Thompson),,3,56,52,4,1496.0
10:57.0, ,52-56,C. Cunningham misses 2-pt jump shot from 12 ft,,3,56,52,4,1503.0
10:54.0,Defensive rebound by T. Harris,52-56, ,,3,56,52,4,1506.0
10:42.0,T. Maxey misses 3-pt jump shot from 26 ft,52-56, ,,3,56,52,4,1518.0
10:38.0, ,52-56,Defensive rebound by I. Stewart,,3,56,52,4,1522.0
10:27.0, ,52-58,A. Thompson makes 2-pt jump shot from 12 ft (assist by J. Duren),,3,58,52,6,1533.0
10:15.0,Shooting foul by A. Thompson (drawn by J. Embiid),52-58, ,,3,58,52,6,1545.0
10:15.0,J. Embiid makes free throw 1 of 2,53-58, ,,3,58,53,5,1545.0
10:15.0, ,53-58,M. Sasser enters the game for A. Thompson,,3,58,53,5,1545.0
10:15.0,J. Embiid misses free throw 2 of 2,53-58, ,,3,58,53,5,1545.0
10:10.0,Offensive rebound by K. Oubre,53-58, ,,3,58,53,5,1550.0
10:10.0,K. Oubre misses 2-pt dunk from 2 ft,53-58, ,,3,58,53,5,1550.0
10:08.0, ,53-58,Defensive rebound by I. Stewart,,3,58,53,5,1552.0
9:49.0, ,53-58,M. Sasser misses 2-pt jump shot from 13 ft,,3,58,53,5,1571.0
9:46.0,Defensive rebound by J. Embiid,53-58, ,,3,58,53,5,1574.0
9:43.0,T. Maxey misses 2-pt layup from 4 ft,53-58, ,,3,58,53,5,1577.0
9:40.0, ,53-58,Defensive rebound by K. Hayes,,3,58,53,5,1580.0
9:19.0, ,53-58,Turnover by C. Cunningham (lost ball; steal by K. Oubre),,3,58,53,5,1601.0
9:15.0,K. Oubre makes 2-pt jump shot from 5 ft,55-58, ,,3,58,55,3,1605.0
8:58.0, ,55-58,C. Cunningham misses 2-pt layup from 3 ft (block by J. Embiid),,3,58,55,3,1622.0
8:53.0,Defensive rebound by J. Embiid,55-58, ,,3,58,55,3,1627.0
8:53.0,Shooting foul by I. Stewart (drawn by T. Harris),55-58, ,,3,58,55,3,1627.0
8:53.0,T. Harris makes free throw 1 of 2,56-58, ,,3,58,56,2,1627.0
8:53.0,T. Harris makes free throw 2 of 2,57-58, ,,3,58,57,1,1627.0
8:32.0, ,57-60,I. Stewart makes 2-pt jump shot from 8 ft,,3,60,57,3,1648.0
8:14.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by T. Maxey),60-60, ,Tie,3,60,60,0,1666.0
8:03.0, ,60-60,Personal foul by D. Melton (drawn by K. Hayes),,3,60,60,0,1677.0
7:56.0, ,60-60,I. Stewart misses 3-pt jump shot from 27 ft,,3,60,60,0,1684.0
7:52.0,Defensive rebound by K. Oubre,60-60, ,,3,60,60,0,1688.0
7:46.0,D. Melton misses 3-pt jump shot from 27 ft,60-60, ,,3,60,60,0,1694.0
7:41.0, ,60-60,Defensive rebound by M. Sasser,,3,60,60,0,1699.0
7:39.0, ,60-62,K. Hayes makes 2-pt layup from 3 ft (assist by M. Sasser),,3,62,60,2,1701.0
7:27.0,Offensive foul by T. Harris (drawn by M. Sasser),60-62, ,,3,62,60,2,1713.0
7:27.0,Turnover by T. Harris (offensive foul),60-62, ,,3,62,60,2,1713.0
7:27.0,Philadelphia full timeout,60-62, ,,3,62,60,2,1713.0
7:27.0,Instant Replay (Challenge: Stands),60-62, ,,3,62,60,2,1713.0
7:07.0, ,60-62,C. Cunningham misses 2-pt hook shot from 6 ft,,3,62,60,2,1733.0
7:03.0,Defensive rebound by K. Oubre,60-62, ,,3,62,60,2,1737.0
6:58.0,K. Oubre misses 3-pt jump shot from 28 ft,60-62, ,,3,62,60,2,1742.0
6:54.0, ,60-62,Defensive rebound by J. Duren,,3,62,60,2,1746.0
6:35.0, ,60-62,J. Duren misses 2-pt hook shot from 7 ft,,3,62,60,2,1765.0
6:33.0,Defensive rebound by T. Maxey,60-62, ,,3,62,60,2,1767.0
6:30.0,T. Maxey makes 2-pt layup from 4 ft,62-62, ,Tie,3,62,62,0,1770.0
6:15.0, ,62-65,I. Stewart makes 3-pt jump shot from 25 ft (assist by M. Sasser),,3,65,62,3,1785.0
