Time,Detroit,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:41.0, ,20-21,Shooting foul by A. Burks (drawn by R. Jackson),,1,20,21,-1,559.0
2:41.0, ,20-22,R. Jackson makes free throw 1 of 2,,1,20,22,-2,559.0
2:41.0, ,20-22,D. Jordan enters the game for N. Jokić,,1,20,22,-2,559.0
2:41.0, ,20-23,R. Jackson makes free throw 2 of 2,,1,20,23,-3,559.0
2:27.0,A. Thompson misses 2-pt jump shot from 6 ft,20-23, ,,1,20,23,-3,573.0
2:25.0, ,20-23,Defensive rebound by D. Jordan,,1,20,23,-3,575.0
2:08.0, ,20-23,R. Jackson misses 2-pt jump shot from 12 ft,,1,20,23,-3,592.0
2:03.0,Defensive rebound by A. Burks,20-23, ,,1,20,23,-3,597.0
1:56.0,A. Burks misses 2-pt layup from 1 ft,20-23, ,,1,20,23,-3,604.0
1:54.0, ,20-23,Defensive rebound by D. Jordan,,1,20,23,-3,606.0
1:47.0, ,20-23,Personal foul by A. Thompson (drawn by D. Jordan),,1,20,23,-3,613.0
1:47.0, ,20-24,D. Jordan makes free throw 1 of 2,,1,20,24,-4,613.0
1:47.0, ,20-24,J. Murray enters the game for M. Porter,,1,20,24,-4,613.0
1:47.0, ,20-25,D. Jordan makes free throw 2 of 2,,1,20,25,-5,613.0
1:35.0,J. Wiseman misses 2-pt jump shot from 10 ft,20-25, ,,1,20,25,-5,625.0
1:32.0,Offensive rebound by A. Thompson,20-25, ,,1,20,25,-5,628.0
1:31.0,K. Knox makes 2-pt jump shot from 14 ft (assist by A. Thompson),22-25, ,,1,22,25,-3,629.0
1:28.0,Violation by Team (delay of game),22-25, ,,1,22,25,-3,632.0
1:19.0, ,22-25,Turnover by D. Jordan (bad pass),,1,22,25,-3,641.0
1:09.0,J. Wiseman makes 2-pt dunk at rim (assist by K. Hayes),24-25, ,,1,24,25,-1,651.0
0:45.0, ,24-25,P. Watson misses 2-pt jump shot from 14 ft,,1,24,25,-1,675.0
0:44.0, ,24-25,Offensive rebound by Team,,1,24,25,-1,676.0
0:42.0, ,24-28,J. Murray makes 3-pt jump shot from 26 ft (assist by R. Jackson),,1,24,28,-4,678.0
0:27.0,A. Burks misses 2-pt jump shot from 6 ft,24-28, ,,1,24,28,-4,693.0
0:26.0,Offensive rebound by A. Burks,24-28, ,,1,24,28,-4,694.0
0:26.0,A. Burks makes 2-pt layup from 1 ft,26-28, ,,1,26,28,-2,694.0
0:08.0, ,26-31,R. Jackson makes 3-pt jump shot from 27 ft (assist by J. Murray),,1,26,31,-5,712.0
0:03.0,K. Knox makes 3-pt jump shot from 25 ft (assist by K. Hayes),29-31, ,,1,29,31,-2,717.0
0:00.0, ,29-31,J. Murray misses 3-pt jump shot from 46 ft,,1,29,31,-2,720.0
0:00.0, ,29-31,Offensive rebound by Team,,1,29,31,-2,720.0
0:00.0,End of 1st quarter,29-31,,,1,29,31,-2,720.0
12:00.0,Start of 2nd quarter,29-31,,,2,29,31,-2,720.0
11:51.0, ,29-31,Shooting foul by C. Cunningham (drawn by D. Jordan),,2,29,31,-2,729.0
11:51.0, ,29-31,D. Jordan misses free throw 1 of 2,,2,29,31,-2,729.0
11:51.0, ,29-31,Offensive rebound by Team,,2,29,31,-2,729.0
11:51.0, ,29-31,D. Jordan misses free throw 2 of 2,,2,29,31,-2,729.0
11:49.0,Defensive rebound by A. Thompson,29-31, ,,2,29,31,-2,731.0
11:39.0,C. Cunningham misses 2-pt jump shot from 9 ft (block by D. Jordan),29-31, ,,2,29,31,-2,741.0
11:35.0, ,29-31,Defensive rebound by C. Braun,,2,29,31,-2,745.0
11:27.0, ,29-33,J. Murray makes 2-pt jump shot from 17 ft,,2,29,33,-4,753.0
11:00.0,A. Thompson makes 2-pt jump shot from 16 ft,31-33, ,,2,31,33,-2,780.0
10:45.0, ,31-35,J. Murray makes 2-pt dunk from 1 ft (assist by R. Jackson),,2,31,35,-4,795.0
10:37.0,Shooting foul by R. Jackson (drawn by K. Knox),31-35, ,,2,31,35,-4,803.0
10:37.0, ,31-35,K. Caldwell-Pope enters the game for R. Jackson,,2,31,35,-4,803.0
10:37.0,K. Knox makes free throw 1 of 2,32-35, ,,2,32,35,-3,803.0
10:37.0,K. Knox misses free throw 2 of 2,32-35, ,,2,32,35,-3,803.0
10:35.0, ,32-35,Defensive rebound by D. Jordan,,2,32,35,-3,805.0
10:12.0, ,32-35,J. Murray misses 2-pt jump shot from 19 ft,,2,32,35,-3,828.0
10:08.0,Defensive rebound by B. Bogdanović,32-35, ,,2,32,35,-3,832.0
10:01.0,B. Bogdanović makes 2-pt layup from 2 ft,34-35, ,,2,34,35,-1,839.0
9:41.0, ,34-35,J. Murray misses 3-pt jump shot from 25 ft,,2,34,35,-1,859.0
9:38.0,Defensive rebound by K. Knox,34-35, ,,2,34,35,-1,862.0
9:26.0,C. Cunningham misses 3-pt jump shot from 25 ft,34-35, ,,2,34,35,-1,874.0
9:26.0,Offensive rebound by A. Thompson,34-35, ,,2,34,35,-1,874.0
9:21.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by A. Thompson),37-35, ,Lead change,2,37,35,2,879.0
9:02.0, ,37-37,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by D. Jordan),Tie,2,37,37,0,898.0
8:42.0,J. Wiseman makes 2-pt dunk at rim (assist by K. Knox),39-37, ,,2,39,37,2,918.0
8:22.0, ,39-37,P. Watson misses 3-pt jump shot from 26 ft,,2,39,37,2,938.0
8:18.0,Defensive rebound by C. Cunningham,39-37, ,,2,39,37,2,942.0
8:09.0,K. Knox makes 2-pt layup from 1 ft (assist by C. Cunningham),41-37, ,,2,41,37,4,951.0
8:09.0, ,41-37,Denver full timeout,,2,41,37,4,951.0
8:09.0,J. Duren enters the game for A. Thompson,41-37, ,,2,41,37,4,951.0
8:09.0,J. Ivey enters the game for J. Wiseman,41-37, ,,2,41,37,4,951.0
8:09.0, ,41-37,R. Jackson enters the game for J. Murray,,2,41,37,4,951.0
8:09.0, ,41-37,M. Porter enters the game for P. Watson,,2,41,37,4,951.0
7:58.0, ,41-39,D. Jordan makes 2-pt dunk at rim (assist by R. Jackson),,2,41,39,2,962.0
7:43.0,Turnover by J. Ivey (step out of bounds),41-39, ,,2,41,39,2,977.0
7:28.0, ,41-41,C. Braun makes 2-pt layup at rim (assist by R. Jackson),Tie,2,41,41,0,992.0
7:10.0,J. Ivey misses 3-pt jump shot from 23 ft,41-41, ,,2,41,41,0,1010.0
7:07.0, ,41-41,Defensive rebound by D. Jordan,,2,41,41,0,1013.0
6:56.0, ,41-41,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,2,41,41,0,1024.0
6:53.0,Defensive rebound by J. Duren,41-41, ,,2,41,41,0,1027.0
