Time,Detroit,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:03.0, ,24-20,Shooting foul by A. Thompson (drawn by I. Jackson),,1,24,20,4,477.0
4:03.0, ,24-21,I. Jackson makes free throw 1 of 2,,1,24,21,3,477.0
4:03.0,K. Hayes enters the game for C. Cunningham,24-21, ,,1,24,21,3,477.0
4:03.0,S. Umude enters the game for A. Thompson,24-21, ,,1,24,21,3,477.0
4:03.0, ,24-22,I. Jackson makes free throw 2 of 2,,1,24,22,2,477.0
3:50.0,K. Hayes misses 2-pt jump shot from 10 ft,24-22, ,,1,24,22,2,490.0
3:47.0, ,24-22,Defensive rebound by I. Jackson,,1,24,22,2,493.0
3:34.0, ,24-22,Turnover by B. Mathurin (lost ball; steal by S. Umude),,1,24,22,2,506.0
3:31.0,S. Umude misses 2-pt layup from 3 ft,24-22, ,,1,24,22,2,509.0
3:27.0, ,24-22,Defensive rebound by J. Smith,,1,24,22,2,513.0
3:19.0, ,24-25,J. Smith makes 3-pt jump shot from 25 ft (assist by T. Haliburton),Lead change,1,24,25,-1,521.0
3:05.0,A. Burks misses 2-pt jump shot from 19 ft,24-25, ,,1,24,25,-1,535.0
3:03.0, ,24-25,Defensive rebound by J. Smith,,1,24,25,-1,537.0
2:56.0, ,24-27,T. Haliburton makes 2-pt layup from 4 ft,,1,24,27,-3,544.0
2:56.0,Detroit full timeout,24-27, ,,1,24,27,-3,544.0
2:56.0, ,24-27,A. Nembhard enters the game for T. Haliburton,,1,24,27,-3,544.0
2:44.0,Turnover by A. Burks (bad pass; steal by J. Smith),24-27, ,,1,24,27,-3,556.0
2:42.0, ,24-29,A. Nembhard makes 2-pt layup from 2 ft,,1,24,29,-5,558.0
2:42.0, ,24-29,Shooting foul by S. Umude (drawn by A. Nembhard),,1,24,29,-5,558.0
2:42.0, ,24-29,A. Nembhard misses free throw 1 of 1,,1,24,29,-5,558.0
2:40.0,Defensive rebound by J. Duren,24-29, ,,1,24,29,-5,560.0
2:30.0,K. Hayes misses 2-pt jump shot from 17 ft,24-29, ,,1,24,29,-5,570.0
2:27.0, ,24-29,Defensive rebound by J. Smith,,1,24,29,-5,573.0
2:20.0, ,24-29,B. Mathurin misses 2-pt layup from 2 ft (block by S. Umude),,1,24,29,-5,580.0
2:20.0, ,24-29,Offensive rebound by Team,,1,24,29,-5,580.0
2:12.0, ,24-29,A. Nembhard misses 2-pt layup from 4 ft,,1,24,29,-5,588.0
2:08.0,Defensive rebound by J. Duren,24-29, ,,1,24,29,-5,592.0
2:01.0,Turnover by A. Burks (bad pass),24-29, ,,1,24,29,-5,599.0
1:40.0, ,24-29,B. Brown misses 3-pt jump shot from 26 ft,,1,24,29,-5,620.0
1:36.0, ,24-29,Offensive rebound by A. Nembhard,,1,24,29,-5,624.0
1:34.0, ,24-29,Turnover by  (5 sec),,1,24,29,-5,626.0
1:25.0,A. Burks misses 2-pt jump shot from 18 ft,24-29, ,,1,24,29,-5,635.0
1:22.0, ,24-29,Defensive rebound by B. Brown,,1,24,29,-5,638.0
1:00.0, ,24-29,I. Jackson misses 2-pt jump shot from 11 ft,,1,24,29,-5,660.0
0:59.0, ,24-29,Offensive rebound by Team,,1,24,29,-5,661.0
0:59.0,Loose ball foul by S. Umude (drawn by J. Smith),24-29, ,,1,24,29,-5,661.0
0:59.0, ,24-30,J. Smith makes free throw 1 of 2,,1,24,30,-6,661.0
0:59.0,M. Sasser enters the game for S. Umude,24-30, ,,1,24,30,-6,661.0
0:59.0, ,24-31,J. Smith makes free throw 2 of 2,,1,24,31,-7,661.0
0:46.0,J. Duren misses 2-pt hook shot from 4 ft (block by I. Jackson),24-31, ,,1,24,31,-7,674.0
0:45.0,Offensive rebound by Team,24-31, ,,1,24,31,-7,675.0
0:37.0,K. Hayes makes 2-pt jump shot from 11 ft,26-31, ,,1,26,31,-5,683.0
0:18.0, ,26-33,A. Nembhard makes 2-pt jump shot from 15 ft,,1,26,33,-7,702.0
0:08.0,Personal foul by B. Brown (drawn by K. Hayes),26-33, ,,1,26,33,-7,712.0
0:01.0,J. Duren misses 3-pt jump shot from 27 ft,26-33, ,,1,26,33,-7,719.0
0:01.0,Offensive rebound by Team,26-33, ,,1,26,33,-7,719.0
0:00.0,End of 1st quarter,26-33,,,1,26,33,-7,720.0
12:00.0,Start of 2nd quarter,26-33,,,2,26,33,-7,720.0
11:37.0,Turnover by M. Bagley (bad pass; steal by B. Brown),26-33, ,,2,26,33,-7,743.0
11:32.0, ,26-36,J. Smith makes 3-pt jump shot from 26 ft (assist by B. Brown),,2,26,36,-10,748.0
11:17.0,I. Livers makes 3-pt jump shot from 25 ft (assist by M. Bagley),29-36, ,,2,29,36,-7,763.0
11:00.0, ,29-38,I. Jackson makes 2-pt hook shot from 3 ft (assist by A. Nembhard),,2,29,38,-9,780.0
11:00.0,C. Cunningham enters the game for K. Hayes,29-38, ,,2,29,38,-9,780.0
11:00.0,A. Thompson enters the game for S. Umude,29-38, ,,2,29,38,-9,780.0
10:40.0,C. Cunningham makes 3-pt jump shot from 27 ft,32-38, ,,2,32,38,-6,800.0
10:17.0, ,32-38,B. Mathurin misses 2-pt layup from 5 ft (block by M. Bagley),,2,32,38,-6,823.0
10:17.0, ,32-38,Offensive rebound by Team,,2,32,38,-6,823.0
10:17.0,I. Stewart enters the game for I. Livers,32-38, ,,2,32,38,-6,823.0
10:17.0, ,32-38,B. Hield enters the game for B. Brown,,2,32,38,-6,823.0
10:16.0, ,32-38,I. Jackson misses 2-pt layup from 1 ft (block by M. Bagley),,2,32,38,-6,824.0
10:13.0, ,32-38,Offensive rebound by I. Jackson,,2,32,38,-6,827.0
10:12.0, ,32-38,I. Jackson misses 3-pt jump shot from 25 ft,,2,32,38,-6,828.0
10:10.0,Defensive rebound by I. Stewart,32-38, ,,2,32,38,-6,830.0
10:02.0,C. Cunningham misses 3-pt jump shot from 26 ft,32-38, ,,2,32,38,-6,838.0
9:58.0, ,32-38,Defensive rebound by B. Mathurin,,2,32,38,-6,842.0
9:52.0, ,32-41,B. Mathurin makes 3-pt jump shot from 27 ft (assist by A. Nembhard),,2,32,41,-9,848.0
9:37.0,Personal foul by I. Jackson (drawn by C. Cunningham),32-41, ,,2,32,41,-9,863.0
9:32.0,C. Cunningham misses 2-pt layup from 4 ft (block by I. Jackson),32-41, ,,2,32,41,-9,868.0
9:29.0,Offensive rebound by M. Bagley,32-41, ,,2,32,41,-9,871.0
9:26.0,M. Sasser misses 2-pt jump shot from 14 ft,32-41, ,,2,32,41,-9,874.0
9:22.0,Offensive rebound by M. Bagley,32-41, ,,2,32,41,-9,878.0
9:22.0,M. Bagley makes 2-pt layup at rim,34-41, ,,2,34,41,-7,878.0
9:06.0, ,34-41,A. Nembhard misses 3-pt jump shot from 28 ft,,2,34,41,-7,894.0
9:04.0,Defensive rebound by A. Thompson,34-41, ,,2,34,41,-7,896.0
8:57.0,Turnover by A. Thompson (traveling),34-41, ,,2,34,41,-7,903.0
8:57.0,J. Ivey enters the game for M. Sasser,34-41, ,,2,34,41,-7,903.0
8:47.0, ,34-41,A. Nembhard misses 2-pt jump shot from 8 ft,,2,34,41,-7,913.0
8:45.0,Defensive rebound by M. Bagley,34-41, ,,2,34,41,-7,915.0
8:41.0,Offensive foul by J. Ivey (drawn by A. Nembhard),34-41, ,,2,34,41,-7,919.0
8:41.0,Turnover by J. Ivey (offensive foul),34-41, ,,2,34,41,-7,919.0
8:41.0, ,34-41,T. Haliburton enters the game for I. Jackson,,2,34,41,-7,919.0
8:41.0, ,34-41,O. Toppin enters the game for A. Nembhard,,2,34,41,-7,919.0
8:41.0, ,34-41,M. Turner enters the game for J. Smith,,2,34,41,-7,919.0
8:31.0, ,34-41,O. Toppin misses 3-pt jump shot from 23 ft,,2,34,41,-7,929.0
8:26.0,Defensive rebound by M. Bagley,34-41, ,,2,34,41,-7,934.0
8:13.0,C. Cunningham makes 2-pt jump shot from 15 ft,36-41, ,,2,36,41,-5,947.0
8:04.0, ,36-44,B. Hield makes 3-pt jump shot from 24 ft (assist by O. Toppin),,2,36,44,-8,956.0
7:52.0,M. Bagley misses 2-pt dunk from 2 ft (block by M. Turner),36-44, ,,2,36,44,-8,968.0
7:49.0,Offensive rebound by J. Ivey,36-44, ,,2,36,44,-8,971.0
7:49.0,J. Ivey misses 2-pt layup from 3 ft,36-44, ,,2,36,44,-8,971.0
7:47.0,Offensive rebound by J. Ivey,36-44, ,,2,36,44,-8,973.0
7:46.0,J. Ivey makes 2-pt layup from 3 ft,38-44, ,,2,38,44,-6,974.0
7:36.0, ,38-46,B. Hield makes 2-pt layup from 1 ft (assist by T. Haliburton),,2,38,46,-8,984.0
7:13.0,C. Cunningham misses 2-pt jump shot from 9 ft,38-46, ,,2,38,46,-8,1007.0
7:11.0,Offensive rebound by M. Bagley,38-46, ,,2,38,46,-8,1009.0
7:08.0,M. Bagley misses 2-pt layup from 2 ft,38-46, ,,2,38,46,-8,1012.0
7:08.0, ,38-46,Defensive rebound by B. Hield,,2,38,46,-8,1012.0
6:58.0, ,38-46,Indiana full timeout,,2,38,46,-8,1022.0
6:58.0,J. Duren enters the game for M. Bagley,38-46, ,,2,38,46,-8,1022.0
6:51.0, ,38-49,T. Haliburton makes 3-pt jump shot from 27 ft,,2,38,49,-11,1029.0
6:34.0,C. Cunningham makes 2-pt jump shot from 13 ft (assist by J. Duren),40-49, ,,2,40,49,-9,1046.0
6:17.0, ,40-52,T. Haliburton makes 3-pt jump shot from 26 ft,,2,40,52,-12,1063.0
6:00.0,C. Cunningham makes 2-pt layup from 3 ft,42-52, ,,2,42,52,-10,1080.0
6:00.0, ,42-52,Violation by Team (def goaltending),,2,42,52,-10,1080.0
5:50.0, ,42-52,T. Haliburton misses 3-pt jump shot from 27 ft,,2,42,52,-10,1090.0
5:50.0,Defensive rebound by J. Duren,42-52, ,,2,42,52,-10,1090.0
5:42.0,Shooting foul by B. Mathurin (drawn by C. Cunningham),42-52, ,,2,42,52,-10,1098.0
5:42.0,C. Cunningham makes free throw 1 of 2,43-52, ,,2,43,52,-9,1098.0
5:42.0,C. Cunningham makes free throw 2 of 2,44-52, ,,2,44,52,-8,1098.0
5:32.0, ,44-54,B. Hield makes 2-pt layup from 2 ft (assist by T. Haliburton),,2,44,54,-10,1108.0
5:16.0,C. Cunningham misses 2-pt jump shot from 7 ft,44-54, ,,2,44,54,-10,1124.0
5:14.0,Offensive rebound by J. Duren,44-54, ,,2,44,54,-10,1126.0
5:12.0,J. Duren makes 2-pt layup from 2 ft,46-54, ,,2,46,54,-8,1128.0
5:06.0, ,46-54,B. Mathurin misses 2-pt layup from 3 ft,,2,46,54,-8,1134.0
5:06.0, ,46-54,Offensive rebound by Team,,2,46,54,-8,1134.0
5:06.0,I. Livers enters the game for I. Stewart,46-54, ,,2,46,54,-8,1134.0
5:06.0, ,46-54,B. Brown enters the game for B. Mathurin,,2,46,54,-8,1134.0
5:02.0, ,46-54,Turnover by T. Haliburton (bad pass; steal by J. Duren),,2,46,54,-8,1138.0
5:00.0,Shooting foul by B. Hield (drawn by J. Ivey),46-54, ,,2,46,54,-8,1140.0
5:00.0,J. Ivey misses free throw 1 of 2,46-54, ,,2,46,54,-8,1140.0
5:00.0,Offensive rebound by Team,46-54, ,,2,46,54,-8,1140.0
5:00.0,J. Ivey makes free throw 2 of 2,47-54, ,,2,47,54,-7,1140.0
4:49.0, ,47-54,B. Hield misses 3-pt jump shot from 24 ft,,2,47,54,-7,1151.0
4:46.0,Defensive rebound by J. Duren,47-54, ,,2,47,54,-7,1154.0
4:37.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),49-54, ,,2,49,54,-5,1163.0
4:24.0, ,49-56,O. Toppin makes 2-pt dunk from 1 ft (assist by T. Haliburton),,2,49,56,-7,1176.0
4:11.0,A. Thompson makes 2-pt layup from 3 ft,51-56, ,,2,51,56,-5,1189.0
3:56.0, ,51-56,M. Turner misses 2-pt jump shot from 6 ft,,2,51,56,-5,1204.0
3:54.0,Defensive rebound by A. Thompson,51-56, ,,2,51,56,-5,1206.0
3:50.0,J. Ivey makes 2-pt layup from 5 ft (assist by A. Thompson),53-56, ,,2,53,56,-3,1210.0
3:50.0,Shooting foul by B. Hield (drawn by J. Ivey),53-56, ,,2,53,56,-3,1210.0
3:50.0,J. Ivey makes free throw 1 of 1,54-56, ,,2,54,56,-2,1210.0
3:31.0, ,54-56,T. Haliburton misses 3-pt jump shot from 27 ft,,2,54,56,-2,1229.0
3:26.0,Defensive rebound by I. Livers,54-56, ,,2,54,56,-2,1234.0
3:11.0,C. Cunningham misses 3-pt jump shot from 26 ft,54-56, ,,2,54,56,-2,1249.0
3:10.0, ,54-56,Defensive rebound by Team,,2,54,56,-2,1250.0
3:01.0, ,54-59,B. Hield makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,2,54,59,-5,1259.0
2:59.0,Detroit full timeout,54-59, ,,2,54,59,-5,1261.0
2:45.0,C. Cunningham makes 2-pt jump shot from 16 ft,56-59, ,,2,56,59,-3,1275.0
2:29.0, ,56-59,Offensive foul by M. Turner (drawn by A. Thompson),,2,56,59,-3,1291.0
2:29.0, ,56-59,Turnover by M. Turner (offensive foul),,2,56,59,-3,1291.0
2:29.0, ,56-59,J. Smith enters the game for M. Turner,,2,56,59,-3,1291.0
2:17.0,C. Cunningham makes 2-pt layup from 6 ft,58-59, ,,2,58,59,-1,1303.0
2:03.0, ,58-59,T. Haliburton misses 2-pt jump shot from 14 ft,,2,58,59,-1,1317.0
2:01.0, ,58-59,Offensive rebound by J. Smith,,2,58,59,-1,1319.0
1:47.0, ,58-59,Turnover by J. Smith (lost ball; steal by J. Ivey),,2,58,59,-1,1333.0
1:43.0,J. Ivey makes 2-pt layup from 3 ft,60-59, ,Lead change,2,60,59,1,1337.0
1:40.0, ,60-59,Indiana full timeout,,2,60,59,1,1340.0
1:40.0, ,60-59,A. Nembhard enters the game for O. Toppin,,2,60,59,1,1340.0
1:17.0, ,60-61,B. Hield makes 2-pt layup from 2 ft,Lead change,2,60,61,-1,1363.0
0:57.0,Turnover by C. Cunningham (step out of bounds),60-61, ,,2,60,61,-1,1383.0
0:33.0, ,60-61,B. Hield misses 3-pt jump shot from 25 ft,,2,60,61,-1,1407.0
0:30.0,Defensive rebound by J. Duren,60-61, ,,2,60,61,-1,1410.0
0:10.0,Shooting foul by B. Brown (drawn by C. Cunningham),60-61, ,,2,60,61,-1,1430.0
0:10.0,C. Cunningham makes free throw 1 of 3,61-61, ,Tie,2,61,61,0,1430.0
0:10.0,C. Cunningham makes free throw 2 of 3,62-61, ,Lead change,2,62,61,1,1430.0
0:10.0,S. Umude enters the game for J. Ivey,62-61, ,,2,62,61,1,1430.0
0:10.0,C. Cunningham makes free throw 3 of 3,63-61, ,,2,63,61,2,1430.0
0:01.0, ,63-61,B. Brown misses 2-pt layup from 5 ft (block by J. Duren),,2,63,61,2,1439.0
0:01.0, ,63-61,Offensive rebound by Team,,2,63,61,2,1439.0
0:00.0,End of 2nd quarter,63-61,,,2,63,61,2,1440.0
12:00.0,Start of 3rd quarter,63-61,,,3,63,61,2,1440.0
11:42.0,M. Bagley makes 2-pt hook shot from 8 ft,65-61, ,,3,65,61,4,1458.0
11:24.0, ,65-61,B. Hield misses 2-pt layup from 5 ft (block by A. Thompson),,3,65,61,4,1476.0
11:23.0, ,65-61,Offensive rebound by Team,,3,65,61,4,1477.0
11:19.0, ,65-61,Shooting foul by M. Bagley (drawn by M. Turner),,3,65,61,4,1481.0
11:19.0, ,65-62,M. Turner makes free throw 1 of 2,,3,65,62,3,1481.0
11:19.0, ,65-63,M. Turner makes free throw 2 of 2,,3,65,63,2,1481.0
11:04.0,C. Cunningham makes 2-pt jump shot from 19 ft,67-63, ,,3,67,63,4,1496.0
10:54.0, ,67-63,T. Haliburton misses 3-pt jump shot from 26 ft,,3,67,63,4,1506.0
10:52.0,Defensive rebound by M. Bagley,67-63, ,,3,67,63,4,1508.0
10:48.0,Personal foul by O. Toppin (drawn by I. Stewart),67-63, ,,3,67,63,4,1512.0
10:44.0,C. Cunningham misses 2-pt jump shot from 15 ft,67-63, ,,3,67,63,4,1516.0
10:40.0, ,67-63,Defensive rebound by M. Turner,,3,67,63,4,1520.0
10:32.0, ,67-65,O. Toppin makes 2-pt layup from 2 ft,,3,67,65,2,1528.0
10:13.0,A. Thompson makes 2-pt jump shot from 9 ft,69-65, ,,3,69,65,4,1547.0
10:02.0, ,69-65,B. Hield misses 2-pt jump shot from 20 ft,,3,69,65,4,1558.0
9:59.0,Defensive rebound by C. Cunningham,69-65, ,,3,69,65,4,1561.0
9:56.0,J. Ivey misses 3-pt jump shot from 23 ft,69-65, ,,3,69,65,4,1564.0
9:54.0, ,69-65,Defensive rebound by Team,,3,69,65,4,1566.0
9:36.0, ,69-65,M. Turner misses 2-pt layup from 2 ft (block by M. Bagley),,3,69,65,4,1584.0
9:32.0, ,69-65,Offensive rebound by M. Turner,,3,69,65,4,1588.0
9:31.0, ,69-67,M. Turner makes 2-pt dunk from 1 ft,,3,69,67,2,1589.0
9:17.0,M. Bagley misses 2-pt layup from 3 ft (block by M. Turner),69-67, ,,3,69,67,2,1603.0
9:14.0, ,69-67,Defensive rebound by B. Hield,,3,69,67,2,1606.0
9:09.0, ,69-70,O. Toppin makes 3-pt jump shot from 26 ft (assist by T. Haliburton),Lead change,3,69,70,-1,1611.0
8:50.0, ,69-70,Violation by Team (kicked ball),,3,69,70,-1,1630.0
8:44.0,I. Stewart misses 2-pt layup from 4 ft,69-70, ,,3,69,70,-1,1636.0
8:43.0, ,69-70,Defensive rebound by M. Turner,,3,69,70,-1,1637.0
8:36.0, ,69-73,T. Haliburton makes 3-pt jump shot from 25 ft (assist by B. Brown),,3,69,73,-4,1644.0
8:35.0,Detroit full timeout,69-73, ,,3,69,73,-4,1645.0
8:21.0,C. Cunningham misses 2-pt jump shot from 15 ft,69-73, ,,3,69,73,-4,1659.0
8:20.0,Offensive rebound by Team,69-73, ,,3,69,73,-4,1660.0
8:20.0, ,69-73,Loose ball foul by M. Turner (drawn by M. Bagley),,3,69,73,-4,1660.0
8:20.0, ,69-73,I. Jackson enters the game for O. Toppin,,3,69,73,-4,1660.0
8:20.0, ,69-73,J. Smith enters the game for M. Turner,,3,69,73,-4,1660.0
8:13.0,C. Cunningham misses 2-pt layup from 4 ft (block by I. Jackson),69-73, ,,3,69,73,-4,1667.0
8:10.0, ,69-73,Defensive rebound by B. Hield,,3,69,73,-4,1670.0
8:04.0, ,69-73,T. Haliburton misses 2-pt layup from 3 ft,,3,69,73,-4,1676.0
8:01.0, ,69-73,Offensive rebound by I. Jackson,,3,69,73,-4,1679.0
8:01.0, ,69-75,I. Jackson makes 2-pt layup from 1 ft,,3,69,75,-6,1679.0
7:42.0,J. Ivey makes 2-pt layup from 2 ft (assist by M. Bagley),71-75, ,,3,71,75,-4,1698.0
7:29.0, ,71-75,Offensive foul by I. Jackson (drawn by M. Bagley),,3,71,75,-4,1711.0
7:29.0, ,71-75,Turnover by I. Jackson (offensive foul),,3,71,75,-4,1711.0
7:29.0,J. Duren enters the game for M. Bagley,71-75, ,,3,71,75,-4,1711.0
7:17.0,A. Thompson makes 2-pt jump shot from 11 ft,73-75, ,,3,73,75,-2,1723.0
6:56.0, ,73-75,I. Jackson misses 2-pt layup from 1 ft (block by A. Thompson),,3,73,75,-2,1744.0
6:56.0, ,73-75,Offensive rebound by Team,,3,73,75,-2,1744.0
6:53.0, ,73-75,Shooting foul by J. Ivey (drawn by B. Hield),,3,73,75,-2,1747.0
6:53.0, ,73-76,B. Hield makes free throw 1 of 3,,3,73,76,-3,1747.0
6:53.0, ,73-77,B. Hield makes free throw 2 of 3,,3,73,77,-4,1747.0
6:53.0, ,73-78,B. Hield makes free throw 3 of 3,,3,73,78,-5,1747.0
6:46.0,Shooting foul by I. Jackson (drawn by J. Duren),73-78, ,,3,73,78,-5,1754.0
6:46.0,J. Duren misses free throw 1 of 2,73-78, ,,3,73,78,-5,1754.0
6:46.0,Offensive rebound by Team,73-78, ,,3,73,78,-5,1754.0
6:46.0,J. Duren makes free throw 2 of 2,74-78, ,,3,74,78,-4,1754.0
6:35.0, ,74-81,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Haliburton),,3,74,81,-7,1765.0
6:17.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by I. Stewart),77-81, ,,3,77,81,-4,1783.0
