A,B,C,D,E,F,Event
4:43.0,Shooting foul by Q. Grimes (drawn by J. Butler), ,41-39, , ,
4:43.0, , ,41-39, ,R. Barrett enters the game for J. Hart,
4:43.0,J. Butler makes free throw 1 of 1,+1,42-39, , ,
4:29.0, , ,42-39, ,Turnover by J. Randle (bad pass; steal by J. Butler),
4:22.0,J. Butler makes 3-pt jump shot from 23 ft (assist by C. Martin),+3,45-39, , ,
4:03.0, , ,45-41,+2,M. Robinson makes 2-pt dunk from 1 ft (assist by Q. Grimes),
3:46.0,J. Jaquez makes 2-pt jump shot from 4 ft (assist by K. Love),+2,47-41, , ,
3:27.0, , ,47-43,+2,J. Brunson makes 2-pt jump shot from 6 ft,
3:15.0,J. Butler misses 2-pt layup from 4 ft, ,47-43, , ,
3:13.0, , ,47-43, ,Defensive rebound by J. Randle,
3:07.0, , ,47-43, ,R. Barrett misses 3-pt jump shot from 23 ft,
3:05.0,Defensive rebound by K. Love, ,47-43, , ,
2:57.0,Miami full timeout, ,47-43, , ,
2:51.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),+3,50-43, , ,
2:31.0, , ,50-45,+2,J. Brunson makes 2-pt jump shot from 18 ft,
2:31.0, , ,50-45, ,Shooting foul by C. Martin (drawn by J. Brunson),
2:31.0,J. Richardson enters the game for C. Martin, ,50-45, , ,
2:31.0, , ,50-46,+1,J. Brunson makes free throw 1 of 1,
2:14.0,J. Richardson misses 3-pt jump shot from 26 ft, ,50-46, , ,
2:12.0, , ,50-46, ,Defensive rebound by J. Brunson,
2:08.0, , ,50-46, ,J. Brunson misses 3-pt jump shot from 25 ft,
2:06.0,Defensive rebound by J. Butler, ,50-46, , ,
1:52.0,J. Jaquez misses 2-pt jump shot from 6 ft, ,50-46, , ,
1:50.0, , ,50-46, ,Defensive rebound by M. Robinson,
1:47.0, , ,50-46, ,Shooting foul by J. Richardson (drawn by R. Barrett),
1:47.0, , ,50-47,+1,R. Barrett makes free throw 1 of 2,
1:47.0,B. Adebayo enters the game for K. Love, ,50-47, , ,
1:47.0, , ,50-48,+1,R. Barrett makes free throw 2 of 2,
1:34.0,B. Adebayo misses 2-pt jump shot from 15 ft, ,50-48, , ,
1:32.0, , ,50-48, ,Defensive rebound by J. Randle,
1:25.0, , ,50-48, ,Turnover by J. Randle (traveling),
1:09.0,K. Lowry misses 3-pt jump shot from 25 ft, ,50-48, , ,
1:07.0, , ,50-48, ,Defensive rebound by M. Robinson,
0:57.0, , ,50-48, ,J. Randle misses 2-pt jump shot from 7 ft,
0:56.0, , ,50-48, ,Offensive rebound by M. Robinson,
0:56.0, , ,50-48, ,M. Robinson misses 2-pt layup from 1 ft,
0:54.0, , ,50-48, ,Offensive rebound by Team,
0:54.0,Loose ball foul by B. Adebayo (drawn by M. Robinson), ,50-48, , ,
0:54.0, , ,50-48, ,M. Robinson misses free throw 1 of 2,
0:54.0, , ,50-48, ,Offensive rebound by Team,
0:54.0,H. Highsmith enters the game for B. Adebayo, ,50-48, , ,
0:54.0,K. Love enters the game for J. Richardson, ,50-48, , ,
0:54.0, , ,50-48, ,M. Robinson misses free throw 2 of 2,
0:52.0,Defensive rebound by K. Lowry, ,50-48, , ,
0:32.0,J. Jaquez misses 2-pt jump shot from 6 ft, ,50-48, , ,
0:30.0,Offensive rebound by K. Lowry, ,50-48, , ,
0:25.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,50-48, , ,
0:23.0,Offensive rebound by K. Love, ,50-48, , ,
0:10.0,K. Love misses 3-pt jump shot from 25 ft, ,50-48, , ,
0:08.0, , ,50-48, ,Defensive rebound by J. Randle,
0:00.0, , ,50-51,+3,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Randle),Lead change
0:00.0, , ,50-51, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 2nd quarter,
3rd Q,
Time,Miami,,Score,,New York,
12:00.0,Start of 3rd quarter,
11:43.0, , ,50-51, ,J. Brunson misses 2-pt jump shot from 21 ft,
11:41.0,Defensive rebound by B. Adebayo, ,50-51, , ,
11:29.0,B. Adebayo makes 2-pt jump shot from 10 ft,+2,52-51, , ,Lead change
11:07.0, , ,52-51, ,Turnover by R. Barrett (bad pass; steal by J. Richardson),
11:04.0,Shooting foul by Q. Grimes (drawn by H. Highsmith), ,52-51, , ,
11:04.0,H. Highsmith makes free throw 1 of 2,+1,53-51, , ,
11:04.0,H. Highsmith makes free throw 2 of 2,+1,54-51, , ,
10:54.0, , ,54-51, ,Turnover by J. Brunson (bad pass; steal by B. Adebayo),
10:48.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by H. Highsmith),+3,57-51, , ,
10:47.0, , ,57-51, ,New York full timeout,
10:30.0, , ,57-51, ,R. Barrett misses 2-pt jump shot from 16 ft,
10:28.0,Defensive rebound by B. Adebayo, ,57-51, , ,
10:19.0,J. Butler makes 3-pt jump shot from 25 ft (assist by J. Richardson),+3,60-51, , ,
9:56.0, , ,60-51, ,Q. Grimes misses 3-pt jump shot from 23 ft,
9:54.0,Defensive rebound by H. Highsmith, ,60-51, , ,
9:37.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,60-51, , ,
9:35.0,Offensive rebound by K. Lowry, ,60-51, , ,
9:24.0,Turnover by J. Butler (bad pass), ,60-51, , ,
9:13.0, , ,60-51, ,Personal foul by J. Richardson (drawn by J. Brunson),
9:02.0, , ,60-51, ,J. Randle misses 2-pt jump shot from 5 ft,
9:01.0,Defensive rebound by Team, ,60-51, , ,
8:47.0,Shooting foul by Q. Grimes (drawn by J. Butler), ,60-51, , ,
