A,B,C,D,E,F,Event
5:04.0,Shooting foul by W. Gabriel (drawn by J. Butler), ,67-67, , ,
5:04.0,D. Dedmon enters the game for B. Adebayo, ,67-67, , ,
5:04.0,M. Strus enters the game for C. Martin, ,67-67, , ,
5:04.0,J. Butler makes free throw 1 of 1,+1,68-67, , ,Lead change
4:54.0, , ,68-67, ,Shooting foul by D. Dedmon (drawn by W. Gabriel),
4:54.0, , ,68-67, ,W. Gabriel misses free throw 1 of 2,
4:54.0, , ,68-67, ,Offensive rebound by Team,
4:54.0, , ,68-67, ,M. Christie enters the game for J. Toscano-Anderson,
4:54.0, , ,68-68,+1,W. Gabriel makes free throw 2 of 2,Tie
4:32.0,J. Butler misses 3-pt jump shot from 26 ft, ,68-68, , ,
4:29.0, , ,68-68, ,Defensive rebound by M. Christie,
4:21.0, , ,68-70,+2,R. Westbrook makes 2-pt jump shot from 8 ft,Lead change
4:00.0,V. Oladipo misses 3-pt jump shot from 27 ft, ,68-70, , ,
3:59.0, , ,68-70, ,Defensive rebound by R. Westbrook,
3:54.0, , ,68-70, ,A. Reaves misses 2-pt layup from 3 ft,
3:54.0, , ,68-70, ,Offensive rebound by K. Nunn,
3:53.0, , ,68-70, ,K. Nunn misses 2-pt layup at rim,
3:53.0, , ,68-70, ,Offensive rebound by K. Nunn,
3:53.0, , ,68-72,+2,K. Nunn makes 2-pt layup at rim,
3:53.0,Miami full timeout, ,68-72, , ,
3:53.0, , ,68-72, ,P. Beverley enters the game for A. Reaves,
3:40.0,V. Oladipo makes 2-pt jump shot from 12 ft (assist by K. Lowry),+2,70-72, , ,
3:27.0, , ,70-72, ,Personal foul by M. Strus (drawn by R. Westbrook),
3:27.0,G. Vincent enters the game for K. Lowry, ,70-72, , ,
3:15.0, , ,70-72, ,K. Nunn misses 3-pt jump shot from 25 ft,
3:10.0,Defensive rebound by M. Strus, ,70-72, , ,
3:02.0,D. Dedmon makes 2-pt jump shot from 7 ft (assist by V. Oladipo),+2,72-72, , ,Tie
2:53.0, , ,72-72, ,Shooting foul by D. Dedmon (drawn by R. Westbrook),
2:53.0, , ,72-72, ,R. Westbrook misses free throw 1 of 2,
2:53.0, , ,72-72, ,Offensive rebound by Team,
2:53.0, , ,72-73,+1,R. Westbrook makes free throw 2 of 2,
2:46.0,Turnover by V. Oladipo (bad pass; steal by R. Westbrook), ,72-73, , ,
2:38.0, , ,72-73, ,Turnover by M. Christie (bad pass; steal by M. Strus),
2:34.0,J. Butler makes 2-pt dunk from 1 ft (assist by V. Oladipo),+2,74-73, , ,Lead change
2:19.0, , ,74-75,+2,W. Gabriel makes 2-pt hook shot from 5 ft (assist by M. Christie),Lead change
2:04.0,M. Strus misses 3-pt jump shot from 27 ft, ,74-75, , ,
2:03.0, , ,74-75, ,Defensive rebound by R. Westbrook,
1:55.0, , ,74-75, ,P. Beverley misses 3-pt jump shot from 26 ft,
1:54.0,Defensive rebound by Team, ,74-75, , ,
1:54.0, , ,74-75, ,Loose ball foul by W. Gabriel (drawn by D. Dedmon),
1:54.0,B. Adebayo enters the game for J. Butler, ,74-75, , ,
1:54.0,T. Herro enters the game for D. Dedmon, ,74-75, , ,
1:54.0, , ,74-75, ,D. Schröder enters the game for M. Christie,
1:43.0,Personal foul by R. Westbrook (drawn by B. Adebayo), ,74-75, , ,
1:43.0,B. Adebayo makes free throw 1 of 2,+1,75-75, , ,Tie
1:43.0,B. Adebayo makes free throw 2 of 2,+1,76-75, , ,Lead change
1:22.0, , ,76-75, ,R. Westbrook misses 3-pt jump shot from 26 ft,
1:19.0,Defensive rebound by V. Oladipo, ,76-75, , ,
1:11.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by M. Strus),+2,78-75, , ,
0:55.0, , ,78-77,+2,R. Westbrook makes 2-pt layup from 2 ft,
0:37.0,B. Adebayo misses 2-pt hook shot from 8 ft, ,78-77, , ,
0:35.0, , ,78-77, ,Defensive rebound by W. Gabriel,
0:22.0, , ,78-79,+2,K. Nunn makes 2-pt jump shot from 15 ft,Lead change
0:06.0,Turnover by V. Oladipo (lost ball; steal by P. Beverley), ,78-79, , ,
0:06.0, , ,78-79, ,J. Toscano-Anderson enters the game for K. Nunn,
0:03.0,Jump ball: P. Beverley vs. V. Oladipo (P. Beverley gains possession),
0:00.0,End of 3rd quarter,
4th Q,
Time,Miami,,Score,,LA Lakers,
12:00.0,Start of 4th quarter,
11:36.0, , ,78-79, ,W. Gabriel misses 2-pt jump shot from 11 ft,
11:32.0,Defensive rebound by B. Adebayo, ,78-79, , ,
11:20.0,V. Oladipo misses 2-pt jump shot from 17 ft, ,78-79, , ,
11:16.0, , ,78-79, ,Defensive rebound by W. Gabriel,
11:14.0, , ,78-79, ,Offensive foul by W. Gabriel (drawn by G. Vincent),
11:14.0, , ,78-79, ,Turnover by W. Gabriel (offensive foul),
10:58.0,T. Herro makes 2-pt jump shot from 8 ft,+2,80-79, , ,Lead change
10:33.0, , ,80-79, ,W. Gabriel misses 2-pt hook shot from 9 ft,
10:30.0,Defensive rebound by V. Oladipo, ,80-79, , ,
10:10.0,T. Herro misses 2-pt jump shot from 13 ft, ,80-79, , ,
10:05.0, , ,80-79, ,Defensive rebound by R. Westbrook,
10:03.0, , ,80-79, ,K. Nunn misses 2-pt layup from 4 ft,
10:01.0,Defensive rebound by B. Adebayo, ,80-79, , ,
9:55.0,V. Oladipo makes 3-pt jump shot from 28 ft (assist by G. Vincent),+3,83-79, , ,
9:33.0, , ,83-81,+2,J. Toscano-Anderson makes 2-pt layup from 3 ft (assist by D. Schröder),
9:17.0,Shooting foul by J. Toscano-Anderson (drawn by M. Strus), ,83-81, , ,
9:17.0,M. Strus makes free throw 1 of 3,+1,84-81, , ,
9:17.0,M. Strus makes free throw 2 of 3,+1,85-81, , ,
9:17.0, , ,85-81, ,T. Bryant enters the game for W. Gabriel,
9:17.0, , ,85-81, ,A. Reaves enters the game for K. Nunn,
9:17.0,M. Strus makes free throw 3 of 3,+1,86-81, , ,
