event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,15,5,10,243.0,WAS,202310300WAS
,16,5,11,281.0,WAS,202310300WAS
,17,5,12,281.0,WAS,202310300WAS
,17,7,10,322.0,WAS,202310300WAS
,20,7,13,330.0,WAS,202310300WAS
,20,9,11,346.0,WAS,202310300WAS
,22,9,13,361.0,WAS,202310300WAS
,24,9,15,383.0,WAS,202310300WAS
,24,11,13,405.0,WAS,202310300WAS
,26,11,15,436.0,WAS,202310300WAS
,28,11,17,477.0,WAS,202310300WAS
,30,11,19,498.0,WAS,202310300WAS
,32,11,21,518.0,WAS,202310300WAS
,34,11,23,552.0,WAS,202310300WAS
,37,11,26,576.0,WAS,202310300WAS
,37,14,23,600.0,WAS,202310300WAS
,40,14,26,624.0,WAS,202310300WAS
,40,17,23,639.0,WAS,202310300WAS
,40,18,22,664.0,WAS,202310300WAS
,42,18,24,687.0,WAS,202310300WAS
,42,19,23,709.0,WAS,202310300WAS
,44,19,25,735.0,WAS,202310300WAS
,44,21,23,756.0,WAS,202310300WAS
,44,23,21,788.0,WAS,202310300WAS
,46,23,23,812.0,WAS,202310300WAS
,46,25,21,826.0,WAS,202310300WAS
,49,25,24,840.0,WAS,202310300WAS
,49,28,21,887.0,WAS,202310300WAS
,52,28,24,906.0,WAS,202310300WAS
,52,30,22,1013.0,WAS,202310300WAS
,54,30,24,1036.0,WAS,202310300WAS
,57,30,27,1065.0,WAS,202310300WAS
,60,30,30,1117.0,WAS,202310300WAS
,60,32,28,1135.0,WAS,202310300WAS
,63,32,31,1150.0,WAS,202310300WAS
,63,34,29,1162.0,WAS,202310300WAS
,65,34,31,1180.0,WAS,202310300WAS
,65,37,28,1190.0,WAS,202310300WAS
,65,39,26,1212.0,WAS,202310300WAS
,68,39,29,1225.0,WAS,202310300WAS
,70,39,31,1253.0,WAS,202310300WAS
,73,39,34,1273.0,WAS,202310300WAS
,73,41,32,1294.0,WAS,202310300WAS
,74,41,33,1312.0,WAS,202310300WAS
,75,41,34,1312.0,WAS,202310300WAS
,75,43,32,1321.0,WAS,202310300WAS
,75,46,29,1346.0,WAS,202310300WAS
,75,49,26,1373.0,WAS,202310300WAS
,75,51,24,1403.0,WAS,202310300WAS
,77,51,26,1413.0,WAS,202310300WAS
,79,51,28,1502.0,WAS,202310300WAS
,81,51,30,1529.0,WAS,202310300WAS
,84,51,33,1550.0,WAS,202310300WAS
,84,53,31,1604.0,WAS,202310300WAS
,86,53,33,1646.0,WAS,202310300WAS
,86,55,31,1676.0,WAS,202310300WAS
,88,55,33,1712.0,WAS,202310300WAS
,88,57,31,1748.0,WAS,202310300WAS
,88,58,30,1765.0,WAS,202310300WAS
,88,59,29,1765.0,WAS,202310300WAS
,90,59,31,1784.0,WAS,202310300WAS
,90,61,29,1809.0,WAS,202310300WAS
,92,61,31,1830.0,WAS,202310300WAS
,92,63,29,1846.0,WAS,202310300WAS
,94,63,31,1866.0,WAS,202310300WAS
,97,63,34,1891.0,WAS,202310300WAS
,97,65,32,1912.0,WAS,202310300WAS
,97,68,29,1929.0,WAS,202310300WAS
,100,68,32,1950.0,WAS,202310300WAS
,102,68,34,1979.0,WAS,202310300WAS
,103,68,35,1979.0,WAS,202310300WAS
,103,71,32,1992.0,WAS,202310300WAS
,106,71,35,2038.0,WAS,202310300WAS
,108,71,37,2077.0,WAS,202310300WAS
,108,72,36,2087.0,WAS,202310300WAS
,108,73,35,2118.0,WAS,202310300WAS
,108,75,33,2139.0,WAS,202310300WAS
,108,77,31,2194.0,WAS,202310300WAS
,108,78,30,2238.0,WAS,202310300WAS
,108,80,28,2263.0,WAS,202310300WAS
,110,80,30,2325.0,WAS,202310300WAS
,110,81,29,2339.0,WAS,202310300WAS
,110,82,28,2389.0,WAS,202310300WAS
,110,83,27,2389.0,WAS,202310300WAS
,110,85,25,2439.0,WAS,202310300WAS
,112,85,27,2466.0,WAS,202310300WAS
,112,86,26,2504.0,WAS,202310300WAS
,112,87,25,2504.0,WAS,202310300WAS
,112,89,23,2531.0,WAS,202310300WAS
,112,92,20,2572.0,WAS,202310300WAS
,112,93,19,2590.0,WAS,202310300WAS
,112,94,18,2590.0,WAS,202310300WAS
,114,94,20,2609.0,WAS,202310300WAS
,117,94,23,2638.0,WAS,202310300WAS
,117,97,20,2688.0,WAS,202310300WAS
,117,99,18,2719.0,WAS,202310300WAS
,117,101,16,2740.0,WAS,202310300WAS
,120,101,19,2764.0,WAS,202310300WAS
,120,102,18,2774.0,WAS,202310300WAS
,120,103,17,2774.0,WAS,202310300WAS
,120,105,15,2788.0,WAS,202310300WAS
,123,105,18,2803.0,WAS,202310300WAS
,123,106,17,2814.0,WAS,202310300WAS
,123,107,16,2814.0,WAS,202310300WAS
,126,107,19,2860.0,WAS,202310300WAS
F,126,107,19,2880.0,WAS,202310300WAS
,0,0,0,0.0,IND,202311010BOS
,2,0,2,17.0,IND,202311010BOS
T,2,2,0,27.0,IND,202311010BOS
,4,2,2,37.0,IND,202311010BOS
T,4,4,0,60.0,IND,202311010BOS
LC,4,6,-2,74.0,IND,202311010BOS
,5,6,-1,86.0,IND,202311010BOS
LC,8,6,2,108.0,IND,202311010BOS
,11,6,5,133.0,IND,202311010BOS
