id,OpponentName,Diffs
202302100MIA,Houston,"0,7,-1,4,2,6,2,-4,0"
202302110ORL,Orlando,"0,-7,-10,-16,-8,-5,-7,-10,4"
202302130MIA,Denver,"0,3,9,2,-3,-3,-6,-5,-4"
202302150BRK,Brooklyn,"0,-5,-1,1,4,0,-3,-7,-11"
202302240MIL,Milwaukee,"0,-7,-10,-15,-17,-21,-21,-29,-29"
202302250CHO,Charlotte,"0,-3,-13,-20,-3,-11,-10,-4,-5"
202302270PHI,Philadelphia,"0,2,6,6,8,4,4,7,2"
202303010MIA,Philadelphia,"0,4,4,-13,-18,-19,-19,-18,-23"
202303030MIA,New York,"0,3,-6,-13,-15,-7,-8,-2,-2"
202303040MIA,Atlanta,"0,7,3,11,17,19,12,9,8"
202303080MIA,Cleveland,"0,6,4,2,-4,-10,-5,-6,-4"
202303100MIA,Cleveland,"0,-3,1,2,-9,-5,-7,3,4"
202303110ORL,Orlando,"0,-5,-10,4,-3,2,-3,-15,-12"
202303130MIA,Utah,"0,6,7,-4,-1,-3,0,4,4"
202303150MIA,Memphis,"0,-2,2,2,12,14,28,23,19"
202303180CHI,Chicago,"0,-2,-14,-11,-25,-18,-13,-9,-14"
202303190DET,Detroit,"0,-1,-3,0,5,2,-7,-1,12"
202303220MIA,New York,"0,3,-1,3,3,4,6,3,7"
202303250MIA,Brooklyn,"0,5,8,10,4,-11,-17,-27,-29"
202303280TOR,Toronto,"0,4,-1,-1,-6,-14,-17,-19,-14"
202303290NYK,New York,"0,4,4,4,-2,0,0,-3,-9"
202304010MIA,Dallas,"0,-2,13,16,12,12,6,10,7"
202304040DET,Detroit,"0,-2,4,17,7,12,1,-3,13"
202304060PHI,Philadelphia,"0,3,10,16,21,18,18,29,28"
202304070WAS,Washington,"0,1,-3,0,-2,-13,-18,-18,-6"
202304090MIA,Orlando,"0,-4,-1,2,2,0,-1,13,13"
202304110MIA,Atlanta,"0,-8,-9,-17,-15,-5,-13,-11,-11"
202304140MIA,Chicago,"0,2,8,6,5,0,-1,-5,11"
