id,OpponentName,Diffs
202202260MIA,San Antonio,"0,-14,-12,-8,3,-2,2,13,4"
202202280MIA,Chicago,"0,10,9,15,9,19,24,20,13"
202203020MIL,Milwaukee,"0,-10,-8,1,2,2,4,14,-1"
202203030BRK,Brooklyn,"0,-11,-12,-11,-7,2,4,6,6"
202203050MIA,Philadelphia,"0,8,8,14,14,8,5,9,17"
202203070MIA,Houston,"0,-4,-7,-9,4,10,12,12,17"
202203090MIA,Phoenix,"0,11,-2,5,-2,-10,-17,-24,-21"
202203110MIA,Cleveland,"0,8,10,14,1,4,13,13,12"
202203120MIA,Minnesota,"0,-9,-5,2,12,7,-3,0,-9"
202203150MIA,Detroit,"0,4,7,-3,6,9,-5,-1,7"
202203180MIA,Oklahoma City,"0,5,1,5,15,26,24,19,12"
202203210PHI,Philadelphia,"0,6,6,-5,-1,-1,-2,3,-7"
202203230MIA,Golden State,"0,10,0,-4,0,-15,-1,-6,-14"
202203250MIA,New York,"0,-1,7,14,9,12,15,0,-8"
202203260MIA,Brooklyn,"0,6,-2,-9,-21,-25,-28,-23,-15"
202203280MIA,Sacramento,"0,1,12,10,16,20,25,18,23"
202203300BOS,Boston,"0,-1,-4,-4,1,3,-4,-1,8"
202204020CHI,Chicago,"0,3,1,6,9,10,19,14,18"
202204030TOR,Toronto,"0,-5,-6,-10,-10,-5,1,2,5"
202204050MIA,Charlotte,"0,-4,-3,-1,10,0,5,19,29"
202204080MIA,Atlanta,"0,0,2,1,-5,-5,4,-2,4"
202204100ORL,Orlando,"0,4,0,-11,-9,-6,-13,-13,-14"
