Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,75-71,,4,75,71,4,2160.0,Start of 4th quarter,Washington,202111200WAS
0:00.0,100-103,,4,100,103,-3,2880.0,End of 4th quarter,Washington,202111200WAS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. L. Garza (P. Tucker gains possession),Detroit,202111230DET
12:00.0,20-25,,2,20,25,-5,720.0,Start of 2nd quarter,Detroit,202111230DET
12:00.0,46-53,,3,46,53,-7,1440.0,Start of 3rd quarter,Detroit,202111230DET
12:00.0,67-76,,4,67,76,-9,2160.0,Start of 4th quarter,Detroit,202111230DET
0:00.0,100-92,,4,100,92,8,2880.0,End of 4th quarter,Detroit,202111230DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. K. Towns (J. Vanderbilt gains possession),Minnesota,202111240MIN
12:00.0,27-30,,2,27,30,-3,720.0,Start of 2nd quarter,Minnesota,202111240MIN
12:00.0,62-54,,3,62,54,8,1440.0,Start of 3rd quarter,Minnesota,202111240MIN
12:00.0,82-86,,4,82,86,-4,2160.0,Start of 4th quarter,Minnesota,202111240MIN
0:00.0,101-113,,4,101,113,-12,2880.0,End of 4th quarter,Minnesota,202111240MIN
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. N. Vučević (P. Tucker gains possession),Chicago,202111270CHI
12:00.0,27-20,,2,27,20,7,720.0,Start of 2nd quarter,Chicago,202111270CHI
12:00.0,49-46,,3,49,46,3,1440.0,Start of 3rd quarter,Chicago,202111270CHI
12:00.0,72-74,,4,72,74,-2,2160.0,Start of 4th quarter,Chicago,202111270CHI
0:00.0,107-104,,4,107,104,3,2880.0,End of 4th quarter,Chicago,202111270CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Jokić vs. B. Adebayo (A. Gordon gains possession),Denver,202111290MIA
12:00.0,32-23,,2,23,32,-9,720.0,Start of 2nd quarter,Denver,202111290MIA
12:00.0,63-43,,3,43,63,-20,1440.0,Start of 3rd quarter,Denver,202111290MIA
12:00.0,95-78,,4,78,95,-17,2160.0,Start of 4th quarter,Denver,202111290MIA
0:00.0,120-111,,4,111,120,-9,2880.0,End of 4th quarter,Denver,202111290MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Allen vs. D. Dedmon (D. Garland gains possession),Cleveland,202112010MIA
12:00.0,31-16,,2,16,31,-15,720.0,Start of 2nd quarter,Cleveland,202112010MIA
12:00.0,61-43,,3,43,61,-18,1440.0,Start of 3rd quarter,Cleveland,202112010MIA
12:00.0,87-63,,4,63,87,-24,2160.0,Start of 4th quarter,Cleveland,202112010MIA
0:00.0,111-85,,4,85,111,-26,2880.0,End of 4th quarter,Cleveland,202112010MIA
