Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,31-25,,2,31,25,6,720.0,Start of 2nd quarter,Charlotte,202311200CHO
6:03.0,76-71,,3,76,71,5,1797.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),Charlotte,202311200CHO
12:00.0,65-54,,3,65,54,11,1440.0,Start of 3rd quarter,Charlotte,202311200CHO
6:06.0,100-89,,4,100,89,11,2514.0, ,Charlotte,202311200CHO
12:00.0,87-81,,4,87,81,6,2160.0,Start of 4th quarter,Charlotte,202311200CHO
0:00.0,118-121,,5,118,121,-3,3180.0,End of 1st overtime,Charlotte,202311200CHO
0:00.0,118-119,,5,118,119,-1,3180.0, ,Charlotte,202311200CHO
6:09.0,7-15,,1,15,7,8,351.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),Milwaukee,202311220BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Lopez vs. K. Porziņģis (D. White gains possession),Milwaukee,202311220BOS
6:00.0,33-51,,2,51,33,18,1080.0, ,Milwaukee,202311220BOS
12:00.0,17-29,,2,29,17,12,720.0,Start of 2nd quarter,Milwaukee,202311220BOS
6:03.0,70-84,,3,84,70,14,1797.0, ,Milwaukee,202311220BOS
12:00.0,53-67,,3,67,53,14,1440.0,Start of 3rd quarter,Milwaukee,202311220BOS
6:02.0,91-104,,4,104,91,13,2518.0,J. Brown misses 2-pt layup from 2 ft (block by B. Lopez),Milwaukee,202311220BOS
12:00.0,79-94,,4,94,79,15,2160.0,Start of 4th quarter,Milwaukee,202311220BOS
0:00.0,116-119,,4,119,116,3,2880.0, ,Milwaukee,202311220BOS
6:16.0,14-8,,1,14,8,6,344.0,L. Kornet makes 2-pt layup from 3 ft (assist by D. White),Orlando,202311240ORL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. G. Bitadze (A. Horford gains possession),Orlando,202311240ORL
6:10.0,40-36,,2,40,36,4,1070.0, ,Orlando,202311240ORL
12:00.0,30-19,,2,30,19,11,720.0,Start of 2nd quarter,Orlando,202311240ORL
6:15.0,62-64,Lead change,3,62,64,-2,1785.0, ,Orlando,202311240ORL
12:00.0,56-48,,3,56,48,8,1440.0,Start of 3rd quarter,Orlando,202311240ORL
6:05.0,83-95,,4,83,95,-12,2515.0, ,Orlando,202311240ORL
12:00.0,74-77,,4,74,77,-3,2160.0,Start of 4th quarter,Orlando,202311240ORL
0:00.0,96-113,,4,96,113,-17,2880.0,End of 4th quarter,Orlando,202311240ORL
6:05.0,13-16,,1,16,13,3,355.0,D. White makes 2-pt layup from 5 ft,Atlanta,202311260BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. A. Horford (J. Brown gains possession),Atlanta,202311260BOS
6:02.0,39-48,,2,48,39,9,1078.0,Defensive rebound by J. Brown,Atlanta,202311260BOS
12:00.0,26-33,,2,33,26,7,720.0,Start of 2nd quarter,Atlanta,202311260BOS
6:05.0,64-80,,3,80,64,16,1795.0, ,Atlanta,202311260BOS
12:00.0,53-69,,3,69,53,16,1440.0,Start of 3rd quarter,Atlanta,202311260BOS
6:10.0,97-108,,4,108,97,11,2510.0, ,Atlanta,202311260BOS
12:00.0,82-90,,4,90,82,8,2160.0,Start of 4th quarter,Atlanta,202311260BOS
0:00.0,103-113,,4,113,103,10,2880.0,End of 4th quarter,Atlanta,202311260BOS
6:02.0,13-13,,1,13,13,0,358.0,Turnover by J. Brown (lost ball; steal by Z. LaVine),Chicago,202311280BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. A. Horford (C. White gains possession),Chicago,202311280BOS
6:11.0,33-51,,2,51,33,18,1069.0,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Holiday),Chicago,202311280BOS
12:00.0,20-31,,2,31,20,11,720.0,Start of 2nd quarter,Chicago,202311280BOS
6:02.0,57-85,,3,85,57,28,1798.0,P. Pritchard enters the game for D. White,Chicago,202311280BOS
12:00.0,50-69,,3,69,50,19,1440.0,Start of 3rd quarter,Chicago,202311280BOS
6:02.0,81-116,,4,116,81,35,2518.0, ,Chicago,202311280BOS
12:00.0,68-97,,4,97,68,29,2160.0,Start of 4th quarter,Chicago,202311280BOS
0:00.0,97-124,,4,124,97,27,2880.0, ,Chicago,202311280BOS
6:04.0,18-22,,1,22,18,4,356.0,Defensive rebound by A. Horford,Philadelphia,202312010BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: P. Reed vs. A. Horford (J. Brown gains possession),Philadelphia,202312010BOS
6:04.0,56-54,Lead change,2,54,56,-2,1076.0, ,Philadelphia,202312010BOS
12:00.0,36-44,,2,44,36,8,720.0,Start of 2nd quarter,Philadelphia,202312010BOS
6:14.0,79-82,,3,82,79,3,1786.0,D. White makes free throw 2 of 2,Philadelphia,202312010BOS
12:00.0,72-69,,3,69,72,-3,1440.0,Start of 3rd quarter,Philadelphia,202312010BOS
6:12.0,106-109,,4,109,106,3,2508.0,D. White makes 2-pt layup from 3 ft,Philadelphia,202312010BOS
