id,OpponentName,Diffs
202401100BOS,Minnesota,"0,4,5,7,1,1,-6,-3,7"
202401110MIL,Milwaukee,"0,-4,-18,-30,-37,-40,-41,-32,-33"
202401130BOS,Houston,"0,-5,4,5,11,19,26,32,32"
202401150TOR,Toronto,"0,4,4,4,6,-7,9,9,9"
202401170BOS,San Antonio,"0,5,5,15,25,20,16,23,19"
202401190BOS,Denver,"0,3,1,3,6,2,1,-1,-2"
202401210HOU,Houston,"0,7,10,7,15,13,10,8,9"
202401220DAL,Dallas,"0,-1,-2,10,6,11,11,12,9"
202401250MIA,Miami,"0,8,13,14,13,19,23,30,33"
202401270BOS,LA Clippers,"0,-2,-5,-13,-16,-26,-31,-31,-19"
202401290BOS,New Orleans,"0,-11,-11,-9,-10,-5,-6,0,6"
202401300BOS,Indiana,"0,7,10,12,15,5,3,8,5"
202402010BOS,LA Lakers,"0,-4,-3,-3,-14,-13,-10,-11,-9"
202402040BOS,Memphis,"0,8,9,4,20,20,23,29,40"
202402070BOS,Atlanta,"0,-1,-2,-3,4,1,5,11,8"
202402090BOS,Washington,"0,-1,-4,3,-7,0,13,9,4"
202402110MIA,Miami,"0,1,4,6,9,10,7,5,4"
202402130BRK,Brooklyn,"0,7,6,8,15,16,16,11,8"
202402140BOS,Brooklyn,"0,10,15,30,36,36,46,53,50"
202402220CHI,Chicago,"0,9,8,6,-3,5,13,18,17"
202402240NYK,New York,"0,-2,4,6,4,7,13,17,14"
202402270BOS,Philadelphia,"0,2,0,-4,2,8,11,10,18"
202403010BOS,Dallas,"0,8,6,9,7,2,12,18,28"
202403030BOS,Golden State,"0,0,22,32,44,52,53,45,52"
202403050CLE,Cleveland,"0,7,8,11,10,9,16,10,-1"
202403070DEN,Denver,"0,2,-2,-3,-8,-6,-10,-10,-6"
202403090PHO,Phoenix,"0,-3,5,11,12,12,9,11,10"
202403110POR,Portland,"0,3,9,15,14,13,13,16,22"
202403120UTA,Utah,"0,7,11,4,15,12,7,22,16"
202403140BOS,Phoenix,"0,-2,3,2,5,10,17,16,15"
202403170WAS,Washington,"0,0,18,29,28,29,30,22,26"
202403180BOS,Detroit,"0,1,3,10,13,16,26,27,25"
202403200BOS,Milwaukee,"0,11,5,18,13,16,18,10,3"
202403220DET,Detroit,"0,-3,-2,5,16,26,21,18,27"
202403230CHI,Chicago,"0,-3,0,5,6,-1,3,5,11"
202403250ATL,Atlanta,"0,13,22,25,18,9,6,-2,-2"
202403280ATL,Atlanta,"0,0,1,2,4,-1,1,3,-1,-1"
202403300NOP,New Orleans,"0,-5,-9,-3,2,8,15,17,12"
202404010CHO,Charlotte,"0,-6,-2,-2,6,14,16,13,14"
202404030BOS,Oklahoma City,"0,2,7,16,14,8,10,28,35"
202404050BOS,Sacramento,"0,-3,12,12,4,7,12,19,1"
202404070BOS,Portland,"0,0,6,8,7,13,8,12,17"
202404090MIL,Milwaukee,"0,-7,-16,-17,-20,-21,-11,-16,-13"
202404110BOS,New York,"0,-2,-3,-2,-21,-21,-29,-27,-9"
202404120BOS,Charlotte,"0,-1,6,11,26,26,18,31,33"
202404140BOS,Washington,"0,5,4,4,10,15,18,19,10"
