Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Embiid vs. J. Duren (I. Stewart gains possession),Philadelphia,202311100DET
12:00.0,21-33,,2,33,21,12,720.0,Start of 2nd quarter,Philadelphia,202311100DET
12:00.0,48-56,,3,56,48,8,1440.0,Start of 3rd quarter,Philadelphia,202311100DET
12:00.0,83-77,,4,77,83,-6,2160.0,Start of 4th quarter,Philadelphia,202311100DET
0:00.0,114-106,,4,106,114,-8,2880.0,End of 4th quarter,Philadelphia,202311100DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. N. Vučević (K. Hayes gains possession),Chicago,202311120CHI
12:00.0,31-22,,2,31,22,9,720.0,Start of 2nd quarter,Chicago,202311120CHI
12:00.0,50-55,,3,50,55,-5,1440.0,Start of 3rd quarter,Chicago,202311120CHI
12:00.0,81-84,,4,81,84,-3,2160.0,Start of 4th quarter,Chicago,202311120CHI
0:00.0,108-119,,4,108,119,-11,2880.0,End of 4th quarter,Chicago,202311120CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. M. Bagley (B. Bogdanović gains possession),Atlanta,202311140DET
12:00.0,38-29,,2,29,38,-9,720.0,Start of 2nd quarter,Atlanta,202311140DET
12:00.0,64-60,,3,60,64,-4,1440.0,Start of 3rd quarter,Atlanta,202311140DET
12:00.0,97-91,,4,91,97,-6,2160.0,Start of 4th quarter,Atlanta,202311140DET
0:00.0,126-120,,4,120,126,-6,2880.0,C. Cunningham misses 2-pt layup from 5 ft (block by C. Capela),Atlanta,202311140DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. J. Allen (D. Garland gains possession),Cleveland,202311170CLE
12:00.0,26-35,,2,26,35,-9,720.0,Start of 2nd quarter,Cleveland,202311170CLE
12:00.0,45-59,,3,45,59,-14,1440.0,Start of 3rd quarter,Cleveland,202311170CLE
12:00.0,73-80,,4,73,80,-7,2160.0,Start of 4th quarter,Cleveland,202311170CLE
0:00.0,100-108,,4,100,108,-8,2880.0,End of 4th quarter,Cleveland,202311170CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. J. Poeltl (D. Schröder gains possession),Toronto,202311190TOR
12:00.0,20-32,,2,20,32,-12,720.0,Start of 2nd quarter,Toronto,202311190TOR
12:00.0,45-69,,3,45,69,-24,1440.0,Start of 3rd quarter,Toronto,202311190TOR
12:00.0,72-104,,4,72,104,-32,2160.0,Start of 4th quarter,Toronto,202311190TOR
