Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:05.0,84-77,,3,77,84,-7,1795.0,Turnover by C. Martin (bad pass),Indiana,202312020MIA
12:00.0,65-65,,3,65,65,0,1440.0,Start of 3rd quarter,Indiana,202312020MIA
6:12.0,125-113,,4,113,125,-12,2508.0, ,Indiana,202312020MIA
12:00.0,106-98,,4,98,106,-8,2160.0,Start of 4th quarter,Indiana,202312020MIA
0:00.0,144-129,,4,129,144,-15,2880.0,End of 4th quarter,Indiana,202312020MIA
6:02.0,20-7,,1,20,7,13,358.0,Defensive rebound by C. Martin,Toronto,202312060TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Robinson vs. J. Poeltl (S. Barnes gains possession),Toronto,202312060TOR
6:02.0,51-48,,2,51,48,3,1078.0,Defensive rebound by N. Jović,Toronto,202312060TOR
12:00.0,37-32,,2,37,32,5,720.0,Start of 2nd quarter,Toronto,202312060TOR
6:09.0,78-66,,3,78,66,12,1791.0, ,Toronto,202312060TOR
12:00.0,64-66,,3,64,66,-2,1440.0,Start of 3rd quarter,Toronto,202312060TOR
6:18.0,97-89,,4,97,89,8,2502.0, ,Toronto,202312060TOR
12:00.0,87-84,,4,87,84,3,2160.0,Start of 4th quarter,Toronto,202312060TOR
0:00.0,112-103,,4,112,103,9,2880.0,End of 4th quarter,Toronto,202312060TOR
6:00.0,10-8,,1,8,10,-2,360.0,J. Butler misses 2-pt layup from 4 ft,Cleveland,202312080MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Allen vs. O. Robinson (M. Strus gains possession),Cleveland,202312080MIA
6:04.0,34-39,,2,39,34,5,1076.0, ,Cleveland,202312080MIA
12:00.0,17-25,,2,25,17,8,720.0,Start of 2nd quarter,Cleveland,202312080MIA
6:06.0,74-59,,3,59,74,-15,1794.0, ,Cleveland,202312080MIA
12:00.0,53-52,,3,52,53,-1,1440.0,Start of 3rd quarter,Cleveland,202312080MIA
6:08.0,98-88,,4,88,98,-10,2512.0, ,Cleveland,202312080MIA
12:00.0,88-75,,4,75,88,-13,2160.0,Start of 4th quarter,Cleveland,202312080MIA
0:00.0,111-99,,4,99,111,-12,2880.0,End of 4th quarter,Cleveland,202312080MIA
6:07.0,15-6,,1,15,6,9,353.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),Charlotte,202312110CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Robinson vs. N. Richards (T. Rozier gains possession),Charlotte,202312110CHO
6:03.0,42-35,,2,42,35,7,1077.0,Defensive rebound by T. Bryant,Charlotte,202312110CHO
12:00.0,29-24,,2,29,24,5,720.0,Start of 2nd quarter,Charlotte,202312110CHO
6:01.0,76-64,,3,76,64,12,1799.0,Defensive rebound by O. Robinson,Charlotte,202312110CHO
12:00.0,59-50,,3,59,50,9,1440.0,Start of 3rd quarter,Charlotte,202312110CHO
6:05.0,98-97,,4,98,97,1,2515.0, ,Charlotte,202312110CHO
12:00.0,89-77,,4,89,77,12,2160.0,Start of 4th quarter,Charlotte,202312110CHO
0:00.0,116-114,,4,116,114,2,2880.0, ,Charlotte,202312110CHO
6:18.0,16-12,,1,12,16,-4,342.0, ,Charlotte,202312130MIA
