Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:00.0,111-99,,4,99,111,-12,2520.0,C. Capela makes free throw 2 of 2,Philadelphia,202311170ATL
12:00.0,94-87,,4,87,94,-7,2160.0,Start of 4th quarter,Philadelphia,202311170ATL
0:00.0,126-116,,4,116,126,-10,2880.0, ,Philadelphia,202311170ATL
6:19.0,20-17,,1,17,20,-3,341.0, ,Indiana,202311210ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. C. Capela (B. Brown gains possession),Indiana,202311210ATL
6:01.0,51-62,,2,62,51,11,1079.0,Defensive rebound by S. Bey,Indiana,202311210ATL
12:00.0,34-40,,2,40,34,6,720.0,Start of 2nd quarter,Indiana,202311210ATL
6:00.0,95-103,,3,103,95,8,1800.0,C. Capela misses 2-pt layup from 3 ft (block by M. Turner),Indiana,202311210ATL
12:00.0,73-86,,3,86,73,13,1440.0,Start of 3rd quarter,Indiana,202311210ATL
6:13.0,136-132,,4,132,136,-4,2507.0,J. Johnson makes 2-pt layup from 2 ft,Indiana,202311210ATL
12:00.0,119-114,,4,114,119,-5,2160.0,Start of 4th quarter,Indiana,202311210ATL
0:00.0,157-152,,4,152,157,-5,2880.0, ,Indiana,202311210ATL
6:04.0,20-21,,1,21,20,1,356.0,Defensive rebound by J. Johnson,Brooklyn,202311220ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Claxton vs. C. Capela (S. Dinwiddie gains possession),Brooklyn,202311220ATL
6:08.0,52-58,,2,58,52,6,1072.0,Defensive rebound by J. Johnson,Brooklyn,202311220ATL
12:00.0,33-45,,2,45,33,12,720.0,Start of 2nd quarter,Brooklyn,202311220ATL
6:15.0,85-87,,3,87,85,2,1785.0, ,Brooklyn,202311220ATL
12:00.0,67-77,,3,77,67,10,1440.0,Start of 3rd quarter,Brooklyn,202311220ATL
6:12.0,110-115,,4,115,110,5,2508.0,D. Hunter makes 2-pt layup from 1 ft (assist by S. Bey),Brooklyn,202311220ATL
12:00.0,95-100,,4,100,95,5,2160.0,Start of 4th quarter,Brooklyn,202311220ATL
0:00.0,145-147,,5,147,145,2,3180.0,End of 1st overtime,Brooklyn,202311220ATL
6:09.0,21-13,,1,21,13,8,351.0, ,Washington,202311250WAS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. D. Gafford (J. Johnson gains possession),Washington,202311250WAS
6:04.0,50-43,,2,50,43,7,1076.0, ,Washington,202311250WAS
12:00.0,34-30,,2,34,30,4,720.0,Start of 2nd quarter,Washington,202311250WAS
6:01.0,87-65,,3,87,65,22,1799.0,D. Murray makes 3-pt jump shot from 27 ft (assist by C. Capela),Washington,202311250WAS
12:00.0,70-58,,3,70,58,12,1440.0,Start of 3rd quarter,Washington,202311250WAS
6:08.0,120-90,,4,120,90,30,2512.0, ,Washington,202311250WAS
12:00.0,107-78,,4,107,78,29,2160.0,Start of 4th quarter,Washington,202311250WAS
0:00.0,136-108,,4,136,108,28,2880.0,End of 4th quarter,Washington,202311250WAS
6:05.0,13-16,,1,13,16,-3,355.0, ,Boston,202311260BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. A. Horford (J. Brown gains possession),Boston,202311260BOS
6:02.0,39-48,,2,39,48,-9,1078.0, ,Boston,202311260BOS
12:00.0,26-33,,2,26,33,-7,720.0,Start of 2nd quarter,Boston,202311260BOS
6:05.0,64-80,,3,64,80,-16,1795.0,B. Bogdanović makes 3-pt jump shot from 26 ft,Boston,202311260BOS
12:00.0,53-69,,3,53,69,-16,1440.0,Start of 3rd quarter,Boston,202311260BOS
6:10.0,97-108,,4,97,108,-11,2510.0,D. Hunter makes free throw 3 of 3,Boston,202311260BOS
12:00.0,82-90,,4,82,90,-8,2160.0,Start of 4th quarter,Boston,202311260BOS
0:00.0,103-113,,4,103,113,-10,2880.0,End of 4th quarter,Boston,202311260BOS
6:09.0,15-17,,1,15,17,-2,351.0, ,Cleveland,202311280CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. J. Allen (M. Strus gains possession),Cleveland,202311280CLE
6:03.0,51-43,,2,51,43,8,1077.0, ,Cleveland,202311280CLE
12:00.0,33-29,,2,33,29,4,720.0,Start of 2nd quarter,Cleveland,202311280CLE
6:08.0,70-85,,3,70,85,-15,1792.0, ,Cleveland,202311280CLE
12:00.0,61-64,,3,61,64,-3,1440.0,Start of 3rd quarter,Cleveland,202311280CLE
6:01.0,99-117,,4,99,117,-18,2519.0,D. Hunter misses 3-pt jump shot from 27 ft,Cleveland,202311280CLE
12:00.0,90-102,,4,90,102,-12,2160.0,Start of 4th quarter,Cleveland,202311280CLE
0:00.0,105-128,,4,105,128,-23,2880.0,End of 4th quarter,Cleveland,202311280CLE
6:10.0,13-24,,1,13,24,-11,350.0, ,San Antonio,202311300SAS
