Time,Miami,Score,Boston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:04.0, ,12-25,J. Richardson misses 2-pt hook shot from 10 ft,,1,12,25,-13,596.0
2:01.0,Defensive rebound by D. Dedmon,12-25, ,,1,12,25,-13,599.0
1:51.0,G. Vincent misses 3-pt jump shot from 23 ft,12-25, ,,1,12,25,-13,609.0
1:48.0, ,12-25,Defensive rebound by D. Schröder,,1,12,25,-13,612.0
1:39.0, ,12-27,J. Richardson makes 2-pt jump shot from 15 ft,,1,12,27,-15,621.0
1:24.0,B. Adebayo makes 2-pt jump shot from 8 ft,14-27, ,,1,14,27,-13,636.0
1:00.0, ,14-27,G. Williams misses 3-pt jump shot from 27 ft,,1,14,27,-13,660.0
0:57.0,Defensive rebound by B. Adebayo,14-27, ,,1,14,27,-13,663.0
0:50.0,D. Robinson misses 3-pt jump shot from 23 ft,14-27, ,,1,14,27,-13,670.0
0:47.0, ,14-27,Defensive rebound by A. Horford,,1,14,27,-13,673.0
0:39.0, ,14-27,J. Tatum misses 3-pt jump shot from 27 ft,,1,14,27,-13,681.0
0:36.0,Defensive rebound by D. Robinson,14-27, ,,1,14,27,-13,684.0
0:27.0,D. Robinson misses 3-pt jump shot from 24 ft,14-27, ,,1,14,27,-13,693.0
0:24.0, ,14-27,Defensive rebound by Team,,1,14,27,-13,696.0
0:24.0,K. Guy enters the game for G. Vincent,14-27, ,,1,14,27,-13,696.0
0:00.0, ,14-27,J. Tatum misses 2-pt jump shot from 21 ft,,1,14,27,-13,720.0
0:00.0, ,14-27,Offensive rebound by Team,,1,14,27,-13,720.0
0:00.0,End of 1st quarter,14-27,,,1,14,27,-13,720.0
12:00.0,Start of 2nd quarter,14-27,,,2,14,27,-13,720.0
11:40.0,Loose ball foul by D. Robinson (drawn by A. Horford),14-27, ,,2,14,27,-13,740.0
11:40.0,Turnover by D. Robinson (turnover),14-27, ,,2,14,27,-13,740.0
11:40.0,M. Strus enters the game for D. Robinson,14-27, ,,2,14,27,-13,740.0
11:24.0, ,14-29,J. Richardson makes 2-pt layup from 3 ft (assist by A. Horford),,2,14,29,-15,756.0
11:02.0,T. Herro makes 2-pt jump shot from 12 ft (assist by C. Silva),16-29, ,,2,16,29,-13,778.0
10:43.0, ,16-31,J. Tatum makes 2-pt jump shot from 10 ft (assist by D. Schröder),,2,16,31,-15,797.0
10:31.0,Personal foul by J. Tatum (drawn by B. Adebayo),16-31, ,,2,16,31,-15,809.0
10:25.0,M. Strus makes 3-pt jump shot from 26 ft (assist by B. Adebayo),19-31, ,,2,19,31,-12,815.0
10:05.0, ,19-31,J. Tatum misses 2-pt jump shot from 16 ft,,2,19,31,-12,835.0
10:03.0,Defensive rebound by C. Silva,19-31, ,,2,19,31,-12,837.0
9:52.0,T. Herro makes 2-pt jump shot from 17 ft,21-31, ,,2,21,31,-10,848.0
9:37.0, ,21-31,D. Schröder misses 3-pt jump shot from 23 ft,,2,21,31,-10,863.0
9:35.0,Defensive rebound by T. Herro,21-31, ,,2,21,31,-10,865.0
9:21.0,M. Strus misses 3-pt jump shot from 29 ft,21-31, ,,2,21,31,-10,879.0
9:18.0,Offensive rebound by C. Silva,21-31, ,,2,21,31,-10,882.0
9:13.0,K. Guy makes 3-pt jump shot from 25 ft (assist by T. Herro),24-31, ,,2,24,31,-7,887.0
9:13.0, ,24-31,Boston full timeout,,2,24,31,-7,887.0
9:13.0, ,24-31,M. Smart enters the game for J. Richardson,,2,24,31,-7,887.0
8:55.0, ,24-31,G. Williams misses 3-pt jump shot from 27 ft,,2,24,31,-7,905.0
8:52.0, ,24-31,Offensive rebound by J. Tatum,,2,24,31,-7,908.0
8:51.0, ,24-31,Shooting foul by C. Silva (drawn by J. Tatum),,2,24,31,-7,909.0
8:51.0, ,24-31,J. Tatum misses free throw 1 of 2,,2,24,31,-7,909.0
8:51.0, ,24-31,Offensive rebound by Team,,2,24,31,-7,909.0
8:51.0, ,24-32,J. Tatum makes free throw 2 of 2,,2,24,32,-8,909.0
8:29.0,B. Adebayo misses 2-pt jump shot from 10 ft,24-32, ,,2,24,32,-8,931.0
8:26.0,Offensive rebound by Team,24-32, ,,2,24,32,-8,934.0
8:26.0, ,24-32,Loose ball foul by M. Smart (drawn by T. Herro),,2,24,32,-8,934.0
8:15.0,M. Strus misses 3-pt jump shot from 25 ft,24-32, ,,2,24,32,-8,945.0
8:13.0, ,24-32,Defensive rebound by J. Tatum,,2,24,32,-8,947.0
8:04.0, ,24-32,Turnover by A. Horford (out of bounds lost ball),,2,24,32,-8,956.0
8:04.0, ,24-32,J. Brown enters the game for J. Tatum,,2,24,32,-8,956.0
7:51.0,Shooting foul by G. Williams (drawn by C. Silva),24-32, ,,2,24,32,-8,969.0
7:51.0,C. Silva makes free throw 1 of 2,25-32, ,,2,25,32,-7,969.0
7:51.0,C. Silva makes free throw 2 of 2,26-32, ,,2,26,32,-6,969.0
7:37.0, ,26-32,J. Brown misses 2-pt jump shot from 16 ft,,2,26,32,-6,983.0
7:35.0,Defensive rebound by C. Silva,26-32, ,,2,26,32,-6,985.0
7:20.0,Turnover by C. Silva (lost ball; steal by G. Williams),26-32, ,,2,26,32,-6,1000.0
7:12.0, ,26-32,Shooting foul by B. Adebayo (drawn by M. Smart),,2,26,32,-6,1008.0
7:12.0, ,26-32,M. Smart misses free throw 1 of 2,,2,26,32,-6,1008.0
7:12.0, ,26-32,Offensive rebound by Team,,2,26,32,-6,1008.0
7:12.0,Defensive rebound by C. Silva,26-32, ,,2,26,32,-6,1008.0
7:12.0,C. Martin enters the game for B. Adebayo,26-32, ,,2,26,32,-6,1008.0
7:12.0, ,26-32,R. Williams enters the game for A. Horford,,2,26,32,-6,1008.0
7:12.0, ,26-32,M. Smart misses free throw 2 of 2,,2,26,32,-6,1008.0
6:55.0,T. Herro makes 3-pt jump shot from 26 ft (assist by M. Strus),29-32, ,,2,29,32,-3,1025.0
6:46.0, ,29-32,M. Smart misses 3-pt jump shot from 28 ft,,2,29,32,-3,1034.0
6:44.0,Defensive rebound by Team,29-32, ,,2,29,32,-3,1036.0
6:37.0,M. Strus makes 3-pt jump shot from 26 ft (assist by C. Martin),32-32, ,Tie,2,32,32,0,1043.0
6:34.0, ,32-32,Boston full timeout,,2,32,32,0,1046.0
6:34.0, ,32-32,J. Richardson enters the game for D. Schröder,,2,32,32,0,1046.0
6:34.0, ,32-32,J. Tatum enters the game for G. Williams,,2,32,32,0,1046.0
6:12.0, ,32-35,J. Brown makes 3-pt jump shot from 28 ft (assist by M. Smart),,2,32,35,-3,1068.0
6:00.0,Turnover by C. Martin (bad pass; steal by M. Smart),32-35, ,,2,32,35,-3,1080.0
5:58.0, ,32-37,M. Smart makes 2-pt layup from 1 ft,,2,32,37,-5,1082.0
5:40.0,C. Martin misses 3-pt jump shot from 23 ft,32-37, ,,2,32,37,-5,1100.0
5:37.0, ,32-37,Defensive rebound by R. Williams,,2,32,37,-5,1103.0
5:28.0, ,32-39,J. Brown makes 2-pt jump shot from 16 ft,,2,32,39,-7,1112.0
5:27.0,Miami full timeout,32-39, ,,2,32,39,-7,1113.0
5:27.0,Violation by Team (delay of game),32-39, ,,2,32,39,-7,1113.0
5:27.0,B. Adebayo enters the game for C. Silva,32-39, ,,2,32,39,-7,1113.0
5:11.0,Personal foul by J. Brown (drawn by B. Adebayo),32-39, ,,2,32,39,-7,1129.0
4:59.0,T. Herro misses 2-pt layup from 3 ft (block by R. Williams),32-39, ,,2,32,39,-7,1141.0
4:57.0, ,32-39,Defensive rebound by J. Tatum,,2,32,39,-7,1143.0
4:53.0, ,32-39,J. Brown misses 2-pt layup from 5 ft,,2,32,39,-7,1147.0
4:50.0,Defensive rebound by C. Martin,32-39, ,,2,32,39,-7,1150.0
4:46.0,C. Martin makes 2-pt layup from 3 ft,34-39, ,,2,34,39,-5,1154.0
4:26.0, ,34-39,J. Brown misses 3-pt jump shot from 26 ft,,2,34,39,-5,1174.0
4:22.0,Defensive rebound by K. Guy,34-39, ,,2,34,39,-5,1178.0
4:17.0,T. Herro misses 3-pt jump shot from 25 ft,34-39, ,,2,34,39,-5,1183.0
4:15.0, ,34-39,Defensive rebound by Team,,2,34,39,-5,1185.0
4:15.0,G. Vincent enters the game for K. Guy,34-39, ,,2,34,39,-5,1185.0
4:00.0, ,34-39,Turnover by J. Richardson (bad pass; steal by B. Adebayo),,2,34,39,-5,1200.0
3:56.0,C. Martin misses 2-pt layup at rim,34-39, ,,2,34,39,-5,1204.0
3:54.0, ,34-39,Defensive rebound by J. Tatum,,2,34,39,-5,1206.0
3:52.0, ,34-41,M. Smart makes 2-pt dunk from 2 ft (assist by J. Tatum),,2,34,41,-7,1208.0
3:26.0,C. Martin makes 2-pt dunk at rim (assist by B. Adebayo),36-41, ,,2,36,41,-5,1234.0
3:11.0, ,36-43,J. Brown makes 2-pt layup from 2 ft,,2,36,43,-7,1249.0
2:54.0,Shooting foul by J. Richardson (drawn by B. Adebayo),36-43, ,,2,36,43,-7,1266.0
2:54.0,B. Adebayo makes free throw 1 of 2,37-43, ,,2,37,43,-6,1266.0
2:54.0,K. Guy enters the game for T. Herro,37-43, ,,2,37,43,-6,1266.0
2:54.0,B. Adebayo misses free throw 2 of 2,37-43, ,,2,37,43,-6,1266.0
2:54.0, ,37-43,Defensive rebound by J. Tatum,,2,37,43,-6,1266.0
2:40.0, ,37-43,J. Tatum misses 3-pt jump shot from 26 ft,,2,37,43,-6,1280.0
2:37.0, ,37-43,Offensive rebound by J. Brown,,2,37,43,-6,1283.0
2:36.0, ,37-43,Shooting foul by M. Strus (drawn by J. Brown),,2,37,43,-6,1284.0
2:36.0, ,37-44,J. Brown makes free throw 1 of 2,,2,37,44,-7,1284.0
2:36.0, ,37-45,J. Brown makes free throw 2 of 2,,2,37,45,-8,1284.0
2:25.0,M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent),40-45, ,,2,40,45,-5,1295.0
2:09.0, ,40-45,Personal foul by G. Vincent (drawn by J. Tatum),,2,40,45,-5,1311.0
2:09.0, ,40-45,J. Tatum misses free throw 1 of 2,,2,40,45,-5,1311.0
2:09.0, ,40-45,Offensive rebound by Team,,2,40,45,-5,1311.0
2:09.0, ,40-46,J. Tatum makes free throw 2 of 2,,2,40,46,-6,1311.0
1:56.0,B. Adebayo makes 2-pt dunk from 1 ft,42-46, ,,2,42,46,-4,1324.0
1:56.0,Shooting foul by R. Williams (drawn by B. Adebayo),42-46, ,,2,42,46,-4,1324.0
1:56.0, ,42-46,A. Horford enters the game for J. Richardson,,2,42,46,-4,1324.0
1:56.0,B. Adebayo makes free throw 1 of 1,43-46, ,,2,43,46,-3,1324.0
1:32.0, ,43-46,J. Brown misses 3-pt jump shot from 27 ft,,2,43,46,-3,1348.0
1:29.0, ,43-46,Offensive rebound by A. Horford,,2,43,46,-3,1351.0
1:23.0, ,43-49,M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum),,2,43,49,-6,1357.0
1:12.0,K. Guy misses 3-pt jump shot from 26 ft,43-49, ,,2,43,49,-6,1368.0
1:09.0, ,43-49,Defensive rebound by A. Horford,,2,43,49,-6,1371.0
0:59.0, ,43-52,J. Tatum makes 3-pt jump shot from 26 ft,,2,43,52,-9,1381.0
0:49.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by M. Strus),45-52, ,,2,45,52,-7,1391.0
0:38.0, ,45-54,J. Tatum makes 2-pt layup from 2 ft,,2,45,54,-9,1402.0
0:33.0,G. Vincent misses 3-pt jump shot from 25 ft,45-54, ,,2,45,54,-9,1407.0
0:30.0, ,45-54,Defensive rebound by J. Brown,,2,45,54,-9,1410.0
0:11.0, ,45-54,R. Williams misses 2-pt dunk from 2 ft,,2,45,54,-9,1429.0
0:11.0, ,45-54,Offensive rebound by Team,,2,45,54,-9,1429.0
0:11.0,D. Dedmon enters the game for B. Adebayo,45-54, ,,2,45,54,-9,1429.0
0:11.0,T. Herro enters the game for G. Vincent,45-54, ,,2,45,54,-9,1429.0
0:01.0, ,45-54,J. Brown misses 3-pt jump shot from 22 ft,,2,45,54,-9,1439.0
0:01.0, ,45-54,Offensive rebound by Team,,2,45,54,-9,1439.0
0:00.0,End of 2nd quarter,45-54,,,2,45,54,-9,1440.0
12:00.0,Start of 3rd quarter,45-54,,,3,45,54,-9,1440.0
11:50.0,D. Robinson misses 3-pt jump shot from 26 ft,45-54, ,,3,45,54,-9,1450.0
11:48.0, ,45-54,Defensive rebound by J. Tatum,,3,45,54,-9,1452.0
11:25.0, ,45-57,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),,3,45,57,-12,1475.0
11:12.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),47-57, ,,3,47,57,-10,1488.0
11:03.0, ,47-57,Personal foul by G. Vincent (drawn by J. Tatum),,3,47,57,-10,1497.0
10:53.0, ,47-60,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,47,60,-13,1507.0
10:38.0,Offensive foul by B. Adebayo (drawn by J. Tatum),47-60, ,,3,47,60,-13,1522.0
10:38.0,Turnover by B. Adebayo (offensive foul),47-60, ,,3,47,60,-13,1522.0
10:22.0, ,47-62,R. Williams makes 2-pt dunk from 1 ft (assist by J. Tatum),,3,47,62,-15,1538.0
10:13.0,B. Adebayo makes 2-pt layup from 5 ft (assist by G. Vincent),49-62, ,,3,49,62,-13,1547.0
9:54.0, ,49-62,A. Horford misses 3-pt jump shot from 24 ft,,3,49,62,-13,1566.0
9:52.0, ,49-62,Offensive rebound by R. Williams,,3,49,62,-13,1568.0
9:51.0, ,49-65,M. Smart makes 3-pt jump shot from 27 ft (assist by R. Williams),,3,49,65,-16,1569.0
9:41.0,C. Martin makes 3-pt jump shot from 26 ft (assist by G. Vincent),52-65, ,,3,52,65,-13,1579.0
9:22.0, ,52-67,J. Brown makes 2-pt layup from 4 ft,,3,52,67,-15,1598.0
9:11.0,G. Vincent misses 3-pt jump shot from 25 ft,52-67, ,,3,52,67,-15,1609.0
9:09.0, ,52-67,Defensive rebound by J. Brown,,3,52,67,-15,1611.0
8:59.0, ,52-67,R. Williams misses 2-pt layup from 3 ft,,3,52,67,-15,1621.0
8:57.0,Defensive rebound by D. Robinson,52-67, ,,3,52,67,-15,1623.0
8:51.0,Turnover by G. Vincent (bad pass; steal by M. Smart),52-67, ,,3,52,67,-15,1629.0
8:38.0, ,52-67,Shooting foul by B. Adebayo (drawn by A. Horford),,3,52,67,-15,1642.0
8:38.0,Technical foul by B. Adebayo,52-67, ,,3,52,67,-15,1642.0
8:38.0, ,52-68,J. Tatum makes technical free throw,,3,52,68,-16,1642.0
8:38.0, ,52-68,A. Horford misses free throw 1 of 2,,3,52,68,-16,1642.0
8:38.0, ,52-68,Offensive rebound by Team,,3,52,68,-16,1642.0
8:38.0,D. Dedmon enters the game for B. Adebayo,52-68, ,,3,52,68,-16,1642.0
8:38.0, ,52-69,A. Horford makes free throw 2 of 2,,3,52,69,-17,1642.0
8:18.0,C. Martin misses 2-pt jump shot from 7 ft,52-69, ,,3,52,69,-17,1662.0
8:15.0, ,52-69,Defensive rebound by J. Tatum,,3,52,69,-17,1665.0
8:10.0, ,52-69,J. Brown misses 3-pt jump shot from 25 ft,,3,52,69,-17,1670.0
8:08.0,Defensive rebound by D. Robinson,52-69, ,,3,52,69,-17,1672.0
8:00.0,G. Vincent makes 2-pt layup from 5 ft,54-69, ,,3,54,69,-15,1680.0
7:47.0, ,54-71,R. Williams makes 2-pt layup from 3 ft (assist by M. Smart),,3,54,71,-17,1693.0
7:35.0,M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent),57-71, ,,3,57,71,-14,1705.0
7:12.0, ,57-71,Turnover by R. Williams (3 sec),,3,57,71,-14,1728.0
7:04.0,M. Strus misses 3-pt jump shot from 27 ft,57-71, ,,3,57,71,-14,1736.0
7:01.0, ,57-71,Defensive rebound by A. Horford,,3,57,71,-14,1739.0
6:51.0, ,57-71,J. Tatum misses 3-pt jump shot from 24 ft,,3,57,71,-14,1749.0
6:49.0,Defensive rebound by D. Dedmon,57-71, ,,3,57,71,-14,1751.0
6:41.0,G. Vincent misses 3-pt jump shot from 26 ft,57-71, ,,3,57,71,-14,1759.0
6:39.0, ,57-71,Defensive rebound by J. Tatum,,3,57,71,-14,1761.0
6:34.0, ,57-71,Turnover by J. Tatum (lost ball; steal by G. Vincent),,3,57,71,-14,1766.0
6:28.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by G. Vincent),60-71, ,,3,60,71,-11,1772.0
5:59.0, ,60-73,J. Brown makes 2-pt jump shot from 8 ft (assist by A. Horford),,3,60,73,-13,1801.0
5:44.0,Turnover by G. Vincent (bad pass; steal by R. Williams),60-73, ,,3,60,73,-13,1816.0
5:40.0, ,60-75,J. Tatum makes 2-pt dunk at rim (assist by R. Williams),,3,60,75,-15,1820.0
5:39.0,Miami full timeout,60-75, ,,3,60,75,-15,1821.0
5:39.0,T. Herro enters the game for G. Vincent,60-75, ,,3,60,75,-15,1821.0
5:39.0, ,60-75,G. Williams enters the game for A. Horford,,3,60,75,-15,1821.0
5:16.0,T. Herro misses 2-pt jump shot from 21 ft,60-75, ,,3,60,75,-15,1844.0
5:13.0, ,60-75,Defensive rebound by J. Tatum,,3,60,75,-15,1847.0
5:09.0, ,60-78,G. Williams makes 3-pt jump shot from 24 ft (assist by J. Brown),,3,60,78,-18,1851.0
4:53.0,M. Strus makes 3-pt jump shot from 23 ft (assist by T. Herro),63-78, ,,3,63,78,-15,1867.0
4:37.0, ,63-78,Shooting foul by D. Dedmon (drawn by J. Brown),,3,63,78,-15,1883.0
4:37.0, ,63-79,J. Brown makes free throw 1 of 2,,3,63,79,-16,1883.0
4:37.0, ,63-80,J. Brown makes free throw 2 of 2,,3,63,80,-17,1883.0
4:27.0,T. Herro misses 2-pt layup from 2 ft,63-80, ,,3,63,80,-17,1893.0
4:25.0,Offensive rebound by D. Dedmon,63-80, ,,3,63,80,-17,1895.0
4:23.0,D. Dedmon makes 2-pt dunk from 2 ft,65-80, ,,3,65,80,-15,1897.0
4:07.0, ,65-83,G. Williams makes 3-pt jump shot from 23 ft (assist by J. Brown),,3,65,83,-18,1913.0
3:51.0,C. Martin makes 2-pt jump shot from 22 ft,67-83, ,,3,67,83,-16,1929.0
3:34.0, ,67-86,J. Brown makes 3-pt jump shot from 26 ft,,3,67,86,-19,1946.0
3:17.0,T. Herro misses 3-pt jump shot from 27 ft,67-86, ,,3,67,86,-19,1963.0
3:17.0, ,67-86,Defensive rebound by J. Tatum,,3,67,86,-19,1963.0
3:13.0, ,67-86,J. Brown misses 3-pt jump shot from 25 ft,,3,67,86,-19,1967.0
3:09.0, ,67-86,Offensive rebound by G. Williams,,3,67,86,-19,1971.0
3:05.0, ,67-86,M. Smart misses 3-pt jump shot from 27 ft,,3,67,86,-19,1975.0
3:02.0,Defensive rebound by C. Martin,67-86, ,,3,67,86,-19,1978.0
2:57.0,C. Martin misses 2-pt jump shot from 5 ft,67-86, ,,3,67,86,-19,1983.0
2:54.0, ,67-86,Defensive rebound by R. Williams,,3,67,86,-19,1986.0
2:36.0, ,67-86,J. Tatum misses 2-pt jump shot from 23 ft,,3,67,86,-19,2004.0
2:33.0,Defensive rebound by D. Dedmon,67-86, ,,3,67,86,-19,2007.0
2:20.0,M. Strus misses 3-pt jump shot from 27 ft,67-86, ,,3,67,86,-19,2020.0
2:16.0,Offensive rebound by D. Robinson,67-86, ,,3,67,86,-19,2024.0
2:04.0,Offensive foul by D. Dedmon (drawn by M. Smart),67-86, ,,3,67,86,-19,2036.0
2:04.0,Turnover by D. Dedmon (offensive foul),67-86, ,,3,67,86,-19,2036.0
2:04.0, ,67-86,Boston full timeout,,3,67,86,-19,2036.0
2:04.0,B. Adebayo enters the game for C. Martin,67-86, ,,3,67,86,-19,2036.0
2:04.0,K. Guy enters the game for M. Strus,67-86, ,,3,67,86,-19,2036.0
