Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:37.0,M. Bagley enters the game for I. Stewart,8-11, ,,1,11,8,3,323.0
6:28.0, ,8-11,Shooting foul by C. Joseph (drawn by D. Robinson),,1,11,8,3,332.0
6:28.0, ,8-12,D. Robinson makes free throw 1 of 3,,1,12,8,4,332.0
6:28.0, ,8-13,D. Robinson makes free throw 2 of 3,,1,13,8,5,332.0
6:28.0, ,8-14,D. Robinson makes free throw 3 of 3,,1,14,8,6,332.0
6:05.0,C. Joseph makes 2-pt layup from 2 ft (assist by S. Bey),10-14, ,,1,14,10,4,355.0
5:55.0, ,10-14,Shooting foul by R. McGruder (drawn by J. Butler),,1,14,10,4,365.0
5:55.0, ,10-15,J. Butler makes free throw 1 of 2,,1,15,10,5,365.0
5:55.0, ,10-16,J. Butler makes free throw 2 of 2,,1,16,10,6,365.0
5:38.0,J. Grant misses 2-pt layup from 3 ft,10-16, ,,1,16,10,6,382.0
5:34.0, ,10-16,Defensive rebound by K. Lowry,,1,16,10,6,386.0
5:24.0, ,10-16,J. Butler misses 2-pt jump shot from 6 ft,,1,16,10,6,396.0
5:20.0,Defensive rebound by J. Grant,10-16, ,,1,16,10,6,400.0
5:16.0,S. Bey misses 3-pt jump shot from 27 ft,10-16, ,,1,16,10,6,404.0
5:13.0,Offensive rebound by Team,10-16, ,,1,16,10,6,407.0
5:13.0, ,10-16,Loose ball foul by B. Adebayo (drawn by C. Joseph),,1,16,10,6,407.0
5:13.0,K. Hayes enters the game for C. Joseph,10-16, ,,1,16,10,6,407.0
5:13.0,I. Livers enters the game for R. McGruder,10-16, ,,1,16,10,6,407.0
5:13.0, ,10-16,D. Dedmon enters the game for B. Adebayo,,1,16,10,6,407.0
5:13.0, ,10-16,T. Herro enters the game for K. Lowry,,1,16,10,6,407.0
5:06.0,K. Hayes makes 2-pt jump shot from 15 ft,12-16, ,,1,16,12,4,414.0
4:37.0, ,12-16,P. Tucker misses 2-pt layup from 4 ft,,1,16,12,4,443.0
4:35.0,Defensive rebound by M. Bagley,12-16, ,,1,16,12,4,445.0
4:29.0,J. Grant misses 3-pt jump shot from 26 ft,12-16, ,,1,16,12,4,451.0
4:26.0, ,12-16,Defensive rebound by D. Robinson,,1,16,12,4,454.0
4:22.0, ,12-16,Personal foul by I. Livers (drawn by D. Robinson),,1,16,12,4,458.0
4:22.0, ,12-17,D. Robinson makes free throw 1 of 2,,1,17,12,5,458.0
4:22.0, ,12-18,D. Robinson makes free throw 2 of 2,,1,18,12,6,458.0
4:08.0,K. Hayes misses 2-pt layup from 3 ft,12-18, ,,1,18,12,6,472.0
4:03.0,Offensive rebound by M. Bagley,12-18, ,,1,18,12,6,477.0
4:03.0,M. Bagley makes 2-pt layup at rim,14-18, ,,1,18,14,4,477.0
3:43.0, ,14-20,D. Dedmon makes 2-pt hook shot from 3 ft,,1,20,14,6,497.0
3:29.0,S. Bey makes 2-pt jump shot from 8 ft,16-20, ,,1,20,16,4,511.0
3:07.0, ,16-20,D. Robinson misses 3-pt jump shot from 25 ft,,1,20,16,4,533.0
3:04.0,Defensive rebound by J. Grant,16-20, ,,1,20,16,4,536.0
2:55.0,J. Grant makes 2-pt layup from 3 ft (assist by S. Bey),18-20, ,,1,20,18,2,545.0
2:32.0, ,18-22,J. Butler makes 2-pt layup from 1 ft,,1,22,18,4,568.0
2:26.0,Detroit full timeout,18-22, ,,1,22,18,4,574.0
2:26.0,K. Olynyk enters the game for J. Grant,18-22, ,,1,22,18,4,574.0
2:26.0, ,18-22,M. Morris enters the game for D. Robinson,,1,22,18,4,574.0
2:26.0, ,18-22,V. Oladipo enters the game for P. Tucker,,1,22,18,4,574.0
2:14.0,K. Olynyk misses 3-pt jump shot from 26 ft,18-22, ,,1,22,18,4,586.0
2:10.0, ,18-22,Defensive rebound by D. Dedmon,,1,22,18,4,590.0
1:54.0, ,18-22,V. Oladipo misses 3-pt jump shot from 26 ft,,1,22,18,4,606.0
1:50.0,Defensive rebound by M. Bagley,18-22, ,,1,22,18,4,610.0
1:37.0,Shooting foul by D. Dedmon (drawn by S. Bey),18-22, ,,1,22,18,4,623.0
1:37.0,S. Bey makes free throw 1 of 2,19-22, ,,1,22,19,3,623.0
1:37.0,S. Bey makes free throw 2 of 2,20-22, ,,1,22,20,2,623.0
1:17.0, ,20-24,M. Morris makes 2-pt jump shot from 14 ft (assist by J. Butler),,1,24,20,4,643.0
1:03.0,S. Bey makes 2-pt jump shot from 16 ft,22-24, ,,1,24,22,2,657.0
0:51.0, ,22-27,T. Herro makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,1,27,22,5,669.0
0:47.0,Turnover by K. Hayes (discontinued dribble),22-27, ,,1,27,22,5,673.0
0:47.0, ,22-27,B. Adebayo enters the game for J. Butler,,1,27,22,5,673.0
0:47.0, ,22-27,K. Lowry enters the game for D. Dedmon,,1,27,22,5,673.0
0:30.0, ,22-27,Turnover by M. Morris (lost ball; steal by K. Olynyk),,1,27,22,5,690.0
0:24.0,S. Bey misses 3-pt jump shot from 23 ft,22-27, ,,1,27,22,5,696.0
0:22.0, ,22-27,Defensive rebound by K. Lowry,,1,27,22,5,698.0
0:22.0, ,22-27,Personal foul by K. Hayes (drawn by K. Lowry),,1,27,22,5,698.0
0:22.0, ,22-28,K. Lowry makes free throw 1 of 2,,1,28,22,6,698.0
0:22.0, ,22-29,K. Lowry makes free throw 2 of 2,,1,29,22,7,698.0
0:02.0,Turnover by S. Bey (step out of bounds),22-29, ,,1,29,22,7,718.0
0:00.0,End of 1st quarter,22-29,,,1,29,22,7,720.0
12:00.0,Start of 2nd quarter,22-29,,,2,29,22,7,720.0
11:43.0,S. Bey misses 3-pt jump shot from 27 ft,22-29, ,,2,29,22,7,737.0
11:39.0,Offensive rebound by K. Olynyk,22-29, ,,2,29,22,7,741.0
11:36.0,K. Olynyk makes 2-pt layup from 7 ft,24-29, ,,2,29,24,5,744.0
11:18.0, ,24-29,Personal foul by M. Bagley (drawn by B. Adebayo),,2,29,24,5,762.0
11:18.0,R. McGruder enters the game for S. Bey,24-29, ,,2,29,24,5,762.0
11:06.0, ,24-31,V. Oladipo makes 2-pt jump shot from 21 ft,,2,31,24,7,774.0
10:47.0,M. Bagley makes 2-pt jump shot from 7 ft (assist by K. Olynyk),26-31, ,,2,31,26,5,793.0
10:47.0,Shooting foul by B. Adebayo (drawn by M. Bagley),26-31, ,,2,31,26,5,793.0
10:47.0,M. Bagley makes free throw 1 of 1,27-31, ,,2,31,27,4,793.0
10:33.0, ,27-33,B. Adebayo makes 2-pt layup from 2 ft (assist by M. Morris),,2,33,27,6,807.0
10:07.0,K. Hayes misses 3-pt jump shot from 29 ft,27-33, ,,2,33,27,6,833.0
10:03.0, ,27-33,Defensive rebound by M. Morris,,2,33,27,6,837.0
9:51.0, ,27-33,Offensive foul by B. Adebayo (drawn by M. Bagley),,2,33,27,6,849.0
9:51.0, ,27-33,Turnover by B. Adebayo (offensive foul),,2,33,27,6,849.0
9:51.0, ,27-33,D. Dedmon enters the game for B. Adebayo,,2,33,27,6,849.0
9:37.0,R. McGruder makes 3-pt jump shot from 24 ft (assist by K. Hayes),30-33, ,,2,33,30,3,863.0
9:21.0, ,30-33,M. Morris misses 2-pt jump shot from 20 ft,,2,33,30,3,879.0
9:17.0,Defensive rebound by I. Livers,30-33, ,,2,33,30,3,883.0
9:11.0,K. Olynyk makes 2-pt layup from 2 ft (assist by K. Hayes),32-33, ,,2,33,32,1,889.0
9:02.0, ,32-33,T. Herro misses 3-pt jump shot from 23 ft,,2,33,32,1,898.0
8:59.0,Defensive rebound by M. Bagley,32-33, ,,2,33,32,1,901.0
8:52.0,R. McGruder misses 3-pt jump shot from 24 ft,32-33, ,,2,33,32,1,908.0
8:49.0, ,32-33,Defensive rebound by D. Dedmon,,2,33,32,1,911.0
8:43.0, ,32-35,T. Herro makes 2-pt layup from 2 ft,,2,35,32,3,917.0
8:25.0,K. Hayes misses 2-pt jump shot from 16 ft,32-35, ,,2,35,32,3,935.0
8:21.0, ,32-35,Defensive rebound by T. Herro,,2,35,32,3,939.0
8:18.0, ,32-35,Turnover by T. Herro (lost ball; steal by K. Olynyk),,2,35,32,3,942.0
8:13.0,K. Olynyk makes 2-pt layup from 2 ft,34-35, ,,2,35,34,1,947.0
7:57.0, ,34-35,T. Herro misses 2-pt layup from 4 ft (block by M. Bagley),,2,35,34,1,963.0
7:53.0,Defensive rebound by K. Hayes,34-35, ,,2,35,34,1,967.0
7:53.0,M. Bagley makes 2-pt layup from 2 ft (assist by K. Hayes),36-35, ,Lead change,2,35,36,-1,967.0
7:53.0,Shooting foul by V. Oladipo (drawn by M. Bagley),36-35, ,,2,35,36,-1,967.0
7:53.0,M. Bagley misses free throw 1 of 1,36-35, ,,2,35,36,-1,967.0
7:51.0, ,36-35,Defensive rebound by M. Morris,,2,35,36,-1,969.0
7:49.0, ,36-35,Miami full timeout,,2,35,36,-1,971.0
7:28.0, ,36-35,Turnover by Team (shot clock),,2,35,36,-1,992.0
7:17.0,M. Bagley makes 2-pt dunk from 1 ft (assist by K. Hayes),38-35, ,,2,35,38,-3,1003.0
6:51.0, ,38-35,Shooting foul by I. Livers (drawn by T. Herro),,2,35,38,-3,1029.0
6:51.0, ,38-36,T. Herro makes free throw 1 of 2,,2,36,38,-2,1029.0
6:51.0, ,38-36,J. Butler enters the game for M. Morris,,2,36,38,-2,1029.0
6:51.0, ,38-36,P. Tucker enters the game for V. Oladipo,,2,36,38,-2,1029.0
6:51.0, ,38-36,T. Herro misses free throw 2 of 2,,2,36,38,-2,1029.0
6:45.0,Defensive rebound by I. Livers,38-36, ,,2,36,38,-2,1035.0
6:42.0,I. Livers makes 3-pt jump shot from 23 ft (assist by K. Hayes),41-36, ,,2,36,41,-5,1038.0
6:21.0, ,41-36,Shooting foul by K. Hayes (drawn by T. Herro),,2,36,41,-5,1059.0
6:21.0, ,41-37,T. Herro makes free throw 1 of 2,,2,37,41,-4,1059.0
6:21.0,J. Grant enters the game for M. Bagley,41-37, ,,2,37,41,-4,1059.0
6:21.0,I. Stewart enters the game for K. Olynyk,41-37, ,,2,37,41,-4,1059.0
6:21.0, ,41-37,D. Robinson enters the game for K. Lowry,,2,37,41,-4,1059.0
6:21.0, ,41-38,T. Herro makes free throw 2 of 2,,2,38,41,-3,1059.0
6:08.0,K. Hayes misses 2-pt jump shot from 9 ft,41-38, ,,2,38,41,-3,1072.0
6:05.0, ,41-38,Defensive rebound by P. Tucker,,2,38,41,-3,1075.0
5:55.0, ,41-38,J. Butler misses 2-pt layup from 9 ft,,2,38,41,-3,1085.0
5:52.0,Defensive rebound by K. Hayes,41-38, ,,2,38,41,-3,1088.0
5:52.0,Shooting foul by D. Robinson (drawn by J. Grant),41-38, ,,2,38,41,-3,1088.0
5:52.0,J. Grant makes free throw 1 of 2,42-38, ,,2,38,42,-4,1088.0
5:52.0,C. Joseph enters the game for K. Hayes,42-38, ,,2,38,42,-4,1088.0
5:52.0,J. Grant misses free throw 2 of 2,42-38, ,,2,38,42,-4,1088.0
5:49.0, ,42-38,Defensive rebound by P. Tucker,,2,38,42,-4,1091.0
5:34.0, ,42-38,J. Butler misses 2-pt jump shot from 6 ft,,2,38,42,-4,1106.0
5:32.0, ,42-38,Offensive rebound by J. Butler,,2,38,42,-4,1108.0
5:30.0, ,42-38,T. Herro misses 3-pt jump shot from 23 ft,,2,38,42,-4,1110.0
5:26.0,Defensive rebound by C. Joseph,42-38, ,,2,38,42,-4,1114.0
5:18.0,I. Livers makes 3-pt jump shot from 25 ft (assist by R. McGruder),45-38, ,,2,38,45,-7,1122.0
5:05.0, ,45-38,Shooting foul by C. Joseph (drawn by J. Butler),,2,38,45,-7,1135.0
5:05.0, ,45-39,J. Butler makes free throw 1 of 2,,2,39,45,-6,1135.0
5:05.0,S. Bey enters the game for C. Joseph,45-39, ,,2,39,45,-6,1135.0
5:05.0,K. Hayes enters the game for R. McGruder,45-39, ,,2,39,45,-6,1135.0
5:05.0, ,45-40,J. Butler makes free throw 2 of 2,,2,40,45,-5,1135.0
4:55.0,Personal foul by D. Dedmon (drawn by J. Grant),45-40, ,,2,40,45,-5,1145.0
4:48.0,Turnover by I. Stewart (out of bounds lost ball),45-40, ,,2,40,45,-5,1152.0
4:36.0, ,45-40,Shooting foul by I. Stewart (drawn by T. Herro),,2,40,45,-5,1164.0
4:36.0, ,45-41,T. Herro makes free throw 1 of 2,,2,41,45,-4,1164.0
4:36.0,M. Bagley enters the game for I. Stewart,45-41, ,,2,41,45,-4,1164.0
4:36.0, ,45-42,T. Herro makes free throw 2 of 2,,2,42,45,-3,1164.0
4:30.0,Personal foul by T. Herro (drawn by J. Grant),45-42, ,,2,42,45,-3,1170.0
4:30.0,J. Grant misses free throw 1 of 2,45-42, ,,2,42,45,-3,1170.0
4:30.0,Offensive rebound by Team,45-42, ,,2,42,45,-3,1170.0
4:30.0,J. Grant makes free throw 2 of 2,46-42, ,,2,42,46,-4,1170.0
4:06.0, ,46-42,J. Butler misses 3-pt jump shot from 27 ft,,2,42,46,-4,1194.0
4:03.0,Defensive rebound by Team,46-42, ,,2,42,46,-4,1197.0
3:47.0,J. Grant makes 2-pt layup from 2 ft,48-42, ,,2,42,48,-6,1213.0
3:34.0, ,48-44,T. Herro makes 2-pt jump shot from 6 ft (assist by D. Dedmon),,2,44,48,-4,1226.0
3:22.0,Personal foul by D. Robinson (drawn by J. Grant),48-44, ,,2,44,48,-4,1238.0
3:22.0,J. Grant misses free throw 1 of 2,48-44, ,,2,44,48,-4,1238.0
3:22.0,Offensive rebound by Team,48-44, ,,2,44,48,-4,1238.0
3:22.0,R. McGruder enters the game for I. Livers,48-44, ,,2,44,48,-4,1238.0
3:22.0, ,48-44,K. Lowry enters the game for D. Dedmon,,2,44,48,-4,1238.0
3:22.0, ,48-44,M. Morris enters the game for D. Robinson,,2,44,48,-4,1238.0
3:22.0,J. Grant makes free throw 2 of 2,49-44, ,,2,44,49,-5,1238.0
2:59.0, ,49-44,M. Morris misses 3-pt jump shot from 26 ft,,2,44,49,-5,1261.0
2:58.0, ,49-44,Offensive rebound by Team,,2,44,49,-5,1262.0
2:58.0, ,49-44,Turnover by Team (shot clock),,2,44,49,-5,1262.0
2:58.0,Detroit full timeout,49-44, ,,2,44,49,-5,1262.0
2:49.0,Turnover by K. Hayes (out of bounds lost ball),49-44, ,,2,44,49,-5,1271.0
2:32.0, ,49-44,J. Butler misses 3-pt jump shot from 23 ft,,2,44,49,-5,1288.0
2:30.0,Defensive rebound by K. Hayes,49-44, ,,2,44,49,-5,1290.0
2:26.0,S. Bey misses 3-pt jump shot from 27 ft,49-44, ,,2,44,49,-5,1294.0
2:23.0, ,49-44,Defensive rebound by M. Morris,,2,44,49,-5,1297.0
2:18.0, ,49-44,Shooting foul by S. Bey (drawn by M. Morris),,2,44,49,-5,1302.0
2:18.0, ,49-45,M. Morris makes free throw 1 of 2,,2,45,49,-4,1302.0
2:18.0, ,49-46,M. Morris makes free throw 2 of 2,,2,46,49,-3,1302.0
2:02.0,J. Grant misses 2-pt jump shot from 19 ft,49-46, ,,2,46,49,-3,1318.0
2:00.0, ,49-46,Defensive rebound by K. Lowry,,2,46,49,-3,1320.0
1:56.0, ,49-49,T. Herro makes 3-pt jump shot from 29 ft (assist by K. Lowry),Tie,2,49,49,0,1324.0
1:30.0,R. McGruder misses 2-pt layup from 3 ft (block by J. Butler),49-49, ,,2,49,49,0,1350.0
1:29.0,Offensive rebound by Team,49-49, ,,2,49,49,0,1351.0
1:29.0,Turnover by Team (shot clock),49-49, ,,2,49,49,0,1351.0
1:07.0, ,49-49,Shooting foul by M. Bagley (drawn by T. Herro),,2,49,49,0,1373.0
1:07.0, ,49-50,T. Herro makes free throw 1 of 3,Lead change,2,50,49,1,1373.0
1:07.0, ,49-50,T. Herro misses free throw 2 of 3,,2,50,49,1,1373.0
1:07.0, ,49-50,Offensive rebound by Team,,2,50,49,1,1373.0
1:07.0, ,49-51,T. Herro makes free throw 3 of 3,,2,51,49,2,1373.0
0:46.0,K. Hayes misses 3-pt jump shot from 27 ft,49-51, ,,2,51,49,2,1394.0
0:42.0, ,49-51,Defensive rebound by K. Lowry,,2,51,49,2,1398.0
0:37.0, ,49-54,T. Herro makes 3-pt jump shot from 25 ft (assist by P. Tucker),,2,54,49,5,1403.0
0:32.0,Shooting foul by K. Lowry (drawn by R. McGruder),49-54, ,,2,54,49,5,1408.0
0:32.0,R. McGruder makes free throw 1 of 2,50-54, ,,2,54,50,4,1408.0
0:32.0,R. McGruder makes free throw 2 of 2,51-54, ,,2,54,51,3,1408.0
0:10.0, ,51-57,M. Morris makes 3-pt jump shot from 23 ft (assist by K. Lowry),,2,57,51,6,1430.0
0:00.0,J. Grant misses 2-pt jump shot from 20 ft,51-57, ,,2,57,51,6,1440.0
0:00.0,Offensive rebound by Team,51-57, ,,2,57,51,6,1440.0
0:00.0,End of 2nd quarter,51-57,,,2,57,51,6,1440.0
12:00.0,Start of 3rd quarter,51-57,,,3,57,51,6,1440.0
11:38.0,I. Stewart misses 2-pt jump shot from 19 ft,51-57, ,,3,57,51,6,1462.0
11:34.0, ,51-57,Defensive rebound by B. Adebayo,,3,57,51,6,1466.0
11:24.0, ,51-60,P. Tucker makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,3,60,51,9,1476.0
11:11.0,Offensive foul by C. Joseph (drawn by D. Robinson),51-60, ,,3,60,51,9,1489.0
11:11.0,Turnover by C. Joseph (offensive foul),51-60, ,,3,60,51,9,1489.0
11:02.0, ,51-63,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,3,63,51,12,1498.0
11:00.0,Detroit full timeout,51-63, ,,3,63,51,12,1500.0
10:46.0,Shooting foul by P. Tucker (drawn by S. Bey),51-63, ,,3,63,51,12,1514.0
10:46.0,S. Bey makes free throw 1 of 2,52-63, ,,3,63,52,11,1514.0
10:46.0,S. Bey misses free throw 2 of 2,52-63, ,,3,63,52,11,1514.0
10:43.0, ,52-63,Defensive rebound by G. Vincent,,3,63,52,11,1517.0
10:25.0, ,52-63,G. Vincent misses 3-pt jump shot from 26 ft,,3,63,52,11,1535.0
10:20.0,Defensive rebound by S. Bey,52-63, ,,3,63,52,11,1540.0
10:02.0,Offensive foul by C. Joseph (drawn by K. Lowry),52-63, ,,3,63,52,11,1558.0
10:02.0,Turnover by C. Joseph (offensive foul),52-63, ,,3,63,52,11,1558.0
10:02.0,K. Hayes enters the game for C. Joseph,52-63, ,,3,63,52,11,1558.0
9:52.0, ,52-63,Personal foul by K. Hayes (drawn by K. Lowry),,3,63,52,11,1568.0
9:52.0,Technical foul by C. Joseph,52-63, ,,3,63,52,11,1568.0
9:52.0, ,52-64,D. Robinson makes technical free throw,,3,64,52,12,1568.0
9:44.0, ,52-64,D. Robinson misses 3-pt jump shot from 24 ft,,3,64,52,12,1576.0
9:40.0,Defensive rebound by K. Hayes,52-64, ,,3,64,52,12,1580.0
9:36.0,R. McGruder misses 3-pt jump shot from 26 ft,52-64, ,,3,64,52,12,1584.0
9:30.0, ,52-64,Defensive rebound by K. Lowry,,3,64,52,12,1590.0
9:26.0, ,52-64,Offensive foul by B. Adebayo (drawn by R. McGruder),,3,64,52,12,1594.0
9:26.0, ,52-64,Turnover by B. Adebayo (offensive foul),,3,64,52,12,1594.0
9:26.0, ,52-64,M. Morris enters the game for B. Adebayo,,3,64,52,12,1594.0
9:04.0,S. Bey misses 3-pt jump shot from 27 ft,52-64, ,,3,64,52,12,1616.0
9:02.0, ,52-64,Defensive rebound by G. Vincent,,3,64,52,12,1618.0
9:01.0, ,52-64,Personal foul by S. Bey (drawn by D. Robinson),,3,64,52,12,1619.0
8:52.0, ,52-64,D. Robinson misses 3-pt jump shot from 23 ft,,3,64,52,12,1628.0
8:49.0,Defensive rebound by I. Stewart,52-64, ,,3,64,52,12,1631.0
8:44.0,Shooting foul by K. Lowry (drawn by I. Stewart),52-64, ,,3,64,52,12,1636.0
8:44.0,I. Stewart makes free throw 1 of 2,53-64, ,,3,64,53,11,1636.0
8:44.0,I. Stewart makes free throw 2 of 2,54-64, ,,3,64,54,10,1636.0
8:26.0, ,54-64,Turnover by M. Morris (out of bounds lost ball),,3,64,54,10,1654.0
8:11.0,Personal foul by P. Tucker (drawn by J. Grant),54-64, ,,3,64,54,10,1669.0
8:11.0,I. Livers enters the game for R. McGruder,54-64, ,,3,64,54,10,1669.0
7:57.0,J. Grant misses 2-pt jump shot from 6 ft,54-64, ,,3,64,54,10,1683.0
7:53.0, ,54-64,Defensive rebound by P. Tucker,,3,64,54,10,1687.0
7:38.0, ,54-66,M. Morris makes 2-pt jump shot from 9 ft,,3,66,54,12,1702.0
7:23.0,J. Grant misses 2-pt jump shot from 18 ft,54-66, ,,3,66,54,12,1717.0
7:21.0, ,54-66,Defensive rebound by Team,,3,66,54,12,1719.0
7:04.0, ,54-66,M. Morris misses 2-pt jump shot from 15 ft,,3,66,54,12,1736.0
7:00.0, ,54-66,Offensive rebound by G. Vincent,,3,66,54,12,1740.0
6:56.0, ,54-68,P. Tucker makes 2-pt layup from 3 ft,,3,68,54,14,1744.0
6:46.0,J. Grant makes 3-pt jump shot from 24 ft (assist by I. Livers),57-68, ,,3,68,57,11,1754.0
6:23.0, ,57-68,D. Robinson misses 3-pt jump shot from 23 ft,,3,68,57,11,1777.0
6:19.0,Defensive rebound by J. Grant,57-68, ,,3,68,57,11,1781.0
6:11.0,J. Grant makes 2-pt layup from 2 ft (assist by S. Bey),59-68, ,,3,68,59,9,1789.0
5:46.0, ,59-68,G. Vincent misses 2-pt jump shot from 13 ft,,3,68,59,9,1814.0
5:41.0,Defensive rebound by S. Bey,59-68, ,,3,68,59,9,1819.0
5:32.0,K. Hayes makes 3-pt jump shot from 23 ft (assist by I. Livers),62-68, ,,3,68,62,6,1828.0
5:09.0, ,62-68,Turnover by G. Vincent (bad pass; steal by K. Hayes),,3,68,62,6,1851.0
5:07.0,Offensive foul by K. Hayes (drawn by K. Lowry),62-68, ,,3,68,62,6,1853.0
5:07.0,Turnover by K. Hayes (offensive foul),62-68, ,,3,68,62,6,1853.0
5:07.0,M. Bagley enters the game for I. Stewart,62-68, ,,3,68,62,6,1853.0
5:07.0, ,62-68,T. Herro enters the game for G. Vincent,,3,68,62,6,1853.0
4:53.0, ,62-68,D. Robinson misses 3-pt jump shot from 27 ft,,3,68,62,6,1867.0
4:51.0, ,62-68,Offensive rebound by M. Morris,,3,68,62,6,1869.0
4:49.0, ,62-68,T. Herro misses 3-pt jump shot from 23 ft,,3,68,62,6,1871.0
4:49.0,Defensive rebound by Team,62-68, ,,3,68,62,6,1871.0
4:32.0,J. Grant misses 2-pt jump shot from 13 ft,62-68, ,,3,68,62,6,1888.0
4:27.0, ,62-68,Defensive rebound by T. Herro,,3,68,62,6,1893.0
