Time,Miami,Score,Phoenix,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:19.0, ,51-40,D. Booker enters the game for J. Crowder,,2,51,40,11,1121.0
5:19.0, ,51-40,C. Payne enters the game for C. Paul,,2,51,40,11,1121.0
5:01.0,D. Robinson misses 3-pt jump shot from 25 ft,51-40, ,,2,51,40,11,1139.0
4:58.0, ,51-40,Defensive rebound by C. Johnson,,2,51,40,11,1142.0
4:50.0, ,51-40,C. Payne misses 2-pt jump shot from 18 ft,,2,51,40,11,1150.0
4:47.0,Defensive rebound by M. Strus,51-40, ,,2,51,40,11,1153.0
4:42.0,D. Robinson misses 3-pt jump shot from 25 ft,51-40, ,,2,51,40,11,1158.0
4:38.0,Offensive rebound by O. Yurtseven,51-40, ,,2,51,40,11,1162.0
4:34.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Robinson),54-40, ,,2,54,40,14,1166.0
4:17.0, ,54-42,D. Ayton makes 2-pt hook shot from 4 ft (assist by M. Bridges),,2,54,42,12,1183.0
4:06.0,Turnover by K. Lowry (bad pass; steal by D. Booker),54-42, ,,2,54,42,12,1194.0
4:01.0, ,54-44,M. Bridges makes 2-pt dunk from 1 ft (assist by C. Johnson),,2,54,44,10,1199.0
4:01.0,Miami full timeout,54-44, ,,2,54,44,10,1199.0
4:01.0,T. Herro enters the game for D. Robinson,54-44, ,,2,54,44,10,1199.0
4:01.0, ,54-44,J. McGee enters the game for D. Ayton,,2,54,44,10,1199.0
3:44.0,Personal foul by D. Booker (drawn by O. Yurtseven),54-44, ,,2,54,44,10,1216.0
3:44.0,C. Silva enters the game for O. Yurtseven,54-44, ,,2,54,44,10,1216.0
3:37.0,M. Strus makes 2-pt layup from 3 ft,56-44, ,,2,56,44,12,1223.0
3:37.0, ,56-44,Violation by Team (def goaltending),,2,56,44,12,1223.0
3:18.0, ,56-44,Turnover by M. Bridges (bad pass; steal by T. Herro),,2,56,44,12,1242.0
3:14.0,T. Herro makes 2-pt dunk from 1 ft,58-44, ,,2,58,44,14,1246.0
3:00.0, ,58-44,Turnover by D. Booker (bad pass),,2,58,44,14,1260.0
2:51.0,K. Lowry makes 2-pt layup from 2 ft,60-44, ,,2,60,44,16,1269.0
2:38.0, ,60-44,C. Johnson misses 3-pt jump shot from 24 ft,,2,60,44,16,1282.0
2:37.0,Defensive rebound by M. Strus,60-44, ,,2,60,44,16,1283.0
2:31.0,T. Herro makes 2-pt layup from 4 ft,62-44, ,,2,62,44,18,1289.0
2:16.0, ,62-44,D. Booker misses 2-pt jump shot from 7 ft,,2,62,44,18,1304.0
2:16.0, ,62-44,Offensive rebound by Team,,2,62,44,18,1304.0
2:16.0, ,62-44,D. Ayton enters the game for J. McGee,,2,62,44,18,1304.0
2:16.0, ,62-44,C. Paul enters the game for C. Payne,,2,62,44,18,1304.0
2:14.0, ,62-44,D. Booker misses 2-pt jump shot from 16 ft,,2,62,44,18,1306.0
2:10.0,Defensive rebound by T. Herro,62-44, ,,2,62,44,18,1310.0
1:53.0,M. Strus misses 3-pt jump shot from 23 ft,62-44, ,,2,62,44,18,1327.0
1:51.0, ,62-44,Defensive rebound by D. Ayton,,2,62,44,18,1329.0
1:51.0, ,62-44,Personal foul by P. Tucker (drawn by D. Ayton),,2,62,44,18,1329.0
1:44.0, ,62-44,Personal foul by K. Lowry (drawn by D. Booker),,2,62,44,18,1336.0
1:44.0, ,62-45,D. Booker makes free throw 1 of 2,,2,62,45,17,1336.0
1:44.0, ,62-45,J. Crowder enters the game for C. Johnson,,2,62,45,17,1336.0
1:44.0, ,62-46,D. Booker makes free throw 2 of 2,,2,62,46,16,1336.0
1:20.0,T. Herro makes 3-pt jump shot from 23 ft (assist by K. Lowry),65-46, ,,2,65,46,19,1360.0
1:00.0, ,65-48,D. Ayton makes 2-pt hook shot from 6 ft (assist by C. Paul),,2,65,48,17,1380.0
0:39.0,Turnover by T. Herro (lost ball; steal by M. Bridges),65-48, ,,2,65,48,17,1401.0
0:35.0, ,65-48,Shooting foul by K. Lowry (drawn by D. Booker),,2,65,48,17,1405.0
0:35.0, ,65-49,D. Booker makes free throw 1 of 2,,2,65,49,16,1405.0
0:35.0,C. Martin enters the game for P. Tucker,65-49, ,,2,65,49,16,1405.0
0:35.0, ,65-50,D. Booker makes free throw 2 of 2,,2,65,50,15,1405.0
0:28.0,Flagrant foul type 1 by D. Ayton (drawn by T. Herro),65-50, ,,2,65,50,15,1412.0
0:28.0,Instant Replay (Request: Ruling Stands),65-50, ,,2,65,50,15,1412.0
0:28.0,T. Herro makes flagrant free throw 1 of 3,66-50, ,,2,66,50,16,1412.0
0:28.0,T. Herro makes flagrant free throw 2 of 3,67-50, ,,2,67,50,17,1412.0
0:28.0,T. Herro makes flagrant free throw 3 of 3,68-50, ,,2,68,50,18,1412.0
0:28.0,D. Robinson enters the game for C. Martin,68-50, ,,2,68,50,18,1412.0
0:06.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by T. Herro),71-50, ,,2,71,50,21,1434.0
0:00.0,End of 2nd quarter,71-50,,,2,71,50,21,1440.0
12:00.0,Start of 3rd quarter,71-50,,,3,71,50,21,1440.0
11:38.0,Turnover by M. Strus (bad pass; steal by J. Crowder),71-50, ,,3,71,50,21,1462.0
11:25.0, ,71-53,M. Bridges makes 3-pt jump shot from 24 ft (assist by D. Booker),,3,71,53,18,1475.0
11:11.0,K. Lowry makes 2-pt jump shot from 14 ft,73-53, ,,3,73,53,20,1489.0
10:46.0, ,73-55,M. Bridges makes 2-pt jump shot from 7 ft (assist by D. Ayton),,3,73,55,18,1514.0
10:26.0,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),76-55, ,,3,76,55,21,1534.0
10:09.0, ,76-58,M. Bridges makes 3-pt jump shot from 23 ft (assist by C. Paul),,3,76,58,18,1551.0
9:44.0,O. Yurtseven makes 2-pt jump shot from 9 ft (assist by K. Lowry),78-58, ,,3,78,58,20,1576.0
9:24.0, ,78-58,Turnover by D. Booker (bad pass; steal by P. Tucker),,3,78,58,20,1596.0
9:05.0,C. Martin makes 2-pt jump shot from 12 ft (assist by P. Tucker),80-58, ,,3,80,58,22,1615.0
8:54.0, ,80-58,D. Booker misses 3-pt jump shot from 26 ft,,3,80,58,22,1626.0
8:52.0, ,80-58,Offensive rebound by Team,,3,80,58,22,1628.0
8:41.0, ,80-58,Shooting foul by K. Lowry (drawn by J. Crowder),,3,80,58,22,1639.0
8:41.0, ,80-58,J. Crowder misses free throw 1 of 2,,3,80,58,22,1639.0
8:41.0, ,80-58,Offensive rebound by Team,,3,80,58,22,1639.0
8:41.0, ,80-59,J. Crowder makes free throw 2 of 2,,3,80,59,21,1639.0
8:24.0,P. Tucker misses 2-pt hook shot from 11 ft,80-59, ,,3,80,59,21,1656.0
8:20.0, ,80-59,Defensive rebound by M. Bridges,,3,80,59,21,1660.0
8:14.0, ,80-61,M. Bridges makes 2-pt layup from 3 ft (assist by C. Paul),,3,80,61,19,1666.0
8:02.0,C. Martin misses 2-pt jump shot from 18 ft,80-61, ,,3,80,61,19,1678.0
8:01.0, ,80-61,Defensive rebound by D. Booker,,3,80,61,19,1679.0
7:56.0, ,80-61,Turnover by D. Booker (bad pass; steal by P. Tucker),,3,80,61,19,1684.0
7:49.0,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),82-61, ,,3,82,61,21,1691.0
7:34.0, ,82-61,D. Booker misses 3-pt jump shot from 25 ft,,3,82,61,21,1706.0
7:31.0,Defensive rebound by O. Yurtseven,82-61, ,,3,82,61,21,1709.0
7:25.0,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),85-61, ,,3,85,61,24,1715.0
7:24.0, ,85-61,Phoenix full timeout,,3,85,61,24,1716.0
7:12.0, ,85-61,M. Bridges misses 3-pt jump shot from 25 ft,,3,85,61,24,1728.0
7:08.0,Defensive rebound by O. Yurtseven,85-61, ,,3,85,61,24,1732.0
6:52.0,Shooting foul by D. Booker (drawn by O. Yurtseven),85-61, ,,3,85,61,24,1748.0
6:52.0,O. Yurtseven makes free throw 1 of 2,86-61, ,,3,86,61,25,1748.0
6:52.0,O. Yurtseven makes free throw 2 of 2,87-61, ,,3,87,61,26,1748.0
6:40.0, ,87-61,Shooting foul by M. Strus (drawn by D. Booker),,3,87,61,26,1760.0
6:40.0, ,87-62,D. Booker makes free throw 1 of 2,,3,87,62,25,1760.0
6:40.0, ,87-63,D. Booker makes free throw 2 of 2,,3,87,63,24,1760.0
6:20.0,P. Tucker misses 2-pt jump shot from 6 ft,87-63, ,,3,87,63,24,1780.0
6:19.0,Offensive rebound by P. Tucker,87-63, ,,3,87,63,24,1781.0
6:17.0,M. Strus misses 3-pt jump shot from 25 ft,87-63, ,,3,87,63,24,1783.0
6:17.0, ,87-63,Defensive rebound by J. Crowder,,3,87,63,24,1783.0
6:10.0, ,87-66,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Bridges),,3,87,66,21,1790.0
5:55.0,Turnover by M. Strus (bad pass; steal by J. Crowder),87-66, ,,3,87,66,21,1805.0
5:51.0, ,87-68,D. Booker makes 2-pt layup at rim,,3,87,68,19,1809.0
5:51.0,Miami full timeout,87-68, ,,3,87,68,19,1809.0
5:51.0,T. Herro enters the game for C. Martin,87-68, ,,3,87,68,19,1809.0
5:51.0, ,87-68,C. Johnson enters the game for J. Crowder,,3,87,68,19,1809.0
5:32.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by T. Herro),90-68, ,,3,90,68,22,1828.0
5:10.0, ,90-71,C. Johnson makes 3-pt jump shot from 23 ft (assist by M. Bridges),,3,90,71,19,1850.0
4:46.0,O. Yurtseven misses 2-pt jump shot from 9 ft,90-71, ,,3,90,71,19,1874.0
4:44.0, ,90-71,Defensive rebound by D. Ayton,,3,90,71,19,1876.0
4:30.0, ,90-71,Turnover by C. Paul (bad pass; steal by T. Herro),,3,90,71,19,1890.0
4:23.0,Turnover by T. Herro (bad pass; steal by C. Paul),90-71, ,,3,90,71,19,1897.0
4:11.0, ,90-71,C. Paul misses 2-pt jump shot from 3 ft,,3,90,71,19,1909.0
4:09.0,Defensive rebound by P. Tucker,90-71, ,,3,90,71,19,1911.0
3:56.0,T. Herro misses 2-pt jump shot from 17 ft,90-71, ,,3,90,71,19,1924.0
3:54.0, ,90-71,Defensive rebound by D. Ayton,,3,90,71,19,1926.0
3:50.0, ,90-71,Offensive foul by D. Booker (drawn by M. Strus),,3,90,71,19,1930.0
3:50.0, ,90-71,Turnover by D. Booker (offensive foul),,3,90,71,19,1930.0
3:50.0,Miami full timeout,90-71, ,,3,90,71,19,1930.0
3:50.0,Instant Replay (Challenge: Ruling Stands),90-71, ,,3,90,71,19,1930.0
3:50.0,D. Robinson enters the game for M. Strus,90-71, ,,3,90,71,19,1930.0
3:50.0, ,90-71,C. Payne enters the game for C. Paul,,3,90,71,19,1930.0
3:37.0,Shooting foul by M. Bridges (drawn by K. Lowry),90-71, ,,3,90,71,19,1943.0
3:37.0,K. Lowry makes free throw 1 of 2,91-71, ,,3,91,71,20,1943.0
3:37.0,C. Martin enters the game for P. Tucker,91-71, ,,3,91,71,20,1943.0
3:37.0,K. Lowry makes free throw 2 of 2,92-71, ,,3,92,71,21,1943.0
3:15.0, ,92-71,D. Booker misses 2-pt jump shot from 1 ft,,3,92,71,21,1965.0
3:14.0,Defensive rebound by O. Yurtseven,92-71, ,,3,92,71,21,1966.0
3:07.0,D. Robinson misses 3-pt jump shot from 27 ft,92-71, ,,3,92,71,21,1973.0
3:04.0, ,92-71,Defensive rebound by D. Ayton,,3,92,71,21,1976.0
3:00.0, ,92-71,C. Johnson misses 3-pt jump shot from 26 ft,,3,92,71,21,1980.0
2:57.0,Defensive rebound by C. Martin,92-71, ,,3,92,71,21,1983.0
2:50.0,Shooting foul by C. Payne (drawn by O. Yurtseven),92-71, ,,3,92,71,21,1990.0
2:50.0,O. Yurtseven makes free throw 1 of 2,93-71, ,,3,93,71,22,1990.0
2:50.0, ,93-71,J. Jackson enters the game for D. Ayton,,3,93,71,22,1990.0
2:50.0, ,93-71,J. Smith enters the game for M. Bridges,,3,93,71,22,1990.0
2:50.0,O. Yurtseven misses free throw 2 of 2,93-71, ,,3,93,71,22,1990.0
2:48.0, ,93-71,Defensive rebound by D. Booker,,3,93,71,22,1992.0
2:41.0, ,93-71,C. Payne misses 2-pt jump shot from 1 ft,,3,93,71,22,1999.0
2:39.0, ,93-71,Offensive rebound by J. Jackson,,3,93,71,22,2001.0
