Time,Miami,Score,Houston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:29.0,Offensive rebound by Team,41-33, ,,2,41,33,8,751.0
11:29.0,K. Guy makes free throw 2 of 2,42-33, ,,2,42,33,9,751.0
11:18.0, ,42-33,Shooting foul by C. Silva (drawn by A. Sengun),,2,42,33,9,762.0
11:18.0, ,42-34,A. Sengun makes free throw 1 of 2,,2,42,34,8,762.0
11:18.0,O. Yurtseven enters the game for C. Silva,42-34, ,,2,42,34,8,762.0
11:18.0, ,42-35,A. Sengun makes free throw 2 of 2,,2,42,35,7,762.0
11:04.0,C. Martin makes 3-pt jump shot from 23 ft (assist by N. Stauskas),45-35, ,,2,45,35,10,776.0
10:46.0, ,45-35,K. Martin misses 2-pt layup from 3 ft (block by K. Lowry),,2,45,35,10,794.0
10:45.0, ,45-35,Offensive rebound by K. Martin,,2,45,35,10,795.0
10:45.0, ,45-35,Turnover by K. Martin (out of bounds lost ball),,2,45,35,10,795.0
10:30.0,O. Yurtseven makes 2-pt layup from 3 ft (assist by K. Guy),47-35, ,,2,47,35,12,810.0
10:09.0, ,47-38,A. Sengun makes 3-pt jump shot from 26 ft,,2,47,38,9,831.0
10:01.0,Turnover by K. Guy (step out of bounds),47-38, ,,2,47,38,9,839.0
9:51.0, ,47-38,Turnover by K. Porter (out of bounds lost ball),,2,47,38,9,849.0
9:39.0,Shooting foul by A. Sengun (drawn by N. Stauskas),47-38, ,,2,47,38,9,861.0
9:39.0,N. Stauskas makes free throw 1 of 2,48-38, ,,2,48,38,10,861.0
9:39.0,N. Stauskas makes free throw 2 of 2,49-38, ,,2,49,38,11,861.0
9:20.0, ,49-38,K. Porter misses 3-pt jump shot from 26 ft,,2,49,38,11,880.0
9:17.0, ,49-38,Offensive rebound by K. Martin,,2,49,38,11,883.0
9:14.0, ,49-38,Turnover by K. Martin (lost ball; steal by K. Guy),,2,49,38,11,886.0
9:08.0,Turnover by O. Yurtseven (bad pass; steal by J. Christopher),49-38, ,,2,49,38,11,892.0
9:04.0, ,49-38,J. Christopher misses 2-pt layup from 2 ft,,2,49,38,11,896.0
9:02.0,Defensive rebound by O. Yurtseven,49-38, ,,2,49,38,11,898.0
8:54.0,O. Yurtseven misses 2-pt layup from 2 ft,49-38, ,,2,49,38,11,906.0
8:52.0, ,49-38,Defensive rebound by A. Brooks,,2,49,38,11,908.0
8:48.0, ,49-38,Offensive foul by A. Brooks (drawn by K. Guy),,2,49,38,11,912.0
8:48.0, ,49-38,Turnover by A. Brooks (offensive foul),,2,49,38,11,912.0
8:48.0, ,49-38,C. Wood enters the game for A. Sengun,,2,49,38,11,912.0
8:36.0,Personal foul by K. Porter (drawn by K. Lowry),49-38, ,,2,49,38,11,924.0
8:32.0,K. Guy makes 2-pt jump shot from 18 ft,51-38, ,,2,51,38,13,928.0
8:18.0, ,51-38,K. Porter misses 2-pt jump shot from 5 ft,,2,51,38,13,942.0
8:17.0,Defensive rebound by O. Yurtseven,51-38, ,,2,51,38,13,943.0
8:12.0,C. Martin makes 2-pt layup from 1 ft,53-38, ,,2,53,38,15,948.0
8:12.0, ,53-38,Houston full timeout,,2,53,38,15,948.0
7:56.0, ,53-38,C. Wood misses 2-pt jump shot from 6 ft,,2,53,38,15,964.0
7:53.0,Defensive rebound by O. Yurtseven,53-38, ,,2,53,38,15,967.0
7:47.0,K. Lowry makes 2-pt jump shot from 13 ft,55-38, ,,2,55,38,17,973.0
7:47.0,Shooting foul by J. Christopher (drawn by K. Lowry),55-38, ,,2,55,38,17,973.0
7:47.0, ,55-38,J. Green enters the game for J. Christopher,,2,55,38,17,973.0
7:47.0,K. Lowry misses free throw 1 of 1,55-38, ,,2,55,38,17,973.0
7:47.0, ,55-38,Defensive rebound by C. Wood,,2,55,38,17,973.0
7:36.0, ,55-38,K. Martin misses 3-pt jump shot from 27 ft,,2,55,38,17,984.0
7:34.0,Defensive rebound by O. Yurtseven,55-38, ,,2,55,38,17,986.0
7:28.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by K. Lowry),58-38, ,,2,58,38,20,992.0
7:12.0, ,58-38,A. Brooks misses 3-pt jump shot from 27 ft,,2,58,38,20,1008.0
7:10.0,Defensive rebound by N. Stauskas,58-38, ,,2,58,38,20,1010.0
7:03.0,K. Lowry misses 2-pt jump shot from 5 ft,58-38, ,,2,58,38,20,1017.0
7:01.0, ,58-38,Defensive rebound by J. Green,,2,58,38,20,1019.0
6:47.0, ,58-38,Turnover by K. Porter (bad pass; steal by K. Guy),,2,58,38,20,1033.0
6:41.0,C. Martin makes 2-pt layup from 1 ft (assist by K. Guy),60-38, ,,2,60,38,22,1039.0
6:24.0, ,60-38,J. Green misses 3-pt jump shot from 26 ft,,2,60,38,22,1056.0
6:21.0,Defensive rebound by O. Yurtseven,60-38, ,,2,60,38,22,1059.0
6:21.0,J. Butler enters the game for K. Lowry,60-38, ,,2,60,38,22,1059.0
6:21.0, ,60-38,J. Tate enters the game for K. Martin,,2,60,38,22,1059.0
6:09.0,N. Stauskas misses 2-pt jump shot from 19 ft,60-38, ,,2,60,38,22,1071.0
6:06.0, ,60-38,Defensive rebound by C. Wood,,2,60,38,22,1074.0
5:56.0, ,60-38,J. Green misses 3-pt jump shot from 25 ft,,2,60,38,22,1084.0
5:53.0,Defensive rebound by K. Guy,60-38, ,,2,60,38,22,1087.0
5:39.0,J. Butler misses 2-pt jump shot from 11 ft,60-38, ,,2,60,38,22,1101.0
5:35.0, ,60-38,Defensive rebound by J. Tate,,2,60,38,22,1105.0
5:25.0, ,60-38,C. Wood misses 3-pt jump shot from 26 ft,,2,60,38,22,1115.0
5:23.0,Defensive rebound by K. Guy,60-38, ,,2,60,38,22,1117.0
5:17.0,O. Yurtseven makes 2-pt dunk at rim (assist by K. Guy),62-38, ,,2,62,38,24,1123.0
5:15.0, ,62-38,Houston full timeout,,2,62,38,24,1125.0
5:15.0,T. Herro enters the game for N. Stauskas,62-38, ,,2,62,38,24,1125.0
4:58.0, ,62-40,C. Wood makes 2-pt dunk from 1 ft (assist by K. Porter),,2,62,40,22,1142.0
4:40.0,K. Guy makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),65-40, ,,2,65,40,25,1160.0
4:23.0, ,65-42,J. Tate makes 2-pt layup from 3 ft,,2,65,42,23,1177.0
4:12.0,O. Yurtseven misses 2-pt jump shot from 7 ft,65-42, ,,2,65,42,23,1188.0
4:10.0, ,65-42,Defensive rebound by J. Tate,,2,65,42,23,1190.0
4:01.0, ,65-42,Turnover by K. Porter (bad pass),,2,65,42,23,1199.0
4:01.0, ,65-42,E. Gordon enters the game for K. Porter,,2,65,42,23,1199.0
3:41.0,C. Martin misses 2-pt jump shot from 22 ft,65-42, ,,2,65,42,23,1219.0
3:38.0, ,65-42,Defensive rebound by J. Green,,2,65,42,23,1222.0
3:30.0, ,65-42,Turnover by C. Wood (lost ball; steal by C. Martin),,2,65,42,23,1230.0
3:27.0,Turnover by T. Herro (bad pass),65-42, ,,2,65,42,23,1233.0
3:27.0,C. Silva enters the game for O. Yurtseven,65-42, ,,2,65,42,23,1233.0
3:27.0, ,65-42,D. Nwaba enters the game for A. Brooks,,2,65,42,23,1233.0
3:11.0, ,65-42,C. Wood misses 3-pt jump shot from 26 ft,,2,65,42,23,1249.0
3:08.0,Defensive rebound by T. Herro,65-42, ,,2,65,42,23,1252.0
2:55.0,J. Butler misses 2-pt jump shot from 7 ft,65-42, ,,2,65,42,23,1265.0
2:50.0,Offensive rebound by C. Silva,65-42, ,,2,65,42,23,1270.0
2:48.0,J. Butler misses 3-pt jump shot from 23 ft,65-42, ,,2,65,42,23,1272.0
2:46.0, ,65-42,Defensive rebound by J. Tate,,2,65,42,23,1274.0
2:40.0, ,65-45,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Tate),,2,65,45,20,1280.0
2:12.0,C. Martin misses 3-pt jump shot from 24 ft,65-45, ,,2,65,45,20,1308.0
2:10.0, ,65-45,Defensive rebound by D. Nwaba,,2,65,45,20,1310.0
2:05.0, ,65-48,J. Tate makes 3-pt jump shot from 23 ft (assist by E. Gordon),,2,65,48,17,1315.0
2:04.0,Miami full timeout,65-48, ,,2,65,48,17,1316.0
2:04.0,K. Lowry enters the game for K. Guy,65-48, ,,2,65,48,17,1316.0
2:04.0,O. Yurtseven enters the game for C. Silva,65-48, ,,2,65,48,17,1316.0
1:51.0,Shooting foul by C. Wood (drawn by J. Butler),65-48, ,,2,65,48,17,1329.0
1:51.0,J. Butler makes free throw 1 of 2,66-48, ,,2,66,48,18,1329.0
1:51.0,J. Butler makes free throw 2 of 2,67-48, ,,2,67,48,19,1329.0
1:34.0, ,67-48,E. Gordon misses 3-pt jump shot from 29 ft,,2,67,48,19,1346.0
1:32.0, ,67-48,Offensive rebound by J. Tate,,2,67,48,19,1348.0
1:31.0, ,67-50,J. Tate makes 2-pt layup from 2 ft,,2,67,50,17,1349.0
1:31.0, ,67-50,Shooting foul by O. Yurtseven (drawn by J. Tate),,2,67,50,17,1349.0
1:31.0, ,67-51,J. Tate makes free throw 1 of 1,,2,67,51,16,1349.0
1:15.0,T. Herro misses 3-pt jump shot from 26 ft (block by J. Tate),67-51, ,,2,67,51,16,1365.0
1:12.0, ,67-51,Defensive rebound by D. Nwaba,,2,67,51,16,1368.0
1:07.0, ,67-51,Personal foul by C. Martin (drawn by E. Gordon),,2,67,51,16,1373.0
1:07.0, ,67-52,E. Gordon makes free throw 1 of 2,,2,67,52,15,1373.0
1:07.0, ,67-53,E. Gordon makes free throw 2 of 2,,2,67,53,14,1373.0
1:07.0,C. Silva enters the game for O. Yurtseven,67-53, ,,2,67,53,14,1373.0
0:58.0,J. Butler makes 2-pt jump shot from 11 ft,69-53, ,,2,69,53,16,1382.0
0:45.0, ,69-55,J. Green makes 2-pt layup from 2 ft,,2,69,55,14,1395.0
0:41.0,Shooting foul by D. Nwaba (drawn by J. Butler),69-55, ,,2,69,55,14,1399.0
0:41.0,J. Butler makes free throw 1 of 2,70-55, ,,2,70,55,15,1399.0
0:41.0, ,70-55,K. Martin enters the game for J. Tate,,2,70,55,15,1399.0
0:41.0,J. Butler makes free throw 2 of 2,71-55, ,,2,71,55,16,1399.0
0:32.0, ,71-55,Shooting foul by C. Silva (drawn by J. Green),,2,71,55,16,1408.0
0:32.0, ,71-56,J. Green makes free throw 1 of 2,,2,71,56,15,1408.0
0:32.0,H. Highsmith enters the game for C. Silva,71-56, ,,2,71,56,15,1408.0
0:32.0, ,71-57,J. Green makes free throw 2 of 2,,2,71,57,14,1408.0
0:27.0,Turnover by K. Lowry (bad pass; steal by D. Nwaba),71-57, ,,2,71,57,14,1413.0
0:05.0, ,71-60,J. Green makes 3-pt jump shot from 26 ft (assist by E. Gordon),,2,71,60,11,1435.0
0:00.0,J. Butler makes 3-pt jump shot from 26 ft,74-60, ,,2,74,60,14,1440.0
0:00.0,End of 2nd quarter,74-60,,,2,74,60,14,1440.0
12:00.0,Start of 3rd quarter,74-60,,,3,74,60,14,1440.0
11:43.0,T. Herro makes 2-pt jump shot from 13 ft (assist by J. Butler),76-60, ,,3,76,60,16,1457.0
11:22.0, ,76-62,J. Green makes 2-pt jump shot from 21 ft,,3,76,62,14,1478.0
10:52.0,T. Herro misses 2-pt jump shot from 12 ft,76-62, ,,3,76,62,14,1508.0
10:50.0, ,76-62,Defensive rebound by C. Wood,,3,76,62,14,1510.0
10:37.0, ,76-64,C. Wood makes 2-pt layup from 6 ft,,3,76,64,12,1523.0
10:25.0,T. Herro misses 3-pt jump shot from 24 ft,76-64, ,,3,76,64,12,1535.0
10:21.0, ,76-64,Defensive rebound by D. Nwaba,,3,76,64,12,1539.0
10:10.0, ,76-64,C. Wood misses 3-pt jump shot from 26 ft,,3,76,64,12,1550.0
10:06.0,Defensive rebound by T. Herro,76-64, ,,3,76,64,12,1554.0
10:03.0,T. Herro misses 3-pt jump shot from 26 ft,76-64, ,,3,76,64,12,1557.0
10:01.0, ,76-64,Defensive rebound by D. Nwaba,,3,76,64,12,1559.0
9:52.0, ,76-64,J. Green misses 3-pt jump shot from 27 ft,,3,76,64,12,1568.0
9:49.0, ,76-64,Offensive rebound by D. Nwaba,,3,76,64,12,1571.0
9:40.0, ,76-64,D. Nwaba misses 2-pt layup from 6 ft,,3,76,64,12,1580.0
9:39.0, ,76-64,Offensive rebound by C. Wood,,3,76,64,12,1581.0
9:39.0, ,76-66,C. Wood makes 2-pt layup at rim,,3,76,66,10,1581.0
9:28.0,J. Butler makes 2-pt jump shot from 7 ft,78-66, ,,3,78,66,12,1592.0
9:16.0, ,78-66,Turnover by C. Wood (traveling),,3,78,66,12,1604.0
9:08.0,T. Herro makes 2-pt hook shot from 8 ft,80-66, ,,3,80,66,14,1612.0
8:52.0, ,80-66,Turnover by K. Porter (lost ball; steal by O. Yurtseven),,3,80,66,14,1628.0
8:41.0,T. Herro misses 2-pt jump shot from 11 ft,80-66, ,,3,80,66,14,1639.0
8:41.0, ,80-66,Defensive rebound by Team,,3,80,66,14,1639.0
8:41.0,Loose ball foul by O. Yurtseven (drawn by K. Porter),80-66, ,,3,80,66,14,1639.0
8:18.0, ,80-66,D. Nwaba misses 2-pt layup from 4 ft (block by O. Yurtseven),,3,80,66,14,1662.0
8:17.0,Defensive rebound by O. Yurtseven,80-66, ,,3,80,66,14,1663.0
8:13.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. Herro),82-66, ,,3,82,66,16,1667.0
8:05.0, ,82-69,D. Nwaba makes 3-pt jump shot from 23 ft (assist by J. Green),,3,82,69,13,1675.0
7:50.0,Turnover by T. Herro (lost ball; steal by K. Porter),82-69, ,,3,82,69,13,1690.0
7:47.0, ,82-69,K. Porter misses 2-pt layup from 2 ft,,3,82,69,13,1693.0
7:46.0, ,82-69,Offensive rebound by Team,,3,82,69,13,1694.0
7:43.0, ,82-69,Offensive foul by J. Green (drawn by K. Lowry),,3,82,69,13,1697.0
7:43.0, ,82-69,Turnover by J. Green (offensive foul),,3,82,69,13,1697.0
7:34.0,Personal foul by J. Green (drawn by J. Butler),82-69, ,,3,82,69,13,1706.0
7:34.0, ,82-69,J. Christopher enters the game for J. Green,,3,82,69,13,1706.0
7:27.0,O. Yurtseven misses 2-pt jump shot from 9 ft,82-69, ,,3,82,69,13,1713.0
7:24.0, ,82-69,Defensive rebound by D. Nwaba,,3,82,69,13,1716.0
7:18.0, ,82-69,Turnover by D. Nwaba (bad pass; steal by O. Yurtseven),,3,82,69,13,1722.0
7:11.0,J. Butler makes 2-pt jump shot from 13 ft,84-69, ,,3,84,69,15,1729.0
7:00.0, ,84-72,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Christopher),,3,84,72,12,1740.0
6:40.0,J. Butler makes 2-pt jump shot from 8 ft,86-72, ,,3,86,72,14,1760.0
6:19.0, ,86-72,K. Porter misses 3-pt jump shot from 26 ft,,3,86,72,14,1781.0
6:17.0,Defensive rebound by O. Yurtseven,86-72, ,,3,86,72,14,1783.0
6:09.0,Personal foul by K. Porter (drawn by K. Lowry),86-72, ,,3,86,72,14,1791.0
6:09.0, ,86-72,Houston full timeout,,3,86,72,14,1791.0
6:09.0, ,86-72,Technical foul by K. Porter,,3,86,72,14,1791.0
6:09.0, ,86-72,J. Tate enters the game for D. Nwaba,,3,86,72,14,1791.0
6:09.0,T. Herro misses technical free throw,86-72, ,,3,86,72,14,1791.0
6:09.0,Offensive rebound by Team,86-72, ,,3,86,72,14,1791.0
6:02.0,T. Herro makes 2-pt layup from 2 ft (assist by O. Yurtseven),88-72, ,,3,88,72,16,1798.0
5:41.0, ,88-72,K. Porter misses 2-pt layup from 3 ft,,3,88,72,16,1819.0
5:39.0,Defensive rebound by O. Yurtseven,88-72, ,,3,88,72,16,1821.0
5:34.0,C. Martin misses 3-pt jump shot from 23 ft,88-72, ,,3,88,72,16,1826.0
5:31.0,Offensive rebound by K. Lowry,88-72, ,,3,88,72,16,1829.0
5:30.0,T. Herro misses 3-pt jump shot from 26 ft,88-72, ,,3,88,72,16,1830.0
5:27.0,Offensive rebound by C. Martin,88-72, ,,3,88,72,16,1833.0
5:26.0,Turnover by C. Martin (out of bounds lost ball),88-72, ,,3,88,72,16,1834.0
5:26.0, ,88-72,A. Brooks enters the game for K. Porter,,3,88,72,16,1834.0
5:15.0, ,88-72,E. Gordon misses 3-pt jump shot from 27 ft,,3,88,72,16,1845.0
5:12.0,Defensive rebound by O. Yurtseven,88-72, ,,3,88,72,16,1848.0
5:04.0,Shooting foul by A. Brooks (drawn by K. Lowry),88-72, ,,3,88,72,16,1856.0
5:04.0,K. Lowry makes free throw 1 of 2,89-72, ,,3,89,72,17,1856.0
5:04.0,H. Highsmith enters the game for C. Martin,89-72, ,,3,89,72,17,1856.0
5:04.0,K. Lowry makes free throw 2 of 2,90-72, ,,3,90,72,18,1856.0
4:56.0, ,90-74,C. Wood makes 2-pt jump shot from 7 ft (assist by J. Christopher),,3,90,74,16,1864.0
4:43.0,J. Butler misses 2-pt jump shot from 11 ft,90-74, ,,3,90,74,16,1877.0
4:39.0,Offensive rebound by K. Lowry,90-74, ,,3,90,74,16,1881.0
4:36.0,Jump ball: J. Tate vs. K. Lowry (C. Wood gains possession),90-74,,,3,90,74,16,1884.0
