Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:57.0, ,37-32,Defensive rebound by L. Ball,,2,37,32,5,1083.0
5:54.0, ,37-32,Shooting foul by M. Strus (drawn by J. Green),,2,37,32,5,1086.0
5:54.0, ,37-32,J. Green misses free throw 1 of 2,,2,37,32,5,1086.0
5:54.0, ,37-32,Offensive rebound by Team,,2,37,32,5,1086.0
5:54.0,G. Vincent enters the game for K. Lowry,37-32, ,,2,37,32,5,1086.0
5:54.0, ,37-32,C. White enters the game for A. Caruso,,2,37,32,5,1086.0
5:54.0, ,37-33,J. Green makes free throw 2 of 2,,2,37,33,4,1086.0
5:36.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),40-33, ,,2,40,33,7,1104.0
5:22.0, ,40-35,Z. LaVine makes 2-pt layup from 1 ft (assist by L. Ball),,2,40,35,5,1118.0
5:00.0,G. Vincent makes 2-pt layup at rim (assist by B. Adebayo),42-35, ,,2,42,35,7,1140.0
4:37.0, ,42-37,D. Jones makes 2-pt layup from 2 ft (assist by L. Ball),,2,42,37,5,1163.0
4:23.0,M. Strus misses 3-pt jump shot from 28 ft,42-37, ,,2,42,37,5,1177.0
4:20.0, ,42-37,Defensive rebound by C. White,,2,42,37,5,1180.0
4:16.0, ,42-39,C. White makes 2-pt jump shot from 20 ft,,2,42,39,3,1184.0
4:14.0,Miami full timeout,42-39, ,,2,42,39,3,1186.0
4:14.0, ,42-39,A. Caruso enters the game for J. Green,,2,42,39,3,1186.0
4:14.0, ,42-39,D. DeRozan enters the game for D. Jones,,2,42,39,3,1186.0
4:14.0, ,42-39,N. Vučević enters the game for C. White,,2,42,39,3,1186.0
4:02.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),44-39, ,,2,44,39,5,1198.0
3:40.0, ,44-39,D. DeRozan misses 3-pt jump shot from 24 ft,,2,44,39,5,1220.0
3:40.0,Defensive rebound by B. Adebayo,44-39, ,,2,44,39,5,1220.0
3:33.0,M. Strus misses 3-pt jump shot from 25 ft,44-39, ,,2,44,39,5,1227.0
3:29.0, ,44-39,Defensive rebound by L. Ball,,2,44,39,5,1231.0
3:22.0, ,44-39,Turnover by D. DeRozan (bad pass; steal by J. Butler),,2,44,39,5,1238.0
3:16.0,M. Strus makes 2-pt layup from 1 ft (assist by J. Butler),46-39, ,,2,46,39,7,1244.0
2:51.0, ,46-42,L. Ball makes 3-pt jump shot from 26 ft (assist by A. Caruso),,2,46,42,4,1269.0
2:32.0,G. Vincent misses 2-pt jump shot from 17 ft,46-42, ,,2,46,42,4,1288.0
2:30.0, ,46-42,Defensive rebound by Z. LaVine,,2,46,42,4,1290.0
2:20.0, ,46-42,Z. LaVine misses 2-pt jump shot from 17 ft,,2,46,42,4,1300.0
2:18.0,Defensive rebound by B. Adebayo,46-42, ,,2,46,42,4,1302.0
2:16.0,D. Robinson misses 3-pt jump shot from 26 ft,46-42, ,,2,46,42,4,1304.0
2:14.0,Offensive rebound by G. Vincent,46-42, ,,2,46,42,4,1306.0
2:06.0,Turnover by M. Strus (lost ball; steal by A. Caruso),46-42, ,,2,46,42,4,1314.0
2:00.0, ,46-42,L. Ball misses 3-pt jump shot from 24 ft,,2,46,42,4,1320.0
1:55.0,Defensive rebound by M. Strus,46-42, ,,2,46,42,4,1325.0
1:43.0,J. Butler makes 2-pt jump shot from 6 ft,48-42, ,,2,48,42,6,1337.0
1:29.0, ,48-42,Shooting foul by J. Butler (drawn by A. Caruso),,2,48,42,6,1351.0
1:29.0, ,48-43,A. Caruso makes free throw 1 of 2,,2,48,43,5,1351.0
1:29.0,K. Lowry enters the game for M. Strus,48-43, ,,2,48,43,5,1351.0
1:29.0, ,48-44,A. Caruso makes free throw 2 of 2,,2,48,44,4,1351.0
1:17.0,Shooting foul by Z. LaVine (drawn by B. Adebayo),48-44, ,,2,48,44,4,1363.0
1:17.0,B. Adebayo makes free throw 1 of 2,49-44, ,,2,49,44,5,1363.0
1:17.0,M. Strus enters the game for D. Robinson,49-44, ,,2,49,44,5,1363.0
1:17.0,B. Adebayo misses free throw 2 of 2,49-44, ,,2,49,44,5,1363.0
1:15.0, ,49-44,Defensive rebound by N. Vučević,,2,49,44,5,1365.0
0:56.0, ,49-44,D. DeRozan misses 2-pt jump shot from 15 ft,,2,49,44,5,1384.0
0:53.0,Defensive rebound by K. Lowry,49-44, ,,2,49,44,5,1387.0
0:33.0,J. Butler misses 2-pt jump shot from 10 ft,49-44, ,,2,49,44,5,1407.0
0:29.0, ,49-44,Defensive rebound by L. Ball,,2,49,44,5,1411.0
0:26.0, ,49-46,L. Ball makes 2-pt layup from 1 ft (assist by A. Caruso),,2,49,46,3,1414.0
0:06.0,J. Butler misses 3-pt jump shot from 27 ft,49-46, ,,2,49,46,3,1434.0
0:01.0, ,49-46,Defensive rebound by Z. LaVine,,2,49,46,3,1439.0
0:00.0, ,49-46,Turnover by Z. LaVine (lost ball; steal by M. Strus),,2,49,46,3,1440.0
0:00.0,End of 2nd quarter,49-46,,,2,49,46,3,1440.0
12:00.0,Start of 3rd quarter,49-46,,,3,49,46,3,1440.0
11:38.0, ,49-46,Shooting foul by J. Butler (drawn by J. Green),,3,49,46,3,1462.0
11:38.0, ,49-47,J. Green makes free throw 1 of 2,,3,49,47,2,1462.0
11:38.0, ,49-47,J. Green misses free throw 2 of 2,,3,49,47,2,1462.0
11:35.0,Defensive rebound by P. Tucker,49-47, ,,3,49,47,2,1465.0
11:20.0,D. Robinson misses 2-pt jump shot from 6 ft,49-47, ,,3,49,47,2,1480.0
11:19.0, ,49-47,Defensive rebound by J. Green,,3,49,47,2,1481.0
11:12.0, ,49-50,Z. LaVine makes 3-pt jump shot from 24 ft (assist by L. Ball),Lead change,3,49,50,-1,1488.0
10:54.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by B. Adebayo),52-50, ,Lead change,3,52,50,2,1506.0
10:25.0, ,52-50,Z. LaVine misses 3-pt jump shot from 26 ft,,3,52,50,2,1535.0
10:22.0,Defensive rebound by P. Tucker,52-50, ,,3,52,50,2,1538.0
10:14.0,Personal foul by J. Green (drawn by K. Lowry),52-50, ,,3,52,50,2,1546.0
10:08.0,D. Robinson misses 3-pt jump shot from 25 ft,52-50, ,,3,52,50,2,1552.0
10:04.0, ,52-50,Defensive rebound by L. Ball,,3,52,50,2,1556.0
9:50.0, ,52-50,Turnover by J. Green (3 sec),,3,52,50,2,1570.0
9:38.0,D. Robinson makes 2-pt jump shot from 3 ft (assist by K. Lowry),54-50, ,,3,54,50,4,1582.0
9:16.0, ,54-53,L. Ball makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,3,54,53,1,1604.0
9:00.0,J. Butler misses 3-pt jump shot from 22 ft,54-53, ,,3,54,53,1,1620.0
8:58.0, ,54-53,Defensive rebound by N. Vučević,,3,54,53,1,1622.0
8:48.0, ,54-53,Turnover by L. Ball (lost ball; steal by B. Adebayo),,3,54,53,1,1632.0
8:37.0,Personal foul by Z. LaVine (drawn by B. Adebayo),54-53, ,,3,54,53,1,1643.0
8:26.0,D. Robinson makes 3-pt jump shot from 22 ft (assist by B. Adebayo),57-53, ,,3,57,53,4,1654.0
8:06.0, ,57-53,L. Ball misses 3-pt jump shot from 25 ft,,3,57,53,4,1674.0
8:04.0,Defensive rebound by K. Lowry,57-53, ,,3,57,53,4,1676.0
7:44.0,D. Robinson misses 3-pt jump shot from 25 ft (block by N. Vučević),57-53, ,,3,57,53,4,1696.0
7:41.0,Offensive rebound by P. Tucker,57-53, ,,3,57,53,4,1699.0
7:41.0,P. Tucker misses 2-pt layup at rim,57-53, ,,3,57,53,4,1699.0
7:41.0,Offensive rebound by B. Adebayo,57-53, ,,3,57,53,4,1699.0
7:41.0,B. Adebayo makes 2-pt dunk at rim,59-53, ,,3,59,53,6,1699.0
7:30.0, ,59-53,Z. LaVine misses 2-pt layup from 3 ft (block by P. Tucker),,3,59,53,6,1710.0
7:30.0, ,59-53,Offensive rebound by Team,,3,59,53,6,1710.0
7:30.0, ,59-53,Chicago full timeout,,3,59,53,6,1710.0
7:28.0, ,59-55,D. DeRozan makes 2-pt jump shot from 17 ft (assist by L. Ball),,3,59,55,4,1712.0
6:59.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),62-55, ,,3,62,55,7,1741.0
6:46.0, ,62-55,Shooting foul by D. Robinson (drawn by D. DeRozan),,3,62,55,7,1754.0
6:46.0, ,62-55,D. DeRozan misses free throw 1 of 2,,3,62,55,7,1754.0
6:46.0, ,62-55,Offensive rebound by Team,,3,62,55,7,1754.0
6:46.0, ,62-55,A. Caruso enters the game for J. Green,,3,62,55,7,1754.0
6:46.0, ,62-56,D. DeRozan makes free throw 2 of 2,,3,62,56,6,1754.0
6:31.0,K. Lowry misses 3-pt jump shot from 27 ft,62-56, ,,3,62,56,6,1769.0
6:28.0, ,62-56,Defensive rebound by N. Vučević,,3,62,56,6,1772.0
6:19.0, ,62-58,D. DeRozan makes 2-pt jump shot from 20 ft,,3,62,58,4,1781.0
6:07.0,B. Adebayo misses 2-pt jump shot from 14 ft,62-58, ,,3,62,58,4,1793.0
6:04.0, ,62-58,Defensive rebound by D. DeRozan,,3,62,58,4,1796.0
6:01.0, ,62-60,D. DeRozan makes 2-pt dunk from 1 ft,,3,62,60,2,1799.0
