Time,Minnesota,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:50.0, ,14-6,K. Lowry makes 2-pt jump shot from 20 ft,,1,6,14,-8,190.0
8:39.0,Offensive foul by K. Towns (drawn by K. Lowry),14-6, ,,1,6,14,-8,201.0
8:39.0,Turnover by K. Towns (offensive foul),14-6, ,,1,6,14,-8,201.0
8:30.0, ,14-6,Shooting foul by M. Beasley (drawn by B. Adebayo),,1,6,14,-8,210.0
8:30.0, ,14-6,Technical foul by D. Robinson,,1,6,14,-8,210.0
8:30.0,D. Russell makes technical free throw,15-6, ,,1,6,15,-9,210.0
8:30.0, ,15-6,B. Adebayo misses free throw 1 of 2,,1,6,15,-9,210.0
8:30.0, ,15-6,Offensive rebound by Team,,1,6,15,-9,210.0
8:30.0, ,15-7,B. Adebayo makes free throw 2 of 2,,1,7,15,-8,210.0
8:13.0,K. Towns makes 2-pt jump shot from 8 ft,17-7, ,,1,7,17,-10,227.0
8:05.0, ,17-7,D. Robinson misses 3-pt jump shot from 26 ft,,1,7,17,-10,235.0
8:03.0, ,17-7,Offensive rebound by P. Tucker,,1,7,17,-10,237.0
8:03.0, ,17-7,P. Tucker misses 2-pt layup from 3 ft (block by J. McDaniels),,1,7,17,-10,237.0
8:02.0, ,17-7,Offensive rebound by B. Adebayo,,1,7,17,-10,238.0
7:57.0, ,17-7,B. Adebayo misses 2-pt hook shot from 5 ft,,1,7,17,-10,243.0
7:56.0, ,17-7,Offensive rebound by B. Adebayo,,1,7,17,-10,244.0
7:56.0, ,17-9,B. Adebayo makes 2-pt jump shot from 6 ft,,1,9,17,-8,244.0
7:56.0, ,17-9,Shooting foul by K. Towns (drawn by B. Adebayo),,1,9,17,-8,244.0
7:56.0, ,17-10,B. Adebayo makes free throw 1 of 1,,1,10,17,-7,244.0
7:45.0,Turnover by D. Russell (bad pass; steal by B. Adebayo),17-10, ,,1,10,17,-7,255.0
7:33.0, ,17-10,Turnover by P. Tucker (bad pass),,1,10,17,-7,267.0
7:19.0,A. Edwards makes 3-pt jump shot from 26 ft,20-10, ,,1,10,20,-10,281.0
7:06.0, ,20-10,G. Vincent misses 3-pt jump shot from 26 ft,,1,10,20,-10,294.0
7:05.0,Defensive rebound by D. Russell,20-10, ,,1,10,20,-10,295.0
6:57.0,Personal foul by D. Robinson (drawn by D. Russell),20-10, ,,1,10,20,-10,303.0
6:57.0, ,20-10,Miami full timeout,,1,10,20,-10,303.0
6:57.0, ,20-10,T. Herro enters the game for D. Robinson,,1,10,20,-10,303.0
6:44.0,A. Edwards misses 3-pt jump shot from 27 ft,20-10, ,,1,10,20,-10,316.0
6:40.0, ,20-10,Defensive rebound by T. Herro,,1,10,20,-10,320.0
6:36.0, ,20-10,K. Lowry misses 3-pt jump shot from 27 ft,,1,10,20,-10,324.0
6:32.0,Defensive rebound by A. Edwards,20-10, ,,1,10,20,-10,328.0
6:20.0,Shooting foul by P. Tucker (drawn by D. Russell),20-10, ,,1,10,20,-10,340.0
6:20.0,D. Russell makes free throw 1 of 2,21-10, ,,1,10,21,-11,340.0
6:20.0, ,21-10,M. Strus enters the game for P. Tucker,,1,10,21,-11,340.0
6:20.0,D. Russell makes free throw 2 of 2,22-10, ,,1,10,22,-12,340.0
6:08.0, ,22-12,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,12,22,-10,352.0
6:08.0, ,22-12,Shooting foul by K. Towns (drawn by B. Adebayo),,1,12,22,-10,352.0
6:08.0,N. Reid enters the game for K. Towns,22-12, ,,1,12,22,-10,352.0
6:08.0, ,22-13,B. Adebayo makes free throw 1 of 1,,1,13,22,-9,352.0
5:56.0,D. Russell misses 2-pt jump shot from 10 ft,22-13, ,,1,13,22,-9,364.0
5:53.0, ,22-13,Defensive rebound by B. Adebayo,,1,13,22,-9,367.0
5:51.0, ,22-13,Shooting foul by J. McDaniels (drawn by K. Lowry),,1,13,22,-9,369.0
5:51.0, ,22-13,K. Lowry misses free throw 1 of 2,,1,13,22,-9,369.0
5:51.0, ,22-13,Offensive rebound by Team,,1,13,22,-9,369.0
5:51.0, ,22-14,K. Lowry makes free throw 2 of 2,,1,14,22,-8,369.0
5:45.0,Violation by Team (kicked ball),22-14, ,,1,14,22,-8,375.0
5:31.0, ,22-14,Turnover by B. Adebayo (bad pass; steal by D. Russell),,1,14,22,-8,389.0
5:12.0,D. Russell makes 2-pt layup from 3 ft,24-14, ,,1,14,24,-10,408.0
4:53.0, ,24-14,T. Herro misses 2-pt hook shot from 6 ft (block by J. McDaniels),,1,14,24,-10,427.0
4:50.0,Defensive rebound by M. Beasley,24-14, ,,1,14,24,-10,430.0
4:47.0,D. Russell misses 2-pt layup from 3 ft,24-14, ,,1,14,24,-10,433.0
4:45.0, ,24-14,Defensive rebound by G. Vincent,,1,14,24,-10,435.0
4:28.0, ,24-14,T. Herro misses 3-pt jump shot from 26 ft,,1,14,24,-10,452.0
4:24.0,Defensive rebound by D. Russell,24-14, ,,1,14,24,-10,456.0
4:11.0,D. Russell misses 3-pt jump shot from 23 ft,24-14, ,,1,14,24,-10,469.0
4:09.0, ,24-14,Defensive rebound by B. Adebayo,,1,14,24,-10,471.0
4:05.0, ,24-14,G. Vincent misses 3-pt jump shot from 28 ft,,1,14,24,-10,475.0
4:03.0,Defensive rebound by Team,24-14, ,,1,14,24,-10,477.0
4:03.0,Minnesota full timeout,24-14, ,,1,14,24,-10,477.0
4:03.0,J. McLaughlin enters the game for M. Beasley,24-14, ,,1,14,24,-10,477.0
4:03.0,J. Nowell enters the game for J. McDaniels,24-14, ,,1,14,24,-10,477.0
4:03.0,T. Prince enters the game for D. Russell,24-14, ,,1,14,24,-10,477.0
4:03.0, ,24-14,M. Morris enters the game for G. Vincent,,1,14,24,-10,477.0
3:48.0,T. Prince misses 2-pt layup from 6 ft,24-14, ,,1,14,24,-10,492.0
3:46.0, ,24-14,Defensive rebound by B. Adebayo,,1,14,24,-10,494.0
3:41.0, ,24-16,K. Lowry makes 2-pt jump shot from 12 ft,,1,16,24,-8,499.0
3:25.0,J. Nowell misses 2-pt jump shot from 20 ft,24-16, ,,1,16,24,-8,515.0
3:20.0, ,24-16,Defensive rebound by M. Morris,,1,16,24,-8,520.0
3:09.0, ,24-18,B. Adebayo makes 2-pt jump shot from 7 ft,,1,18,24,-6,531.0
2:53.0,T. Prince misses 3-pt jump shot from 26 ft,24-18, ,,1,18,24,-6,547.0
2:48.0, ,24-18,Defensive rebound by B. Adebayo,,1,18,24,-6,552.0
2:35.0, ,24-18,Shooting foul by J. McLaughlin (drawn by K. Lowry),,1,18,24,-6,565.0
2:35.0, ,24-19,K. Lowry makes free throw 1 of 2,,1,19,24,-5,565.0
2:35.0, ,24-19,D. Dedmon enters the game for B. Adebayo,,1,19,24,-5,565.0
2:35.0, ,24-20,K. Lowry makes free throw 2 of 2,,1,20,24,-4,565.0
2:20.0,Shooting foul by D. Dedmon (drawn by N. Reid),24-20, ,,1,20,24,-4,580.0
2:20.0,N. Reid makes free throw 1 of 2,25-20, ,,1,20,25,-5,580.0
2:20.0,N. Reid makes free throw 2 of 2,26-20, ,,1,20,26,-6,580.0
2:11.0, ,26-20,Turnover by K. Lowry (bad pass; steal by N. Reid),,1,20,26,-6,589.0
2:06.0,J. Nowell misses 3-pt jump shot from 26 ft,26-20, ,,1,20,26,-6,594.0
2:02.0, ,26-20,Defensive rebound by D. Dedmon,,1,20,26,-6,598.0
1:57.0, ,26-20,M. Strus misses 3-pt jump shot from 23 ft,,1,20,26,-6,603.0
1:54.0,Defensive rebound by J. McLaughlin,26-20, ,,1,20,26,-6,606.0
1:44.0,A. Edwards misses 2-pt layup from 4 ft,26-20, ,,1,20,26,-6,616.0
1:41.0, ,26-20,Defensive rebound by M. Strus,,1,20,26,-6,619.0
1:27.0, ,26-20,Turnover by K. Lowry (bad pass; steal by N. Reid),,1,20,26,-6,633.0
1:27.0,D. Russell enters the game for A. Edwards,26-20, ,,1,20,26,-6,633.0
1:27.0, ,26-20,G. Vincent enters the game for K. Lowry,,1,20,26,-6,633.0
1:17.0,Turnover by D. Russell (lost ball; steal by T. Herro),26-20, ,,1,20,26,-6,643.0
1:11.0, ,26-23,T. Herro makes 3-pt jump shot from 24 ft (assist by M. Strus),,1,23,26,-3,649.0
1:00.0,J. McLaughlin makes 2-pt layup from 2 ft (assist by D. Russell),28-23, ,,1,23,28,-5,660.0
0:40.0, ,28-23,T. Herro misses 3-pt jump shot from 23 ft,,1,23,28,-5,680.0
0:36.0,Defensive rebound by T. Prince,28-23, ,,1,23,28,-5,684.0
0:31.0,J. Nowell makes 2-pt layup from 5 ft (assist by D. Russell),30-23, ,,1,23,30,-7,689.0
0:08.0, ,30-25,M. Morris makes 2-pt layup from 2 ft (assist by T. Herro),,1,25,30,-5,712.0
0:00.0,T. Prince misses 3-pt jump shot from 26 ft,30-25, ,,1,25,30,-5,720.0
0:00.0,Offensive rebound by Team,30-25, ,,1,25,30,-5,720.0
0:00.0,End of 1st quarter,30-25,,,1,25,30,-5,720.0
12:00.0,Start of 2nd quarter,30-25,,,2,25,30,-5,720.0
11:46.0, ,30-25,Turnover by M. Morris (bad pass; steal by J. McLaughlin),,2,25,30,-5,734.0
11:42.0,J. Nowell makes 2-pt layup from 1 ft (assist by J. McLaughlin),32-25, ,,2,25,32,-7,738.0
11:22.0, ,32-27,T. Herro makes 2-pt jump shot from 8 ft,,2,27,32,-5,758.0
11:08.0,J. Nowell makes 3-pt jump shot from 23 ft (assist by D. Russell),35-27, ,,2,27,35,-8,772.0
10:51.0, ,35-29,D. Dedmon makes 2-pt layup from 2 ft (assist by G. Vincent),,2,29,35,-6,789.0
10:37.0,Jump ball: T. Prince vs. M. Strus (J. McLaughlin gains possession),35-29,,,2,29,35,-6,803.0
10:28.0,T. Prince makes 2-pt layup from 2 ft (assist by J. Nowell),37-29, ,,2,29,37,-8,812.0
10:28.0,Shooting foul by D. Dedmon (drawn by T. Prince),37-29, ,,2,29,37,-8,812.0
10:28.0,T. Prince misses free throw 1 of 1,37-29, ,,2,29,37,-8,812.0
10:26.0, ,37-29,Defensive rebound by M. Morris,,2,29,37,-8,814.0
10:18.0, ,37-29,Shooting foul by T. Prince (drawn by T. Herro),,2,29,37,-8,822.0
10:18.0, ,37-30,T. Herro makes free throw 1 of 2,,2,30,37,-7,822.0
10:18.0, ,37-31,T. Herro makes free throw 2 of 2,,2,31,37,-6,822.0
10:10.0,J. Nowell misses 2-pt jump shot from 11 ft,37-31, ,,2,31,37,-6,830.0
10:07.0, ,37-31,Defensive rebound by D. Dedmon,,2,31,37,-6,833.0
9:54.0, ,37-31,G. Vincent misses 2-pt hook shot from 6 ft,,2,31,37,-6,846.0
9:52.0, ,37-31,Offensive rebound by D. Dedmon,,2,31,37,-6,848.0
9:51.0, ,37-31,D. Dedmon misses 2-pt layup from 2 ft,,2,31,37,-6,849.0
9:51.0,Defensive rebound by N. Reid,37-31, ,,2,31,37,-6,849.0
9:40.0,D. Russell misses 2-pt jump shot from 11 ft,37-31, ,,2,31,37,-6,860.0
9:36.0, ,37-31,Defensive rebound by M. Strus,,2,31,37,-6,864.0
9:25.0, ,37-34,T. Herro makes 3-pt jump shot from 28 ft (assist by G. Vincent),,2,34,37,-3,875.0
9:17.0,Personal foul by M. Morris (drawn by D. Russell),37-34, ,,2,34,37,-3,883.0
9:17.0,M. Beasley enters the game for J. McLaughlin,37-34, ,,2,34,37,-3,883.0
9:17.0,J. McDaniels enters the game for T. Prince,37-34, ,,2,34,37,-3,883.0
9:07.0,Turnover by D. Russell (bad pass),37-34, ,,2,34,37,-3,893.0
8:55.0, ,37-34,M. Morris misses 2-pt jump shot from 7 ft,,2,34,37,-3,905.0
8:51.0,Defensive rebound by N. Reid,37-34, ,,2,34,37,-3,909.0
8:45.0,Def 3 sec tech foul by Team,37-34, ,,2,34,37,-3,915.0
8:45.0,D. Russell makes technical free throw,38-34, ,,2,34,38,-4,915.0
8:39.0,J. Nowell makes 3-pt jump shot from 25 ft (assist by N. Reid),41-34, ,,2,34,41,-7,921.0
8:16.0, ,41-37,M. Strus makes 3-pt jump shot from 26 ft,,2,37,41,-4,944.0
8:05.0,J. McDaniels misses 3-pt jump shot from 24 ft,41-37, ,,2,37,41,-4,955.0
8:01.0, ,41-37,Defensive rebound by D. Dedmon,,2,37,41,-4,959.0
7:52.0, ,41-37,T. Herro misses 2-pt jump shot from 4 ft,,2,37,41,-4,968.0
7:48.0,Defensive rebound by M. Beasley,41-37, ,,2,37,41,-4,972.0
7:40.0,J. McDaniels makes 2-pt jump shot from 10 ft,43-37, ,,2,37,43,-6,980.0
7:33.0, ,43-40,T. Herro makes 3-pt jump shot from 25 ft,,2,40,43,-3,987.0
7:19.0,M. Beasley misses 3-pt jump shot from 27 ft,43-40, ,,2,40,43,-3,1001.0
7:16.0, ,43-40,Defensive rebound by T. Herro,,2,40,43,-3,1004.0
7:12.0, ,43-40,Miami full timeout,,2,40,43,-3,1008.0
7:12.0,A. Edwards enters the game for D. Russell,43-40, ,,2,40,43,-3,1008.0
7:12.0, ,43-40,B. Adebayo enters the game for D. Dedmon,,2,40,43,-3,1008.0
7:12.0, ,43-40,K. Lowry enters the game for M. Morris,,2,40,43,-3,1008.0
7:12.0, ,43-40,P. Tucker enters the game for G. Vincent,,2,40,43,-3,1008.0
7:03.0, ,43-43,M. Strus makes 3-pt jump shot from 23 ft (assist by K. Lowry),Tie,2,43,43,0,1017.0
6:39.0,N. Reid misses 2-pt jump shot from 5 ft,43-43, ,,2,43,43,0,1041.0
6:36.0, ,43-43,Defensive rebound by T. Herro,,2,43,43,0,1044.0
6:25.0, ,43-43,M. Strus misses 3-pt jump shot from 26 ft,,2,43,43,0,1055.0
6:22.0,Defensive rebound by M. Beasley,43-43, ,,2,43,43,0,1058.0
6:15.0,Offensive foul by M. Beasley (drawn by T. Herro),43-43, ,,2,43,43,0,1065.0
6:15.0,Turnover by M. Beasley (offensive foul),43-43, ,,2,43,43,0,1065.0
6:04.0, ,43-43,Shooting foul by J. McDaniels (drawn by T. Herro),,2,43,43,0,1076.0
6:04.0, ,43-44,T. Herro makes free throw 1 of 2,Lead change,2,44,43,1,1076.0
6:04.0,J. McLaughlin enters the game for J. Nowell,43-44, ,,2,44,43,1,1076.0
6:04.0, ,43-45,T. Herro makes free throw 2 of 2,,2,45,43,2,1076.0
5:47.0,N. Reid misses 3-pt jump shot from 27 ft,43-45, ,,2,45,43,2,1093.0
5:43.0, ,43-45,Defensive rebound by B. Adebayo,,2,45,43,2,1097.0
5:30.0, ,43-45,Shooting foul by A. Edwards (drawn by T. Herro),,2,45,43,2,1110.0
5:30.0, ,43-46,T. Herro makes free throw 1 of 3,,2,46,43,3,1110.0
5:30.0, ,43-47,T. Herro makes free throw 2 of 3,,2,47,43,4,1110.0
5:30.0,K. Towns enters the game for N. Reid,43-47, ,,2,47,43,4,1110.0
5:30.0, ,43-48,T. Herro makes free throw 3 of 3,,2,48,43,5,1110.0
5:19.0,Turnover by K. Towns (bad pass; steal by B. Adebayo),43-48, ,,2,48,43,5,1121.0
5:16.0, ,43-48,Shooting foul by J. McDaniels (drawn by B. Adebayo),,2,48,43,5,1124.0
5:16.0, ,43-49,B. Adebayo makes free throw 1 of 2,,2,49,43,6,1124.0
5:16.0, ,43-50,B. Adebayo makes free throw 2 of 2,,2,50,43,7,1124.0
5:04.0,M. Beasley misses 3-pt jump shot from 24 ft,43-50, ,,2,50,43,7,1136.0
5:01.0,Offensive rebound by J. McDaniels,43-50, ,,2,50,43,7,1139.0
5:01.0,J. McDaniels makes 2-pt dunk from 1 ft,45-50, ,,2,50,45,5,1139.0
5:01.0,Shooting foul by P. Tucker (drawn by J. McDaniels),45-50, ,,2,50,45,5,1139.0
5:01.0, ,45-50,H. Highsmith enters the game for P. Tucker,,2,50,45,5,1139.0
5:01.0,J. McDaniels makes free throw 1 of 1,46-50, ,,2,50,46,4,1139.0
4:45.0, ,46-53,H. Highsmith makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,2,53,46,7,1155.0
4:28.0,J. McDaniels misses 3-pt jump shot from 25 ft,46-53, ,,2,53,46,7,1172.0
4:22.0, ,46-53,Defensive rebound by M. Strus,,2,53,46,7,1178.0
4:10.0, ,46-53,T. Herro misses 2-pt jump shot from 10 ft,,2,53,46,7,1190.0
4:07.0,Defensive rebound by J. McDaniels,46-53, ,,2,53,46,7,1193.0
4:06.0,Minnesota full timeout,46-53, ,,2,53,46,7,1194.0
4:06.0,T. Prince enters the game for M. Beasley,46-53, ,,2,53,46,7,1194.0
4:06.0,D. Russell enters the game for J. McDaniels,46-53, ,,2,53,46,7,1194.0
3:56.0,Shooting foul by K. Lowry (drawn by K. Towns),46-53, ,,2,53,46,7,1204.0
3:56.0,K. Towns makes free throw 1 of 2,47-53, ,,2,53,47,6,1204.0
3:56.0,K. Towns misses free throw 2 of 2,47-53, ,,2,53,47,6,1204.0
3:54.0, ,47-53,Defensive rebound by T. Herro,,2,53,47,6,1206.0
3:40.0, ,47-55,B. Adebayo makes 2-pt layup from 2 ft,,2,55,47,8,1220.0
3:25.0,Shooting foul by B. Adebayo (drawn by K. Towns),47-55, ,,2,55,47,8,1235.0
3:25.0,K. Towns makes free throw 1 of 2,48-55, ,,2,55,48,7,1235.0
3:25.0,K. Towns misses free throw 2 of 2,48-55, ,,2,55,48,7,1235.0
3:22.0, ,48-55,Defensive rebound by B. Adebayo,,2,55,48,7,1238.0
3:09.0, ,48-58,K. Lowry makes 3-pt jump shot from 23 ft (assist by M. Strus),,2,58,48,10,1251.0
2:55.0,D. Russell misses 3-pt jump shot from 26 ft,48-58, ,,2,58,48,10,1265.0
2:53.0, ,48-58,Defensive rebound by K. Lowry,,2,58,48,10,1267.0
2:51.0, ,48-60,T. Herro makes 2-pt dunk from 1 ft (assist by K. Lowry),,2,60,48,12,1269.0
2:37.0,K. Towns misses 2-pt hook shot from 6 ft,48-60, ,,2,60,48,12,1283.0
2:37.0, ,48-60,Defensive rebound by K. Lowry,,2,60,48,12,1283.0
2:37.0,Technical foul by K. Towns,48-60, ,,2,60,48,12,1283.0
2:37.0, ,48-61,T. Herro makes technical free throw,,2,61,48,13,1283.0
2:37.0,J. Nowell enters the game for J. McLaughlin,48-61, ,,2,61,48,13,1283.0
2:37.0,N. Reid enters the game for K. Towns,48-61, ,,2,61,48,13,1283.0
2:32.0, ,48-61,B. Adebayo misses 2-pt hook shot from 5 ft,,2,61,48,13,1288.0
2:28.0,Defensive rebound by A. Edwards,48-61, ,,2,61,48,13,1292.0
2:18.0,Turnover by A. Edwards (lost ball; steal by B. Adebayo),48-61, ,,2,61,48,13,1302.0
2:14.0, ,48-64,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,64,48,16,1306.0
1:48.0,J. Nowell misses 3-pt jump shot from 26 ft,48-64, ,,2,64,48,16,1332.0
1:46.0,Offensive rebound by N. Reid,48-64, ,,2,64,48,16,1334.0
1:44.0,N. Reid makes 2-pt layup from 2 ft,50-64, ,,2,64,50,14,1336.0
1:24.0, ,50-64,M. Strus misses 3-pt jump shot from 23 ft,,2,64,50,14,1356.0
1:24.0, ,50-64,Offensive rebound by K. Lowry,,2,64,50,14,1356.0
1:20.0, ,50-64,K. Lowry misses 2-pt layup from 5 ft (block by N. Reid),,2,64,50,14,1360.0
1:16.0,Defensive rebound by N. Reid,50-64, ,,2,64,50,14,1364.0
1:14.0,Turnover by T. Prince (lost ball; steal by T. Herro),50-64, ,,2,64,50,14,1366.0
1:09.0, ,50-67,M. Strus makes 3-pt jump shot from 23 ft (assist by K. Lowry),,2,67,50,17,1371.0
0:53.0,A. Edwards makes 3-pt jump shot from 26 ft,53-67, ,,2,67,53,14,1387.0
0:31.0, ,53-67,B. Adebayo misses 2-pt jump shot from 6 ft,,2,67,53,14,1409.0
0:25.0,Defensive rebound by D. Russell,53-67, ,,2,67,53,14,1415.0
0:25.0,Shooting foul by M. Strus (drawn by J. Nowell),53-67, ,,2,67,53,14,1415.0
0:25.0,Instant Replay (Request: Stands),53-67, ,,2,67,53,14,1415.0
0:25.0,J. Nowell makes free throw 1 of 2,54-67, ,,2,67,54,13,1415.0
0:25.0,J. Okogie enters the game for D. Russell,54-67, ,,2,67,54,13,1415.0
0:25.0, ,54-67,D. Robinson enters the game for H. Highsmith,,2,67,54,13,1415.0
0:25.0,J. Nowell makes free throw 2 of 2,55-67, ,,2,67,55,12,1415.0
0:01.0, ,55-67,K. Lowry misses 2-pt jump shot from 6 ft,,2,67,55,12,1439.0
0:00.0, ,55-67,Offensive rebound by Team,,2,67,55,12,1440.0
0:00.0,End of 2nd quarter,55-67,,,2,67,55,12,1440.0
12:00.0,Start of 3rd quarter,55-67,,,3,67,55,12,1440.0
11:42.0, ,55-67,Turnover by K. Lowry (lost ball; steal by A. Edwards),,3,67,55,12,1458.0
11:35.0,J. McDaniels makes 2-pt dunk from 2 ft (assist by D. Russell),57-67, ,,3,67,57,10,1465.0
11:19.0, ,57-70,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,70,57,13,1481.0
11:07.0,D. Russell makes 3-pt jump shot from 24 ft (assist by A. Edwards),60-70, ,,3,70,60,10,1493.0
10:57.0, ,60-70,P. Tucker misses 3-pt jump shot from 23 ft,,3,70,60,10,1503.0
10:55.0,Defensive rebound by A. Edwards,60-70, ,,3,70,60,10,1505.0
10:43.0,K. Towns misses 3-pt jump shot from 26 ft,60-70, ,,3,70,60,10,1517.0
10:40.0, ,60-70,Defensive rebound by B. Adebayo,,3,70,60,10,1520.0
10:24.0, ,60-70,B. Adebayo misses 2-pt dunk from 1 ft,,3,70,60,10,1536.0
10:22.0,Defensive rebound by K. Towns,60-70, ,,3,70,60,10,1538.0
10:20.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by D. Russell),63-70, ,,3,70,63,7,1540.0
10:02.0, ,63-70,D. Robinson misses 3-pt jump shot from 23 ft,,3,70,63,7,1558.0
10:00.0,Defensive rebound by J. McDaniels,63-70, ,,3,70,63,7,1560.0
9:56.0,D. Russell misses 3-pt jump shot from 29 ft,63-70, ,,3,70,63,7,1564.0
9:52.0, ,63-70,Defensive rebound by B. Adebayo,,3,70,63,7,1568.0
9:36.0, ,63-70,G. Vincent misses 2-pt layup from 6 ft (block by A. Edwards),,3,70,63,7,1584.0
9:36.0, ,63-70,Offensive rebound by Team,,3,70,63,7,1584.0
9:33.0, ,63-70,D. Robinson misses 3-pt jump shot from 24 ft,,3,70,63,7,1587.0
9:30.0,Defensive rebound by K. Towns,63-70, ,,3,70,63,7,1590.0
9:23.0,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),66-70, ,,3,70,66,4,1597.0
9:08.0, ,66-70,Offensive foul by P. Tucker (drawn by J. McDaniels),,3,70,66,4,1612.0
9:08.0, ,66-70,Turnover by P. Tucker (offensive foul),,3,70,66,4,1612.0
8:52.0,Turnover by D. Russell (lost ball; steal by G. Vincent),66-70, ,,3,70,66,4,1628.0
8:46.0, ,66-70,Personal foul by M. Beasley (drawn by K. Lowry),,3,70,66,4,1634.0
8:42.0, ,66-72,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),,3,72,66,6,1638.0
8:42.0, ,66-72,Shooting foul by J. McDaniels (drawn by B. Adebayo),,3,72,66,6,1638.0
8:42.0, ,66-72,B. Adebayo misses free throw 1 of 1,,3,72,66,6,1638.0
8:39.0,Defensive rebound by K. Towns,66-72, ,,3,72,66,6,1641.0
8:22.0,Personal foul by B. Adebayo (drawn by K. Towns),66-72, ,,3,72,66,6,1658.0
8:17.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by D. Russell),69-72, ,,3,72,69,3,1663.0
7:58.0, ,69-72,P. Tucker misses 2-pt layup from 4 ft,,3,72,69,3,1682.0
7:57.0, ,69-72,Offensive rebound by P. Tucker,,3,72,69,3,1683.0
7:51.0, ,69-74,P. Tucker makes 2-pt layup from 1 ft (assist by D. Robinson),,3,74,69,5,1689.0
7:41.0,Turnover by D. Russell (lost ball; steal by G. Vincent),69-74, ,,3,74,69,5,1699.0
7:36.0, ,69-76,G. Vincent makes 2-pt layup from 1 ft,,3,76,69,7,1704.0
7:27.0,A. Edwards misses 3-pt jump shot from 25 ft,69-76, ,,3,76,69,7,1713.0
7:25.0, ,69-76,Defensive rebound by B. Adebayo,,3,76,69,7,1715.0
7:20.0, ,69-76,Turnover by B. Adebayo (bad pass; steal by A. Edwards),,3,76,69,7,1720.0
7:15.0,Turnover by J. McDaniels (bad pass),69-76, ,,3,76,69,7,1725.0
7:05.0,Violation by Team (kicked ball),69-76, ,,3,76,69,7,1735.0
7:05.0,J. McLaughlin enters the game for D. Russell,69-76, ,,3,76,69,7,1735.0
