Time,Phoenix,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:06.0,Jump ball: D. Booker vs. T. Herro (J. McGee gains possession),29-27,,,1,27,29,-2,714.0
0:06.0, ,29-27,Turnover by T. Herro (lost ball; steal by D. Booker),,1,27,29,-2,714.0
0:00.0,A. Holiday misses 3-pt jump shot from 26 ft,29-27, ,,1,27,29,-2,720.0
0:00.0,Offensive rebound by Team,29-27, ,,1,27,29,-2,720.0
0:00.0,End of 1st quarter,29-27,,,1,27,29,-2,720.0
12:00.0,Start of 2nd quarter,29-27,,,2,27,29,-2,720.0
11:41.0, ,29-29,T. Herro makes 2-pt jump shot from 19 ft (assist by V. Oladipo),Tie,2,29,29,0,739.0
11:25.0,Offensive foul by J. Crowder (drawn by D. Dedmon),29-29, ,,2,29,29,0,755.0
11:25.0,Turnover by J. Crowder (offensive foul),29-29, ,,2,29,29,0,755.0
11:04.0, ,29-31,C. Martin makes 2-pt dunk from 1 ft (assist by V. Oladipo),Lead change,2,31,29,2,776.0
10:50.0,L. Shamet misses 3-pt jump shot from 24 ft,29-31, ,,2,31,29,2,790.0
10:50.0,Offensive rebound by Team,29-31, ,,2,31,29,2,790.0
10:45.0,L. Shamet makes 2-pt jump shot from 9 ft (assist by A. Holiday),31-31, ,Tie,2,31,31,0,795.0
10:39.0, ,31-31,Turnover by K. Lowry (bad pass),,2,31,31,0,801.0
10:22.0,J. McGee makes 2-pt dunk from 1 ft (assist by T. Craig),33-31, ,Lead change,2,31,33,-2,818.0
10:04.0, ,33-31,D. Dedmon misses 2-pt layup from 3 ft,,2,31,33,-2,836.0
10:02.0,Defensive rebound by J. McGee,33-31, ,,2,31,33,-2,838.0
9:54.0,A. Holiday misses 2-pt layup from 6 ft (block by C. Martin),33-31, ,,2,31,33,-2,846.0
9:51.0, ,33-31,Defensive rebound by C. Martin,,2,31,33,-2,849.0
9:49.0, ,33-31,C. Martin misses 2-pt layup from 1 ft,,2,31,33,-2,851.0
9:45.0,Defensive rebound by J. Crowder,33-31, ,,2,31,33,-2,855.0
9:39.0,J. Crowder misses 3-pt jump shot from 27 ft,33-31, ,,2,31,33,-2,861.0
9:39.0,Offensive rebound by J. McGee,33-31, ,,2,31,33,-2,861.0
9:28.0,A. Holiday misses 2-pt layup from 3 ft (block by D. Dedmon),33-31, ,,2,31,33,-2,872.0
9:24.0,Offensive rebound by J. McGee,33-31, ,,2,31,33,-2,876.0
9:23.0,J. McGee misses 2-pt layup from 2 ft,33-31, ,,2,31,33,-2,877.0
9:23.0,J. McGee misses 2-pt layup from 1 ft,33-31, ,,2,31,33,-2,877.0
9:23.0,Offensive rebound by J. McGee,33-31, ,,2,31,33,-2,877.0
9:22.0,J. McGee misses 2-pt layup from 2 ft,33-31, ,,2,31,33,-2,878.0
9:22.0,Offensive rebound by Team,33-31, ,,2,31,33,-2,878.0
9:19.0,L. Shamet misses 3-pt jump shot from 23 ft (block by C. Martin),33-31, ,,2,31,33,-2,881.0
9:17.0,Offensive rebound by L. Shamet,33-31, ,,2,31,33,-2,883.0
9:17.0,L. Shamet misses 2-pt layup from 2 ft (block by D. Dedmon),33-31, ,,2,31,33,-2,883.0
9:17.0,Offensive rebound by Team,33-31, ,,2,31,33,-2,883.0
9:12.0,J. Crowder misses 3-pt jump shot from 27 ft,33-31, ,,2,31,33,-2,888.0
9:09.0, ,33-31,Defensive rebound by C. Martin,,2,31,33,-2,891.0
8:57.0, ,33-31,V. Oladipo misses 3-pt jump shot from 26 ft,,2,31,33,-2,903.0
8:53.0,Defensive rebound by T. Craig,33-31, ,,2,31,33,-2,907.0
8:41.0,T. Craig misses 3-pt jump shot from 25 ft,33-31, ,,2,31,33,-2,919.0
8:36.0, ,33-31,Defensive rebound by D. Dedmon,,2,31,33,-2,924.0
8:34.0, ,33-33,T. Herro makes 2-pt layup from 2 ft (assist by K. Lowry),Tie,2,33,33,0,926.0
8:14.0,J. Crowder misses 2-pt jump shot from 16 ft,33-33, ,,2,33,33,0,946.0
8:12.0, ,33-33,Defensive rebound by Team,,2,33,33,0,948.0
8:12.0,C. Payne enters the game for A. Holiday,33-33, ,,2,33,33,0,948.0
8:12.0, ,33-33,B. Adebayo enters the game for D. Dedmon,,2,33,33,0,948.0
7:56.0, ,33-35,V. Oladipo makes 2-pt jump shot from 9 ft,Lead change,2,35,33,2,964.0
7:43.0,Turnover by J. Crowder (bad pass; steal by C. Martin),33-35, ,,2,35,33,2,977.0
7:40.0, ,33-35,C. Martin misses 2-pt layup from 3 ft (block by J. Crowder),,2,35,33,2,980.0
7:40.0,Defensive rebound by Team,33-35, ,,2,35,33,2,980.0
7:40.0,D. Ayton enters the game for T. Craig,33-35, ,,2,35,33,2,980.0
7:40.0,M. Bridges enters the game for J. McGee,33-35, ,,2,35,33,2,980.0
7:25.0,C. Payne misses 2-pt jump shot from 17 ft,33-35, ,,2,35,33,2,995.0
7:20.0, ,33-35,Defensive rebound by C. Martin,,2,35,33,2,1000.0
7:05.0, ,33-37,V. Oladipo makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,37,33,4,1015.0
6:43.0,L. Shamet misses 2-pt layup from 3 ft (block by B. Adebayo),33-37, ,,2,37,33,4,1037.0
6:39.0, ,33-37,Defensive rebound by K. Lowry,,2,37,33,4,1041.0
6:38.0, ,33-37,T. Herro misses 3-pt jump shot from 23 ft,,2,37,33,4,1042.0
6:33.0,Defensive rebound by M. Bridges,33-37, ,,2,37,33,4,1047.0
6:26.0,D. Ayton makes 2-pt layup from 3 ft (assist by M. Bridges),35-37, ,,2,37,35,2,1054.0
6:11.0, ,35-40,T. Herro makes 3-pt jump shot from 27 ft,,2,40,35,5,1069.0
6:10.0,Phoenix full timeout,35-40, ,,2,40,35,5,1070.0
6:10.0,D. Booker enters the game for L. Shamet,35-40, ,,2,40,35,5,1070.0
6:10.0, ,35-40,D. Robinson enters the game for V. Oladipo,,2,40,35,5,1070.0
5:56.0,M. Bridges makes 2-pt jump shot from 13 ft,37-40, ,,2,40,37,3,1084.0
5:37.0, ,37-40,Personal foul by M. Bridges (drawn by C. Martin),,2,40,37,3,1103.0
5:37.0, ,37-40,P. Tucker enters the game for C. Martin,,2,40,37,3,1103.0
5:32.0, ,37-43,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,2,43,37,6,1108.0
5:13.0,J. Crowder makes 2-pt jump shot from 20 ft (assist by C. Payne),39-43, ,,2,43,39,4,1127.0
4:52.0, ,39-43,Turnover by B. Adebayo (bad pass),,2,43,39,4,1148.0
4:52.0, ,39-43,G. Vincent enters the game for K. Lowry,,2,43,39,4,1148.0
4:39.0,J. Crowder misses 2-pt layup from 3 ft,39-43, ,,2,43,39,4,1161.0
4:37.0, ,39-43,Defensive rebound by D. Robinson,,2,43,39,4,1163.0
4:27.0, ,39-45,T. Herro makes 2-pt jump shot from 6 ft (assist by G. Vincent),,2,45,39,6,1173.0
4:15.0,Offensive foul by J. Crowder (drawn by P. Tucker),39-45, ,,2,45,39,6,1185.0
4:15.0,Turnover by J. Crowder (offensive foul),39-45, ,,2,45,39,6,1185.0
4:15.0,L. Shamet enters the game for J. Crowder,39-45, ,,2,45,39,6,1185.0
4:01.0, ,39-45,Turnover by G. Vincent (bad pass; steal by D. Booker),,2,45,39,6,1199.0
3:58.0,D. Booker makes 2-pt layup from 2 ft,41-45, ,,2,45,41,4,1202.0
3:38.0, ,41-45,G. Vincent misses 2-pt jump shot from 18 ft,,2,45,41,4,1222.0
3:35.0,Defensive rebound by M. Bridges,41-45, ,,2,45,41,4,1225.0
3:31.0,C. Payne makes 3-pt jump shot from 26 ft,44-45, ,,2,45,44,1,1229.0
3:18.0, ,44-48,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,48,44,4,1242.0
3:00.0,Turnover by D. Booker (bad pass; steal by P. Tucker),44-48, ,,2,48,44,4,1260.0
2:52.0, ,44-50,P. Tucker makes 2-pt jump shot from 5 ft (assist by D. Robinson),,2,50,44,6,1268.0
2:25.0,D. Ayton makes 2-pt dunk from 2 ft (assist by M. Bridges),46-50, ,,2,50,46,4,1295.0
2:12.0, ,46-50,T. Herro misses 2-pt layup from 2 ft (block by M. Bridges),,2,50,46,4,1308.0
2:09.0,Defensive rebound by D. Booker,46-50, ,,2,50,46,4,1311.0
2:06.0,L. Shamet misses 3-pt jump shot from 24 ft,46-50, ,,2,50,46,4,1314.0
2:02.0, ,46-50,Defensive rebound by P. Tucker,,2,50,46,4,1318.0
1:52.0, ,46-50,T. Herro misses 3-pt jump shot from 24 ft,,2,50,46,4,1328.0
1:46.0,Defensive rebound by M. Bridges,46-50, ,,2,50,46,4,1334.0
1:36.0,Shooting foul by B. Adebayo (drawn by D. Booker),46-50, ,,2,50,46,4,1344.0
1:36.0, ,46-50,Miami full timeout,,2,50,46,4,1344.0
1:36.0,T. Craig enters the game for C. Payne,46-50, ,,2,50,46,4,1344.0
1:36.0, ,46-50,K. Lowry enters the game for T. Herro,,2,50,46,4,1344.0
1:36.0,D. Booker makes free throw 1 of 3,47-50, ,,2,50,47,3,1344.0
1:36.0,D. Booker makes free throw 2 of 3,48-50, ,,2,50,48,2,1344.0
1:36.0,D. Booker makes free throw 3 of 3,49-50, ,,2,50,49,1,1344.0
1:17.0, ,49-52,P. Tucker makes 2-pt jump shot from 6 ft (assist by B. Adebayo),,2,52,49,3,1363.0
1:03.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Booker),51-52, ,,2,52,51,1,1377.0
1:03.0,Shooting foul by P. Tucker (drawn by M. Bridges),51-52, ,,2,52,51,1,1377.0
1:03.0, ,51-52,T. Herro enters the game for G. Vincent,,2,52,51,1,1377.0
1:03.0,M. Bridges makes free throw 1 of 1,52-52, ,Tie,2,52,52,0,1377.0
0:49.0, ,52-54,B. Adebayo makes 2-pt jump shot from 9 ft,,2,54,52,2,1391.0
0:49.0, ,52-54,Shooting foul by D. Ayton (drawn by B. Adebayo),,2,54,52,2,1391.0
0:49.0,C. Payne enters the game for T. Craig,52-54, ,,2,54,52,2,1391.0
0:49.0, ,52-54,H. Highsmith enters the game for P. Tucker,,2,54,52,2,1391.0
0:49.0, ,52-55,B. Adebayo makes free throw 1 of 1,,2,55,52,3,1391.0
0:38.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by C. Payne),55-55, ,Tie,2,55,55,0,1402.0
0:30.0, ,55-55,K. Lowry misses 3-pt jump shot from 28 ft,,2,55,55,0,1410.0
0:25.0,Defensive rebound by C. Payne,55-55, ,,2,55,55,0,1415.0
0:17.0,D. Ayton makes 2-pt jump shot from 12 ft (assist by C. Payne),57-55, ,Lead change,2,55,57,-2,1423.0
0:02.0, ,57-55,T. Herro misses 2-pt layup from 2 ft,,2,55,57,-2,1438.0
0:00.0,Defensive rebound by D. Booker,57-55, ,,2,55,57,-2,1440.0
0:00.0,End of 2nd quarter,57-55,,,2,55,57,-2,1440.0
12:00.0,Start of 3rd quarter,57-55,,,3,55,57,-2,1440.0
11:47.0, ,57-55,Turnover by G. Vincent (lost ball; steal by C. Payne),,3,55,57,-2,1453.0
11:27.0,D. Booker misses 3-pt jump shot from 26 ft,57-55, ,,3,55,57,-2,1473.0
11:23.0, ,57-55,Defensive rebound by B. Adebayo,,3,55,57,-2,1477.0
11:14.0, ,57-55,B. Adebayo misses 2-pt layup from 2 ft (block by D. Booker),,3,55,57,-2,1486.0
11:11.0,Defensive rebound by C. Payne,57-55, ,,3,55,57,-2,1489.0
11:09.0,M. Bridges makes 2-pt layup from 7 ft (assist by C. Payne),59-55, ,,3,55,59,-4,1491.0
10:59.0, ,59-57,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),,3,57,59,-2,1501.0
10:45.0,C. Payne makes 3-pt jump shot from 25 ft,62-57, ,,3,57,62,-5,1515.0
10:34.0, ,62-57,Personal foul by D. Booker (drawn by D. Robinson),,3,57,62,-5,1526.0
10:29.0, ,62-57,Shooting foul by C. Payne (drawn by P. Tucker),,3,57,62,-5,1531.0
10:29.0, ,62-57,P. Tucker misses free throw 1 of 2,,3,57,62,-5,1531.0
10:29.0, ,62-57,Offensive rebound by Team,,3,57,62,-5,1531.0
10:29.0, ,62-58,P. Tucker makes free throw 2 of 2,,3,58,62,-4,1531.0
10:12.0,D. Ayton makes 2-pt hook shot from 4 ft (assist by C. Payne),64-58, ,,3,58,64,-6,1548.0
10:01.0, ,64-58,G. Vincent misses 3-pt jump shot from 25 ft,,3,58,64,-6,1559.0
10:01.0,Defensive rebound by C. Payne,64-58, ,,3,58,64,-6,1559.0
9:44.0,C. Payne makes 3-pt jump shot from 26 ft,67-58, ,,3,58,67,-9,1576.0
9:32.0, ,67-58,B. Adebayo misses 2-pt jump shot from 16 ft,,3,58,67,-9,1588.0
9:28.0,Defensive rebound by M. Bridges,67-58, ,,3,58,67,-9,1592.0
9:24.0,Turnover by C. Payne (bad pass; steal by P. Tucker),67-58, ,,3,58,67,-9,1596.0
9:01.0, ,67-58,B. Adebayo misses 2-pt jump shot from 12 ft,,3,58,67,-9,1619.0
8:57.0,Defensive rebound by D. Booker,67-58, ,,3,58,67,-9,1623.0
8:52.0,D. Booker makes 2-pt jump shot from 17 ft,69-58, ,,3,58,69,-11,1628.0
8:51.0, ,69-58,Miami full timeout,,3,58,69,-11,1629.0
8:37.0, ,69-58,Personal foul by D. Ayton (drawn by B. Adebayo),,3,58,69,-11,1643.0
8:32.0, ,69-60,P. Tucker makes 2-pt layup from 2 ft (assist by B. Adebayo),,3,60,69,-9,1648.0
8:22.0,J. Crowder makes 2-pt jump shot from 13 ft (assist by D. Booker),71-60, ,,3,60,71,-11,1658.0
8:11.0, ,71-62,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),,3,62,71,-9,1669.0
8:00.0,M. Bridges misses 3-pt jump shot from 26 ft,71-62, ,,3,62,71,-9,1680.0
7:57.0,Offensive rebound by D. Ayton,71-62, ,,3,62,71,-9,1683.0
7:53.0,M. Bridges makes 2-pt jump shot from 6 ft (assist by D. Ayton),73-62, ,,3,62,73,-11,1687.0
7:36.0, ,73-62,P. Tucker misses 3-pt jump shot from 26 ft,,3,62,73,-11,1704.0
7:33.0,Defensive rebound by D. Ayton,73-62, ,,3,62,73,-11,1707.0
7:14.0,C. Payne misses 3-pt jump shot from 23 ft,73-62, ,,3,62,73,-11,1726.0
7:10.0, ,73-62,Defensive rebound by B. Adebayo,,3,62,73,-11,1730.0
6:52.0, ,73-65,G. Vincent makes 3-pt jump shot from 23 ft (assist by K. Lowry),,3,65,73,-8,1748.0
6:38.0,D. Booker misses 2-pt jump shot from 11 ft,73-65, ,,3,65,73,-8,1762.0
6:35.0,Offensive rebound by J. Crowder,73-65, ,,3,65,73,-8,1765.0
6:34.0,J. Crowder misses 2-pt layup from 3 ft,73-65, ,,3,65,73,-8,1766.0
6:33.0,Offensive rebound by J. Crowder,73-65, ,,3,65,73,-8,1767.0
6:32.0,J. Crowder makes 2-pt layup from 2 ft,75-65, ,,3,65,75,-10,1768.0
6:26.0, ,75-65,G. Vincent misses 3-pt jump shot from 27 ft,,3,65,75,-10,1774.0
6:22.0, ,75-65,Offensive rebound by P. Tucker,,3,65,75,-10,1778.0
6:21.0, ,75-65,P. Tucker misses 2-pt layup from 5 ft,,3,65,75,-10,1779.0
6:21.0,Defensive rebound by D. Ayton,75-65, ,,3,65,75,-10,1779.0
6:21.0, ,75-65,D. Dedmon enters the game for B. Adebayo,,3,65,75,-10,1779.0
6:21.0, ,75-65,T. Herro enters the game for G. Vincent,,3,65,75,-10,1779.0
6:08.0,Offensive foul by C. Payne (drawn by K. Lowry),75-65, ,,3,65,75,-10,1792.0
6:08.0,Turnover by C. Payne (offensive foul),75-65, ,,3,65,75,-10,1792.0
5:56.0, ,75-65,D. Robinson misses 3-pt jump shot from 27 ft,,3,65,75,-10,1804.0
5:51.0,Defensive rebound by D. Ayton,75-65, ,,3,65,75,-10,1809.0
5:49.0,Shooting foul by K. Lowry (drawn by D. Booker),75-65, ,,3,65,75,-10,1811.0
5:49.0,D. Booker makes free throw 1 of 2,76-65, ,,3,65,76,-11,1811.0
5:49.0,D. Booker makes free throw 2 of 2,77-65, ,,3,65,77,-12,1811.0
5:34.0, ,77-65,P. Tucker misses 2-pt hook shot from 6 ft,,3,65,77,-12,1826.0
5:30.0,Defensive rebound by D. Ayton,77-65, ,,3,65,77,-12,1830.0
5:23.0,C. Payne misses 3-pt jump shot from 27 ft,77-65, ,,3,65,77,-12,1837.0
5:19.0, ,77-65,Defensive rebound by T. Herro,,3,65,77,-12,1841.0
5:19.0, ,77-65,Personal take foul by M. Bridges (drawn by T. Herro),,3,65,77,-12,1841.0
4:55.0, ,77-65,T. Herro misses 3-pt jump shot from 24 ft (block by C. Payne),,3,65,77,-12,1865.0
4:55.0, ,77-65,Offensive rebound by Team,,3,65,77,-12,1865.0
4:55.0, ,77-65,Turnover by Team (shot clock),,3,65,77,-12,1865.0
4:44.0,J. Crowder misses 3-pt jump shot from 27 ft,77-65, ,,3,65,77,-12,1876.0
4:41.0, ,77-65,Defensive rebound by D. Dedmon,,3,65,77,-12,1879.0
4:31.0, ,77-65,D. Dedmon misses 2-pt layup from 3 ft,,3,65,77,-12,1889.0
4:30.0,Defensive rebound by D. Booker,77-65, ,,3,65,77,-12,1890.0
4:30.0,Personal take foul by K. Lowry (drawn by D. Booker),77-65, ,,3,65,77,-12,1890.0
4:30.0,A. Holiday enters the game for D. Ayton,77-65, ,,3,65,77,-12,1890.0
4:30.0,J. McGee enters the game for J. Crowder,77-65, ,,3,65,77,-12,1890.0
4:30.0,L. Shamet enters the game for C. Payne,77-65, ,,3,65,77,-12,1890.0
4:30.0, ,77-65,V. Oladipo enters the game for D. Robinson,,3,65,77,-12,1890.0
4:20.0,J. McGee makes 2-pt layup from 3 ft (assist by D. Booker),79-65, ,,3,65,79,-14,1900.0
4:20.0,Shooting foul by K. Lowry (drawn by J. McGee),79-65, ,,3,65,79,-14,1900.0
4:20.0,J. McGee makes free throw 1 of 1,80-65, ,,3,65,80,-15,1900.0
4:16.0, ,80-65,Personal foul by D. Booker (drawn by K. Lowry),,3,65,80,-15,1904.0
4:16.0, ,80-66,K. Lowry makes free throw 1 of 2,,3,66,80,-14,1904.0
