Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:09.0, ,11-21,L. Aldridge makes 2-pt jump shot from 13 ft (assist by P. Mills),,1,11,21,-10,411.0
4:56.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),13-21, ,,1,13,21,-8,424.0
4:41.0, ,13-23,K. Durant makes 2-pt jump shot from 10 ft (assist by L. Aldridge),,1,13,23,-10,439.0
4:27.0,B. Adebayo misses 2-pt jump shot from 20 ft,13-23, ,,1,13,23,-10,453.0
4:27.0, ,13-23,Defensive rebound by K. Durant,,1,13,23,-10,453.0
4:11.0, ,13-26,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Johnson),,1,13,26,-13,469.0
4:10.0,Miami full timeout,13-26, ,,1,13,26,-13,470.0
4:10.0,D. Dedmon enters the game for B. Adebayo,13-26, ,,1,13,26,-13,470.0
4:02.0,Personal foul by K. Durant (drawn by C. Martin),13-26, ,,1,13,26,-13,478.0
4:02.0,H. Highsmith enters the game for M. Strus,13-26, ,,1,13,26,-13,478.0
4:02.0,C. Martin makes free throw 1 of 2,14-26, ,,1,14,26,-12,478.0
4:02.0,C. Martin makes free throw 2 of 2,15-26, ,,1,15,26,-11,478.0
3:51.0, ,15-26,Turnover by K. Durant (traveling),,1,15,26,-11,489.0
3:38.0,Personal foul by C. Thomas (drawn by T. Herro),15-26, ,,1,15,26,-11,502.0
3:38.0,T. Herro makes free throw 1 of 2,16-26, ,,1,16,26,-10,502.0
3:38.0, ,16-26,N. Claxton enters the game for K. Durant,,1,16,26,-10,502.0
3:38.0,T. Herro makes free throw 2 of 2,17-26, ,,1,17,26,-9,502.0
3:21.0, ,17-29,P. Mills makes 3-pt jump shot from 25 ft (assist by C. Thomas),,1,17,29,-12,519.0
3:04.0,D. Robinson misses 3-pt jump shot from 27 ft,17-29, ,,1,17,29,-12,536.0
3:01.0, ,17-29,Defensive rebound by L. Aldridge,,1,17,29,-12,539.0
2:48.0, ,17-29,C. Thomas misses 2-pt layup from 2 ft (block by D. Dedmon),,1,17,29,-12,552.0
2:43.0, ,17-29,Offensive rebound by C. Thomas,,1,17,29,-12,557.0
2:41.0, ,17-29,J. Johnson misses 3-pt jump shot from 26 ft,,1,17,29,-12,559.0
2:41.0, ,17-29,Offensive rebound by N. Claxton,,1,17,29,-12,559.0
2:30.0, ,17-31,P. Mills makes 2-pt jump shot from 19 ft,,1,17,31,-14,570.0
2:18.0,T. Herro misses 3-pt jump shot from 26 ft,17-31, ,,1,17,31,-14,582.0
2:18.0, ,17-31,Defensive rebound by N. Claxton,,1,17,31,-14,582.0
2:11.0, ,17-31,C. Thomas misses 3-pt jump shot from 25 ft,,1,17,31,-14,589.0
2:06.0,Defensive rebound by C. Martin,17-31, ,,1,17,31,-14,594.0
2:03.0,Turnover by C. Martin (lost ball; steal by L. Aldridge),17-31, ,,1,17,31,-14,597.0
1:58.0, ,17-31,Brooklyn full timeout,,1,17,31,-14,602.0
1:58.0,G. Vincent enters the game for D. Robinson,17-31, ,,1,17,31,-14,602.0
1:50.0, ,17-31,P. Mills misses 2-pt jump shot from 17 ft (block by D. Dedmon),,1,17,31,-14,610.0
1:47.0,Defensive rebound by Team,17-31, ,,1,17,31,-14,613.0
1:37.0,T. Herro makes 2-pt jump shot from 14 ft (assist by G. Vincent),19-31, ,,1,19,31,-12,623.0
1:21.0, ,19-31,Turnover by P. Mills (bad pass; steal by C. Martin),,1,19,31,-12,639.0
1:10.0,C. Martin makes 2-pt hook shot from 9 ft,21-31, ,,1,21,31,-10,650.0
0:53.0, ,21-31,C. Thomas misses 2-pt jump shot from 12 ft,,1,21,31,-10,667.0
0:49.0,Defensive rebound by H. Highsmith,21-31, ,,1,21,31,-10,671.0
0:37.0,G. Vincent makes 2-pt layup from 8 ft (assist by D. Dedmon),23-31, ,,1,23,31,-8,683.0
0:28.0, ,23-31,J. Johnson misses 3-pt jump shot from 24 ft,,1,23,31,-8,692.0
0:26.0, ,23-31,Offensive rebound by N. Claxton,,1,23,31,-8,694.0
0:25.0, ,23-33,N. Claxton makes 2-pt hook shot from 4 ft,,1,23,33,-10,695.0
0:07.0,Offensive foul by D. Dedmon (drawn by C. Thomas),23-33, ,,1,23,33,-10,713.0
0:07.0,Turnover by D. Dedmon (offensive foul),23-33, ,,1,23,33,-10,713.0
0:07.0,B. Adebayo enters the game for T. Herro,23-33, ,,1,23,33,-10,713.0
0:07.0, ,23-33,S. Curry enters the game for N. Claxton,,1,23,33,-10,713.0
0:07.0, ,23-33,K. Durant enters the game for J. Johnson,,1,23,33,-10,713.0
0:02.0, ,23-33,Shooting foul by G. Vincent (drawn by C. Thomas),,1,23,33,-10,718.0
0:02.0, ,23-34,C. Thomas makes free throw 1 of 2,,1,23,34,-11,718.0
0:02.0,T. Herro enters the game for H. Highsmith,23-34, ,,1,23,34,-11,718.0
0:02.0, ,23-34,N. Claxton enters the game for S. Curry,,1,23,34,-11,718.0
0:02.0, ,23-34,J. Johnson enters the game for K. Durant,,1,23,34,-11,718.0
0:02.0, ,23-35,C. Thomas makes free throw 2 of 2,,1,23,35,-12,718.0
0:01.0,G. Vincent misses 3-pt jump shot from 48 ft (block by C. Thomas),23-35, ,,1,23,35,-12,719.0
0:00.0,Offensive rebound by Team,23-35, ,,1,23,35,-12,720.0
0:00.0,End of 1st quarter,23-35,,,1,23,35,-12,720.0
12:00.0,Start of 2nd quarter,23-35,,,2,23,35,-12,720.0
11:48.0,T. Herro makes 2-pt jump shot from 12 ft,25-35, ,,2,25,35,-10,732.0
11:26.0, ,25-35,L. Aldridge misses 2-pt jump shot from 13 ft,,2,25,35,-10,754.0
11:26.0,Defensive rebound by H. Highsmith,25-35, ,,2,25,35,-10,754.0
11:17.0,T. Herro makes 2-pt jump shot from 13 ft,27-35, ,,2,27,35,-8,763.0
11:02.0, ,27-35,Turnover by N. Claxton (lost ball; steal by H. Highsmith),,2,27,35,-8,778.0
10:56.0,G. Vincent misses 3-pt jump shot from 25 ft,27-35, ,,2,27,35,-8,784.0
10:51.0,Offensive rebound by H. Highsmith,27-35, ,,2,27,35,-8,789.0
10:51.0,H. Highsmith misses 2-pt jump shot from 3 ft (block by N. Claxton),27-35, ,,2,27,35,-8,789.0
10:49.0, ,27-35,Defensive rebound by G. Dragić,,2,27,35,-8,791.0
10:44.0, ,27-35,G. Dragić misses 3-pt jump shot from 26 ft,,2,27,35,-8,796.0
10:42.0,Defensive rebound by Team,27-35, ,,2,27,35,-8,798.0
10:42.0, ,27-35,B. Brown enters the game for P. Mills,,2,27,35,-8,798.0
10:19.0,C. Martin misses 3-pt jump shot from 25 ft,27-35, ,,2,27,35,-8,821.0
10:18.0,Offensive rebound by Team,27-35, ,,2,27,35,-8,822.0
10:18.0, ,27-35,Loose ball foul by N. Claxton (drawn by H. Highsmith),,2,27,35,-8,822.0
10:11.0,T. Herro misses 3-pt jump shot from 26 ft,27-35, ,,2,27,35,-8,829.0
10:08.0, ,27-35,Defensive rebound by G. Dragić,,2,27,35,-8,832.0
9:59.0, ,27-35,S. Curry misses 3-pt jump shot from 26 ft,,2,27,35,-8,841.0
9:57.0, ,27-35,Offensive rebound by S. Curry,,2,27,35,-8,843.0
9:45.0, ,27-37,G. Dragić makes 2-pt layup from 5 ft,,2,27,37,-10,855.0
9:40.0,Turnover by G. Vincent (bad pass),27-37, ,,2,27,37,-10,860.0
9:28.0, ,27-40,S. Curry makes 3-pt jump shot from 23 ft (assist by G. Dragić),,2,27,40,-13,872.0
9:27.0,Miami full timeout,27-40, ,,2,27,40,-13,873.0
9:27.0,B. Adebayo enters the game for D. Dedmon,27-40, ,,2,27,40,-13,873.0
9:27.0,M. Strus enters the game for G. Vincent,27-40, ,,2,27,40,-13,873.0
9:27.0, ,27-40,J. Johnson enters the game for N. Claxton,,2,27,40,-13,873.0
9:02.0,Turnover by Team (shot clock),27-40, ,,2,27,40,-13,898.0
8:53.0, ,27-40,S. Curry misses 2-pt jump shot from 16 ft,,2,27,40,-13,907.0
8:50.0, ,27-40,Offensive rebound by Team,,2,27,40,-13,910.0
8:50.0,Jump ball: L. Aldridge vs. B. Adebayo (J. Johnson gains possession),27-40,,,2,27,40,-13,910.0
8:43.0, ,27-40,Personal foul by C. Martin (drawn by L. Aldridge),,2,27,40,-13,917.0
8:33.0, ,27-42,G. Dragić makes 2-pt layup from 3 ft,,2,27,42,-15,927.0
8:18.0,Def 3 sec tech foul by Team,27-42, ,,2,27,42,-15,942.0
8:18.0,T. Herro makes technical free throw,28-42, ,,2,28,42,-14,942.0
8:11.0,Shooting foul by J. Johnson (drawn by B. Adebayo),28-42, ,,2,28,42,-14,949.0
8:11.0,B. Adebayo misses free throw 1 of 2,28-42, ,,2,28,42,-14,949.0
8:11.0,Offensive rebound by Team,28-42, ,,2,28,42,-14,949.0
8:11.0, ,28-42,A. Drummond enters the game for L. Aldridge,,2,28,42,-14,949.0
8:11.0,B. Adebayo makes free throw 2 of 2,29-42, ,,2,29,42,-13,949.0
7:54.0, ,29-42,Turnover by G. Dragić (bad pass; steal by M. Strus),,2,29,42,-13,966.0
7:51.0,H. Highsmith misses 2-pt layup from 4 ft (block by J. Johnson),29-42, ,,2,29,42,-13,969.0
7:51.0,Offensive rebound by Team,29-42, ,,2,29,42,-13,969.0
7:51.0, ,29-42,K. Durant enters the game for G. Dragić,,2,29,42,-13,969.0
7:42.0,T. Herro makes 2-pt layup from 3 ft,31-42, ,,2,31,42,-11,978.0
7:42.0,Shooting foul by J. Johnson (drawn by T. Herro),31-42, ,,2,31,42,-11,978.0
7:42.0,T. Herro makes free throw 1 of 1,32-42, ,,2,32,42,-10,978.0
7:27.0, ,32-44,B. Brown makes 2-pt layup from 3 ft (assist by K. Durant),,2,32,44,-12,993.0
7:19.0,Shooting foul by S. Curry (drawn by B. Adebayo),32-44, ,,2,32,44,-12,1001.0
7:19.0,B. Adebayo makes free throw 1 of 2,33-44, ,,2,33,44,-11,1001.0
7:19.0,D. Robinson enters the game for H. Highsmith,33-44, ,,2,33,44,-11,1001.0
7:19.0, ,33-44,P. Mills enters the game for J. Johnson,,2,33,44,-11,1001.0
7:19.0,B. Adebayo makes free throw 2 of 2,34-44, ,,2,34,44,-10,1001.0
7:05.0, ,34-46,A. Drummond makes 2-pt hook shot from 7 ft (assist by K. Durant),,2,34,46,-12,1015.0
6:48.0,B. Adebayo makes 2-pt jump shot from 9 ft (assist by T. Herro),36-46, ,,2,36,46,-10,1032.0
6:34.0, ,36-49,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Brown),,2,36,49,-13,1046.0
6:24.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Robinson),38-49, ,,2,38,49,-11,1056.0
6:09.0, ,38-49,Turnover by K. Durant (bad pass; steal by B. Adebayo),,2,38,49,-11,1071.0
6:03.0,M. Strus misses 3-pt jump shot from 25 ft,38-49, ,,2,38,49,-11,1077.0
5:59.0, ,38-49,Defensive rebound by P. Mills,,2,38,49,-11,1081.0
5:54.0, ,38-51,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Brown),,2,38,51,-13,1086.0
5:37.0,Personal foul by P. Mills (drawn by M. Strus),38-51, ,,2,38,51,-13,1103.0
5:37.0,M. Strus misses free throw 1 of 2,38-51, ,,2,38,51,-13,1103.0
5:37.0,Offensive rebound by Team,38-51, ,,2,38,51,-13,1103.0
5:37.0,M. Strus makes free throw 2 of 2,39-51, ,,2,39,51,-12,1103.0
5:26.0, ,39-51,Personal foul by M. Strus (drawn by A. Drummond),,2,39,51,-12,1114.0
5:15.0, ,39-54,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Brown),,2,39,54,-15,1125.0
5:02.0,Shooting foul by K. Durant (drawn by B. Adebayo),39-54, ,,2,39,54,-15,1138.0
5:02.0, ,39-54,Technical foul by S. Curry,,2,39,54,-15,1138.0
5:02.0,T. Herro makes technical free throw,40-54, ,,2,40,54,-14,1138.0
5:02.0,B. Adebayo makes free throw 1 of 2,41-54, ,,2,41,54,-13,1138.0
5:02.0,B. Adebayo misses free throw 2 of 2,41-54, ,,2,41,54,-13,1138.0
4:59.0, ,41-54,Defensive rebound by A. Drummond,,2,41,54,-13,1141.0
4:38.0, ,41-57,B. Brown makes 3-pt jump shot from 27 ft (assist by K. Durant),,2,41,57,-16,1162.0
4:26.0,T. Herro misses 2-pt layup from 5 ft,41-57, ,,2,41,57,-16,1174.0
4:26.0,Offensive rebound by Team,41-57, ,,2,41,57,-16,1174.0
4:23.0,T. Herro makes 2-pt jump shot from 7 ft (assist by C. Martin),43-57, ,,2,43,57,-14,1177.0
4:07.0, ,43-57,B. Brown misses 3-pt jump shot from 23 ft,,2,43,57,-14,1193.0
4:03.0,Defensive rebound by B. Adebayo,43-57, ,,2,43,57,-14,1197.0
3:51.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),46-57, ,,2,46,57,-11,1209.0
3:50.0, ,46-57,Brooklyn full timeout,,2,46,57,-11,1210.0
3:50.0, ,46-57,G. Dragić enters the game for B. Brown,,2,46,57,-11,1210.0
3:50.0, ,46-57,C. Thomas enters the game for S. Curry,,2,46,57,-11,1210.0
3:29.0, ,46-57,Turnover by K. Durant (bad pass; steal by C. Martin),,2,46,57,-11,1231.0
3:24.0,C. Martin makes 2-pt dunk from 2 ft (assist by D. Robinson),48-57, ,,2,48,57,-9,1236.0
3:03.0, ,48-57,G. Dragić misses 2-pt layup from 5 ft,,2,48,57,-9,1257.0
3:01.0,Defensive rebound by Team,48-57, ,,2,48,57,-9,1259.0
2:44.0,B. Adebayo makes 2-pt hook shot from 13 ft (assist by T. Herro),50-57, ,,2,50,57,-7,1276.0
2:27.0, ,50-59,K. Durant makes 2-pt jump shot from 15 ft (assist by C. Thomas),,2,50,59,-9,1293.0
2:27.0, ,50-59,Shooting foul by D. Robinson (drawn by K. Durant),,2,50,59,-9,1293.0
2:27.0, ,50-60,K. Durant makes free throw 1 of 1,,2,50,60,-10,1293.0
2:07.0,Personal foul by G. Dragić (drawn by C. Martin),50-60, ,,2,50,60,-10,1313.0
2:07.0,C. Martin misses free throw 1 of 2,50-60, ,,2,50,60,-10,1313.0
2:07.0,Offensive rebound by Team,50-60, ,,2,50,60,-10,1313.0
2:07.0, ,50-60,L. Aldridge enters the game for A. Drummond,,2,50,60,-10,1313.0
2:07.0,C. Martin makes free throw 2 of 2,51-60, ,,2,51,60,-9,1313.0
1:52.0, ,51-62,K. Durant makes 2-pt jump shot from 13 ft,,2,51,62,-11,1328.0
1:38.0,M. Strus misses 3-pt jump shot from 23 ft,51-62, ,,2,51,62,-11,1342.0
1:35.0, ,51-62,Defensive rebound by L. Aldridge,,2,51,62,-11,1345.0
1:28.0, ,51-65,K. Durant makes 3-pt jump shot from 26 ft,,2,51,65,-14,1352.0
1:14.0,B. Adebayo makes 2-pt jump shot from 6 ft,53-65, ,,2,53,65,-12,1366.0
0:56.0, ,53-65,K. Durant misses 2-pt jump shot from 16 ft,,2,53,65,-12,1384.0
0:56.0,Defensive rebound by T. Herro,53-65, ,,2,53,65,-12,1384.0
0:49.0,T. Herro misses 2-pt layup from 4 ft,53-65, ,,2,53,65,-12,1391.0
0:47.0,Offensive rebound by C. Martin,53-65, ,,2,53,65,-12,1393.0
0:44.0,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Martin),56-65, ,,2,56,65,-9,1396.0
0:44.0, ,56-65,Technical foul by K. Durant,,2,56,65,-9,1396.0
0:44.0,T. Herro makes technical free throw,57-65, ,,2,57,65,-8,1396.0
0:44.0,G. Vincent enters the game for D. Robinson,57-65, ,,2,57,65,-8,1396.0
0:25.0, ,57-67,C. Thomas makes 2-pt layup from 1 ft (assist by K. Durant),,2,57,67,-10,1415.0
0:02.0,C. Martin makes 3-pt jump shot from 24 ft (assist by B. Adebayo),60-67, ,,2,60,67,-7,1438.0
0:00.0,End of 2nd quarter,60-67,,,2,60,67,-7,1440.0
12:00.0,Start of 3rd quarter,60-67,,,3,60,67,-7,1440.0
11:45.0,Personal foul by K. Durant (drawn by B. Adebayo),60-67, ,,3,60,67,-7,1455.0
11:40.0,Offensive foul by B. Adebayo (drawn by B. Brown),60-67, ,,3,60,67,-7,1460.0
11:40.0,Turnover by B. Adebayo (offensive foul),60-67, ,,3,60,67,-7,1460.0
11:29.0, ,60-67,Personal foul by M. Strus (drawn by K. Durant),,3,60,67,-7,1471.0
11:21.0, ,60-67,K. Durant misses 2-pt jump shot from 14 ft,,3,60,67,-7,1479.0
11:18.0,Defensive rebound by D. Robinson,60-67, ,,3,60,67,-7,1482.0
11:09.0,C. Martin makes 3-pt jump shot from 23 ft (assist by D. Robinson),63-67, ,,3,63,67,-4,1491.0
10:50.0, ,63-69,S. Curry makes 2-pt jump shot from 22 ft (assist by A. Drummond),,3,63,69,-6,1510.0
10:36.0,G. Vincent makes 2-pt jump shot from 14 ft,65-69, ,,3,65,69,-4,1524.0
10:19.0, ,65-69,G. Dragić misses 3-pt jump shot from 25 ft,,3,65,69,-4,1541.0
10:16.0,Defensive rebound by B. Adebayo,65-69, ,,3,65,69,-4,1544.0
10:12.0,Offensive foul by B. Adebayo (drawn by G. Dragić),65-69, ,,3,65,69,-4,1548.0
10:12.0,Turnover by B. Adebayo (offensive foul),65-69, ,,3,65,69,-4,1548.0
9:59.0, ,65-69,K. Durant misses 2-pt jump shot from 12 ft,,3,65,69,-4,1561.0
9:55.0,Defensive rebound by B. Adebayo,65-69, ,,3,65,69,-4,1565.0
9:49.0,D. Robinson misses 3-pt jump shot from 26 ft,65-69, ,,3,65,69,-4,1571.0
9:47.0, ,65-69,Defensive rebound by S. Curry,,3,65,69,-4,1573.0
9:32.0, ,65-69,Shooting foul by C. Martin (drawn by K. Durant),,3,65,69,-4,1588.0
9:32.0, ,65-70,K. Durant makes free throw 1 of 2,,3,65,70,-5,1588.0
9:32.0, ,65-71,K. Durant makes free throw 2 of 2,,3,65,71,-6,1588.0
9:21.0,B. Adebayo makes 2-pt layup from 3 ft,67-71, ,,3,67,71,-4,1599.0
9:14.0, ,67-71,Personal foul by G. Vincent (drawn by G. Dragić),,3,67,71,-4,1606.0
9:14.0,Technical foul by E. Spoelstra,67-71, ,,3,67,71,-4,1606.0
9:14.0, ,67-72,K. Durant makes technical free throw,,3,67,72,-5,1606.0
9:07.0, ,67-74,A. Drummond makes 2-pt dunk at rim,,3,67,74,-7,1613.0
8:53.0,B. Adebayo makes 2-pt dunk from 1 ft,69-74, ,,3,69,74,-5,1627.0
8:38.0, ,69-74,S. Curry misses 3-pt jump shot from 24 ft (block by C. Martin),,3,69,74,-5,1642.0
8:37.0, ,69-74,Offensive rebound by Team,,3,69,74,-5,1643.0
8:32.0, ,69-74,B. Brown misses 2-pt jump shot from 13 ft,,3,69,74,-5,1648.0
8:31.0, ,69-74,Offensive rebound by Team,,3,69,74,-5,1649.0
8:20.0, ,69-74,S. Curry misses 2-pt jump shot from 14 ft (block by M. Strus),,3,69,74,-5,1660.0
8:14.0,Defensive rebound by M. Strus,69-74, ,,3,69,74,-5,1666.0
8:05.0,M. Strus makes 3-pt jump shot from 24 ft (assist by D. Robinson),72-74, ,,3,72,74,-2,1675.0
7:42.0, ,72-74,Turnover by S. Curry (traveling),,3,72,74,-2,1698.0
7:42.0, ,72-74,P. Mills enters the game for G. Dragić,,3,72,74,-2,1698.0
7:32.0,Personal foul by S. Curry (drawn by M. Strus),72-74, ,,3,72,74,-2,1708.0
7:26.0,B. Adebayo makes 2-pt dunk at rim (assist by D. Robinson),74-74, ,Tie,3,74,74,0,1714.0
7:25.0, ,74-74,Brooklyn full timeout,,3,74,74,0,1715.0
7:02.0, ,74-74,K. Durant misses 2-pt jump shot from 14 ft,,3,74,74,0,1738.0
6:58.0,Defensive rebound by C. Martin,74-74, ,,3,74,74,0,1742.0
6:52.0,C. Martin makes 2-pt layup from 2 ft (assist by D. Robinson),76-74, ,Lead change,3,76,74,2,1748.0
6:37.0, ,76-74,K. Durant misses 3-pt jump shot from 25 ft,,3,76,74,2,1763.0
6:33.0,Defensive rebound by M. Strus,76-74, ,,3,76,74,2,1767.0
6:28.0,M. Strus misses 3-pt jump shot from 25 ft,76-74, ,,3,76,74,2,1772.0
6:22.0,Offensive rebound by C. Martin,76-74, ,,3,76,74,2,1778.0
6:13.0,D. Robinson misses 3-pt jump shot from 23 ft,76-74, ,,3,76,74,2,1787.0
6:09.0, ,76-74,Defensive rebound by K. Durant,,3,76,74,2,1791.0
6:05.0, ,76-74,Offensive foul by A. Drummond (drawn by G. Vincent),,3,76,74,2,1795.0
6:05.0, ,76-74,Turnover by A. Drummond (offensive foul),,3,76,74,2,1795.0
6:05.0, ,76-74,L. Aldridge enters the game for B. Brown,,3,76,74,2,1795.0
6:05.0, ,76-74,J. Johnson enters the game for A. Drummond,,3,76,74,2,1795.0
5:53.0,C. Martin makes 2-pt dunk from 1 ft (assist by B. Adebayo),78-74, ,,3,78,74,4,1807.0
5:34.0, ,78-74,K. Durant misses 3-pt jump shot from 26 ft,,3,78,74,4,1826.0
5:31.0,Defensive rebound by B. Adebayo,78-74, ,,3,78,74,4,1829.0
5:25.0,Turnover by D. Robinson (traveling),78-74, ,,3,78,74,4,1835.0
5:09.0, ,78-74,P. Mills misses 3-pt jump shot from 25 ft,,3,78,74,4,1851.0
5:06.0,Defensive rebound by M. Strus,78-74, ,,3,78,74,4,1854.0
4:59.0,G. Vincent misses 3-pt jump shot from 26 ft,78-74, ,,3,78,74,4,1861.0
4:58.0, ,78-74,Defensive rebound by Team,,3,78,74,4,1862.0
4:58.0,T. Herro enters the game for D. Robinson,78-74, ,,3,78,74,4,1862.0
4:45.0, ,78-74,Offensive foul by J. Johnson (drawn by M. Strus),,3,78,74,4,1875.0
