Time,Miami,Score,Denver,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:19.0, ,25-33,Defensive rebound by J. Green,,2,25,33,-8,761.0
11:11.0, ,25-33,B. Hyland misses 3-pt jump shot from 29 ft,,2,25,33,-8,769.0
11:08.0, ,25-33,Offensive rebound by A. Rivers,,2,25,33,-8,772.0
11:01.0, ,25-35,A. Rivers makes 2-pt layup from 3 ft,,2,25,35,-10,779.0
10:45.0,Shooting foul by A. Rivers (drawn by T. Herro),25-35, ,,2,25,35,-10,795.0
10:45.0, ,25-35,Technical foul by A. Rivers,,2,25,35,-10,795.0
10:45.0,T. Herro makes technical free throw,26-35, ,,2,26,35,-9,795.0
10:45.0,T. Herro makes free throw 1 of 2,27-35, ,,2,27,35,-8,795.0
10:45.0,B. Adebayo enters the game for D. Dedmon,27-35, ,,2,27,35,-8,795.0
10:45.0,T. Herro makes free throw 2 of 2,28-35, ,,2,28,35,-7,795.0
10:27.0, ,28-35,J. Green misses 3-pt jump shot from 26 ft,,2,28,35,-7,813.0
10:23.0,Defensive rebound by K. Lowry,28-35, ,,2,28,35,-7,817.0
10:18.0,M. Morris makes 2-pt layup from 3 ft (assist by K. Lowry),30-35, ,,2,30,35,-5,822.0
9:58.0, ,30-38,W. Barton makes 3-pt jump shot from 26 ft (assist by P. Dozier),,2,30,38,-8,842.0
9:43.0,Personal foul by W. Barton (drawn by B. Adebayo),30-38, ,,2,30,38,-8,857.0
9:37.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),32-38, ,,2,32,38,-6,863.0
9:16.0, ,32-41,W. Barton makes 3-pt jump shot from 26 ft (assist by A. Rivers),,2,32,41,-9,884.0
8:59.0,M. Morris misses 2-pt dunk from 2 ft (block by J. Green),32-41, ,,2,32,41,-9,901.0
8:54.0, ,32-41,Defensive rebound by P. Dozier,,2,32,41,-9,906.0
8:52.0, ,32-41,W. Barton misses 3-pt jump shot from 26 ft,,2,32,41,-9,908.0
8:52.0, ,32-41,Offensive rebound by P. Dozier,,2,32,41,-9,908.0
8:47.0, ,32-41,P. Dozier misses 2-pt dunk at rim,,2,32,41,-9,913.0
8:47.0,Defensive rebound by T. Herro,32-41, ,,2,32,41,-9,913.0
8:47.0,Personal foul by B. Hyland (drawn by T. Herro),32-41, ,,2,32,41,-9,913.0
8:47.0, ,32-41,J. Green enters the game for P. Dozier,,2,32,41,-9,913.0
8:40.0,B. Adebayo misses 2-pt jump shot from 12 ft,32-41, ,,2,32,41,-9,920.0
8:37.0, ,32-41,Defensive rebound by B. Hyland,,2,32,41,-9,923.0
8:30.0, ,32-43,B. Hyland makes 2-pt layup from 3 ft,,2,32,43,-11,930.0
8:30.0,Miami full timeout,32-43, ,,2,32,43,-11,930.0
8:30.0,J. Butler enters the game for T. Herro,32-43, ,,2,32,43,-11,930.0
8:16.0,K. Lowry misses 3-pt jump shot from 25 ft,32-43, ,,2,32,43,-11,944.0
8:14.0,Offensive rebound by M. Morris,32-43, ,,2,32,43,-11,946.0
8:03.0,M. Morris misses 2-pt jump shot from 16 ft,32-43, ,,2,32,43,-11,957.0
8:00.0, ,32-43,Defensive rebound by W. Barton,,2,32,43,-11,960.0
7:56.0, ,32-43,W. Barton misses 3-pt jump shot from 26 ft,,2,32,43,-11,964.0
7:52.0,Defensive rebound by B. Adebayo,32-43, ,,2,32,43,-11,968.0
7:46.0,Shooting foul by J. Green (drawn by J. Butler),32-43, ,,2,32,43,-11,974.0
7:46.0,J. Butler makes free throw 1 of 2,33-43, ,,2,33,43,-10,974.0
7:46.0, ,33-43,A. Gordon enters the game for W. Barton,,2,33,43,-10,974.0
7:46.0, ,33-43,N. Jokić enters the game for J. Green,,2,33,43,-10,974.0
7:46.0, ,33-43,M. Morris enters the game for B. Hyland,,2,33,43,-10,974.0
7:46.0,J. Butler makes free throw 2 of 2,34-43, ,,2,34,43,-9,974.0
7:32.0, ,34-43,Turnover by N. Jokić (bad pass; steal by K. Lowry),,2,34,43,-9,988.0
7:19.0,J. Butler misses 2-pt layup from 6 ft,34-43, ,,2,34,43,-9,1001.0
7:17.0, ,34-43,Defensive rebound by A. Gordon,,2,34,43,-9,1003.0
7:09.0, ,34-43,Personal foul by D. Robinson (drawn by N. Jokić),,2,34,43,-9,1011.0
7:09.0,T. Herro enters the game for K. Lowry,34-43, ,,2,34,43,-9,1011.0
7:09.0,C. Martin enters the game for M. Morris,34-43, ,,2,34,43,-9,1011.0
7:09.0,P. Tucker enters the game for D. Robinson,34-43, ,,2,34,43,-9,1011.0
6:57.0, ,34-45,N. Jokić makes 2-pt hook shot from 7 ft,,2,34,45,-11,1023.0
6:43.0,J. Butler makes 2-pt jump shot from 12 ft,36-45, ,,2,36,45,-9,1037.0
6:22.0, ,36-45,M. Morris misses 3-pt jump shot from 26 ft,,2,36,45,-9,1058.0
6:20.0, ,36-45,Offensive rebound by N. Jokić,,2,36,45,-9,1060.0
6:20.0, ,36-45,Shooting foul by C. Martin (drawn by N. Jokić),,2,36,45,-9,1060.0
6:20.0, ,36-46,N. Jokić makes free throw 1 of 2,,2,36,46,-10,1060.0
6:20.0, ,36-47,N. Jokić makes free throw 2 of 2,,2,36,47,-11,1060.0
5:57.0,Turnover by P. Tucker (lost ball; steal by M. Morris),36-47, ,,2,36,47,-11,1083.0
5:50.0, ,36-49,N. Jokić makes 2-pt dunk from 1 ft (assist by A. Gordon),,2,36,49,-13,1090.0
5:50.0,Miami full timeout,36-49, ,,2,36,49,-13,1090.0
5:50.0,K. Lowry enters the game for P. Tucker,36-49, ,,2,36,49,-13,1090.0
5:33.0,J. Butler misses 2-pt jump shot from 12 ft,36-49, ,,2,36,49,-13,1107.0
5:29.0, ,36-49,Defensive rebound by A. Gordon,,2,36,49,-13,1111.0
5:21.0, ,36-49,J. Green misses 2-pt hook shot from 8 ft,,2,36,49,-13,1119.0
5:17.0,Defensive rebound by B. Adebayo,36-49, ,,2,36,49,-13,1123.0
5:15.0,J. Butler misses 2-pt jump shot from 3 ft,36-49, ,,2,36,49,-13,1125.0
5:15.0, ,36-49,Defensive rebound by N. Jokić,,2,36,49,-13,1125.0
5:15.0, ,36-49,Personal foul by K. Lowry (drawn by N. Jokić),,2,36,49,-13,1125.0
5:09.0, ,36-49,Personal foul by B. Adebayo (drawn by N. Jokić),,2,36,49,-13,1131.0
4:59.0, ,36-49,Personal foul by C. Martin (drawn by N. Jokić),,2,36,49,-13,1141.0
4:59.0, ,36-50,N. Jokić makes free throw 1 of 2,,2,36,50,-14,1141.0
4:59.0, ,36-51,N. Jokić makes free throw 2 of 2,,2,36,51,-15,1141.0
4:37.0,T. Herro misses 3-pt jump shot from 26 ft,36-51, ,,2,36,51,-15,1163.0
4:34.0, ,36-51,Defensive rebound by N. Jokić,,2,36,51,-15,1166.0
4:31.0, ,36-51,Offensive foul by M. Morris (drawn by K. Lowry),,2,36,51,-15,1169.0
4:31.0, ,36-51,Turnover by M. Morris (offensive foul),,2,36,51,-15,1169.0
4:31.0,D. Dedmon enters the game for B. Adebayo,36-51, ,,2,36,51,-15,1169.0
4:15.0,C. Martin misses 3-pt jump shot from 23 ft,36-51, ,,2,36,51,-15,1185.0
4:14.0,Offensive rebound by Team,36-51, ,,2,36,51,-15,1186.0
4:05.0,D. Dedmon misses 2-pt layup from 4 ft (block by N. Jokić),36-51, ,,2,36,51,-15,1195.0
4:01.0,Offensive rebound by D. Dedmon,36-51, ,,2,36,51,-15,1199.0
4:01.0,D. Dedmon makes 2-pt layup from 3 ft,38-51, ,,2,38,51,-13,1199.0
3:51.0, ,38-53,J. Green makes 2-pt layup from 2 ft (assist by N. Jokić),,2,38,53,-15,1209.0
3:46.0,Offensive foul by D. Dedmon (drawn by A. Gordon),38-53, ,,2,38,53,-15,1214.0
3:46.0,Turnover by D. Dedmon (offensive foul),38-53, ,,2,38,53,-15,1214.0
3:46.0, ,38-53,W. Barton enters the game for A. Rivers,,2,38,53,-15,1214.0
3:32.0, ,38-55,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Jokić),,2,38,55,-17,1228.0
3:18.0,C. Martin makes 3-pt jump shot from 25 ft (assist by T. Herro),41-55, ,,2,41,55,-14,1242.0
2:58.0, ,41-57,A. Gordon makes 2-pt jump shot from 4 ft (assist by W. Barton),,2,41,57,-16,1262.0
2:48.0,J. Butler makes 2-pt layup from 3 ft,43-57, ,,2,43,57,-14,1272.0
2:37.0, ,43-57,Personal foul by C. Martin (drawn by N. Jokić),,2,43,57,-14,1283.0
2:37.0,Technical foul by K. Lowry,43-57, ,,2,43,57,-14,1283.0
2:37.0, ,43-57,N. Jokić misses technical free throw,,2,43,57,-14,1283.0
2:37.0, ,43-57,Offensive rebound by Team,,2,43,57,-14,1283.0
2:37.0, ,43-58,N. Jokić makes free throw 1 of 2,,2,43,58,-15,1283.0
2:37.0,B. Adebayo enters the game for D. Dedmon,43-58, ,,2,43,58,-15,1283.0
2:37.0,M. Morris enters the game for C. Martin,43-58, ,,2,43,58,-15,1283.0
2:37.0, ,43-58,N. Jokić misses free throw 2 of 2,,2,43,58,-15,1283.0
2:35.0,Defensive rebound by B. Adebayo,43-58, ,,2,43,58,-15,1285.0
2:21.0,M. Morris misses 2-pt jump shot from 11 ft,43-58, ,,2,43,58,-15,1299.0
2:19.0, ,43-58,Defensive rebound by M. Morris,,2,43,58,-15,1301.0
2:14.0, ,43-60,J. Green makes 2-pt dunk from 1 ft (assist by N. Jokić),,2,43,60,-17,1306.0
1:59.0,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),45-60, ,,2,45,60,-15,1321.0
1:59.0,Shooting foul by N. Jokić (drawn by J. Butler),45-60, ,,2,45,60,-15,1321.0
1:59.0,J. Butler makes free throw 1 of 1,46-60, ,,2,46,60,-14,1321.0
1:42.0, ,46-60,M. Morris misses 3-pt jump shot from 25 ft,,2,46,60,-14,1338.0
1:39.0, ,46-60,Offensive rebound by A. Gordon,,2,46,60,-14,1341.0
1:35.0, ,46-62,N. Jokić makes 2-pt jump shot from 6 ft (assist by A. Gordon),,2,46,62,-16,1345.0
1:23.0,Shooting foul by J. Green (drawn by B. Adebayo),46-62, ,,2,46,62,-16,1357.0
1:23.0,B. Adebayo makes free throw 1 of 2,47-62, ,,2,47,62,-15,1357.0
1:23.0,B. Adebayo misses free throw 2 of 2,47-62, ,,2,47,62,-15,1357.0
1:21.0, ,47-62,Defensive rebound by N. Jokić,,2,47,62,-15,1359.0
1:04.0, ,47-62,W. Barton misses 2-pt jump shot from 13 ft,,2,47,62,-15,1376.0
1:01.0,Defensive rebound by B. Adebayo,47-62, ,,2,47,62,-15,1379.0
0:49.0,T. Herro misses 3-pt jump shot from 25 ft (block by A. Gordon),47-62, ,,2,47,62,-15,1391.0
0:46.0, ,47-62,Defensive rebound by N. Jokić,,2,47,62,-15,1394.0
0:41.0, ,47-64,W. Barton makes 2-pt dunk from 1 ft (assist by M. Morris),,2,47,64,-17,1399.0
0:29.0,Shooting foul by W. Barton (drawn by J. Butler),47-64, ,,2,47,64,-17,1411.0
0:29.0,J. Butler misses free throw 1 of 2,47-64, ,,2,47,64,-17,1411.0
0:29.0,Offensive rebound by Team,47-64, ,,2,47,64,-17,1411.0
0:29.0, ,47-64,P. Dozier enters the game for W. Barton,,2,47,64,-17,1411.0
0:29.0,J. Butler misses free throw 2 of 2,47-64, ,,2,47,64,-17,1411.0
0:27.0, ,47-64,Defensive rebound by P. Dozier,,2,47,64,-17,1413.0
0:08.0, ,47-64,Turnover by N. Jokić (lost ball; steal by B. Adebayo),,2,47,64,-17,1432.0
0:04.0,J. Butler makes 2-pt layup from 4 ft (assist by B. Adebayo),49-64, ,,2,49,64,-15,1436.0
0:00.0, ,49-64,P. Dozier misses 3-pt jump shot from 25 ft,,2,49,64,-15,1440.0
0:00.0, ,49-64,Offensive rebound by Team,,2,49,64,-15,1440.0
0:00.0,End of 2nd quarter,49-64,,,2,49,64,-15,1440.0
12:00.0,Start of 3rd quarter,49-64,,,3,49,64,-15,1440.0
11:50.0, ,49-64,J. Green misses 2-pt hook shot from 5 ft,,3,49,64,-15,1450.0
11:45.0,Defensive rebound by B. Adebayo,49-64, ,,3,49,64,-15,1455.0
11:38.0,J. Butler misses 2-pt jump shot from 6 ft,49-64, ,,3,49,64,-15,1462.0
11:36.0, ,49-64,Defensive rebound by N. Jokić,,3,49,64,-15,1464.0
11:23.0, ,49-66,M. Morris makes 2-pt jump shot from 19 ft,,3,49,66,-17,1477.0
10:59.0,B. Adebayo makes 2-pt jump shot from 18 ft (assist by J. Butler),51-66, ,,3,51,66,-15,1501.0
10:29.0, ,51-68,M. Morris makes 2-pt layup from 3 ft,,3,51,68,-17,1531.0
10:17.0,Turnover by B. Adebayo (bad pass),51-68, ,,3,51,68,-17,1543.0
10:00.0, ,51-71,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,51,71,-20,1560.0
9:36.0,D. Robinson misses 3-pt jump shot from 30 ft,51-71, ,,3,51,71,-20,1584.0
9:34.0, ,51-71,Defensive rebound by A. Gordon,,3,51,71,-20,1586.0
9:19.0, ,51-71,N. Jokić misses 2-pt layup from 6 ft (block by K. Lowry),,3,51,71,-20,1601.0
9:15.0, ,51-71,Offensive rebound by Team,,3,51,71,-20,1605.0
9:15.0,Jump ball: N. Jokić vs. B. Adebayo (J. Green gains possession),51-71,,,3,51,71,-20,1605.0
9:14.0, ,51-71,A. Gordon misses 3-pt jump shot from 24 ft,,3,51,71,-20,1606.0
9:13.0, ,51-71,Offensive rebound by N. Jokić,,3,51,71,-20,1607.0
9:11.0, ,51-71,N. Jokić misses 2-pt layup from 3 ft (block by J. Butler),,3,51,71,-20,1609.0
9:11.0, ,51-71,Offensive rebound by Team,,3,51,71,-20,1609.0
9:00.0, ,51-71,A. Gordon misses 3-pt jump shot from 25 ft,,3,51,71,-20,1620.0
8:57.0,Defensive rebound by J. Butler,51-71, ,,3,51,71,-20,1623.0
8:39.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),54-71, ,,3,54,71,-17,1641.0
8:17.0, ,54-73,N. Jokić makes 2-pt jump shot from 8 ft,,3,54,73,-19,1663.0
8:10.0,Turnover by K. Lowry (bad pass),54-73, ,,3,54,73,-19,1670.0
7:59.0, ,54-75,J. Green makes 2-pt layup from 3 ft (assist by N. Jokić),,3,54,75,-21,1681.0
7:59.0, ,54-75,Shooting foul by P. Tucker (drawn by J. Green),,3,54,75,-21,1681.0
7:59.0, ,54-75,J. Green misses free throw 1 of 1,,3,54,75,-21,1681.0
7:56.0,Defensive rebound by B. Adebayo,54-75, ,,3,54,75,-21,1684.0
7:50.0,Shooting foul by J. Green (drawn by B. Adebayo),54-75, ,,3,54,75,-21,1690.0
7:50.0,B. Adebayo makes free throw 1 of 2,55-75, ,,3,55,75,-20,1690.0
7:50.0,B. Adebayo makes free throw 2 of 2,56-75, ,,3,56,75,-19,1690.0
7:38.0, ,56-75,Shooting foul by B. Adebayo (drawn by J. Green),,3,56,75,-19,1702.0
7:38.0, ,56-76,J. Green makes free throw 1 of 2,,3,56,76,-20,1702.0
7:38.0, ,56-77,J. Green makes free throw 2 of 2,,3,56,77,-21,1702.0
7:25.0,K. Lowry misses 3-pt jump shot from 25 ft,56-77, ,,3,56,77,-21,1715.0
7:22.0, ,56-77,Defensive rebound by W. Barton,,3,56,77,-21,1718.0
7:00.0, ,56-79,N. Jokić makes 2-pt layup from 1 ft (assist by M. Morris),,3,56,79,-23,1740.0
7:00.0,Miami full timeout,56-79, ,,3,56,79,-23,1740.0
6:43.0,Turnover by P. Tucker (out of bounds lost ball),56-79, ,,3,56,79,-23,1757.0
6:31.0, ,56-79,M. Morris misses 3-pt jump shot from 25 ft,,3,56,79,-23,1769.0
6:28.0,Defensive rebound by D. Robinson,56-79, ,,3,56,79,-23,1772.0
6:28.0,Personal take foul by M. Morris (drawn by K. Lowry),56-79, ,,3,56,79,-23,1772.0
6:28.0, ,56-79,P. Dozier enters the game for J. Green,,3,56,79,-23,1772.0
6:11.0,J. Butler misses 3-pt jump shot from 23 ft,56-79, ,,3,56,79,-23,1789.0
6:08.0, ,56-79,Defensive rebound by M. Morris,,3,56,79,-23,1792.0
5:58.0, ,56-79,Turnover by A. Gordon (bad pass),,3,56,79,-23,1802.0
5:57.0, ,56-79,Loose ball foul by N. Jokić (drawn by J. Butler),,3,56,79,-23,1803.0
