Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:25.0, ,20-24,Personal foul by C. Martin (drawn by J. Brunson),,1,20,24,-4,635.0
1:25.0, ,20-25,J. Brunson makes free throw 1 of 2,,1,20,25,-5,635.0
1:25.0, ,20-25,J. Brunson misses free throw 2 of 2,,1,20,25,-5,635.0
1:21.0,Defensive rebound by D. Dedmon,20-25, ,,1,20,25,-5,639.0
1:13.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Lowry),22-25, ,,1,22,25,-3,647.0
1:02.0, ,22-27,J. Brunson makes 2-pt jump shot from 12 ft,,1,22,27,-5,658.0
0:44.0,C. Martin misses 3-pt jump shot from 23 ft,22-27, ,,1,22,27,-5,676.0
0:40.0,Offensive rebound by M. Morris,22-27, ,,1,22,27,-5,680.0
0:28.0,T. Herro misses 2-pt layup from 3 ft,22-27, ,,1,22,27,-5,692.0
0:26.0, ,22-27,Defensive rebound by S. Brown,,1,22,27,-5,694.0
0:10.0, ,22-29,J. Brunson makes 2-pt layup from 3 ft,,1,22,29,-7,710.0
0:10.0, ,22-29,Shooting foul by M. Morris (drawn by J. Brunson),,1,22,29,-7,710.0
0:10.0,D. Robinson enters the game for C. Martin,22-29, ,,1,22,29,-7,710.0
0:10.0, ,22-29,W. Cauley-Stein enters the game for B. Marjanović,,1,22,29,-7,710.0
0:10.0, ,22-30,J. Brunson makes free throw 1 of 1,,1,22,30,-8,710.0
0:03.0,T. Herro makes 2-pt jump shot from 16 ft,24-30, ,,1,24,30,-6,717.0
0:00.0, ,24-30,T. Hardaway misses 3-pt jump shot from 53 ft,,1,24,30,-6,720.0
0:00.0, ,24-30,Offensive rebound by Team,,1,24,30,-6,720.0
0:00.0,End of 1st quarter,24-30,,,1,24,30,-6,720.0
12:00.0,Start of 2nd quarter,24-30,,,2,24,30,-6,720.0
11:43.0, ,24-30,S. Brown misses 2-pt layup from 2 ft (block by C. Martin),,2,24,30,-6,737.0
11:40.0, ,24-30,Offensive rebound by J. Green,,2,24,30,-6,740.0
11:39.0, ,24-30,J. Green misses 2-pt layup from 1 ft (block by B. Adebayo),,2,24,30,-6,741.0
11:37.0,Defensive rebound by C. Martin,24-30, ,,2,24,30,-6,743.0
11:29.0,M. Morris makes 2-pt jump shot from 7 ft,26-30, ,,2,26,30,-4,751.0
11:23.0, ,26-30,Shooting foul by M. Morris (drawn by T. Hardaway),,2,26,30,-4,757.0
11:23.0, ,26-30,T. Hardaway misses free throw 1 of 2,,2,26,30,-4,757.0
11:23.0, ,26-30,Offensive rebound by Team,,2,26,30,-4,757.0
11:23.0, ,26-31,T. Hardaway makes free throw 2 of 2,,2,26,31,-5,757.0
11:07.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Herro),29-31, ,,2,29,31,-2,773.0
10:45.0, ,29-33,S. Brown makes 2-pt layup from 1 ft (assist by J. Brunson),,2,29,33,-4,795.0
10:37.0,B. Adebayo misses 2-pt layup from 5 ft,29-33, ,,2,29,33,-4,803.0
10:35.0,Offensive rebound by B. Adebayo,29-33, ,,2,29,33,-4,805.0
10:34.0,B. Adebayo makes 2-pt layup at rim,31-33, ,,2,31,33,-2,806.0
10:23.0, ,31-36,T. Hardaway makes 3-pt jump shot from 25 ft,,2,31,36,-5,817.0
10:10.0,T. Herro makes 3-pt jump shot from 25 ft (assist by M. Morris),34-36, ,,2,34,36,-2,830.0
9:51.0, ,34-36,S. Brown misses 3-pt jump shot from 24 ft,,2,34,36,-2,849.0
9:49.0,Defensive rebound by M. Morris,34-36, ,,2,34,36,-2,851.0
9:44.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),37-36, ,Lead change,2,37,36,1,856.0
9:42.0, ,37-36,Dallas full timeout,,2,37,36,1,858.0
9:42.0, ,37-36,L. Dončić enters the game for J. Green,,2,37,36,1,858.0
9:18.0, ,37-36,T. Hardaway misses 3-pt jump shot from 23 ft,,2,37,36,1,882.0
9:15.0,Defensive rebound by T. Herro,37-36, ,,2,37,36,1,885.0
9:09.0,T. Herro makes 2-pt layup at rim (assist by K. Lowry),39-36, ,,2,39,36,3,891.0
8:56.0, ,39-36,L. Dončić misses 3-pt jump shot from 27 ft,,2,39,36,3,904.0
8:54.0,Defensive rebound by C. Martin,39-36, ,,2,39,36,3,906.0
8:44.0,Turnover by B. Adebayo (3 sec),39-36, ,,2,39,36,3,916.0
8:44.0, ,39-36,R. Bullock enters the game for S. Brown,,2,39,36,3,916.0
8:30.0, ,39-36,J. Brunson misses 2-pt jump shot from 8 ft,,2,39,36,3,930.0
8:28.0, ,39-36,Offensive rebound by W. Cauley-Stein,,2,39,36,3,932.0
8:26.0, ,39-39,J. Brunson makes 3-pt jump shot from 22 ft (assist by W. Cauley-Stein),Tie,2,39,39,0,934.0
8:06.0,T. Herro misses 3-pt jump shot from 27 ft,39-39, ,,2,39,39,0,954.0
8:04.0, ,39-39,Defensive rebound by T. Hardaway,,2,39,39,0,956.0
7:46.0, ,39-41,L. Dončić makes 2-pt jump shot from 9 ft,Lead change,2,39,41,-2,974.0
7:29.0,B. Adebayo makes 2-pt layup from 1 ft (assist by M. Morris),41-41, ,Tie,2,41,41,0,991.0
7:29.0,Shooting foul by T. Hardaway (drawn by B. Adebayo),41-41, ,,2,41,41,0,991.0
7:29.0, ,41-41,F. Ntilikina enters the game for J. Brunson,,2,41,41,0,991.0
7:29.0, ,41-41,D. Powell enters the game for W. Cauley-Stein,,2,41,41,0,991.0
7:29.0,B. Adebayo makes free throw 1 of 1,42-41, ,Lead change,2,42,41,1,991.0
7:18.0, ,42-43,T. Hardaway makes 2-pt jump shot from 15 ft (assist by L. Dončić),Lead change,2,42,43,-1,1002.0
6:49.0,T. Herro misses 2-pt jump shot from 6 ft (block by T. Hardaway),42-43, ,,2,42,43,-1,1031.0
6:45.0,Offensive rebound by T. Herro,42-43, ,,2,42,43,-1,1035.0
6:44.0,T. Herro makes 2-pt jump shot from 11 ft,44-43, ,Lead change,2,44,43,1,1036.0
6:39.0, ,44-43,L. Dončić misses 3-pt jump shot from 25 ft,,2,44,43,1,1041.0
6:39.0,Defensive rebound by B. Adebayo,44-43, ,,2,44,43,1,1041.0
6:30.0,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Lowry),47-43, ,,2,47,43,4,1050.0
6:07.0, ,47-43,T. Hardaway misses 3-pt jump shot from 25 ft,,2,47,43,4,1073.0
6:05.0,Defensive rebound by C. Martin,47-43, ,,2,47,43,4,1075.0
5:55.0,B. Adebayo misses 2-pt jump shot from 16 ft,47-43, ,,2,47,43,4,1085.0
5:52.0, ,47-43,Defensive rebound by D. Powell,,2,47,43,4,1088.0
5:46.0, ,47-43,Shooting foul by B. Adebayo (drawn by L. Dončić),,2,47,43,4,1094.0
5:46.0,Technical foul by K. Lowry,47-43, ,,2,47,43,4,1094.0
5:46.0, ,47-44,R. Bullock makes technical free throw,,2,47,44,3,1094.0
5:46.0, ,47-45,L. Dončić makes free throw 1 of 2,,2,47,45,2,1094.0
5:46.0,J. Butler enters the game for B. Adebayo,47-45, ,,2,47,45,2,1094.0
5:46.0,D. Dedmon enters the game for K. Lowry,47-45, ,,2,47,45,2,1094.0
5:46.0,D. Robinson enters the game for C. Martin,47-45, ,,2,47,45,2,1094.0
5:46.0,P. Tucker enters the game for M. Morris,47-45, ,,2,47,45,2,1094.0
5:46.0, ,47-45,D. Finney-Smith enters the game for T. Hardaway,,2,47,45,2,1094.0
5:46.0, ,47-46,L. Dončić makes free throw 2 of 2,,2,47,46,1,1094.0
5:23.0,D. Dedmon makes 2-pt layup at rim (assist by T. Herro),49-46, ,,2,49,46,3,1117.0
5:12.0, ,49-49,L. Dončić makes 3-pt jump shot from 27 ft,Tie,2,49,49,0,1128.0
4:58.0,D. Dedmon misses 2-pt jump shot from 18 ft,49-49, ,,2,49,49,0,1142.0
4:56.0,Offensive rebound by J. Butler,49-49, ,,2,49,49,0,1144.0
4:48.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Butler),52-49, ,,2,52,49,3,1152.0
4:35.0, ,52-51,L. Dončić makes 2-pt jump shot from 14 ft,,2,52,51,1,1165.0
4:28.0,T. Herro makes 2-pt layup at rim,54-51, ,,2,54,51,3,1172.0
4:11.0, ,54-51,L. Dončić misses 3-pt jump shot from 28 ft,,2,54,51,3,1189.0
4:08.0,Defensive rebound by P. Tucker,54-51, ,,2,54,51,3,1192.0
4:05.0,T. Herro makes 3-pt jump shot from 25 ft (assist by J. Butler),57-51, ,,2,57,51,6,1195.0
4:03.0, ,57-51,Dallas full timeout,,2,57,51,6,1197.0
4:03.0, ,57-51,J. Brunson enters the game for R. Bullock,,2,57,51,6,1197.0
4:03.0, ,57-51,T. Hardaway enters the game for F. Ntilikina,,2,57,51,6,1197.0
3:47.0, ,57-53,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),,2,57,53,4,1213.0
3:22.0,Shooting foul by D. Finney-Smith (drawn by D. Dedmon),57-53, ,,2,57,53,4,1238.0
3:22.0,D. Dedmon makes free throw 1 of 2,58-53, ,,2,58,53,5,1238.0
3:22.0,D. Dedmon makes free throw 2 of 2,59-53, ,,2,59,53,6,1238.0
3:11.0, ,59-53,Shooting foul by D. Dedmon (drawn by D. Powell),,2,59,53,6,1249.0
3:11.0, ,59-54,D. Powell makes free throw 1 of 2,,2,59,54,5,1249.0
3:11.0,B. Adebayo enters the game for D. Dedmon,59-54, ,,2,59,54,5,1249.0
3:11.0, ,59-55,D. Powell makes free throw 2 of 2,,2,59,55,4,1249.0
2:56.0,B. Adebayo misses 2-pt jump shot from 8 ft,59-55, ,,2,59,55,4,1264.0
2:54.0, ,59-55,Defensive rebound by D. Powell,,2,59,55,4,1266.0
2:50.0, ,59-55,Shooting foul by P. Tucker (drawn by L. Dončić),,2,59,55,4,1270.0
2:50.0, ,59-56,L. Dončić makes free throw 1 of 2,,2,59,56,3,1270.0
2:50.0,K. Lowry enters the game for D. Robinson,59-56, ,,2,59,56,3,1270.0
2:50.0, ,59-57,L. Dončić makes free throw 2 of 2,,2,59,57,2,1270.0
2:30.0,J. Butler misses 2-pt jump shot from 16 ft,59-57, ,,2,59,57,2,1290.0
2:26.0, ,59-57,Defensive rebound by D. Powell,,2,59,57,2,1294.0
2:20.0, ,59-59,J. Brunson makes 2-pt jump shot from 8 ft,Tie,2,59,59,0,1300.0
2:20.0, ,59-59,Shooting foul by K. Lowry (drawn by J. Brunson),,2,59,59,0,1300.0
2:20.0, ,59-60,J. Brunson makes free throw 1 of 1,Lead change,2,59,60,-1,1300.0
2:02.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by P. Tucker),62-60, ,Lead change,2,62,60,2,1318.0
1:36.0, ,62-60,L. Dončić misses 2-pt jump shot from 15 ft,,2,62,60,2,1344.0
1:33.0,Defensive rebound by K. Lowry,62-60, ,,2,62,60,2,1347.0
1:18.0,B. Adebayo misses 2-pt layup from 1 ft,62-60, ,,2,62,60,2,1362.0
1:17.0,Offensive rebound by Team,62-60, ,,2,62,60,2,1363.0
1:17.0,Away from play foul by T. Hardaway (drawn by J. Butler),62-60, ,,2,62,60,2,1363.0
1:17.0,J. Butler makes free throw 1 of 1,63-60, ,,2,63,60,3,1363.0
1:15.0,P. Tucker makes 2-pt layup from 1 ft (assist by K. Lowry),65-60, ,,2,65,60,5,1365.0
0:55.0, ,65-62,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,2,65,62,3,1385.0
0:55.0, ,65-62,Shooting foul by B. Adebayo (drawn by D. Powell),,2,65,62,3,1385.0
0:55.0,D. Dedmon enters the game for B. Adebayo,65-62, ,,2,65,62,3,1385.0
0:55.0, ,65-62,D. Powell misses free throw 1 of 1,,2,65,62,3,1385.0
0:53.0, ,65-62,Offensive rebound by D. Powell,,2,65,62,3,1387.0
0:41.0, ,65-62,T. Hardaway misses 3-pt jump shot from 33 ft,,2,65,62,3,1399.0
0:38.0,Defensive rebound by D. Dedmon,65-62, ,,2,65,62,3,1402.0
0:34.0,K. Lowry makes 3-pt jump shot from 26 ft,68-62, ,,2,68,62,6,1406.0
0:19.0, ,68-62,T. Hardaway misses 3-pt jump shot from 23 ft,,2,68,62,6,1421.0
0:16.0,Defensive rebound by P. Tucker,68-62, ,,2,68,62,6,1424.0
0:01.0,D. Dedmon makes 2-pt layup from 3 ft (assist by J. Butler),70-62, ,,2,70,62,8,1439.0
0:00.0,Instant Replay (Request: Ruling Stands),70-62, ,,2,70,62,8,1440.0
0:00.0,End of 2nd quarter,70-62,,,2,70,62,8,1440.0
12:00.0,Start of 3rd quarter,70-62,,,3,70,62,8,1440.0
11:50.0, ,70-64,J. Brunson makes 2-pt layup from 1 ft,,3,70,64,6,1450.0
11:34.0,J. Butler misses 2-pt layup from 3 ft,70-64, ,,3,70,64,6,1466.0
11:31.0, ,70-64,Defensive rebound by D. Powell,,3,70,64,6,1469.0
11:26.0, ,70-64,Turnover by L. Dončić (bad pass; steal by J. Butler),,3,70,64,6,1474.0
11:26.0,Personal take foul by T. Hardaway (drawn by J. Butler),70-64, ,,3,70,64,6,1474.0
11:14.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Lowry),73-64, ,,3,73,64,9,1486.0
10:58.0, ,73-67,T. Hardaway makes 3-pt jump shot from 23 ft,,3,73,67,6,1502.0
10:44.0,B. Adebayo makes 2-pt layup from 1 ft,75-67, ,,3,75,67,8,1516.0
10:35.0, ,75-67,J. Brunson misses 2-pt jump shot from 17 ft,,3,75,67,8,1525.0
10:35.0,Defensive rebound by B. Adebayo,75-67, ,,3,75,67,8,1525.0
10:25.0,B. Adebayo makes 2-pt dunk at rim (assist by K. Lowry),77-67, ,,3,77,67,10,1535.0
10:14.0, ,77-67,Personal foul by P. Tucker (drawn by D. Powell),,3,77,67,10,1546.0
10:05.0, ,77-69,L. Dončić makes 2-pt jump shot from 5 ft,,3,77,69,8,1555.0
9:48.0,Offensive foul by D. Robinson (drawn by J. Brunson),77-69, ,,3,77,69,8,1572.0
9:48.0,Turnover by D. Robinson (offensive foul),77-69, ,,3,77,69,8,1572.0
9:24.0, ,77-69,D. Finney-Smith misses 2-pt layup from 5 ft,,3,77,69,8,1596.0
9:21.0, ,77-69,Offensive rebound by D. Powell,,3,77,69,8,1599.0
9:21.0, ,77-69,D. Powell misses 2-pt layup at rim,,3,77,69,8,1599.0
9:21.0, ,77-69,Offensive rebound by J. Brunson,,3,77,69,8,1599.0
9:18.0, ,77-69,Turnover by J. Brunson (bad pass; steal by J. Butler),,3,77,69,8,1602.0
9:14.0,J. Butler misses 3-pt jump shot from 25 ft,77-69, ,,3,77,69,8,1606.0
9:10.0, ,77-69,Defensive rebound by D. Finney-Smith,,3,77,69,8,1610.0
8:58.0, ,77-69,L. Dončić misses 2-pt jump shot from 16 ft,,3,77,69,8,1622.0
8:56.0,Defensive rebound by B. Adebayo,77-69, ,,3,77,69,8,1624.0
8:53.0,Shooting foul by D. Finney-Smith (drawn by J. Butler),77-69, ,,3,77,69,8,1627.0
8:53.0,J. Butler misses free throw 1 of 2,77-69, ,,3,77,69,8,1627.0
8:53.0,Offensive rebound by Team,77-69, ,,3,77,69,8,1627.0
8:53.0,J. Butler makes free throw 2 of 2,78-69, ,,3,78,69,9,1627.0
8:34.0, ,78-69,Turnover by L. Dončić (bad pass; steal by P. Tucker),,3,78,69,9,1646.0
8:18.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),81-69, ,,3,81,69,12,1662.0
7:58.0, ,81-72,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Powell),,3,81,72,9,1682.0
7:44.0,Shooting foul by D. Powell (drawn by J. Butler),81-72, ,,3,81,72,9,1696.0
7:44.0,J. Butler makes free throw 1 of 2,82-72, ,,3,82,72,10,1696.0
7:44.0,J. Butler makes free throw 2 of 2,83-72, ,,3,83,72,11,1696.0
7:28.0, ,83-72,T. Hardaway misses 2-pt jump shot from 17 ft,,3,83,72,11,1712.0
7:25.0,Defensive rebound by K. Lowry,83-72, ,,3,83,72,11,1715.0
7:13.0,Turnover by D. Robinson (lost ball),83-72, ,,3,83,72,11,1727.0
7:13.0,Loose ball foul by D. Robinson (drawn by L. Dončić),83-72, ,,3,83,72,11,1727.0
7:13.0, ,83-72,R. Bullock enters the game for J. Brunson,,3,83,72,11,1727.0
6:59.0, ,83-72,Personal foul by D. Robinson (drawn by L. Dončić),,3,83,72,11,1741.0
6:59.0, ,83-72,Dallas full timeout,,3,83,72,11,1741.0
6:44.0, ,83-72,L. Dončić misses 2-pt jump shot from 14 ft,,3,83,72,11,1756.0
6:42.0,Defensive rebound by B. Adebayo,83-72, ,,3,83,72,11,1758.0
6:29.0,B. Adebayo misses 2-pt jump shot from 17 ft,83-72, ,,3,83,72,11,1771.0
6:26.0, ,83-72,Defensive rebound by D. Finney-Smith,,3,83,72,11,1774.0
6:17.0, ,83-75,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Dončić),,3,83,75,8,1783.0
5:56.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),85-75, ,,3,85,75,10,1804.0
5:34.0, ,85-75,R. Bullock misses 3-pt jump shot from 27 ft,,3,85,75,10,1826.0
5:31.0,Defensive rebound by P. Tucker,85-75, ,,3,85,75,10,1829.0
5:20.0,J. Butler makes 2-pt layup at rim,87-75, ,,3,87,75,12,1840.0
5:06.0, ,87-75,Shooting foul by D. Robinson (drawn by L. Dončić),,3,87,75,12,1854.0
5:06.0, ,87-76,L. Dončić makes free throw 1 of 2,,3,87,76,11,1854.0
5:06.0,T. Herro enters the game for K. Lowry,87-76, ,,3,87,76,11,1854.0
5:06.0,C. Martin enters the game for D. Robinson,87-76, ,,3,87,76,11,1854.0
5:06.0, ,87-76,W. Cauley-Stein enters the game for T. Hardaway,,3,87,76,11,1854.0
5:06.0, ,87-76,F. Ntilikina enters the game for D. Powell,,3,87,76,11,1854.0
5:06.0, ,87-77,L. Dončić makes free throw 2 of 2,,3,87,77,10,1854.0
