Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:29.0, ,45-52,D. Robinson misses 3-pt jump shot from 28 ft,,2,52,45,7,1171.0
4:25.0,Defensive rebound by B. Brown,45-52, ,,2,52,45,7,1175.0
4:22.0,K. Edwards misses 2-pt layup from 1 ft (block by G. Vincent),45-52, ,,2,52,45,7,1178.0
4:22.0,Offensive rebound by Team,45-52, ,,2,52,45,7,1178.0
4:11.0,Shooting foul by G. Vincent (drawn by K. Edwards),45-52, ,,2,52,45,7,1189.0
4:11.0,K. Edwards makes free throw 1 of 2,46-52, ,,2,52,46,6,1189.0
4:11.0,K. Edwards makes free throw 2 of 2,47-52, ,,2,52,47,5,1189.0
3:58.0, ,47-54,G. Vincent makes 2-pt layup from 2 ft (assist by D. Robinson),,2,54,47,7,1202.0
3:39.0,P. Mills misses 3-pt jump shot from 26 ft,47-54, ,,2,54,47,7,1221.0
3:38.0, ,47-54,Defensive rebound by Team,,2,54,47,7,1222.0
3:24.0, ,47-56,G. Vincent makes 2-pt jump shot from 12 ft (assist by B. Adebayo),,2,56,47,9,1236.0
3:06.0,K. Irving misses 2-pt jump shot from 20 ft,47-56, ,,2,56,47,9,1254.0
3:02.0, ,47-56,Defensive rebound by B. Adebayo,,2,56,47,9,1258.0
2:51.0, ,47-56,P. Tucker misses 3-pt jump shot from 24 ft,,2,56,47,9,1269.0
2:51.0, ,47-56,Offensive rebound by B. Adebayo,,2,56,47,9,1269.0
2:38.0, ,47-56,Turnover by P. Tucker (lost ball; steal by B. Brown),,2,56,47,9,1282.0
2:35.0,B. Brown makes 2-pt layup from 2 ft,49-56, ,,2,56,49,7,1285.0
2:35.0,Shooting foul by J. Butler (drawn by B. Brown),49-56, ,,2,56,49,7,1285.0
2:35.0, ,49-56,Miami full timeout,,2,56,49,7,1285.0
2:35.0, ,49-56,T. Herro enters the game for D. Robinson,,2,56,49,7,1285.0
2:35.0, ,49-56,K. Lowry enters the game for G. Vincent,,2,56,49,7,1285.0
2:35.0,B. Brown makes free throw 1 of 1,50-56, ,,2,56,50,6,1285.0
2:15.0, ,50-56,P. Tucker misses 2-pt hook shot from 3 ft,,2,56,50,6,1305.0
2:14.0, ,50-56,Offensive rebound by J. Butler,,2,56,50,6,1306.0
2:13.0, ,50-56,J. Butler misses 2-pt jump shot from 4 ft (block by K. Edwards),,2,56,50,6,1307.0
2:12.0, ,50-56,Offensive rebound by P. Tucker,,2,56,50,6,1308.0
2:11.0, ,50-58,P. Tucker makes 2-pt jump shot from 4 ft,,2,58,50,8,1309.0
2:11.0,D. Sharpe enters the game for B. Griffin,50-58, ,,2,58,50,8,1309.0
1:51.0,K. Edwards misses 3-pt jump shot from 26 ft,50-58, ,,2,58,50,8,1329.0
1:49.0, ,50-58,Defensive rebound by T. Herro,,2,58,50,8,1331.0
1:43.0, ,50-58,Personal foul by K. Edwards (drawn by J. Butler),,2,58,50,8,1337.0
1:43.0, ,50-59,J. Butler makes free throw 1 of 2,,2,59,50,9,1337.0
1:43.0,C. Thomas enters the game for K. Edwards,50-59, ,,2,59,50,9,1337.0
1:43.0, ,50-60,J. Butler makes free throw 2 of 2,,2,60,50,10,1337.0
1:32.0,K. Irving misses 2-pt layup from 3 ft,50-60, ,,2,60,50,10,1348.0
1:26.0,Offensive rebound by D. Sharpe,50-60, ,,2,60,50,10,1354.0
1:26.0,D. Sharpe makes 2-pt layup at rim,52-60, ,,2,60,52,8,1354.0
1:21.0, ,52-60,Offensive foul by B. Adebayo (drawn by P. Mills),,2,60,52,8,1359.0
1:21.0, ,52-60,Turnover by B. Adebayo (offensive foul),,2,60,52,8,1359.0
1:07.0,C. Thomas makes 2-pt jump shot from 20 ft,54-60, ,,2,60,54,6,1373.0
0:56.0, ,54-60,Shooting foul by D. Sharpe (drawn by B. Adebayo),,2,60,54,6,1384.0
0:56.0, ,54-61,B. Adebayo makes free throw 1 of 2,,2,61,54,7,1384.0
0:56.0, ,54-61,B. Adebayo misses free throw 2 of 2,,2,61,54,7,1384.0
0:54.0,Defensive rebound by C. Thomas,54-61, ,,2,61,54,7,1386.0
0:43.0,D. Sharpe makes 2-pt dunk from 1 ft (assist by C. Thomas),56-61, ,,2,61,56,5,1397.0
0:37.0, ,56-61,Shooting foul by P. Mills (drawn by T. Herro),,2,61,56,5,1403.0
0:37.0, ,56-62,T. Herro makes free throw 1 of 2,,2,62,56,6,1403.0
0:37.0, ,56-63,T. Herro makes free throw 2 of 2,,2,63,56,7,1403.0
0:27.0,C. Thomas makes 2-pt jump shot from 13 ft,58-63, ,,2,63,58,5,1413.0
0:08.0, ,58-63,Shooting foul by C. Thomas (drawn by K. Lowry),,2,63,58,5,1432.0
0:08.0, ,58-63,K. Lowry misses free throw 1 of 2,,2,63,58,5,1432.0
0:08.0, ,58-63,Offensive rebound by Team,,2,63,58,5,1432.0
0:08.0, ,58-63,G. Vincent enters the game for T. Herro,,2,63,58,5,1432.0
0:08.0, ,58-64,K. Lowry makes free throw 2 of 2,,2,64,58,6,1432.0
0:04.0,Personal foul by K. Lowry (drawn by B. Brown),58-64, ,,2,64,58,6,1436.0
0:02.0,Personal foul by K. Lowry (drawn by B. Brown),58-64, ,,2,64,58,6,1438.0
0:02.0,B. Brown misses free throw 1 of 2,58-64, ,,2,64,58,6,1438.0
0:02.0,Offensive rebound by Team,58-64, ,,2,64,58,6,1438.0
0:02.0,D. Duke enters the game for P. Mills,58-64, ,,2,64,58,6,1438.0
0:02.0,K. Edwards enters the game for D. Sharpe,58-64, ,,2,64,58,6,1438.0
0:02.0,B. Brown misses free throw 2 of 2,58-64, ,,2,64,58,6,1438.0
0:02.0, ,58-64,Defensive rebound by P. Tucker,,2,64,58,6,1438.0
0:00.0,End of 2nd quarter,58-64,,,2,64,58,6,1440.0
12:00.0,Start of 3rd quarter,58-64,,,3,64,58,6,1440.0
11:38.0,K. Irving misses 2-pt jump shot from 10 ft,58-64, ,,3,64,58,6,1462.0
11:35.0, ,58-64,Defensive rebound by D. Robinson,,3,64,58,6,1465.0
11:34.0, ,58-64,Personal foul by B. Griffin (drawn by B. Adebayo),,3,64,58,6,1466.0
11:22.0, ,58-64,D. Robinson misses 2-pt layup from 1 ft,,3,64,58,6,1478.0
11:20.0, ,58-64,Offensive rebound by B. Adebayo,,3,64,58,6,1480.0
11:19.0, ,58-64,B. Adebayo misses 2-pt hook shot from 3 ft,,3,64,58,6,1481.0
11:16.0,Defensive rebound by B. Brown,58-64, ,,3,64,58,6,1484.0
11:09.0,B. Griffin misses 3-pt jump shot from 25 ft,58-64, ,,3,64,58,6,1491.0
11:06.0, ,58-64,Defensive rebound by B. Adebayo,,3,64,58,6,1494.0
10:51.0, ,58-67,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,67,58,9,1509.0
10:42.0,K. Irving misses 3-pt jump shot from 27 ft,58-67, ,,3,67,58,9,1518.0
10:39.0, ,58-67,Defensive rebound by J. Butler,,3,67,58,9,1521.0
10:33.0, ,58-69,B. Adebayo makes 2-pt jump shot from 5 ft (assist by K. Lowry),,3,69,58,11,1527.0
10:24.0,Brooklyn full timeout,58-69, ,,3,69,58,11,1536.0
10:14.0,P. Mills misses 3-pt jump shot from 30 ft,58-69, ,,3,69,58,11,1546.0
10:09.0, ,58-69,Defensive rebound by B. Adebayo,,3,69,58,11,1551.0
9:59.0, ,58-69,Turnover by D. Robinson (step out of bounds),,3,69,58,11,1561.0
9:44.0,K. Edwards makes 3-pt jump shot from 23 ft (assist by P. Mills),61-69, ,,3,69,61,8,1576.0
9:23.0, ,61-71,P. Tucker makes 2-pt hook shot from 8 ft (assist by K. Lowry),,3,71,61,10,1597.0
9:14.0,K. Irving misses 3-pt jump shot from 28 ft,61-71, ,,3,71,61,10,1606.0
9:12.0, ,61-71,Defensive rebound by Team,,3,71,61,10,1608.0
8:52.0, ,61-74,D. Robinson makes 3-pt jump shot from 24 ft (assist by P. Tucker),,3,74,61,13,1628.0
8:39.0,K. Edwards misses 2-pt layup from 2 ft,61-74, ,,3,74,61,13,1641.0
8:37.0, ,61-74,Defensive rebound by P. Tucker,,3,74,61,13,1643.0
8:35.0, ,61-76,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Lowry),,3,76,61,15,1645.0
8:35.0, ,61-76,Shooting foul by B. Brown (drawn by B. Adebayo),,3,76,61,15,1645.0
8:35.0,C. Thomas enters the game for K. Edwards,61-76, ,,3,76,61,15,1645.0
8:35.0, ,61-77,B. Adebayo makes free throw 1 of 1,,3,77,61,16,1645.0
