Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:31.0, ,17-12,T. Maxey makes free throw 1 of 2,,1,17,12,5,389.0
5:31.0, ,17-13,T. Maxey makes free throw 2 of 2,,1,17,13,4,389.0
5:14.0,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),19-13, ,,1,19,13,6,406.0
5:02.0, ,19-15,T. Harris makes 2-pt dunk from 1 ft (assist by M. Thybulle),,1,19,15,4,418.0
4:49.0,B. Adebayo misses 2-pt jump shot from 21 ft,19-15, ,,1,19,15,4,431.0
4:46.0, ,19-15,Defensive rebound by S. Milton,,1,19,15,4,434.0
4:30.0, ,19-18,S. Milton makes 3-pt jump shot from 24 ft (assist by T. Harris),,1,19,18,1,450.0
4:09.0,T. Herro misses 3-pt jump shot from 26 ft,19-18, ,,1,19,18,1,471.0
4:04.0, ,19-18,Defensive rebound by S. Milton,,1,19,18,1,476.0
3:44.0, ,19-18,S. Milton misses 3-pt jump shot from 28 ft,,1,19,18,1,496.0
3:40.0,Defensive rebound by J. Butler,19-18, ,,1,19,18,1,500.0
3:34.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),22-18, ,,1,22,18,4,506.0
3:08.0, ,22-20,T. Maxey makes 2-pt jump shot from 20 ft,,1,22,20,2,532.0
2:49.0,J. Butler misses 2-pt jump shot from 20 ft,22-20, ,,1,22,20,2,551.0
2:47.0, ,22-20,Defensive rebound by D. Jordan,,1,22,20,2,553.0
2:26.0, ,22-20,T. Maxey misses 3-pt jump shot from 29 ft,,1,22,20,2,574.0
2:25.0,Defensive rebound by Team,22-20, ,,1,22,20,2,575.0
2:25.0,Miami full timeout,22-20, ,,1,22,20,2,575.0
2:25.0,C. Martin enters the game for B. Adebayo,22-20, ,,1,22,20,2,575.0
2:25.0,M. Morris enters the game for D. Robinson,22-20, ,,1,22,20,2,575.0
2:25.0,M. Strus enters the game for P. Tucker,22-20, ,,1,22,20,2,575.0
2:25.0, ,22-20,D. Green enters the game for T. Harris,,1,22,20,2,575.0
2:25.0, ,22-20,F. Korkmaz enters the game for T. Maxey,,1,22,20,2,575.0
2:25.0, ,22-20,G. Niang enters the game for M. Thybulle,,1,22,20,2,575.0
2:04.0,M. Strus misses 3-pt jump shot from 25 ft,22-20, ,,1,22,20,2,596.0
1:59.0, ,22-20,Defensive rebound by F. Korkmaz,,1,22,20,2,601.0
1:51.0, ,22-20,G. Niang misses 3-pt jump shot from 26 ft,,1,22,20,2,609.0
1:48.0,Defensive rebound by T. Herro,22-20, ,,1,22,20,2,612.0
1:44.0,T. Herro misses 2-pt layup from 8 ft (block by S. Milton),22-20, ,,1,22,20,2,616.0
1:44.0, ,22-20,Defensive rebound by Team,,1,22,20,2,616.0
1:31.0, ,22-22,S. Milton makes 2-pt layup from 1 ft,Tie,1,22,22,0,629.0
1:16.0,M. Morris makes 2-pt jump shot from 19 ft (assist by T. Herro),24-22, ,,1,24,22,2,644.0
1:00.0, ,24-22,S. Milton misses 2-pt layup from 3 ft,,1,24,22,2,660.0
0:58.0, ,24-22,Offensive rebound by S. Milton,,1,24,22,2,662.0
0:58.0, ,24-24,S. Milton makes 2-pt layup at rim,Tie,1,24,24,0,662.0
0:44.0,C. Martin makes 3-pt jump shot from 26 ft (assist by J. Butler),27-24, ,,1,27,24,3,676.0
0:28.0, ,27-24,Turnover by D. Jordan (bad pass; steal by C. Martin),,1,27,24,3,692.0
0:28.0,Personal foul by D. Green (drawn by C. Martin),27-24, ,,1,27,24,3,692.0
0:09.0,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),29-24, ,,1,29,24,5,711.0
0:04.0, ,29-26,F. Korkmaz makes 2-pt dunk from 1 ft (assist by S. Milton),,1,29,26,3,716.0
0:00.0,Shooting foul by S. Milton (drawn by J. Butler),29-26, ,,1,29,26,3,720.0
0:00.0,J. Butler makes free throw 1 of 3,30-26, ,,1,30,26,4,720.0
0:00.0,J. Butler makes free throw 2 of 3,31-26, ,,1,31,26,5,720.0
0:00.0,J. Butler makes free throw 3 of 3,32-26, ,,1,32,26,6,720.0
0:00.0,End of 1st quarter,32-26,,,1,32,26,6,720.0
12:00.0,Start of 2nd quarter,32-26,,,2,32,26,6,720.0
11:43.0, ,32-29,G. Niang makes 3-pt jump shot from 22 ft (assist by F. Korkmaz),,2,32,29,3,737.0
11:18.0,T. Herro misses 2-pt jump shot from 6 ft,32-29, ,,2,32,29,3,762.0
11:15.0, ,32-29,Defensive rebound by F. Korkmaz,,2,32,29,3,765.0
11:09.0, ,32-32,D. Green makes 3-pt jump shot from 24 ft (assist by F. Korkmaz),Tie,2,32,32,0,771.0
10:52.0,T. Herro misses 2-pt jump shot from 19 ft,32-32, ,,2,32,32,0,788.0
10:49.0, ,32-32,Defensive rebound by G. Niang,,2,32,32,0,791.0
10:33.0, ,32-34,F. Korkmaz makes 2-pt jump shot from 6 ft (assist by S. Milton),Lead change,2,32,34,-2,807.0
10:33.0, ,32-34,Violation by Team (delay of game),,2,32,34,-2,807.0
10:20.0,Shooting foul by G. Niang (drawn by C. Martin),32-34, ,,2,32,34,-2,820.0
10:20.0,C. Martin makes free throw 1 of 2,33-34, ,,2,33,34,-1,820.0
10:20.0,C. Martin makes free throw 2 of 2,34-34, ,Tie,2,34,34,0,820.0
10:00.0, ,34-34,D. Green misses 3-pt jump shot from 27 ft,,2,34,34,0,840.0
9:57.0,Defensive rebound by C. Martin,34-34, ,,2,34,34,0,843.0
9:45.0,M. Morris makes 2-pt jump shot from 16 ft,36-34, ,Lead change,2,36,34,2,855.0
9:30.0, ,36-34,Turnover by G. Niang (lost ball; steal by K. Lowry),,2,36,34,2,870.0
9:26.0,T. Herro makes 2-pt dunk from 3 ft (assist by K. Lowry),38-34, ,,2,38,34,4,874.0
9:12.0, ,38-36,D. Jordan makes 2-pt dunk at rim (assist by G. Niang),,2,38,36,2,888.0
9:07.0,Turnover by K. Lowry (bad pass),38-36, ,,2,38,36,2,893.0
9:01.0,Violation by Team (kicked ball),38-36, ,,2,38,36,2,899.0
8:52.0, ,38-36,S. Milton misses 2-pt jump shot from 3 ft,,2,38,36,2,908.0
8:49.0, ,38-36,Offensive rebound by D. Jordan,,2,38,36,2,911.0
8:49.0, ,38-36,D. Jordan misses 2-pt layup at rim,,2,38,36,2,911.0
8:48.0, ,38-36,Offensive rebound by D. Jordan,,2,38,36,2,912.0
8:47.0, ,38-36,D. Jordan misses 2-pt jump shot from 9 ft,,2,38,36,2,913.0
8:45.0,Defensive rebound by T. Herro,38-36, ,,2,38,36,2,915.0
8:40.0,Offensive foul by M. Morris (drawn by G. Niang),38-36, ,,2,38,36,2,920.0
8:40.0,Turnover by M. Morris (offensive foul),38-36, ,,2,38,36,2,920.0
8:27.0, ,38-36,S. Milton misses 3-pt jump shot from 26 ft,,2,38,36,2,933.0
8:23.0, ,38-36,Offensive rebound by D. Jordan,,2,38,36,2,937.0
8:21.0, ,38-39,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by D. Jordan),Lead change,2,38,39,-1,939.0
8:12.0,C. Martin misses 2-pt layup from 9 ft (block by G. Niang),38-39, ,,2,38,39,-1,948.0
8:12.0,Offensive rebound by Team,38-39, ,,2,38,39,-1,948.0
8:11.0,Away from play foul by F. Korkmaz (drawn by M. Strus),38-39, ,,2,38,39,-1,949.0
8:11.0,M. Strus makes free throw 1 of 1,39-39, ,Tie,2,39,39,0,949.0
8:11.0, ,39-39,T. Harris enters the game for G. Niang,,2,39,39,0,949.0
8:08.0,T. Herro misses 2-pt jump shot from 9 ft,39-39, ,,2,39,39,0,952.0
8:05.0, ,39-39,Defensive rebound by D. Green,,2,39,39,0,955.0
8:01.0, ,39-42,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by S. Milton),,2,39,42,-3,959.0
7:59.0,Miami full timeout,39-42, ,,2,39,42,-3,961.0
7:59.0,B. Adebayo enters the game for M. Morris,39-42, ,,2,39,42,-3,961.0
7:42.0,Turnover by K. Lowry (bad pass; steal by D. Jordan),39-42, ,,2,39,42,-3,978.0
7:27.0, ,39-44,S. Milton makes 2-pt jump shot from 7 ft (assist by T. Harris),,2,39,44,-5,993.0
7:12.0,M. Strus misses 3-pt jump shot from 25 ft,39-44, ,,2,39,44,-5,1008.0
7:09.0, ,39-44,Defensive rebound by F. Korkmaz,,2,39,44,-5,1011.0
7:05.0, ,39-44,T. Harris misses 3-pt jump shot from 26 ft,,2,39,44,-5,1015.0
7:02.0,Defensive rebound by B. Adebayo,39-44, ,,2,39,44,-5,1018.0
6:52.0,K. Lowry makes 3-pt jump shot from 27 ft,42-44, ,,2,42,44,-2,1028.0
6:42.0, ,42-44,Turnover by S. Milton (bad pass),,2,42,44,-2,1038.0
6:37.0,Turnover by B. Adebayo (traveling),42-44, ,,2,42,44,-2,1043.0
6:37.0, ,42-44,T. Maxey enters the game for S. Milton,,2,42,44,-2,1043.0
6:37.0, ,42-44,Philadelphia full timeout,,2,42,44,-2,1043.0
6:37.0,J. Butler enters the game for T. Herro,42-44, ,,2,42,44,-2,1043.0
6:37.0,D. Robinson enters the game for M. Strus,42-44, ,,2,42,44,-2,1043.0
6:12.0, ,42-47,D. Green makes 3-pt jump shot from 27 ft (assist by T. Maxey),,2,42,47,-5,1068.0
5:54.0,K. Lowry misses 3-pt jump shot from 27 ft,42-47, ,,2,42,47,-5,1086.0
5:52.0, ,42-47,Defensive rebound by D. Green,,2,42,47,-5,1088.0
5:36.0, ,42-47,Turnover by T. Maxey (bad pass; steal by C. Martin),,2,42,47,-5,1104.0
5:34.0,Shooting foul by T. Maxey (drawn by C. Martin),42-47, ,,2,42,47,-5,1106.0
5:34.0,C. Martin makes free throw 1 of 2,43-47, ,,2,43,47,-4,1106.0
5:34.0, ,43-47,P. Millsap enters the game for D. Jordan,,2,43,47,-4,1106.0
5:34.0,C. Martin makes free throw 2 of 2,44-47, ,,2,44,47,-3,1106.0
5:09.0, ,44-47,D. Green misses 3-pt jump shot from 27 ft,,2,44,47,-3,1131.0
5:05.0,Defensive rebound by K. Lowry,44-47, ,,2,44,47,-3,1135.0
4:56.0, ,44-47,Loose ball foul by T. Maxey (drawn by K. Lowry),,2,44,47,-3,1144.0
4:56.0,P. Tucker enters the game for C. Martin,44-47, ,,2,44,47,-3,1144.0
4:56.0, ,44-47,S. Milton enters the game for F. Korkmaz,,2,44,47,-3,1144.0
4:56.0, ,44-47,G. Niang enters the game for T. Maxey,,2,44,47,-3,1144.0
4:44.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by P. Tucker),47-47, ,Tie,2,47,47,0,1156.0
4:21.0,Violation by Team (kicked ball),47-47, ,,2,47,47,0,1179.0
4:13.0, ,47-47,G. Niang misses 3-pt jump shot from 25 ft,,2,47,47,0,1187.0
4:09.0,Defensive rebound by B. Adebayo,47-47, ,,2,47,47,0,1191.0
3:54.0,P. Tucker makes 2-pt jump shot from 18 ft (assist by B. Adebayo),49-47, ,Lead change,2,49,47,2,1206.0
3:36.0, ,49-47,P. Millsap misses 2-pt layup from 3 ft,,2,49,47,2,1224.0
3:36.0, ,49-47,Offensive rebound by P. Millsap,,2,49,47,2,1224.0
3:36.0, ,49-49,P. Millsap makes 2-pt layup at rim,Tie,2,49,49,0,1224.0
3:36.0, ,49-49,Shooting foul by P. Tucker (drawn by P. Millsap),,2,49,49,0,1224.0
3:36.0, ,49-49,I. Joe enters the game for D. Green,,2,49,49,0,1224.0
3:36.0, ,49-50,P. Millsap makes free throw 1 of 1,Lead change,2,49,50,-1,1224.0
3:26.0,Turnover by P. Tucker (step out of bounds),49-50, ,,2,49,50,-1,1234.0
3:05.0, ,49-52,P. Millsap makes 2-pt layup from 2 ft (assist by S. Milton),,2,49,52,-3,1255.0
2:54.0,Shooting foul by G. Niang (drawn by B. Adebayo),49-52, ,,2,49,52,-3,1266.0
2:54.0,B. Adebayo makes free throw 1 of 2,50-52, ,,2,50,52,-2,1266.0
2:54.0,B. Adebayo makes free throw 2 of 2,51-52, ,,2,51,52,-1,1266.0
2:40.0, ,51-54,G. Niang makes 2-pt hook shot from 2 ft,,2,51,54,-3,1280.0
2:26.0,Turnover by K. Lowry (bad pass; steal by G. Niang),51-54, ,,2,51,54,-3,1294.0
2:18.0, ,51-54,S. Milton misses 2-pt layup from 2 ft,,2,51,54,-3,1302.0
2:17.0,Defensive rebound by J. Butler,51-54, ,,2,51,54,-3,1303.0
2:04.0,J. Butler misses 3-pt jump shot from 25 ft,51-54, ,,2,51,54,-3,1316.0
2:01.0, ,51-54,Defensive rebound by T. Harris,,2,51,54,-3,1319.0
1:48.0, ,51-54,T. Harris misses 2-pt jump shot from 13 ft (block by K. Lowry),,2,51,54,-3,1332.0
1:45.0,Defensive rebound by P. Tucker,51-54, ,,2,51,54,-3,1335.0
1:34.0,J. Butler misses 2-pt jump shot from 7 ft,51-54, ,,2,51,54,-3,1346.0
1:32.0, ,51-54,Defensive rebound by T. Harris,,2,51,54,-3,1348.0
1:14.0, ,51-54,G. Niang misses 3-pt jump shot from 23 ft,,2,51,54,-3,1366.0
1:10.0,Defensive rebound by D. Robinson,51-54, ,,2,51,54,-3,1370.0
1:06.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),53-54, ,,2,53,54,-1,1374.0
1:06.0,Shooting foul by G. Niang (drawn by J. Butler),53-54, ,,2,53,54,-1,1374.0
1:06.0,T. Herro enters the game for K. Lowry,53-54, ,,2,53,54,-1,1374.0
1:06.0,J. Butler makes free throw 1 of 1,54-54, ,Tie,2,54,54,0,1374.0
0:47.0, ,54-57,G. Niang makes 3-pt jump shot from 27 ft (assist by P. Millsap),,2,54,57,-3,1393.0
0:27.0,J. Butler makes 2-pt jump shot from 11 ft,56-57, ,,2,56,57,-1,1413.0
0:02.0, ,56-57,I. Joe misses 3-pt jump shot from 25 ft,,2,56,57,-1,1438.0
0:02.0, ,56-57,Offensive rebound by Team,,2,56,57,-1,1438.0
0:02.0, ,56-57,Turnover by Team (shot clock),,2,56,57,-1,1438.0
0:02.0,K. Lowry enters the game for P. Tucker,56-57, ,,2,56,57,-1,1438.0
0:02.0, ,56-57,P. Reed enters the game for G. Niang,,2,56,57,-1,1438.0
0:00.0, ,56-57,Instant Replay (Request: Ruling Stands),,2,56,57,-1,1440.0
0:00.0,End of 2nd quarter,56-57,,,2,56,57,-1,1440.0
12:00.0,Start of 3rd quarter,56-57,,,3,56,57,-1,1440.0
11:48.0, ,56-57,G. Niang misses 3-pt jump shot from 26 ft,,3,56,57,-1,1452.0
11:44.0,Defensive rebound by P. Tucker,56-57, ,,3,56,57,-1,1456.0
11:24.0,J. Butler makes 2-pt jump shot from 15 ft,58-57, ,Lead change,3,58,57,1,1476.0
11:14.0, ,58-57,T. Maxey misses 3-pt jump shot from 27 ft,,3,58,57,1,1486.0
11:10.0,Defensive rebound by B. Adebayo,58-57, ,,3,58,57,1,1490.0
10:48.0,D. Robinson misses 3-pt jump shot from 26 ft,58-57, ,,3,58,57,1,1512.0
10:46.0, ,58-57,Defensive rebound by T. Harris,,3,58,57,1,1514.0
10:44.0, ,58-57,Personal take foul by P. Tucker (drawn by T. Harris),,3,58,57,1,1516.0
10:26.0, ,58-57,T. Harris misses 2-pt layup from 3 ft,,3,58,57,1,1534.0
10:25.0,Defensive rebound by B. Adebayo,58-57, ,,3,58,57,1,1535.0
10:13.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),60-57, ,,3,60,57,3,1547.0
9:50.0, ,60-57,Shooting foul by J. Butler (drawn by T. Maxey),,3,60,57,3,1570.0
9:50.0, ,60-58,T. Maxey makes free throw 1 of 2,,3,60,58,2,1570.0
9:50.0, ,60-59,T. Maxey makes free throw 2 of 2,,3,60,59,1,1570.0
9:40.0,Shooting foul by P. Millsap (drawn by B. Adebayo),60-59, ,,3,60,59,1,1580.0
9:40.0,B. Adebayo makes free throw 1 of 2,61-59, ,,3,61,59,2,1580.0
9:40.0,B. Adebayo makes free throw 2 of 2,62-59, ,,3,62,59,3,1580.0
9:20.0, ,62-62,T. Harris makes 3-pt jump shot from 24 ft (assist by T. Maxey),Tie,3,62,62,0,1600.0
9:05.0,B. Adebayo makes 2-pt layup from 6 ft,64-62, ,,3,64,62,2,1615.0
8:50.0, ,64-65,M. Thybulle makes 3-pt jump shot from 24 ft (assist by T. Maxey),Lead change,3,64,65,-1,1630.0
8:27.0,J. Butler misses 2-pt jump shot from 15 ft,64-65, ,,3,64,65,-1,1653.0
8:24.0, ,64-65,Defensive rebound by P. Millsap,,3,64,65,-1,1656.0
8:21.0, ,64-65,Shooting foul by K. Lowry (drawn by T. Maxey),,3,64,65,-1,1659.0
8:21.0, ,64-66,T. Maxey makes free throw 1 of 2,,3,64,66,-2,1659.0
8:21.0, ,64-67,T. Maxey makes free throw 2 of 2,,3,64,67,-3,1659.0
8:09.0,Turnover by B. Adebayo (bad pass; steal by T. Harris),64-67, ,,3,64,67,-3,1671.0
8:05.0, ,64-67,Personal foul by D. Robinson (drawn by P. Millsap),,3,64,67,-3,1675.0
8:00.0, ,64-67,T. Maxey misses 2-pt layup from 2 ft (block by B. Adebayo),,3,64,67,-3,1680.0
8:00.0,Defensive rebound by K. Lowry,64-67, ,,3,64,67,-3,1680.0
8:00.0,Personal take foul by P. Millsap (drawn by K. Lowry),64-67, ,,3,64,67,-3,1680.0
7:44.0,D. Robinson misses 3-pt jump shot from 26 ft,64-67, ,,3,64,67,-3,1696.0
7:40.0, ,64-67,Defensive rebound by G. Niang,,3,64,67,-3,1700.0
7:37.0, ,64-67,Shooting foul by D. Robinson (drawn by M. Thybulle),,3,64,67,-3,1703.0
7:37.0, ,64-68,M. Thybulle makes free throw 1 of 2,,3,64,68,-4,1703.0
7:37.0, ,64-69,M. Thybulle makes free throw 2 of 2,,3,64,69,-5,1703.0
7:27.0,Shooting foul by T. Harris (drawn by J. Butler),64-69, ,,3,64,69,-5,1713.0
7:27.0,J. Butler makes free throw 1 of 2,65-69, ,,3,65,69,-4,1713.0
7:27.0,J. Butler makes free throw 2 of 2,66-69, ,,3,66,69,-3,1713.0
7:05.0, ,66-69,Turnover by T. Harris (lost ball; steal by P. Tucker),,3,66,69,-3,1735.0
6:55.0,B. Adebayo makes 2-pt hook shot from 6 ft (assist by J. Butler),68-69, ,,3,68,69,-1,1745.0
6:32.0, ,68-69,G. Niang misses 3-pt jump shot from 28 ft,,3,68,69,-1,1768.0
6:29.0,Defensive rebound by D. Robinson,68-69, ,,3,68,69,-1,1771.0
6:12.0,B. Adebayo misses 2-pt layup from 3 ft,68-69, ,,3,68,69,-1,1788.0
6:10.0, ,68-69,Defensive rebound by G. Niang,,3,68,69,-1,1790.0
5:58.0, ,68-69,G. Niang misses 2-pt jump shot from 9 ft,,3,68,69,-1,1802.0
5:56.0, ,68-69,Offensive rebound by M. Thybulle,,3,68,69,-1,1804.0
5:54.0, ,68-69,P. Millsap misses 3-pt jump shot from 24 ft,,3,68,69,-1,1806.0
5:50.0,Defensive rebound by K. Lowry,68-69, ,,3,68,69,-1,1810.0
5:46.0,B. Adebayo makes 2-pt hook shot from 2 ft (assist by K. Lowry),70-69, ,Lead change,3,70,69,1,1814.0
5:46.0, ,70-69,Philadelphia full timeout,,3,70,69,1,1814.0
5:46.0,T. Herro enters the game for B. Adebayo,70-69, ,,3,70,69,1,1814.0
5:46.0,M. Morris enters the game for K. Lowry,70-69, ,,3,70,69,1,1814.0
5:46.0, ,70-69,D. Jordan enters the game for P. Millsap,,3,70,69,1,1814.0
5:46.0, ,70-69,F. Korkmaz enters the game for G. Niang,,3,70,69,1,1814.0
5:46.0, ,70-69,S. Milton enters the game for M. Thybulle,,3,70,69,1,1814.0
5:23.0, ,70-69,S. Milton misses 2-pt jump shot from 8 ft,,3,70,69,1,1837.0
5:20.0, ,70-69,Offensive rebound by D. Jordan,,3,70,69,1,1840.0
5:20.0, ,70-69,D. Jordan misses 2-pt layup at rim,,3,70,69,1,1840.0
5:19.0,Defensive rebound by M. Morris,70-69, ,,3,70,69,1,1841.0
5:07.0,Turnover by J. Butler (bad pass; steal by S. Milton),70-69, ,,3,70,69,1,1853.0
4:56.0, ,70-69,Offensive foul by T. Maxey (drawn by D. Robinson),,3,70,69,1,1864.0
4:56.0, ,70-69,Turnover by T. Maxey (offensive foul),,3,70,69,1,1864.0
4:39.0,P. Tucker misses 3-pt jump shot from 24 ft,70-69, ,,3,70,69,1,1881.0
4:37.0, ,70-69,Defensive rebound by T. Maxey,,3,70,69,1,1883.0
4:30.0, ,70-69,Turnover by D. Jordan (out of bounds lost ball),,3,70,69,1,1890.0
4:13.0,M. Morris misses 3-pt jump shot from 27 ft,70-69, ,,3,70,69,1,1907.0
4:08.0,Offensive rebound by P. Tucker,70-69, ,,3,70,69,1,1912.0
4:07.0,D. Robinson misses 3-pt jump shot from 27 ft,70-69, ,,3,70,69,1,1913.0
4:07.0,Offensive rebound by J. Butler,70-69, ,,3,70,69,1,1913.0
4:07.0,Shooting foul by T. Harris (drawn by J. Butler),70-69, ,,3,70,69,1,1913.0
4:07.0,J. Butler makes free throw 1 of 2,71-69, ,,3,71,69,2,1913.0
4:07.0,J. Butler makes free throw 2 of 2,72-69, ,,3,72,69,3,1913.0
3:52.0, ,72-69,F. Korkmaz misses 3-pt jump shot from 23 ft,,3,72,69,3,1928.0
3:49.0,Defensive rebound by T. Herro,72-69, ,,3,72,69,3,1931.0
3:42.0,T. Herro makes 2-pt layup from 2 ft,74-69, ,,3,74,69,5,1938.0
3:17.0, ,74-72,T. Maxey makes 3-pt jump shot from 27 ft (assist by T. Harris),,3,74,72,2,1963.0
3:04.0,T. Herro misses 3-pt jump shot from 29 ft,74-72, ,,3,74,72,2,1976.0
3:01.0, ,74-72,Defensive rebound by F. Korkmaz,,3,74,72,2,1979.0
2:49.0, ,74-74,T. Harris makes 2-pt layup from 3 ft,Tie,3,74,74,0,1991.0
2:38.0,M. Morris misses 3-pt jump shot from 25 ft,74-74, ,,3,74,74,0,2002.0
2:35.0, ,74-74,Defensive rebound by T. Maxey,,3,74,74,0,2005.0
2:26.0, ,74-74,Turnover by T. Maxey (bad pass; steal by J. Butler),,3,74,74,0,2014.0
2:22.0,J. Butler makes 2-pt layup from 1 ft,76-74, ,,3,76,74,2,2018.0
2:00.0, ,76-74,S. Milton misses 3-pt jump shot from 25 ft,,3,76,74,2,2040.0
1:57.0, ,76-74,Offensive rebound by F. Korkmaz,,3,76,74,2,2043.0
1:57.0, ,76-74,Shooting foul by M. Morris (drawn by S. Milton),,3,76,74,2,2043.0
1:57.0,Miami full timeout,76-74, ,,3,76,74,2,2043.0
1:57.0,M. Strus enters the game for D. Robinson,76-74, ,,3,76,74,2,2043.0
