Time,Miami,Score,Memphis,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:36.0,Defensive rebound by M. Strus,38-22, ,,1,38,22,16,684.0
0:31.0,K. Lowry misses 3-pt jump shot from 26 ft,38-22, ,,1,38,22,16,689.0
0:27.0, ,38-22,Defensive rebound by X. Tillman,,1,38,22,16,693.0
0:06.0, ,38-22,D. Bane misses 3-pt jump shot from 27 ft,,1,38,22,16,714.0
0:03.0,Defensive rebound by K. Lowry,38-22, ,,1,38,22,16,717.0
0:00.0,T. Herro misses 3-pt jump shot from 27 ft,38-22, ,,1,38,22,16,720.0
0:00.0,Offensive rebound by Team,38-22, ,,1,38,22,16,720.0
0:00.0,End of 1st quarter,38-22,,,1,38,22,16,720.0
12:00.0,Start of 2nd quarter,38-22,,,2,38,22,16,720.0
11:38.0,M. Morris misses 2-pt jump shot from 11 ft,38-22, ,,2,38,22,16,742.0
11:35.0, ,38-22,Defensive rebound by X. Tillman,,2,38,22,16,745.0
11:22.0, ,38-22,Personal foul by M. Morris (drawn by J. Jackson),,2,38,22,16,758.0
11:14.0, ,38-22,T. Jones misses 3-pt jump shot from 25 ft,,2,38,22,16,766.0
11:11.0,Defensive rebound by T. Herro,38-22, ,,2,38,22,16,769.0
11:06.0,Personal foul by J. Konchar (drawn by M. Morris),38-22, ,,2,38,22,16,774.0
10:57.0,Shooting foul by J. Jackson (drawn by T. Herro),38-22, ,,2,38,22,16,783.0
10:57.0,T. Herro misses free throw 1 of 2,38-22, ,,2,38,22,16,783.0
10:57.0,Offensive rebound by Team,38-22, ,,2,38,22,16,783.0
10:57.0,T. Herro makes free throw 2 of 2,39-22, ,,2,39,22,17,783.0
10:38.0, ,39-22,Personal foul by M. Morris (drawn by J. Jackson),,2,39,22,17,802.0
10:38.0,D. Dedmon enters the game for M. Morris,39-22, ,,2,39,22,17,802.0
10:27.0, ,39-22,Turnover by D. Bane (lost ball; steal by K. Lowry),,2,39,22,17,813.0
10:21.0,Turnover by M. Strus (bad pass; steal by X. Tillman),39-22, ,,2,39,22,17,819.0
10:15.0, ,39-22,J. Jackson misses 3-pt jump shot from 26 ft,,2,39,22,17,825.0
10:11.0,Defensive rebound by D. Dedmon,39-22, ,,2,39,22,17,829.0
10:01.0,D. Dedmon misses 2-pt jump shot from 8 ft,39-22, ,,2,39,22,17,839.0
10:00.0,Offensive rebound by C. Martin,39-22, ,,2,39,22,17,840.0
9:53.0,Turnover by T. Herro (lost ball; steal by X. Tillman),39-22, ,,2,39,22,17,847.0
9:48.0, ,39-22,Offensive foul by J. Jackson (drawn by K. Lowry),,2,39,22,17,852.0
9:48.0, ,39-22,Turnover by J. Jackson (offensive foul),,2,39,22,17,852.0
9:32.0,T. Herro makes 2-pt jump shot from 12 ft,41-22, ,,2,41,22,19,868.0
9:16.0, ,41-22,D. Bane misses 3-pt jump shot from 26 ft,,2,41,22,19,884.0
9:11.0,Defensive rebound by C. Martin,41-22, ,,2,41,22,19,889.0
9:10.0,Turnover by C. Martin (bad pass; steal by D. Bane),41-22, ,,2,41,22,19,890.0
9:09.0, ,41-25,T. Jones makes 3-pt jump shot from 26 ft (assist by D. Bane),,2,41,25,16,891.0
8:53.0,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),44-25, ,,2,44,25,19,907.0
8:52.0, ,44-25,Memphis full timeout,,2,44,25,19,908.0
8:52.0, ,44-25,S. Merrill enters the game for J. Konchar,,2,44,25,19,908.0
8:31.0, ,44-25,J. Jackson misses 3-pt jump shot from 25 ft,,2,44,25,19,929.0
8:30.0, ,44-25,Offensive rebound by Team,,2,44,25,19,930.0
8:30.0,Loose ball foul by K. Lowry (drawn by X. Tillman),44-25, ,,2,44,25,19,930.0
8:18.0, ,44-25,D. Bane misses 3-pt jump shot from 23 ft,,2,44,25,19,942.0
8:16.0, ,44-25,Offensive rebound by J. Jackson,,2,44,25,19,944.0
8:16.0, ,44-27,J. Jackson makes 2-pt dunk at rim,,2,44,27,17,944.0
8:16.0, ,44-27,Violation by Team (delay of game),,2,44,27,17,944.0
8:01.0,M. Strus makes 2-pt layup from 1 ft (assist by K. Lowry),46-27, ,,2,46,27,19,959.0
7:55.0, ,46-27,Personal foul by D. Dedmon (drawn by J. Jackson),,2,46,27,19,965.0
7:55.0,J. Butler enters the game for D. Dedmon,46-27, ,,2,46,27,19,965.0
7:55.0,M. Morris enters the game for C. Martin,46-27, ,,2,46,27,19,965.0
7:55.0, ,46-27,J. Morant enters the game for X. Tillman,,2,46,27,19,965.0
7:45.0, ,46-30,D. Bane makes 3-pt jump shot from 23 ft (assist by T. Jones),,2,46,30,16,975.0
7:38.0,Turnover by K. Lowry (bad pass; steal by J. Morant),46-30, ,,2,46,30,16,982.0
7:34.0, ,46-30,D. Bane misses 3-pt jump shot from 27 ft,,2,46,30,16,986.0
7:30.0, ,46-30,Offensive rebound by J. Morant,,2,46,30,16,990.0
7:26.0, ,46-30,J. Morant misses 2-pt layup from 3 ft,,2,46,30,16,994.0
7:23.0,Defensive rebound by M. Strus,46-30, ,,2,46,30,16,997.0
7:18.0,T. Herro makes 3-pt jump shot from 23 ft (assist by M. Strus),49-30, ,,2,49,30,19,1002.0
7:05.0, ,49-30,Shooting foul by M. Morris (drawn by J. Jackson),,2,49,30,19,1015.0
7:05.0, ,49-31,J. Jackson makes free throw 1 of 2,,2,49,31,18,1015.0
7:05.0,C. Martin enters the game for K. Lowry,49-31, ,,2,49,31,18,1015.0
7:05.0,P. Tucker enters the game for M. Morris,49-31, ,,2,49,31,18,1015.0
7:05.0, ,49-32,J. Jackson makes free throw 2 of 2,,2,49,32,17,1015.0
6:43.0,T. Herro misses 2-pt jump shot from 20 ft,49-32, ,,2,49,32,17,1037.0
6:39.0, ,49-32,Defensive rebound by J. Morant,,2,49,32,17,1041.0
6:30.0, ,49-32,J. Jackson misses 3-pt jump shot from 27 ft,,2,49,32,17,1050.0
6:27.0,Defensive rebound by T. Herro,49-32, ,,2,49,32,17,1053.0
6:23.0,C. Martin makes 2-pt layup from 1 ft (assist by T. Herro),51-32, ,,2,51,32,19,1057.0
6:08.0, ,51-35,D. Bane makes 3-pt jump shot from 25 ft (assist by J. Jackson),,2,51,35,16,1072.0
5:48.0,T. Herro misses 3-pt jump shot from 26 ft,51-35, ,,2,51,35,16,1092.0
5:47.0, ,51-35,Defensive rebound by Team,,2,51,35,16,1093.0
5:47.0, ,51-35,S. Adams enters the game for J. Jackson,,2,51,35,16,1093.0
5:47.0, ,51-35,D. Melton enters the game for T. Jones,,2,51,35,16,1093.0
5:34.0, ,51-35,J. Morant misses 2-pt layup from 2 ft,,2,51,35,16,1106.0
5:31.0, ,51-35,Offensive rebound by D. Bane,,2,51,35,16,1109.0
5:25.0, ,51-38,J. Morant makes 3-pt jump shot from 23 ft (assist by D. Melton),,2,51,38,13,1115.0
5:23.0,Miami full timeout,51-38, ,,2,51,38,13,1117.0
5:23.0,D. Robinson enters the game for M. Strus,51-38, ,,2,51,38,13,1117.0
5:23.0, ,51-38,K. Anderson enters the game for D. Bane,,2,51,38,13,1117.0
5:03.0,J. Butler misses 2-pt jump shot from 9 ft,51-38, ,,2,51,38,13,1137.0
5:00.0,Offensive rebound by C. Martin,51-38, ,,2,51,38,13,1140.0
4:59.0,J. Butler makes 3-pt jump shot from 25 ft (assist by C. Martin),54-38, ,,2,54,38,16,1141.0
4:44.0, ,54-38,J. Morant misses 3-pt jump shot from 26 ft,,2,54,38,16,1156.0
4:42.0, ,54-38,Offensive rebound by S. Adams,,2,54,38,16,1158.0
4:39.0, ,54-40,J. Morant makes 2-pt layup from 1 ft (assist by S. Adams),,2,54,40,14,1161.0
4:27.0,J. Butler makes 2-pt layup from 2 ft (assist by T. Herro),56-40, ,,2,56,40,16,1173.0
4:19.0, ,56-40,S. Merrill misses 3-pt jump shot from 23 ft,,2,56,40,16,1181.0
4:16.0,Defensive rebound by P. Tucker,56-40, ,,2,56,40,16,1184.0
4:08.0,P. Tucker misses 2-pt jump shot from 23 ft,56-40, ,,2,56,40,16,1192.0
4:07.0, ,56-40,Defensive rebound by D. Melton,,2,56,40,16,1193.0
4:07.0, ,56-40,Personal take foul by P. Tucker (drawn by D. Melton),,2,56,40,16,1193.0
4:07.0, ,56-41,D. Melton makes free throw 1 of 2,,2,56,41,15,1193.0
4:07.0, ,56-41,Z. Williams enters the game for S. Merrill,,2,56,41,15,1193.0
4:07.0, ,56-42,D. Melton makes free throw 2 of 2,,2,56,42,14,1193.0
3:59.0,C. Martin misses 2-pt dunk from 2 ft,56-42, ,,2,56,42,14,1201.0
3:57.0, ,56-42,Defensive rebound by Team,,2,56,42,14,1203.0
3:57.0, ,56-42,Memphis full timeout,,2,56,42,14,1203.0
3:57.0, ,56-42,Instant Replay (Challenge: Ruling Stands),,2,56,42,14,1203.0
3:57.0,Jump ball: S. Adams vs. J. Butler (K. Anderson gains possession),56-42,,,2,56,42,14,1203.0
3:30.0, ,56-45,Z. Williams makes 3-pt jump shot from 26 ft,,2,56,45,11,1230.0
3:05.0,T. Herro misses 2-pt layup from 10 ft (block by D. Melton),56-45, ,,2,56,45,11,1255.0
3:03.0, ,56-45,Defensive rebound by Z. Williams,,2,56,45,11,1257.0
3:03.0, ,56-45,Shooting foul by C. Martin (drawn by J. Morant),,2,56,45,11,1257.0
3:03.0, ,56-46,J. Morant makes free throw 1 of 2,,2,56,46,10,1257.0
3:03.0,K. Lowry enters the game for T. Herro,56-46, ,,2,56,46,10,1257.0
3:03.0, ,56-46,J. Morant misses free throw 2 of 2,,2,56,46,10,1257.0
3:00.0,Defensive rebound by D. Robinson,56-46, ,,2,56,46,10,1260.0
2:51.0,C. Martin misses 2-pt jump shot from 17 ft,56-46, ,,2,56,46,10,1269.0
2:49.0,Offensive rebound by Team,56-46, ,,2,56,46,10,1271.0
2:38.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Lowry),59-46, ,,2,59,46,13,1282.0
2:13.0, ,59-46,Turnover by K. Anderson (bad pass; steal by C. Martin),,2,59,46,13,1307.0
2:10.0,Offensive foul by C. Martin (drawn by K. Anderson),59-46, ,,2,59,46,13,1310.0
2:10.0,Turnover by C. Martin (offensive foul),59-46, ,,2,59,46,13,1310.0
2:10.0,T. Herro enters the game for C. Martin,59-46, ,,2,59,46,13,1310.0
1:59.0, ,59-46,J. Morant misses 2-pt jump shot from 18 ft,,2,59,46,13,1321.0
1:56.0,Defensive rebound by J. Butler,59-46, ,,2,59,46,13,1324.0
1:47.0,Shooting foul by D. Melton (drawn by J. Butler),59-46, ,,2,59,46,13,1333.0
1:47.0,J. Butler makes free throw 1 of 2,60-46, ,,2,60,46,14,1333.0
1:47.0,J. Butler makes free throw 2 of 2,61-46, ,,2,61,46,15,1333.0
1:27.0, ,61-49,D. Melton makes 3-pt jump shot from 26 ft (assist by J. Morant),,2,61,49,12,1353.0
1:20.0,Shooting foul by D. Melton (drawn by J. Butler),61-49, ,,2,61,49,12,1360.0
1:20.0,J. Butler makes free throw 1 of 2,62-49, ,,2,62,49,13,1360.0
1:20.0, ,62-49,D. Bane enters the game for K. Anderson,,2,62,49,13,1360.0
1:20.0,J. Butler makes free throw 2 of 2,63-49, ,,2,63,49,14,1360.0
1:09.0, ,63-52,D. Bane makes 3-pt jump shot from 26 ft (assist by J. Morant),,2,63,52,11,1371.0
0:57.0,J. Butler makes 2-pt layup from 1 ft,65-52, ,,2,65,52,13,1383.0
0:41.0, ,65-54,J. Morant makes 2-pt layup from 2 ft,,2,65,54,11,1399.0
0:30.0,K. Lowry misses 2-pt jump shot from 19 ft,65-54, ,,2,65,54,11,1410.0
0:26.0,Offensive rebound by T. Herro,65-54, ,,2,65,54,11,1414.0
0:23.0,T. Herro misses 2-pt layup from 1 ft,65-54, ,,2,65,54,11,1417.0
0:21.0, ,65-54,Defensive rebound by J. Morant,,2,65,54,11,1419.0
0:03.0, ,65-54,Turnover by J. Morant (lost ball; steal by J. Butler),,2,65,54,11,1437.0
0:01.0,J. Butler makes 2-pt dunk from 1 ft (assist by K. Lowry),67-54, ,,2,67,54,13,1439.0
0:00.0, ,67-54,D. Melton misses 3-pt jump shot from 35 ft,,2,67,54,13,1440.0
0:00.0, ,67-54,Offensive rebound by Team,,2,67,54,13,1440.0
0:00.0,End of 2nd quarter,67-54,,,2,67,54,13,1440.0
12:00.0,Start of 3rd quarter,67-54,,,3,67,54,13,1440.0
11:47.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),70-54, ,,3,70,54,16,1453.0
11:31.0, ,70-54,D. Melton misses 3-pt jump shot from 26 ft,,3,70,54,16,1469.0
11:28.0, ,70-54,Offensive rebound by D. Melton,,3,70,54,16,1472.0
11:20.0, ,70-54,J. Morant misses 2-pt layup from 2 ft (block by D. Dedmon),,3,70,54,16,1480.0
11:17.0,Defensive rebound by P. Tucker,70-54, ,,3,70,54,16,1483.0
11:13.0,D. Robinson misses 3-pt jump shot from 24 ft,70-54, ,,3,70,54,16,1487.0
11:11.0, ,70-54,Defensive rebound by S. Adams,,3,70,54,16,1489.0
11:03.0, ,70-54,J. Jackson misses 3-pt jump shot from 24 ft,,3,70,54,16,1497.0
10:58.0,Defensive rebound by D. Dedmon,70-54, ,,3,70,54,16,1502.0
10:46.0,J. Butler makes 2-pt jump shot from 12 ft,72-54, ,,3,72,54,18,1514.0
10:28.0, ,72-54,Offensive foul by J. Jackson (drawn by J. Butler),,3,72,54,18,1532.0
10:28.0, ,72-54,Turnover by J. Jackson (offensive foul),,3,72,54,18,1532.0
10:21.0,Turnover by D. Robinson (bad pass; steal by J. Jackson),72-54, ,,3,72,54,18,1539.0
10:21.0, ,72-54,Personal take foul by D. Robinson (drawn by J. Jackson),,3,72,54,18,1539.0
10:05.0, ,72-54,D. Melton misses 2-pt jump shot from 7 ft,,3,72,54,18,1555.0
10:02.0,Defensive rebound by D. Dedmon,72-54, ,,3,72,54,18,1558.0
9:53.0,D. Robinson misses 3-pt jump shot from 26 ft,72-54, ,,3,72,54,18,1567.0
9:49.0, ,72-54,Defensive rebound by J. Morant,,3,72,54,18,1571.0
9:39.0, ,72-54,Turnover by D. Bane (bad pass; steal by K. Lowry),,3,72,54,18,1581.0
9:32.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by J. Butler),75-54, ,,3,75,54,21,1588.0
9:30.0, ,75-54,Memphis full timeout,,3,75,54,21,1590.0
9:16.0, ,75-54,Turnover by D. Melton (bad pass; steal by P. Tucker),,3,75,54,21,1604.0
9:14.0,Turnover by D. Dedmon (bad pass; steal by J. Jackson),75-54, ,,3,75,54,21,1606.0
9:11.0, ,75-57,D. Bane makes 3-pt jump shot from 28 ft (assist by D. Melton),,3,75,57,18,1609.0
8:53.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Butler),78-57, ,,3,78,57,21,1627.0
8:37.0, ,78-59,J. Jackson makes 2-pt jump shot from 12 ft (assist by J. Morant),,3,78,59,19,1643.0
8:26.0,J. Butler misses 2-pt layup from 3 ft,78-59, ,,3,78,59,19,1654.0
8:25.0,Offensive rebound by D. Dedmon,78-59, ,,3,78,59,19,1655.0
8:25.0,Shooting foul by J. Morant (drawn by D. Dedmon),78-59, ,,3,78,59,19,1655.0
8:25.0,D. Dedmon makes free throw 1 of 2,79-59, ,,3,79,59,20,1655.0
8:25.0,D. Dedmon makes free throw 2 of 2,80-59, ,,3,80,59,21,1655.0
8:14.0, ,80-59,J. Jackson misses 3-pt jump shot from 26 ft,,3,80,59,21,1666.0
8:12.0,Defensive rebound by P. Tucker,80-59, ,,3,80,59,21,1668.0
8:09.0,Turnover by K. Lowry (bad pass),80-59, ,,3,80,59,21,1671.0
7:45.0, ,80-59,D. Bane misses 2-pt jump shot from 21 ft,,3,80,59,21,1695.0
7:42.0,Defensive rebound by Team,80-59, ,,3,80,59,21,1698.0
7:25.0,J. Butler makes 2-pt layup from 1 ft,82-59, ,,3,82,59,23,1715.0
7:25.0,Shooting foul by D. Bane (drawn by J. Butler),82-59, ,,3,82,59,23,1715.0
7:25.0,J. Butler misses free throw 1 of 1,82-59, ,,3,82,59,23,1715.0
7:23.0, ,82-59,Defensive rebound by S. Adams,,3,82,59,23,1717.0
7:07.0, ,82-59,Shooting foul by D. Dedmon (drawn by S. Adams),,3,82,59,23,1733.0
7:07.0, ,82-60,S. Adams makes free throw 1 of 2,,3,82,60,22,1733.0
7:07.0, ,82-61,S. Adams makes free throw 2 of 2,,3,82,61,21,1733.0
6:52.0,J. Butler misses 2-pt jump shot from 15 ft,82-61, ,,3,82,61,21,1748.0
6:50.0, ,82-61,Defensive rebound by D. Melton,,3,82,61,21,1750.0
6:45.0, ,82-61,Shooting foul by D. Robinson (drawn by D. Melton),,3,82,61,21,1755.0
6:45.0, ,82-62,D. Melton makes free throw 1 of 2,,3,82,62,20,1755.0
6:45.0, ,82-63,D. Melton makes free throw 2 of 2,,3,82,63,19,1755.0
6:28.0,D. Dedmon makes 2-pt jump shot from 12 ft (assist by K. Lowry),84-63, ,,3,84,63,21,1772.0
6:12.0, ,84-63,J. Jackson misses 3-pt jump shot from 24 ft,,3,84,63,21,1788.0
6:10.0,Defensive rebound by J. Butler,84-63, ,,3,84,63,21,1790.0
6:01.0,D. Dedmon misses 2-pt layup from 3 ft,84-63, ,,3,84,63,21,1799.0
5:58.0,Offensive rebound by K. Lowry,84-63, ,,3,84,63,21,1802.0
5:57.0,K. Lowry misses 2-pt layup from 2 ft,84-63, ,,3,84,63,21,1803.0
5:57.0,Offensive rebound by D. Dedmon,84-63, ,,3,84,63,21,1803.0
5:52.0,D. Dedmon misses 2-pt jump shot from 9 ft (block by J. Jackson),84-63, ,,3,84,63,21,1808.0
5:50.0, ,84-63,Defensive rebound by S. Adams,,3,84,63,21,1810.0
5:50.0, ,84-65,J. Morant makes 2-pt layup from 1 ft (assist by D. Melton),,3,84,65,19,1810.0
5:50.0, ,84-65,Shooting foul by D. Dedmon (drawn by J. Morant),,3,84,65,19,1810.0
5:50.0,T. Herro enters the game for D. Dedmon,84-65, ,,3,84,65,19,1810.0
5:50.0,M. Morris enters the game for K. Lowry,84-65, ,,3,84,65,19,1810.0
5:50.0, ,84-65,K. Anderson enters the game for S. Adams,,3,84,65,19,1810.0
5:50.0, ,84-65,Z. Williams enters the game for D. Melton,,3,84,65,19,1810.0
5:50.0, ,84-66,J. Morant makes free throw 1 of 1,,3,84,66,18,1810.0
5:38.0,D. Robinson misses 3-pt jump shot from 25 ft,84-66, ,,3,84,66,18,1822.0
5:34.0,Offensive rebound by D. Robinson,84-66, ,,3,84,66,18,1826.0
5:25.0,Turnover by J. Butler (lost ball; steal by J. Morant),84-66, ,,3,84,66,18,1835.0
5:18.0, ,84-66,Z. Williams misses 3-pt jump shot from 24 ft,,3,84,66,18,1842.0
5:14.0,Defensive rebound by T. Herro,84-66, ,,3,84,66,18,1846.0
5:00.0,T. Herro misses 2-pt layup from 1 ft (block by J. Jackson),84-66, ,,3,84,66,18,1860.0
4:58.0, ,84-66,Defensive rebound by J. Jackson,,3,84,66,18,1862.0
4:57.0, ,84-68,D. Bane makes 2-pt dunk from 1 ft (assist by J. Morant),,3,84,68,16,1863.0
4:57.0,Miami full timeout,84-68, ,,3,84,68,16,1863.0
4:43.0,Personal foul by D. Bane (drawn by J. Butler),84-68, ,,3,84,68,16,1877.0
4:41.0,Personal foul by J. Morant (drawn by T. Herro),84-68, ,,3,84,68,16,1879.0
4:26.0,J. Butler misses 3-pt jump shot from 26 ft,84-68, ,,3,84,68,16,1894.0
4:24.0,Offensive rebound by T. Herro,84-68, ,,3,84,68,16,1896.0
4:19.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),87-68, ,,3,87,68,19,1901.0
4:09.0, ,87-71,D. Bane makes 3-pt jump shot from 27 ft (assist by K. Anderson),,3,87,71,16,1911.0
