Time,Washington,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:38.0,Personal foul by G. Vincent (drawn by D. Avdija),19-21, ,,2,21,19,2,742.0
11:27.0,Washington full timeout,19-21, ,,2,21,19,2,753.0
11:23.0,D. Avdija misses 2-pt layup from 2 ft,19-21, ,,2,21,19,2,757.0
11:20.0, ,19-21,Defensive rebound by B. Adebayo,,2,21,19,2,760.0
11:09.0, ,19-21,K. Lowry misses 3-pt jump shot from 26 ft,,2,21,19,2,771.0
11:06.0,Defensive rebound by K. Kuzma,19-21, ,,2,21,19,2,774.0
10:46.0,C. Kispert makes 3-pt jump shot from 24 ft (assist by A. Holiday),22-21, ,Lead change,2,21,22,-1,794.0
10:25.0, ,22-21,G. Vincent misses 3-pt jump shot from 26 ft,,2,21,22,-1,815.0
10:21.0,Defensive rebound by M. Harrell,22-21, ,,2,21,22,-1,819.0
10:13.0,D. Avdija misses 2-pt layup from 2 ft,22-21, ,,2,21,22,-1,827.0
10:13.0, ,22-21,Defensive rebound by Team,,2,21,22,-1,827.0
9:53.0, ,22-23,B. Adebayo makes 2-pt jump shot from 8 ft,Lead change,2,23,22,1,847.0
9:36.0,C. Kispert makes 3-pt jump shot from 24 ft (assist by K. Kuzma),25-23, ,Lead change,2,23,25,-2,864.0
9:21.0, ,25-23,Offensive foul by B. Adebayo (drawn by M. Harrell),,2,23,25,-2,879.0
9:21.0, ,25-23,Turnover by B. Adebayo (offensive foul),,2,23,25,-2,879.0
9:11.0,Turnover by A. Holiday (lost ball; steal by C. Martin),25-23, ,,2,23,25,-2,889.0
9:11.0,A. Gill enters the game for M. Harrell,25-23, ,,2,23,25,-2,889.0
8:53.0, ,25-25,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),Tie,2,25,25,0,907.0
8:29.0,D. Avdija misses 3-pt jump shot from 28 ft,25-25, ,,2,25,25,0,931.0
8:27.0, ,25-25,Defensive rebound by C. Martin,,2,25,25,0,933.0
8:18.0, ,25-28,G. Vincent makes 3-pt jump shot from 26 ft (assist by B. Adebayo),Lead change,2,28,25,3,942.0
7:56.0,A. Holiday misses 2-pt layup from 1 ft (block by C. Martin),25-28, ,,2,28,25,3,964.0
7:56.0,Offensive rebound by Team,25-28, ,,2,28,25,3,964.0
7:56.0,B. Beal enters the game for C. Kispert,25-28, ,,2,28,25,3,964.0
7:56.0,K. Caldwell-Pope enters the game for K. Kuzma,25-28, ,,2,28,25,3,964.0
7:50.0,B. Beal misses 3-pt jump shot from 23 ft,25-28, ,,2,28,25,3,970.0
7:47.0, ,25-28,Defensive rebound by B. Adebayo,,2,28,25,3,973.0
7:44.0, ,25-30,G. Vincent makes 2-pt layup from 1 ft (assist by K. Lowry),,2,30,25,5,976.0
7:28.0,B. Beal misses 3-pt jump shot from 24 ft,25-30, ,,2,30,25,5,992.0
7:24.0, ,25-30,Defensive rebound by M. Strus,,2,30,25,5,996.0
7:23.0, ,25-32,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),,2,32,25,7,997.0
7:23.0,Washington full timeout,25-32, ,,2,32,25,7,997.0
7:23.0,M. Harrell enters the game for A. Gill,25-32, ,,2,32,25,7,997.0
7:23.0,R. Neto enters the game for A. Holiday,25-32, ,,2,32,25,7,997.0
7:01.0,R. Neto misses 2-pt jump shot from 10 ft,25-32, ,,2,32,25,7,1019.0
6:58.0, ,25-32,Defensive rebound by B. Adebayo,,2,32,25,7,1022.0
6:43.0, ,25-32,Turnover by K. Lowry (bad pass; steal by K. Caldwell-Pope),,2,32,25,7,1037.0
6:39.0,B. Beal makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),27-32, ,,2,32,27,5,1041.0
6:27.0, ,27-35,K. Lowry makes 3-pt jump shot from 26 ft (assist by G. Vincent),,2,35,27,8,1053.0
6:11.0,R. Neto misses 2-pt jump shot from 10 ft,27-35, ,,2,35,27,8,1069.0
6:10.0,Offensive rebound by M. Harrell,27-35, ,,2,35,27,8,1070.0
6:07.0,M. Harrell makes 2-pt layup from 1 ft,29-35, ,,2,35,29,6,1073.0
6:06.0, ,29-35,Turnover by G. Vincent (bad pass),,2,35,29,6,1074.0
6:06.0,K. Kuzma enters the game for D. Avdija,29-35, ,,2,35,29,6,1074.0
6:06.0, ,29-35,J. Butler enters the game for B. Adebayo,,2,35,29,6,1074.0
6:06.0, ,29-35,D. Dedmon enters the game for K. Lowry,,2,35,29,6,1074.0
6:06.0, ,29-35,P. Tucker enters the game for C. Martin,,2,35,29,6,1074.0
5:43.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by R. Neto),32-35, ,,2,35,32,3,1097.0
5:21.0, ,32-35,Personal foul by R. Neto (drawn by J. Butler),,2,35,32,3,1119.0
5:21.0,A. Holiday enters the game for R. Neto,32-35, ,,2,35,32,3,1119.0
5:17.0, ,32-35,Personal foul by K. Kuzma (drawn by D. Dedmon),,2,35,32,3,1123.0
5:17.0, ,32-35,D. Robinson enters the game for M. Strus,,2,35,32,3,1123.0
5:05.0, ,32-35,J. Butler misses 3-pt jump shot from 28 ft,,2,35,32,3,1135.0
5:00.0,Defensive rebound by K. Kuzma,32-35, ,,2,35,32,3,1140.0
4:48.0,M. Harrell misses 2-pt layup from 1 ft,32-35, ,,2,35,32,3,1152.0
4:46.0, ,32-35,Defensive rebound by P. Tucker,,2,35,32,3,1154.0
4:29.0, ,32-35,D. Dedmon misses 2-pt jump shot from 17 ft,,2,35,32,3,1171.0
4:26.0, ,32-35,Offensive rebound by P. Tucker,,2,35,32,3,1174.0
4:24.0, ,32-35,G. Vincent misses 3-pt jump shot from 25 ft,,2,35,32,3,1176.0
4:21.0, ,32-35,Offensive rebound by G. Vincent,,2,35,32,3,1179.0
4:19.0, ,32-37,G. Vincent makes 2-pt dunk from 2 ft,,2,37,32,5,1181.0
4:01.0,B. Beal makes 2-pt jump shot from 10 ft,34-37, ,,2,37,34,3,1199.0
3:32.0, ,34-37,Shooting foul by K. Caldwell-Pope (drawn by J. Butler),,2,37,34,3,1228.0
3:32.0, ,34-38,J. Butler makes free throw 1 of 2,,2,38,34,4,1228.0
3:32.0, ,34-39,J. Butler makes free throw 2 of 2,,2,39,34,5,1228.0
3:13.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,34-39, ,,2,39,34,5,1247.0
3:09.0, ,34-39,Defensive rebound by J. Butler,,2,39,34,5,1251.0
3:05.0, ,34-39,Personal foul by K. Caldwell-Pope (drawn by G. Vincent),,2,39,34,5,1255.0
3:05.0, ,34-39,K. Lowry enters the game for G. Vincent,,2,39,34,5,1255.0
2:50.0, ,34-41,K. Lowry makes 2-pt layup from 2 ft (assist by J. Butler),,2,41,34,7,1270.0
2:36.0,A. Holiday misses 2-pt layup from 1 ft,34-41, ,,2,41,34,7,1284.0
2:34.0, ,34-41,Defensive rebound by D. Dedmon,,2,41,34,7,1286.0
2:15.0, ,34-41,D. Robinson misses 3-pt jump shot from 24 ft,,2,41,34,7,1305.0
2:13.0,Defensive rebound by B. Beal,34-41, ,,2,41,34,7,1307.0
2:07.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by K. Kuzma),37-41, ,,2,41,37,4,1313.0
1:57.0, ,37-41,Personal foul by M. Harrell (drawn by D. Dedmon),,2,41,37,4,1323.0
1:57.0, ,37-41,D. Dedmon misses free throw 1 of 2,,2,41,37,4,1323.0
1:57.0, ,37-41,Offensive rebound by Team,,2,41,37,4,1323.0
1:57.0, ,37-42,D. Dedmon makes free throw 2 of 2,,2,42,37,5,1323.0
1:43.0,K. Kuzma makes 3-pt jump shot from 28 ft,40-42, ,,2,42,40,2,1337.0
1:30.0, ,40-42,Shooting foul by A. Holiday (drawn by J. Butler),,2,42,40,2,1350.0
1:30.0, ,40-43,J. Butler makes free throw 1 of 2,,2,43,40,3,1350.0
1:30.0, ,40-43,B. Adebayo enters the game for D. Dedmon,,2,43,40,3,1350.0
1:30.0, ,40-44,J. Butler makes free throw 2 of 2,,2,44,40,4,1350.0
1:12.0,Turnover by K. Caldwell-Pope (bad pass),40-44, ,,2,44,40,4,1368.0
0:53.0, ,40-46,B. Adebayo makes 2-pt jump shot from 12 ft,,2,46,40,6,1387.0
0:41.0,Turnover by K. Caldwell-Pope (lost ball; steal by P. Tucker),40-46, ,,2,46,40,6,1399.0
0:30.0, ,40-46,D. Robinson misses 3-pt jump shot from 24 ft,,2,46,40,6,1410.0
0:29.0, ,40-46,Offensive rebound by Team,,2,46,40,6,1411.0
0:29.0,Loose ball foul by A. Holiday (drawn by K. Lowry),40-46, ,,2,46,40,6,1411.0
0:29.0, ,40-47,K. Lowry makes free throw 1 of 2,,2,47,40,7,1411.0
0:29.0,C. Kispert enters the game for A. Holiday,40-47, ,,2,47,40,7,1411.0
0:29.0, ,40-47,C. Martin enters the game for B. Adebayo,,2,47,40,7,1411.0
0:29.0, ,40-47,K. Lowry misses free throw 2 of 2,,2,47,40,7,1411.0
0:26.0,Defensive rebound by K. Kuzma,40-47, ,,2,47,40,7,1414.0
0:12.0,K. Kuzma misses 3-pt jump shot from 28 ft,40-47, ,,2,47,40,7,1428.0
0:09.0, ,40-47,Defensive rebound by C. Martin,,2,47,40,7,1431.0
0:00.0, ,40-47,K. Lowry misses 3-pt jump shot from 27 ft,,2,47,40,7,1440.0
0:00.0, ,40-47,Offensive rebound by Team,,2,47,40,7,1440.0
0:00.0,End of 2nd quarter,40-47,,,2,47,40,7,1440.0
12:00.0,Start of 3rd quarter,40-47,,,3,47,40,7,1440.0
11:39.0,A. Holiday makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),42-47, ,,3,47,42,5,1461.0
11:10.0, ,42-47,B. Adebayo misses 2-pt jump shot from 8 ft,,3,47,42,5,1490.0
11:05.0,Defensive rebound by B. Beal,42-47, ,,3,47,42,5,1495.0
10:57.0,A. Holiday misses 3-pt jump shot from 25 ft,42-47, ,,3,47,42,5,1503.0
10:53.0, ,42-47,Defensive rebound by B. Adebayo,,3,47,42,5,1507.0
10:45.0, ,42-49,J. Butler makes 2-pt jump shot from 18 ft (assist by K. Lowry),,3,49,42,7,1515.0
10:24.0,B. Beal makes 2-pt jump shot from 13 ft,44-49, ,,3,49,44,5,1536.0
10:10.0, ,44-49,B. Adebayo misses 2-pt layup at rim,,3,49,44,5,1550.0
10:05.0, ,44-49,Offensive rebound by B. Adebayo,,3,49,44,5,1555.0
10:05.0, ,44-51,B. Adebayo makes 2-pt layup at rim,,3,51,44,7,1555.0
9:54.0,Turnover by B. Beal (bad pass),44-51, ,,3,51,44,7,1566.0
9:39.0, ,44-53,J. Butler makes 2-pt jump shot from 9 ft,,3,53,44,9,1581.0
9:23.0,K. Caldwell-Pope makes 2-pt jump shot from 13 ft (assist by M. Harrell),46-53, ,,3,53,46,7,1597.0
9:07.0, ,46-56,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,56,46,10,1613.0
8:47.0,K. Kuzma misses 3-pt jump shot from 23 ft,46-56, ,,3,56,46,10,1633.0
8:45.0, ,46-56,Defensive rebound by D. Robinson,,3,56,46,10,1635.0
8:35.0, ,46-56,D. Robinson misses 2-pt jump shot from 7 ft,,3,56,46,10,1645.0
8:32.0,Defensive rebound by K. Kuzma,46-56, ,,3,56,46,10,1648.0
8:24.0,B. Beal makes 2-pt layup from 2 ft,48-56, ,,3,56,48,8,1656.0
8:10.0, ,48-58,B. Adebayo makes 2-pt jump shot from 4 ft,,3,58,48,10,1670.0
7:47.0,Turnover by A. Holiday (lost ball; steal by K. Lowry),48-58, ,,3,58,48,10,1693.0
7:32.0, ,48-61,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,3,61,48,13,1708.0
7:32.0,Washington full timeout,48-61, ,,3,61,48,13,1708.0
7:19.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Butler),48-61, ,,3,61,48,13,1721.0
7:15.0, ,48-63,J. Butler makes 2-pt dunk from 1 ft,,3,63,48,15,1725.0
6:58.0,B. Beal makes 2-pt jump shot from 8 ft,50-63, ,,3,63,50,13,1742.0
6:45.0, ,50-63,Personal foul by K. Caldwell-Pope (drawn by D. Robinson),,3,63,50,13,1755.0
6:42.0, ,50-66,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),,3,66,50,16,1758.0
6:21.0,Turnover by A. Holiday (bad pass; steal by J. Butler),50-66, ,,3,66,50,16,1779.0
6:15.0, ,50-66,Turnover by B. Adebayo (lost ball; steal by K. Kuzma),,3,66,50,16,1785.0
6:05.0,B. Beal makes 2-pt layup from 1 ft (assist by A. Holiday),52-66, ,,3,66,52,14,1795.0
5:53.0, ,52-69,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,69,52,17,1807.0
5:33.0,Shooting foul by B. Adebayo (drawn by K. Kuzma),52-69, ,,3,69,52,17,1827.0
5:33.0,K. Kuzma makes free throw 1 of 2,53-69, ,,3,69,53,16,1827.0
5:33.0,A. Gill enters the game for M. Harrell,53-69, ,,3,69,53,16,1827.0
5:33.0,K. Kuzma misses free throw 2 of 2,53-69, ,,3,69,53,16,1827.0
5:31.0, ,53-69,Defensive rebound by D. Robinson,,3,69,53,16,1829.0
5:15.0, ,53-69,D. Robinson misses 3-pt jump shot from 25 ft,,3,69,53,16,1845.0
5:09.0,Defensive rebound by B. Beal,53-69, ,,3,69,53,16,1851.0
5:09.0,Shooting foul by P. Tucker (drawn by B. Beal),53-69, ,,3,69,53,16,1851.0
5:09.0,B. Beal makes free throw 1 of 2,54-69, ,,3,69,54,15,1851.0
5:09.0,D. Avdija enters the game for A. Holiday,54-69, ,,3,69,54,15,1851.0
5:09.0,R. Neto enters the game for K. Kuzma,54-69, ,,3,69,54,15,1851.0
5:09.0, ,54-69,G. Vincent enters the game for K. Lowry,,3,69,54,15,1851.0
5:09.0,B. Beal makes free throw 2 of 2,55-69, ,,3,69,55,14,1851.0
4:54.0, ,55-72,G. Vincent makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,72,55,17,1866.0
4:32.0,R. Neto misses 3-pt jump shot from 27 ft,55-72, ,,3,72,55,17,1888.0
4:31.0,Offensive rebound by Team,55-72, ,,3,72,55,17,1889.0
4:31.0,C. Kispert enters the game for K. Caldwell-Pope,55-72, ,,3,72,55,17,1889.0
4:31.0, ,55-72,C. Martin enters the game for B. Adebayo,,3,72,55,17,1889.0
4:18.0,A. Gill makes 2-pt layup from 1 ft (assist by B. Beal),57-72, ,,3,72,57,15,1902.0
4:11.0, ,57-72,Personal foul by A. Gill (drawn by J. Butler),,3,72,57,15,1909.0
3:59.0, ,57-75,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),,3,75,57,18,1921.0
3:35.0,Turnover by B. Beal (bad pass),57-75, ,,3,75,57,18,1945.0
3:35.0,Loose ball foul by A. Gill (drawn by G. Vincent),57-75, ,,3,75,57,18,1945.0
3:23.0, ,57-75,G. Vincent misses 2-pt layup from 2 ft,,3,75,57,18,1957.0
3:19.0,Defensive rebound by A. Gill,57-75, ,,3,75,57,18,1961.0
3:14.0,B. Beal makes 3-pt jump shot from 25 ft,60-75, ,,3,75,60,15,1966.0
2:58.0, ,60-77,J. Butler makes 2-pt layup from 1 ft,,3,77,60,17,1982.0
2:46.0,Shooting foul by D. Robinson (drawn by B. Beal),60-77, ,,3,77,60,17,1994.0
2:46.0, ,60-77,Miami full timeout,,3,77,60,17,1994.0
2:46.0,K. Kuzma enters the game for A. Gill,60-77, ,,3,77,60,17,1994.0
2:46.0, ,60-77,Violation by Team (delay of game),,3,77,60,17,1994.0
2:46.0,B. Beal makes free throw 1 of 2,61-77, ,,3,77,61,16,1994.0
2:46.0,B. Beal makes free throw 2 of 2,62-77, ,,3,77,62,15,1994.0
2:27.0, ,62-77,P. Tucker misses 2-pt hook shot from 2 ft,,3,77,62,15,2013.0
2:24.0,Defensive rebound by C. Kispert,62-77, ,,3,77,62,15,2016.0
2:06.0,C. Kispert misses 3-pt jump shot from 23 ft,62-77, ,,3,77,62,15,2034.0
2:03.0, ,62-77,Defensive rebound by D. Robinson,,3,77,62,15,2037.0
1:50.0, ,62-80,C. Martin makes 3-pt jump shot from 23 ft (assist by G. Vincent),,3,80,62,18,2050.0
1:29.0,D. Avdija makes 3-pt jump shot from 26 ft (assist by K. Kuzma),65-80, ,,3,80,65,15,2071.0
1:10.0, ,65-80,G. Vincent misses 2-pt layup from 1 ft,,3,80,65,15,2090.0
1:08.0,Defensive rebound by K. Kuzma,65-80, ,,3,80,65,15,2092.0
1:03.0,K. Kuzma makes 2-pt layup from 2 ft,67-80, ,,3,80,67,13,2097.0
0:48.0, ,67-82,J. Butler makes 2-pt layup from 1 ft,,3,82,67,15,2112.0
0:36.0,K. Kuzma makes 3-pt jump shot from 25 ft,70-82, ,,3,82,70,12,2124.0
0:30.0, ,70-82,Shooting foul by R. Neto (drawn by G. Vincent),,3,82,70,12,2130.0
0:30.0, ,70-82,G. Vincent misses free throw 1 of 2,,3,82,70,12,2130.0
0:30.0, ,70-82,Offensive rebound by Team,,3,82,70,12,2130.0
0:30.0,A. Holiday enters the game for R. Neto,70-82, ,,3,82,70,12,2130.0
0:30.0, ,70-82,B. Adebayo enters the game for J. Butler,,3,82,70,12,2130.0
