Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:51.0,G. Niang enters the game for T. Harris,11-17, ,,1,17,11,6,609.0
1:51.0, ,11-17,C. Martin enters the game for P. Tucker,,1,17,11,6,609.0
1:30.0, ,11-17,M. Strus misses 3-pt jump shot from 28 ft,,1,17,11,6,630.0
1:26.0,Defensive rebound by G. Niang,11-17, ,,1,17,11,6,634.0
1:17.0,J. Embiid misses 2-pt jump shot from 11 ft (block by D. Dedmon),11-17, ,,1,17,11,6,643.0
1:17.0,Offensive rebound by J. Embiid,11-17, ,,1,17,11,6,643.0
1:17.0,Turnover by J. Embiid (traveling),11-17, ,,1,17,11,6,643.0
1:06.0, ,11-17,Shooting foul by D. Green (drawn by J. Butler),,1,17,11,6,654.0
1:06.0, ,11-17,J. Butler misses free throw 1 of 2,,1,17,11,6,654.0
1:06.0, ,11-17,Offensive rebound by Team,,1,17,11,6,654.0
1:06.0, ,11-18,J. Butler makes free throw 2 of 2,,1,18,11,7,654.0
0:50.0,Turnover by J. Embiid (lost ball; steal by M. Strus),11-18, ,,1,18,11,7,670.0
0:46.0, ,11-20,C. Martin makes 2-pt layup from 2 ft (assist by D. Dedmon),,1,20,11,9,674.0
0:35.0,I. Joe misses 3-pt jump shot from 26 ft,11-20, ,,1,20,11,9,685.0
0:32.0, ,11-20,Defensive rebound by T. Herro,,1,20,11,9,688.0
0:30.0, ,11-20,Shooting foul by I. Joe (drawn by J. Butler),,1,20,11,9,690.0
0:30.0, ,11-21,J. Butler makes free throw 1 of 2,,1,21,11,10,690.0
0:30.0, ,11-22,J. Butler makes free throw 2 of 2,,1,22,11,11,690.0
0:16.0,D. Green makes 3-pt jump shot from 24 ft (assist by G. Niang),14-22, ,,1,22,14,8,704.0
0:02.0, ,14-22,T. Herro misses 3-pt jump shot from 25 ft,,1,22,14,8,718.0
0:02.0,Defensive rebound by J. Embiid,14-22, ,,1,22,14,8,718.0
0:00.0,J. Embiid misses 3-pt jump shot from 52 ft,14-22, ,,1,22,14,8,720.0
0:00.0,Offensive rebound by Team,14-22, ,,1,22,14,8,720.0
0:00.0,End of 1st quarter,14-22,,,1,22,14,8,720.0
12:00.0,Start of 2nd quarter,14-22,,,2,22,14,8,720.0
11:47.0, ,14-22,Shooting foul by D. Green (drawn by T. Herro),,2,22,14,8,733.0
11:47.0, ,14-23,T. Herro makes free throw 1 of 2,,2,23,14,9,733.0
11:47.0, ,14-24,T. Herro makes free throw 2 of 2,,2,24,14,10,733.0
11:36.0,G. Niang misses 3-pt jump shot from 28 ft,14-24, ,,2,24,14,10,744.0
11:32.0,Offensive rebound by P. Millsap,14-24, ,,2,24,14,10,748.0
11:30.0,S. Milton misses 3-pt jump shot from 27 ft,14-24, ,,2,24,14,10,750.0
11:26.0, ,14-24,Defensive rebound by D. Dedmon,,2,24,14,10,754.0
11:23.0, ,14-27,T. Herro makes 3-pt jump shot from 26 ft,,2,27,14,13,757.0
10:57.0,P. Millsap misses 2-pt jump shot from 11 ft,14-27, ,,2,27,14,13,783.0
10:56.0,Offensive rebound by D. Green,14-27, ,,2,27,14,13,784.0
10:54.0,D. Green misses 2-pt layup from 1 ft,14-27, ,,2,27,14,13,786.0
10:54.0, ,14-27,Defensive rebound by M. Strus,,2,27,14,13,786.0
10:45.0, ,14-30,M. Strus makes 3-pt jump shot from 24 ft (assist by G. Vincent),,2,30,14,16,795.0
10:43.0,Philadelphia full timeout,14-30, ,,2,30,14,16,797.0
10:22.0,T. Maxey misses 3-pt jump shot from 29 ft,14-30, ,,2,30,14,16,818.0
10:20.0,Offensive rebound by D. Green,14-30, ,,2,30,14,16,820.0
10:19.0,P. Millsap misses 3-pt jump shot from 23 ft,14-30, ,,2,30,14,16,821.0
10:19.0,Turnover by Team (shot clock),14-30, ,,2,30,14,16,821.0
10:19.0,Offensive rebound by Team,14-30, ,,2,30,14,16,821.0
10:05.0, ,14-30,Shooting foul by P. Millsap (drawn by D. Dedmon),,2,30,14,16,835.0
10:05.0, ,14-31,D. Dedmon makes free throw 1 of 2,,2,31,14,17,835.0
10:05.0,T. Harris enters the game for D. Green,14-31, ,,2,31,14,17,835.0
10:05.0, ,14-32,D. Dedmon makes free throw 2 of 2,,2,32,14,18,835.0
