Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:51.0, ,7-7,D. Russell misses 3-pt jump shot from 24 ft,,1,7,7,0,189.0
8:49.0, ,7-7,Offensive rebound by K. Towns,,1,7,7,0,191.0
8:49.0, ,7-7,Personal foul by P. Tucker (drawn by K. Towns),,1,7,7,0,191.0
8:42.0, ,7-9,K. Towns makes 2-pt jump shot from 13 ft (assist by P. Beverley),Lead change,1,7,9,-2,198.0
8:32.0,Turnover by K. Lowry (bad pass; steal by J. Vanderbilt),7-9, ,,1,7,9,-2,208.0
8:14.0, ,7-9,K. Towns misses 2-pt layup from 4 ft,,1,7,9,-2,226.0
8:12.0,Defensive rebound by Team,7-9, ,,1,7,9,-2,228.0
7:59.0,J. Butler misses 3-pt jump shot from 25 ft,7-9, ,,1,7,9,-2,241.0
7:56.0, ,7-9,Defensive rebound by J. Vanderbilt,,1,7,9,-2,244.0
7:42.0, ,7-11,K. Towns makes 2-pt layup from 3 ft,,1,7,11,-4,258.0
7:37.0,B. Adebayo makes 2-pt jump shot from 5 ft,9-11, ,,1,9,11,-2,263.0
7:37.0,Shooting foul by K. Towns (drawn by B. Adebayo),9-11, ,,1,9,11,-2,263.0
7:37.0,B. Adebayo makes free throw 1 of 1,10-11, ,,1,10,11,-1,263.0
7:28.0, ,10-11,Offensive foul by K. Towns (drawn by K. Lowry),,1,10,11,-1,272.0
7:28.0, ,10-11,Turnover by K. Towns (offensive foul),,1,10,11,-1,272.0
7:28.0, ,10-11,N. Reid enters the game for K. Towns,,1,10,11,-1,272.0
7:14.0,D. Robinson misses 3-pt jump shot from 23 ft,10-11, ,,1,10,11,-1,286.0
7:11.0, ,10-11,Defensive rebound by J. Vanderbilt,,1,10,11,-1,289.0
6:53.0, ,10-11,D. Russell misses 2-pt jump shot from 14 ft,,1,10,11,-1,307.0
6:49.0, ,10-11,Offensive rebound by J. Vanderbilt,,1,10,11,-1,311.0
6:49.0, ,10-11,J. Vanderbilt misses 2-pt layup at rim,,1,10,11,-1,311.0
6:46.0, ,10-11,P. Beverley misses 3-pt jump shot from 25 ft,,1,10,11,-1,314.0
6:42.0,Defensive rebound by K. Lowry,10-11, ,,1,10,11,-1,318.0
6:37.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),12-11, ,Lead change,1,12,11,1,323.0
6:33.0, ,12-11,Minnesota full timeout,,1,12,11,1,327.0
6:33.0, ,12-11,Technical foul by C. Finch,,1,12,11,1,327.0
6:33.0, ,12-11,M. Beasley enters the game for P. Beverley,,1,12,11,1,327.0
6:33.0,J. Butler makes technical free throw,13-11, ,,1,13,11,2,327.0
6:18.0, ,13-11,N. Reid misses 2-pt hook shot from 10 ft,,1,13,11,2,342.0
6:16.0,Defensive rebound by B. Adebayo,13-11, ,,1,13,11,2,344.0
6:06.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Adebayo),16-11, ,,1,16,11,5,354.0
5:48.0, ,16-14,D. Russell makes 3-pt jump shot from 25 ft (assist by N. Reid),,1,16,14,2,372.0
5:28.0,K. Lowry misses 3-pt jump shot from 25 ft,16-14, ,,1,16,14,2,392.0
5:25.0, ,16-14,Defensive rebound by J. Vanderbilt,,1,16,14,2,395.0
5:21.0, ,16-14,Turnover by D. Russell (lost ball; steal by K. Lowry),,1,16,14,2,399.0
5:16.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),18-14, ,,1,18,14,4,404.0
4:59.0, ,18-14,Personal foul by D. Robinson (drawn by D. Russell),,1,18,14,4,421.0
4:59.0,T. Herro enters the game for K. Lowry,18-14, ,,1,18,14,4,421.0
4:48.0, ,18-16,A. Edwards makes 2-pt layup from 2 ft,,1,18,16,2,432.0
4:33.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),20-16, ,,1,20,16,4,447.0
4:33.0,Shooting foul by N. Reid (drawn by B. Adebayo),20-16, ,,1,20,16,4,447.0
4:33.0, ,20-16,J. McDaniels enters the game for J. Vanderbilt,,1,20,16,4,447.0
4:33.0,B. Adebayo misses free throw 1 of 1,20-16, ,,1,20,16,4,447.0
4:31.0, ,20-16,Defensive rebound by J. McDaniels,,1,20,16,4,449.0
4:21.0, ,20-19,M. Beasley makes 3-pt jump shot from 25 ft,,1,20,19,1,459.0
4:07.0,B. Adebayo misses 2-pt layup from 3 ft,20-19, ,,1,20,19,1,473.0
4:06.0, ,20-19,Defensive rebound by A. Edwards,,1,20,19,1,474.0
3:57.0, ,20-19,N. Reid misses 3-pt jump shot from 27 ft,,1,20,19,1,483.0
3:53.0, ,20-19,Offensive rebound by A. Edwards,,1,20,19,1,487.0
3:52.0, ,20-21,A. Edwards makes 2-pt jump shot from 8 ft,Lead change,1,20,21,-1,488.0
3:52.0,Miami full timeout,20-21, ,,1,20,21,-1,488.0
3:52.0,D. Dedmon enters the game for B. Adebayo,20-21, ,,1,20,21,-1,488.0
3:52.0, ,20-21,J. McLaughlin enters the game for D. Russell,,1,20,21,-1,488.0
3:34.0,Turnover by T. Herro (bad pass; steal by J. McDaniels),20-21, ,,1,20,21,-1,506.0
3:29.0, ,20-23,M. Beasley makes 2-pt layup from 2 ft (assist by J. McLaughlin),,1,20,23,-3,511.0
3:11.0,T. Herro misses 3-pt jump shot from 25 ft,20-23, ,,1,20,23,-3,529.0
3:10.0,Offensive rebound by Team,20-23, ,,1,20,23,-3,530.0
3:00.0,T. Herro misses 2-pt jump shot from 19 ft (block by M. Beasley),20-23, ,,1,20,23,-3,540.0
2:56.0, ,20-23,Defensive rebound by A. Edwards,,1,20,23,-3,544.0
2:53.0, ,20-26,J. McDaniels makes 3-pt jump shot from 23 ft (assist by J. McLaughlin),,1,20,26,-6,547.0
2:38.0, ,20-26,Violation by Team (kicked ball),,1,20,26,-6,562.0
2:38.0,C. Martin enters the game for D. Robinson,20-26, ,,1,20,26,-6,562.0
2:38.0,G. Vincent enters the game for P. Tucker,20-26, ,,1,20,26,-6,562.0
2:32.0,T. Herro misses 3-pt jump shot from 24 ft,20-26, ,,1,20,26,-6,568.0
2:30.0,Offensive rebound by D. Dedmon,20-26, ,,1,20,26,-6,570.0
2:30.0,Shooting foul by J. McDaniels (drawn by D. Dedmon),20-26, ,,1,20,26,-6,570.0
2:30.0,D. Dedmon makes free throw 1 of 2,21-26, ,,1,21,26,-5,570.0
2:30.0,D. Dedmon makes free throw 2 of 2,22-26, ,,1,22,26,-4,570.0
2:11.0, ,22-26,Turnover by J. McLaughlin (bad pass),,1,22,26,-4,589.0
1:53.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by J. Butler),25-26, ,,1,25,26,-1,607.0
1:43.0, ,25-26,J. McDaniels misses 2-pt layup from 4 ft,,1,25,26,-1,617.0
1:41.0, ,25-26,Offensive rebound by N. Reid,,1,25,26,-1,619.0
1:41.0, ,25-26,N. Reid misses 2-pt layup at rim,,1,25,26,-1,619.0
1:40.0,Defensive rebound by J. Butler,25-26, ,,1,25,26,-1,620.0
1:36.0,G. Vincent misses 3-pt jump shot from 27 ft,25-26, ,,1,25,26,-1,624.0
1:31.0, ,25-26,Defensive rebound by A. Edwards,,1,25,26,-1,629.0
1:17.0, ,25-26,A. Edwards misses 3-pt jump shot from 26 ft,,1,25,26,-1,643.0
1:17.0,Defensive rebound by D. Dedmon,25-26, ,,1,25,26,-1,643.0
1:02.0,T. Herro misses 2-pt jump shot from 12 ft,25-26, ,,1,25,26,-1,658.0
0:59.0, ,25-26,Defensive rebound by A. Edwards,,1,25,26,-1,661.0
0:56.0, ,25-26,J. McLaughlin misses 3-pt jump shot from 24 ft,,1,25,26,-1,664.0
0:56.0,Defensive rebound by J. Butler,25-26, ,,1,25,26,-1,664.0
0:49.0,Personal foul by N. Reid (drawn by D. Dedmon),25-26, ,,1,25,26,-1,671.0
0:49.0,D. Dedmon makes free throw 1 of 2,26-26, ,Tie,1,26,26,0,671.0
0:49.0,K. Lowry enters the game for J. Butler,26-26, ,,1,26,26,0,671.0
0:49.0,D. Dedmon makes free throw 2 of 2,27-26, ,Lead change,1,27,26,1,671.0
0:37.0, ,27-26,Def 3 sec tech foul by Team,,1,27,26,1,683.0
0:37.0, ,27-27,M. Beasley makes technical free throw,Tie,1,27,27,0,683.0
0:33.0, ,27-30,M. Beasley makes 3-pt jump shot from 27 ft,Lead change,1,27,30,-3,687.0
0:09.0,Turnover by K. Lowry (bad pass),27-30, ,,1,27,30,-3,711.0
0:01.0, ,27-30,A. Edwards misses 2-pt jump shot from 19 ft,,1,27,30,-3,719.0
0:00.0,Defensive rebound by C. Martin,27-30, ,,1,27,30,-3,720.0
0:00.0,End of 1st quarter,27-30,,,1,27,30,-3,720.0
12:00.0,Start of 2nd quarter,27-30,,,2,27,30,-3,720.0
11:41.0,Shooting foul by M. Beasley (drawn by C. Martin),27-30, ,,2,27,30,-3,739.0
11:41.0,C. Martin misses free throw 1 of 2,27-30, ,,2,27,30,-3,739.0
11:41.0,Offensive rebound by Team,27-30, ,,2,27,30,-3,739.0
11:41.0,C. Martin makes free throw 2 of 2,28-30, ,,2,28,30,-2,739.0
11:22.0, ,28-30,J. McDaniels misses 3-pt jump shot from 26 ft,,2,28,30,-2,758.0
11:21.0, ,28-30,Offensive rebound by Team,,2,28,30,-2,759.0
11:18.0, ,28-30,M. Beasley misses 3-pt jump shot from 25 ft,,2,28,30,-2,762.0
11:14.0, ,28-30,Offensive rebound by N. Reid,,2,28,30,-2,766.0
11:13.0, ,28-30,M. Beasley misses 3-pt jump shot from 23 ft,,2,28,30,-2,767.0
11:13.0,Defensive rebound by G. Vincent,28-30, ,,2,28,30,-2,767.0
10:59.0,Offensive foul by D. Dedmon (drawn by M. Beasley),28-30, ,,2,28,30,-2,781.0
10:59.0,Turnover by D. Dedmon (offensive foul),28-30, ,,2,28,30,-2,781.0
10:48.0, ,28-30,D. Russell misses 3-pt jump shot from 27 ft,,2,28,30,-2,792.0
10:44.0,Defensive rebound by D. Dedmon,28-30, ,,2,28,30,-2,796.0
10:39.0,G. Vincent misses 2-pt layup from 2 ft,28-30, ,,2,28,30,-2,801.0
10:35.0, ,28-30,Defensive rebound by N. Reid,,2,28,30,-2,805.0
10:33.0, ,28-30,Turnover by J. McDaniels (step out of bounds),,2,28,30,-2,807.0
10:33.0,B. Adebayo enters the game for D. Dedmon,28-30, ,,2,28,30,-2,807.0
10:21.0,T. Herro misses 2-pt layup from 3 ft (block by N. Reid),28-30, ,,2,28,30,-2,819.0
10:19.0, ,28-30,Defensive rebound by D. Russell,,2,28,30,-2,821.0
10:13.0, ,28-30,M. Beasley misses 3-pt jump shot from 25 ft,,2,28,30,-2,827.0
10:11.0,Defensive rebound by C. Martin,28-30, ,,2,28,30,-2,829.0
10:07.0,G. Vincent makes 3-pt jump shot from 25 ft (assist by C. Martin),31-30, ,Lead change,2,31,30,1,833.0
9:59.0, ,31-30,Turnover by J. McDaniels (bad pass),,2,31,30,1,841.0
9:44.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),34-30, ,,2,34,30,4,856.0
9:31.0, ,34-30,Shooting foul by B. Adebayo (drawn by M. Beasley),,2,34,30,4,869.0
9:31.0, ,34-31,M. Beasley makes free throw 1 of 2,,2,34,31,3,869.0
9:31.0, ,34-32,M. Beasley makes free throw 2 of 2,,2,34,32,2,869.0
9:22.0, ,34-32,Violation by Team (kicked ball),,2,34,32,2,878.0
9:15.0,G. Vincent misses 3-pt jump shot from 25 ft,34-32, ,,2,34,32,2,885.0
9:11.0, ,34-32,Defensive rebound by D. Russell,,2,34,32,2,889.0
9:06.0, ,34-35,M. Beasley makes 3-pt jump shot from 23 ft (assist by D. Russell),Lead change,2,34,35,-1,894.0
8:52.0,T. Herro misses 2-pt jump shot from 16 ft (block by D. Russell),34-35, ,,2,34,35,-1,908.0
8:48.0, ,34-35,Defensive rebound by N. Reid,,2,34,35,-1,912.0
8:43.0, ,34-35,Turnover by D. Russell (bad pass; steal by G. Vincent),,2,34,35,-1,917.0
8:36.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by G. Vincent),37-35, ,Lead change,2,37,35,2,924.0
8:16.0, ,37-35,M. Beasley misses 3-pt jump shot from 25 ft,,2,37,35,2,944.0
8:14.0,Defensive rebound by K. Lowry,37-35, ,,2,37,35,2,946.0
8:11.0,K. Lowry misses 3-pt jump shot from 25 ft,37-35, ,,2,37,35,2,949.0
8:07.0,Offensive rebound by B. Adebayo,37-35, ,,2,37,35,2,953.0
8:05.0,T. Herro makes 3-pt jump shot from 26 ft (assist by G. Vincent),40-35, ,,2,40,35,5,955.0
7:43.0, ,40-35,T. Prince misses 3-pt jump shot from 24 ft,,2,40,35,5,977.0
7:41.0,Defensive rebound by T. Herro,40-35, ,,2,40,35,5,979.0
7:38.0,Shooting foul by T. Prince (drawn by B. Adebayo),40-35, ,,2,40,35,5,982.0
7:38.0,B. Adebayo makes free throw 1 of 2,41-35, ,,2,41,35,6,982.0
7:38.0, ,41-35,Defensive rebound by T. Prince,,2,41,35,6,982.0
7:38.0, ,41-35,A. Edwards enters the game for M. Beasley,,2,41,35,6,982.0
7:38.0, ,41-35,J. Vanderbilt enters the game for J. McDaniels,,2,41,35,6,982.0
7:38.0,B. Adebayo misses free throw 2 of 2,41-35, ,,2,41,35,6,982.0
7:22.0, ,41-35,T. Prince misses 3-pt jump shot from 23 ft,,2,41,35,6,998.0
7:19.0,Defensive rebound by B. Adebayo,41-35, ,,2,41,35,6,1001.0
7:15.0,B. Adebayo makes 2-pt layup from 3 ft,43-35, ,,2,43,35,8,1005.0
6:57.0, ,43-35,Shooting foul by G. Vincent (drawn by N. Reid),,2,43,35,8,1023.0
6:57.0, ,43-35,Minnesota full timeout,,2,43,35,8,1023.0
6:57.0,J. Butler enters the game for K. Lowry,43-35, ,,2,43,35,8,1023.0
6:57.0,D. Robinson enters the game for C. Martin,43-35, ,,2,43,35,8,1023.0
6:57.0, ,43-36,N. Reid makes free throw 1 of 2,,2,43,36,7,1023.0
6:57.0, ,43-37,N. Reid makes free throw 2 of 2,,2,43,37,6,1023.0
6:37.0,Shooting foul by J. Vanderbilt (drawn by B. Adebayo),43-37, ,,2,43,37,6,1043.0
6:37.0,B. Adebayo makes free throw 1 of 2,44-37, ,,2,44,37,7,1043.0
6:37.0,B. Adebayo misses free throw 2 of 2,44-37, ,,2,44,37,7,1043.0
6:36.0, ,44-37,Defensive rebound by Team,,2,44,37,7,1044.0
6:36.0,Loose ball foul by G. Vincent (drawn by N. Reid),44-37, ,,2,44,37,7,1044.0
6:15.0, ,44-37,T. Prince misses 3-pt jump shot from 26 ft,,2,44,37,7,1065.0
6:10.0,Defensive rebound by T. Herro,44-37, ,,2,44,37,7,1070.0
5:57.0,T. Herro misses 3-pt jump shot from 23 ft,44-37, ,,2,44,37,7,1083.0
5:54.0, ,44-37,Defensive rebound by N. Reid,,2,44,37,7,1086.0
5:49.0, ,44-37,A. Edwards misses 2-pt layup from 3 ft,,2,44,37,7,1091.0
5:45.0,Defensive rebound by T. Herro,44-37, ,,2,44,37,7,1095.0
5:40.0, ,44-37,Violation by Team (kicked ball),,2,44,37,7,1100.0
5:40.0, ,44-37,M. Beasley enters the game for T. Prince,,2,44,37,7,1100.0
5:40.0, ,44-37,J. McLaughlin enters the game for D. Russell,,2,44,37,7,1100.0
5:37.0,G. Vincent makes 2-pt layup from 3 ft (assist by J. Butler),46-37, ,,2,46,37,9,1103.0
5:19.0, ,46-37,N. Reid misses 3-pt jump shot from 25 ft,,2,46,37,9,1121.0
5:17.0,Defensive rebound by T. Herro,46-37, ,,2,46,37,9,1123.0
5:10.0,Turnover by T. Herro (bad pass; steal by J. Vanderbilt),46-37, ,,2,46,37,9,1130.0
5:07.0, ,46-39,A. Edwards makes 2-pt layup from 3 ft (assist by J. Vanderbilt),,2,46,39,7,1133.0
5:07.0, ,46-39,Shooting foul by T. Herro (drawn by A. Edwards),,2,46,39,7,1133.0
5:07.0,P. Tucker enters the game for B. Adebayo,46-39, ,,2,46,39,7,1133.0
5:07.0, ,46-39,J. McDaniels enters the game for N. Reid,,2,46,39,7,1133.0
5:07.0, ,46-40,A. Edwards makes free throw 1 of 1,,2,46,40,6,1133.0
4:48.0,T. Herro makes 3-pt jump shot from 25 ft (assist by P. Tucker),49-40, ,,2,49,40,9,1152.0
4:23.0, ,49-40,M. Beasley misses 2-pt layup from 3 ft,,2,49,40,9,1177.0
4:20.0, ,49-40,Offensive rebound by J. Vanderbilt,,2,49,40,9,1180.0
4:20.0, ,49-42,J. Vanderbilt makes 2-pt layup at rim,,2,49,42,7,1180.0
4:03.0,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Butler),52-42, ,,2,52,42,10,1197.0
3:48.0, ,52-42,Turnover by J. McLaughlin (bad pass; steal by D. Robinson),,2,52,42,10,1212.0
3:43.0,Shooting foul by J. McDaniels (drawn by J. Butler),52-42, ,,2,52,42,10,1217.0
3:43.0, ,52-42,Minnesota full timeout,,2,52,42,10,1217.0
3:43.0,K. Lowry enters the game for G. Vincent,52-42, ,,2,52,42,10,1217.0
3:43.0,J. Butler makes free throw 1 of 2,53-42, ,,2,53,42,11,1217.0
3:43.0,J. Butler makes free throw 2 of 2,54-42, ,,2,54,42,12,1217.0
3:25.0, ,54-45,A. Edwards makes 3-pt jump shot from 26 ft (assist by J. McLaughlin),,2,54,45,9,1235.0
3:07.0,Turnover by K. Lowry (bad pass; steal by A. Edwards),54-45, ,,2,54,45,9,1253.0
3:03.0, ,54-47,A. Edwards makes 2-pt dunk from 2 ft,,2,54,47,7,1257.0
2:57.0,Turnover by T. Herro (bad pass; steal by J. Vanderbilt),54-47, ,,2,54,47,7,1263.0
2:57.0, ,54-47,Personal take foul by K. Lowry (drawn by J. Vanderbilt),,2,54,47,7,1263.0
2:57.0, ,54-47,J. Vanderbilt misses free throw 1 of 2,,2,54,47,7,1263.0
2:57.0, ,54-47,Offensive rebound by Team,,2,54,47,7,1263.0
2:57.0,B. Adebayo enters the game for T. Herro,54-47, ,,2,54,47,7,1263.0
2:57.0, ,54-48,J. Vanderbilt makes free throw 2 of 2,,2,54,48,6,1263.0
2:42.0,D. Robinson makes 2-pt jump shot from 15 ft (assist by B. Adebayo),56-48, ,,2,56,48,8,1278.0
2:18.0, ,56-48,Turnover by A. Edwards (bad pass; steal by B. Adebayo),,2,56,48,8,1302.0
2:03.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),58-48, ,,2,58,48,10,1317.0
2:03.0,Shooting foul by M. Beasley (drawn by B. Adebayo),58-48, ,,2,58,48,10,1317.0
2:03.0, ,58-48,D. Russell enters the game for J. McLaughlin,,2,58,48,10,1317.0
2:03.0,B. Adebayo misses free throw 1 of 1,58-48, ,,2,58,48,10,1317.0
2:01.0, ,58-48,Defensive rebound by J. Vanderbilt,,2,58,48,10,1319.0
1:54.0, ,58-48,Personal foul by K. Lowry (drawn by M. Beasley),,2,58,48,10,1326.0
1:54.0, ,58-48,M. Beasley misses free throw 1 of 2,,2,58,48,10,1326.0
1:54.0, ,58-48,Offensive rebound by Team,,2,58,48,10,1326.0
1:54.0, ,58-49,M. Beasley makes free throw 2 of 2,,2,58,49,9,1326.0
1:47.0,Personal foul by J. McDaniels (drawn by B. Adebayo),58-49, ,,2,58,49,9,1333.0
1:47.0,B. Adebayo makes free throw 1 of 2,59-49, ,,2,59,49,10,1333.0
1:47.0, ,59-49,N. Reid enters the game for J. McDaniels,,2,59,49,10,1333.0
1:47.0,B. Adebayo misses free throw 2 of 2,59-49, ,,2,59,49,10,1333.0
1:43.0, ,59-49,Defensive rebound by J. Vanderbilt,,2,59,49,10,1337.0
1:24.0, ,59-49,M. Beasley misses 3-pt jump shot from 25 ft,,2,59,49,10,1356.0
1:22.0,Defensive rebound by Team,59-49, ,,2,59,49,10,1358.0
1:19.0,D. Robinson misses 3-pt jump shot from 25 ft,59-49, ,,2,59,49,10,1361.0
1:17.0, ,59-49,Defensive rebound by N. Reid,,2,59,49,10,1363.0
1:06.0, ,59-49,A. Edwards misses 3-pt jump shot from 24 ft,,2,59,49,10,1374.0
1:03.0,Defensive rebound by K. Lowry,59-49, ,,2,59,49,10,1377.0
0:57.0,Offensive foul by B. Adebayo (drawn by N. Reid),59-49, ,,2,59,49,10,1383.0
0:57.0,Turnover by B. Adebayo (offensive foul),59-49, ,,2,59,49,10,1383.0
0:57.0,D. Dedmon enters the game for B. Adebayo,59-49, ,,2,59,49,10,1383.0
0:46.0, ,59-49,D. Russell misses 2-pt jump shot from 7 ft,,2,59,49,10,1394.0
0:46.0, ,59-49,Offensive rebound by J. Vanderbilt,,2,59,49,10,1394.0
0:36.0, ,59-51,J. Vanderbilt makes 2-pt layup from 3 ft (assist by A. Edwards),,2,59,51,8,1404.0
0:36.0, ,59-51,Shooting foul by K. Lowry (drawn by J. Vanderbilt),,2,59,51,8,1404.0
0:36.0,T. Herro enters the game for K. Lowry,59-51, ,,2,59,51,8,1404.0
0:36.0, ,59-52,J. Vanderbilt makes free throw 1 of 1,,2,59,52,7,1404.0
0:29.0,D. Dedmon makes 2-pt layup from 4 ft (assist by T. Herro),61-52, ,,2,61,52,9,1411.0
0:29.0,Shooting foul by J. Vanderbilt (drawn by D. Dedmon),61-52, ,,2,61,52,9,1411.0
0:29.0,D. Dedmon makes free throw 1 of 1,62-52, ,,2,62,52,10,1411.0
0:10.0, ,62-54,M. Beasley makes 2-pt layup from 3 ft (assist by D. Russell),,2,62,54,8,1430.0
0:00.0,T. Herro misses 3-pt jump shot from 26 ft,62-54, ,,2,62,54,8,1440.0
0:00.0,Offensive rebound by Team,62-54, ,,2,62,54,8,1440.0
0:00.0,End of 2nd quarter,62-54,,,2,62,54,8,1440.0
12:00.0,Start of 3rd quarter,62-54,,,3,62,54,8,1440.0
11:38.0,P. Tucker misses 3-pt jump shot from 24 ft,62-54, ,,3,62,54,8,1462.0
11:31.0, ,62-54,Defensive rebound by A. Edwards,,3,62,54,8,1469.0
11:14.0, ,62-54,K. Towns misses 2-pt jump shot from 22 ft,,3,62,54,8,1486.0
11:11.0,Defensive rebound by J. Butler,62-54, ,,3,62,54,8,1489.0
11:06.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),65-54, ,,3,65,54,11,1494.0
10:49.0, ,65-54,A. Edwards misses 2-pt jump shot from 17 ft,,3,65,54,11,1511.0
10:46.0,Defensive rebound by P. Tucker,65-54, ,,3,65,54,11,1514.0
10:40.0,K. Lowry misses 3-pt jump shot from 26 ft,65-54, ,,3,65,54,11,1520.0
10:39.0, ,65-54,Defensive rebound by Team,,3,65,54,11,1521.0
10:28.0, ,65-54,Shooting foul by K. Lowry (drawn by J. Vanderbilt),,3,65,54,11,1532.0
10:28.0, ,65-55,J. Vanderbilt makes free throw 1 of 2,,3,65,55,10,1532.0
10:28.0, ,65-56,J. Vanderbilt makes free throw 2 of 2,,3,65,56,9,1532.0
10:15.0,Personal foul by A. Edwards (drawn by P. Tucker),65-56, ,,3,65,56,9,1545.0
10:13.0,Offensive foul by K. Lowry (drawn by J. Vanderbilt),65-56, ,,3,65,56,9,1547.0
10:13.0,Turnover by K. Lowry (offensive foul),65-56, ,,3,65,56,9,1547.0
10:13.0,G. Vincent enters the game for K. Lowry,65-56, ,,3,65,56,9,1547.0
10:13.0,Technical foul by K. Lowry,65-56, ,,3,65,56,9,1547.0
10:13.0, ,65-57,M. Beasley makes technical free throw,,3,65,57,8,1547.0
9:51.0, ,65-59,K. Towns makes 2-pt hook shot from 9 ft,,3,65,59,6,1569.0
9:32.0,D. Robinson misses 3-pt jump shot from 23 ft,65-59, ,,3,65,59,6,1588.0
9:30.0, ,65-59,Defensive rebound by Team,,3,65,59,6,1590.0
9:30.0,Loose ball foul by B. Adebayo (drawn by K. Towns),65-59, ,,3,65,59,6,1590.0
9:13.0, ,65-62,A. Edwards makes 3-pt jump shot from 25 ft (assist by K. Towns),,3,65,62,3,1607.0
8:50.0,G. Vincent makes 3-pt jump shot from 25 ft (assist by D. Robinson),68-62, ,,3,68,62,6,1630.0
8:45.0, ,68-62,Turnover by D. Russell (lost ball; steal by J. Butler),,3,68,62,6,1635.0
8:40.0,Turnover by D. Robinson (lost ball; steal by D. Russell),68-62, ,,3,68,62,6,1640.0
8:36.0, ,68-64,A. Edwards makes 2-pt dunk from 2 ft (assist by D. Russell),,3,68,64,4,1644.0
8:22.0,D. Robinson misses 3-pt jump shot from 23 ft,68-64, ,,3,68,64,4,1658.0
8:18.0, ,68-64,Defensive rebound by J. Vanderbilt,,3,68,64,4,1662.0
8:16.0, ,68-64,D. Russell misses 3-pt jump shot from 25 ft,,3,68,64,4,1664.0
8:15.0,Defensive rebound by J. Butler,68-64, ,,3,68,64,4,1665.0
8:07.0,G. Vincent misses 3-pt jump shot from 25 ft,68-64, ,,3,68,64,4,1673.0
8:05.0, ,68-64,Defensive rebound by J. Vanderbilt,,3,68,64,4,1675.0
7:46.0, ,68-64,Personal foul by G. Vincent (drawn by K. Towns),,3,68,64,4,1694.0
