Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:33.0, ,28-21,Offensive rebound by Team,,1,21,28,-7,567.0
2:33.0, ,28-22,J. Butler makes free throw 2 of 2,,1,22,28,-6,567.0
2:16.0,A. Sengun makes 2-pt hook shot from 6 ft,30-22, ,,1,22,30,-8,584.0
2:16.0, ,30-22,V. Oladipo enters the game for D. Robinson,,1,22,30,-8,584.0
1:50.0, ,30-22,T. Herro misses 2-pt jump shot from 21 ft,,1,22,30,-8,610.0
1:47.0,Defensive rebound by K. Martin,30-22, ,,1,22,30,-8,613.0
1:39.0,Offensive foul by A. Sengun (drawn by V. Oladipo),30-22, ,,1,22,30,-8,621.0
1:39.0,Turnover by A. Sengun (offensive foul),30-22, ,,1,22,30,-8,621.0
1:39.0,D. Nix enters the game for K. Porter,30-22, ,,1,22,30,-8,621.0
1:39.0,J. Tate enters the game for A. Sengun,30-22, ,,1,22,30,-8,621.0
1:25.0, ,30-22,Turnover by T. Herro (step out of bounds),,1,22,30,-8,635.0
1:15.0,G. Mathews misses 3-pt jump shot from 27 ft,30-22, ,,1,22,30,-8,645.0
1:12.0, ,30-22,Defensive rebound by J. Butler,,1,22,30,-8,648.0
1:04.0, ,30-24,J. Butler makes 2-pt layup from 2 ft,,1,24,30,-6,656.0
1:04.0, ,30-24,Shooting foul by D. Nix (drawn by J. Butler),,1,24,30,-6,656.0
1:04.0,D. Nwaba enters the game for J. Christopher,30-24, ,,1,24,30,-6,656.0
1:04.0, ,30-25,J. Butler makes free throw 1 of 1,,1,25,30,-5,656.0
0:49.0,D. Nwaba makes 2-pt layup from 2 ft (assist by J. Tate),32-25, ,,1,25,32,-7,671.0
0:49.0, ,32-25,Turnover by J. Butler (out of bounds lost ball),,1,25,32,-7,671.0
0:49.0, ,32-25,K. Lowry enters the game for J. Butler,,1,25,32,-7,671.0
0:31.0,D. Nix misses 2-pt layup from 1 ft,32-25, ,,1,25,32,-7,689.0
0:28.0, ,32-25,Defensive rebound by V. Oladipo,,1,25,32,-7,692.0
0:20.0,Violation by Team (kicked ball),32-25, ,,1,25,32,-7,700.0
0:12.0, ,32-25,T. Herro misses 2-pt jump shot from 8 ft,,1,25,32,-7,708.0
0:09.0,Defensive rebound by D. Nwaba,32-25, ,,1,25,32,-7,711.0
0:00.0,D. Nwaba misses 3-pt jump shot from 23 ft,32-25, ,,1,25,32,-7,720.0
0:00.0,Offensive rebound by Team,32-25, ,,1,25,32,-7,720.0
0:00.0,End of 1st quarter,32-25,,,1,25,32,-7,720.0
12:00.0,Start of 2nd quarter,32-25,,,2,25,32,-7,720.0
11:47.0,G. Mathews misses 3-pt jump shot from 26 ft,32-25, ,,2,25,32,-7,733.0
11:44.0, ,32-25,Defensive rebound by D. Dedmon,,2,25,32,-7,736.0
11:25.0, ,32-27,D. Dedmon makes 2-pt jump shot from 18 ft,,2,27,32,-5,755.0
11:10.0,Offensive foul by J. Tate (drawn by D. Dedmon),32-27, ,,2,27,32,-5,770.0
11:10.0,Turnover by J. Tate (offensive foul),32-27, ,,2,27,32,-5,770.0
10:55.0, ,32-27,V. Oladipo misses 3-pt jump shot from 26 ft,,2,27,32,-5,785.0
10:53.0,Defensive rebound by D. Nwaba,32-27, ,,2,27,32,-5,787.0
10:48.0,G. Mathews misses 3-pt jump shot from 23 ft,32-27, ,,2,27,32,-5,792.0
10:47.0, ,32-27,Defensive rebound by Team,,2,27,32,-5,793.0
10:47.0,Loose ball foul by K. Martin (drawn by K. Lowry),32-27, ,,2,27,32,-5,793.0
10:31.0, ,32-30,C. Martin makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,2,30,32,-2,809.0
10:13.0,K. Martin makes 2-pt layup from 3 ft (assist by D. Nix),34-30, ,,2,30,34,-4,827.0
10:13.0,Shooting foul by D. Dedmon (drawn by K. Martin),34-30, ,,2,30,34,-4,827.0
10:13.0,K. Martin makes free throw 1 of 1,35-30, ,,2,30,35,-5,827.0
10:05.0, ,35-30,Turnover by T. Herro (out of bounds lost ball),,2,30,35,-5,835.0
9:49.0,Shooting foul by D. Dedmon (drawn by D. Nix),35-30, ,,2,30,35,-5,851.0
9:49.0,D. Nix makes free throw 1 of 2,36-30, ,,2,30,36,-6,851.0
9:49.0,D. Nix makes free throw 2 of 2,37-30, ,,2,30,37,-7,851.0
9:34.0, ,37-32,T. Herro makes 2-pt layup from 3 ft (assist by D. Dedmon),,2,32,37,-5,866.0
9:28.0,D. Nwaba misses 2-pt layup from 1 ft (block by D. Dedmon),37-32, ,,2,32,37,-5,872.0
9:28.0,Offensive rebound by Team,37-32, ,,2,32,37,-5,872.0
9:20.0,D. Nix makes 2-pt layup from 1 ft (assist by K. Martin),39-32, ,,2,32,39,-7,880.0
9:03.0, ,39-32,T. Herro misses 3-pt jump shot from 28 ft,,2,32,39,-7,897.0
9:03.0,Defensive rebound by Team,39-32, ,,2,32,39,-7,897.0
9:03.0, ,39-32,Loose ball foul by D. Dedmon (drawn by G. Mathews),,2,32,39,-7,897.0
9:03.0, ,39-32,B. Adebayo enters the game for D. Dedmon,,2,32,39,-7,897.0
8:49.0,D. Nwaba misses 2-pt layup from 1 ft,39-32, ,,2,32,39,-7,911.0
8:47.0, ,39-32,Defensive rebound by B. Adebayo,,2,32,39,-7,913.0
8:45.0, ,39-32,Turnover by V. Oladipo (lost ball; steal by K. Martin),,2,32,39,-7,915.0
8:43.0,Shooting foul by K. Lowry (drawn by K. Martin),39-32, ,,2,32,39,-7,917.0
8:43.0,Instant Replay (Request: Stands),39-32, ,,2,32,39,-7,917.0
8:43.0,K. Martin misses free throw 1 of 2,39-32, ,,2,32,39,-7,917.0
8:43.0,Offensive rebound by Team,39-32, ,,2,32,39,-7,917.0
8:43.0,K. Martin makes free throw 2 of 2,40-32, ,,2,32,40,-8,917.0
8:18.0, ,40-32,C. Martin misses 2-pt jump shot from 13 ft,,2,32,40,-8,942.0
8:15.0,Defensive rebound by K. Martin,40-32, ,,2,32,40,-8,945.0
8:06.0,J. Tate misses 3-pt jump shot from 26 ft,40-32, ,,2,32,40,-8,954.0
8:02.0, ,40-32,Defensive rebound by T. Herro,,2,32,40,-8,958.0
7:56.0, ,40-32,V. Oladipo misses 2-pt layup from 3 ft,,2,32,40,-8,964.0
7:52.0,Defensive rebound by J. Tate,40-32, ,,2,32,40,-8,968.0
