Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:03.0, ,17-24,Loose ball foul by D. Dedmon (drawn by L. Kennard),,1,24,17,7,657.0
1:03.0,L. Kennard makes free throw 1 of 2,18-24, ,,1,24,18,6,657.0
1:03.0, ,18-24,G. Vincent enters the game for J. Butler,,1,24,18,6,657.0
1:03.0,L. Kennard makes free throw 2 of 2,19-24, ,,1,24,19,5,657.0
0:52.0, ,19-26,T. Herro makes 2-pt jump shot from 8 ft (assist by M. Strus),,1,26,19,7,668.0
0:35.0,B. Boston misses 2-pt jump shot from 16 ft,19-26, ,,1,26,19,7,685.0
0:31.0, ,19-26,Defensive rebound by T. Herro,,1,26,19,7,689.0
0:29.0, ,19-26,T. Herro misses 3-pt jump shot from 31 ft,,1,26,19,7,691.0
0:24.0, ,19-26,Offensive rebound by C. Martin,,1,26,19,7,696.0
0:24.0, ,19-26,C. Martin misses 2-pt layup at rim,,1,26,19,7,696.0
0:24.0, ,19-26,Offensive rebound by M. Strus,,1,26,19,7,696.0
0:21.0, ,19-28,M. Strus makes 2-pt layup at rim,,1,28,19,9,699.0
0:12.0,J. Winslow misses 3-pt jump shot from 23 ft,19-28, ,,1,28,19,9,708.0
0:09.0, ,19-28,Defensive rebound by C. Martin,,1,28,19,9,711.0
0:01.0, ,19-28,Turnover by T. Herro (bad pass; steal by E. Bledsoe),,1,28,19,9,719.0
0:00.0,J. Winslow misses 2-pt jump shot from 6 ft,19-28, ,,1,28,19,9,720.0
0:00.0,Offensive rebound by Team,19-28, ,,1,28,19,9,720.0
0:00.0,End of 1st quarter,19-28,,,1,28,19,9,720.0
12:00.0,Start of 2nd quarter,19-28,,,2,28,19,9,720.0
11:50.0,L. Kennard misses 3-pt jump shot from 26 ft,19-28, ,,2,28,19,9,730.0
11:45.0,Offensive rebound by J. Winslow,19-28, ,,2,28,19,9,735.0
11:41.0,Turnover by E. Bledsoe (out of bounds lost ball),19-28, ,,2,28,19,9,739.0
11:15.0, ,19-31,G. Vincent makes 3-pt jump shot from 23 ft,,2,31,19,12,765.0
11:07.0,Turnover by B. Boston (step out of bounds),19-31, ,,2,31,19,12,773.0
10:56.0, ,19-31,M. Strus misses 3-pt jump shot from 27 ft,,2,31,19,12,784.0
10:54.0,Defensive rebound by L. Kennard,19-31, ,,2,31,19,12,786.0
10:45.0,Turnover by I. Hartenstein (off goaltending),19-31, ,,2,31,19,12,795.0
10:33.0, ,19-31,T. Herro misses 2-pt jump shot from 13 ft,,2,31,19,12,807.0
10:31.0,Defensive rebound by E. Bledsoe,19-31, ,,2,31,19,12,809.0
10:20.0,J. Winslow makes 2-pt jump shot from 8 ft,21-31, ,,2,31,21,10,820.0
10:01.0, ,21-31,D. Dedmon misses 2-pt layup from 4 ft (block by B. Boston),,2,31,21,10,839.0
10:01.0,Defensive rebound by L. Kennard,21-31, ,,2,31,21,10,839.0
9:55.0,B. Boston misses 2-pt layup from 2 ft,21-31, ,,2,31,21,10,845.0
9:55.0, ,21-31,Defensive rebound by G. Vincent,,2,31,21,10,845.0
9:47.0, ,21-33,T. Herro makes 2-pt jump shot from 12 ft,,2,33,21,12,853.0
9:35.0,I. Hartenstein makes 2-pt jump shot from 6 ft (assist by E. Bledsoe),23-33, ,,2,33,23,10,865.0
9:21.0, ,23-33,Turnover by D. Dedmon (lost ball; steal by J. Winslow),,2,33,23,10,879.0
9:18.0,Shooting foul by G. Vincent (drawn by E. Bledsoe),23-33, ,,2,33,23,10,882.0
9:18.0,E. Bledsoe makes free throw 1 of 2,24-33, ,,2,33,24,9,882.0
9:18.0,T. Mann enters the game for B. Boston,24-33, ,,2,33,24,9,882.0
9:18.0, ,24-33,B. Adebayo enters the game for D. Dedmon,,2,33,24,9,882.0
9:18.0,E. Bledsoe makes free throw 2 of 2,25-33, ,,2,33,25,8,882.0
9:03.0, ,25-33,M. Strus misses 3-pt jump shot from 23 ft,,2,33,25,8,897.0
9:00.0,Defensive rebound by E. Bledsoe,25-33, ,,2,33,25,8,900.0
8:54.0,E. Bledsoe misses 3-pt jump shot from 27 ft,25-33, ,,2,33,25,8,906.0
8:51.0, ,25-33,Defensive rebound by M. Strus,,2,33,25,8,909.0
8:47.0, ,25-33,G. Vincent misses 3-pt jump shot from 26 ft,,2,33,25,8,913.0
8:45.0,Defensive rebound by Team,25-33, ,,2,33,25,8,915.0
8:45.0,R. Jackson enters the game for E. Bledsoe,25-33, ,,2,33,25,8,915.0
8:25.0,J. Winslow makes 2-pt jump shot from 9 ft (assist by R. Jackson),27-33, ,,2,33,27,6,935.0
8:06.0, ,27-33,Turnover by C. Martin (step out of bounds),,2,33,27,6,954.0
7:44.0,L. Kennard misses 3-pt jump shot from 26 ft,27-33, ,,2,33,27,6,976.0
7:42.0, ,27-33,Defensive rebound by C. Martin,,2,33,27,6,978.0
7:29.0, ,27-33,T. Herro misses 2-pt jump shot from 8 ft,,2,33,27,6,991.0
7:27.0,Defensive rebound by I. Hartenstein,27-33, ,,2,33,27,6,993.0
7:26.0,Shooting foul by M. Strus (drawn by J. Winslow),27-33, ,,2,33,27,6,994.0
7:26.0,J. Winslow misses free throw 1 of 2,27-33, ,,2,33,27,6,994.0
7:26.0,Offensive rebound by Team,27-33, ,,2,33,27,6,994.0
7:26.0,I. Zubac enters the game for I. Hartenstein,27-33, ,,2,33,27,6,994.0
7:26.0, ,27-33,J. Butler enters the game for M. Strus,,2,33,27,6,994.0
7:26.0, ,27-33,D. Robinson enters the game for G. Vincent,,2,33,27,6,994.0
