Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:58.0,D. Dedmon enters the game for B. Adebayo,9-8, ,,1,9,8,1,302.0
6:58.0, ,9-8,D. Eubanks enters the game for T. Jones,,1,9,8,1,302.0
6:58.0, ,9-8,L. Walker enters the game for T. Young,,1,9,8,1,302.0
6:43.0,J. Butler misses 2-pt jump shot from 16 ft,9-8, ,,1,9,8,1,317.0
6:43.0, ,9-8,Defensive rebound by D. Vassell,,1,9,8,1,317.0
6:41.0, ,9-8,Shooting foul by K. Lowry (drawn by D. Vassell),,1,9,8,1,319.0
6:41.0, ,9-9,D. Vassell makes free throw 1 of 2,Tie,1,9,9,0,319.0
6:41.0, ,9-10,D. Vassell makes free throw 2 of 2,Lead change,1,9,10,-1,319.0
6:26.0,D. Dedmon misses 2-pt hook shot from 7 ft,9-10, ,,1,9,10,-1,334.0
6:24.0, ,9-10,Defensive rebound by D. Eubanks,,1,9,10,-1,336.0
6:15.0, ,9-12,D. Eubanks makes 2-pt dunk at rim (assist by D. White),,1,9,12,-3,345.0
6:02.0,D. Dedmon misses 2-pt layup from 1 ft (block by D. Eubanks),9-12, ,,1,9,12,-3,358.0
5:59.0, ,9-12,Defensive rebound by D. Eubanks,,1,9,12,-3,361.0
5:52.0, ,9-14,D. White makes 2-pt jump shot from 15 ft,,1,9,14,-5,368.0
5:38.0,D. Robinson misses 3-pt jump shot from 26 ft,9-14, ,,1,9,14,-5,382.0
5:34.0,Offensive rebound by J. Butler,9-14, ,,1,9,14,-5,386.0
5:31.0,J. Butler misses 2-pt layup from 3 ft,9-14, ,,1,9,14,-5,389.0
5:29.0, ,9-14,Defensive rebound by K. Johnson,,1,9,14,-5,391.0
5:22.0, ,9-14,D. White misses 3-pt jump shot from 25 ft,,1,9,14,-5,398.0
5:21.0, ,9-14,Offensive rebound by L. Walker,,1,9,14,-5,399.0
5:09.0, ,9-14,Turnover by D. White (lost ball; steal by P. Tucker),,1,9,14,-5,411.0
4:50.0,Turnover by K. Lowry (out of bounds lost ball),9-14, ,,1,9,14,-5,430.0
4:50.0,T. Herro enters the game for K. Lowry,9-14, ,,1,9,14,-5,430.0
4:50.0, ,9-14,J. Primo enters the game for D. Vassell,,1,9,14,-5,430.0
4:37.0, ,9-14,D. White misses 3-pt jump shot from 26 ft,,1,9,14,-5,443.0
4:33.0,Defensive rebound by T. Herro,9-14, ,,1,9,14,-5,447.0
4:26.0,Personal foul by D. White (drawn by T. Herro),9-14, ,,1,9,14,-5,454.0
4:26.0, ,9-14,T. Jones enters the game for D. White,,1,9,14,-5,454.0
4:26.0,Technical foul by K. Lowry,9-14, ,,1,9,14,-5,454.0
4:26.0, ,9-14,T. Jones misses technical free throw,,1,9,14,-5,454.0
4:26.0,Defensive rebound by Team,9-14, ,,1,9,14,-5,454.0
4:21.0,Turnover by D. Dedmon (bad pass),9-14, ,,1,9,14,-5,459.0
4:04.0, ,9-14,L. Walker misses 2-pt layup from 1 ft,,1,9,14,-5,476.0
4:04.0, ,9-14,Offensive rebound by Team,,1,9,14,-5,476.0
4:04.0,Loose ball foul by J. Butler (drawn by D. Eubanks),9-14, ,,1,9,14,-5,476.0
4:04.0,Technical foul by J. Butler,9-14, ,,1,9,14,-5,476.0
4:04.0, ,9-15,T. Jones makes technical free throw,,1,9,15,-6,476.0
