Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:29.0,Turnover by I. Okoro (offensive foul),10-7, ,,1,7,10,-3,271.0
7:12.0, ,10-7,D. Dedmon misses 3-pt jump shot from 23 ft,,1,7,10,-3,288.0
7:08.0,Defensive rebound by J. Allen,10-7, ,,1,7,10,-3,292.0
6:59.0,L. Markkanen misses 3-pt jump shot from 24 ft,10-7, ,,1,7,10,-3,301.0
6:57.0,Offensive rebound by J. Allen,10-7, ,,1,7,10,-3,303.0
6:56.0,Turnover by J. Allen (out of bounds lost ball),10-7, ,,1,7,10,-3,304.0
6:56.0, ,10-7,Miami full timeout,,1,7,10,-3,304.0
6:36.0, ,10-10,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),Tie,1,10,10,0,324.0
6:14.0,Turnover by E. Mobley (out of bounds lost ball),10-10, ,,1,10,10,0,346.0
6:14.0,K. Love enters the game for E. Mobley,10-10, ,,1,10,10,0,346.0
5:56.0, ,10-10,Turnover by K. Lowry (bad pass; steal by I. Okoro),,1,10,10,0,364.0
5:47.0,Turnover by D. Garland (bad pass),10-10, ,,1,10,10,0,373.0
5:46.0, ,10-10,Turnover by T. Herro (bad pass),,1,10,10,0,374.0
5:31.0,K. Love makes 3-pt jump shot from 24 ft (assist by D. Garland),13-10, ,,1,10,13,-3,389.0
5:31.0,R. Rubio enters the game for L. Markkanen,13-10, ,,1,10,13,-3,389.0
5:31.0,L. Stevens enters the game for I. Okoro,13-10, ,,1,10,13,-3,389.0
5:31.0, ,13-10,C. Martin enters the game for D. Dedmon,,1,10,13,-3,389.0
5:31.0, ,13-10,G. Vincent enters the game for T. Herro,,1,10,13,-3,389.0
5:06.0, ,13-10,P. Tucker misses 3-pt jump shot from 23 ft,,1,10,13,-3,414.0
5:04.0,Defensive rebound by K. Love,13-10, ,,1,10,13,-3,416.0
4:50.0,L. Stevens makes 3-pt jump shot from 23 ft (assist by K. Love),16-10, ,,1,10,16,-6,430.0
4:33.0, ,16-10,D. Robinson misses 3-pt jump shot from 26 ft,,1,10,16,-6,447.0
4:29.0,Defensive rebound by R. Rubio,16-10, ,,1,10,16,-6,451.0
4:24.0,D. Garland makes 2-pt jump shot from 9 ft,18-10, ,,1,10,18,-8,456.0
4:06.0, ,18-10,G. Vincent misses 2-pt layup from 3 ft,,1,10,18,-8,474.0
4:03.0,Defensive rebound by K. Love,18-10, ,,1,10,18,-8,477.0
4:01.0,D. Garland makes 3-pt jump shot from 28 ft (assist by K. Love),21-10, ,,1,10,21,-11,479.0
4:01.0, ,21-10,Miami full timeout,,1,10,21,-11,479.0
3:48.0, ,21-10,D. Robinson misses 3-pt jump shot from 27 ft,,1,10,21,-11,492.0
3:47.0,Defensive rebound by Team,21-10, ,,1,10,21,-11,493.0
3:29.0,Turnover by K. Love (bad pass; steal by C. Martin),21-10, ,,1,10,21,-11,511.0
3:20.0, ,21-10,P. Tucker misses 2-pt hook shot from 2 ft,,1,10,21,-11,520.0
3:16.0,Defensive rebound by D. Garland,21-10, ,,1,10,21,-11,524.0
3:12.0,K. Love makes 3-pt jump shot from 26 ft (assist by D. Garland),24-10, ,,1,10,24,-14,528.0
2:48.0, ,24-12,K. Lowry makes 2-pt jump shot from 23 ft,,1,12,24,-12,552.0
2:48.0,I. Okoro enters the game for D. Garland,24-12, ,,1,12,24,-12,552.0
2:48.0, ,24-12,D. Dedmon enters the game for P. Tucker,,1,12,24,-12,552.0
2:17.0,Jump ball: D. Robinson vs. J. Allen (C. Martin gains possession),24-12,,,1,12,24,-12,583.0
2:17.0,Turnover by J. Allen (lost ball; steal by D. Robinson),24-12, ,,1,12,24,-12,583.0
2:14.0, ,24-12,Turnover by D. Dedmon (bad pass; steal by R. Rubio),,1,12,24,-12,586.0
2:10.0,J. Allen makes 2-pt dunk from 1 ft (assist by L. Stevens),26-12, ,,1,12,26,-14,590.0
2:10.0,Shooting foul by C. Martin (drawn by J. Allen),26-12, ,,1,12,26,-14,590.0
2:10.0, ,26-12,M. Strus enters the game for D. Robinson,,1,12,26,-14,590.0
2:10.0,J. Allen makes free throw 1 of 1,27-12, ,,1,12,27,-15,590.0
1:57.0, ,27-12,D. Dedmon misses 2-pt layup from 1 ft (block by J. Allen),,1,12,27,-15,603.0
1:54.0, ,27-12,Offensive rebound by D. Dedmon,,1,12,27,-15,606.0
1:54.0, ,27-12,Personal foul by R. Rubio (drawn by D. Dedmon),,1,12,27,-15,606.0
1:54.0,E. Mobley enters the game for J. Allen,27-12, ,,1,12,27,-15,606.0
1:46.0, ,27-12,D. Dedmon misses 2-pt jump shot from 4 ft,,1,12,27,-15,614.0
1:43.0,Defensive rebound by E. Mobley,27-12, ,,1,12,27,-15,617.0
1:36.0,Turnover by I. Okoro (step out of bounds),27-12, ,,1,12,27,-15,624.0
1:36.0, ,27-12,T. Herro enters the game for K. Lowry,,1,12,27,-15,624.0
1:22.0, ,27-12,T. Herro misses 2-pt jump shot from 13 ft,,1,12,27,-15,638.0
1:19.0,Defensive rebound by K. Love,27-12, ,,1,12,27,-15,641.0
0:59.0,I. Okoro makes 2-pt jump shot from 16 ft (assist by K. Love),29-12, ,,1,12,29,-17,661.0
0:48.0, ,29-14,G. Vincent makes 2-pt layup from 1 ft (assist by T. Herro),,1,14,29,-15,672.0
0:42.0,Shooting foul by G. Vincent (drawn by R. Rubio),29-14, ,,1,14,29,-15,678.0
0:42.0,R. Rubio misses free throw 1 of 2,29-14, ,,1,14,29,-15,678.0
0:42.0,Offensive rebound by Team,29-14, ,,1,14,29,-15,678.0
0:42.0,R. Rubio makes free throw 2 of 2,30-14, ,,1,14,30,-16,678.0
0:29.0, ,30-14,Technical foul by K. Lowry,,1,14,30,-16,691.0
0:29.0,R. Rubio makes technical free throw,31-14, ,,1,14,31,-17,691.0
0:23.0, ,31-16,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Herro),,1,16,31,-15,697.0
0:01.0,K. Love misses 3-pt jump shot from 23 ft,31-16, ,,1,16,31,-15,719.0
0:00.0,Offensive rebound by Team,31-16, ,,1,16,31,-15,720.0
0:00.0,End of 1st quarter,31-16,,,1,16,31,-15,720.0
12:00.0,Start of 2nd quarter,31-16,,,2,16,31,-15,720.0
11:44.0, ,31-19,G. Vincent makes 3-pt jump shot from 24 ft (assist by T. Herro),,2,19,31,-12,736.0
11:23.0,K. Love makes 3-pt jump shot from 24 ft (assist by E. Mobley),34-19, ,,2,19,34,-15,757.0
11:02.0, ,34-21,C. Martin makes 2-pt layup from 2 ft,,2,21,34,-13,778.0
10:47.0,L. Stevens makes 2-pt layup from 1 ft (assist by E. Mobley),36-21, ,,2,21,36,-15,793.0
10:22.0, ,36-24,M. Strus makes 3-pt jump shot from 26 ft (assist by C. Martin),,2,24,36,-12,818.0
10:08.0,E. Mobley misses 2-pt hook shot from 15 ft (block by D. Dedmon),36-24, ,,2,24,36,-12,832.0
10:02.0, ,36-24,Defensive rebound by G. Vincent,,2,24,36,-12,838.0
9:54.0, ,36-27,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),,2,27,36,-9,846.0
9:53.0,Cleveland full timeout,36-27, ,,2,27,36,-9,847.0
9:53.0,D. Garland enters the game for K. Love,36-27, ,,2,27,36,-9,847.0
9:53.0,L. Markkanen enters the game for L. Stevens,36-27, ,,2,27,36,-9,847.0
9:28.0,R. Rubio misses 3-pt jump shot from 24 ft,36-27, ,,2,27,36,-9,872.0
9:26.0, ,36-27,Defensive rebound by D. Dedmon,,2,27,36,-9,874.0
9:11.0, ,36-29,M. Strus makes 2-pt layup from 2 ft (assist by D. Dedmon),,2,29,36,-7,889.0
8:51.0,E. Mobley misses 2-pt jump shot from 12 ft,36-29, ,,2,29,36,-7,909.0
8:50.0, ,36-29,Defensive rebound by D. Dedmon,,2,29,36,-7,910.0
8:28.0, ,36-29,T. Herro misses 2-pt layup from 3 ft (block by E. Mobley),,2,29,36,-7,932.0
8:24.0,Defensive rebound by R. Rubio,36-29, ,,2,29,36,-7,936.0
8:23.0,L. Markkanen makes 2-pt layup from 2 ft (assist by R. Rubio),38-29, ,,2,29,38,-9,937.0
8:06.0, ,38-29,G. Vincent misses 3-pt jump shot from 27 ft,,2,29,38,-9,954.0
8:03.0,Defensive rebound by E. Mobley,38-29, ,,2,29,38,-9,957.0
7:52.0,I. Okoro makes 2-pt jump shot from 11 ft (assist by D. Garland),40-29, ,,2,29,40,-11,968.0
7:28.0, ,40-31,C. Martin makes 2-pt jump shot from 5 ft,,2,31,40,-9,992.0
7:20.0,I. Okoro misses 2-pt layup from 5 ft (block by D. Dedmon),40-31, ,,2,31,40,-9,1000.0
7:11.0,Offensive rebound by I. Okoro,40-31, ,,2,31,40,-9,1009.0
7:07.0,I. Okoro makes 2-pt layup from 2 ft,42-31, ,,2,31,42,-11,1013.0
7:06.0, ,42-31,M. Strus misses 3-pt jump shot from 26 ft,,2,31,42,-11,1014.0
7:02.0,Defensive rebound by E. Mobley,42-31, ,,2,31,42,-11,1018.0
6:52.0,L. Markkanen misses 2-pt layup from 3 ft,42-31, ,,2,31,42,-11,1028.0
6:50.0, ,42-31,Defensive rebound by D. Dedmon,,2,31,42,-11,1030.0
6:46.0, ,42-31,Personal foul by D. Garland (drawn by G. Vincent),,2,31,42,-11,1034.0
6:46.0,J. Allen enters the game for I. Okoro,42-31, ,,2,31,42,-11,1034.0
6:46.0,L. Stevens enters the game for R. Rubio,42-31, ,,2,31,42,-11,1034.0
6:46.0, ,42-31,K. Lowry enters the game for D. Dedmon,,2,31,42,-11,1034.0
6:46.0, ,42-31,K. Okpala enters the game for G. Vincent,,2,31,42,-11,1034.0
6:35.0, ,42-33,T. Herro makes 2-pt jump shot from 22 ft,,2,33,42,-9,1045.0
6:08.0,D. Garland makes 2-pt jump shot from 22 ft,44-33, ,,2,33,44,-11,1072.0
5:50.0, ,44-35,T. Herro makes 2-pt jump shot from 17 ft,,2,35,44,-9,1090.0
5:31.0,L. Markkanen misses 3-pt jump shot from 27 ft,44-35, ,,2,35,44,-9,1109.0
5:30.0, ,44-35,Defensive rebound by Team,,2,35,44,-9,1110.0
5:23.0, ,44-35,Personal foul by L. Stevens (drawn by T. Herro),,2,35,44,-9,1117.0
5:13.0, ,44-35,T. Herro misses 3-pt jump shot from 26 ft,,2,35,44,-9,1127.0
5:10.0,Defensive rebound by J. Allen,44-35, ,,2,35,44,-9,1130.0
4:53.0,L. Stevens misses 2-pt jump shot from 21 ft,44-35, ,,2,35,44,-9,1147.0
4:49.0, ,44-35,Defensive rebound by C. Martin,,2,35,44,-9,1151.0
4:40.0, ,44-35,K. Lowry misses 2-pt jump shot from 8 ft (block by E. Mobley),,2,35,44,-9,1160.0
4:35.0,Defensive rebound by L. Stevens,44-35, ,,2,35,44,-9,1165.0
4:17.0,Turnover by E. Mobley (lost ball; steal by K. Lowry),44-35, ,,2,35,44,-9,1183.0
4:01.0, ,44-37,M. Strus makes 2-pt layup from 1 ft (assist by C. Martin),,2,37,44,-7,1199.0
4:00.0,Cleveland full timeout,44-37, ,,2,37,44,-7,1200.0
4:00.0,K. Love enters the game for L. Markkanen,44-37, ,,2,37,44,-7,1200.0
4:00.0,I. Okoro enters the game for E. Mobley,44-37, ,,2,37,44,-7,1200.0
4:00.0,R. Rubio enters the game for L. Stevens,44-37, ,,2,37,44,-7,1200.0
4:00.0, ,44-37,P. Tucker enters the game for C. Martin,,2,37,44,-7,1200.0
3:36.0,R. Rubio misses 3-pt jump shot from 24 ft,44-37, ,,2,37,44,-7,1224.0
3:34.0,Offensive rebound by J. Allen,44-37, ,,2,37,44,-7,1226.0
3:32.0,D. Garland makes 3-pt jump shot from 28 ft (assist by J. Allen),47-37, ,,2,37,47,-10,1228.0
3:12.0, ,47-37,Turnover by M. Strus (step out of bounds),,2,37,47,-10,1248.0
2:58.0,K. Love makes 3-pt jump shot from 26 ft (assist by D. Garland),50-37, ,,2,37,50,-13,1262.0
2:44.0, ,50-37,K. Lowry misses 3-pt jump shot from 24 ft,,2,37,50,-13,1276.0
2:44.0, ,50-37,Offensive rebound by K. Okpala,,2,37,50,-13,1276.0
2:44.0, ,50-37,Shooting foul by K. Love (drawn by K. Okpala),,2,37,50,-13,1276.0
2:44.0, ,50-37,K. Okpala misses free throw 1 of 2,,2,37,50,-13,1276.0
2:44.0, ,50-37,Offensive rebound by Team,,2,37,50,-13,1276.0
2:44.0, ,50-38,K. Okpala makes free throw 2 of 2,,2,38,50,-12,1276.0
2:31.0,Shooting foul by M. Strus (drawn by K. Love),50-38, ,,2,38,50,-12,1289.0
2:31.0,K. Love makes free throw 1 of 2,51-38, ,,2,38,51,-13,1289.0
2:31.0,K. Love makes free throw 2 of 2,52-38, ,,2,38,52,-14,1289.0
2:16.0, ,52-40,T. Herro makes 2-pt jump shot from 17 ft,,2,40,52,-12,1304.0
2:06.0,Personal foul by M. Strus (drawn by R. Rubio),52-40, ,,2,40,52,-12,1314.0
2:06.0, ,52-40,D. Robinson enters the game for M. Strus,,2,40,52,-12,1314.0
2:00.0,Shooting foul by K. Lowry (drawn by J. Allen),52-40, ,,2,40,52,-12,1320.0
2:00.0,J. Allen makes free throw 1 of 2,53-40, ,,2,40,53,-13,1320.0
2:00.0,J. Allen makes free throw 2 of 2,54-40, ,,2,40,54,-14,1320.0
1:48.0, ,54-40,T. Herro misses 2-pt jump shot from 3 ft,,2,40,54,-14,1332.0
1:45.0,Defensive rebound by J. Allen,54-40, ,,2,40,54,-14,1335.0
1:39.0,R. Rubio misses 3-pt jump shot from 25 ft,54-40, ,,2,40,54,-14,1341.0
1:39.0, ,54-40,Defensive rebound by Team,,2,40,54,-14,1341.0
1:14.0, ,54-43,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Okpala),,2,43,54,-11,1366.0
1:03.0,J. Allen misses 2-pt layup from 1 ft,54-43, ,,2,43,54,-11,1377.0
1:00.0,Offensive rebound by R. Rubio,54-43, ,,2,43,54,-11,1380.0
0:59.0,K. Love makes 3-pt jump shot from 27 ft (assist by I. Okoro),57-43, ,,2,43,57,-14,1381.0
0:39.0, ,57-43,K. Okpala misses 3-pt jump shot from 24 ft,,2,43,57,-14,1401.0
0:36.0,Defensive rebound by K. Love,57-43, ,,2,43,57,-14,1404.0
0:30.0,J. Allen makes 2-pt hook shot from 4 ft (assist by R. Rubio),59-43, ,,2,43,59,-16,1410.0
0:08.0, ,59-43,T. Herro misses 3-pt jump shot from 25 ft,,2,43,59,-16,1432.0
0:06.0,Defensive rebound by D. Garland,59-43, ,,2,43,59,-16,1434.0
0:00.0,D. Garland misses 2-pt layup from 3 ft,59-43, ,,2,43,59,-16,1440.0
0:00.0,Offensive rebound by J. Allen,59-43, ,,2,43,59,-16,1440.0
0:00.0,J. Allen makes 2-pt layup at rim,61-43, ,,2,43,61,-18,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),61-43, ,,2,43,61,-18,1440.0
0:00.0,End of 2nd quarter,61-43,,,2,43,61,-18,1440.0
12:00.0,Start of 3rd quarter,61-43,,,3,43,61,-18,1440.0
11:42.0, ,61-43,D. Dedmon misses 2-pt hook shot from 2 ft,,3,43,61,-18,1458.0
11:42.0,Defensive rebound by Team,61-43, ,,3,43,61,-18,1458.0
11:26.0,E. Mobley makes 3-pt jump shot from 23 ft (assist by I. Okoro),64-43, ,,3,43,64,-21,1474.0
11:08.0, ,64-45,T. Herro makes 2-pt layup from 2 ft,,3,45,64,-19,1492.0
10:40.0,Turnover by D. Garland (bad pass; steal by P. Tucker),64-45, ,,3,45,64,-19,1520.0
10:36.0, ,64-45,T. Herro misses 3-pt jump shot from 26 ft,,3,45,64,-19,1524.0
10:33.0,Defensive rebound by E. Mobley,64-45, ,,3,45,64,-19,1527.0
10:22.0,Turnover by D. Garland (out of bounds lost ball),64-45, ,,3,45,64,-19,1538.0
10:04.0, ,64-45,K. Lowry misses 3-pt jump shot from 23 ft,,3,45,64,-19,1556.0
10:01.0,Defensive rebound by E. Mobley,64-45, ,,3,45,64,-19,1559.0
9:53.0,Turnover by J. Allen (bad pass),64-45, ,,3,45,64,-19,1567.0
9:37.0, ,64-45,D. Robinson misses 2-pt jump shot from 4 ft (block by I. Okoro),,3,45,64,-19,1583.0
9:37.0, ,64-45,Offensive rebound by Team,,3,45,64,-19,1583.0
9:31.0, ,64-45,Turnover by T. Herro (bad pass; steal by L. Markkanen),,3,45,64,-19,1589.0
9:20.0,L. Markkanen misses 3-pt jump shot from 27 ft,64-45, ,,3,45,64,-19,1600.0
9:17.0, ,64-45,Defensive rebound by D. Dedmon,,3,45,64,-19,1603.0
9:10.0, ,64-48,D. Dedmon makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,48,64,-16,1610.0
8:56.0,Personal foul by T. Herro (drawn by I. Okoro),64-48, ,,3,48,64,-16,1624.0
8:47.0,Turnover by I. Okoro (traveling),64-48, ,,3,48,64,-16,1633.0
8:37.0, ,64-51,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Lowry),,3,51,64,-13,1643.0
8:37.0,Cleveland full timeout,64-51, ,,3,51,64,-13,1643.0
8:26.0,Personal foul by D. Robinson (drawn by L. Markkanen),64-51, ,,3,51,64,-13,1654.0
8:23.0,Personal foul by P. Tucker (drawn by E. Mobley),64-51, ,,3,51,64,-13,1657.0
8:09.0,E. Mobley makes 2-pt jump shot from 10 ft,66-51, ,,3,51,66,-15,1671.0
7:45.0, ,66-51,D. Dedmon misses 3-pt jump shot from 25 ft,,3,51,66,-15,1695.0
7:44.0, ,66-51,Offensive rebound by Team,,3,51,66,-15,1696.0
7:43.0, ,66-51,Turnover by Team (shot clock),,3,51,66,-15,1697.0
7:29.0,L. Markkanen misses 2-pt jump shot from 8 ft,66-51, ,,3,51,66,-15,1711.0
7:27.0, ,66-51,Defensive rebound by K. Lowry,,3,51,66,-15,1713.0
7:18.0, ,66-54,P. Tucker makes 3-pt jump shot from 22 ft (assist by D. Dedmon),,3,54,66,-12,1722.0
7:07.0,E. Mobley makes 3-pt jump shot from 27 ft (assist by D. Garland),69-54, ,,3,54,69,-15,1733.0
6:59.0, ,69-54,Shooting foul by E. Mobley (drawn by K. Lowry),,3,54,69,-15,1741.0
6:59.0, ,69-55,K. Lowry makes free throw 1 of 2,,3,55,69,-14,1741.0
6:59.0, ,69-56,K. Lowry makes free throw 2 of 2,,3,56,69,-13,1741.0
6:47.0,Turnover by D. Garland (bad pass; steal by P. Tucker),69-56, ,,3,56,69,-13,1753.0
6:41.0, ,69-56,D. Robinson misses 3-pt jump shot from 28 ft,,3,56,69,-13,1759.0
6:37.0, ,69-56,Offensive rebound by P. Tucker,,3,56,69,-13,1763.0
6:33.0, ,69-59,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Herro),,3,59,69,-10,1767.0
6:13.0,E. Mobley makes 2-pt layup from 3 ft (assist by D. Garland),71-59, ,,3,59,71,-12,1787.0
5:50.0, ,71-59,T. Herro misses 2-pt jump shot from 10 ft,,3,59,71,-12,1810.0
5:48.0, ,71-59,Offensive rebound by D. Dedmon,,3,59,71,-12,1812.0
5:47.0, ,71-59,D. Dedmon misses 2-pt layup from 1 ft (block by J. Allen),,3,59,71,-12,1813.0
5:47.0,Defensive rebound by J. Allen,71-59, ,,3,59,71,-12,1813.0
5:35.0,Personal foul by K. Lowry (drawn by L. Markkanen),71-59, ,,3,59,71,-12,1825.0
5:35.0,K. Love enters the game for D. Garland,71-59, ,,3,59,71,-12,1825.0
5:35.0,R. Rubio enters the game for E. Mobley,71-59, ,,3,59,71,-12,1825.0
5:25.0,Turnover by R. Rubio (bad pass; steal by D. Dedmon),71-59, ,,3,59,71,-12,1835.0
5:20.0, ,71-59,Turnover by T. Herro (bad pass; steal by K. Love),,3,59,71,-12,1840.0
5:14.0,Shooting foul by K. Lowry (drawn by I. Okoro),71-59, ,,3,59,71,-12,1846.0
5:14.0, ,71-59,Miami full timeout,,3,59,71,-12,1846.0
5:14.0, ,71-59,Instant Replay (Challenge: Stands),,3,59,71,-12,1846.0
5:14.0, ,71-59,G. Vincent enters the game for T. Herro,,3,59,71,-12,1846.0
5:14.0,I. Okoro makes free throw 1 of 2,72-59, ,,3,59,72,-13,1846.0
5:14.0,I. Okoro makes free throw 2 of 2,73-59, ,,3,59,73,-14,1846.0
5:06.0, ,73-59,Personal foul by I. Okoro (drawn by K. Lowry),,3,59,73,-14,1854.0
4:55.0, ,73-59,K. Lowry misses 3-pt jump shot from 25 ft,,3,59,73,-14,1865.0
4:51.0,Defensive rebound by R. Rubio,73-59, ,,3,59,73,-14,1869.0
4:45.0,Turnover by R. Rubio (bad pass),73-59, ,,3,59,73,-14,1875.0
4:34.0, ,73-59,D. Robinson misses 3-pt jump shot from 27 ft,,3,59,73,-14,1886.0
4:31.0,Defensive rebound by K. Love,73-59, ,,3,59,73,-14,1889.0
4:18.0,R. Rubio misses 2-pt layup from 4 ft,73-59, ,,3,59,73,-14,1902.0
4:15.0, ,73-59,Defensive rebound by P. Tucker,,3,59,73,-14,1905.0
4:12.0, ,73-59,D. Robinson misses 3-pt jump shot from 24 ft,,3,59,73,-14,1908.0
4:09.0,Defensive rebound by J. Allen,73-59, ,,3,59,73,-14,1911.0
3:52.0,Turnover by R. Rubio (bad pass),73-59, ,,3,59,73,-14,1928.0
3:52.0,L. Stevens enters the game for I. Okoro,73-59, ,,3,59,73,-14,1928.0
3:52.0, ,73-59,K. Okpala enters the game for D. Dedmon,,3,59,73,-14,1928.0
3:52.0, ,73-59,M. Strus enters the game for D. Robinson,,3,59,73,-14,1928.0
3:37.0, ,73-59,P. Tucker misses 2-pt jump shot from 21 ft,,3,59,73,-14,1943.0
3:35.0,Defensive rebound by J. Allen,73-59, ,,3,59,73,-14,1945.0
3:24.0,Personal foul by M. Strus (drawn by R. Rubio),73-59, ,,3,59,73,-14,1956.0
3:24.0,R. Rubio makes free throw 1 of 2,74-59, ,,3,59,74,-15,1956.0
3:24.0,D. Garland enters the game for J. Allen,74-59, ,,3,59,74,-15,1956.0
3:24.0,E. Mobley enters the game for L. Markkanen,74-59, ,,3,59,74,-15,1956.0
3:24.0,R. Rubio makes free throw 2 of 2,75-59, ,,3,59,75,-16,1956.0
3:12.0, ,75-59,Personal foul by L. Stevens (drawn by K. Lowry),,3,59,75,-16,1968.0
3:01.0, ,75-59,Turnover by G. Vincent (bad pass; steal by K. Love),,3,59,75,-16,1979.0
2:45.0,Personal foul by K. Okpala (drawn by K. Love),75-59, ,,3,59,75,-16,1995.0
2:45.0,K. Love makes free throw 1 of 2,76-59, ,,3,59,76,-17,1995.0
2:45.0,K. Love makes free throw 2 of 2,77-59, ,,3,59,77,-18,1995.0
2:28.0, ,77-59,Shooting foul by E. Mobley (drawn by K. Okpala),,3,59,77,-18,2012.0
2:28.0, ,77-59,C. Martin enters the game for P. Tucker,,3,59,77,-18,2012.0
2:28.0, ,77-60,K. Okpala makes free throw 1 of 2,,3,60,77,-17,2012.0
2:28.0, ,77-60,K. Okpala misses free throw 2 of 2,,3,60,77,-17,2012.0
2:27.0,Defensive rebound by Team,77-60, ,,3,60,77,-17,2013.0
2:09.0,K. Love misses 2-pt jump shot from 14 ft,77-60, ,,3,60,77,-17,2031.0
2:06.0,Offensive rebound by L. Stevens,77-60, ,,3,60,77,-17,2034.0
2:05.0,L. Stevens makes 2-pt layup at rim,79-60, ,,3,60,79,-19,2035.0
1:53.0, ,79-63,C. Martin makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,63,79,-16,2047.0
