Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:00.0,End of 1st quarter,18-28,,,1,28,18,10,720.0
12:00.0,Start of 2nd quarter,18-28,,,2,28,18,10,720.0
11:39.0,C. Osman misses 3-pt jump shot from 24 ft,18-28, ,,2,28,18,10,741.0
11:38.0, ,18-28,Defensive rebound by Team,,2,28,18,10,742.0
11:27.0, ,18-28,M. Strus misses 3-pt jump shot from 26 ft,,2,28,18,10,753.0
11:23.0,Defensive rebound by K. Love,18-28, ,,2,28,18,10,757.0
11:15.0,K. Love makes 2-pt layup from 2 ft (assist by E. Mobley),20-28, ,,2,28,20,8,765.0
10:51.0, ,20-28,Turnover by K. Lowry (bad pass; steal by E. Mobley),,2,28,20,8,789.0
10:41.0,K. Love makes 2-pt dunk from 1 ft,22-28, ,,2,28,22,6,799.0
10:25.0, ,22-28,M. Strus misses 3-pt jump shot from 26 ft,,2,28,22,6,815.0
10:22.0,Defensive rebound by E. Mobley,22-28, ,,2,28,22,6,818.0
10:15.0,E. Mobley misses 2-pt jump shot from 9 ft,22-28, ,,2,28,22,6,825.0
10:11.0, ,22-28,Defensive rebound by D. Dedmon,,2,28,22,6,829.0
10:08.0, ,22-28,V. Oladipo misses 3-pt jump shot from 28 ft,,2,28,22,6,832.0
10:04.0,Defensive rebound by K. Love,22-28, ,,2,28,22,6,836.0
9:49.0,K. Love makes 2-pt jump shot from 15 ft (assist by R. Rondo),24-28, ,,2,28,24,4,851.0
9:32.0, ,24-30,T. Herro makes 2-pt jump shot from 8 ft,,2,30,24,6,868.0
9:32.0, ,24-30,Shooting foul by L. Stevens (drawn by T. Herro),,2,30,24,6,868.0
9:32.0, ,24-31,T. Herro makes free throw 1 of 1,,2,31,24,7,868.0
9:11.0,C. Osman makes 3-pt jump shot from 27 ft (assist by K. Love),27-31, ,,2,31,27,4,889.0
8:57.0, ,27-31,K. Lowry misses 3-pt jump shot from 26 ft,,2,31,27,4,903.0
8:57.0,Defensive rebound by L. Stevens,27-31, ,,2,31,27,4,903.0
8:37.0,E. Mobley misses 2-pt hook shot from 5 ft,27-31, ,,2,31,27,4,923.0
8:34.0, ,27-31,Defensive rebound by K. Lowry,,2,31,27,4,926.0
8:34.0, ,27-31,Personal foul by E. Mobley (drawn by K. Lowry),,2,31,27,4,926.0
8:34.0,L. Markkanen enters the game for C. Osman,27-31, ,,2,31,27,4,926.0
8:26.0, ,27-31,D. Dedmon misses 2-pt layup from 7 ft (block by E. Mobley),,2,31,27,4,934.0
8:21.0,Defensive rebound by E. Mobley,27-31, ,,2,31,27,4,939.0
8:19.0,Turnover by E. Mobley (traveling),27-31, ,,2,31,27,4,941.0
8:05.0, ,27-34,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),,2,34,27,7,955.0
7:49.0,Offensive foul by L. Stevens (drawn by D. Dedmon),27-34, ,,2,34,27,7,971.0
7:49.0,Turnover by L. Stevens (offensive foul),27-34, ,,2,34,27,7,971.0
7:49.0,I. Okoro enters the game for L. Stevens,27-34, ,,2,34,27,7,971.0
7:49.0, ,27-34,B. Adebayo enters the game for D. Dedmon,,2,34,27,7,971.0
7:41.0, ,27-37,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),,2,37,27,10,979.0
7:22.0,Turnover by K. Love (bad pass; steal by M. Strus),27-37, ,,2,37,27,10,998.0
7:19.0, ,27-39,V. Oladipo makes 2-pt layup from 2 ft (assist by K. Lowry),,2,39,27,12,1001.0
7:19.0,Cleveland full timeout,27-39, ,,2,39,27,12,1001.0
7:19.0,D. Wade enters the game for K. Love,27-39, ,,2,39,27,12,1001.0
7:08.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by E. Mobley),30-39, ,,2,39,30,9,1012.0
6:49.0, ,30-41,T. Herro makes 2-pt jump shot from 9 ft,,2,41,30,11,1031.0
6:49.0, ,30-41,Shooting foul by I. Okoro (drawn by T. Herro),,2,41,30,11,1031.0
