Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:08.0, ,29-47,G. Vincent misses 2-pt jump shot from 13 ft,,2,47,29,18,892.0
9:07.0, ,29-47,Offensive rebound by Team,,2,47,29,18,893.0
9:06.0, ,29-47,Turnover by Team (shot clock),,2,47,29,18,894.0
8:54.0,C. Anthony misses 2-pt dunk from 1 ft,29-47, ,,2,47,29,18,906.0
8:51.0, ,29-47,Defensive rebound by M. Strus,,2,47,29,18,909.0
8:47.0, ,29-47,Personal foul by L. James (drawn by B. Adebayo),,2,47,29,18,913.0
8:47.0,T. Ariza enters the game for L. James,29-47, ,,2,47,29,18,913.0
8:38.0, ,29-47,M. Strus misses 3-pt jump shot from 24 ft,,2,47,29,18,922.0
8:38.0,Defensive rebound by T. Ariza,29-47, ,,2,47,29,18,922.0
8:38.0,R. Westbrook enters the game for M. Monk,29-47, ,,2,47,29,18,922.0
8:38.0, ,29-47,D. Dedmon enters the game for B. Adebayo,,2,47,29,18,922.0
8:18.0,Turnover by T. Horton-Tucker (lost ball; steal by G. Vincent),29-47, ,,2,47,29,18,942.0
8:16.0, ,29-47,Personal foul by T. Horton-Tucker (drawn by G. Vincent),,2,47,29,18,944.0
8:16.0, ,29-48,G. Vincent makes free throw 1 of 2,,2,48,29,19,944.0
8:16.0,LA Lakers full timeout,29-48, ,,2,48,29,19,944.0
8:16.0,W. Ellington enters the game for T. Horton-Tucker,29-48, ,,2,48,29,19,944.0
8:16.0, ,29-48,D. Robinson enters the game for K. Guy,,2,48,29,19,944.0
8:16.0, ,29-49,G. Vincent makes free throw 2 of 2,,2,49,29,20,944.0
8:00.0,T. Ariza misses 3-pt jump shot from 27 ft,29-49, ,,2,49,29,20,960.0
7:56.0, ,29-49,Defensive rebound by D. Dedmon,,2,49,29,20,964.0
7:45.0, ,29-51,G. Vincent makes 2-pt layup from 2 ft,,2,51,29,22,975.0
7:29.0,Shooting foul by M. Strus (drawn by R. Westbrook),29-51, ,,2,51,29,22,991.0
7:29.0,R. Westbrook makes free throw 1 of 2,30-51, ,,2,51,30,21,991.0
7:29.0,R. Westbrook makes free throw 2 of 2,31-51, ,,2,51,31,20,991.0
7:14.0, ,31-53,D. Dedmon makes 2-pt layup from 2 ft (assist by G. Vincent),,2,53,31,22,1006.0
7:02.0,Flagrant foul type 1 by D. Dedmon (drawn by C. Anthony),31-53, ,,2,53,31,22,1018.0
7:02.0,Instant Replay (Request: Ruling Stands),31-53, ,,2,53,31,22,1018.0
7:02.0,C. Anthony makes flagrant free throw 1 of 2,32-53, ,,2,53,32,21,1018.0
7:02.0,C. Anthony makes flagrant free throw 2 of 2,33-53, ,,2,53,33,20,1018.0
7:02.0, ,33-53,J. Butler enters the game for G. Vincent,,2,53,33,20,1018.0
6:47.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),36-53, ,,2,53,36,17,1033.0
