Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:00.0, ,40-25,L. Kennard makes 2-pt jump shot from 14 ft (assist by T. Mann),,1,40,25,15,720.0
0:00.0, ,40-25,Instant Replay (Request: Stands),,1,40,25,15,720.0
0:00.0,End of 1st quarter,40-25,,,1,40,25,15,720.0
12:00.0,Start of 2nd quarter,40-25,,,2,40,25,15,720.0
11:44.0,C. Martin misses 2-pt jump shot from 9 ft,40-25, ,,2,40,25,15,736.0
11:42.0, ,40-25,Defensive rebound by I. Hartenstein,,2,40,25,15,738.0
11:21.0, ,40-25,R. Jackson misses 3-pt jump shot from 27 ft,,2,40,25,15,759.0
11:20.0, ,40-25,Offensive rebound by I. Hartenstein,,2,40,25,15,760.0
11:09.0, ,40-27,L. Kennard makes 2-pt layup from 2 ft,,2,40,27,13,771.0
10:59.0,M. Strus misses 3-pt jump shot from 24 ft,40-27, ,,2,40,27,13,781.0
10:57.0, ,40-27,Defensive rebound by R. Jackson,,2,40,27,13,783.0
10:55.0, ,40-29,E. Bledsoe makes 2-pt layup from 3 ft,,2,40,29,11,785.0
10:55.0, ,40-29,Shooting foul by G. Vincent (drawn by E. Bledsoe),,2,40,29,11,785.0
10:55.0, ,40-30,E. Bledsoe makes free throw 1 of 1,,2,40,30,10,785.0
10:40.0,G. Vincent misses 3-pt jump shot from 25 ft,40-30, ,,2,40,30,10,800.0
10:35.0, ,40-30,Defensive rebound by L. Kennard,,2,40,30,10,805.0
10:26.0, ,40-32,L. Kennard makes 2-pt layup from 2 ft (assist by I. Hartenstein),,2,40,32,8,814.0
10:26.0,Miami full timeout,40-32, ,,2,40,32,8,814.0
10:26.0,D. Robinson enters the game for M. Strus,40-32, ,,2,40,32,8,814.0
10:10.0,Shooting foul by L. Kennard (drawn by D. Dedmon),40-32, ,,2,40,32,8,830.0
10:10.0,D. Dedmon makes free throw 1 of 2,41-32, ,,2,41,32,9,830.0
10:10.0,D. Dedmon makes free throw 2 of 2,42-32, ,,2,42,32,10,830.0
9:46.0, ,42-32,R. Jackson misses 3-pt jump shot from 26 ft,,2,42,32,10,854.0
9:45.0, ,42-32,Offensive rebound by Team,,2,42,32,10,855.0
9:45.0,Loose ball foul by D. Dedmon (drawn by I. Hartenstein),42-32, ,,2,42,32,10,855.0
9:45.0,B. Adebayo enters the game for D. Dedmon,42-32, ,,2,42,32,10,855.0
9:45.0, ,42-32,N. Batum enters the game for R. Jackson,,2,42,32,10,855.0
9:35.0, ,42-32,N. Batum misses 3-pt jump shot from 25 ft,,2,42,32,10,865.0
9:35.0, ,42-32,Offensive rebound by Team,,2,42,32,10,865.0
9:35.0,Loose ball foul by D. Robinson (drawn by I. Hartenstein),42-32, ,,2,42,32,10,865.0
9:35.0,M. Strus enters the game for D. Robinson,42-32, ,,2,42,32,10,865.0
9:19.0, ,42-32,T. Mann misses 3-pt jump shot from 24 ft,,2,42,32,10,881.0
9:17.0,Defensive rebound by B. Adebayo,42-32, ,,2,42,32,10,883.0
9:09.0,K. Lowry misses 3-pt jump shot from 24 ft,42-32, ,,2,42,32,10,891.0
9:05.0, ,42-32,Defensive rebound by I. Hartenstein,,2,42,32,10,895.0
8:42.0, ,42-32,I. Hartenstein misses 2-pt jump shot from 11 ft,,2,42,32,10,918.0
8:40.0,Defensive rebound by B. Adebayo,42-32, ,,2,42,32,10,920.0
8:31.0,B. Adebayo makes 2-pt layup from 1 ft (assist by G. Vincent),44-32, ,,2,44,32,12,929.0
8:13.0, ,44-32,E. Bledsoe misses 3-pt jump shot from 26 ft,,2,44,32,12,947.0
8:11.0,Defensive rebound by K. Lowry,44-32, ,,2,44,32,12,949.0
8:06.0,Shooting foul by L. Kennard (drawn by B. Adebayo),44-32, ,,2,44,32,12,954.0
8:06.0,B. Adebayo misses free throw 1 of 2,44-32, ,,2,44,32,12,954.0
8:06.0,Offensive rebound by Team,44-32, ,,2,44,32,12,954.0
8:06.0,B. Adebayo makes free throw 2 of 2,45-32, ,,2,45,32,13,954.0
7:57.0, ,45-32,Turnover by T. Mann (lost ball; steal by G. Vincent),,2,45,32,13,963.0
7:54.0,G. Vincent makes 2-pt layup from 1 ft,47-32, ,,2,47,32,15,966.0
7:54.0, ,47-32,LA Clippers full timeout,,2,47,32,15,966.0
7:54.0, ,47-32,P. George enters the game for T. Mann,,2,47,32,15,966.0
7:39.0, ,47-32,P. George misses 3-pt jump shot from 27 ft,,2,47,32,15,981.0
7:36.0, ,47-32,Offensive rebound by I. Hartenstein,,2,47,32,15,984.0
7:35.0, ,47-34,I. Hartenstein makes 2-pt layup at rim,,2,47,34,13,985.0
7:25.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by G. Vincent),50-34, ,,2,50,34,16,995.0
7:00.0, ,50-37,N. Batum makes 3-pt jump shot from 24 ft (assist by L. Kennard),,2,50,37,13,1020.0
6:51.0,G. Vincent makes 2-pt jump shot from 14 ft (assist by K. Lowry),52-37, ,,2,52,37,15,1029.0
6:37.0, ,52-37,I. Hartenstein misses 2-pt jump shot from 4 ft,,2,52,37,15,1043.0
6:35.0,Defensive rebound by M. Strus,52-37, ,,2,52,37,15,1045.0
6:30.0,G. Vincent misses 3-pt jump shot from 24 ft,52-37, ,,2,52,37,15,1050.0
6:27.0, ,52-37,Defensive rebound by I. Hartenstein,,2,52,37,15,1053.0
6:19.0, ,52-37,L. Kennard misses 3-pt jump shot from 25 ft,,2,52,37,15,1061.0
6:19.0, ,52-37,Offensive rebound by I. Hartenstein,,2,52,37,15,1061.0
6:14.0, ,52-39,I. Hartenstein makes 2-pt layup from 1 ft,,2,52,39,13,1066.0
5:57.0,M. Strus misses 3-pt jump shot from 29 ft,52-39, ,,2,52,39,13,1083.0
5:57.0, ,52-39,Defensive rebound by P. George,,2,52,39,13,1083.0
5:45.0, ,52-39,P. George misses 2-pt jump shot from 16 ft,,2,52,39,13,1095.0
5:45.0,Defensive rebound by Team,52-39, ,,2,52,39,13,1095.0
5:45.0,T. Herro enters the game for C. Martin,52-39, ,,2,52,39,13,1095.0
5:45.0,P. Tucker enters the game for G. Vincent,52-39, ,,2,52,39,13,1095.0
5:45.0, ,52-39,I. Zubac enters the game for I. Hartenstein,,2,52,39,13,1095.0
5:32.0,M. Strus misses 3-pt jump shot from 26 ft,52-39, ,,2,52,39,13,1108.0
5:30.0, ,52-39,Defensive rebound by I. Zubac,,2,52,39,13,1110.0
5:16.0, ,52-42,P. George makes 3-pt jump shot from 27 ft (assist by L. Kennard),,2,52,42,10,1124.0
5:11.0,Shooting foul by N. Batum (drawn by B. Adebayo),52-42, ,,2,52,42,10,1129.0
5:11.0,B. Adebayo makes free throw 1 of 2,53-42, ,,2,53,42,11,1129.0
5:11.0,B. Adebayo makes free throw 2 of 2,54-42, ,,2,54,42,12,1129.0
5:02.0, ,54-42,P. George misses 2-pt layup from 4 ft (block by B. Adebayo),,2,54,42,12,1138.0
5:02.0, ,54-42,Offensive rebound by Team,,2,54,42,12,1138.0
4:59.0, ,54-42,Turnover by E. Bledsoe (bad pass; steal by T. Herro),,2,54,42,12,1141.0
4:51.0,M. Strus misses 3-pt jump shot from 25 ft,54-42, ,,2,54,42,12,1149.0
4:48.0,Offensive rebound by P. Tucker,54-42, ,,2,54,42,12,1152.0
4:43.0,M. Strus misses 3-pt jump shot from 27 ft,54-42, ,,2,54,42,12,1157.0
4:38.0, ,54-42,Defensive rebound by L. Kennard,,2,54,42,12,1162.0
4:34.0, ,54-45,L. Kennard makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),,2,54,45,9,1166.0
4:15.0,Turnover by M. Strus (bad pass; steal by P. George),54-45, ,,2,54,45,9,1185.0
4:08.0, ,54-48,L. Kennard makes 3-pt jump shot from 26 ft (assist by N. Batum),,2,54,48,6,1192.0
3:53.0,Miami full timeout,54-48, ,,2,54,48,6,1207.0
3:47.0,K. Lowry misses 3-pt jump shot from 26 ft,54-48, ,,2,54,48,6,1213.0
3:42.0, ,54-48,Defensive rebound by L. Kennard,,2,54,48,6,1218.0
3:37.0, ,54-48,P. George misses 3-pt jump shot from 25 ft,,2,54,48,6,1223.0
3:35.0,Defensive rebound by M. Strus,54-48, ,,2,54,48,6,1225.0
3:30.0,T. Herro misses 2-pt layup from 2 ft (block by N. Batum),54-48, ,,2,54,48,6,1230.0
3:30.0,Offensive rebound by Team,54-48, ,,2,54,48,6,1230.0
3:29.0,Shooting foul by L. Kennard (drawn by T. Herro),54-48, ,,2,54,48,6,1231.0
3:29.0,T. Herro makes free throw 1 of 2,55-48, ,,2,55,48,7,1231.0
3:29.0,G. Vincent enters the game for M. Strus,55-48, ,,2,55,48,7,1231.0
3:29.0, ,55-48,T. Mann enters the game for L. Kennard,,2,55,48,7,1231.0
3:29.0,T. Herro makes free throw 2 of 2,56-48, ,,2,56,48,8,1231.0
3:05.0, ,56-48,Turnover by N. Batum (bad pass),,2,56,48,8,1255.0
2:55.0,K. Lowry misses 2-pt jump shot from 13 ft,56-48, ,,2,56,48,8,1265.0
2:53.0, ,56-48,Defensive rebound by I. Zubac,,2,56,48,8,1267.0
2:44.0, ,56-50,E. Bledsoe makes 2-pt jump shot from 3 ft,,2,56,50,6,1276.0
2:19.0,B. Adebayo misses 2-pt jump shot from 20 ft,56-50, ,,2,56,50,6,1301.0
2:17.0, ,56-50,Defensive rebound by N. Batum,,2,56,50,6,1303.0
2:17.0, ,56-50,Personal foul by T. Herro (drawn by T. Mann),,2,56,50,6,1303.0
2:10.0, ,56-50,E. Bledsoe misses 3-pt jump shot from 25 ft,,2,56,50,6,1310.0
2:07.0,Defensive rebound by P. Tucker,56-50, ,,2,56,50,6,1313.0
1:55.0,Turnover by P. Tucker (bad pass; steal by P. George),56-50, ,,2,56,50,6,1325.0
1:47.0, ,56-52,E. Bledsoe makes 2-pt layup from 1 ft,,2,56,52,4,1333.0
1:29.0,G. Vincent misses 3-pt jump shot from 23 ft,56-52, ,,2,56,52,4,1351.0
1:27.0, ,56-52,Defensive rebound by T. Mann,,2,56,52,4,1353.0
1:18.0, ,56-54,P. George makes 2-pt dunk from 3 ft,,2,56,54,2,1362.0
0:52.0,Turnover by K. Lowry (traveling),56-54, ,,2,56,54,2,1388.0
0:39.0, ,56-56,I. Zubac makes 2-pt hook shot from 2 ft (assist by E. Bledsoe),Tie,2,56,56,0,1401.0
0:28.0,K. Lowry misses 3-pt jump shot from 28 ft,56-56, ,,2,56,56,0,1412.0
0:25.0,Offensive rebound by T. Herro,56-56, ,,2,56,56,0,1415.0
0:19.0,T. Herro makes 2-pt jump shot from 13 ft,58-56, ,,2,58,56,2,1421.0
0:01.0, ,58-56,P. George misses 3-pt jump shot from 27 ft,,2,58,56,2,1439.0
0:00.0, ,58-56,Offensive rebound by Team,,2,58,56,2,1440.0
0:00.0,End of 2nd quarter,58-56,,,2,58,56,2,1440.0
12:00.0,Start of 3rd quarter,58-56,,,3,58,56,2,1440.0
11:46.0,B. Adebayo misses 2-pt jump shot from 14 ft,58-56, ,,3,58,56,2,1454.0
11:39.0, ,58-56,Defensive rebound by P. George,,3,58,56,2,1461.0
11:37.0, ,58-56,E. Bledsoe misses 2-pt layup from 1 ft,,3,58,56,2,1463.0
11:37.0,Defensive rebound by P. Tucker,58-56, ,,3,58,56,2,1463.0
11:22.0,T. Herro misses 2-pt jump shot from 16 ft,58-56, ,,3,58,56,2,1478.0
11:20.0, ,58-56,Defensive rebound by R. Jackson,,3,58,56,2,1480.0
11:14.0, ,58-58,R. Jackson makes 2-pt jump shot from 6 ft,Tie,3,58,58,0,1486.0
10:56.0,D. Robinson misses 3-pt jump shot from 26 ft,58-58, ,,3,58,58,0,1504.0
10:53.0, ,58-58,Defensive rebound by E. Bledsoe,,3,58,58,0,1507.0
10:45.0, ,58-61,R. Jackson makes 3-pt jump shot from 28 ft (assist by P. George),Lead change,3,58,61,-3,1515.0
10:33.0,T. Herro misses 2-pt jump shot from 6 ft,58-61, ,,3,58,61,-3,1527.0
10:31.0, ,58-61,Defensive rebound by I. Zubac,,3,58,61,-3,1529.0
10:22.0, ,58-63,I. Zubac makes 2-pt layup from 2 ft (assist by P. George),,3,58,63,-5,1538.0
9:57.0,P. Tucker makes 2-pt jump shot from 8 ft (assist by T. Herro),60-63, ,,3,60,63,-3,1563.0
9:53.0, ,60-63,Personal foul by K. Lowry (drawn by E. Bledsoe),,3,60,63,-3,1567.0
9:45.0, ,60-63,P. George misses 2-pt layup from 2 ft (block by P. Tucker),,3,60,63,-3,1575.0
9:37.0, ,60-63,Offensive rebound by P. George,,3,60,63,-3,1583.0
9:37.0, ,60-65,P. George makes 2-pt layup at rim,,3,60,65,-5,1583.0
9:25.0,T. Herro makes 2-pt jump shot from 17 ft,62-65, ,,3,62,65,-3,1595.0
9:06.0, ,62-65,R. Jackson misses 3-pt jump shot from 31 ft,,3,62,65,-3,1614.0
9:06.0,Defensive rebound by Team,62-65, ,,3,62,65,-3,1614.0
8:58.0,T. Herro makes 2-pt jump shot from 14 ft,64-65, ,,3,64,65,-1,1622.0
8:44.0, ,64-65,P. George misses 3-pt jump shot from 26 ft,,3,64,65,-1,1636.0
8:41.0,Defensive rebound by K. Lowry,64-65, ,,3,64,65,-1,1639.0
8:35.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),66-65, ,Lead change,3,66,65,1,1645.0
8:35.0, ,66-65,LA Clippers full timeout,,3,66,65,1,1645.0
8:29.0, ,66-65,Turnover by R. Jackson (lost ball; steal by D. Robinson),,3,66,65,1,1651.0
8:26.0,T. Herro misses 3-pt jump shot from 26 ft,66-65, ,,3,66,65,1,1654.0
8:22.0, ,66-65,Defensive rebound by E. Bledsoe,,3,66,65,1,1658.0
8:20.0, ,66-67,R. Jackson makes 2-pt layup from 2 ft (assist by N. Batum),Lead change,3,66,67,-1,1660.0
7:54.0,T. Herro misses 2-pt jump shot from 17 ft,66-67, ,,3,66,67,-1,1686.0
7:52.0,Offensive rebound by B. Adebayo,66-67, ,,3,66,67,-1,1688.0
7:49.0,B. Adebayo misses 2-pt layup from 2 ft (block by E. Bledsoe),66-67, ,,3,66,67,-1,1691.0
7:46.0, ,66-67,Defensive rebound by E. Bledsoe,,3,66,67,-1,1694.0
7:36.0, ,66-69,E. Bledsoe makes 2-pt jump shot from 11 ft,,3,66,69,-3,1704.0
7:17.0,P. Tucker makes 2-pt jump shot from 4 ft (assist by K. Lowry),68-69, ,,3,68,69,-1,1723.0
6:53.0, ,68-69,Turnover by P. George (lost ball; steal by B. Adebayo),,3,68,69,-1,1747.0
6:49.0,B. Adebayo misses 2-pt layup from 5 ft (block by I. Zubac),68-69, ,,3,68,69,-1,1751.0
6:43.0,Offensive rebound by D. Robinson,68-69, ,,3,68,69,-1,1757.0
6:42.0,T. Herro misses 3-pt jump shot from 24 ft,68-69, ,,3,68,69,-1,1758.0
6:40.0, ,68-69,Defensive rebound by N. Batum,,3,68,69,-1,1760.0
6:26.0, ,68-69,R. Jackson misses 2-pt layup from 4 ft,,3,68,69,-1,1774.0
6:26.0, ,68-69,Offensive rebound by R. Jackson,,3,68,69,-1,1774.0
6:26.0, ,68-69,Shooting foul by D. Robinson (drawn by R. Jackson),,3,68,69,-1,1774.0
6:26.0, ,68-70,R. Jackson makes free throw 1 of 2,,3,68,70,-2,1774.0
6:26.0, ,68-70,L. Kennard enters the game for P. George,,3,68,70,-2,1774.0
6:26.0, ,68-71,R. Jackson makes free throw 2 of 2,,3,68,71,-3,1774.0
6:10.0,D. Robinson misses 3-pt jump shot from 28 ft,68-71, ,,3,68,71,-3,1790.0
6:07.0,Offensive rebound by P. Tucker,68-71, ,,3,68,71,-3,1793.0
6:03.0,K. Lowry misses 3-pt jump shot from 30 ft,68-71, ,,3,68,71,-3,1797.0
5:59.0,Offensive rebound by P. Tucker,68-71, ,,3,68,71,-3,1801.0
5:54.0,T. Herro misses 2-pt jump shot from 7 ft,68-71, ,,3,68,71,-3,1806.0
5:54.0,Offensive rebound by B. Adebayo,68-71, ,,3,68,71,-3,1806.0
5:54.0,B. Adebayo makes 2-pt layup at rim,70-71, ,,3,70,71,-1,1806.0
5:54.0,Shooting foul by I. Zubac (drawn by B. Adebayo),70-71, ,,3,70,71,-1,1806.0
5:54.0,B. Adebayo misses free throw 1 of 1,70-71, ,,3,70,71,-1,1806.0
5:50.0,Offensive rebound by D. Robinson,70-71, ,,3,70,71,-1,1810.0
5:42.0,Turnover by T. Herro (bad pass; steal by L. Kennard),70-71, ,,3,70,71,-1,1818.0
5:33.0, ,70-71,E. Bledsoe misses 3-pt jump shot from 25 ft,,3,70,71,-1,1827.0
5:31.0,Defensive rebound by P. Tucker,70-71, ,,3,70,71,-1,1829.0
5:27.0,Turnover by K. Lowry (bad pass),70-71, ,,3,70,71,-1,1833.0
5:11.0, ,70-73,E. Bledsoe makes 2-pt layup from 1 ft (assist by L. Kennard),,3,70,73,-3,1849.0
4:51.0,P. Tucker misses 2-pt jump shot from 6 ft (block by N. Batum),70-73, ,,3,70,73,-3,1869.0
4:48.0, ,70-73,Defensive rebound by I. Zubac,,3,70,73,-3,1872.0
4:46.0, ,70-75,R. Jackson makes 2-pt layup from 3 ft (assist by I. Zubac),,3,70,75,-5,1874.0
4:46.0,Miami full timeout,70-75, ,,3,70,75,-5,1874.0
4:46.0,G. Vincent enters the game for K. Lowry,70-75, ,,3,70,75,-5,1874.0
4:35.0,Turnover by T. Herro (bad pass),70-75, ,,3,70,75,-5,1885.0
4:24.0, ,70-75,L. Kennard misses 2-pt jump shot from 14 ft,,3,70,75,-5,1896.0
4:22.0,Defensive rebound by D. Robinson,70-75, ,,3,70,75,-5,1898.0
4:13.0,T. Herro misses 3-pt jump shot from 26 ft,70-75, ,,3,70,75,-5,1907.0
4:12.0,Offensive rebound by Team,70-75, ,,3,70,75,-5,1908.0
4:01.0,T. Herro makes 2-pt jump shot from 6 ft (assist by D. Robinson),72-75, ,,3,72,75,-3,1919.0
3:41.0, ,72-75,R. Jackson misses 3-pt jump shot from 29 ft,,3,72,75,-3,1939.0
3:39.0,Defensive rebound by D. Robinson,72-75, ,,3,72,75,-3,1941.0
3:30.0,Turnover by G. Vincent (bad pass; steal by L. Kennard),72-75, ,,3,72,75,-3,1950.0
