Time,San Antonio,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:19.0, ,28-17,J. Butler makes 2-pt jump shot from 3 ft,,1,17,28,-11,521.0
3:19.0,San Antonio full timeout,28-17, ,,1,17,28,-11,521.0
3:03.0,D. Cacok makes 2-pt jump shot from 8 ft,30-17, ,,1,17,30,-13,537.0
2:40.0, ,30-20,J. Butler makes 3-pt jump shot from 26 ft,,1,20,30,-10,560.0
2:35.0,J. Landale makes 2-pt jump shot from 4 ft (assist by J. Primo),32-20, ,,1,20,32,-12,565.0
2:35.0,Shooting foul by J. Butler (drawn by J. Landale),32-20, ,,1,20,32,-12,565.0
2:35.0,T. Jones enters the game for L. Walker,32-20, ,,1,20,32,-12,565.0
2:35.0,J. Landale makes free throw 1 of 1,33-20, ,,1,20,33,-13,565.0
2:25.0, ,33-23,G. Vincent makes 3-pt jump shot from 25 ft,,1,23,33,-10,575.0
2:09.0,D. Cacok makes 2-pt jump shot from 10 ft (assist by T. Jones),35-23, ,,1,23,35,-12,591.0
1:48.0, ,35-25,T. Herro makes 2-pt jump shot from 18 ft (assist by J. Butler),,1,25,35,-10,612.0
1:29.0,J. Primo misses 3-pt jump shot from 23 ft,35-25, ,,1,25,35,-10,631.0
1:26.0, ,35-25,Defensive rebound by D. Dedmon,,1,25,35,-10,634.0
1:09.0, ,35-25,D. Dedmon misses 2-pt hook shot from 8 ft,,1,25,35,-10,651.0
1:07.0,Defensive rebound by D. Cacok,35-25, ,,1,25,35,-10,653.0
1:01.0,J. Primo misses 2-pt jump shot from 14 ft,35-25, ,,1,25,35,-10,659.0
0:58.0, ,35-25,Defensive rebound by J. Butler,,1,25,35,-10,662.0
0:48.0, ,35-25,J. Butler misses 2-pt jump shot from 11 ft,,1,25,35,-10,672.0
0:45.0,Defensive rebound by D. Cacok,35-25, ,,1,25,35,-10,675.0
0:35.0,J. Primo makes 3-pt jump shot from 23 ft (assist by J. Richardson),38-25, ,,1,25,38,-13,685.0
0:20.0, ,38-25,G. Vincent misses 3-pt jump shot from 27 ft,,1,25,38,-13,700.0
0:16.0,Defensive rebound by T. Jones,38-25, ,,1,25,38,-13,704.0
0:15.0,J. Landale makes 2-pt dunk from 1 ft (assist by T. Jones),40-25, ,,1,25,40,-15,705.0
0:00.0, ,40-25,T. Herro misses 3-pt jump shot from 26 ft,,1,25,40,-15,720.0
0:00.0, ,40-25,Offensive rebound by D. Dedmon,,1,25,40,-15,720.0
0:00.0, ,40-27,D. Dedmon makes 2-pt layup from 3 ft,,1,27,40,-13,720.0
0:00.0, ,40-27,Shooting foul by J. Richardson (drawn by D. Dedmon),,1,27,40,-13,720.0
0:00.0, ,40-28,D. Dedmon makes free throw 1 of 1,,1,28,40,-12,720.0
0:00.0,End of 1st quarter,40-28,,,1,28,40,-12,720.0
12:00.0,Start of 2nd quarter,40-28,,,2,28,40,-12,720.0
11:45.0, ,40-30,D. Dedmon makes 2-pt layup from 4 ft (assist by T. Herro),,2,30,40,-10,735.0
11:28.0,Turnover by J. Landale (bad pass; steal by C. Martin),40-30, ,,2,30,40,-10,752.0
11:15.0, ,40-32,T. Herro makes 2-pt jump shot from 14 ft,,2,32,40,-8,765.0
11:02.0,Turnover by D. Vassell (traveling),40-32, ,,2,32,40,-8,778.0
10:55.0, ,40-34,D. Dedmon makes 2-pt layup from 4 ft (assist by K. Lowry),,2,34,40,-6,785.0
10:55.0, ,40-34,Shooting foul by J. Landale (drawn by D. Dedmon),,2,34,40,-6,785.0
10:55.0,Z. Collins enters the game for J. Landale,40-34, ,,2,34,40,-6,785.0
10:55.0, ,40-35,D. Dedmon makes free throw 1 of 1,,2,35,40,-5,785.0
10:47.0,Personal foul by G. Vincent (drawn by D. Vassell),40-35, ,,2,35,40,-5,793.0
10:37.0,T. Jones makes 2-pt jump shot from 10 ft,42-35, ,,2,35,42,-7,803.0
10:20.0, ,42-37,T. Herro makes 2-pt layup from 4 ft,,2,37,42,-5,820.0
10:16.0,Personal foul by D. Dedmon (drawn by K. Bates-Diop),42-37, ,,2,37,42,-5,824.0
10:07.0,D. Vassell makes 2-pt jump shot from 14 ft,44-37, ,,2,37,44,-7,833.0
9:46.0, ,44-37,T. Herro misses 2-pt jump shot from 13 ft,,2,37,44,-7,854.0
9:43.0,Defensive rebound by K. Bates-Diop,44-37, ,,2,37,44,-7,857.0
9:32.0,Turnover by Z. Collins (bad pass),44-37, ,,2,37,44,-7,868.0
9:24.0, ,44-37,G. Vincent misses 3-pt jump shot from 27 ft,,2,37,44,-7,876.0
9:20.0,Defensive rebound by T. Jones,44-37, ,,2,37,44,-7,880.0
9:14.0,D. Vassell makes 3-pt jump shot from 26 ft (assist by T. Jones),47-37, ,,2,37,47,-10,886.0
8:56.0, ,47-37,T. Herro misses 2-pt jump shot from 12 ft,,2,37,47,-10,904.0
8:53.0,Defensive rebound by K. Bates-Diop,47-37, ,,2,37,47,-10,907.0
8:45.0,D. McDermott misses 3-pt jump shot from 26 ft,47-37, ,,2,37,47,-10,915.0
8:43.0, ,47-37,Defensive rebound by D. Dedmon,,2,37,47,-10,917.0
8:37.0, ,47-37,Shooting foul by T. Jones (drawn by K. Lowry),,2,37,47,-10,923.0
8:37.0, ,47-38,K. Lowry makes free throw 1 of 2,,2,38,47,-9,923.0
8:37.0,J. Primo enters the game for T. Jones,47-38, ,,2,38,47,-9,923.0
8:37.0, ,47-38,B. Adebayo enters the game for D. Dedmon,,2,38,47,-9,923.0
8:37.0, ,47-39,K. Lowry makes free throw 2 of 2,,2,39,47,-8,923.0
8:25.0,K. Bates-Diop makes 2-pt jump shot from 12 ft (assist by D. Vassell),49-39, ,,2,39,49,-10,935.0
8:15.0, ,49-41,G. Vincent makes 2-pt layup from 6 ft (assist by K. Lowry),,2,41,49,-8,945.0
7:59.0,Turnover by Z. Collins (bad pass; steal by B. Adebayo),49-41, ,,2,41,49,-8,961.0
7:48.0, ,49-41,Turnover by B. Adebayo (out of bounds lost ball),,2,41,49,-8,972.0
7:48.0,L. Walker enters the game for D. Vassell,49-41, ,,2,41,49,-8,972.0
7:48.0,San Antonio full timeout,49-41, ,,2,41,49,-8,972.0
7:38.0,Shooting foul by T. Herro (drawn by Z. Collins),49-41, ,,2,41,49,-8,982.0
7:38.0,Z. Collins makes free throw 1 of 2,50-41, ,,2,41,50,-9,982.0
7:38.0,Z. Collins misses free throw 2 of 2,50-41, ,,2,41,50,-9,982.0
7:35.0, ,50-41,Defensive rebound by B. Adebayo,,2,41,50,-9,985.0
7:35.0, ,50-41,D. Robinson enters the game for T. Herro,,2,41,50,-9,985.0
7:17.0, ,50-41,K. Lowry misses 3-pt jump shot from 27 ft,,2,41,50,-9,1003.0
7:12.0,Defensive rebound by L. Walker,50-41, ,,2,41,50,-9,1008.0
7:04.0,Offensive foul by J. Primo (drawn by G. Vincent),50-41, ,,2,41,50,-9,1016.0
7:04.0,Turnover by J. Primo (offensive foul),50-41, ,,2,41,50,-9,1016.0
7:04.0, ,50-41,J. Butler enters the game for G. Vincent,,2,41,50,-9,1016.0
6:52.0, ,50-44,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,2,44,50,-6,1028.0
6:41.0,Turnover by Z. Collins (out of bounds lost ball),50-44, ,,2,44,50,-6,1039.0
6:28.0, ,50-44,C. Martin misses 3-pt jump shot from 27 ft,,2,44,50,-6,1052.0
6:25.0,Defensive rebound by Z. Collins,50-44, ,,2,44,50,-6,1055.0
6:13.0,Personal foul by B. Adebayo (drawn by Z. Collins),50-44, ,,2,44,50,-6,1067.0
6:13.0,J. Richardson enters the game for D. McDermott,50-44, ,,2,44,50,-6,1067.0
6:05.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by Z. Collins),52-44, ,,2,44,52,-8,1075.0
5:48.0, ,52-44,Shooting foul by L. Walker (drawn by C. Martin),,2,44,52,-8,1092.0
5:48.0, ,52-44,C. Martin misses free throw 1 of 2,,2,44,52,-8,1092.0
5:48.0, ,52-44,Offensive rebound by Team,,2,44,52,-8,1092.0
5:48.0, ,52-44,T. Herro enters the game for K. Lowry,,2,44,52,-8,1092.0
5:48.0, ,52-44,Turnover by T. Herro (lane violation),,2,44,52,-8,1092.0
5:36.0,Turnover by Z. Collins (bad pass),52-44, ,,2,44,52,-8,1104.0
5:36.0,J. Landale enters the game for Z. Collins,52-44, ,,2,44,52,-8,1104.0
5:36.0, ,52-44,P. Tucker enters the game for C. Martin,,2,44,52,-8,1104.0
5:25.0, ,52-46,B. Adebayo makes 2-pt layup from 4 ft,,2,46,52,-6,1115.0
5:25.0, ,52-46,Shooting foul by J. Landale (drawn by B. Adebayo),,2,46,52,-6,1115.0
5:25.0, ,52-47,B. Adebayo makes free throw 1 of 1,,2,47,52,-5,1115.0
5:13.0,J. Richardson misses 3-pt jump shot from 28 ft,52-47, ,,2,47,52,-5,1127.0
5:12.0,Offensive rebound by Team,52-47, ,,2,47,52,-5,1128.0
5:12.0, ,52-47,Loose ball foul by D. Robinson (drawn by J. Landale),,2,47,52,-5,1128.0
5:12.0,J. Landale makes free throw 1 of 2,53-47, ,,2,47,53,-6,1128.0
5:12.0,J. Landale makes free throw 2 of 2,54-47, ,,2,47,54,-7,1128.0
4:56.0, ,54-47,Shooting foul by J. Primo (drawn by J. Butler),,2,47,54,-7,1144.0
4:56.0, ,54-48,J. Butler makes free throw 1 of 2,,2,48,54,-6,1144.0
4:56.0,D. Cacok enters the game for J. Landale,54-48, ,,2,48,54,-6,1144.0
4:56.0,T. Jones enters the game for J. Primo,54-48, ,,2,48,54,-6,1144.0
4:56.0, ,54-48,J. Butler misses free throw 2 of 2,,2,48,54,-6,1144.0
4:53.0,Defensive rebound by D. Cacok,54-48, ,,2,48,54,-6,1147.0
4:34.0,K. Bates-Diop misses 2-pt jump shot from 12 ft,54-48, ,,2,48,54,-6,1166.0
4:31.0, ,54-48,Defensive rebound by B. Adebayo,,2,48,54,-6,1169.0
4:29.0, ,54-48,Shooting foul by K. Bates-Diop (drawn by B. Adebayo),,2,48,54,-6,1171.0
4:29.0, ,54-48,B. Adebayo misses free throw 1 of 2,,2,48,54,-6,1171.0
4:29.0, ,54-48,Offensive rebound by Team,,2,48,54,-6,1171.0
4:29.0,San Antonio full timeout,54-48, ,,2,48,54,-6,1171.0
4:29.0,D. Vassell enters the game for K. Bates-Diop,54-48, ,,2,48,54,-6,1171.0
4:29.0, ,54-49,B. Adebayo makes free throw 2 of 2,,2,49,54,-5,1171.0
4:12.0,D. Vassell makes 2-pt jump shot from 15 ft (assist by D. Cacok),56-49, ,,2,49,56,-7,1188.0
3:55.0, ,56-51,B. Adebayo makes 2-pt layup from 3 ft,,2,51,56,-5,1205.0
3:55.0, ,56-51,Shooting foul by D. Cacok (drawn by B. Adebayo),,2,51,56,-5,1205.0
3:55.0, ,56-52,B. Adebayo makes free throw 1 of 1,,2,52,56,-4,1205.0
3:34.0,T. Jones misses 3-pt jump shot from 26 ft,56-52, ,,2,52,56,-4,1226.0
3:31.0, ,56-52,Defensive rebound by J. Butler,,2,52,56,-4,1229.0
3:09.0, ,56-52,Turnover by Team (shot clock),,2,52,56,-4,1251.0
2:55.0,T. Jones makes 2-pt layup from 2 ft,58-52, ,,2,52,58,-6,1265.0
2:47.0, ,58-54,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Butler),,2,54,58,-4,1273.0
2:47.0, ,58-54,Shooting foul by L. Walker (drawn by B. Adebayo),,2,54,58,-4,1273.0
2:47.0, ,58-54,K. Lowry enters the game for D. Robinson,,2,54,58,-4,1273.0
2:47.0, ,58-55,B. Adebayo makes free throw 1 of 1,,2,55,58,-3,1273.0
2:36.0,Turnover by D. Vassell (step out of bounds),58-55, ,,2,55,58,-3,1284.0
2:31.0, ,58-55,Turnover by B. Adebayo (traveling),,2,55,58,-3,1289.0
2:18.0,D. Vassell misses 2-pt jump shot from 15 ft,58-55, ,,2,55,58,-3,1302.0
2:15.0, ,58-55,Defensive rebound by B. Adebayo,,2,55,58,-3,1305.0
2:01.0, ,58-57,T. Herro makes 2-pt layup from 4 ft (assist by K. Lowry),,2,57,58,-1,1319.0
1:51.0,Offensive foul by T. Jones (drawn by K. Lowry),58-57, ,,2,57,58,-1,1329.0
1:51.0,Turnover by T. Jones (offensive foul),58-57, ,,2,57,58,-1,1329.0
1:51.0,Z. Collins enters the game for D. Cacok,58-57, ,,2,57,58,-1,1329.0
1:36.0, ,58-57,Shooting foul by J. Richardson (drawn by J. Butler),,2,57,58,-1,1344.0
1:36.0, ,58-58,J. Butler makes free throw 1 of 2,Tie,2,58,58,0,1344.0
1:36.0,D. McDermott enters the game for J. Richardson,58-58, ,,2,58,58,0,1344.0
1:36.0, ,58-58,J. Butler misses free throw 2 of 2,,2,58,58,0,1344.0
1:34.0,Defensive rebound by D. Vassell,58-58, ,,2,58,58,0,1346.0
1:12.0,D. Vassell misses 2-pt jump shot from 13 ft (block by B. Adebayo),58-58, ,,2,58,58,0,1368.0
1:12.0,Offensive rebound by D. Vassell,58-58, ,,2,58,58,0,1368.0
1:12.0,D. Vassell misses 2-pt jump shot from 13 ft,58-58, ,,2,58,58,0,1368.0
1:12.0,Offensive rebound by Team,58-58, ,,2,58,58,0,1368.0
1:12.0,Turnover by Team (shot clock),58-58, ,,2,58,58,0,1368.0
0:59.0, ,58-58,T. Herro misses 3-pt jump shot from 25 ft,,2,58,58,0,1381.0
0:54.0,Defensive rebound by L. Walker,58-58, ,,2,58,58,0,1386.0
0:46.0,Z. Collins misses 2-pt layup from 3 ft (block by B. Adebayo),58-58, ,,2,58,58,0,1394.0
0:41.0, ,58-58,Defensive rebound by J. Butler,,2,58,58,0,1399.0
0:38.0, ,58-60,J. Butler makes 2-pt layup from 3 ft,Lead change,2,60,58,2,1402.0
0:38.0, ,58-60,Shooting foul by Z. Collins (drawn by J. Butler),,2,60,58,2,1402.0
0:38.0, ,58-61,J. Butler makes free throw 1 of 1,,2,61,58,3,1402.0
0:30.0,T. Jones misses 2-pt jump shot from 7 ft,58-61, ,,2,61,58,3,1410.0
0:26.0,Offensive rebound by Z. Collins,58-61, ,,2,61,58,3,1414.0
0:26.0,Turnover by Z. Collins (out of bounds lost ball),58-61, ,,2,61,58,3,1414.0
0:26.0,K. Bates-Diop enters the game for T. Jones,58-61, ,,2,61,58,3,1414.0
0:04.0, ,58-61,J. Butler misses 2-pt layup from 4 ft,,2,61,58,3,1436.0
0:01.0,Defensive rebound by K. Bates-Diop,58-61, ,,2,61,58,3,1439.0
0:00.0,D. Vassell misses 2-pt jump shot from 23 ft,58-61, ,,2,61,58,3,1440.0
0:00.0,Offensive rebound by Team,58-61, ,,2,61,58,3,1440.0
0:00.0,End of 2nd quarter,58-61,,,2,61,58,3,1440.0
12:00.0,Start of 3rd quarter,58-61,,,3,61,58,3,1440.0
11:42.0, ,58-63,J. Butler makes 2-pt jump shot from 12 ft,,3,63,58,5,1458.0
11:27.0,Turnover by T. Jones (bad pass; steal by J. Butler),58-63, ,,3,63,58,5,1473.0
11:21.0, ,58-65,B. Adebayo makes 2-pt layup from 3 ft,,3,65,58,7,1479.0
11:11.0,Personal foul by P. Tucker (drawn by Z. Collins),58-65, ,,3,65,58,7,1489.0
11:11.0,Turnover by  (5 sec),58-65, ,,3,65,58,7,1489.0
10:58.0, ,58-68,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,68,58,10,1502.0
10:57.0,San Antonio full timeout,58-68, ,,3,68,58,10,1503.0
10:41.0,Z. Collins makes 2-pt dunk from 3 ft (assist by T. Jones),60-68, ,,3,68,60,8,1519.0
10:22.0, ,60-70,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),,3,70,60,10,1538.0
10:09.0,D. McDermott makes 2-pt jump shot from 11 ft (assist by D. Vassell),62-70, ,,3,70,62,8,1551.0
10:01.0, ,62-70,Shooting foul by Z. Collins (drawn by B. Adebayo),,3,70,62,8,1559.0
10:01.0, ,62-71,B. Adebayo makes free throw 1 of 2,,3,71,62,9,1559.0
10:01.0, ,62-72,B. Adebayo makes free throw 2 of 2,,3,72,62,10,1559.0
9:52.0,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by T. Jones),65-72, ,,3,72,65,7,1568.0
9:40.0, ,65-72,Personal foul by Z. Collins (drawn by J. Butler),,3,72,65,7,1580.0
9:35.0, ,65-72,B. Adebayo misses 2-pt jump shot from 15 ft,,3,72,65,7,1585.0
9:35.0, ,65-72,Offensive rebound by Team,,3,72,65,7,1585.0
9:35.0,Loose ball foul by D. McDermott (drawn by P. Tucker),65-72, ,,3,72,65,7,1585.0
9:26.0, ,65-72,D. Robinson misses 3-pt jump shot from 26 ft,,3,72,65,7,1594.0
9:23.0,Defensive rebound by Z. Collins,65-72, ,,3,72,65,7,1597.0
9:17.0,Personal foul by D. Robinson (drawn by Z. Collins),65-72, ,,3,72,65,7,1603.0
9:09.0,D. Vassell misses 2-pt layup from 9 ft,65-72, ,,3,72,65,7,1611.0
9:09.0, ,65-72,Defensive rebound by P. Tucker,,3,72,65,7,1611.0
8:53.0, ,65-74,P. Tucker makes 2-pt layup from 3 ft (assist by K. Lowry),,3,74,65,9,1627.0
8:43.0,D. Vassell makes 3-pt jump shot from 23 ft (assist by K. Bates-Diop),68-74, ,,3,74,68,6,1637.0
8:43.0,Shooting foul by P. Tucker (drawn by D. Vassell),68-74, ,,3,74,68,6,1637.0
8:43.0,D. Vassell makes free throw 1 of 1,69-74, ,,3,74,69,5,1637.0
8:26.0, ,69-74,J. Butler misses 3-pt jump shot from 24 ft,,3,74,69,5,1654.0
8:24.0,Defensive rebound by T. Jones,69-74, ,,3,74,69,5,1656.0
8:17.0,D. Vassell makes 3-pt jump shot from 24 ft (assist by K. Bates-Diop),72-74, ,,3,74,72,2,1663.0
7:55.0, ,72-74,B. Adebayo misses 2-pt jump shot from 7 ft,,3,74,72,2,1685.0
7:52.0,Defensive rebound by K. Bates-Diop,72-74, ,,3,74,72,2,1688.0
7:46.0,Personal foul by B. Adebayo (drawn by Z. Collins),72-74, ,,3,74,72,2,1694.0
7:34.0,Shooting foul by K. Lowry (drawn by D. Vassell),72-74, ,,3,74,72,2,1706.0
7:34.0,D. Vassell makes free throw 1 of 2,73-74, ,,3,74,73,1,1706.0
7:34.0,J. Landale enters the game for Z. Collins,73-74, ,,3,74,73,1,1706.0
7:34.0, ,73-74,D. Dedmon enters the game for B. Adebayo,,3,74,73,1,1706.0
7:34.0,D. Vassell makes free throw 2 of 2,74-74, ,Tie,3,74,74,0,1706.0
7:13.0, ,74-76,J. Butler makes 2-pt jump shot from 6 ft (assist by K. Lowry),,3,76,74,2,1727.0
6:54.0,T. Jones makes 2-pt layup from 5 ft (assist by J. Landale),76-76, ,Tie,3,76,76,0,1746.0
6:44.0, ,76-76,J. Butler misses 2-pt jump shot from 12 ft,,3,76,76,0,1756.0
6:44.0,Defensive rebound by T. Jones,76-76, ,,3,76,76,0,1756.0
6:40.0,Shooting foul by D. Robinson (drawn by K. Bates-Diop),76-76, ,,3,76,76,0,1760.0
6:40.0,K. Bates-Diop makes free throw 1 of 2,77-76, ,Lead change,3,76,77,-1,1760.0
6:40.0,J. Richardson enters the game for D. McDermott,77-76, ,,3,76,77,-1,1760.0
6:40.0,L. Walker enters the game for D. Vassell,77-76, ,,3,76,77,-1,1760.0
6:40.0,K. Bates-Diop misses free throw 2 of 2,77-76, ,,3,76,77,-1,1760.0
6:37.0, ,77-76,Defensive rebound by D. Dedmon,,3,76,77,-1,1763.0
6:23.0, ,77-76,P. Tucker misses 2-pt layup from 3 ft,,3,76,77,-1,1777.0
6:19.0, ,77-76,Offensive rebound by D. Dedmon,,3,76,77,-1,1781.0
6:19.0, ,77-78,D. Dedmon makes 2-pt layup at rim,Lead change,3,78,77,1,1781.0
6:14.0,T. Jones makes 2-pt jump shot from 13 ft,79-78, ,Lead change,3,78,79,-1,1786.0
6:14.0,Shooting foul by P. Tucker (drawn by T. Jones),79-78, ,,3,78,79,-1,1786.0
6:14.0, ,79-78,C. Martin enters the game for P. Tucker,,3,78,79,-1,1786.0
6:14.0,T. Jones makes free throw 1 of 1,80-78, ,,3,78,80,-2,1786.0
5:54.0, ,80-78,Offensive foul by J. Butler (drawn by T. Jones),,3,78,80,-2,1806.0
5:54.0, ,80-78,Turnover by J. Butler (offensive foul),,3,78,80,-2,1806.0
5:54.0,J. Primo enters the game for T. Jones,80-78, ,,3,78,80,-2,1806.0
5:45.0,Offensive foul by J. Landale (drawn by D. Dedmon),80-78, ,,3,78,80,-2,1815.0
5:45.0,Turnover by J. Landale (offensive foul),80-78, ,,3,78,80,-2,1815.0
5:24.0, ,80-78,Shooting foul by J. Richardson (drawn by J. Butler),,3,78,80,-2,1836.0
