Time,Denver,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:49.0, ,42-35,Offensive rebound by B. Adebayo,,2,35,42,-7,971.0
7:41.0, ,42-35,C. Martin misses 3-pt jump shot from 24 ft,,2,35,42,-7,979.0
7:40.0,Defensive rebound by Team,42-35, ,,2,35,42,-7,980.0
7:16.0,J. Green misses 2-pt jump shot from 10 ft,42-35, ,,2,35,42,-7,1004.0
7:14.0, ,42-35,Defensive rebound by B. Adebayo,,2,35,42,-7,1006.0
7:05.0, ,42-35,M. Strus misses 3-pt jump shot from 26 ft,,2,35,42,-7,1015.0
7:02.0,Defensive rebound by A. Gordon,42-35, ,,2,35,42,-7,1018.0
6:57.0,Shooting foul by K. Lowry (drawn by B. Hyland),42-35, ,,2,35,42,-7,1023.0
6:57.0,B. Hyland makes free throw 1 of 2,43-35, ,,2,35,43,-8,1023.0
6:57.0,N. Jokić enters the game for F. Campazzo,43-35, ,,2,35,43,-8,1023.0
6:57.0,M. Morris enters the game for A. Rivers,43-35, ,,2,35,43,-8,1023.0
6:57.0,B. Hyland makes free throw 2 of 2,44-35, ,,2,35,44,-9,1023.0
6:43.0, ,44-35,D. Robinson misses 3-pt jump shot from 23 ft,,2,35,44,-9,1037.0
6:38.0,Defensive rebound by M. Morris,44-35, ,,2,35,44,-9,1042.0
6:23.0,J. Green makes 3-pt jump shot from 23 ft (assist by N. Jokić),47-35, ,,2,35,47,-12,1057.0
6:21.0, ,47-35,Miami full timeout,,2,35,47,-12,1059.0
6:21.0, ,47-35,P. Tucker enters the game for K. Lowry,,2,35,47,-12,1059.0
6:21.0, ,47-35,G. Vincent enters the game for C. Martin,,2,35,47,-12,1059.0
6:00.0, ,47-35,M. Strus misses 3-pt jump shot from 28 ft,,2,35,47,-12,1080.0
6:00.0,Defensive rebound by Team,47-35, ,,2,35,47,-12,1080.0
5:50.0,Turnover by A. Gordon (off goaltending),47-35, ,,2,35,47,-12,1090.0
5:41.0, ,47-35,Personal foul by B. Hyland (drawn by M. Strus),,2,35,47,-12,1099.0
5:32.0, ,47-35,B. Adebayo misses 2-pt layup from 1 ft,,2,35,47,-12,1108.0
5:30.0, ,47-35,Offensive rebound by B. Adebayo,,2,35,47,-12,1110.0
5:29.0, ,47-35,D. Robinson misses 3-pt jump shot from 26 ft,,2,35,47,-12,1111.0
5:24.0,Defensive rebound by N. Jokić,47-35, ,,2,35,47,-12,1116.0
5:17.0,Turnover by B. Hyland (bad pass; steal by G. Vincent),47-35, ,,2,35,47,-12,1123.0
5:03.0, ,47-35,M. Strus misses 3-pt jump shot from 24 ft,,2,35,47,-12,1137.0
5:01.0,Defensive rebound by Team,47-35, ,,2,35,47,-12,1139.0
5:01.0, ,47-35,Loose ball foul by B. Adebayo (drawn by N. Jokić),,2,35,47,-12,1139.0
5:01.0,W. Barton enters the game for B. Hyland,47-35, ,,2,35,47,-12,1139.0
4:49.0,M. Morris makes 3-pt jump shot from 27 ft (assist by N. Jokić),50-35, ,,2,35,50,-15,1151.0
4:25.0, ,50-35,G. Vincent misses 2-pt jump shot from 17 ft,,2,35,50,-15,1175.0
4:21.0, ,50-35,Offensive rebound by G. Vincent,,2,35,50,-15,1179.0
4:20.0, ,50-35,B. Adebayo misses 2-pt hook shot from 5 ft,,2,35,50,-15,1180.0
4:14.0,Defensive rebound by W. Barton,50-35, ,,2,35,50,-15,1186.0
4:08.0,M. Morris misses 3-pt jump shot from 24 ft,50-35, ,,2,35,50,-15,1192.0
4:03.0, ,50-35,Defensive rebound by D. Robinson,,2,35,50,-15,1197.0
3:55.0, ,50-37,B. Adebayo makes 2-pt jump shot from 11 ft (assist by G. Vincent),,2,37,50,-13,1205.0
3:34.0,J. Green makes 2-pt dunk from 2 ft (assist by A. Gordon),52-37, ,,2,37,52,-15,1226.0
3:23.0, ,52-37,D. Robinson misses 3-pt jump shot from 23 ft,,2,37,52,-15,1237.0
3:20.0,Defensive rebound by M. Morris,52-37, ,,2,37,52,-15,1240.0
3:07.0,Personal foul by D. Robinson (drawn by A. Gordon),52-37, ,,2,37,52,-15,1253.0
3:07.0,A. Gordon misses free throw 1 of 2,52-37, ,,2,37,52,-15,1253.0
3:07.0,Offensive rebound by Team,52-37, ,,2,37,52,-15,1253.0
3:07.0, ,52-37,D. Dedmon enters the game for B. Adebayo,,2,37,52,-15,1253.0
3:07.0, ,52-37,K. Lowry enters the game for D. Robinson,,2,37,52,-15,1253.0
3:07.0,A. Gordon makes free throw 2 of 2,53-37, ,,2,37,53,-16,1253.0
2:54.0, ,53-39,P. Tucker makes 2-pt hook shot from 3 ft (assist by M. Strus),,2,39,53,-14,1266.0
2:38.0,J. Green makes 2-pt layup from 3 ft,55-39, ,,2,39,55,-16,1282.0
2:18.0, ,55-39,D. Dedmon misses 2-pt layup from 2 ft,,2,39,55,-16,1302.0
2:13.0,Defensive rebound by M. Morris,55-39, ,,2,39,55,-16,1307.0
2:08.0,J. Green misses 3-pt jump shot from 27 ft,55-39, ,,2,39,55,-16,1312.0
2:06.0,Offensive rebound by N. Jokić,55-39, ,,2,39,55,-16,1314.0
2:03.0,N. Jokić makes 2-pt layup from 6 ft,57-39, ,,2,39,57,-18,1317.0
1:52.0, ,57-41,K. Lowry makes 2-pt layup from 4 ft,,2,41,57,-16,1328.0
1:42.0,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),59-41, ,,2,41,59,-18,1338.0
1:27.0, ,59-41,G. Vincent misses 3-pt jump shot from 23 ft,,2,41,59,-18,1353.0
1:24.0,Defensive rebound by A. Gordon,59-41, ,,2,41,59,-18,1356.0
1:18.0,N. Jokić makes 2-pt layup from 2 ft (assist by M. Morris),61-41, ,,2,41,61,-20,1362.0
1:00.0, ,61-41,Shooting foul by N. Jokić (drawn by D. Dedmon),,2,41,61,-20,1380.0
1:00.0, ,61-42,D. Dedmon makes free throw 1 of 2,,2,42,61,-19,1380.0
1:00.0, ,61-43,D. Dedmon makes free throw 2 of 2,,2,43,61,-18,1380.0
0:42.0,N. Jokić makes 2-pt layup from 3 ft (assist by A. Gordon),63-43, ,,2,43,63,-20,1398.0
0:31.0, ,63-43,Offensive foul by D. Dedmon (drawn by J. Green),,2,43,63,-20,1409.0
0:31.0, ,63-43,Turnover by D. Dedmon (offensive foul),,2,43,63,-20,1409.0
0:31.0, ,63-43,C. Martin enters the game for M. Strus,,2,43,63,-20,1409.0
0:11.0,N. Jokić misses 2-pt layup from 3 ft (block by D. Dedmon),63-43, ,,2,43,63,-20,1429.0
0:07.0, ,63-43,Defensive rebound by P. Tucker,,2,43,63,-20,1433.0
0:00.0, ,63-43,P. Tucker misses 3-pt jump shot from 24 ft,,2,43,63,-20,1440.0
0:00.0, ,63-43,Offensive rebound by Team,,2,43,63,-20,1440.0
0:00.0,End of 2nd quarter,63-43,,,2,43,63,-20,1440.0
12:00.0,Start of 3rd quarter,63-43,,,3,43,63,-20,1440.0
11:48.0, ,63-43,K. Lowry misses 3-pt jump shot from 26 ft,,3,43,63,-20,1452.0
11:43.0, ,63-43,Offensive rebound by K. Lowry,,3,43,63,-20,1457.0
11:32.0, ,63-46,C. Martin makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,46,63,-17,1468.0
11:11.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by N. Jokić),66-46, ,,3,46,66,-20,1489.0
10:45.0, ,66-46,C. Martin misses 3-pt jump shot from 25 ft,,3,46,66,-20,1515.0
10:42.0,Defensive rebound by J. Green,66-46, ,,3,46,66,-20,1518.0
10:31.0,W. Barton misses 3-pt jump shot from 25 ft,66-46, ,,3,46,66,-20,1529.0
10:28.0, ,66-46,Defensive rebound by B. Adebayo,,3,46,66,-20,1532.0
10:14.0, ,66-46,C. Martin misses 2-pt layup from 3 ft,,3,46,66,-20,1546.0
10:11.0,Defensive rebound by N. Jokić,66-46, ,,3,46,66,-20,1549.0
10:08.0,A. Gordon makes 2-pt dunk from 2 ft (assist by M. Morris),68-46, ,,3,46,68,-22,1552.0
9:48.0, ,68-46,D. Robinson misses 3-pt jump shot from 26 ft,,3,46,68,-22,1572.0
9:44.0, ,68-46,Offensive rebound by B. Adebayo,,3,46,68,-22,1576.0
9:35.0, ,68-48,B. Adebayo makes 2-pt jump shot from 9 ft (assist by D. Robinson),,3,48,68,-20,1585.0
9:15.0,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),71-48, ,,3,48,71,-23,1605.0
9:01.0, ,71-50,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),,3,50,71,-21,1619.0
8:43.0,M. Morris misses 2-pt jump shot from 18 ft,71-50, ,,3,50,71,-21,1637.0
8:42.0, ,71-50,Defensive rebound by Team,,3,50,71,-21,1638.0
8:35.0, ,71-50,D. Robinson misses 3-pt jump shot from 26 ft,,3,50,71,-21,1645.0
8:33.0,Defensive rebound by N. Jokić,71-50, ,,3,50,71,-21,1647.0
8:28.0,Turnover by J. Green (step out of bounds),71-50, ,,3,50,71,-21,1652.0
8:20.0, ,71-52,B. Adebayo makes 2-pt jump shot from 9 ft (assist by K. Lowry),,3,52,71,-19,1660.0
8:20.0, ,71-52,Shooting foul by N. Jokić (drawn by B. Adebayo),,3,52,71,-19,1660.0
8:20.0, ,71-53,B. Adebayo makes free throw 1 of 1,,3,53,71,-18,1660.0
8:00.0,Personal foul by K. Lowry (drawn by N. Jokić),71-53, ,,3,53,71,-18,1680.0
7:52.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by A. Gordon),74-53, ,,3,53,74,-21,1688.0
7:52.0,Shooting foul by B. Adebayo (drawn by N. Jokić),74-53, ,,3,53,74,-21,1688.0
7:52.0,N. Jokić misses free throw 1 of 1,74-53, ,,3,53,74,-21,1688.0
7:49.0, ,74-53,Defensive rebound by P. Tucker,,3,53,74,-21,1691.0
7:38.0, ,74-55,P. Tucker makes 2-pt layup from 1 ft (assist by K. Lowry),,3,55,74,-19,1702.0
7:22.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by M. Morris),77-55, ,,3,55,77,-22,1718.0
7:10.0, ,77-55,B. Adebayo misses 2-pt layup from 3 ft,,3,55,77,-22,1730.0
7:07.0,Defensive rebound by A. Gordon,77-55, ,,3,55,77,-22,1733.0
7:05.0,J. Green makes 2-pt layup from 1 ft (assist by A. Gordon),79-55, ,,3,55,79,-24,1735.0
7:05.0, ,79-55,Miami full timeout,,3,55,79,-24,1735.0
6:51.0, ,79-57,C. Martin makes 2-pt layup from 1 ft (assist by B. Adebayo),,3,57,79,-22,1749.0
6:34.0,N. Jokić misses 2-pt jump shot from 6 ft,79-57, ,,3,57,79,-22,1766.0
6:31.0, ,79-57,Defensive rebound by P. Tucker,,3,57,79,-22,1769.0
6:29.0, ,79-59,C. Martin makes 2-pt layup from 1 ft (assist by K. Lowry),,3,59,79,-20,1771.0
6:22.0,Shooting foul by C. Martin (drawn by N. Jokić),79-59, ,,3,59,79,-20,1778.0
6:22.0,N. Jokić makes free throw 1 of 2,80-59, ,,3,59,80,-21,1778.0
6:22.0,N. Jokić makes free throw 2 of 2,81-59, ,,3,59,81,-22,1778.0
5:58.0, ,81-61,C. Martin makes 2-pt layup from 2 ft,,3,61,81,-20,1802.0
5:35.0,N. Jokić misses 2-pt hook shot from 10 ft,81-61, ,,3,61,81,-20,1825.0
5:32.0, ,81-61,Defensive rebound by P. Tucker,,3,61,81,-20,1828.0
5:31.0, ,81-63,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Lowry),,3,63,81,-18,1829.0
5:31.0, ,81-63,Shooting foul by W. Barton (drawn by B. Adebayo),,3,63,81,-18,1829.0
5:31.0,Denver full timeout,81-63, ,,3,63,81,-18,1829.0
5:31.0,A. Rivers enters the game for W. Barton,81-63, ,,3,63,81,-18,1829.0
5:31.0, ,81-63,B. Adebayo misses free throw 1 of 1,,3,63,81,-18,1829.0
5:28.0,Defensive rebound by J. Green,81-63, ,,3,63,81,-18,1832.0
5:12.0,A. Gordon misses 3-pt jump shot from 23 ft,81-63, ,,3,63,81,-18,1848.0
5:08.0, ,81-63,Defensive rebound by B. Adebayo,,3,63,81,-18,1852.0
5:01.0, ,81-63,B. Adebayo misses 2-pt layup from 4 ft,,3,63,81,-18,1859.0
4:58.0, ,81-63,Offensive rebound by B. Adebayo,,3,63,81,-18,1862.0
4:58.0, ,81-63,B. Adebayo misses 2-pt layup at rim,,3,63,81,-18,1862.0
4:58.0,Defensive rebound by N. Jokić,81-63, ,,3,63,81,-18,1862.0
4:55.0,M. Morris misses 3-pt jump shot from 26 ft,81-63, ,,3,63,81,-18,1865.0
4:49.0, ,81-63,Defensive rebound by P. Tucker,,3,63,81,-18,1871.0
4:49.0, ,81-63,Personal take foul by J. Green (drawn by D. Robinson),,3,63,81,-18,1871.0
4:49.0,F. Campazzo enters the game for M. Morris,81-63, ,,3,63,81,-18,1871.0
4:41.0, ,81-63,C. Martin misses 2-pt layup from 2 ft,,3,63,81,-18,1879.0
4:37.0,Defensive rebound by J. Green,81-63, ,,3,63,81,-18,1883.0
4:19.0,A. Rivers misses 3-pt jump shot from 26 ft,81-63, ,,3,63,81,-18,1901.0
4:13.0, ,81-63,Defensive rebound by B. Adebayo,,3,63,81,-18,1907.0
4:11.0, ,81-63,Personal foul by F. Campazzo (drawn by D. Robinson),,3,63,81,-18,1909.0
4:11.0,Z. Nnaji enters the game for J. Green,81-63, ,,3,63,81,-18,1909.0
4:03.0, ,81-65,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Robinson),,3,65,81,-16,1917.0
