Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:36.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),17-18, ,,1,17,18,-1,444.0
4:14.0, ,17-18,K. Durant misses 2-pt jump shot from 13 ft,,1,17,18,-1,466.0
4:11.0,Defensive rebound by D. Dedmon,17-18, ,,1,17,18,-1,469.0
4:02.0,D. Dedmon makes 2-pt jump shot from 11 ft (assist by J. Butler),19-18, ,Lead change,1,19,18,1,478.0
3:49.0, ,19-18,Turnover by J. Harden (lost ball; steal by J. Butler),,1,19,18,1,491.0
3:49.0, ,19-18,Clear path foul by T. Herro,,1,19,18,1,491.0
3:49.0, ,19-18,Instant Replay (Request: Ruling Stands),,1,19,18,1,491.0
3:49.0,T. Herro misses clear path free throw 1 of 2,19-18, ,,1,19,18,1,491.0
3:49.0,Offensive rebound by Team,19-18, ,,1,19,18,1,491.0
3:49.0,T. Herro makes clear path free throw 2 of 2,20-18, ,,1,20,18,2,491.0
3:37.0,J. Butler misses 2-pt jump shot from 14 ft,20-18, ,,1,20,18,2,503.0
3:34.0,Offensive rebound by P. Tucker,20-18, ,,1,20,18,2,506.0
3:32.0,P. Tucker misses 2-pt hook shot from 4 ft (block by K. Durant),20-18, ,,1,20,18,2,508.0
3:29.0,Offensive rebound by J. Butler,20-18, ,,1,20,18,2,511.0
3:27.0,J. Butler misses 2-pt jump shot from 14 ft,20-18, ,,1,20,18,2,513.0
3:25.0,Offensive rebound by T. Herro,20-18, ,,1,20,18,2,515.0
3:22.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by T. Herro),23-18, ,,1,23,18,5,518.0
2:59.0, ,23-18,L. Aldridge misses 2-pt hook shot from 7 ft,,1,23,18,5,541.0
2:57.0,Defensive rebound by J. Butler,23-18, ,,1,23,18,5,543.0
2:44.0,T. Herro makes 2-pt jump shot from 9 ft (assist by P. Tucker),25-18, ,,1,25,18,7,556.0
2:30.0, ,25-18,K. Durant misses 3-pt jump shot from 26 ft,,1,25,18,7,570.0
2:26.0,Defensive rebound by T. Herro,25-18, ,,1,25,18,7,574.0
2:23.0,Personal foul by J. Harden (drawn by T. Herro),25-18, ,,1,25,18,7,577.0
2:23.0, ,25-18,D. Bembry enters the game for J. Harden,,1,25,18,7,577.0
2:23.0, ,25-18,B. Brown enters the game for J. Harris,,1,25,18,7,577.0
2:16.0,T. Herro makes 2-pt jump shot from 13 ft,27-18, ,,1,27,18,9,584.0
1:52.0, ,27-20,D. Bembry makes 2-pt jump shot from 6 ft,,1,27,20,7,608.0
1:41.0,T. Herro misses 3-pt jump shot from 27 ft,27-20, ,,1,27,20,7,619.0
1:38.0, ,27-20,Defensive rebound by K. Durant,,1,27,20,7,622.0
1:31.0, ,27-20,Offensive foul by D. Bembry (drawn by D. Dedmon),,1,27,20,7,629.0
1:31.0, ,27-20,Turnover by D. Bembry (offensive foul),,1,27,20,7,629.0
1:31.0,K. Lowry enters the game for J. Butler,27-20, ,,1,27,20,7,629.0
1:31.0,M. Strus enters the game for D. Robinson,27-20, ,,1,27,20,7,629.0
1:19.0,T. Herro misses 2-pt jump shot from 11 ft,27-20, ,,1,27,20,7,641.0
1:16.0, ,27-20,Defensive rebound by K. Durant,,1,27,20,7,644.0
1:13.0, ,27-20,Offensive foul by K. Durant (drawn by K. Lowry),,1,27,20,7,647.0
1:13.0, ,27-20,Turnover by K. Durant (offensive foul),,1,27,20,7,647.0
1:01.0,Personal foul by D. Bembry (drawn by T. Herro),27-20, ,,1,27,20,7,659.0
0:52.0,T. Herro misses 2-pt jump shot from 13 ft,27-20, ,,1,27,20,7,668.0
0:51.0,Offensive rebound by D. Dedmon,27-20, ,,1,27,20,7,669.0
0:50.0,D. Dedmon misses 2-pt layup from 1 ft,27-20, ,,1,27,20,7,670.0
0:49.0,Offensive rebound by P. Tucker,27-20, ,,1,27,20,7,671.0
0:39.0,K. Lowry misses 3-pt jump shot from 25 ft,27-20, ,,1,27,20,7,681.0
0:36.0, ,27-20,Defensive rebound by K. Durant,,1,27,20,7,684.0
0:30.0, ,27-22,K. Durant makes 2-pt jump shot from 10 ft,,1,27,22,5,690.0
0:05.0,P. Tucker misses 2-pt jump shot from 10 ft,27-22, ,,1,27,22,5,715.0
0:04.0,Offensive rebound by D. Dedmon,27-22, ,,1,27,22,5,716.0
0:04.0,D. Dedmon makes 2-pt layup at rim,29-22, ,,1,29,22,7,716.0
0:00.0, ,29-22,L. Aldridge misses 3-pt jump shot from 25 ft,,1,29,22,7,720.0
0:00.0, ,29-22,Offensive rebound by Team,,1,29,22,7,720.0
0:00.0,End of 1st quarter,29-22,,,1,29,22,7,720.0
12:00.0,Start of 2nd quarter,29-22,,,2,29,22,7,720.0
11:46.0, ,29-22,J. Harris misses 3-pt jump shot from 26 ft,,2,29,22,7,734.0
11:41.0,Defensive rebound by D. Dedmon,29-22, ,,2,29,22,7,739.0
11:31.0,M. Morris misses 3-pt jump shot from 25 ft,29-22, ,,2,29,22,7,749.0
11:28.0, ,29-22,Defensive rebound by B. Brown,,2,29,22,7,752.0
11:21.0, ,29-22,Turnover by P. Millsap (traveling),,2,29,22,7,759.0
11:02.0,M. Strus misses 3-pt jump shot from 24 ft (block by D. Bembry),29-22, ,,2,29,22,7,778.0
10:58.0,Offensive rebound by T. Herro,29-22, ,,2,29,22,7,782.0
10:56.0,T. Herro misses 2-pt jump shot from 9 ft,29-22, ,,2,29,22,7,784.0
10:52.0,Offensive rebound by D. Dedmon,29-22, ,,2,29,22,7,788.0
10:51.0,D. Dedmon makes 2-pt layup from 2 ft,31-22, ,,2,31,22,9,789.0
10:38.0, ,31-24,P. Millsap makes 2-pt layup from 3 ft (assist by B. Brown),,2,31,24,7,802.0
10:27.0,M. Morris makes 2-pt jump shot from 12 ft (assist by K. Lowry),33-24, ,,2,33,24,9,813.0
10:12.0, ,33-27,P. Millsap makes 3-pt jump shot from 26 ft (assist by D. Bembry),,2,33,27,6,828.0
10:12.0,B. Adebayo enters the game for D. Dedmon,33-27, ,,2,33,27,6,828.0
9:57.0,Turnover by T. Herro (bad pass),33-27, ,,2,33,27,6,843.0
9:39.0, ,33-29,D. Bembry makes 2-pt layup from 2 ft (assist by J. Carter),,2,33,29,4,861.0
9:34.0,Personal foul by J. Harris (drawn by K. Lowry),33-29, ,,2,33,29,4,866.0
9:22.0,M. Strus misses 3-pt jump shot from 23 ft,33-29, ,,2,33,29,4,878.0
9:19.0, ,33-29,Defensive rebound by J. Carter,,2,33,29,4,881.0
9:14.0, ,33-29,Offensive foul by B. Brown (drawn by M. Morris),,2,33,29,4,886.0
9:14.0, ,33-29,Turnover by B. Brown (offensive foul),,2,33,29,4,886.0
9:04.0,M. Morris misses 2-pt jump shot from 13 ft,33-29, ,,2,33,29,4,896.0
9:02.0, ,33-29,Defensive rebound by D. Bembry,,2,33,29,4,898.0
8:59.0, ,33-29,D. Bembry misses 2-pt jump shot from 5 ft,,2,33,29,4,901.0
8:56.0,Defensive rebound by B. Adebayo,33-29, ,,2,33,29,4,904.0
8:47.0,T. Herro misses 2-pt jump shot from 22 ft,33-29, ,,2,33,29,4,913.0
8:44.0, ,33-29,Defensive rebound by J. Harris,,2,33,29,4,916.0
8:38.0, ,33-29,J. Carter misses 3-pt jump shot from 25 ft,,2,33,29,4,922.0
8:35.0,Defensive rebound by B. Adebayo,33-29, ,,2,33,29,4,925.0
8:28.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),35-29, ,,2,35,29,6,932.0
8:13.0, ,35-29,J. Harris misses 2-pt layup from 1 ft,,2,35,29,6,947.0
8:11.0,Defensive rebound by B. Adebayo,35-29, ,,2,35,29,6,949.0
8:04.0,Turnover by T. Herro (bad pass; steal by D. Bembry),35-29, ,,2,35,29,6,956.0
7:55.0, ,35-29,J. Carter misses 3-pt jump shot from 26 ft,,2,35,29,6,965.0
7:46.0,Defensive rebound by B. Adebayo,35-29, ,,2,35,29,6,974.0
7:41.0,Shooting foul by D. Bembry (drawn by B. Adebayo),35-29, ,,2,35,29,6,979.0
7:41.0,B. Adebayo makes free throw 1 of 2,36-29, ,,2,36,29,7,979.0
