Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:02.0, ,18-26,Offensive rebound by T. Antetokounmpo,,1,18,26,-8,598.0
2:02.0, ,18-28,T. Antetokounmpo makes 2-pt layup at rim,,1,18,28,-10,598.0
1:52.0,Shooting foul by T. Antetokounmpo (drawn by O. Yurtseven),18-28, ,,1,18,28,-10,608.0
1:52.0,O. Yurtseven makes free throw 1 of 2,19-28, ,,1,19,28,-9,608.0
1:52.0,M. Strus enters the game for D. Robinson,19-28, ,,1,19,28,-9,608.0
1:52.0, ,19-28,W. Matthews enters the game for R. Hood,,1,19,28,-9,608.0
1:52.0,O. Yurtseven makes free throw 2 of 2,20-28, ,,1,20,28,-8,608.0
1:40.0, ,20-30,T. Antetokounmpo makes 2-pt dunk from 2 ft (assist by D. Cousins),,1,20,30,-10,620.0
1:16.0,T. Herro misses 2-pt jump shot from 17 ft (block by T. Antetokounmpo),20-30, ,,1,20,30,-10,644.0
1:12.0, ,20-30,Defensive rebound by J. Smart,,1,20,30,-10,648.0
1:12.0, ,20-30,Turnover by J. Smart (bad pass),,1,20,30,-10,648.0
1:12.0,K. Lowry enters the game for T. Herro,20-30, ,,1,20,30,-10,648.0
1:07.0,Personal foul by D. Cousins (drawn by O. Yurtseven),20-30, ,,1,20,30,-10,653.0
1:07.0,O. Yurtseven misses free throw 1 of 2,20-30, ,,1,20,30,-10,653.0
1:07.0,Offensive rebound by Team,20-30, ,,1,20,30,-10,653.0
1:07.0, ,20-30,K. Middleton enters the game for J. Holiday,,1,20,30,-10,653.0
1:07.0,O. Yurtseven makes free throw 2 of 2,21-30, ,,1,21,30,-9,653.0
0:47.0, ,21-30,T. Antetokounmpo misses 2-pt layup from 3 ft,,1,21,30,-9,673.0
0:47.0, ,21-30,Offensive rebound by D. Cousins,,1,21,30,-9,673.0
0:47.0, ,21-30,Shooting foul by G. Vincent (drawn by D. Cousins),,1,21,30,-9,673.0
0:47.0, ,21-31,D. Cousins makes free throw 1 of 2,,1,21,31,-10,673.0
0:47.0, ,21-32,D. Cousins makes free throw 2 of 2,,1,21,32,-11,673.0
0:29.0,K. Lowry misses 3-pt jump shot from 29 ft,21-32, ,,1,21,32,-11,691.0
0:28.0,Offensive rebound by M. Strus,21-32, ,,1,21,32,-11,692.0
0:28.0,Personal foul by K. Middleton (drawn by M. Strus),21-32, ,,1,21,32,-11,692.0
0:28.0,M. Strus makes free throw 1 of 2,22-32, ,,1,22,32,-10,692.0
0:28.0, ,22-32,P. Connaughton enters the game for T. Antetokounmpo,,1,22,32,-10,692.0
0:28.0,M. Strus makes free throw 2 of 2,23-32, ,,1,23,32,-9,692.0
0:16.0, ,23-32,Personal foul by O. Yurtseven (drawn by D. Cousins),,1,23,32,-9,704.0
0:16.0, ,23-33,D. Cousins makes free throw 1 of 2,,1,23,33,-10,704.0
0:16.0, ,23-33,T. Antetokounmpo enters the game for K. Middleton,,1,23,33,-10,704.0
0:16.0, ,23-34,D. Cousins makes free throw 2 of 2,,1,23,34,-11,704.0
0:01.0,Turnover by K. Lowry (bad pass),23-34, ,,1,23,34,-11,719.0
0:00.0, ,23-34,D. Cousins misses 2-pt jump shot from 14 ft,,1,23,34,-11,720.0
0:00.0, ,23-34,Offensive rebound by Team,,1,23,34,-11,720.0
0:00.0,End of 1st quarter,23-34,,,1,23,34,-11,720.0
12:00.0,Start of 2nd quarter,23-34,,,2,23,34,-11,720.0
11:44.0,M. Strus makes 3-pt jump shot from 28 ft (assist by K. Lowry),26-34, ,,2,26,34,-8,736.0
11:25.0, ,26-36,B. Portis makes 2-pt jump shot from 14 ft (assist by K. Middleton),,2,26,36,-10,755.0
11:12.0,M. Strus makes 3-pt jump shot from 27 ft (assist by C. Martin),29-36, ,,2,29,36,-7,768.0
10:51.0, ,29-36,J. Smart misses 3-pt jump shot from 27 ft,,2,29,36,-7,789.0
10:51.0, ,29-36,Offensive rebound by B. Portis,,2,29,36,-7,789.0
10:51.0, ,29-36,Shooting foul by O. Yurtseven (drawn by B. Portis),,2,29,36,-7,789.0
10:51.0, ,29-37,B. Portis makes free throw 1 of 2,,2,29,37,-8,789.0
10:51.0,D. Dedmon enters the game for O. Yurtseven,29-37, ,,2,29,37,-8,789.0
10:51.0, ,29-37,P. Connaughton enters the game for T. Antetokounmpo,,2,29,37,-8,789.0
10:51.0, ,29-38,B. Portis makes free throw 2 of 2,,2,29,38,-9,789.0
10:43.0,Offensive foul by K. Lowry (drawn by W. Matthews),29-38, ,,2,29,38,-9,797.0
10:43.0,Turnover by K. Lowry (offensive foul),29-38, ,,2,29,38,-9,797.0
10:31.0, ,29-41,K. Middleton makes 3-pt jump shot from 28 ft (assist by J. Smart),,2,29,41,-12,809.0
10:17.0,K. Lowry misses 2-pt layup from 2 ft (block by B. Portis),29-41, ,,2,29,41,-12,823.0
10:13.0, ,29-41,Defensive rebound by B. Portis,,2,29,41,-12,827.0
10:10.0, ,29-41,W. Matthews misses 3-pt jump shot from 24 ft,,2,29,41,-12,830.0
10:08.0, ,29-41,Offensive rebound by B. Portis,,2,29,41,-12,832.0
10:05.0, ,29-41,J. Smart misses 3-pt jump shot from 26 ft,,2,29,41,-12,835.0
10:05.0,Defensive rebound by C. Martin,29-41, ,,2,29,41,-12,835.0
9:43.0,D. Dedmon misses 2-pt hook shot from 4 ft,29-41, ,,2,29,41,-12,857.0
9:40.0, ,29-41,Defensive rebound by B. Portis,,2,29,41,-12,860.0
9:35.0, ,29-41,K. Middleton misses 3-pt jump shot from 28 ft,,2,29,41,-12,865.0
9:32.0,Defensive rebound by D. Dedmon,29-41, ,,2,29,41,-12,868.0
9:18.0,Shooting foul by J. Smart (drawn by C. Martin),29-41, ,,2,29,41,-12,882.0
9:18.0,C. Martin makes free throw 1 of 2,30-41, ,,2,30,41,-11,882.0
9:18.0, ,30-41,R. Hood enters the game for W. Matthews,,2,30,41,-11,882.0
9:18.0,C. Martin makes free throw 2 of 2,31-41, ,,2,31,41,-10,882.0
9:00.0, ,31-41,B. Portis misses 2-pt jump shot from 15 ft,,2,31,41,-10,900.0
8:56.0,Defensive rebound by D. Dedmon,31-41, ,,2,31,41,-10,904.0
8:53.0,C. Martin makes 3-pt jump shot from 26 ft (assist by K. Lowry),34-41, ,,2,34,41,-7,907.0
8:46.0, ,34-43,J. Smart makes 2-pt layup from 2 ft (assist by K. Middleton),,2,34,43,-9,914.0
8:33.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by G. Vincent),37-43, ,,2,37,43,-6,927.0
8:17.0, ,37-43,B. Portis misses 3-pt jump shot from 26 ft,,2,37,43,-6,943.0
8:14.0,Defensive rebound by K. Lowry,37-43, ,,2,37,43,-6,946.0
8:11.0,Turnover by K. Lowry (bad pass),37-43, ,,2,37,43,-6,949.0
8:11.0, ,37-43,J. Holiday enters the game for J. Smart,,2,37,43,-6,949.0
8:06.0, ,37-46,P. Connaughton makes 3-pt jump shot from 27 ft (assist by R. Hood),,2,37,46,-9,954.0
8:06.0,Miami full timeout,37-46, ,,2,37,46,-9,954.0
8:06.0,T. Herro enters the game for M. Strus,37-46, ,,2,37,46,-9,954.0
8:06.0,D. Robinson enters the game for G. Vincent,37-46, ,,2,37,46,-9,954.0
8:06.0, ,37-46,J. Smart enters the game for K. Middleton,,2,37,46,-9,954.0
7:49.0,C. Martin misses 2-pt layup at rim,37-46, ,,2,37,46,-9,971.0
7:45.0, ,37-46,Defensive rebound by R. Hood,,2,37,46,-9,975.0
7:39.0, ,37-46,R. Hood misses 3-pt jump shot from 26 ft,,2,37,46,-9,981.0
7:39.0,Defensive rebound by D. Dedmon,37-46, ,,2,37,46,-9,981.0
7:31.0,C. Martin misses 3-pt jump shot from 23 ft,37-46, ,,2,37,46,-9,989.0
7:28.0, ,37-46,Defensive rebound by P. Connaughton,,2,37,46,-9,992.0
7:21.0, ,37-48,P. Connaughton makes 2-pt layup from 2 ft (assist by J. Smart),,2,37,48,-11,999.0
7:00.0,C. Martin misses 3-pt jump shot from 23 ft,37-48, ,,2,37,48,-11,1020.0
6:58.0, ,37-48,Defensive rebound by J. Smart,,2,37,48,-11,1022.0
6:54.0, ,37-51,P. Connaughton makes 3-pt jump shot from 24 ft (assist by B. Portis),,2,37,51,-14,1026.0
6:53.0,Miami full timeout,37-51, ,,2,37,51,-14,1027.0
6:53.0,P. Tucker enters the game for C. Martin,37-51, ,,2,37,51,-14,1027.0
6:32.0,T. Herro makes 3-pt jump shot from 23 ft (assist by K. Lowry),40-51, ,,2,40,51,-11,1048.0
6:17.0, ,40-54,B. Portis makes 3-pt jump shot from 27 ft (assist by J. Holiday),,2,40,54,-14,1063.0
5:59.0,P. Tucker misses 2-pt jump shot from 7 ft,40-54, ,,2,40,54,-14,1081.0
5:56.0, ,40-54,Defensive rebound by B. Portis,,2,40,54,-14,1084.0
5:36.0, ,40-54,R. Hood misses 3-pt jump shot from 26 ft,,2,40,54,-14,1104.0
5:33.0,Defensive rebound by T. Herro,40-54, ,,2,40,54,-14,1107.0
5:30.0,Shooting foul by P. Connaughton (drawn by K. Lowry),40-54, ,,2,40,54,-14,1110.0
5:30.0,K. Lowry makes free throw 1 of 2,41-54, ,,2,41,54,-13,1110.0
5:30.0,C. Martin enters the game for D. Dedmon,41-54, ,,2,41,54,-13,1110.0
5:30.0, ,41-54,D. Cousins enters the game for R. Hood,,2,41,54,-13,1110.0
5:30.0, ,41-54,S. Mamukelashvili enters the game for B. Portis,,2,41,54,-13,1110.0
5:30.0,K. Lowry misses free throw 2 of 2,41-54, ,,2,41,54,-13,1110.0
5:25.0, ,41-54,Defensive rebound by D. Cousins,,2,41,54,-13,1115.0
5:21.0, ,41-54,P. Connaughton misses 3-pt jump shot from 26 ft,,2,41,54,-13,1119.0
5:18.0, ,41-54,Offensive rebound by D. Cousins,,2,41,54,-13,1122.0
5:18.0, ,41-54,D. Cousins misses 2-pt layup at rim,,2,41,54,-13,1122.0
5:18.0, ,41-54,Offensive rebound by J. Smart,,2,41,54,-13,1122.0
5:18.0, ,41-54,Shooting foul by C. Martin (drawn by J. Smart),,2,41,54,-13,1122.0
5:18.0, ,41-55,J. Smart makes free throw 1 of 2,,2,41,55,-14,1122.0
5:18.0,G. Vincent enters the game for K. Lowry,41-55, ,,2,41,55,-14,1122.0
5:18.0, ,41-55,K. Middleton enters the game for S. Mamukelashvili,,2,41,55,-14,1122.0
5:18.0, ,41-55,J. Smart misses free throw 2 of 2,,2,41,55,-14,1122.0
5:17.0, ,41-55,Offensive rebound by D. Cousins,,2,41,55,-14,1123.0
5:17.0, ,41-55,Personal foul by P. Tucker (drawn by D. Cousins),,2,41,55,-14,1123.0
5:17.0,O. Yurtseven enters the game for P. Tucker,41-55, ,,2,41,55,-14,1123.0
5:10.0, ,41-55,Personal foul by C. Martin (drawn by K. Middleton),,2,41,55,-14,1130.0
4:59.0, ,41-57,J. Holiday makes 2-pt layup from 1 ft (assist by D. Cousins),,2,41,57,-16,1141.0
4:43.0,T. Herro misses 2-pt jump shot from 12 ft,41-57, ,,2,41,57,-16,1157.0
4:40.0, ,41-57,Defensive rebound by K. Middleton,,2,41,57,-16,1160.0
4:40.0, ,41-57,Personal foul by O. Yurtseven (drawn by D. Cousins),,2,41,57,-16,1160.0
4:40.0, ,41-57,D. Cousins misses free throw 1 of 2,,2,41,57,-16,1160.0
4:40.0, ,41-57,Offensive rebound by Team,,2,41,57,-16,1160.0
4:40.0, ,41-58,D. Cousins makes free throw 2 of 2,,2,41,58,-17,1160.0
4:22.0,C. Martin misses 3-pt jump shot from 27 ft,41-58, ,,2,41,58,-17,1178.0
4:18.0, ,41-58,Defensive rebound by J. Holiday,,2,41,58,-17,1182.0
4:14.0, ,41-58,J. Smart misses 2-pt layup from 4 ft,,2,41,58,-17,1186.0
4:14.0,Defensive rebound by O. Yurtseven,41-58, ,,2,41,58,-17,1186.0
4:07.0,Turnover by G. Vincent (bad pass),41-58, ,,2,41,58,-17,1193.0
3:53.0, ,41-58,K. Middleton misses 3-pt jump shot from 26 ft,,2,41,58,-17,1207.0
3:49.0,Defensive rebound by D. Robinson,41-58, ,,2,41,58,-17,1211.0
3:43.0,T. Herro misses 2-pt jump shot from 9 ft,41-58, ,,2,41,58,-17,1217.0
3:42.0,Offensive rebound by T. Herro,41-58, ,,2,41,58,-17,1218.0
3:42.0,Shooting foul by D. Cousins (drawn by T. Herro),41-58, ,,2,41,58,-17,1218.0
3:42.0,T. Herro makes free throw 1 of 2,42-58, ,,2,42,58,-16,1218.0
3:42.0, ,42-58,W. Matthews enters the game for J. Smart,,2,42,58,-16,1218.0
3:42.0,T. Herro makes free throw 2 of 2,43-58, ,,2,43,58,-15,1218.0
3:33.0, ,43-58,Offensive foul by J. Holiday (drawn by G. Vincent),,2,43,58,-15,1227.0
3:33.0, ,43-58,Turnover by J. Holiday (offensive foul),,2,43,58,-15,1227.0
3:33.0, ,43-58,R. Hood enters the game for P. Connaughton,,2,43,58,-15,1227.0
3:21.0,Shooting foul by D. Cousins (drawn by T. Herro),43-58, ,,2,43,58,-15,1239.0
3:21.0,T. Herro makes free throw 1 of 2,44-58, ,,2,44,58,-14,1239.0
3:21.0,T. Herro makes free throw 2 of 2,45-58, ,,2,45,58,-13,1239.0
3:08.0, ,45-58,Turnover by J. Holiday (bad pass; steal by T. Herro),,2,45,58,-13,1252.0
3:01.0,T. Herro misses 3-pt jump shot from 24 ft (block by W. Matthews),45-58, ,,2,45,58,-13,1259.0
2:56.0, ,45-58,Defensive rebound by R. Hood,,2,45,58,-13,1264.0
2:56.0, ,45-58,Personal foul by D. Robinson (drawn by R. Hood),,2,45,58,-13,1264.0
2:56.0, ,45-59,R. Hood makes free throw 1 of 2,,2,45,59,-14,1264.0
2:56.0,D. Dedmon enters the game for G. Vincent,45-59, ,,2,45,59,-14,1264.0
2:56.0,K. Lowry enters the game for O. Yurtseven,45-59, ,,2,45,59,-14,1264.0
2:56.0, ,45-60,R. Hood makes free throw 2 of 2,,2,45,60,-15,1264.0
2:35.0,Shooting foul by D. Cousins (drawn by T. Herro),45-60, ,,2,45,60,-15,1285.0
2:35.0,T. Herro misses free throw 1 of 2,45-60, ,,2,45,60,-15,1285.0
2:35.0,Offensive rebound by Team,45-60, ,,2,45,60,-15,1285.0
2:35.0, ,45-60,B. Portis enters the game for D. Cousins,,2,45,60,-15,1285.0
2:35.0,T. Herro misses free throw 2 of 2,45-60, ,,2,45,60,-15,1285.0
2:33.0, ,45-60,Defensive rebound by Team,,2,45,60,-15,1287.0
2:33.0,Violation by Team (delay of game),45-60, ,,2,45,60,-15,1287.0
2:22.0, ,45-62,J. Holiday makes 2-pt layup from 1 ft (assist by K. Middleton),,2,45,62,-17,1298.0
2:09.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),48-62, ,,2,48,62,-14,1311.0
1:57.0, ,48-64,K. Middleton makes 2-pt jump shot from 13 ft,,2,48,64,-16,1323.0
1:47.0,Personal foul by W. Matthews (drawn by T. Herro),48-64, ,,2,48,64,-16,1333.0
1:47.0,T. Herro makes free throw 1 of 2,49-64, ,,2,49,64,-15,1333.0
1:47.0,M. Strus enters the game for C. Martin,49-64, ,,2,49,64,-15,1333.0
1:47.0,T. Herro makes free throw 2 of 2,50-64, ,,2,50,64,-14,1333.0
1:35.0, ,50-66,K. Middleton makes 2-pt layup from 2 ft,,2,50,66,-16,1345.0
1:20.0,K. Lowry misses 3-pt jump shot from 24 ft,50-66, ,,2,50,66,-16,1360.0
1:16.0, ,50-66,Defensive rebound by K. Middleton,,2,50,66,-16,1364.0
0:55.0, ,50-66,W. Matthews misses 3-pt jump shot from 23 ft,,2,50,66,-16,1385.0
0:53.0,Defensive rebound by D. Robinson,50-66, ,,2,50,66,-16,1387.0
0:49.0,Jump ball: B. Portis vs. D. Robinson (W. Matthews gains possession),50-66,,,2,50,66,-16,1391.0
0:49.0,Turnover by D. Robinson (lost ball; steal by B. Portis),50-66, ,,2,50,66,-16,1391.0
0:38.0, ,50-66,Turnover by K. Middleton (bad pass; steal by T. Herro),,2,50,66,-16,1402.0
0:34.0,M. Strus makes 2-pt layup from 1 ft (assist by D. Dedmon),52-66, ,,2,52,66,-14,1406.0
0:28.0, ,52-69,K. Middleton makes 3-pt jump shot from 30 ft,,2,52,69,-17,1412.0
0:09.0,D. Robinson misses 3-pt jump shot from 25 ft,52-69, ,,2,52,69,-17,1431.0
0:08.0,D. Dedmon misses 2-pt layup from 1 ft (block by B. Portis),52-69, ,,2,52,69,-17,1432.0
0:07.0,Offensive rebound by D. Dedmon,52-69, ,,2,52,69,-17,1433.0
0:04.0,Offensive rebound by Team,52-69, ,,2,52,69,-17,1436.0
0:04.0, ,52-69,J. Smart enters the game for K. Middleton,,2,52,69,-17,1436.0
0:04.0,D. Robinson misses 2-pt layup from 2 ft,52-69, ,,2,52,69,-17,1436.0
0:02.0, ,52-69,Defensive rebound by B. Portis,,2,52,69,-17,1438.0
0:00.0, ,52-69,Offensive foul by B. Portis (drawn by D. Dedmon),,2,52,69,-17,1440.0
0:00.0, ,52-69,Turnover by B. Portis (offensive foul),,2,52,69,-17,1440.0
0:00.0, ,52-69,Instant Replay (Request: Ruling Stands),,2,52,69,-17,1440.0
0:00.0,End of 2nd quarter,52-69,,,2,52,69,-17,1440.0
12:00.0,Start of 3rd quarter,52-69,,,3,52,69,-17,1440.0
11:38.0,D. Robinson makes 2-pt jump shot from 14 ft,54-69, ,,3,54,69,-15,1462.0
11:26.0, ,54-69,Turnover by S. Mamukelashvili (bad pass; steal by D. Robinson),,3,54,69,-15,1474.0
11:21.0,D. Robinson misses 2-pt layup from 2 ft,54-69, ,,3,54,69,-15,1479.0
11:18.0, ,54-69,Defensive rebound by B. Portis,,3,54,69,-15,1482.0
11:11.0, ,54-69,B. Portis misses 3-pt jump shot from 25 ft,,3,54,69,-15,1489.0
11:08.0,Defensive rebound by D. Robinson,54-69, ,,3,54,69,-15,1492.0
10:59.0,K. Lowry makes 2-pt jump shot from 1 ft (assist by D. Robinson),56-69, ,,3,56,69,-13,1501.0
10:59.0,Shooting foul by B. Portis (drawn by K. Lowry),56-69, ,,3,56,69,-13,1501.0
10:59.0,K. Lowry misses free throw 1 of 1,56-69, ,,3,56,69,-13,1501.0
10:56.0, ,56-69,Defensive rebound by B. Portis,,3,56,69,-13,1504.0
10:45.0, ,56-69,K. Middleton misses 2-pt layup from 4 ft (block by K. Lowry),,3,56,69,-13,1515.0
10:45.0, ,56-69,Offensive rebound by Team,,3,56,69,-13,1515.0
10:40.0, ,56-69,K. Middleton misses 2-pt jump shot from 14 ft,,3,56,69,-13,1520.0
10:36.0,Defensive rebound by T. Herro,56-69, ,,3,56,69,-13,1524.0
10:28.0,T. Herro misses 2-pt jump shot from 10 ft,56-69, ,,3,56,69,-13,1532.0
10:25.0,Offensive rebound by D. Dedmon,56-69, ,,3,56,69,-13,1535.0
10:16.0,Turnover by Team (shot clock),56-69, ,,3,56,69,-13,1544.0
9:59.0, ,56-69,P. Connaughton misses 3-pt jump shot from 26 ft,,3,56,69,-13,1561.0
9:57.0,Defensive rebound by D. Dedmon,56-69, ,,3,56,69,-13,1563.0
9:54.0,K. Lowry misses 3-pt jump shot from 28 ft,56-69, ,,3,56,69,-13,1566.0
9:51.0, ,56-69,Defensive rebound by K. Middleton,,3,56,69,-13,1569.0
9:44.0, ,56-69,K. Middleton misses 2-pt layup from 4 ft,,3,56,69,-13,1576.0
9:43.0, ,56-69,Offensive rebound by S. Mamukelashvili,,3,56,69,-13,1577.0
9:42.0, ,56-72,P. Connaughton makes 3-pt jump shot from 29 ft (assist by S. Mamukelashvili),,3,56,72,-16,1578.0
