Time,Dallas,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:05.0,J. Brunson makes 2-pt layup from 3 ft,31-31, ,Tie,2,31,31,0,835.0
10:05.0,Shooting foul by H. Highsmith (drawn by J. Brunson),31-31, ,,2,31,31,0,835.0
10:05.0,J. Brunson makes free throw 1 of 1,32-31, ,Lead change,2,31,32,-1,835.0
9:46.0, ,32-31,H. Highsmith misses 3-pt jump shot from 23 ft,,2,31,32,-1,854.0
9:42.0, ,32-31,Offensive rebound by O. Yurtseven,,2,31,32,-1,858.0
9:39.0, ,32-33,G. Vincent makes 2-pt layup from 1 ft (assist by O. Yurtseven),Lead change,2,33,32,1,861.0
9:26.0,J. Brunson misses 2-pt jump shot from 8 ft,32-33, ,,2,33,32,1,874.0
9:25.0,Offensive rebound by M. Kleber,32-33, ,,2,33,32,1,875.0
9:25.0,Shooting foul by K. Lowry (drawn by M. Kleber),32-33, ,,2,33,32,1,875.0
9:25.0,M. Kleber makes free throw 1 of 2,33-33, ,Tie,2,33,33,0,875.0
9:25.0,S. Dinwiddie enters the game for F. Ntilikina,33-33, ,,2,33,33,0,875.0
9:25.0,M. Kleber misses free throw 2 of 2,33-33, ,,2,33,33,0,875.0
9:22.0, ,33-33,Defensive rebound by H. Highsmith,,2,33,33,0,878.0
9:13.0, ,33-36,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),,2,36,33,3,887.0
9:13.0, ,33-36,Shooting foul by D. Bertāns (drawn by M. Strus),,2,36,33,3,887.0
9:13.0, ,33-37,M. Strus makes free throw 1 of 1,,2,37,33,4,887.0
8:51.0,D. Bertāns misses 3-pt jump shot from 28 ft,33-37, ,,2,37,33,4,909.0
8:45.0, ,33-37,Defensive rebound by O. Yurtseven,,2,37,33,4,915.0
8:32.0, ,33-37,Turnover by K. Lowry (bad pass),,2,37,33,4,928.0
8:23.0,S. Dinwiddie makes 2-pt layup from 1 ft,35-37, ,,2,37,35,2,937.0
8:07.0, ,35-37,M. Strus misses 3-pt jump shot from 26 ft,,2,37,35,2,953.0
8:04.0, ,35-37,Offensive rebound by O. Yurtseven,,2,37,35,2,956.0
8:04.0, ,35-37,O. Yurtseven misses 2-pt hook shot from 5 ft,,2,37,35,2,956.0
7:59.0,Defensive rebound by S. Brown,35-37, ,,2,37,35,2,961.0
7:51.0,M. Kleber misses 3-pt jump shot from 27 ft,35-37, ,,2,37,35,2,969.0
7:46.0, ,35-37,Defensive rebound by G. Vincent,,2,37,35,2,974.0
7:44.0, ,35-40,K. Lowry makes 3-pt jump shot from 28 ft (assist by G. Vincent),,2,40,35,5,976.0
7:43.0,Dallas full timeout,35-40, ,,2,40,35,5,977.0
7:43.0,J. Green enters the game for S. Brown,35-40, ,,2,40,35,5,977.0
7:43.0,D. Powell enters the game for M. Kleber,35-40, ,,2,40,35,5,977.0
7:43.0, ,35-40,B. Adebayo enters the game for O. Yurtseven,,2,40,35,5,977.0
7:24.0,J. Brunson makes 2-pt jump shot from 22 ft (assist by S. Dinwiddie),37-40, ,,2,40,37,3,996.0
6:59.0, ,37-40,Shooting foul by J. Green (drawn by G. Vincent),,2,40,37,3,1021.0
6:59.0, ,37-41,G. Vincent makes free throw 1 of 2,,2,41,37,4,1021.0
6:59.0, ,37-42,G. Vincent makes free throw 2 of 2,,2,42,37,5,1021.0
6:45.0,Shooting foul by H. Highsmith (drawn by S. Dinwiddie),37-42, ,,2,42,37,5,1035.0
6:45.0,S. Dinwiddie misses free throw 1 of 2,37-42, ,,2,42,37,5,1035.0
6:45.0,Offensive rebound by Team,37-42, ,,2,42,37,5,1035.0
6:45.0,L. Dončić enters the game for D. Bertāns,37-42, ,,2,42,37,5,1035.0
6:45.0,D. Finney-Smith enters the game for J. Brunson,37-42, ,,2,42,37,5,1035.0
6:45.0, ,37-42,J. Butler enters the game for H. Highsmith,,2,42,37,5,1035.0
6:45.0, ,37-42,P. Tucker enters the game for K. Lowry,,2,42,37,5,1035.0
6:45.0,S. Dinwiddie misses free throw 2 of 2,37-42, ,,2,42,37,5,1035.0
6:42.0, ,37-42,Defensive rebound by B. Adebayo,,2,42,37,5,1038.0
6:20.0, ,37-44,B. Adebayo makes 2-pt jump shot from 6 ft,,2,44,37,7,1060.0
5:59.0,J. Green misses 2-pt jump shot from 7 ft,37-44, ,,2,44,37,7,1081.0
5:55.0, ,37-44,Defensive rebound by G. Vincent,,2,44,37,7,1085.0
5:49.0, ,37-44,B. Adebayo misses 2-pt jump shot from 19 ft,,2,44,37,7,1091.0
5:44.0,Defensive rebound by L. Dončić,37-44, ,,2,44,37,7,1096.0
5:40.0,Shooting foul by B. Adebayo (drawn by L. Dončić),37-44, ,,2,44,37,7,1100.0
5:40.0,L. Dončić makes free throw 1 of 2,38-44, ,,2,44,38,6,1100.0
5:40.0,L. Dončić makes free throw 2 of 2,39-44, ,,2,44,39,5,1100.0
5:29.0, ,39-46,B. Adebayo makes 2-pt layup from 2 ft,,2,46,39,7,1111.0
5:09.0,J. Green makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),42-46, ,,2,46,42,4,1131.0
4:58.0, ,42-48,B. Adebayo makes 2-pt jump shot from 9 ft,,2,48,42,6,1142.0
4:41.0,L. Dončić misses 2-pt jump shot from 11 ft,42-48, ,,2,48,42,6,1159.0
4:36.0, ,42-48,Defensive rebound by B. Adebayo,,2,48,42,6,1164.0
4:30.0, ,42-48,Shooting foul by D. Finney-Smith (drawn by B. Adebayo),,2,48,42,6,1170.0
4:30.0, ,42-48,B. Adebayo misses free throw 1 of 2,,2,48,42,6,1170.0
4:30.0, ,42-48,Offensive rebound by Team,,2,48,42,6,1170.0
4:30.0,M. Kleber enters the game for D. Powell,42-48, ,,2,48,42,6,1170.0
4:30.0, ,42-49,B. Adebayo makes free throw 2 of 2,,2,49,42,7,1170.0
4:17.0,L. Dončić misses 3-pt jump shot from 28 ft,42-49, ,,2,49,42,7,1183.0
4:13.0,Offensive rebound by M. Kleber,42-49, ,,2,49,42,7,1187.0
4:03.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,42-49, ,,2,49,42,7,1197.0
3:59.0, ,42-49,Defensive rebound by M. Strus,,2,49,42,7,1201.0
3:59.0, ,42-49,K. Lowry enters the game for G. Vincent,,2,49,42,7,1201.0
3:37.0, ,42-51,J. Butler makes 2-pt jump shot from 11 ft,,2,51,42,9,1223.0
3:25.0,L. Dončić makes 2-pt jump shot from 11 ft,44-51, ,,2,51,44,7,1235.0
3:16.0, ,44-51,B. Adebayo misses 2-pt dunk from 2 ft,,2,51,44,7,1244.0
3:16.0,Defensive rebound by D. Finney-Smith,44-51, ,,2,51,44,7,1244.0
3:05.0,Personal foul by M. Strus (drawn by M. Kleber),44-51, ,,2,51,44,7,1255.0
3:05.0,M. Kleber makes free throw 1 of 2,45-51, ,,2,51,45,6,1255.0
3:05.0,M. Kleber makes free throw 2 of 2,46-51, ,,2,51,46,5,1255.0
2:46.0, ,46-54,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Butler),,2,54,46,8,1274.0
2:36.0,L. Dončić misses 3-pt jump shot from 28 ft,46-54, ,,2,54,46,8,1284.0
2:31.0, ,46-54,Defensive rebound by P. Tucker,,2,54,46,8,1289.0
2:20.0, ,46-56,P. Tucker makes 2-pt hook shot from 5 ft (assist by M. Strus),,2,56,46,10,1300.0
2:01.0,J. Green misses 3-pt jump shot from 23 ft,46-56, ,,2,56,46,10,1319.0
1:59.0, ,46-56,Defensive rebound by Team,,2,56,46,10,1321.0
1:59.0,Loose ball foul by D. Finney-Smith (drawn by K. Lowry),46-56, ,,2,56,46,10,1321.0
1:59.0, ,46-56,Miami full timeout,,2,56,46,10,1321.0
1:59.0,S. Brown enters the game for S. Dinwiddie,46-56, ,,2,56,46,10,1321.0
1:59.0,J. Brunson enters the game for D. Finney-Smith,46-56, ,,2,56,46,10,1321.0
1:59.0,D. Powell enters the game for J. Green,46-56, ,,2,56,46,10,1321.0
1:50.0, ,46-56,Personal foul by D. Powell (drawn by K. Lowry),,2,56,46,10,1330.0
1:50.0, ,46-56,K. Lowry misses free throw 1 of 2,,2,56,46,10,1330.0
1:50.0, ,46-56,Offensive rebound by Team,,2,56,46,10,1330.0
1:50.0, ,46-57,K. Lowry makes free throw 2 of 2,,2,57,46,11,1330.0
1:29.0,M. Kleber misses 3-pt jump shot from 23 ft,46-57, ,,2,57,46,11,1351.0
1:23.0, ,46-57,Defensive rebound by K. Lowry,,2,57,46,11,1357.0
1:18.0, ,46-57,J. Butler misses 2-pt layup from 3 ft,,2,57,46,11,1362.0
1:17.0, ,46-57,Offensive rebound by J. Butler,,2,57,46,11,1363.0
1:17.0, ,46-59,J. Butler makes 2-pt layup from 2 ft,,2,59,46,13,1363.0
0:56.0,Shooting foul by M. Strus (drawn by L. Dončić),46-59, ,,2,59,46,13,1384.0
0:56.0,L. Dončić makes free throw 1 of 2,47-59, ,,2,59,47,12,1384.0
0:56.0, ,47-59,H. Highsmith enters the game for B. Adebayo,,2,59,47,12,1384.0
0:56.0, ,47-59,O. Yurtseven enters the game for P. Tucker,,2,59,47,12,1384.0
0:56.0,L. Dončić makes free throw 2 of 2,48-59, ,,2,59,48,11,1384.0
0:44.0, ,48-59,J. Butler misses 2-pt layup from 6 ft,,2,59,48,11,1396.0
0:40.0, ,48-59,Offensive rebound by J. Butler,,2,59,48,11,1400.0
0:38.0, ,48-59,H. Highsmith misses 2-pt layup from 4 ft,,2,59,48,11,1402.0
0:34.0,Defensive rebound by M. Kleber,48-59, ,,2,59,48,11,1406.0
0:21.0,M. Kleber makes 3-pt jump shot from 28 ft (assist by D. Powell),51-59, ,,2,59,51,8,1419.0
0:00.0, ,51-59,Turnover by M. Strus (bad pass),,2,59,51,8,1440.0
0:00.0, ,51-59,Instant Replay (Request: Ruling Stands),,2,59,51,8,1440.0
0:00.0,End of 2nd quarter,51-59,,,2,59,51,8,1440.0
12:00.0,Start of 3rd quarter,51-59,,,3,59,51,8,1440.0
11:42.0,J. Brunson misses 2-pt layup from 4 ft,51-59, ,,3,59,51,8,1458.0
11:38.0, ,51-59,Defensive rebound by J. Butler,,3,59,51,8,1462.0
11:32.0, ,51-59,K. Lowry misses 2-pt jump shot from 22 ft (block by M. Kleber),,3,59,51,8,1468.0
11:28.0, ,51-59,Offensive rebound by D. Robinson,,3,59,51,8,1472.0
11:23.0, ,51-61,B. Adebayo makes 2-pt jump shot from 14 ft,,3,61,51,10,1477.0
11:05.0,J. Brunson misses 3-pt jump shot from 23 ft,51-61, ,,3,61,51,10,1495.0
11:00.0,Offensive rebound by J. Brunson,51-61, ,,3,61,51,10,1500.0
10:53.0,Offensive foul by D. Powell (drawn by B. Adebayo),51-61, ,,3,61,51,10,1507.0
10:53.0,Turnover by D. Powell (offensive foul),51-61, ,,3,61,51,10,1507.0
10:28.0, ,51-61,P. Tucker misses 2-pt jump shot from 10 ft,,3,61,51,10,1532.0
10:23.0,Defensive rebound by L. Dončić,51-61, ,,3,61,51,10,1537.0
10:15.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),54-61, ,,3,61,54,7,1545.0
10:00.0, ,54-61,B. Adebayo misses 2-pt layup from 2 ft,,3,61,54,7,1560.0
9:59.0, ,54-61,Offensive rebound by J. Butler,,3,61,54,7,1561.0
9:59.0, ,54-61,J. Butler misses 2-pt layup at rim,,3,61,54,7,1561.0
9:59.0, ,54-61,Shooting foul by D. Powell (drawn by J. Butler),,3,61,54,7,1561.0
9:59.0, ,54-62,J. Butler makes free throw 1 of 2,,3,62,54,8,1561.0
9:59.0, ,54-63,J. Butler makes free throw 2 of 2,,3,63,54,9,1561.0
9:47.0,L. Dončić makes 3-pt jump shot from 25 ft,57-63, ,,3,63,57,6,1573.0
9:30.0, ,57-66,K. Lowry makes 3-pt jump shot from 25 ft,,3,66,57,9,1590.0
9:16.0,L. Dončić misses 2-pt jump shot from 11 ft,57-66, ,,3,66,57,9,1604.0
9:13.0, ,57-66,Defensive rebound by P. Tucker,,3,66,57,9,1607.0
9:02.0, ,57-68,J. Butler makes 2-pt layup from 2 ft,,3,68,57,11,1618.0
8:45.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,57-68, ,,3,68,57,11,1635.0
8:44.0,Offensive rebound by D. Powell,57-68, ,,3,68,57,11,1636.0
8:43.0,Turnover by J. Brunson (bad pass),57-68, ,,3,68,57,11,1637.0
8:32.0, ,57-68,D. Robinson misses 3-pt jump shot from 24 ft,,3,68,57,11,1648.0
8:28.0,Defensive rebound by M. Kleber,57-68, ,,3,68,57,11,1652.0
8:09.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Powell),60-68, ,,3,68,60,8,1671.0
7:44.0, ,60-68,P. Tucker misses 3-pt jump shot from 22 ft (block by L. Dončić),,3,68,60,8,1696.0
7:44.0, ,60-68,Offensive rebound by Team,,3,68,60,8,1696.0
7:39.0, ,60-68,J. Butler misses 3-pt jump shot from 23 ft (block by M. Kleber),,3,68,60,8,1701.0
7:35.0,Defensive rebound by L. Dončić,60-68, ,,3,68,60,8,1705.0
7:33.0,D. Powell makes 2-pt dunk from 3 ft (assist by L. Dončić),62-68, ,,3,68,62,6,1707.0
7:17.0, ,62-70,B. Adebayo makes 2-pt jump shot from 9 ft (assist by P. Tucker),,3,70,62,8,1723.0
7:11.0,Offensive foul by J. Brunson (drawn by D. Robinson),62-70, ,,3,70,62,8,1729.0
7:11.0,Turnover by J. Brunson (offensive foul),62-70, ,,3,70,62,8,1729.0
6:55.0, ,62-70,K. Lowry misses 2-pt jump shot from 13 ft,,3,70,62,8,1745.0
6:51.0,Defensive rebound by L. Dončić,62-70, ,,3,70,62,8,1749.0
6:46.0,Shooting foul by K. Lowry (drawn by L. Dončić),62-70, ,,3,70,62,8,1754.0
6:46.0, ,62-70,Miami full timeout,,3,70,62,8,1754.0
6:46.0,J. Green enters the game for D. Powell,62-70, ,,3,70,62,8,1754.0
6:46.0,L. Dončić makes free throw 1 of 2,63-70, ,,3,70,63,7,1754.0
6:46.0,L. Dončić makes free throw 2 of 2,64-70, ,,3,70,64,6,1754.0
6:24.0, ,64-70,B. Adebayo misses 2-pt jump shot from 9 ft,,3,70,64,6,1776.0
6:23.0, ,64-70,Offensive rebound by B. Adebayo,,3,70,64,6,1777.0
6:21.0, ,64-70,D. Robinson misses 3-pt jump shot from 23 ft,,3,70,64,6,1779.0
6:17.0,Defensive rebound by L. Dončić,64-70, ,,3,70,64,6,1783.0
5:55.0,M. Kleber misses 3-pt jump shot from 26 ft,64-70, ,,3,70,64,6,1805.0
5:51.0,Offensive rebound by D. Finney-Smith,64-70, ,,3,70,64,6,1809.0
5:44.0,L. Dončić misses 2-pt jump shot from 7 ft,64-70, ,,3,70,64,6,1816.0
5:42.0,Offensive rebound by D. Finney-Smith,64-70, ,,3,70,64,6,1818.0
5:40.0,Turnover by D. Finney-Smith (back court),64-70, ,,3,70,64,6,1820.0
5:21.0, ,64-70,D. Robinson misses 3-pt jump shot from 28 ft,,3,70,64,6,1839.0
5:16.0,Defensive rebound by J. Green,64-70, ,,3,70,64,6,1844.0
5:13.0,J. Brunson misses 2-pt layup from 2 ft,64-70, ,,3,70,64,6,1847.0
5:09.0, ,64-70,Defensive rebound by J. Butler,,3,70,64,6,1851.0
5:09.0, ,64-70,Personal take foul by M. Kleber (drawn by J. Butler),,3,70,64,6,1851.0
5:09.0,S. Dinwiddie enters the game for J. Brunson,64-70, ,,3,70,64,6,1851.0
5:02.0, ,64-70,B. Adebayo misses 2-pt jump shot from 18 ft,,3,70,64,6,1858.0
4:57.0,Defensive rebound by S. Dinwiddie,64-70, ,,3,70,64,6,1863.0
4:47.0,Shooting foul by D. Robinson (drawn by S. Dinwiddie),64-70, ,,3,70,64,6,1873.0
4:47.0,S. Dinwiddie misses free throw 1 of 2,64-70, ,,3,70,64,6,1873.0
4:47.0,Offensive rebound by Team,64-70, ,,3,70,64,6,1873.0
4:47.0, ,64-70,G. Vincent enters the game for K. Lowry,,3,70,64,6,1873.0
4:47.0,S. Dinwiddie misses free throw 2 of 2,64-70, ,,3,70,64,6,1873.0
4:45.0, ,64-70,Defensive rebound by P. Tucker,,3,70,64,6,1875.0
4:27.0, ,64-70,G. Vincent misses 3-pt jump shot from 26 ft,,3,70,64,6,1893.0
4:21.0, ,64-70,Offensive rebound by P. Tucker,,3,70,64,6,1899.0
4:16.0, ,64-70,P. Tucker misses 3-pt jump shot from 26 ft,,3,70,64,6,1904.0
4:15.0,Defensive rebound by Team,64-70, ,,3,70,64,6,1905.0
4:15.0, ,64-70,Loose ball foul by B. Adebayo (drawn by M. Kleber),,3,70,64,6,1905.0
4:15.0,D. Powell enters the game for M. Kleber,64-70, ,,3,70,64,6,1905.0
