Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:49.0,T. Thompson misses free throw 1 of 2,23-39, ,,2,39,23,16,911.0
8:49.0,Offensive rebound by Team,23-39, ,,2,39,23,16,911.0
8:49.0,T. Thompson makes free throw 2 of 2,24-39, ,,2,39,24,15,911.0
8:38.0, ,24-39,M. Strus misses 3-pt jump shot from 26 ft,,2,39,24,15,922.0
8:35.0,Defensive rebound by Z. LaVine,24-39, ,,2,39,24,15,925.0
8:27.0,D. DeRozan misses 2-pt jump shot from 18 ft,24-39, ,,2,39,24,15,933.0
8:24.0, ,24-39,Defensive rebound by G. Vincent,,2,39,24,15,936.0
8:19.0, ,24-42,T. Herro makes 3-pt jump shot from 27 ft,,2,42,24,18,941.0
8:01.0,T. Thompson misses 2-pt jump shot from 8 ft,24-42, ,,2,42,24,18,959.0
8:01.0,Offensive rebound by J. Green,24-42, ,,2,42,24,18,959.0
7:54.0,J. Green makes 2-pt dunk at rim,26-42, ,,2,42,26,16,966.0
7:46.0, ,26-44,G. Vincent makes 2-pt jump shot from 15 ft,,2,44,26,18,974.0
7:32.0,D. DeRozan makes 2-pt jump shot from 12 ft,28-44, ,,2,44,28,16,988.0
7:22.0, ,28-44,G. Vincent misses 3-pt jump shot from 26 ft,,2,44,28,16,998.0
7:19.0, ,28-44,Offensive rebound by C. Martin,,2,44,28,16,1001.0
7:16.0, ,28-47,G. Vincent makes 3-pt jump shot from 26 ft (assist by C. Martin),,2,47,28,19,1004.0
6:55.0,Z. LaVine misses 3-pt jump shot from 26 ft,28-47, ,,2,47,28,19,1025.0
6:49.0,Offensive rebound by T. Thompson,28-47, ,,2,47,28,19,1031.0
6:34.0,A. Dosunmu makes 2-pt jump shot from 6 ft,30-47, ,,2,47,30,17,1046.0
6:23.0, ,30-47,Offensive foul by M. Strus (drawn by A. Dosunmu),,2,47,30,17,1057.0
6:23.0, ,30-47,Turnover by M. Strus (offensive foul),,2,47,30,17,1057.0
6:23.0, ,30-47,Miami full timeout,,2,47,30,17,1057.0
6:23.0,N. Vučević enters the game for D. DeRozan,30-47, ,,2,47,30,17,1057.0
6:23.0,C. White enters the game for T. Thompson,30-47, ,,2,47,30,17,1057.0
6:23.0, ,30-47,J. Butler enters the game for C. Martin,,2,47,30,17,1057.0
6:23.0, ,30-47,D. Robinson enters the game for M. Strus,,2,47,30,17,1057.0
6:23.0, ,30-47,P. Tucker enters the game for G. Vincent,,2,47,30,17,1057.0
6:02.0,Z. LaVine makes 2-pt layup from 4 ft,32-47, ,,2,47,32,15,1078.0
5:40.0, ,32-47,Turnover by D. Robinson (bad pass; steal by N. Vučević),,2,47,32,15,1100.0
5:34.0,Z. LaVine misses 3-pt jump shot from 23 ft,32-47, ,,2,47,32,15,1106.0
5:28.0,Offensive rebound by N. Vučević,32-47, ,,2,47,32,15,1112.0
5:28.0,N. Vučević makes 2-pt dunk at rim,34-47, ,,2,47,34,13,1112.0
5:16.0, ,34-47,T. Herro misses 3-pt jump shot from 27 ft,,2,47,34,13,1124.0
5:13.0,Defensive rebound by N. Vučević,34-47, ,,2,47,34,13,1127.0
5:02.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by Z. LaVine),36-47, ,,2,47,36,11,1138.0
4:45.0, ,36-49,B. Adebayo makes 2-pt layup from 6 ft (assist by J. Butler),,2,49,36,13,1155.0
4:20.0,N. Vučević misses 2-pt layup from 3 ft (block by B. Adebayo),36-49, ,,2,49,36,13,1180.0
4:20.0,Offensive rebound by Team,36-49, ,,2,49,36,13,1180.0
4:20.0,D. DeRozan enters the game for J. Green,36-49, ,,2,49,36,13,1180.0
4:20.0, ,36-49,G. Vincent enters the game for T. Herro,,2,49,36,13,1180.0
4:16.0,N. Vučević misses 2-pt jump shot from 10 ft (block by B. Adebayo),36-49, ,,2,49,36,13,1184.0
4:11.0, ,36-49,Defensive rebound by G. Vincent,,2,49,36,13,1189.0
3:59.0, ,36-49,B. Adebayo misses 2-pt jump shot from 19 ft,,2,49,36,13,1201.0
3:54.0,Defensive rebound by D. DeRozan,36-49, ,,2,49,36,13,1206.0
3:45.0,D. DeRozan makes 2-pt jump shot from 13 ft,38-49, ,,2,49,38,11,1215.0
3:45.0,Shooting foul by G. Vincent (drawn by D. DeRozan),38-49, ,,2,49,38,11,1215.0
3:45.0,D. DeRozan makes free throw 1 of 1,39-49, ,,2,49,39,10,1215.0
3:36.0, ,39-49,J. Butler misses 2-pt layup from 3 ft (block by A. Dosunmu),,2,49,39,10,1224.0
3:34.0,Defensive rebound by A. Dosunmu,39-49, ,,2,49,39,10,1226.0
3:33.0,Shooting foul by B. Adebayo (drawn by Z. LaVine),39-49, ,,2,49,39,10,1227.0
3:33.0,Z. LaVine makes free throw 1 of 2,40-49, ,,2,49,40,9,1227.0
3:33.0,Z. LaVine misses free throw 2 of 2,40-49, ,,2,49,40,9,1227.0
3:31.0, ,40-49,Defensive rebound by B. Adebayo,,2,49,40,9,1229.0
3:22.0, ,40-49,Personal foul by Z. LaVine (drawn by G. Vincent),,2,49,40,9,1238.0
3:22.0, ,40-49,T. Herro enters the game for D. Robinson,,2,49,40,9,1238.0
3:18.0, ,40-49,T. Herro misses 2-pt jump shot from 3 ft (block by D. DeRozan),,2,49,40,9,1242.0
3:15.0, ,40-49,Offensive rebound by Team,,2,49,40,9,1245.0
3:15.0,Jump ball: T. Herro vs. D. DeRozan (B. Adebayo gains possession),40-49,,,2,49,40,9,1245.0
3:07.0, ,40-49,J. Butler misses 2-pt jump shot from 17 ft,,2,49,40,9,1253.0
3:07.0, ,40-49,Offensive rebound by B. Adebayo,,2,49,40,9,1253.0
3:01.0, ,40-49,Turnover by B. Adebayo (bad pass; steal by D. DeRozan),,2,49,40,9,1259.0
3:01.0,Personal take foul by T. Herro (drawn by D. DeRozan),40-49, ,,2,49,40,9,1259.0
3:01.0,D. DeRozan makes free throw 1 of 2,41-49, ,,2,49,41,8,1259.0
3:01.0,D. DeRozan makes free throw 2 of 2,42-49, ,,2,49,42,7,1259.0
2:45.0, ,42-49,J. Butler misses 2-pt layup from 3 ft,,2,49,42,7,1275.0
2:43.0,Defensive rebound by A. Dosunmu,42-49, ,,2,49,42,7,1277.0
2:42.0,Turnover by A. Dosunmu (bad pass),42-49, ,,2,49,42,7,1278.0
2:42.0,Chicago full timeout,42-49, ,,2,49,42,7,1278.0
2:20.0, ,42-49,Shooting foul by Z. LaVine (drawn by G. Vincent),,2,49,42,7,1300.0
2:20.0, ,42-50,G. Vincent makes free throw 1 of 2,,2,50,42,8,1300.0
2:20.0, ,42-50,G. Vincent misses free throw 2 of 2,,2,50,42,8,1300.0
2:17.0,Defensive rebound by N. Vučević,42-50, ,,2,50,42,8,1303.0
2:03.0, ,42-50,Violation by Team (kicked ball),,2,50,42,8,1317.0
1:59.0,Z. LaVine makes 2-pt layup from 2 ft (assist by N. Vučević),44-50, ,,2,50,44,6,1321.0
1:43.0, ,44-52,T. Herro makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,2,52,44,8,1337.0
1:26.0,Z. LaVine misses 3-pt jump shot from 25 ft,44-52, ,,2,52,44,8,1354.0
1:23.0, ,44-52,Defensive rebound by T. Herro,,2,52,44,8,1357.0
1:11.0, ,44-52,Turnover by J. Butler (bad pass; steal by D. DeRozan),,2,52,44,8,1369.0
1:11.0, ,44-52,D. Dedmon enters the game for B. Adebayo,,2,52,44,8,1369.0
1:11.0, ,44-52,C. Martin enters the game for G. Vincent,,2,52,44,8,1369.0
0:58.0,Z. LaVine makes 2-pt jump shot from 18 ft (assist by A. Dosunmu),46-52, ,,2,52,46,6,1382.0
0:45.0, ,46-55,C. Martin makes 3-pt jump shot from 23 ft (assist by T. Herro),,2,55,46,9,1395.0
0:32.0,Z. LaVine misses 2-pt jump shot from 22 ft,46-55, ,,2,55,46,9,1408.0
0:29.0, ,46-55,Defensive rebound by C. Martin,,2,55,46,9,1411.0
0:28.0, ,46-55,T. Herro misses 3-pt jump shot from 26 ft,,2,55,46,9,1412.0
0:28.0, ,46-55,Offensive rebound by C. Martin,,2,55,46,9,1412.0
0:22.0, ,46-55,D. Dedmon misses 2-pt jump shot from 20 ft,,2,55,46,9,1418.0
0:22.0,Defensive rebound by D. DeRozan,46-55, ,,2,55,46,9,1418.0
0:02.0,A. Dosunmu misses 3-pt jump shot from 25 ft,46-55, ,,2,55,46,9,1438.0
0:00.0,Offensive rebound by Team,46-55, ,,2,55,46,9,1440.0
0:00.0,End of 2nd quarter,46-55,,,2,55,46,9,1440.0
12:00.0,Start of 3rd quarter,46-55,,,3,55,46,9,1440.0
11:39.0, ,46-55,G. Vincent misses 2-pt layup from 3 ft,,3,55,46,9,1461.0
11:37.0,Defensive rebound by N. Vučević,46-55, ,,3,55,46,9,1463.0
11:35.0,A. Dosunmu makes 2-pt layup from 2 ft (assist by D. DeRozan),48-55, ,,3,55,48,7,1465.0
11:17.0, ,48-55,D. Robinson misses 3-pt jump shot from 27 ft,,3,55,48,7,1483.0
11:13.0, ,48-55,Offensive rebound by D. Robinson,,3,55,48,7,1487.0
11:05.0, ,48-55,G. Vincent misses 2-pt jump shot from 20 ft,,3,55,48,7,1495.0
11:01.0,Defensive rebound by D. DeRozan,48-55, ,,3,55,48,7,1499.0
10:53.0,N. Vučević misses 2-pt hook shot from 10 ft,48-55, ,,3,55,48,7,1507.0
10:52.0,Offensive rebound by Team,48-55, ,,3,55,48,7,1508.0
10:45.0,Z. LaVine misses 3-pt jump shot from 27 ft,48-55, ,,3,55,48,7,1515.0
10:41.0, ,48-55,Defensive rebound by J. Butler,,3,55,48,7,1519.0
10:35.0, ,48-57,B. Adebayo makes 2-pt jump shot from 11 ft (assist by P. Tucker),,3,57,48,9,1525.0
10:20.0, ,48-57,Violation by Team (kicked ball),,3,57,48,9,1540.0
10:16.0,D. DeRozan misses 2-pt jump shot from 6 ft,48-57, ,,3,57,48,9,1544.0
10:13.0, ,48-57,Defensive rebound by B. Adebayo,,3,57,48,9,1547.0
10:09.0, ,48-57,G. Vincent misses 3-pt jump shot from 25 ft,,3,57,48,9,1551.0
10:05.0,Defensive rebound by D. DeRozan,48-57, ,,3,57,48,9,1555.0
10:01.0,A. Dosunmu misses 2-pt jump shot from 14 ft,48-57, ,,3,57,48,9,1559.0
10:01.0, ,48-57,Defensive rebound by B. Adebayo,,3,57,48,9,1559.0
9:57.0, ,48-57,Personal foul by A. Dosunmu (drawn by B. Adebayo),,3,57,48,9,1563.0
9:40.0, ,48-59,G. Vincent makes 2-pt layup from 2 ft,,3,59,48,11,1580.0
9:40.0, ,48-59,Shooting foul by D. DeRozan (drawn by G. Vincent),,3,59,48,11,1580.0
9:40.0, ,48-60,G. Vincent makes free throw 1 of 1,,3,60,48,12,1580.0
9:27.0,Turnover by D. DeRozan (lost ball; steal by B. Adebayo),48-60, ,,3,60,48,12,1593.0
9:21.0, ,48-63,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,3,63,48,15,1599.0
9:20.0,Chicago full timeout,48-63, ,,3,63,48,15,1600.0
9:03.0,A. Dosunmu misses 2-pt jump shot from 5 ft,48-63, ,,3,63,48,15,1617.0
9:01.0, ,48-63,Defensive rebound by J. Butler,,3,63,48,15,1619.0
8:54.0, ,48-63,G. Vincent misses 3-pt jump shot from 23 ft,,3,63,48,15,1626.0
