Time,Indiana,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:03.0, ,30-49,K. Lowry enters the game for T. Herro,,2,49,30,19,1077.0
6:03.0, ,30-49,D. Robinson enters the game for G. Vincent,,2,49,30,19,1077.0
6:03.0, ,30-50,O. Yurtseven makes free throw 2 of 2,,2,50,30,20,1077.0
5:42.0,T. Craig misses 2-pt layup from 2 ft,30-50, ,,2,50,30,20,1098.0
5:37.0,Offensive rebound by M. Turner,30-50, ,,2,50,30,20,1103.0
5:35.0,M. Turner makes 2-pt layup from 2 ft,32-50, ,,2,50,32,18,1105.0
5:16.0, ,32-50,M. Garrett misses 2-pt jump shot from 12 ft,,2,50,32,18,1124.0
5:14.0, ,32-50,Offensive rebound by O. Yurtseven,,2,50,32,18,1126.0
5:11.0, ,32-52,O. Yurtseven makes 2-pt hook shot from 5 ft,,2,52,32,20,1129.0
4:50.0,J. Holiday misses 2-pt jump shot from 9 ft,32-52, ,,2,52,32,20,1150.0
4:47.0, ,32-52,Defensive rebound by O. Yurtseven,,2,52,32,20,1153.0
4:28.0, ,32-55,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Lowry),,2,55,32,23,1172.0
4:13.0,C. LeVert misses 3-pt jump shot from 26 ft,32-55, ,,2,55,32,23,1187.0
4:09.0, ,32-55,Defensive rebound by M. Garrett,,2,55,32,23,1191.0
4:01.0, ,32-55,M. Strus misses 3-pt jump shot from 26 ft,,2,55,32,23,1199.0
3:57.0,Defensive rebound by C. Duarte,32-55, ,,2,55,32,23,1203.0
3:55.0,Shooting foul by D. Robinson (drawn by C. LeVert),32-55, ,,2,55,32,23,1205.0
3:55.0,C. LeVert makes free throw 1 of 2,33-55, ,,2,55,33,22,1205.0
3:55.0,O. Brissett enters the game for T. Craig,33-55, ,,2,55,33,22,1205.0
3:55.0,D. Sabonis enters the game for M. Turner,33-55, ,,2,55,33,22,1205.0
3:55.0,C. LeVert makes free throw 2 of 2,34-55, ,,2,55,34,21,1205.0
3:37.0, ,34-55,Turnover by K. Lowry (bad pass; steal by C. Duarte),,2,55,34,21,1223.0
3:27.0,J. Holiday misses 3-pt jump shot from 25 ft,34-55, ,,2,55,34,21,1233.0
3:25.0, ,34-55,Defensive rebound by O. Yurtseven,,2,55,34,21,1235.0
3:18.0, ,34-55,K. Lowry misses 3-pt jump shot from 25 ft,,2,55,34,21,1242.0
3:16.0,Defensive rebound by C. Duarte,34-55, ,,2,55,34,21,1244.0
3:12.0,C. Duarte makes 2-pt layup from 2 ft,36-55, ,,2,55,36,19,1248.0
3:05.0, ,36-55,Miami full timeout,,2,55,36,19,1255.0
2:50.0, ,36-58,D. Robinson makes 3-pt jump shot from 26 ft,,2,58,36,22,1270.0
2:32.0,C. Duarte makes 3-pt jump shot from 26 ft (assist by C. LeVert),39-58, ,,2,58,39,19,1288.0
2:26.0, ,39-58,Personal foul by J. Holiday (drawn by M. Strus),,2,58,39,19,1294.0
2:17.0, ,39-60,D. Robinson makes 2-pt layup from 2 ft,,2,60,39,21,1303.0
2:03.0,J. Holiday misses 3-pt jump shot from 24 ft,39-60, ,,2,60,39,21,1317.0
1:58.0, ,39-60,Defensive rebound by K. Lowry,,2,60,39,21,1322.0
1:53.0, ,39-62,D. Robinson makes 2-pt layup from 1 ft (assist by K. Lowry),,2,62,39,23,1327.0
1:35.0,D. Sabonis makes 2-pt jump shot from 7 ft (assist by C. Duarte),41-62, ,,2,62,41,21,1345.0
1:28.0, ,41-64,K. Lowry makes 2-pt layup from 2 ft,,2,64,41,23,1352.0
1:15.0,Turnover by J. Holiday (bad pass; steal by O. Yurtseven),41-64, ,,2,64,41,23,1365.0
1:00.0, ,41-64,M. Garrett misses 2-pt layup from 3 ft,,2,64,41,23,1380.0
0:57.0,Defensive rebound by D. Sabonis,41-64, ,,2,64,41,23,1383.0
0:49.0,C. Duarte makes 2-pt jump shot from 17 ft (assist by D. Sabonis),43-64, ,,2,64,43,21,1391.0
0:35.0, ,43-64,K. Lowry misses 3-pt jump shot from 26 ft,,2,64,43,21,1405.0
0:32.0, ,43-64,Offensive rebound by Team,,2,64,43,21,1408.0
0:32.0, ,43-64,T. Herro enters the game for M. Garrett,,2,64,43,21,1408.0
0:32.0, ,43-64,G. Vincent enters the game for M. Strus,,2,64,43,21,1408.0
0:30.0, ,43-66,G. Vincent makes 2-pt jump shot from 3 ft (assist by K. Lowry),,2,66,43,23,1410.0
0:17.0,C. LeVert makes 2-pt layup from 1 ft,45-66, ,,2,66,45,21,1423.0
0:00.0, ,45-66,G. Vincent misses 3-pt jump shot from 27 ft,,2,66,45,21,1440.0
0:00.0, ,45-66,Offensive rebound by Team,,2,66,45,21,1440.0
0:00.0,Loose ball foul by D. Sabonis (drawn by K. Lowry),45-66, ,,2,66,45,21,1440.0
0:00.0, ,45-67,K. Lowry makes free throw 1 of 2,,2,67,45,22,1440.0
0:00.0, ,45-67,K. Okpala enters the game for D. Robinson,,2,67,45,22,1440.0
0:00.0, ,45-68,K. Lowry makes free throw 2 of 2,,2,68,45,23,1440.0
0:00.0,End of 2nd quarter,45-68,,,2,68,45,23,1440.0
12:00.0,Start of 3rd quarter,45-68,,,3,68,45,23,1440.0
11:48.0, ,45-68,G. Vincent misses 2-pt layup from 2 ft (block by M. Turner),,3,68,45,23,1452.0
11:44.0,Defensive rebound by C. LeVert,45-68, ,,3,68,45,23,1456.0
11:41.0,B. Wanamaker misses 2-pt layup from 3 ft,45-68, ,,3,68,45,23,1459.0
11:39.0, ,45-68,Defensive rebound by D. Dedmon,,3,68,45,23,1461.0
11:20.0, ,45-68,G. Vincent misses 2-pt jump shot from 12 ft,,3,68,45,23,1480.0
11:15.0,Defensive rebound by M. Turner,45-68, ,,3,68,45,23,1485.0
11:11.0,Offensive foul by M. Turner (drawn by D. Robinson),45-68, ,,3,68,45,23,1489.0
11:11.0,Turnover by M. Turner (offensive foul),45-68, ,,3,68,45,23,1489.0
10:57.0, ,45-68,M. Strus misses 3-pt jump shot from 27 ft,,3,68,45,23,1503.0
10:54.0,Defensive rebound by M. Turner,45-68, ,,3,68,45,23,1506.0
10:38.0,C. LeVert misses 2-pt jump shot from 18 ft,45-68, ,,3,68,45,23,1522.0
10:35.0, ,45-68,Defensive rebound by M. Strus,,3,68,45,23,1525.0
10:28.0, ,45-71,G. Vincent makes 3-pt jump shot from 27 ft (assist by K. Lowry),,3,71,45,26,1532.0
10:11.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Wanamaker),48-71, ,,3,71,48,23,1549.0
9:48.0, ,48-74,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),,3,74,48,26,1572.0
9:37.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by M. Turner),51-74, ,,3,74,51,23,1583.0
9:23.0, ,51-74,M. Strus misses 3-pt jump shot from 26 ft,,3,74,51,23,1597.0
9:20.0,Defensive rebound by J. Holiday,51-74, ,,3,74,51,23,1600.0
9:05.0,J. Holiday misses 3-pt jump shot from 25 ft,51-74, ,,3,74,51,23,1615.0
9:04.0, ,51-74,Defensive rebound by Team,,3,74,51,23,1616.0
9:00.0, ,51-74,Turnover by D. Robinson (out of bounds lost ball),,3,74,51,23,1620.0
8:46.0,M. Turner makes 2-pt hook shot from 11 ft (assist by C. LeVert),53-74, ,,3,74,53,21,1634.0
8:21.0, ,53-74,Turnover by D. Dedmon (lost ball; steal by M. Turner),,3,74,53,21,1659.0
8:16.0,Turnover by D. Sabonis (out of bounds lost ball),53-74, ,,3,74,53,21,1664.0
7:55.0, ,53-74,K. Lowry misses 3-pt jump shot from 24 ft,,3,74,53,21,1685.0
7:53.0,Defensive rebound by D. Sabonis,53-74, ,,3,74,53,21,1687.0
7:51.0,Shooting foul by D. Robinson (drawn by J. Holiday),53-74, ,,3,74,53,21,1689.0
7:51.0,J. Holiday makes free throw 1 of 2,54-74, ,,3,74,54,20,1689.0
7:51.0,C. Duarte enters the game for C. LeVert,54-74, ,,3,74,54,20,1689.0
7:51.0,J. Holiday makes free throw 2 of 2,55-74, ,,3,74,55,19,1689.0
7:36.0, ,55-74,Turnover by G. Vincent (lost ball; steal by B. Wanamaker),,3,74,55,19,1704.0
7:34.0,Personal foul by K. Lowry (drawn by B. Wanamaker),55-74, ,,3,74,55,19,1706.0
7:20.0,D. Sabonis misses 2-pt layup from 2 ft,55-74, ,,3,74,55,19,1720.0
7:19.0, ,55-74,Defensive rebound by G. Vincent,,3,74,55,19,1721.0
7:17.0, ,55-74,Personal foul by M. Turner (drawn by D. Dedmon),,3,74,55,19,1723.0
7:05.0, ,55-74,D. Robinson misses 2-pt jump shot from 14 ft,,3,74,55,19,1735.0
7:02.0, ,55-74,Offensive rebound by M. Strus,,3,74,55,19,1738.0
6:59.0, ,55-74,Personal foul by M. Turner (drawn by K. Lowry),,3,74,55,19,1741.0
6:59.0, ,55-74,Miami full timeout,,3,74,55,19,1741.0
6:59.0,C. LeVert enters the game for J. Holiday,55-74, ,,3,74,55,19,1741.0
6:48.0, ,55-77,M. Strus makes 3-pt jump shot from 23 ft (assist by D. Dedmon),,3,77,55,22,1752.0
6:37.0,C. Duarte makes 3-pt jump shot from 28 ft (assist by C. LeVert),58-77, ,,3,77,58,19,1763.0
6:26.0, ,58-77,Turnover by G. Vincent (bad pass; steal by C. Duarte),,3,77,58,19,1774.0
6:22.0,C. LeVert misses 2-pt layup from 1 ft (block by G. Vincent),58-77, ,,3,77,58,19,1778.0
6:22.0,Offensive rebound by Team,58-77, ,,3,77,58,19,1778.0
6:18.0,C. LeVert misses 2-pt jump shot from 7 ft,58-77, ,,3,77,58,19,1782.0
6:16.0, ,58-77,Defensive rebound by K. Lowry,,3,77,58,19,1784.0
6:13.0, ,58-79,M. Strus makes 2-pt layup from 2 ft (assist by K. Lowry),,3,79,58,21,1787.0
5:58.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by D. Sabonis),61-79, ,,3,79,61,18,1802.0
5:57.0, ,61-79,Miami full timeout,,3,79,61,18,1803.0
5:40.0, ,61-82,M. Strus makes 3-pt jump shot from 28 ft,,3,82,61,21,1820.0
5:25.0,C. Duarte makes 3-pt jump shot from 24 ft (assist by D. Sabonis),64-82, ,,3,82,64,18,1835.0
5:01.0, ,64-85,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,3,85,64,21,1859.0
4:39.0,C. LeVert misses 2-pt layup from 4 ft,64-85, ,,3,85,64,21,1881.0
4:38.0, ,64-85,Defensive rebound by K. Lowry,,3,85,64,21,1882.0
4:37.0, ,64-85,G. Vincent misses 3-pt jump shot from 24 ft,,3,85,64,21,1883.0
4:30.0,Defensive rebound by B. Wanamaker,64-85, ,,3,85,64,21,1890.0
4:23.0,B. Wanamaker misses 3-pt jump shot from 25 ft,64-85, ,,3,85,64,21,1897.0
4:20.0, ,64-85,Defensive rebound by D. Dedmon,,3,85,64,21,1900.0
4:08.0, ,64-85,M. Strus misses 3-pt jump shot from 24 ft,,3,85,64,21,1912.0
4:06.0,Defensive rebound by C. Duarte,64-85, ,,3,85,64,21,1914.0
3:58.0,Personal foul by K. Lowry (drawn by C. Duarte),64-85, ,,3,85,64,21,1922.0
3:58.0,O. Brissett enters the game for M. Turner,64-85, ,,3,85,64,21,1922.0
3:58.0,J. Lamb enters the game for B. Wanamaker,64-85, ,,3,85,64,21,1922.0
3:58.0, ,64-85,T. Herro enters the game for D. Dedmon,,3,85,64,21,1922.0
3:58.0, ,64-85,K. Okpala enters the game for M. Strus,,3,85,64,21,1922.0
3:58.0, ,64-85,O. Yurtseven enters the game for G. Vincent,,3,85,64,21,1922.0
3:45.0,D. Sabonis makes 2-pt jump shot from 2 ft (assist by C. Duarte),66-85, ,,3,85,66,19,1935.0
3:45.0,Shooting foul by O. Yurtseven (drawn by D. Sabonis),66-85, ,,3,85,66,19,1935.0
