Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:24.0, ,34-38,Turnover by M. Strus (lost ball; steal by J. Green),,2,38,34,4,876.0
9:18.0,J. Poole misses 2-pt layup from 2 ft (block by B. Adebayo),34-38, ,,2,38,34,4,882.0
9:15.0, ,34-38,Defensive rebound by G. Vincent,,2,38,34,4,885.0
9:13.0, ,34-40,M. Strus makes 2-pt layup from 2 ft (assist by G. Vincent),,2,40,34,6,887.0
9:13.0,Golden State full timeout,34-40, ,,2,40,34,6,887.0
8:50.0,J. Green misses 3-pt jump shot from 24 ft,34-40, ,,2,40,34,6,910.0
8:49.0, ,34-40,Defensive rebound by Team,,2,40,34,6,911.0
8:36.0, ,34-40,Turnover by G. Vincent (bad pass),,2,40,34,6,924.0
8:26.0,Shooting foul by G. Vincent (drawn by T. Jerome),34-40, ,,2,40,34,6,934.0
8:26.0,T. Jerome makes free throw 1 of 2,35-40, ,,2,40,35,5,934.0
8:26.0,T. Jerome makes free throw 2 of 2,36-40, ,,2,40,36,4,934.0
8:13.0, ,36-40,M. Strus misses 3-pt jump shot from 27 ft,,2,40,36,4,947.0
8:05.0,Defensive rebound by J. Green,36-40, ,,2,40,36,4,955.0
8:05.0,Turnover by J. Poole (discontinued dribble),36-40, ,,2,40,36,4,955.0
8:05.0,K. Thompson enters the game for T. Jerome,36-40, ,,2,40,36,4,955.0
7:50.0, ,36-40,B. Adebayo misses 2-pt jump shot from 18 ft,,2,40,36,4,970.0
7:45.0,Defensive rebound by J. Green,36-40, ,,2,40,36,4,975.0
7:35.0,K. Thompson misses 3-pt jump shot from 24 ft,36-40, ,,2,40,36,4,985.0
7:33.0, ,36-40,Defensive rebound by G. Vincent,,2,40,36,4,987.0
7:22.0, ,36-42,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),,2,42,36,6,998.0
7:22.0,S. Curry enters the game for J. Green,36-42, ,,2,42,36,6,998.0
7:22.0,D. Green enters the game for K. Looney,36-42, ,,2,42,36,6,998.0
7:22.0,M. Moody enters the game for J. Poole,36-42, ,,2,42,36,6,998.0
7:22.0, ,36-42,T. Herro enters the game for M. Strus,,2,42,36,6,998.0
