Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:39.0,Offensive rebound by D. Hunter,19-13, ,,1,13,19,-6,441.0
4:39.0,Shooting foul by K. Lowry (drawn by D. Hunter),19-13, ,,1,13,19,-6,441.0
4:39.0,D. Hunter makes free throw 1 of 2,20-13, ,,1,13,20,-7,441.0
4:39.0,D. Hunter makes free throw 2 of 2,21-13, ,,1,13,21,-8,441.0
4:24.0, ,21-13,Turnover by J. Butler (lost ball; steal by B. Bogdanović),,1,13,21,-8,456.0
4:14.0,D. Hunter misses 3-pt jump shot from 24 ft,21-13, ,,1,13,21,-8,466.0
4:11.0, ,21-13,Defensive rebound by K. Lowry,,1,13,21,-8,469.0
4:07.0, ,21-13,J. Butler misses 2-pt layup from 5 ft,,1,13,21,-8,473.0
4:04.0,Defensive rebound by B. Bogdanović,21-13, ,,1,13,21,-8,476.0
3:50.0,O. Okongwu makes 2-pt jump shot from 4 ft (assist by B. Bogdanović),23-13, ,,1,13,23,-10,490.0
3:39.0, ,23-13,Shooting foul by D. Hunter (drawn by K. Lowry),,1,13,23,-10,501.0
3:39.0,J. Johnson enters the game for D. Hunter,23-13, ,,1,13,23,-10,501.0
3:39.0, ,23-14,K. Lowry makes free throw 1 of 2,,1,14,23,-9,501.0
3:39.0, ,23-15,K. Lowry makes free throw 2 of 2,,1,15,23,-8,501.0
3:39.0, ,23-15,G. Vincent enters the game for K. Lowry,,1,15,23,-8,501.0
3:25.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by O. Okongwu),25-15, ,,1,15,25,-10,515.0
3:10.0, ,25-17,K. Love makes 2-pt layup from 4 ft (assist by C. Martin),,1,17,25,-8,530.0
3:00.0,O. Okongwu makes 2-pt layup from 7 ft (assist by J. Johnson),27-17, ,,1,17,27,-10,540.0
2:45.0, ,27-20,G. Vincent makes 3-pt jump shot from 28 ft (assist by J. Butler),,1,20,27,-7,555.0
2:44.0,Atlanta full timeout,27-20, ,,1,20,27,-7,556.0
2:44.0,T. Young enters the game for D. Murray,27-20, ,,1,20,27,-7,556.0
2:44.0, ,27-20,T. Herro enters the game for M. Strus,,1,20,27,-7,556.0
2:44.0, ,27-20,K. Lowry enters the game for G. Vincent,,1,20,27,-7,556.0
2:26.0,J. Johnson makes 2-pt jump shot from 2 ft (assist by T. Young),29-20, ,,1,20,29,-9,574.0
2:17.0, ,29-20,K. Love misses 3-pt jump shot from 27 ft,,1,20,29,-9,583.0
2:13.0,Defensive rebound by J. Johnson,29-20, ,,1,20,29,-9,587.0
2:13.0,Turnover by J. Johnson (bad pass; steal by J. Butler),29-20, ,,1,20,29,-9,587.0
2:09.0, ,29-22,J. Butler makes 2-pt dunk from 4 ft,,1,22,29,-7,591.0
1:58.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Johnson),31-22, ,,1,22,31,-9,602.0
1:41.0, ,31-22,Turnover by J. Butler (lost ball; steal by J. Johnson),,1,22,31,-9,619.0
1:35.0,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),34-22, ,,1,22,34,-12,625.0
1:23.0, ,34-24,K. Lowry makes 2-pt layup from 5 ft,,1,24,34,-10,637.0
1:23.0, ,34-24,Shooting foul by O. Okongwu (drawn by K. Lowry),,1,24,34,-10,637.0
1:23.0, ,34-24,B. Adebayo enters the game for K. Love,,1,24,34,-10,637.0
1:23.0, ,34-25,K. Lowry makes free throw 1 of 1,,1,25,34,-9,637.0
1:04.0,J. Johnson misses 3-pt jump shot from 26 ft,34-25, ,,1,25,34,-9,656.0
1:00.0, ,34-25,Defensive rebound by T. Herro,,1,25,34,-9,660.0
0:54.0, ,34-27,T. Herro makes 2-pt jump shot from 12 ft,,1,27,34,-7,666.0
0:43.0,T. Young misses 3-pt jump shot from 32 ft,34-27, ,,1,27,34,-7,677.0
0:40.0, ,34-27,Defensive rebound by K. Lowry,,1,27,34,-7,680.0
0:37.0, ,34-27,T. Herro misses 3-pt jump shot from 28 ft,,1,27,34,-7,683.0
0:34.0,Defensive rebound by J. Johnson,34-27, ,,1,27,34,-7,686.0
0:32.0,S. Bey misses 3-pt jump shot from 27 ft,34-27, ,,1,27,34,-7,688.0
0:30.0,Offensive rebound by J. Johnson,34-27, ,,1,27,34,-7,690.0
0:30.0,J. Johnson makes 2-pt layup at rim,36-27, ,,1,27,36,-9,690.0
0:11.0, ,36-27,J. Butler misses 2-pt layup from 5 ft,,1,27,36,-9,709.0
0:09.0,Defensive rebound by T. Young,36-27, ,,1,27,36,-9,711.0
0:01.0,Turnover by T. Young (bad pass; steal by B. Adebayo),36-27, ,,1,27,36,-9,719.0
0:00.0, ,36-27,J. Butler misses 3-pt jump shot from 43 ft,,1,27,36,-9,720.0
0:00.0, ,36-27,Offensive rebound by Team,,1,27,36,-9,720.0
0:00.0,End of 1st quarter,36-27,,,1,27,36,-9,720.0
12:00.0,Start of 2nd quarter,36-27,,,2,27,36,-9,720.0
11:45.0, ,36-27,Turnover by T. Herro (bad pass; steal by B. Bogdanović),,2,27,36,-9,735.0
11:41.0,T. Young makes 2-pt layup from 3 ft (assist by O. Okongwu),38-27, ,,2,27,38,-11,739.0
11:31.0, ,38-27,Turnover by C. Martin (step out of bounds),,2,27,38,-11,749.0
11:13.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by B. Bogdanović),40-27, ,,2,27,40,-13,767.0
10:50.0, ,40-27,V. Oladipo misses 3-pt jump shot from 23 ft,,2,27,40,-13,790.0
10:47.0,Defensive rebound by T. Young,40-27, ,,2,27,40,-13,793.0
10:42.0,B. Bogdanović misses 3-pt jump shot from 26 ft,40-27, ,,2,27,40,-13,798.0
10:40.0,Offensive rebound by S. Bey,40-27, ,,2,27,40,-13,800.0
10:37.0,T. Young misses 3-pt jump shot from 27 ft,40-27, ,,2,27,40,-13,803.0
10:33.0, ,40-27,Defensive rebound by Team,,2,27,40,-13,807.0
10:21.0, ,40-29,T. Herro makes 2-pt jump shot from 10 ft,,2,29,40,-11,819.0
10:09.0,S. Bey misses 3-pt jump shot from 23 ft,40-29, ,,2,29,40,-11,831.0
10:05.0, ,40-29,Defensive rebound by C. Martin,,2,29,40,-11,835.0
9:56.0, ,40-29,K. Lowry misses 2-pt jump shot from 19 ft,,2,29,40,-11,844.0
9:54.0,Defensive rebound by J. Johnson,40-29, ,,2,29,40,-11,846.0
9:49.0,S. Bey makes 3-pt jump shot from 24 ft (assist by T. Young),43-29, ,,2,29,43,-14,851.0
9:37.0, ,43-29,T. Herro misses 2-pt jump shot from 13 ft,,2,29,43,-14,863.0
9:37.0,Defensive rebound by O. Okongwu,43-29, ,,2,29,43,-14,863.0
9:27.0,O. Okongwu misses 2-pt layup from 7 ft (block by V. Oladipo),43-29, ,,2,29,43,-14,873.0
9:23.0, ,43-29,Defensive rebound by T. Herro,,2,29,43,-14,877.0
9:20.0, ,43-29,Turnover by T. Herro (bad pass; steal by J. Johnson),,2,29,43,-14,880.0
9:16.0,T. Young misses 3-pt jump shot from 26 ft,43-29, ,,2,29,43,-14,884.0
9:11.0, ,43-29,Defensive rebound by C. Martin,,2,29,43,-14,889.0
9:06.0, ,43-29,Shooting foul by B. Bogdanović (drawn by B. Adebayo),,2,29,43,-14,894.0
9:06.0, ,43-30,B. Adebayo makes free throw 1 of 2,,2,30,43,-13,894.0
9:06.0,D. Murray enters the game for T. Young,43-30, ,,2,30,43,-13,894.0
9:06.0, ,43-30,B. Adebayo misses free throw 2 of 2,,2,30,43,-13,894.0
9:03.0,Defensive rebound by J. Johnson,43-30, ,,2,30,43,-13,897.0
8:53.0,Shooting foul by V. Oladipo (drawn by B. Bogdanović),43-30, ,,2,30,43,-13,907.0
8:53.0,B. Bogdanović makes free throw 1 of 2,44-30, ,,2,30,44,-14,907.0
8:53.0,B. Bogdanović makes free throw 2 of 2,45-30, ,,2,30,45,-15,907.0
8:35.0, ,45-32,B. Adebayo makes 2-pt hook shot from 11 ft,,2,32,45,-13,925.0
8:24.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),48-32, ,,2,32,48,-16,936.0
8:24.0,D. Hunter enters the game for J. Johnson,48-32, ,,2,32,48,-16,936.0
8:08.0, ,48-34,T. Herro makes 2-pt jump shot from 16 ft (assist by K. Lowry),,2,34,48,-14,952.0
7:52.0,S. Bey misses 3-pt jump shot from 25 ft,48-34, ,,2,34,48,-14,968.0
7:49.0, ,48-34,Defensive rebound by K. Lowry,,2,34,48,-14,971.0
7:44.0, ,48-36,K. Lowry makes 2-pt layup from 6 ft,,2,36,48,-12,976.0
7:27.0,S. Bey makes 2-pt dunk from 2 ft (assist by O. Okongwu),50-36, ,,2,36,50,-14,993.0
7:10.0, ,50-36,T. Herro misses 3-pt jump shot from 27 ft,,2,36,50,-14,1010.0
7:07.0,Defensive rebound by D. Hunter,50-36, ,,2,36,50,-14,1013.0
6:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Hunter),53-36, ,,2,36,53,-17,1030.0
6:49.0, ,53-36,Miami full timeout,,2,36,53,-17,1031.0
6:49.0, ,53-36,J. Butler enters the game for T. Herro,,2,36,53,-17,1031.0
6:49.0, ,53-36,M. Strus enters the game for K. Lowry,,2,36,53,-17,1031.0
6:49.0, ,53-36,G. Vincent enters the game for C. Martin,,2,36,53,-17,1031.0
6:32.0, ,53-38,B. Adebayo makes 2-pt hook shot from 3 ft (assist by J. Butler),,2,38,53,-15,1048.0
6:21.0,Shooting foul by G. Vincent (drawn by O. Okongwu),53-38, ,,2,38,53,-15,1059.0
6:21.0,O. Okongwu makes free throw 1 of 2,54-38, ,,2,38,54,-16,1059.0
6:21.0,O. Okongwu makes free throw 2 of 2,55-38, ,,2,38,55,-17,1059.0
6:07.0, ,55-38,G. Vincent misses 3-pt jump shot from 27 ft,,2,38,55,-17,1073.0
6:03.0,Defensive rebound by D. Murray,55-38, ,,2,38,55,-17,1077.0
5:52.0,D. Hunter misses 2-pt jump shot from 7 ft,55-38, ,,2,38,55,-17,1088.0
5:48.0, ,55-38,Defensive rebound by B. Adebayo,,2,38,55,-17,1092.0
5:45.0, ,55-38,Shooting foul by O. Okongwu (drawn by B. Adebayo),,2,38,55,-17,1095.0
5:45.0, ,55-39,B. Adebayo makes free throw 1 of 2,,2,39,55,-16,1095.0
5:45.0,C. Capela enters the game for B. Bogdanović,55-39, ,,2,39,55,-16,1095.0
5:45.0,T. Young enters the game for O. Okongwu,55-39, ,,2,39,55,-16,1095.0
5:45.0, ,55-39,B. Adebayo misses free throw 2 of 2,,2,39,55,-16,1095.0
5:42.0,Defensive rebound by C. Capela,55-39, ,,2,39,55,-16,1098.0
5:30.0,D. Murray misses 2-pt jump shot from 16 ft,55-39, ,,2,39,55,-16,1110.0
5:25.0, ,55-39,Defensive rebound by M. Strus,,2,39,55,-16,1115.0
5:19.0, ,55-39,B. Adebayo misses 2-pt jump shot from 8 ft,,2,39,55,-16,1121.0
5:17.0, ,55-39,Offensive rebound by B. Adebayo,,2,39,55,-16,1123.0
5:16.0, ,55-39,B. Adebayo misses 2-pt layup from 5 ft,,2,39,55,-16,1124.0
5:14.0,Defensive rebound by D. Hunter,55-39, ,,2,39,55,-16,1126.0
5:09.0,Turnover by T. Young (bad pass; steal by J. Butler),55-39, ,,2,39,55,-16,1131.0
5:04.0, ,55-39,M. Strus misses 3-pt jump shot from 27 ft,,2,39,55,-16,1136.0
4:59.0,Defensive rebound by C. Capela,55-39, ,,2,39,55,-16,1141.0
4:33.0,T. Young makes 2-pt jump shot from 11 ft,57-39, ,,2,39,57,-18,1167.0
4:20.0, ,57-39,J. Butler misses 2-pt layup from 8 ft (block by S. Bey),,2,39,57,-18,1180.0
4:20.0,Defensive rebound by C. Capela,57-39, ,,2,39,57,-18,1180.0
4:15.0,D. Murray misses 2-pt layup from 5 ft (block by B. Adebayo),57-39, ,,2,39,57,-18,1185.0
4:08.0, ,57-39,Defensive rebound by J. Butler,,2,39,57,-18,1192.0
3:50.0, ,57-39,B. Adebayo misses 2-pt jump shot from 14 ft,,2,39,57,-18,1210.0
3:45.0,Defensive rebound by D. Murray,57-39, ,,2,39,57,-18,1215.0
3:30.0,T. Young makes 2-pt layup from 5 ft,59-39, ,,2,39,59,-20,1230.0
3:30.0, ,59-39,Miami full timeout,,2,39,59,-20,1230.0
3:30.0, ,59-39,K. Lowry enters the game for B. Adebayo,,2,39,59,-20,1230.0
3:30.0, ,59-39,C. Zeller enters the game for V. Oladipo,,2,39,59,-20,1230.0
3:17.0, ,59-39,J. Butler misses 2-pt layup from 8 ft (block by C. Capela),,2,39,59,-20,1243.0
3:13.0,Defensive rebound by D. Hunter,59-39, ,,2,39,59,-20,1247.0
3:10.0,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),62-39, ,,2,39,62,-23,1250.0
2:57.0, ,62-39,J. Butler misses 2-pt layup from 7 ft (block by C. Capela),,2,39,62,-23,1263.0
2:54.0,Defensive rebound by S. Bey,62-39, ,,2,39,62,-23,1266.0
2:50.0,S. Bey misses 3-pt jump shot from 24 ft,62-39, ,,2,39,62,-23,1270.0
2:46.0,Offensive rebound by C. Capela,62-39, ,,2,39,62,-23,1274.0
2:45.0, ,62-39,Violation by Team (kicked ball),,2,39,62,-23,1275.0
2:45.0, ,62-39,B. Adebayo enters the game for M. Strus,,2,39,62,-23,1275.0
2:45.0, ,62-39,T. Herro enters the game for G. Vincent,,2,39,62,-23,1275.0
2:45.0, ,62-39,C. Martin enters the game for C. Zeller,,2,39,62,-23,1275.0
2:37.0,Shooting foul by T. Herro (drawn by D. Murray),62-39, ,,2,39,62,-23,1283.0
2:37.0,D. Murray makes free throw 1 of 2,63-39, ,,2,39,63,-24,1283.0
2:37.0, ,63-39,M. Strus enters the game for T. Herro,,2,39,63,-24,1283.0
2:37.0,D. Murray misses free throw 2 of 2,63-39, ,,2,39,63,-24,1283.0
2:34.0, ,63-39,Defensive rebound by C. Martin,,2,39,63,-24,1286.0
2:30.0, ,63-42,K. Lowry makes 3-pt jump shot from 28 ft (assist by J. Butler),,2,42,63,-21,1290.0
2:04.0,D. Murray misses 3-pt jump shot from 26 ft,63-42, ,,2,42,63,-21,1316.0
2:00.0,Offensive rebound by C. Capela,63-42, ,,2,42,63,-21,1320.0
1:59.0,C. Capela misses 2-pt layup from 3 ft (block by J. Butler),63-42, ,,2,42,63,-21,1321.0
1:56.0,Offensive rebound by C. Capela,63-42, ,,2,42,63,-21,1324.0
1:56.0,Shooting foul by K. Lowry (drawn by C. Capela),63-42, ,,2,42,63,-21,1324.0
1:56.0,C. Capela misses free throw 1 of 2,63-42, ,,2,42,63,-21,1324.0
1:56.0,Offensive rebound by Team,63-42, ,,2,42,63,-21,1324.0
1:56.0,C. Capela misses free throw 2 of 2,63-42, ,,2,42,63,-21,1324.0
1:53.0, ,63-42,Defensive rebound by B. Adebayo,,2,42,63,-21,1327.0
1:47.0, ,63-42,Shooting foul by S. Bey (drawn by K. Lowry),,2,42,63,-21,1333.0
1:47.0, ,63-43,K. Lowry makes free throw 1 of 2,,2,43,63,-20,1333.0
1:47.0, ,63-44,K. Lowry makes free throw 2 of 2,,2,44,63,-19,1333.0
1:29.0,Turnover by T. Young (bad pass; steal by B. Adebayo),63-44, ,,2,44,63,-19,1351.0
1:24.0, ,63-44,C. Martin misses 3-pt jump shot from 27 ft,,2,44,63,-19,1356.0
1:21.0,Defensive rebound by D. Hunter,63-44, ,,2,44,63,-19,1359.0
1:13.0,D. Hunter misses 2-pt layup from 5 ft,63-44, ,,2,44,63,-19,1367.0
1:09.0,Offensive rebound by T. Young,63-44, ,,2,44,63,-19,1371.0
1:07.0,T. Young misses 3-pt jump shot from 29 ft,63-44, ,,2,44,63,-19,1373.0
1:05.0, ,63-44,Defensive rebound by Team,,2,44,63,-19,1375.0
1:05.0,Loose ball foul by D. Hunter (drawn by J. Butler),63-44, ,,2,44,63,-19,1375.0
1:05.0, ,63-44,J. Butler misses free throw 1 of 2,,2,44,63,-19,1375.0
1:05.0, ,63-44,Offensive rebound by Team,,2,44,63,-19,1375.0
1:05.0,B. Bogdanović enters the game for D. Hunter,63-44, ,,2,44,63,-19,1375.0
1:05.0, ,63-44,V. Oladipo enters the game for M. Strus,,2,44,63,-19,1375.0
1:05.0, ,63-45,J. Butler makes free throw 2 of 2,,2,45,63,-18,1375.0
0:49.0,T. Young misses 2-pt layup from 6 ft (block by B. Adebayo),63-45, ,,2,45,63,-18,1391.0
0:45.0, ,63-45,Defensive rebound by B. Adebayo,,2,45,63,-18,1395.0
0:39.0, ,63-48,K. Lowry makes 3-pt jump shot from 28 ft (assist by V. Oladipo),,2,48,63,-15,1401.0
0:28.0,D. Murray misses 3-pt jump shot from 27 ft,63-48, ,,2,48,63,-15,1412.0
0:24.0, ,63-48,Defensive rebound by K. Lowry,,2,48,63,-15,1416.0
0:24.0,J. Johnson enters the game for B. Bogdanović,63-48, ,,2,48,63,-15,1416.0
0:24.0, ,63-48,T. Herro enters the game for C. Martin,,2,48,63,-15,1416.0
0:24.0, ,63-48,M. Strus enters the game for V. Oladipo,,2,48,63,-15,1416.0
0:04.0, ,63-50,K. Lowry makes 2-pt jump shot from 6 ft,,2,50,63,-13,1436.0
0:00.0,Personal foul by M. Strus (drawn by T. Young),63-50, ,,2,50,63,-13,1440.0
0:00.0,T. Young makes free throw 1 of 2,64-50, ,,2,50,64,-14,1440.0
0:00.0, ,64-50,K. Love enters the game for M. Strus,,2,50,64,-14,1440.0
0:00.0,T. Young makes free throw 2 of 2,65-50, ,,2,50,65,-15,1440.0
0:00.0,End of 2nd quarter,65-50,,,2,50,65,-15,1440.0
12:00.0,Start of 3rd quarter,65-50,,,3,50,65,-15,1440.0
11:42.0, ,65-52,T. Herro makes 2-pt jump shot from 16 ft (assist by J. Butler),,3,52,65,-13,1458.0
11:25.0,D. Hunter misses 2-pt jump shot from 12 ft,65-52, ,,3,52,65,-13,1475.0
11:25.0, ,65-52,Defensive rebound by Team,,3,52,65,-13,1475.0
11:25.0,Loose ball foul by D. Hunter (drawn by B. Adebayo),65-52, ,,3,52,65,-13,1475.0
11:25.0,S. Bey enters the game for D. Hunter,65-52, ,,3,52,65,-13,1475.0
11:09.0, ,65-54,T. Herro makes 2-pt layup from 5 ft (assist by J. Butler),,3,54,65,-11,1491.0
10:45.0,D. Murray misses 3-pt jump shot from 27 ft,65-54, ,,3,54,65,-11,1515.0
10:41.0,Offensive rebound by C. Capela,65-54, ,,3,54,65,-11,1519.0
10:39.0,C. Capela makes 2-pt hook shot from 8 ft,67-54, ,,3,54,67,-13,1521.0
10:28.0, ,67-56,T. Herro makes 2-pt jump shot from 16 ft (assist by J. Butler),,3,56,67,-11,1532.0
10:28.0,Atlanta full timeout,67-56, ,,3,56,67,-11,1532.0
10:10.0,S. Bey misses 2-pt layup from 9 ft,67-56, ,,3,56,67,-11,1550.0
10:06.0,Offensive rebound by S. Bey,67-56, ,,3,56,67,-11,1554.0
10:06.0,S. Bey misses 2-pt layup at rim,67-56, ,,3,56,67,-11,1554.0
10:05.0,Offensive rebound by S. Bey,67-56, ,,3,56,67,-11,1555.0
10:04.0,S. Bey misses 2-pt layup from 9 ft,67-56, ,,3,56,67,-11,1556.0
10:02.0, ,67-56,Defensive rebound by M. Strus,,3,56,67,-11,1558.0
9:58.0, ,67-56,G. Vincent misses 3-pt jump shot from 26 ft,,3,56,67,-11,1562.0
9:57.0, ,67-56,Offensive rebound by Team,,3,56,67,-11,1563.0
9:57.0,Loose ball foul by D. Murray (drawn by J. Butler),67-56, ,,3,56,67,-11,1563.0
9:50.0, ,67-58,J. Butler makes 2-pt dunk from 3 ft (assist by B. Adebayo),,3,58,67,-9,1570.0
9:31.0,J. Collins misses 2-pt hook shot from 7 ft,67-58, ,,3,58,67,-9,1589.0
9:27.0, ,67-58,Defensive rebound by M. Strus,,3,58,67,-9,1593.0
9:18.0, ,67-60,T. Herro makes 2-pt jump shot from 9 ft (assist by J. Butler),,3,60,67,-7,1602.0
8:59.0,T. Young misses 2-pt jump shot from 11 ft,67-60, ,,3,60,67,-7,1621.0
8:56.0, ,67-60,Defensive rebound by B. Adebayo,,3,60,67,-7,1624.0
8:52.0, ,67-60,G. Vincent misses 3-pt jump shot from 24 ft,,3,60,67,-7,1628.0
8:49.0,Defensive rebound by C. Capela,67-60, ,,3,60,67,-7,1631.0
8:44.0,S. Bey makes 2-pt layup from 5 ft (assist by D. Murray),69-60, ,,3,60,69,-9,1636.0
8:26.0, ,69-60,T. Herro misses 2-pt jump shot from 13 ft,,3,60,69,-9,1654.0
8:22.0,Defensive rebound by C. Capela,69-60, ,,3,60,69,-9,1658.0
