Time,Miami,Score,Sacramento,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:31.0,J. Butler misses 2-pt layup from 3 ft (block by K. Murray),11-21, ,,1,11,21,-10,449.0
4:31.0,Offensive rebound by Team,11-21, ,,1,11,21,-10,449.0
4:28.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by K. Lowry),14-21, ,,1,14,21,-7,452.0
4:09.0, ,14-21,K. Huerter misses 3-pt jump shot from 23 ft,,1,14,21,-7,471.0
4:06.0, ,14-21,Offensive rebound by D. Sabonis,,1,14,21,-7,474.0
4:05.0, ,14-21,D. Mitchell misses 3-pt jump shot from 25 ft,,1,14,21,-7,475.0
4:03.0,Defensive rebound by Team,14-21, ,,1,14,21,-7,477.0
3:50.0,U. Haslem makes 2-pt jump shot from 13 ft (assist by J. Butler),16-21, ,,1,16,21,-5,490.0
3:34.0, ,16-21,K. Murray misses 3-pt jump shot from 24 ft,,1,16,21,-5,506.0
3:32.0,Defensive rebound by U. Haslem,16-21, ,,1,16,21,-5,508.0
3:28.0,K. Lowry misses 3-pt jump shot from 29 ft,16-21, ,,1,16,21,-5,512.0
3:25.0, ,16-21,Defensive rebound by D. Sabonis,,1,16,21,-5,515.0
3:11.0, ,16-23,D. Sabonis makes 2-pt dunk from 1 ft (assist by K. Huerter),,1,16,23,-7,529.0
3:04.0,Miami full timeout,16-23, ,,1,16,23,-7,536.0
3:04.0,D. Robinson enters the game for K. Lowry,16-23, ,,1,16,23,-7,536.0
3:04.0, ,16-23,D. Fox enters the game for K. Huerter,,1,16,23,-7,536.0
3:04.0, ,16-23,R. Holmes enters the game for D. Mitchell,,1,16,23,-7,536.0
3:04.0, ,16-23,M. Monk enters the game for D. Sabonis,,1,16,23,-7,536.0
2:57.0,Personal foul by M. Monk (drawn by D. Robinson),16-23, ,,1,16,23,-7,543.0
2:57.0,D. Robinson makes free throw 1 of 2,17-23, ,,1,17,23,-6,543.0
2:57.0,D. Robinson makes free throw 2 of 2,18-23, ,,1,18,23,-5,543.0
2:44.0, ,18-23,Turnover by K. Murray (bad pass; steal by M. Strus),,1,18,23,-5,556.0
2:38.0,J. Butler misses 2-pt layup from 2 ft,18-23, ,,1,18,23,-5,562.0
2:35.0,Offensive rebound by D. Robinson,18-23, ,,1,18,23,-5,565.0
2:35.0,D. Robinson misses 2-pt layup at rim,18-23, ,,1,18,23,-5,565.0
2:34.0, ,18-23,Defensive rebound by T. Lyles,,1,18,23,-5,566.0
2:33.0, ,18-23,Offensive foul by M. Monk (drawn by U. Haslem),,1,18,23,-5,567.0
2:33.0, ,18-23,Turnover by M. Monk (offensive foul),,1,18,23,-5,567.0
2:33.0, ,18-23,H. Barnes enters the game for K. Murray,,1,18,23,-5,567.0
2:20.0,M. Strus misses 3-pt jump shot from 26 ft,18-23, ,,1,18,23,-5,580.0
2:15.0, ,18-23,Defensive rebound by H. Barnes,,1,18,23,-5,585.0
2:12.0, ,18-23,Shooting foul by D. Robinson (drawn by D. Fox),,1,18,23,-5,588.0
2:12.0, ,18-24,D. Fox makes free throw 1 of 2,,1,18,24,-6,588.0
2:12.0, ,18-25,D. Fox makes free throw 2 of 2,,1,18,25,-7,588.0
1:52.0,G. Vincent misses 2-pt jump shot from 21 ft,18-25, ,,1,18,25,-7,608.0
1:48.0, ,18-25,Defensive rebound by H. Barnes,,1,18,25,-7,612.0
1:42.0, ,18-25,Turnover by H. Barnes (back court),,1,18,25,-7,618.0
1:42.0, ,18-25,Violation by Team (delay of game),,1,18,25,-7,618.0
1:31.0,U. Haslem misses 2-pt jump shot from 16 ft,18-25, ,,1,18,25,-7,629.0
1:28.0,Offensive rebound by J. Butler,18-25, ,,1,18,25,-7,632.0
1:24.0,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),21-25, ,,1,21,25,-4,636.0
1:05.0, ,21-25,T. Lyles misses 2-pt layup from 4 ft,,1,21,25,-4,655.0
1:03.0, ,21-25,Offensive rebound by T. Lyles,,1,21,25,-4,657.0
1:01.0, ,21-27,T. Lyles makes 2-pt layup from 3 ft,,1,21,27,-6,659.0
0:50.0,Shooting foul by D. Fox (drawn by J. Butler),21-27, ,,1,21,27,-6,670.0
0:50.0,J. Butler makes free throw 1 of 2,22-27, ,,1,22,27,-5,670.0
0:50.0,N. Jović enters the game for U. Haslem,22-27, ,,1,22,27,-5,670.0
0:50.0,J. Butler makes free throw 2 of 2,23-27, ,,1,23,27,-4,670.0
0:33.0, ,23-29,T. Lyles makes 2-pt layup from 1 ft,,1,23,29,-6,687.0
0:21.0,J. Butler misses 2-pt jump shot from 10 ft,23-29, ,,1,23,29,-6,699.0
0:17.0, ,23-29,Defensive rebound by R. Holmes,,1,23,29,-6,703.0
0:02.0, ,23-31,D. Fox makes 2-pt layup from 1 ft,,1,23,31,-8,718.0
0:02.0, ,23-31,Shooting foul by D. Robinson (drawn by D. Fox),,1,23,31,-8,718.0
0:02.0,C. Martin enters the game for J. Butler,23-31, ,,1,23,31,-8,718.0
0:02.0, ,23-31,D. Mitchell enters the game for T. Lyles,,1,23,31,-8,718.0
0:02.0, ,23-31,K. Okpala enters the game for M. Monk,,1,23,31,-8,718.0
0:02.0, ,23-32,D. Fox makes free throw 1 of 1,,1,23,32,-9,718.0
0:00.0,End of 1st quarter,23-32,,,1,23,32,-9,720.0
12:00.0,Start of 2nd quarter,23-32,,,2,23,32,-9,720.0
11:43.0, ,23-32,M. Monk misses 3-pt jump shot from 28 ft,,2,23,32,-9,737.0
11:40.0,Defensive rebound by C. Martin,23-32, ,,2,23,32,-9,740.0
11:34.0,C. Martin misses 2-pt layup from 6 ft,23-32, ,,2,23,32,-9,746.0
11:30.0, ,23-32,Defensive rebound by M. Monk,,2,23,32,-9,750.0
11:25.0, ,23-32,T. Lyles misses 3-pt jump shot from 25 ft,,2,23,32,-9,755.0
11:20.0,Defensive rebound by D. Robinson,23-32, ,,2,23,32,-9,760.0
11:07.0,D. Robinson misses 2-pt jump shot from 23 ft,23-32, ,,2,23,32,-9,773.0
11:04.0, ,23-32,Defensive rebound by R. Holmes,,2,23,32,-9,776.0
11:02.0, ,23-34,M. Monk makes 2-pt layup from 2 ft (assist by D. Fox),,2,23,34,-11,778.0
11:02.0, ,23-34,Shooting foul by G. Vincent (drawn by M. Monk),,2,23,34,-11,778.0
11:02.0, ,23-35,M. Monk makes free throw 1 of 1,,2,23,35,-12,778.0
10:38.0,B. Adebayo misses 2-pt jump shot from 9 ft,23-35, ,,2,23,35,-12,802.0
10:32.0,Offensive rebound by M. Strus,23-35, ,,2,23,35,-12,808.0
10:32.0,M. Strus misses 2-pt layup at rim,23-35, ,,2,23,35,-12,808.0
10:31.0, ,23-35,Defensive rebound by M. Monk,,2,23,35,-12,809.0
10:26.0, ,23-38,T. Lyles makes 3-pt jump shot from 23 ft (assist by D. Fox),,2,23,38,-15,814.0
10:26.0,Miami full timeout,23-38, ,,2,23,38,-15,814.0
10:26.0,T. Herro enters the game for D. Robinson,23-38, ,,2,23,38,-15,814.0
10:05.0,T. Herro makes 2-pt jump shot from 6 ft,25-38, ,,2,25,38,-13,835.0
9:44.0, ,25-38,Turnover by T. Lyles (bad pass; steal by C. Martin),,2,25,38,-13,856.0
9:44.0, ,25-38,T. Davis enters the game for T. Lyles,,2,25,38,-13,856.0
9:38.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),28-38, ,,2,28,38,-10,862.0
9:26.0, ,28-38,M. Monk misses 3-pt jump shot from 25 ft,,2,28,38,-10,874.0
9:24.0,Defensive rebound by Team,28-38, ,,2,28,38,-10,876.0
9:14.0,Turnover by T. Herro (out of bounds lost ball),28-38, ,,2,28,38,-10,886.0
9:14.0, ,28-38,D. Mitchell enters the game for H. Barnes,,2,28,38,-10,886.0
9:14.0, ,28-38,K. Murray enters the game for D. Fox,,2,28,38,-10,886.0
9:14.0, ,28-38,D. Sabonis enters the game for R. Holmes,,2,28,38,-10,886.0
9:05.0, ,28-38,T. Davis misses 3-pt jump shot from 25 ft,,2,28,38,-10,895.0
9:02.0,Defensive rebound by M. Strus,28-38, ,,2,28,38,-10,898.0
8:54.0,T. Herro misses 2-pt jump shot from 13 ft,28-38, ,,2,28,38,-10,906.0
8:51.0, ,28-38,Defensive rebound by D. Mitchell,,2,28,38,-10,909.0
8:43.0, ,28-40,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Monk),,2,28,40,-12,917.0
8:34.0,Personal foul by K. Murray (drawn by M. Strus),28-40, ,,2,28,40,-12,926.0
8:22.0,T. Herro makes 3-pt jump shot from 26 ft,31-40, ,,2,31,40,-9,938.0
8:07.0, ,31-40,D. Sabonis misses 2-pt jump shot from 19 ft,,2,31,40,-9,953.0
8:02.0,Defensive rebound by B. Adebayo,31-40, ,,2,31,40,-9,958.0
7:59.0,Shooting foul by D. Sabonis (drawn by B. Adebayo),31-40, ,,2,31,40,-9,961.0
7:59.0,B. Adebayo makes free throw 1 of 2,32-40, ,,2,32,40,-8,961.0
7:59.0, ,32-40,K. Huerter enters the game for M. Monk,,2,32,40,-8,961.0
7:59.0,B. Adebayo makes free throw 2 of 2,33-40, ,,2,33,40,-7,961.0
7:51.0, ,33-42,D. Sabonis makes 2-pt dunk from 1 ft (assist by K. Murray),,2,33,42,-9,969.0
7:39.0,B. Adebayo makes 2-pt layup from 1 ft,35-42, ,,2,35,42,-7,981.0
7:28.0, ,35-45,K. Huerter makes 3-pt jump shot from 25 ft,,2,35,45,-10,992.0
7:15.0,B. Adebayo makes 2-pt jump shot from 21 ft,37-45, ,,2,37,45,-8,1005.0
7:00.0, ,37-45,Turnover by K. Murray (bad pass),,2,37,45,-8,1020.0
7:00.0,K. Lowry enters the game for G. Vincent,37-45, ,,2,37,45,-8,1020.0
6:58.0,Jump ball: M. Strus vs. D. Sabonis (B. Adebayo gains possession),37-45,,,2,37,45,-8,1022.0
6:33.0,M. Strus misses 2-pt jump shot from 4 ft,37-45, ,,2,37,45,-8,1047.0
6:29.0,Offensive rebound by B. Adebayo,37-45, ,,2,37,45,-8,1051.0
6:29.0,B. Adebayo misses 2-pt layup at rim,37-45, ,,2,37,45,-8,1051.0
6:27.0, ,37-45,Defensive rebound by K. Murray,,2,37,45,-8,1053.0
6:25.0, ,37-48,K. Murray makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,2,37,48,-11,1055.0
6:09.0,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),40-48, ,,2,40,48,-8,1071.0
5:52.0, ,40-50,D. Sabonis makes 2-pt jump shot from 15 ft (assist by K. Huerter),,2,40,50,-10,1088.0
5:28.0,M. Strus misses 3-pt jump shot from 25 ft,40-50, ,,2,40,50,-10,1112.0
5:25.0,Offensive rebound by Team,40-50, ,,2,40,50,-10,1115.0
5:25.0,J. Butler enters the game for C. Martin,40-50, ,,2,40,50,-10,1115.0
5:25.0, ,40-50,D. Fox enters the game for D. Mitchell,,2,40,50,-10,1115.0
5:20.0,T. Herro makes 3-pt jump shot from 23 ft,43-50, ,,2,43,50,-7,1120.0
4:57.0, ,43-52,D. Fox makes 2-pt layup from 2 ft (assist by K. Murray),,2,43,52,-9,1143.0
4:40.0,T. Herro misses 2-pt jump shot from 9 ft,43-52, ,,2,43,52,-9,1160.0
4:38.0, ,43-52,Defensive rebound by D. Sabonis,,2,43,52,-9,1162.0
4:29.0, ,43-52,D. Fox misses 2-pt jump shot from 12 ft,,2,43,52,-9,1171.0
4:25.0,Defensive rebound by B. Adebayo,43-52, ,,2,43,52,-9,1175.0
4:21.0,Turnover by J. Butler (bad pass),43-52, ,,2,43,52,-9,1179.0
4:21.0, ,43-52,H. Barnes enters the game for T. Davis,,2,43,52,-9,1179.0
4:06.0, ,43-54,K. Murray makes 2-pt layup from 2 ft (assist by K. Huerter),,2,43,54,-11,1194.0
3:51.0,B. Adebayo misses 2-pt jump shot from 21 ft,43-54, ,,2,43,54,-11,1209.0
3:47.0, ,43-54,Defensive rebound by D. Fox,,2,43,54,-11,1213.0
3:41.0, ,43-54,K. Murray misses 3-pt jump shot from 23 ft,,2,43,54,-11,1219.0
3:38.0,Defensive rebound by J. Butler,43-54, ,,2,43,54,-11,1222.0
3:25.0,J. Butler makes 2-pt layup from 4 ft (assist by B. Adebayo),45-54, ,,2,45,54,-9,1235.0
3:05.0, ,45-56,D. Sabonis makes 2-pt layup from 1 ft (assist by H. Barnes),,2,45,56,-11,1255.0
2:55.0,Offensive foul by K. Lowry (drawn by D. Fox),45-56, ,,2,45,56,-11,1265.0
2:55.0,Turnover by K. Lowry (offensive foul),45-56, ,,2,45,56,-11,1265.0
2:55.0, ,45-56,Sacramento full timeout,,2,45,56,-11,1265.0
2:55.0,G. Vincent enters the game for T. Herro,45-56, ,,2,45,56,-11,1265.0
2:43.0, ,45-59,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Fox),,2,45,59,-14,1277.0
2:19.0,M. Strus misses 3-pt jump shot from 26 ft,45-59, ,,2,45,59,-14,1301.0
2:15.0, ,45-59,Defensive rebound by D. Fox,,2,45,59,-14,1305.0
2:06.0, ,45-61,D. Sabonis makes 2-pt layup from 2 ft (assist by H. Barnes),,2,45,61,-16,1314.0
1:51.0,B. Adebayo misses 2-pt layup from 7 ft (block by D. Sabonis),45-61, ,,2,45,61,-16,1329.0
1:48.0, ,45-61,Defensive rebound by D. Fox,,2,45,61,-16,1332.0
1:45.0, ,45-64,H. Barnes makes 3-pt jump shot from 23 ft (assist by K. Murray),,2,45,64,-19,1335.0
1:30.0, ,45-64,Violation by Team (kicked ball),,2,45,64,-19,1350.0
1:30.0, ,45-64,R. Holmes enters the game for D. Sabonis,,2,45,64,-19,1350.0
1:14.0,J. Butler makes 2-pt layup from 2 ft,47-64, ,,2,47,64,-17,1366.0
0:53.0, ,47-66,D. Fox makes 2-pt jump shot from 6 ft,,2,47,66,-19,1387.0
0:39.0,M. Strus misses 3-pt jump shot from 25 ft,47-66, ,,2,47,66,-19,1401.0
0:36.0, ,47-66,Defensive rebound by K. Huerter,,2,47,66,-19,1404.0
0:32.0, ,47-69,K. Huerter makes 3-pt jump shot from 26 ft,,2,47,69,-22,1408.0
0:27.0,Personal foul by H. Barnes (drawn by K. Lowry),47-69, ,,2,47,69,-22,1413.0
0:27.0, ,47-69,T. Lyles enters the game for K. Murray,,2,47,69,-22,1413.0
0:16.0,Shooting foul by T. Lyles (drawn by K. Lowry),47-69, ,,2,47,69,-22,1424.0
0:16.0,K. Lowry makes free throw 1 of 2,48-69, ,,2,48,69,-21,1424.0
0:16.0,K. Lowry makes free throw 2 of 2,49-69, ,,2,49,69,-20,1424.0
0:16.0,U. Haslem enters the game for B. Adebayo,49-69, ,,2,49,69,-20,1424.0
0:16.0,C. Martin enters the game for M. Strus,49-69, ,,2,49,69,-20,1424.0
0:16.0, ,49-69,K. Murray enters the game for R. Holmes,,2,49,69,-20,1424.0
0:16.0, ,49-69,D. Sabonis enters the game for T. Lyles,,2,49,69,-20,1424.0
0:01.0, ,49-69,Shooting foul by C. Martin (drawn by D. Sabonis),,2,49,69,-20,1439.0
0:01.0, ,49-70,D. Sabonis makes free throw 1 of 2,,2,49,70,-21,1439.0
0:01.0, ,49-70,T. Lyles enters the game for D. Fox,,2,49,70,-21,1439.0
0:01.0, ,49-70,D. Mitchell enters the game for K. Huerter,,2,49,70,-21,1439.0
0:01.0, ,49-70,K. Okpala enters the game for K. Murray,,2,49,70,-21,1439.0
0:01.0, ,49-71,D. Sabonis makes free throw 2 of 2,,2,49,71,-22,1439.0
0:00.0,End of 2nd quarter,49-71,,,2,49,71,-22,1440.0
12:00.0,Start of 3rd quarter,49-71,,,3,49,71,-22,1440.0
11:43.0, ,49-71,Turnover by K. Murray (out of bounds lost ball),,3,49,71,-22,1457.0
11:27.0,Personal foul by K. Murray (drawn by C. Martin),49-71, ,,3,49,71,-22,1473.0
11:12.0,J. Butler misses 3-pt jump shot from 23 ft,49-71, ,,3,49,71,-22,1488.0
11:08.0, ,49-71,Defensive rebound by D. Fox,,3,49,71,-22,1492.0
11:03.0, ,49-71,K. Murray misses 3-pt jump shot from 26 ft,,3,49,71,-22,1497.0
11:03.0,Defensive rebound by Team,49-71, ,,3,49,71,-22,1497.0
10:52.0,J. Butler misses 2-pt layup from 3 ft,49-71, ,,3,49,71,-22,1508.0
10:50.0, ,49-71,Defensive rebound by D. Sabonis,,3,49,71,-22,1510.0
10:43.0, ,49-71,Turnover by K. Murray (bad pass; steal by J. Butler),,3,49,71,-22,1517.0
10:34.0,C. Martin makes 3-pt jump shot from 25 ft (assist by J. Butler),52-71, ,,3,52,71,-19,1526.0
10:18.0, ,52-71,Offensive foul by D. Sabonis (drawn by J. Butler),,3,52,71,-19,1542.0
10:18.0, ,52-71,Turnover by D. Sabonis (offensive foul),,3,52,71,-19,1542.0
9:59.0,T. Herro makes 2-pt layup from 2 ft,54-71, ,,3,54,71,-17,1561.0
9:59.0,Shooting foul by D. Sabonis (drawn by T. Herro),54-71, ,,3,54,71,-17,1561.0
9:59.0, ,54-71,R. Holmes enters the game for D. Sabonis,,3,54,71,-17,1561.0
9:59.0,T. Herro makes free throw 1 of 1,55-71, ,,3,55,71,-16,1561.0
9:46.0, ,55-71,H. Barnes misses 3-pt jump shot from 24 ft,,3,55,71,-16,1574.0
9:43.0,Defensive rebound by K. Lowry,55-71, ,,3,55,71,-16,1577.0
9:38.0,K. Lowry misses 2-pt layup from 2 ft (block by K. Murray),55-71, ,,3,55,71,-16,1582.0
9:38.0,Offensive rebound by Team,55-71, ,,3,55,71,-16,1582.0
9:26.0,Shooting foul by R. Holmes (drawn by C. Martin),55-71, ,,3,55,71,-16,1594.0
9:26.0,C. Martin makes free throw 1 of 2,56-71, ,,3,56,71,-15,1594.0
9:26.0, ,56-71,Sacramento full timeout,,3,56,71,-15,1594.0
9:26.0,C. Martin makes free throw 2 of 2,57-71, ,,3,57,71,-14,1594.0
9:07.0, ,57-73,K. Murray makes 2-pt jump shot from 12 ft (assist by K. Huerter),,3,57,73,-16,1613.0
8:40.0,B. Adebayo misses 2-pt jump shot from 13 ft,57-73, ,,3,57,73,-16,1640.0
8:35.0, ,57-73,Defensive rebound by D. Fox,,3,57,73,-16,1645.0
8:33.0, ,57-73,Turnover by D. Fox (lost ball; steal by K. Lowry),,3,57,73,-16,1647.0
8:31.0,K. Lowry makes 2-pt layup from 2 ft,59-73, ,,3,59,73,-14,1649.0
8:23.0, ,59-76,K. Huerter makes 3-pt jump shot from 26 ft,,3,59,76,-17,1657.0
8:09.0,Shooting foul by H. Barnes (drawn by J. Butler),59-76, ,,3,59,76,-17,1671.0
8:09.0,J. Butler misses free throw 1 of 2,59-76, ,,3,59,76,-17,1671.0
8:09.0,Offensive rebound by Team,59-76, ,,3,59,76,-17,1671.0
8:09.0,J. Butler makes free throw 2 of 2,60-76, ,,3,60,76,-16,1671.0
7:59.0, ,60-76,Offensive foul by R. Holmes (drawn by K. Lowry),,3,60,76,-16,1681.0
7:59.0, ,60-76,Turnover by R. Holmes (offensive foul),,3,60,76,-16,1681.0
7:43.0, ,60-76,Violation by Team (kicked ball),,3,60,76,-16,1697.0
7:39.0,T. Herro misses 3-pt jump shot from 26 ft,60-76, ,,3,60,76,-16,1701.0
7:35.0, ,60-76,Defensive rebound by R. Holmes,,3,60,76,-16,1705.0
7:20.0, ,60-76,Turnover by K. Murray (bad pass),,3,60,76,-16,1720.0
7:11.0,T. Herro makes 2-pt layup from 3 ft,62-76, ,,3,62,76,-14,1729.0
6:56.0, ,62-76,D. Fox misses 2-pt jump shot from 10 ft,,3,62,76,-14,1744.0
6:52.0,Defensive rebound by C. Martin,62-76, ,,3,62,76,-14,1748.0
6:48.0,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),64-76, ,,3,64,76,-12,1752.0
6:48.0, ,64-76,Sacramento full timeout,,3,64,76,-12,1752.0
6:32.0, ,64-78,R. Holmes makes 2-pt layup from 7 ft (assist by H. Barnes),,3,64,78,-14,1768.0
6:12.0,C. Martin misses 2-pt jump shot from 17 ft,64-78, ,,3,64,78,-14,1788.0
6:04.0,Offensive rebound by B. Adebayo,64-78, ,,3,64,78,-14,1796.0
6:04.0,B. Adebayo makes 2-pt dunk at rim,66-78, ,,3,66,78,-12,1796.0
5:56.0, ,66-78,D. Fox misses 2-pt jump shot from 8 ft,,3,66,78,-12,1804.0
5:51.0,Defensive rebound by J. Butler,66-78, ,,3,66,78,-12,1809.0
5:50.0,Turnover by J. Butler (out of bounds lost ball),66-78, ,,3,66,78,-12,1810.0
5:50.0, ,66-78,A. Len enters the game for H. Barnes,,3,66,78,-12,1810.0
5:50.0, ,66-78,T. Lyles enters the game for D. Fox,,3,66,78,-12,1810.0
5:50.0, ,66-78,D. Mitchell enters the game for R. Holmes,,3,66,78,-12,1810.0
5:32.0, ,66-78,K. Huerter misses 2-pt layup from 6 ft (block by B. Adebayo),,3,66,78,-12,1828.0
