Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:51.0,D. Mitchell makes flagrant free throw 2 of 3,16-18, ,,1,18,16,2,429.0
4:51.0,D. Mitchell makes flagrant free throw 3 of 3,17-18, ,,1,18,17,1,429.0
4:51.0,C. LeVert enters the game for D. Garland,17-18, ,,1,18,17,1,429.0
4:51.0,R. Rubio enters the game for I. Okoro,17-18, ,,1,18,17,1,429.0
4:51.0, ,17-18,V. Oladipo enters the game for B. Adebayo,,1,18,17,1,429.0
4:51.0, ,17-18,C. Zeller enters the game for T. Herro,,1,18,17,1,429.0
4:43.0,D. Mitchell misses 2-pt layup from 6 ft (block by J. Butler),17-18, ,,1,18,17,1,437.0
4:43.0,Offensive rebound by Team,17-18, ,,1,18,17,1,437.0
4:41.0,D. Mitchell misses 2-pt jump shot from 17 ft,17-18, ,,1,18,17,1,439.0
4:36.0, ,17-18,Defensive rebound by K. Love,,1,18,17,1,444.0
4:33.0, ,17-18,Shooting foul by J. Allen (drawn by C. Zeller),,1,18,17,1,447.0
4:33.0, ,17-18,C. Zeller misses free throw 1 of 2,,1,18,17,1,447.0
4:33.0, ,17-18,Offensive rebound by Team,,1,18,17,1,447.0
4:33.0, ,17-19,C. Zeller makes free throw 2 of 2,,1,19,17,2,447.0
4:17.0,J. Allen makes 2-pt jump shot from 13 ft (assist by R. Rubio),19-19, ,Tie,1,19,19,0,463.0
4:03.0, ,19-19,Turnover by V. Oladipo (step out of bounds),,1,19,19,0,477.0
3:44.0,J. Allen misses 2-pt jump shot from 14 ft,19-19, ,,1,19,19,0,496.0
3:39.0, ,19-19,Defensive rebound by C. Zeller,,1,19,19,0,501.0
3:30.0, ,19-19,K. Love misses 2-pt hook shot from 10 ft,,1,19,19,0,510.0
3:27.0,Defensive rebound by J. Allen,19-19, ,,1,19,19,0,513.0
3:18.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Mitchell),22-19, ,Lead change,1,19,22,-3,522.0
2:59.0, ,22-19,Personal foul by R. Rubio (drawn by J. Butler),,1,19,22,-3,541.0
2:59.0,Cleveland full timeout,22-19, ,,1,19,22,-3,541.0
2:59.0,D. Garland enters the game for D. Mitchell,22-19, ,,1,19,22,-3,541.0
2:59.0, ,22-19,C. Martin enters the game for K. Love,,1,19,22,-3,541.0
2:59.0, ,22-19,M. Strus enters the game for G. Vincent,,1,19,22,-3,541.0
2:59.0, ,22-20,J. Butler makes free throw 1 of 2,,1,20,22,-2,541.0
2:59.0, ,22-20,J. Butler misses free throw 2 of 2,,1,20,22,-2,541.0
2:57.0,Defensive rebound by C. LeVert,22-20, ,,1,20,22,-2,543.0
2:43.0,D. Garland misses 3-pt jump shot from 27 ft,22-20, ,,1,20,22,-2,557.0
2:38.0, ,22-20,Defensive rebound by C. Zeller,,1,20,22,-2,562.0
2:21.0, ,22-23,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Zeller),Lead change,1,23,22,1,579.0
2:08.0,R. Rubio misses 2-pt jump shot from 11 ft,22-23, ,,1,23,22,1,592.0
2:05.0, ,22-23,Defensive rebound by C. Zeller,,1,23,22,1,595.0
1:43.0, ,22-23,M. Strus misses 3-pt jump shot from 26 ft,,1,23,22,1,617.0
1:41.0, ,22-23,Offensive rebound by J. Butler,,1,23,22,1,619.0
1:28.0, ,22-25,J. Butler makes 2-pt jump shot from 11 ft,,1,25,22,3,632.0
1:07.0,Shooting foul by M. Strus (drawn by D. Garland),22-25, ,,1,25,22,3,653.0
1:07.0,D. Garland makes free throw 1 of 2,23-25, ,,1,25,23,2,653.0
1:07.0, ,23-25,T. Herro enters the game for J. Butler,,1,25,23,2,653.0
1:07.0,D. Garland makes free throw 2 of 2,24-25, ,,1,25,24,1,653.0
0:47.0, ,24-28,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Herro),,1,28,24,4,673.0
0:35.0,J. Allen makes 2-pt dunk from 4 ft,26-28, ,,1,28,26,2,685.0
0:24.0, ,26-28,Turnover by T. Herro (bad pass),,1,28,26,2,696.0
0:06.0,J. Allen misses 2-pt hook shot from 4 ft,26-28, ,,1,28,26,2,714.0
0:05.0, ,26-28,Defensive rebound by Team,,1,28,26,2,715.0
0:05.0,I. Okoro enters the game for R. Rubio,26-28, ,,1,28,26,2,715.0
0:00.0, ,26-30,V. Oladipo makes 2-pt layup from 2 ft,,1,30,26,4,720.0
0:00.0, ,26-30,Instant Replay (Request: Ruling Stands),,1,30,26,4,720.0
0:00.0,End of 1st quarter,26-30,,,1,30,26,4,720.0
12:00.0,Start of 2nd quarter,26-30,,,2,30,26,4,720.0
11:41.0, ,26-30,M. Strus misses 3-pt jump shot from 23 ft,,2,30,26,4,739.0
11:37.0, ,26-30,Offensive rebound by C. Zeller,,2,30,26,4,743.0
11:35.0, ,26-30,Shooting foul by D. Garland (drawn by T. Herro),,2,30,26,4,745.0
11:35.0, ,26-31,T. Herro makes free throw 1 of 2,,2,31,26,5,745.0
11:35.0, ,26-32,T. Herro makes free throw 2 of 2,,2,32,26,6,745.0
11:27.0,C. LeVert misses 3-pt jump shot from 26 ft,26-32, ,,2,32,26,6,753.0
11:24.0, ,26-32,Defensive rebound by C. Martin,,2,32,26,6,756.0
11:13.0, ,26-32,Offensive foul by C. Zeller (drawn by C. LeVert),,2,32,26,6,767.0
11:13.0, ,26-32,Turnover by C. Zeller (offensive foul),,2,32,26,6,767.0
10:57.0,E. Mobley misses 2-pt hook shot from 8 ft,26-32, ,,2,32,26,6,783.0
10:55.0, ,26-32,Defensive rebound by C. Zeller,,2,32,26,6,785.0
10:47.0, ,26-32,Turnover by C. Zeller (bad pass),,2,32,26,6,793.0
10:30.0,E. Mobley makes 2-pt layup from 4 ft (assist by D. Garland),28-32, ,,2,32,28,4,810.0
10:30.0,Shooting foul by C. Zeller (drawn by E. Mobley),28-32, ,,2,32,28,4,810.0
10:30.0,E. Mobley makes free throw 1 of 1,29-32, ,,2,32,29,3,810.0
10:19.0, ,29-32,M. Strus misses 3-pt jump shot from 27 ft,,2,32,29,3,821.0
10:15.0,Defensive rebound by C. LeVert,29-32, ,,2,32,29,3,825.0
10:11.0,L. Stevens makes 2-pt dunk from 4 ft (assist by E. Mobley),31-32, ,,2,32,31,1,829.0
9:55.0, ,31-32,T. Herro misses 2-pt jump shot from 8 ft,,2,32,31,1,845.0
9:55.0,Defensive rebound by L. Stevens,31-32, ,,2,32,31,1,845.0
9:44.0,L. Stevens makes 2-pt jump shot from 5 ft (assist by D. Garland),33-32, ,Lead change,2,32,33,-1,856.0
9:44.0, ,33-32,Miami full timeout,,2,32,33,-1,856.0
9:44.0, ,33-32,B. Adebayo enters the game for C. Zeller,,2,32,33,-1,856.0
9:30.0, ,33-34,B. Adebayo makes 2-pt layup from 2 ft (assist by V. Oladipo),Lead change,2,34,33,1,870.0
9:07.0,D. Garland misses 2-pt layup from 6 ft,33-34, ,,2,34,33,1,893.0
9:03.0, ,33-34,Defensive rebound by T. Herro,,2,34,33,1,897.0
8:52.0, ,33-37,M. Strus makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,2,37,33,4,908.0
8:30.0,R. Rubio makes 2-pt jump shot from 13 ft (assist by E. Mobley),35-37, ,,2,37,35,2,930.0
8:13.0, ,35-37,Turnover by B. Adebayo (bad pass; steal by E. Mobley),,2,37,35,2,947.0
8:07.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by R. Rubio),38-37, ,Lead change,2,37,38,-1,953.0
7:48.0, ,38-39,B. Adebayo makes 2-pt jump shot from 11 ft,Lead change,2,39,38,1,972.0
7:37.0,Personal foul by M. Strus (drawn by C. LeVert),38-39, ,,2,39,38,1,983.0
7:37.0,D. Mitchell enters the game for D. Garland,38-39, ,,2,39,38,1,983.0
7:25.0,Shooting foul by B. Adebayo (drawn by E. Mobley),38-39, ,,2,39,38,1,995.0
7:25.0,E. Mobley makes free throw 1 of 2,39-39, ,Tie,2,39,39,0,995.0
7:25.0,E. Mobley makes free throw 2 of 2,40-39, ,Lead change,2,39,40,-1,995.0
7:25.0, ,40-39,C. Zeller enters the game for B. Adebayo,,2,39,40,-1,995.0
7:00.0, ,40-39,M. Strus misses 3-pt jump shot from 25 ft,,2,39,40,-1,1020.0
6:57.0,Defensive rebound by C. LeVert,40-39, ,,2,39,40,-1,1023.0
6:51.0,R. Rubio misses 2-pt jump shot from 10 ft,40-39, ,,2,39,40,-1,1029.0
6:49.0,Offensive rebound by E. Mobley,40-39, ,,2,39,40,-1,1031.0
6:47.0,E. Mobley misses 2-pt layup from 4 ft (block by C. Martin),40-39, ,,2,39,40,-1,1033.0
6:47.0, ,40-39,Defensive rebound by T. Herro,,2,39,40,-1,1033.0
6:43.0, ,40-42,T. Herro makes 3-pt jump shot from 26 ft,Lead change,2,42,40,2,1037.0
6:34.0,C. LeVert misses 3-pt jump shot from 26 ft,40-42, ,,2,42,40,2,1046.0
6:31.0, ,40-42,Defensive rebound by T. Herro,,2,42,40,2,1049.0
6:29.0, ,40-44,C. Martin makes 2-pt layup from 2 ft (assist by T. Herro),,2,44,40,4,1051.0
6:28.0,Cleveland full timeout,40-44, ,,2,44,40,4,1052.0
6:28.0,I. Okoro enters the game for L. Stevens,40-44, ,,2,44,40,4,1052.0
6:11.0,D. Mitchell makes 2-pt hook shot from 7 ft,42-44, ,,2,44,42,2,1069.0
5:45.0, ,42-44,T. Herro misses 2-pt layup from 4 ft (block by E. Mobley),,2,44,42,2,1095.0
5:45.0, ,42-44,Offensive rebound by Team,,2,44,42,2,1095.0
5:45.0, ,42-44,Turnover by Team (shot clock),,2,44,42,2,1095.0
5:45.0,J. Allen enters the game for E. Mobley,42-44, ,,2,44,42,2,1095.0
5:45.0, ,42-44,J. Butler enters the game for T. Herro,,2,44,42,2,1095.0
5:32.0,D. Mitchell makes 2-pt jump shot from 8 ft (assist by R. Rubio),44-44, ,Tie,2,44,44,0,1108.0
5:22.0, ,44-44,Turnover by C. Martin (traveling),,2,44,44,0,1118.0
5:22.0,D. Garland enters the game for R. Rubio,44-44, ,,2,44,44,0,1118.0
5:05.0,J. Allen makes 2-pt layup from 3 ft (assist by I. Okoro),46-44, ,Lead change,2,44,46,-2,1135.0
4:43.0, ,46-44,M. Strus misses 3-pt jump shot from 26 ft,,2,44,46,-2,1157.0
4:39.0,Defensive rebound by C. LeVert,46-44, ,,2,44,46,-2,1161.0
4:37.0,D. Garland misses 3-pt jump shot from 28 ft,46-44, ,,2,44,46,-2,1163.0
4:34.0, ,46-44,Defensive rebound by C. Zeller,,2,44,46,-2,1166.0
4:26.0, ,46-44,Personal foul by D. Garland (drawn by J. Butler),,2,44,46,-2,1174.0
4:26.0,E. Mobley enters the game for C. LeVert,46-44, ,,2,44,46,-2,1174.0
4:12.0, ,46-47,V. Oladipo makes 3-pt jump shot from 26 ft,Lead change,2,47,46,1,1188.0
3:48.0,E. Mobley misses 3-pt jump shot from 23 ft,46-47, ,,2,47,46,1,1212.0
3:47.0, ,46-47,Defensive rebound by Team,,2,47,46,1,1213.0
3:29.0, ,46-47,Turnover by V. Oladipo (bad pass; steal by I. Okoro),,2,47,46,1,1231.0
3:25.0,D. Mitchell misses 3-pt jump shot from 25 ft,46-47, ,,2,47,46,1,1235.0
3:20.0, ,46-47,Defensive rebound by C. Zeller,,2,47,46,1,1240.0
3:16.0, ,46-47,V. Oladipo misses 3-pt jump shot from 23 ft,,2,47,46,1,1244.0
3:13.0,Defensive rebound by J. Allen,46-47, ,,2,47,46,1,1247.0
3:00.0,D. Mitchell misses 2-pt layup from 6 ft,46-47, ,,2,47,46,1,1260.0
2:58.0, ,46-47,Defensive rebound by V. Oladipo,,2,47,46,1,1262.0
2:41.0, ,46-47,J. Butler misses 2-pt layup from 4 ft,,2,47,46,1,1279.0
2:37.0,Defensive rebound by E. Mobley,46-47, ,,2,47,46,1,1283.0
2:35.0,Shooting foul by V. Oladipo (drawn by D. Garland),46-47, ,,2,47,46,1,1285.0
2:35.0,D. Garland makes free throw 1 of 2,47-47, ,Tie,2,47,47,0,1285.0
2:35.0, ,47-47,K. Love enters the game for M. Strus,,2,47,47,0,1285.0
2:35.0,D. Garland makes free throw 2 of 2,48-47, ,Lead change,2,47,48,-1,1285.0
2:21.0, ,48-49,J. Butler makes 2-pt jump shot from 10 ft (assist by V. Oladipo),Lead change,2,49,48,1,1299.0
1:54.0,Turnover by E. Mobley (lost ball; steal by K. Love),48-49, ,,2,49,48,1,1326.0
1:51.0, ,48-49,Shooting foul by D. Mitchell (drawn by J. Butler),,2,49,48,1,1329.0
1:51.0, ,48-50,J. Butler makes free throw 1 of 2,,2,50,48,2,1329.0
1:51.0, ,48-50,T. Herro enters the game for V. Oladipo,,2,50,48,2,1329.0
1:51.0, ,48-51,J. Butler makes free throw 2 of 2,,2,51,48,3,1329.0
1:34.0,D. Mitchell makes 2-pt jump shot from 6 ft,50-51, ,,2,51,50,1,1346.0
1:30.0, ,50-51,Turnover by K. Love (bad pass; steal by D. Mitchell),,2,51,50,1,1350.0
1:18.0,D. Garland makes 3-pt jump shot from 27 ft,53-51, ,Lead change,2,51,53,-2,1362.0
0:57.0, ,53-51,K. Love misses 3-pt jump shot from 25 ft,,2,51,53,-2,1383.0
0:54.0, ,53-51,Offensive rebound by J. Butler,,2,51,53,-2,1386.0
0:52.0, ,53-51,C. Martin misses 3-pt jump shot from 22 ft,,2,51,53,-2,1388.0
0:49.0,Defensive rebound by D. Mitchell,53-51, ,,2,51,53,-2,1391.0
0:31.0,D. Mitchell misses 2-pt jump shot from 11 ft,53-51, ,,2,51,53,-2,1409.0
0:28.0,Offensive rebound by E. Mobley,53-51, ,,2,51,53,-2,1412.0
0:28.0,J. Allen makes 2-pt dunk from 2 ft (assist by E. Mobley),55-51, ,,2,51,55,-4,1412.0
0:18.0, ,55-51,K. Love misses 3-pt jump shot from 25 ft,,2,51,55,-4,1422.0
0:14.0, ,55-51,Offensive rebound by C. Martin,,2,51,55,-4,1426.0
0:06.0, ,55-51,Shooting foul by J. Allen (drawn by J. Butler),,2,51,55,-4,1434.0
0:06.0, ,55-52,J. Butler makes free throw 1 of 2,,2,52,55,-3,1434.0
0:06.0,C. LeVert enters the game for E. Mobley,55-52, ,,2,52,55,-3,1434.0
0:06.0, ,55-52,V. Oladipo enters the game for T. Herro,,2,52,55,-3,1434.0
0:06.0, ,55-52,G. Vincent enters the game for K. Love,,2,52,55,-3,1434.0
0:06.0, ,55-53,J. Butler makes free throw 2 of 2,,2,53,55,-2,1434.0
0:01.0,D. Mitchell makes 2-pt jump shot from 22 ft,57-53, ,,2,53,57,-4,1439.0
0:00.0,Instant Replay (Request: Ruling Stands),57-53, ,,2,53,57,-4,1440.0
0:00.0,End of 2nd quarter,57-53,,,2,53,57,-4,1440.0
12:00.0,Start of 3rd quarter,57-53,,,3,53,57,-4,1440.0
11:37.0, ,57-53,B. Adebayo misses 2-pt jump shot from 12 ft,,3,53,57,-4,1463.0
11:34.0,Defensive rebound by E. Mobley,57-53, ,,3,53,57,-4,1466.0
11:23.0,I. Okoro makes 3-pt jump shot from 24 ft (assist by E. Mobley),60-53, ,,3,53,60,-7,1477.0
11:05.0, ,60-55,T. Herro makes 2-pt jump shot from 7 ft (assist by K. Love),,3,55,60,-5,1495.0
10:52.0,D. Garland misses 2-pt layup from 3 ft (block by B. Adebayo),60-55, ,,3,55,60,-5,1508.0
10:51.0,Offensive rebound by J. Allen,60-55, ,,3,55,60,-5,1509.0
10:50.0,J. Allen makes 2-pt hook shot from 4 ft,62-55, ,,3,55,62,-7,1510.0
10:36.0, ,62-55,Turnover by G. Vincent (bad pass; steal by D. Mitchell),,3,55,62,-7,1524.0
10:31.0,I. Okoro makes 3-pt jump shot from 24 ft (assist by D. Mitchell),65-55, ,,3,55,65,-10,1529.0
10:15.0, ,65-55,Personal foul by I. Okoro (drawn by B. Adebayo),,3,55,65,-10,1545.0
10:01.0, ,65-57,B. Adebayo makes 2-pt jump shot from 5 ft (assist by J. Butler),,3,57,65,-8,1559.0
9:48.0,D. Garland misses 2-pt jump shot from 10 ft,65-57, ,,3,57,65,-8,1572.0
9:46.0,Offensive rebound by J. Allen,65-57, ,,3,57,65,-8,1574.0
9:45.0,J. Allen makes 2-pt layup from 3 ft,67-57, ,,3,57,67,-10,1575.0
9:35.0, ,67-60,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,60,67,-7,1585.0
9:20.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Garland),70-60, ,,3,60,70,-10,1600.0
9:05.0, ,70-60,Personal foul by J. Allen (drawn by B. Adebayo),,3,60,70,-10,1615.0
9:00.0, ,70-60,Flagrant foul type 1 by J. Allen (drawn by T. Herro),,3,60,70,-10,1620.0
9:00.0, ,70-60,Instant Replay (Request: Ruling Stands),,3,60,70,-10,1620.0
9:00.0, ,70-60,T. Herro misses flagrant free throw 1 of 3,,3,60,70,-10,1620.0
9:00.0, ,70-60,Offensive rebound by Team,,3,60,70,-10,1620.0
9:00.0, ,70-61,T. Herro makes flagrant free throw 2 of 3,,3,61,70,-9,1620.0
9:00.0, ,70-62,T. Herro makes flagrant free throw 3 of 3,,3,62,70,-8,1620.0
9:00.0,L. Stevens enters the game for J. Allen,70-62, ,,3,62,70,-8,1620.0
8:54.0, ,70-64,J. Butler makes 2-pt layup from 4 ft (assist by K. Love),,3,64,70,-6,1626.0
8:43.0,Turnover by D. Garland (back court),70-64, ,,3,64,70,-6,1637.0
8:19.0, ,70-64,B. Adebayo misses 2-pt jump shot from 13 ft,,3,64,70,-6,1661.0
8:19.0, ,70-64,Offensive rebound by K. Love,,3,64,70,-6,1661.0
8:19.0, ,70-64,Personal foul by D. Mitchell (drawn by K. Love),,3,64,70,-6,1661.0
8:19.0, ,70-64,Instant Replay (Request: Stands),,3,64,70,-6,1661.0
8:12.0, ,70-64,G. Vincent misses 3-pt jump shot from 25 ft,,3,64,70,-6,1668.0
8:07.0,Defensive rebound by D. Mitchell,70-64, ,,3,64,70,-6,1673.0
7:54.0,D. Garland makes 2-pt jump shot from 12 ft,72-64, ,,3,64,72,-8,1686.0
7:42.0, ,72-64,Turnover by J. Butler (bad pass; steal by D. Garland),,3,64,72,-8,1698.0
7:39.0,Turnover by D. Mitchell (traveling),72-64, ,,3,64,72,-8,1701.0
7:20.0,Flagrant foul type 1 by G. Vincent (drawn by L. Stevens),72-64, ,,3,64,72,-8,1720.0
7:20.0, ,72-64,Turnover by G. Vincent (offensive foul),,3,64,72,-8,1720.0
7:20.0, ,72-64,Instant Replay (Request: Ruling Stands),,3,64,72,-8,1720.0
7:20.0,L. Stevens makes flagrant free throw 1 of 2,73-64, ,,3,64,73,-9,1720.0
7:20.0,L. Stevens makes flagrant free throw 2 of 2,74-64, ,,3,64,74,-10,1720.0
7:08.0,Turnover by L. Stevens (bad pass),74-64, ,,3,64,74,-10,1732.0
6:46.0, ,74-64,T. Herro misses 3-pt jump shot from 27 ft,,3,64,74,-10,1754.0
6:44.0, ,74-64,Offensive rebound by J. Butler,,3,64,74,-10,1756.0
6:43.0, ,74-66,J. Butler makes 2-pt layup from 2 ft,,3,66,74,-8,1757.0
6:24.0,D. Garland misses 3-pt jump shot from 25 ft,74-66, ,,3,66,74,-8,1776.0
6:21.0,Offensive rebound by L. Stevens,74-66, ,,3,66,74,-8,1779.0
6:13.0,D. Mitchell misses 3-pt jump shot from 25 ft,74-66, ,,3,66,74,-8,1787.0
6:13.0, ,74-66,Defensive rebound by K. Love,,3,66,74,-8,1787.0
6:07.0, ,74-66,Turnover by K. Love (bad pass; steal by I. Okoro),,3,66,74,-8,1793.0
6:01.0,Shooting foul by K. Love (drawn by D. Garland),74-66, ,,3,66,74,-8,1799.0
6:01.0, ,74-66,Miami full timeout,,3,66,74,-8,1799.0
6:01.0,D. Garland makes free throw 1 of 2,75-66, ,,3,66,75,-9,1799.0
6:01.0,D. Garland makes free throw 2 of 2,76-66, ,,3,66,76,-10,1799.0
5:36.0, ,76-66,J. Butler misses 2-pt jump shot from 19 ft,,3,66,76,-10,1824.0
5:33.0,Defensive rebound by L. Stevens,76-66, ,,3,66,76,-10,1827.0
5:23.0,D. Mitchell makes 2-pt layup from 7 ft,78-66, ,,3,66,78,-12,1837.0
5:12.0, ,78-68,J. Butler makes 2-pt layup from 3 ft,,3,68,78,-10,1848.0
4:56.0,Turnover by E. Mobley (bad pass; steal by J. Butler),78-68, ,,3,68,78,-10,1864.0
4:56.0,C. LeVert enters the game for D. Garland,78-68, ,,3,68,78,-10,1864.0
4:56.0,R. Rubio enters the game for I. Okoro,78-68, ,,3,68,78,-10,1864.0
4:56.0, ,78-68,V. Oladipo enters the game for B. Adebayo,,3,68,78,-10,1864.0
4:56.0, ,78-68,C. Zeller enters the game for T. Herro,,3,68,78,-10,1864.0
4:39.0, ,78-68,J. Butler misses 2-pt jump shot from 8 ft,,3,68,78,-10,1881.0
4:34.0, ,78-68,Offensive rebound by K. Love,,3,68,78,-10,1886.0
4:32.0, ,78-70,K. Love makes 2-pt layup from 2 ft,,3,70,78,-8,1888.0
4:16.0,D. Mitchell misses 3-pt jump shot from 26 ft,78-70, ,,3,70,78,-8,1904.0
4:13.0, ,78-70,Defensive rebound by C. Zeller,,3,70,78,-8,1907.0
4:01.0, ,78-72,K. Love makes 2-pt hook shot from 4 ft (assist by J. Butler),,3,72,78,-6,1919.0
3:34.0,L. Stevens misses 3-pt jump shot from 23 ft,78-72, ,,3,72,78,-6,1946.0
3:31.0, ,78-72,Defensive rebound by V. Oladipo,,3,72,78,-6,1949.0
3:24.0, ,78-72,Turnover by V. Oladipo (bad pass; steal by R. Rubio),,3,72,78,-6,1956.0
3:15.0,R. Rubio misses 2-pt jump shot from 10 ft,78-72, ,,3,72,78,-6,1965.0
3:11.0, ,78-72,Defensive rebound by K. Love,,3,72,78,-6,1969.0
3:01.0, ,78-74,J. Butler makes 2-pt jump shot from 11 ft (assist by V. Oladipo),,3,74,78,-4,1979.0
3:01.0, ,78-74,Shooting foul by C. LeVert (drawn by J. Butler),,3,74,78,-4,1979.0
3:01.0,D. Garland enters the game for D. Mitchell,78-74, ,,3,74,78,-4,1979.0
3:01.0, ,78-74,C. Martin enters the game for K. Love,,3,74,78,-4,1979.0
3:01.0, ,78-75,J. Butler makes free throw 1 of 1,,3,75,78,-3,1979.0
