Time,Miami,Score,Cleveland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:21.0, ,5-9,Defensive rebound by J. Allen,,1,5,9,-4,279.0
7:08.0, ,5-11,J. Allen makes 2-pt layup from 1 ft (assist by I. Okoro),,1,5,11,-6,292.0
6:59.0,J. Butler misses 3-pt jump shot from 26 ft,5-11, ,,1,5,11,-6,301.0
6:57.0, ,5-11,Defensive rebound by J. Allen,,1,5,11,-6,303.0
6:52.0, ,5-13,E. Mobley makes 2-pt layup from 1 ft (assist by I. Okoro),,1,5,13,-8,308.0
6:51.0,Miami full timeout,5-13, ,,1,5,13,-8,309.0
6:33.0,T. Herro misses 3-pt jump shot from 26 ft,5-13, ,,1,5,13,-8,327.0
6:31.0, ,5-13,Defensive rebound by J. Allen,,1,5,13,-8,329.0
6:22.0, ,5-16,D. Garland makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,1,5,16,-11,338.0
6:16.0,Turnover by K. Lowry (bad pass; steal by D. Mitchell),5-16, ,,1,5,16,-11,344.0
6:07.0, ,5-16,D. Garland misses 3-pt jump shot from 25 ft,,1,5,16,-11,353.0
6:04.0,Defensive rebound by C. Martin,5-16, ,,1,5,16,-11,356.0
5:56.0,T. Herro misses 3-pt jump shot from 24 ft,5-16, ,,1,5,16,-11,364.0
5:50.0,Offensive rebound by C. Martin,5-16, ,,1,5,16,-11,370.0
5:50.0,V. Oladipo enters the game for B. Adebayo,5-16, ,,1,5,16,-11,370.0
5:50.0,O. Robinson enters the game for C. Martin,5-16, ,,1,5,16,-11,370.0
5:50.0, ,5-16,D. Wade enters the game for I. Okoro,,1,5,16,-11,370.0
5:38.0,J. Butler misses 2-pt jump shot from 23 ft,5-16, ,,1,5,16,-11,382.0
5:32.0,Offensive rebound by O. Robinson,5-16, ,,1,5,16,-11,388.0
5:30.0,V. Oladipo misses 3-pt jump shot from 24 ft,5-16, ,,1,5,16,-11,390.0
5:30.0,Offensive rebound by Team,5-16, ,,1,5,16,-11,390.0
5:16.0,J. Butler makes 2-pt jump shot from 4 ft (assist by T. Herro),7-16, ,,1,7,16,-9,404.0
4:53.0, ,7-16,Turnover by D. Mitchell (lost ball),,1,7,16,-9,427.0
4:53.0, ,7-16,Loose ball foul by D. Mitchell (drawn by V. Oladipo),,1,7,16,-9,427.0
4:53.0, ,7-16,C. LeVert enters the game for D. Mitchell,,1,7,16,-9,427.0
4:30.0,Shooting foul by D. Garland (drawn by J. Butler),7-16, ,,1,7,16,-9,450.0
4:30.0,J. Butler makes free throw 1 of 3,8-16, ,,1,8,16,-8,450.0
4:30.0,J. Butler misses free throw 2 of 3,8-16, ,,1,8,16,-8,450.0
4:30.0,Offensive rebound by Team,8-16, ,,1,8,16,-8,450.0
4:30.0, ,8-16,R. Rubio enters the game for E. Mobley,,1,8,16,-8,450.0
4:30.0,J. Butler makes free throw 3 of 3,9-16, ,,1,9,16,-7,450.0
4:12.0, ,9-16,D. Wade misses 3-pt jump shot from 25 ft,,1,9,16,-7,468.0
4:08.0,Defensive rebound by V. Oladipo,9-16, ,,1,9,16,-7,472.0
3:58.0,J. Butler makes 2-pt jump shot from 6 ft,11-16, ,,1,11,16,-5,482.0
3:36.0, ,11-16,C. LeVert misses 3-pt jump shot from 23 ft,,1,11,16,-5,504.0
3:32.0,Defensive rebound by V. Oladipo,11-16, ,,1,11,16,-5,508.0
3:22.0,Shooting foul by D. Garland (drawn by T. Herro),11-16, ,,1,11,16,-5,518.0
3:22.0,T. Herro makes free throw 1 of 2,12-16, ,,1,12,16,-4,518.0
3:22.0,G. Vincent enters the game for K. Lowry,12-16, ,,1,12,16,-4,518.0
3:22.0, ,12-16,D. Mitchell enters the game for D. Garland,,1,12,16,-4,518.0
3:22.0,T. Herro makes free throw 2 of 2,13-16, ,,1,13,16,-3,518.0
3:07.0, ,13-16,D. Mitchell misses 3-pt jump shot from 26 ft,,1,13,16,-3,533.0
3:04.0,Defensive rebound by V. Oladipo,13-16, ,,1,13,16,-3,536.0
2:53.0,J. Butler makes 2-pt jump shot from 5 ft,15-16, ,,1,15,16,-1,547.0
2:38.0, ,15-18,J. Allen makes 2-pt dunk from 1 ft (assist by D. Mitchell),,1,15,18,-3,562.0
2:25.0,J. Butler makes 3-pt jump shot from 26 ft (assist by V. Oladipo),18-18, ,Tie,1,18,18,0,575.0
2:01.0, ,18-21,D. Wade makes 3-pt jump shot from 24 ft (assist by R. Rubio),,1,18,21,-3,599.0
1:49.0, ,18-21,Cleveland full timeout,,1,18,21,-3,611.0
1:49.0,M. Strus enters the game for J. Butler,18-21, ,,1,18,21,-3,611.0
1:49.0, ,18-21,E. Mobley enters the game for J. Allen,,1,18,21,-3,611.0
1:36.0,V. Oladipo misses 3-pt jump shot from 24 ft,18-21, ,,1,18,21,-3,624.0
1:34.0, ,18-21,Defensive rebound by C. LeVert,,1,18,21,-3,626.0
1:20.0, ,18-23,E. Mobley makes 2-pt dunk from 1 ft (assist by C. LeVert),,1,18,23,-5,640.0
1:08.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by O. Robinson),21-23, ,,1,21,23,-2,652.0
0:49.0, ,21-23,D. Wade misses 3-pt jump shot from 23 ft,,1,21,23,-2,671.0
0:47.0,Defensive rebound by O. Robinson,21-23, ,,1,21,23,-2,673.0
0:38.0,O. Robinson makes 2-pt layup from 1 ft (assist by T. Herro),23-23, ,Tie,1,23,23,0,682.0
0:38.0,Shooting foul by D. Mitchell (drawn by O. Robinson),23-23, ,,1,23,23,0,682.0
0:38.0,C. Martin enters the game for T. Herro,23-23, ,,1,23,23,0,682.0
0:38.0,O. Robinson makes free throw 1 of 1,24-23, ,Lead change,1,24,23,1,682.0
0:32.0, ,24-23,D. Mitchell misses 3-pt jump shot from 27 ft,,1,24,23,1,688.0
0:28.0,Defensive rebound by V. Oladipo,24-23, ,,1,24,23,1,692.0
0:11.0,M. Strus misses 3-pt jump shot from 27 ft,24-23, ,,1,24,23,1,709.0
0:08.0, ,24-23,Defensive rebound by D. Wade,,1,24,23,1,712.0
0:01.0, ,24-23,C. LeVert misses 2-pt layup from 1 ft (block by O. Robinson),,1,24,23,1,719.0
0:01.0, ,24-23,Offensive rebound by Team,,1,24,23,1,719.0
0:00.0, ,24-26,C. LeVert makes 3-pt jump shot from 32 ft (assist by R. Rubio),Lead change,1,24,26,-2,720.0
0:00.0, ,24-26,Instant Replay (Request: Ruling Stands),,1,24,26,-2,720.0
0:00.0,End of 1st quarter,24-26,,,1,24,26,-2,720.0
12:00.0,Start of 2nd quarter,24-26,,,2,24,26,-2,720.0
11:47.0,B. Adebayo misses 2-pt jump shot from 9 ft,24-26, ,,2,24,26,-2,733.0
11:44.0, ,24-26,Defensive rebound by R. Rubio,,2,24,26,-2,736.0
11:29.0, ,24-26,E. Mobley misses 2-pt jump shot from 12 ft,,2,24,26,-2,751.0
11:26.0,Defensive rebound by M. Strus,24-26, ,,2,24,26,-2,754.0
11:21.0,V. Oladipo misses 2-pt jump shot from 14 ft,24-26, ,,2,24,26,-2,759.0
11:19.0, ,24-26,Defensive rebound by R. Rubio,,2,24,26,-2,761.0
11:14.0, ,24-26,Personal foul by G. Vincent (drawn by E. Mobley),,2,24,26,-2,766.0
11:02.0, ,24-28,R. Rubio makes 2-pt jump shot from 11 ft,,2,24,28,-4,778.0
10:44.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by M. Strus),27-28, ,,2,27,28,-1,796.0
10:27.0, ,27-28,C. LeVert misses 3-pt jump shot from 24 ft,,2,27,28,-1,813.0
10:22.0,Defensive rebound by C. Martin,27-28, ,,2,27,28,-1,818.0
10:13.0,Shooting foul by D. Wade (drawn by B. Adebayo),27-28, ,,2,27,28,-1,827.0
10:13.0,B. Adebayo makes free throw 1 of 2,28-28, ,Tie,2,28,28,0,827.0
10:13.0, ,28-28,I. Okoro enters the game for D. Wade,,2,28,28,0,827.0
10:13.0,B. Adebayo makes free throw 2 of 2,29-28, ,Lead change,2,29,28,1,827.0
9:54.0, ,29-28,C. Osman misses 3-pt jump shot from 24 ft,,2,29,28,1,846.0
9:54.0, ,29-28,Offensive rebound by C. LeVert,,2,29,28,1,846.0
9:54.0, ,29-28,Shooting foul by M. Strus (drawn by C. LeVert),,2,29,28,1,846.0
9:54.0, ,29-28,C. LeVert misses free throw 1 of 2,,2,29,28,1,846.0
9:54.0, ,29-28,Offensive rebound by Team,,2,29,28,1,846.0
9:54.0, ,29-28,D. Garland enters the game for R. Rubio,,2,29,28,1,846.0
9:54.0, ,29-29,C. LeVert makes free throw 2 of 2,Tie,2,29,29,0,846.0
9:40.0,B. Adebayo misses 2-pt jump shot from 12 ft,29-29, ,,2,29,29,0,860.0
9:38.0, ,29-29,Defensive rebound by I. Okoro,,2,29,29,0,862.0
9:28.0, ,29-29,Personal foul by G. Vincent (drawn by E. Mobley),,2,29,29,0,872.0
9:15.0, ,29-29,E. Mobley misses 2-pt jump shot from 12 ft,,2,29,29,0,885.0
9:13.0,Defensive rebound by M. Strus,29-29, ,,2,29,29,0,887.0
9:04.0,B. Adebayo misses 2-pt layup from 4 ft (block by E. Mobley),29-29, ,,2,29,29,0,896.0
9:03.0,Offensive rebound by Team,29-29, ,,2,29,29,0,897.0
8:59.0,B. Adebayo misses 2-pt jump shot from 19 ft,29-29, ,,2,29,29,0,901.0
8:56.0, ,29-29,Defensive rebound by C. LeVert,,2,29,29,0,904.0
8:49.0, ,29-31,C. LeVert makes 2-pt layup at rim,Lead change,2,29,31,-2,911.0
8:49.0, ,29-31,Shooting foul by B. Adebayo (drawn by C. LeVert),,2,29,31,-2,911.0
8:49.0, ,29-32,C. LeVert makes free throw 1 of 1,,2,29,32,-3,911.0
8:41.0,C. Martin makes 3-pt jump shot from 27 ft (assist by V. Oladipo),32-32, ,Tie,2,32,32,0,919.0
8:22.0, ,32-34,E. Mobley makes 2-pt jump shot from 8 ft (assist by C. LeVert),,2,32,34,-2,938.0
8:15.0,Shooting foul by I. Okoro (drawn by B. Adebayo),32-34, ,,2,32,34,-2,945.0
8:15.0,B. Adebayo makes free throw 1 of 2,33-34, ,,2,33,34,-1,945.0
8:15.0,B. Adebayo makes free throw 2 of 2,34-34, ,Tie,2,34,34,0,945.0
8:05.0, ,34-36,D. Garland makes 2-pt jump shot from 11 ft,,2,34,36,-2,955.0
7:53.0,G. Vincent misses 2-pt layup from 3 ft,34-36, ,,2,34,36,-2,967.0
7:50.0, ,34-36,Defensive rebound by E. Mobley,,2,34,36,-2,970.0
7:48.0, ,34-38,C. LeVert makes 2-pt layup from 1 ft (assist by E. Mobley),,2,34,38,-4,972.0
7:40.0,G. Vincent makes 3-pt jump shot from 26 ft,37-38, ,,2,37,38,-1,980.0
7:27.0, ,37-38,D. Garland misses 3-pt jump shot from 28 ft,,2,37,38,-1,993.0
7:25.0,Defensive rebound by V. Oladipo,37-38, ,,2,37,38,-1,995.0
7:22.0,Turnover by V. Oladipo (back court),37-38, ,,2,37,38,-1,998.0
7:22.0, ,37-38,J. Allen enters the game for E. Mobley,,2,37,38,-1,998.0
7:09.0, ,37-38,J. Allen misses 2-pt hook shot from 6 ft,,2,37,38,-1,1011.0
7:06.0,Defensive rebound by V. Oladipo,37-38, ,,2,37,38,-1,1014.0
7:03.0,C. Martin makes 2-pt layup from 3 ft (assist by V. Oladipo),39-38, ,Lead change,2,39,38,1,1017.0
7:03.0, ,39-38,Cleveland full timeout,,2,39,38,1,1017.0
7:03.0, ,39-38,D. Mitchell enters the game for C. Osman,,2,39,38,1,1017.0
6:40.0, ,39-38,Turnover by C. LeVert (lost ball; steal by V. Oladipo),,2,39,38,1,1040.0
6:35.0,C. Martin makes 3-pt jump shot from 26 ft (assist by V. Oladipo),42-38, ,,2,42,38,4,1045.0
6:10.0, ,42-38,C. LeVert misses 3-pt jump shot from 24 ft,,2,42,38,4,1070.0
6:08.0, ,42-38,Offensive rebound by J. Allen,,2,42,38,4,1072.0
6:08.0, ,42-38,Personal foul by C. Martin (drawn by J. Allen),,2,42,38,4,1072.0
6:08.0, ,42-39,J. Allen makes free throw 1 of 2,,2,42,39,3,1072.0
6:08.0,J. Butler enters the game for V. Oladipo,42-39, ,,2,42,39,3,1072.0
6:08.0,T. Herro enters the game for G. Vincent,42-39, ,,2,42,39,3,1072.0
6:08.0, ,42-39,C. Osman enters the game for C. LeVert,,2,42,39,3,1072.0
6:08.0, ,42-39,J. Allen misses free throw 2 of 2,,2,42,39,3,1072.0
6:05.0,Defensive rebound by C. Martin,42-39, ,,2,42,39,3,1075.0
5:59.0,B. Adebayo makes 2-pt dunk from 1 ft,44-39, ,,2,44,39,5,1081.0
5:36.0, ,44-41,D. Mitchell makes 2-pt layup from 7 ft,,2,44,41,3,1104.0
5:22.0,Turnover by T. Herro (bad pass; steal by D. Mitchell),44-41, ,,2,44,41,3,1118.0
5:16.0, ,44-41,D. Mitchell misses 3-pt jump shot from 26 ft,,2,44,41,3,1124.0
5:11.0,Defensive rebound by C. Martin,44-41, ,,2,44,41,3,1129.0
5:03.0,Shooting foul by D. Garland (drawn by J. Butler),44-41, ,,2,44,41,3,1137.0
5:03.0,J. Butler makes free throw 1 of 2,45-41, ,,2,45,41,4,1137.0
5:03.0,J. Butler makes free throw 2 of 2,46-41, ,,2,46,41,5,1137.0
4:50.0, ,46-43,D. Garland makes 2-pt layup at rim,,2,46,43,3,1150.0
4:28.0,T. Herro makes 2-pt jump shot from 8 ft,48-43, ,,2,48,43,5,1172.0
4:06.0, ,48-43,C. Osman misses 3-pt jump shot from 26 ft,,2,48,43,5,1194.0
4:03.0, ,48-43,Offensive rebound by D. Mitchell,,2,48,43,5,1197.0
4:03.0,K. Lowry enters the game for C. Martin,48-43, ,,2,48,43,5,1197.0
4:03.0,V. Oladipo enters the game for M. Strus,48-43, ,,2,48,43,5,1197.0
4:03.0, ,48-43,E. Mobley enters the game for I. Okoro,,2,48,43,5,1197.0
4:03.0, ,48-43,D. Wade enters the game for C. Osman,,2,48,43,5,1197.0
3:57.0, ,48-43,D. Garland misses 3-pt jump shot from 29 ft,,2,48,43,5,1203.0
3:56.0,Defensive rebound by Team,48-43, ,,2,48,43,5,1204.0
3:34.0,T. Herro misses 2-pt layup from 7 ft,48-43, ,,2,48,43,5,1226.0
3:31.0, ,48-43,Defensive rebound by D. Garland,,2,48,43,5,1229.0
3:09.0, ,48-43,D. Wade misses 2-pt layup from 1 ft,,2,48,43,5,1251.0
3:07.0,Defensive rebound by T. Herro,48-43, ,,2,48,43,5,1253.0
2:57.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),50-43, ,,2,50,43,7,1263.0
2:48.0, ,50-45,E. Mobley makes 2-pt dunk at rim (assist by D. Garland),,2,50,45,5,1272.0
2:37.0,Miami full timeout,50-45, ,,2,50,45,5,1283.0
2:37.0, ,50-45,R. Rubio enters the game for D. Garland,,2,50,45,5,1283.0
2:23.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),52-45, ,,2,52,45,7,1297.0
2:04.0, ,52-45,D. Mitchell misses 3-pt jump shot from 29 ft,,2,52,45,7,1316.0
2:01.0,Defensive rebound by B. Adebayo,52-45, ,,2,52,45,7,1319.0
1:48.0,B. Adebayo misses 2-pt jump shot from 17 ft,52-45, ,,2,52,45,7,1332.0
1:45.0, ,52-45,Defensive rebound by E. Mobley,,2,52,45,7,1335.0
1:28.0, ,52-47,E. Mobley makes 2-pt layup at rim (assist by D. Wade),,2,52,47,5,1352.0
1:11.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by V. Oladipo),54-47, ,,2,54,47,7,1369.0
0:56.0, ,54-49,D. Mitchell makes 2-pt jump shot from 21 ft (assist by R. Rubio),,2,54,49,5,1384.0
0:45.0,T. Herro misses 2-pt jump shot from 5 ft,54-49, ,,2,54,49,5,1395.0
0:41.0, ,54-49,Defensive rebound by J. Allen,,2,54,49,5,1399.0
0:39.0, ,54-52,R. Rubio makes 3-pt jump shot from 23 ft (assist by E. Mobley),,2,54,52,2,1401.0
0:32.0,Shooting foul by E. Mobley (drawn by J. Butler),54-52, ,,2,54,52,2,1408.0
0:32.0,J. Butler misses free throw 1 of 2,54-52, ,,2,54,52,2,1408.0
0:32.0,Offensive rebound by Team,54-52, ,,2,54,52,2,1408.0
0:32.0,O. Robinson enters the game for B. Adebayo,54-52, ,,2,54,52,2,1408.0
0:32.0,J. Butler makes free throw 2 of 2,55-52, ,,2,55,52,3,1408.0
0:11.0, ,55-52,E. Mobley misses 2-pt layup from 7 ft (block by O. Robinson),,2,55,52,3,1429.0
0:08.0,Defensive rebound by T. Herro,55-52, ,,2,55,52,3,1432.0
0:08.0,M. Strus enters the game for O. Robinson,55-52, ,,2,55,52,3,1432.0
0:08.0, ,55-52,I. Okoro enters the game for R. Rubio,,2,55,52,3,1432.0
0:00.0,V. Oladipo misses 3-pt jump shot from 26 ft,55-52, ,,2,55,52,3,1440.0
0:00.0,Offensive rebound by Team,55-52, ,,2,55,52,3,1440.0
0:00.0,End of 2nd quarter,55-52,,,2,55,52,3,1440.0
12:00.0,Start of 3rd quarter,55-52,,,3,55,52,3,1440.0
11:46.0,Turnover by K. Lowry (bad pass; steal by J. Allen),55-52, ,,3,55,52,3,1454.0
11:41.0, ,55-54,D. Garland makes 2-pt layup from 2 ft (assist by D. Mitchell),,3,55,54,1,1459.0
11:21.0,Turnover by T. Herro (bad pass; steal by J. Allen),55-54, ,,3,55,54,1,1479.0
11:14.0, ,55-54,D. Mitchell misses 3-pt jump shot from 26 ft,,3,55,54,1,1486.0
11:11.0,Defensive rebound by T. Herro,55-54, ,,3,55,54,1,1489.0
10:56.0,J. Butler misses 2-pt jump shot from 6 ft,55-54, ,,3,55,54,1,1504.0
10:54.0, ,55-54,Defensive rebound by J. Allen,,3,55,54,1,1506.0
10:39.0, ,55-56,D. Garland makes 2-pt layup from 2 ft,Lead change,3,55,56,-1,1521.0
10:25.0,J. Butler misses 3-pt jump shot from 23 ft,55-56, ,,3,55,56,-1,1535.0
10:22.0, ,55-56,Defensive rebound by J. Allen,,3,55,56,-1,1538.0
10:16.0, ,55-58,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell),,3,55,58,-3,1544.0
10:16.0,Miami full timeout,55-58, ,,3,55,58,-3,1544.0
9:56.0,T. Herro misses 2-pt jump shot from 11 ft,55-58, ,,3,55,58,-3,1564.0
9:52.0, ,55-58,Defensive rebound by J. Allen,,3,55,58,-3,1568.0
9:38.0, ,55-61,D. Mitchell makes 3-pt jump shot from 24 ft (assist by I. Okoro),,3,55,61,-6,1582.0
9:15.0,B. Adebayo misses 2-pt layup from 2 ft,55-61, ,,3,55,61,-6,1605.0
9:13.0, ,55-61,Defensive rebound by J. Allen,,3,55,61,-6,1607.0
9:00.0, ,55-61,Turnover by D. Garland (lost ball; steal by K. Lowry),,3,55,61,-6,1620.0
9:00.0,Personal foul by D. Garland (drawn by K. Lowry),55-61, ,,3,55,61,-6,1620.0
9:00.0, ,55-61,C. LeVert enters the game for D. Garland,,3,55,61,-6,1620.0
8:47.0,J. Butler misses 3-pt jump shot from 24 ft,55-61, ,,3,55,61,-6,1633.0
8:43.0, ,55-61,Defensive rebound by I. Okoro,,3,55,61,-6,1637.0
8:41.0, ,55-61,Turnover by I. Okoro (back court),,3,55,61,-6,1639.0
8:41.0, ,55-61,Violation by Team (delay of game),,3,55,61,-6,1639.0
8:18.0,C. Martin makes 2-pt jump shot from 9 ft,57-61, ,,3,57,61,-4,1662.0
8:04.0, ,57-61,Offensive foul by J. Allen (drawn by C. Martin),,3,57,61,-4,1676.0
8:04.0, ,57-61,Turnover by J. Allen (offensive foul),,3,57,61,-4,1676.0
7:46.0,K. Lowry makes 3-pt jump shot from 24 ft,60-61, ,,3,60,61,-1,1694.0
7:26.0, ,60-61,C. LeVert misses 2-pt jump shot from 17 ft (block by J. Butler),,3,60,61,-1,1714.0
7:23.0,Defensive rebound by B. Adebayo,60-61, ,,3,60,61,-1,1717.0
7:20.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),62-61, ,Lead change,3,62,61,1,1720.0
7:20.0,Shooting foul by I. Okoro (drawn by J. Butler),62-61, ,,3,62,61,1,1720.0
7:20.0,J. Butler makes free throw 1 of 1,63-61, ,,3,63,61,2,1720.0
6:58.0, ,63-63,E. Mobley makes 2-pt jump shot from 9 ft (assist by D. Mitchell),Tie,3,63,63,0,1742.0
6:50.0,Turnover by J. Butler (bad pass),63-63, ,,3,63,63,0,1750.0
6:36.0, ,63-63,Personal foul by C. Martin (drawn by E. Mobley),,3,63,63,0,1764.0
6:29.0, ,63-63,Personal foul by K. Lowry (drawn by D. Mitchell),,3,63,63,0,1771.0
6:20.0, ,63-63,I. Okoro misses 2-pt layup from 5 ft,,3,63,63,0,1780.0
6:18.0, ,63-63,Offensive rebound by I. Okoro,,3,63,63,0,1782.0
6:14.0, ,63-63,I. Okoro misses 3-pt jump shot from 26 ft,,3,63,63,0,1786.0
6:10.0,Defensive rebound by B. Adebayo,63-63, ,,3,63,63,0,1790.0
5:57.0,C. Martin makes 3-pt jump shot from 23 ft,66-63, ,,3,66,63,3,1803.0
5:34.0, ,66-65,J. Allen makes 2-pt hook shot from 4 ft (assist by D. Mitchell),,3,66,65,1,1826.0
5:34.0, ,66-65,Shooting foul by K. Lowry (drawn by J. Allen),,3,66,65,1,1826.0
5:34.0, ,66-66,J. Allen makes free throw 1 of 1,Tie,3,66,66,0,1826.0
5:22.0,K. Lowry misses 3-pt jump shot from 26 ft,66-66, ,,3,66,66,0,1838.0
5:17.0,Offensive rebound by B. Adebayo,66-66, ,,3,66,66,0,1843.0
5:14.0,J. Butler misses 2-pt layup from 3 ft (block by J. Allen),66-66, ,,3,66,66,0,1846.0
5:11.0,Offensive rebound by K. Lowry,66-66, ,,3,66,66,0,1849.0
5:11.0,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),69-66, ,,3,69,66,3,1849.0
5:11.0, ,69-66,Cleveland full timeout,,3,69,66,3,1849.0
5:11.0,V. Oladipo enters the game for B. Adebayo,69-66, ,,3,69,66,3,1849.0
5:11.0,O. Robinson enters the game for C. Martin,69-66, ,,3,69,66,3,1849.0
5:11.0, ,69-66,D. Wade enters the game for E. Mobley,,3,69,66,3,1849.0
4:59.0, ,69-66,Turnover by D. Mitchell (bad pass; steal by J. Butler),,3,69,66,3,1861.0
4:44.0,T. Herro makes 3-pt jump shot from 26 ft (assist by V. Oladipo),72-66, ,,3,72,66,6,1876.0
4:22.0, ,72-68,J. Allen makes 2-pt layup from 2 ft (assist by I. Okoro),,3,72,68,4,1898.0
4:12.0,V. Oladipo misses 2-pt layup from 1 ft (block by C. LeVert),72-68, ,,3,72,68,4,1908.0
4:07.0,Offensive rebound by O. Robinson,72-68, ,,3,72,68,4,1913.0
4:03.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),75-68, ,,3,75,68,7,1917.0
3:47.0, ,75-68,Turnover by I. Okoro (traveling),,3,75,68,7,1933.0
3:47.0, ,75-68,R. Rubio enters the game for I. Okoro,,3,75,68,7,1933.0
3:24.0,O. Robinson misses 2-pt hook shot from 7 ft,75-68, ,,3,75,68,7,1956.0
3:22.0, ,75-68,Defensive rebound by R. Rubio,,3,75,68,7,1958.0
3:17.0, ,75-68,Turnover by R. Rubio (bad pass; steal by J. Butler),,3,75,68,7,1963.0
3:11.0,V. Oladipo makes 2-pt layup from 1 ft (assist by J. Butler),77-68, ,,3,77,68,9,1969.0
2:57.0, ,77-68,Personal foul by O. Robinson (drawn by D. Mitchell),,3,77,68,9,1983.0
2:57.0, ,77-68,E. Mobley enters the game for J. Allen,,3,77,68,9,1983.0
2:51.0, ,77-68,D. Mitchell misses 3-pt jump shot from 26 ft,,3,77,68,9,1989.0
2:47.0,Defensive rebound by K. Lowry,77-68, ,,3,77,68,9,1993.0
2:43.0,O. Robinson misses 2-pt hook shot from 6 ft,77-68, ,,3,77,68,9,1997.0
2:39.0, ,77-68,Defensive rebound by R. Rubio,,3,77,68,9,2001.0
2:30.0, ,77-70,E. Mobley makes 2-pt hook shot from 10 ft (assist by R. Rubio),,3,77,70,7,2010.0
2:14.0,T. Herro misses 2-pt jump shot from 9 ft,77-70, ,,3,77,70,7,2026.0
2:14.0, ,77-70,Defensive rebound by R. Rubio,,3,77,70,7,2026.0
1:59.0, ,77-70,E. Mobley misses 3-pt jump shot from 26 ft,,3,77,70,7,2041.0
1:57.0,Defensive rebound by T. Herro,77-70, ,,3,77,70,7,2043.0
1:51.0,T. Herro misses 3-pt jump shot from 27 ft,77-70, ,,3,77,70,7,2049.0
1:46.0,Offensive rebound by K. Lowry,77-70, ,,3,77,70,7,2054.0
