Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:25.0,Loose ball foul by R. Barrett (drawn by K. Love),12-12, ,,1,12,12,0,275.0
7:17.0, ,12-14,T. Herro makes 2-pt jump shot from 10 ft (assist by B. Adebayo),Lead change,1,14,12,2,283.0
7:02.0,Shooting foul by K. Love (drawn by J. Brunson),12-14, ,,1,14,12,2,298.0
7:02.0,J. Brunson makes free throw 1 of 2,13-14, ,,1,14,13,1,298.0
7:02.0,I. Quickley enters the game for R. Barrett,13-14, ,,1,14,13,1,298.0
7:02.0,J. Brunson makes free throw 2 of 2,14-14, ,Tie,1,14,14,0,298.0
6:55.0, ,14-17,T. Herro makes 3-pt jump shot from 25 ft (assist by G. Vincent),,1,17,14,3,305.0
6:40.0,Shooting foul by G. Vincent (drawn by J. Brunson),14-17, ,,1,17,14,3,320.0
6:40.0, ,14-17,Miami full timeout,,1,17,14,3,320.0
6:40.0, ,14-17,V. Oladipo enters the game for G. Vincent,,1,17,14,3,320.0
6:40.0,J. Brunson misses free throw 1 of 2,14-17, ,,1,17,14,3,320.0
6:40.0,Offensive rebound by Team,14-17, ,,1,17,14,3,320.0
6:40.0,J. Brunson makes free throw 2 of 2,15-17, ,,1,17,15,2,320.0
6:18.0, ,15-17,Shooting foul by I. Quickley (drawn by J. Butler),,1,17,15,2,342.0
6:18.0, ,15-17,J. Butler misses free throw 1 of 2,,1,17,15,2,342.0
6:18.0, ,15-17,Offensive rebound by Team,,1,17,15,2,342.0
6:18.0, ,15-18,J. Butler makes free throw 2 of 2,,1,18,15,3,342.0
6:06.0,Q. Grimes misses 3-pt jump shot from 25 ft,15-18, ,,1,18,15,3,354.0
6:03.0,Offensive rebound by M. Robinson,15-18, ,,1,18,15,3,357.0
6:00.0,Turnover by I. Quickley (lost ball; steal by J. Butler),15-18, ,,1,18,15,3,360.0
5:54.0, ,15-18,B. Adebayo misses 2-pt jump shot from 7 ft,,1,18,15,3,366.0
5:49.0, ,15-18,Offensive rebound by J. Butler,,1,18,15,3,371.0
5:48.0, ,15-20,B. Adebayo makes 2-pt jump shot from 8 ft (assist by J. Butler),,1,20,15,5,372.0
5:21.0,J. Randle makes 2-pt jump shot from 10 ft,17-20, ,,1,20,17,3,399.0
5:06.0, ,17-20,Shooting foul by I. Quickley (drawn by J. Butler),,1,20,17,3,414.0
5:06.0, ,17-21,J. Butler makes free throw 1 of 2,,1,21,17,4,414.0
5:06.0,I. Hartenstein enters the game for I. Quickley,17-21, ,,1,21,17,4,414.0
5:06.0,J. Hart enters the game for M. Robinson,17-21, ,,1,21,17,4,414.0
5:06.0, ,17-21,M. Strus enters the game for T. Herro,,1,21,17,4,414.0
5:06.0, ,17-22,J. Butler makes free throw 2 of 2,,1,22,17,5,414.0
4:55.0,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Brunson),20-22, ,,1,22,20,2,425.0
4:36.0, ,20-22,B. Adebayo misses 2-pt jump shot from 8 ft,,1,22,20,2,444.0
4:29.0, ,20-22,Offensive rebound by K. Love,,1,22,20,2,451.0
4:29.0, ,20-24,K. Love makes 2-pt layup at rim,,1,24,20,4,451.0
4:20.0,Q. Grimes misses 3-pt jump shot from 23 ft,20-24, ,,1,24,20,4,460.0
4:18.0,Offensive rebound by I. Hartenstein,20-24, ,,1,24,20,4,462.0
4:16.0,Shooting foul by K. Love (drawn by J. Hart),20-24, ,,1,24,20,4,464.0
4:16.0,J. Hart misses free throw 1 of 2,20-24, ,,1,24,20,4,464.0
4:16.0,Offensive rebound by Team,20-24, ,,1,24,20,4,464.0
4:16.0,J. Hart makes free throw 2 of 2,21-24, ,,1,24,21,3,464.0
4:08.0, ,21-24,Shooting foul by J. Randle (drawn by K. Love),,1,24,21,3,472.0
4:08.0, ,21-25,K. Love makes free throw 1 of 2,,1,25,21,4,472.0
4:08.0, ,21-26,K. Love makes free throw 2 of 2,,1,26,21,5,472.0
3:53.0,I. Hartenstein makes 2-pt jump shot from 9 ft (assist by J. Brunson),23-26, ,,1,26,23,3,487.0
3:42.0, ,23-26,B. Adebayo misses 2-pt jump shot from 6 ft,,1,26,23,3,498.0
3:37.0,Defensive rebound by Q. Grimes,23-26, ,,1,26,23,3,503.0
3:36.0,Shooting foul by V. Oladipo (drawn by J. Brunson),23-26, ,,1,26,23,3,504.0
3:36.0,J. Brunson misses free throw 1 of 2,23-26, ,,1,26,23,3,504.0
3:36.0,Offensive rebound by Team,23-26, ,,1,26,23,3,504.0
3:36.0, ,23-26,T. Herro enters the game for J. Butler,,1,26,23,3,504.0
3:36.0, ,23-26,C. Martin enters the game for K. Love,,1,26,23,3,504.0
3:36.0,J. Brunson makes free throw 2 of 2,24-26, ,,1,26,24,2,504.0
3:22.0, ,24-26,M. Strus misses 3-pt jump shot from 24 ft,,1,26,24,2,518.0
3:18.0,Defensive rebound by J. Randle,24-26, ,,1,26,24,2,522.0
2:57.0,J. Randle makes 2-pt jump shot from 9 ft (assist by J. Brunson),26-26, ,Tie,1,26,26,0,543.0
2:44.0, ,26-26,T. Herro misses 2-pt jump shot from 7 ft,,1,26,26,0,556.0
2:40.0,Defensive rebound by Q. Grimes,26-26, ,,1,26,26,0,560.0
2:30.0,J. Randle makes 3-pt jump shot from 28 ft (assist by I. Hartenstein),29-26, ,Lead change,1,26,29,-3,570.0
2:02.0, ,29-26,V. Oladipo misses 2-pt layup from 5 ft,,1,26,29,-3,598.0
2:00.0,Defensive rebound by I. Hartenstein,29-26, ,,1,26,29,-3,600.0
1:56.0,J. Randle makes 3-pt jump shot from 29 ft (assist by J. Hart),32-26, ,,1,26,32,-6,604.0
1:54.0, ,32-26,Miami full timeout,,1,26,32,-6,606.0
1:54.0, ,32-26,C. Zeller enters the game for B. Adebayo,,1,26,32,-6,606.0
1:34.0, ,32-28,C. Zeller makes 2-pt layup from 4 ft (assist by T. Herro),,1,28,32,-4,626.0
1:34.0, ,32-28,Shooting foul by J. Brunson (drawn by C. Zeller),,1,28,32,-4,626.0
1:34.0, ,32-29,C. Zeller makes free throw 1 of 1,,1,29,32,-3,626.0
1:17.0,J. Randle misses 3-pt jump shot from 28 ft,32-29, ,,1,29,32,-3,643.0
1:14.0, ,32-29,Defensive rebound by Team,,1,29,32,-3,646.0
0:58.0, ,32-29,T. Herro misses 3-pt jump shot from 26 ft,,1,29,32,-3,662.0
0:54.0,Defensive rebound by J. Randle,32-29, ,,1,29,32,-3,666.0
0:49.0,J. Randle makes 2-pt jump shot from 9 ft,34-29, ,,1,29,34,-5,671.0
0:49.0,Shooting foul by V. Oladipo (drawn by J. Randle),34-29, ,,1,29,34,-5,671.0
0:49.0,R. Barrett enters the game for J. Brunson,34-29, ,,1,29,34,-5,671.0
0:49.0,I. Quickley enters the game for Q. Grimes,34-29, ,,1,29,34,-5,671.0
0:49.0,J. Randle misses free throw 1 of 1,34-29, ,,1,29,34,-5,671.0
0:47.0, ,34-29,Defensive rebound by C. Martin,,1,29,34,-5,673.0
0:40.0, ,34-29,V. Oladipo misses 2-pt jump shot from 11 ft,,1,29,34,-5,680.0
0:37.0, ,34-29,Offensive rebound by C. Zeller,,1,29,34,-5,683.0
0:26.0, ,34-31,C. Martin makes 2-pt jump shot from 18 ft,,1,31,34,-3,694.0
0:06.0,J. Randle makes 3-pt jump shot from 26 ft (assist by I. Quickley),37-31, ,,1,31,37,-6,714.0
0:00.0,End of 1st quarter,37-31,,,1,31,37,-6,720.0
12:00.0,Start of 2nd quarter,37-31,,,2,31,37,-6,720.0
11:38.0, ,37-31,Turnover by C. Zeller (bad pass; steal by J. Hart),,2,31,37,-6,742.0
11:33.0,I. Quickley makes 3-pt jump shot from 23 ft (assist by O. Toppin),40-31, ,,2,31,40,-9,747.0
11:19.0, ,40-31,T. Herro misses 2-pt jump shot from 9 ft,,2,31,40,-9,761.0
11:17.0,Defensive rebound by J. Hart,40-31, ,,2,31,40,-9,763.0
11:13.0,O. Toppin misses 3-pt jump shot from 23 ft,40-31, ,,2,31,40,-9,767.0
11:09.0, ,40-31,Defensive rebound by T. Herro,,2,31,40,-9,771.0
11:04.0, ,40-31,V. Oladipo misses 3-pt jump shot from 26 ft,,2,31,40,-9,776.0
11:03.0, ,40-31,Offensive rebound by Team,,2,31,40,-9,777.0
11:03.0,Loose ball foul by I. Hartenstein (drawn by C. Zeller),40-31, ,,2,31,40,-9,777.0
10:50.0, ,40-31,M. Strus misses 2-pt layup from 8 ft,,2,31,40,-9,790.0
10:47.0,Defensive rebound by I. Quickley,40-31, ,,2,31,40,-9,793.0
10:45.0,I. Quickley makes 3-pt jump shot from 26 ft,43-31, ,,2,31,43,-12,795.0
10:45.0, ,43-31,Miami full timeout,,2,31,43,-12,795.0
10:45.0, ,43-31,G. Vincent enters the game for V. Oladipo,,2,31,43,-12,795.0
10:26.0, ,43-34,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),,2,34,43,-9,814.0
9:58.0,R. Barrett misses 3-pt jump shot from 26 ft,43-34, ,,2,34,43,-9,842.0
9:58.0, ,43-34,Defensive rebound by Team,,2,34,43,-9,842.0
9:46.0, ,43-34,G. Vincent misses 2-pt jump shot from 16 ft,,2,34,43,-9,854.0
9:42.0,Defensive rebound by I. Hartenstein,43-34, ,,2,34,43,-9,858.0
9:36.0,I. Quickley makes 2-pt layup from 3 ft,45-34, ,,2,34,45,-11,864.0
9:17.0, ,45-34,Turnover by C. Zeller (bad pass; steal by I. Quickley),,2,34,45,-11,883.0
9:16.0,Shooting foul by M. Strus (drawn by I. Quickley),45-34, ,,2,34,45,-11,884.0
9:16.0,I. Quickley makes free throw 1 of 2,46-34, ,,2,34,46,-12,884.0
9:16.0, ,46-34,B. Adebayo enters the game for C. Zeller,,2,34,46,-12,884.0
9:16.0,I. Quickley makes free throw 2 of 2,47-34, ,,2,34,47,-13,884.0
9:08.0, ,47-34,Personal foul by I. Hartenstein (drawn by B. Adebayo),,2,34,47,-13,892.0
9:08.0,M. Robinson enters the game for I. Hartenstein,47-34, ,,2,34,47,-13,892.0
8:54.0, ,47-34,T. Herro misses 2-pt layup from 5 ft,,2,34,47,-13,906.0
8:51.0,Defensive rebound by M. Robinson,47-34, ,,2,34,47,-13,909.0
8:44.0,O. Toppin misses 3-pt jump shot from 23 ft,47-34, ,,2,34,47,-13,916.0
8:44.0,Offensive rebound by M. Robinson,47-34, ,,2,34,47,-13,916.0
8:38.0,Turnover by M. Robinson (bad pass; steal by G. Vincent),47-34, ,,2,34,47,-13,922.0
8:34.0, ,47-36,T. Herro makes 2-pt layup from 2 ft,,2,36,47,-11,926.0
8:09.0,O. Toppin misses 2-pt jump shot from 5 ft,47-36, ,,2,36,47,-11,951.0
8:04.0,Offensive rebound by O. Toppin,47-36, ,,2,36,47,-11,956.0
8:04.0,O. Toppin makes 2-pt dunk from 2 ft,49-36, ,,2,36,49,-13,956.0
7:50.0, ,49-38,B. Adebayo makes 2-pt layup from 3 ft (assist by M. Strus),,2,38,49,-11,970.0
7:40.0,R. Barrett makes 2-pt layup from 3 ft,51-38, ,,2,38,51,-13,980.0
7:29.0, ,51-40,M. Strus makes 2-pt layup from 3 ft (assist by G. Vincent),,2,40,51,-11,991.0
7:09.0,R. Barrett makes 2-pt jump shot from 5 ft (assist by I. Quickley),53-40, ,,2,40,53,-13,1011.0
7:00.0, ,53-42,C. Martin makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,42,53,-11,1020.0
6:33.0,O. Toppin misses 3-pt jump shot from 27 ft,53-42, ,,2,42,53,-11,1047.0
6:31.0, ,53-42,Defensive rebound by C. Martin,,2,42,53,-11,1049.0
6:26.0, ,53-42,C. Martin misses 3-pt jump shot from 26 ft,,2,42,53,-11,1054.0
6:21.0,Defensive rebound by R. Barrett,53-42, ,,2,42,53,-11,1059.0
6:15.0,R. Barrett makes 2-pt layup from 5 ft,55-42, ,,2,42,55,-13,1065.0
5:58.0, ,55-42,Turnover by T. Herro (bad pass; steal by M. Robinson),,2,42,55,-13,1082.0
5:54.0,R. Barrett makes 2-pt layup from 6 ft (assist by J. Hart),57-42, ,,2,42,57,-15,1086.0
5:54.0, ,57-42,Miami full timeout,,2,42,57,-15,1086.0
5:54.0, ,57-42,J. Butler enters the game for T. Herro,,2,42,57,-15,1086.0
5:54.0, ,57-42,K. Love enters the game for C. Martin,,2,42,57,-15,1086.0
5:41.0, ,57-42,Personal foul by J. Hart (drawn by J. Butler),,2,42,57,-15,1099.0
5:32.0, ,57-42,B. Adebayo misses 2-pt jump shot from 13 ft,,2,42,57,-15,1108.0
5:28.0,Defensive rebound by J. Hart,57-42, ,,2,42,57,-15,1112.0
5:25.0,Turnover by J. Hart (lost ball; steal by G. Vincent),57-42, ,,2,42,57,-15,1115.0
5:19.0, ,57-42,J. Butler misses 2-pt layup from 3 ft,,2,42,57,-15,1121.0
5:14.0, ,57-42,Offensive rebound by J. Butler,,2,42,57,-15,1126.0
5:14.0, ,57-44,J. Butler makes 2-pt layup at rim,,2,44,57,-13,1126.0
5:09.0,I. Quickley misses 3-pt jump shot from 24 ft,57-44, ,,2,44,57,-13,1131.0
5:05.0, ,57-44,Defensive rebound by J. Butler,,2,44,57,-13,1135.0
4:58.0, ,57-44,K. Love misses 3-pt jump shot from 23 ft,,2,44,57,-13,1142.0
4:54.0, ,57-44,Offensive rebound by J. Butler,,2,44,57,-13,1146.0
4:52.0, ,57-44,J. Butler misses 2-pt layup from 5 ft (block by O. Toppin),,2,44,57,-13,1148.0
4:52.0,Defensive rebound by J. Hart,57-44, ,,2,44,57,-13,1148.0
4:45.0,Turnover by J. Hart (bad pass; steal by B. Adebayo),57-44, ,,2,44,57,-13,1155.0
4:40.0, ,57-47,G. Vincent makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,47,57,-10,1160.0
4:23.0,New York full timeout,57-47, ,,2,47,57,-10,1177.0
4:23.0,J. Brunson enters the game for R. Barrett,57-47, ,,2,47,57,-10,1177.0
4:23.0,J. Randle enters the game for O. Toppin,57-47, ,,2,47,57,-10,1177.0
4:08.0,J. Hart makes 2-pt layup from 3 ft (assist by J. Brunson),59-47, ,,2,47,59,-12,1192.0
3:50.0, ,59-47,Shooting foul by J. Hart (drawn by J. Butler),,2,47,59,-12,1210.0
3:50.0,Technical foul by J. Hart,59-47, ,,2,47,59,-12,1210.0
3:50.0, ,59-48,J. Butler makes technical free throw,,2,48,59,-11,1210.0
3:50.0,Q. Grimes enters the game for I. Quickley,59-48, ,,2,48,59,-11,1210.0
3:50.0, ,59-49,J. Butler makes free throw 1 of 2,,2,49,59,-10,1210.0
3:50.0, ,59-50,J. Butler makes free throw 2 of 2,,2,50,59,-9,1210.0
3:31.0,J. Randle makes 2-pt jump shot from 9 ft (assist by Q. Grimes),61-50, ,,2,50,61,-11,1229.0
3:20.0, ,61-52,J. Butler makes 2-pt jump shot from 7 ft,,2,52,61,-9,1240.0
3:00.0,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Brunson),64-52, ,,2,52,64,-12,1260.0
2:49.0, ,64-52,Personal foul by Q. Grimes (drawn by J. Butler),,2,52,64,-12,1271.0
2:49.0, ,64-53,J. Butler makes free throw 1 of 2,,2,53,64,-11,1271.0
2:49.0, ,64-53,T. Herro enters the game for M. Strus,,2,53,64,-11,1271.0
2:49.0, ,64-54,J. Butler makes free throw 2 of 2,,2,54,64,-10,1271.0
2:41.0,J. Brunson makes 2-pt layup from 7 ft,66-54, ,,2,54,66,-12,1279.0
2:20.0, ,66-54,K. Love misses 2-pt jump shot from 7 ft,,2,54,66,-12,1300.0
2:15.0,Defensive rebound by J. Randle,66-54, ,,2,54,66,-12,1305.0
2:03.0,J. Randle misses 2-pt jump shot from 16 ft,66-54, ,,2,54,66,-12,1317.0
1:59.0, ,66-54,Defensive rebound by T. Herro,,2,54,66,-12,1321.0
1:56.0, ,66-54,T. Herro misses 3-pt jump shot from 26 ft (block by J. Hart),,2,54,66,-12,1324.0
1:52.0,Defensive rebound by J. Randle,66-54, ,,2,54,66,-12,1328.0
1:51.0,J. Hart makes 2-pt layup from 4 ft (assist by J. Randle),68-54, ,,2,54,68,-14,1329.0
1:51.0,Shooting foul by T. Herro (drawn by J. Hart),68-54, ,,2,54,68,-14,1329.0
1:51.0,J. Hart misses free throw 1 of 1,68-54, ,,2,54,68,-14,1329.0
1:48.0, ,68-54,Defensive rebound by T. Herro,,2,54,68,-14,1332.0
1:33.0, ,68-54,G. Vincent misses 3-pt jump shot from 23 ft,,2,54,68,-14,1347.0
1:30.0, ,68-54,Offensive rebound by J. Butler,,2,54,68,-14,1350.0
1:23.0, ,68-54,J. Butler misses 2-pt jump shot from 6 ft,,2,54,68,-14,1357.0
1:21.0,Defensive rebound by J. Randle,68-54, ,,2,54,68,-14,1359.0
1:15.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Randle),71-54, ,,2,54,71,-17,1365.0
0:51.0, ,71-54,J. Butler misses 2-pt jump shot from 7 ft,,2,54,71,-17,1389.0
0:49.0,Defensive rebound by J. Randle,71-54, ,,2,54,71,-17,1391.0
0:45.0,Offensive foul by J. Randle (drawn by J. Butler),71-54, ,,2,54,71,-17,1395.0
0:45.0,Turnover by J. Randle (offensive foul),71-54, ,,2,54,71,-17,1395.0
0:45.0, ,71-54,C. Martin enters the game for G. Vincent,,2,54,71,-17,1395.0
0:33.0, ,71-56,T. Herro makes 2-pt layup from 3 ft,,2,56,71,-15,1407.0
0:20.0,Q. Grimes misses 3-pt jump shot from 26 ft,71-56, ,,2,56,71,-15,1420.0
0:15.0, ,71-56,Defensive rebound by K. Love,,2,56,71,-15,1425.0
0:01.0, ,71-56,J. Butler misses 3-pt jump shot from 23 ft (block by J. Randle),,2,56,71,-15,1439.0
0:01.0, ,71-56,Offensive rebound by Team,,2,56,71,-15,1439.0
0:00.0,End of 2nd quarter,71-56,,,2,56,71,-15,1440.0
12:00.0,Start of 3rd quarter,71-56,,,3,56,71,-15,1440.0
11:44.0, ,71-56,T. Herro misses 3-pt jump shot from 23 ft,,3,56,71,-15,1456.0
11:39.0,Defensive rebound by M. Robinson,71-56, ,,3,56,71,-15,1461.0
11:28.0,R. Barrett misses 2-pt jump shot from 10 ft,71-56, ,,3,56,71,-15,1472.0
11:26.0, ,71-56,Defensive rebound by B. Adebayo,,3,56,71,-15,1474.0
11:23.0, ,71-58,B. Adebayo makes 2-pt layup from 4 ft,,3,58,71,-13,1477.0
10:58.0,J. Brunson misses 3-pt jump shot from 24 ft,71-58, ,,3,58,71,-13,1502.0
10:58.0, ,71-58,Defensive rebound by T. Herro,,3,58,71,-13,1502.0
10:49.0, ,71-60,B. Adebayo makes 2-pt jump shot from 5 ft,,3,60,71,-11,1511.0
10:38.0,Personal foul by G. Vincent (drawn by J. Brunson),71-60, ,,3,60,71,-11,1522.0
10:28.0,J. Brunson misses 3-pt jump shot from 26 ft,71-60, ,,3,60,71,-11,1532.0
10:24.0, ,71-60,Defensive rebound by K. Love,,3,60,71,-11,1536.0
10:17.0, ,71-60,Turnover by B. Adebayo (lost ball; steal by J. Brunson),,3,60,71,-11,1543.0
10:13.0,Q. Grimes misses 3-pt jump shot from 25 ft,71-60, ,,3,60,71,-11,1547.0
10:09.0, ,71-60,Defensive rebound by T. Herro,,3,60,71,-11,1551.0
10:03.0, ,71-62,B. Adebayo makes 2-pt jump shot from 8 ft (assist by T. Herro),,3,62,71,-9,1557.0
10:03.0,New York full timeout,71-62, ,,3,62,71,-9,1557.0
9:48.0,Turnover by J. Randle (traveling),71-62, ,,3,62,71,-9,1572.0
9:38.0, ,71-64,T. Herro makes 2-pt layup from 6 ft,,3,64,71,-7,1582.0
9:22.0,J. Brunson makes 2-pt jump shot from 6 ft,73-64, ,,3,64,73,-9,1598.0
9:07.0, ,73-64,Shooting foul by M. Robinson (drawn by B. Adebayo),,3,64,73,-9,1613.0
9:07.0, ,73-65,B. Adebayo makes free throw 1 of 2,,3,65,73,-8,1613.0
9:07.0, ,73-66,B. Adebayo makes free throw 2 of 2,,3,66,73,-7,1613.0
8:48.0,R. Barrett makes 2-pt layup from 6 ft,75-66, ,,3,66,75,-9,1632.0
8:28.0, ,75-69,T. Herro makes 3-pt jump shot from 27 ft (assist by J. Butler),,3,69,75,-6,1652.0
8:04.0,J. Randle makes 2-pt jump shot from 15 ft,77-69, ,,3,69,77,-8,1676.0
7:48.0, ,77-71,J. Butler makes 2-pt jump shot from 6 ft,,3,71,77,-6,1692.0
7:32.0,J. Randle makes 3-pt jump shot from 25 ft (assist by R. Barrett),80-71, ,,3,71,80,-9,1708.0
7:14.0, ,80-71,J. Butler misses 2-pt layup from 4 ft (block by M. Robinson),,3,71,80,-9,1726.0
7:09.0,Defensive rebound by J. Brunson,80-71, ,,3,71,80,-9,1731.0
7:09.0,R. Barrett makes 2-pt jump shot from 6 ft,82-71, ,,3,71,82,-11,1731.0
7:09.0,Shooting foul by B. Adebayo (drawn by R. Barrett),82-71, ,,3,71,82,-11,1731.0
7:09.0,R. Barrett makes free throw 1 of 1,83-71, ,,3,71,83,-12,1731.0
6:55.0, ,83-74,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),,3,74,83,-9,1745.0
6:30.0,J. Randle misses 2-pt jump shot from 14 ft,83-74, ,,3,74,83,-9,1770.0
6:27.0, ,83-74,Defensive rebound by G. Vincent,,3,74,83,-9,1773.0
6:24.0, ,83-76,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Butler),,3,76,83,-7,1776.0
6:02.0,R. Barrett misses 3-pt jump shot from 23 ft,83-76, ,,3,76,83,-7,1798.0
5:59.0, ,83-76,Defensive rebound by G. Vincent,,3,76,83,-7,1801.0
5:52.0, ,83-76,Personal foul by J. Brunson (drawn by K. Love),,3,76,83,-7,1808.0
5:52.0, ,83-76,V. Oladipo enters the game for G. Vincent,,3,76,83,-7,1808.0
5:42.0, ,83-78,T. Herro makes 2-pt jump shot from 6 ft,,3,78,83,-5,1818.0
5:23.0,J. Randle makes 3-pt jump shot from 26 ft,86-78, ,,3,78,86,-8,1837.0
4:59.0, ,86-78,B. Adebayo misses 2-pt jump shot from 8 ft,,3,78,86,-8,1861.0
4:55.0,Defensive rebound by J. Randle,86-78, ,,3,78,86,-8,1865.0
4:43.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Randle),89-78, ,,3,78,89,-11,1877.0
4:19.0, ,89-81,T. Herro makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,81,89,-8,1901.0
3:56.0,R. Barrett misses 3-pt jump shot from 26 ft,89-81, ,,3,81,89,-8,1924.0
3:53.0, ,89-81,Defensive rebound by K. Love,,3,81,89,-8,1927.0
3:49.0, ,89-81,J. Butler misses 2-pt dunk from 2 ft,,3,81,89,-8,1931.0
3:49.0,Defensive rebound by R. Barrett,89-81, ,,3,81,89,-8,1931.0
3:41.0,J. Randle misses 3-pt jump shot from 26 ft,89-81, ,,3,81,89,-8,1939.0
3:39.0, ,89-81,Defensive rebound by K. Love,,3,81,89,-8,1941.0
3:34.0, ,89-83,J. Butler makes 2-pt layup from 3 ft (assist by K. Love),,3,83,89,-6,1946.0
3:33.0,New York full timeout,89-83, ,,3,83,89,-6,1947.0
3:33.0,J. Hart enters the game for R. Barrett,89-83, ,,3,83,89,-6,1947.0
3:33.0,I. Quickley enters the game for J. Brunson,89-83, ,,3,83,89,-6,1947.0
3:33.0, ,89-83,C. Zeller enters the game for B. Adebayo,,3,83,89,-6,1947.0
3:13.0,J. Randle misses 2-pt jump shot from 18 ft,89-83, ,,3,83,89,-6,1967.0
3:09.0, ,89-83,Defensive rebound by T. Herro,,3,83,89,-6,1971.0
2:56.0, ,89-83,Shooting foul by Q. Grimes (drawn by J. Butler),,3,83,89,-6,1984.0
2:56.0, ,89-84,J. Butler makes free throw 1 of 2,,3,84,89,-5,1984.0
2:56.0,I. Hartenstein enters the game for M. Robinson,89-84, ,,3,84,89,-5,1984.0
2:56.0, ,89-84,C. Martin enters the game for K. Love,,3,84,89,-5,1984.0
2:56.0, ,89-85,J. Butler makes free throw 2 of 2,,3,85,89,-4,1984.0
2:37.0,J. Randle makes 2-pt jump shot from 6 ft,91-85, ,,3,85,91,-6,2003.0
