Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:26.0, ,54-37,J. Embiid enters the game for S. Milton,,2,54,37,17,1054.0
6:26.0, ,54-37,P. Tucker enters the game for P. Reed,,2,54,37,17,1054.0
6:18.0,T. Herro misses 2-pt jump shot from 15 ft,54-37, ,,2,54,37,17,1062.0
6:15.0, ,54-37,Defensive rebound by D. Melton,,2,54,37,17,1065.0
6:00.0, ,54-37,Shooting foul by C. Martin (drawn by J. Embiid),,2,54,37,17,1080.0
6:00.0, ,54-37,J. Embiid misses free throw 1 of 2,,2,54,37,17,1080.0
6:00.0, ,54-37,Offensive rebound by Team,,2,54,37,17,1080.0
6:00.0, ,54-38,J. Embiid makes free throw 2 of 2,,2,54,38,16,1080.0
5:36.0,J. Butler misses 3-pt jump shot from 23 ft,54-38, ,,2,54,38,16,1104.0
5:32.0, ,54-38,Defensive rebound by T. Harris,,2,54,38,16,1108.0
5:16.0, ,54-38,J. Embiid misses 2-pt jump shot from 16 ft,,2,54,38,16,1124.0
5:11.0, ,54-38,Offensive rebound by T. Harris,,2,54,38,16,1129.0
5:03.0, ,54-40,J. Harden makes 2-pt layup from 1 ft,,2,54,40,14,1137.0
4:55.0,G. Vincent misses 2-pt layup from 2 ft (block by J. Embiid),54-40, ,,2,54,40,14,1145.0
4:51.0, ,54-40,Defensive rebound by P. Tucker,,2,54,40,14,1149.0
4:46.0, ,54-40,T. Harris misses 2-pt jump shot from 6 ft,,2,54,40,14,1154.0
4:44.0,Defensive rebound by B. Adebayo,54-40, ,,2,54,40,14,1156.0
4:26.0,G. Vincent misses 2-pt jump shot from 10 ft,54-40, ,,2,54,40,14,1174.0
4:25.0, ,54-40,Defensive rebound by T. Harris,,2,54,40,14,1175.0
4:18.0, ,54-40,J. Harden misses 3-pt jump shot from 25 ft,,2,54,40,14,1182.0
4:16.0,Defensive rebound by J. Butler,54-40, ,,2,54,40,14,1184.0
4:08.0,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Butler),57-40, ,,2,57,40,17,1192.0
4:08.0,M. Strus enters the game for T. Herro,57-40, ,,2,57,40,17,1192.0
3:42.0, ,57-40,Turnover by Team (shot clock),,2,57,40,17,1218.0
3:21.0,C. Martin misses 3-pt jump shot from 26 ft,57-40, ,,2,57,40,17,1239.0
3:19.0,Offensive rebound by B. Adebayo,57-40, ,,2,57,40,17,1241.0
3:07.0,M. Strus misses 3-pt jump shot from 26 ft,57-40, ,,2,57,40,17,1253.0
3:04.0, ,57-40,Defensive rebound by D. Melton,,2,57,40,17,1256.0
2:43.0, ,57-42,J. Embiid makes 2-pt layup from 1 ft,,2,57,42,15,1277.0
2:43.0,Miami full timeout,57-42, ,,2,57,42,15,1277.0
2:32.0,J. Butler makes 2-pt jump shot from 8 ft (assist by C. Martin),59-42, ,,2,59,42,17,1288.0
2:06.0, ,59-42,J. Harden misses 3-pt jump shot from 26 ft,,2,59,42,17,1314.0
2:02.0,Defensive rebound by G. Vincent,59-42, ,,2,59,42,17,1318.0
1:41.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by M. Strus),62-42, ,,2,62,42,20,1339.0
1:19.0, ,62-42,Turnover by J. Embiid (bad pass),,2,62,42,20,1361.0
1:10.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by G. Vincent),64-42, ,,2,64,42,22,1370.0
0:51.0, ,64-42,P. Tucker misses 3-pt jump shot from 24 ft,,2,64,42,22,1389.0
0:48.0,Defensive rebound by C. Martin,64-42, ,,2,64,42,22,1392.0
0:44.0,M. Strus makes 3-pt jump shot from 24 ft (assist by G. Vincent),67-42, ,,2,67,42,25,1396.0
0:35.0, ,67-44,J. Harden makes 2-pt jump shot from 6 ft,,2,67,44,23,1405.0
0:25.0,G. Vincent misses 3-pt jump shot from 26 ft,67-44, ,,2,67,44,23,1415.0
0:22.0, ,67-44,Defensive rebound by J. Harden,,2,67,44,23,1418.0
0:02.0, ,67-44,J. Embiid misses 2-pt jump shot from 14 ft,,2,67,44,23,1438.0
0:00.0, ,67-44,Offensive rebound by P. Tucker,,2,67,44,23,1440.0
0:00.0, ,67-46,P. Tucker makes 2-pt layup from 1 ft,,2,67,46,21,1440.0
0:00.0,End of 2nd quarter,67-46,,,2,67,46,21,1440.0
12:00.0,Start of 3rd quarter,67-46,,,3,67,46,21,1440.0
11:39.0,J. Butler makes 3-pt jump shot from 24 ft (assist by M. Strus),70-46, ,,3,70,46,24,1461.0
11:17.0, ,70-46,T. Harris misses 3-pt jump shot from 26 ft,,3,70,46,24,1483.0
11:14.0,Defensive rebound by B. Adebayo,70-46, ,,3,70,46,24,1486.0
11:06.0,Shooting foul by T. Harris (drawn by J. Butler),70-46, ,,3,70,46,24,1494.0
11:06.0,J. Butler makes free throw 1 of 2,71-46, ,,3,71,46,25,1494.0
11:06.0,J. Butler makes free throw 2 of 2,72-46, ,,3,72,46,26,1494.0
10:44.0, ,72-46,D. Melton misses 3-pt jump shot from 27 ft,,3,72,46,26,1516.0
10:41.0, ,72-46,Offensive rebound by T. Harris,,3,72,46,26,1519.0
10:40.0, ,72-48,T. Harris makes 2-pt jump shot from 10 ft,,3,72,48,24,1520.0
10:14.0,B. Adebayo misses 2-pt layup from 4 ft,72-48, ,,3,72,48,24,1546.0
10:10.0,Offensive rebound by B. Adebayo,72-48, ,,3,72,48,24,1550.0
10:08.0,B. Adebayo makes 2-pt layup at rim,74-48, ,,3,74,48,26,1552.0
10:08.0,C. Martin enters the game for M. Strus,74-48, ,,3,74,48,26,1552.0
9:49.0, ,74-51,J. Harden makes 3-pt jump shot from 24 ft (assist by T. Harris),,3,74,51,23,1571.0
9:29.0,J. Butler misses 3-pt jump shot from 25 ft,74-51, ,,3,74,51,23,1591.0
9:27.0, ,74-51,Defensive rebound by T. Harris,,3,74,51,23,1593.0
9:07.0, ,74-53,J. Embiid makes 2-pt jump shot from 16 ft (assist by D. Melton),,3,74,53,21,1613.0
8:49.0,C. Martin misses 3-pt jump shot from 24 ft,74-53, ,,3,74,53,21,1631.0
8:46.0, ,74-53,Defensive rebound by P. Tucker,,3,74,53,21,1634.0
8:34.0, ,74-53,Offensive foul by J. Harden (drawn by G. Vincent),,3,74,53,21,1646.0
8:34.0, ,74-53,Turnover by J. Harden (offensive foul),,3,74,53,21,1646.0
8:20.0,T. Herro misses 2-pt layup from 3 ft,74-53, ,,3,74,53,21,1660.0
8:19.0, ,74-53,Defensive rebound by D. Melton,,3,74,53,21,1661.0
8:00.0, ,74-56,J. Harden makes 3-pt jump shot from 25 ft (assist by J. Embiid),,3,74,56,18,1680.0
7:46.0,G. Vincent misses 2-pt jump shot from 5 ft (block by J. Embiid),74-56, ,,3,74,56,18,1694.0
7:46.0,Offensive rebound by B. Adebayo,74-56, ,,3,74,56,18,1694.0
7:46.0,M. Strus enters the game for C. Martin,74-56, ,,3,74,56,18,1694.0
7:42.0,B. Adebayo misses 2-pt jump shot from 16 ft,74-56, ,,3,74,56,18,1698.0
7:40.0, ,74-56,Defensive rebound by D. Melton,,3,74,56,18,1700.0
7:27.0, ,74-59,D. Melton makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,74,59,15,1713.0
7:26.0,Miami full timeout,74-59, ,,3,74,59,15,1714.0
7:26.0, ,74-59,D. House enters the game for D. Melton,,3,74,59,15,1714.0
7:04.0,J. Butler makes 2-pt jump shot from 16 ft (assist by G. Vincent),76-59, ,,3,76,59,17,1736.0
6:43.0, ,76-61,D. House makes 2-pt jump shot from 15 ft (assist by T. Harris),,3,76,61,15,1757.0
6:26.0,J. Butler makes 2-pt layup from 2 ft,78-61, ,,3,78,61,17,1774.0
