Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:38.0, ,38-33,J. Wall makes free throw 1 of 2,,2,38,33,5,862.0
9:38.0,T. Herro enters the game for D. Robinson,38-33, ,,2,38,33,5,862.0
9:38.0, ,38-34,J. Wall makes free throw 2 of 2,,2,38,34,4,862.0
9:29.0,G. Vincent misses 2-pt jump shot from 9 ft,38-34, ,,2,38,34,4,871.0
9:29.0, ,38-34,Defensive rebound by Team,,2,38,34,4,871.0
9:20.0, ,38-34,J. Wall misses 3-pt jump shot from 28 ft,,2,38,34,4,880.0
9:16.0,Defensive rebound by V. Oladipo,38-34, ,,2,38,34,4,884.0
9:07.0,B. Adebayo misses 2-pt jump shot from 8 ft,38-34, ,,2,38,34,4,893.0
9:03.0, ,38-34,Defensive rebound by I. Zubac,,2,38,34,4,897.0
8:58.0, ,38-37,N. Powell makes 3-pt jump shot from 24 ft (assist by J. Wall),,2,38,37,1,902.0
8:39.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by M. Strus),40-37, ,,2,40,37,3,921.0
8:24.0, ,40-40,N. Batum makes 3-pt jump shot from 26 ft (assist by N. Powell),Tie,2,40,40,0,936.0
8:11.0,T. Herro makes 3-pt jump shot from 29 ft (assist by B. Adebayo),43-40, ,,2,43,40,3,949.0
8:01.0, ,43-40,Personal foul by V. Oladipo (drawn by L. Kennard),,2,43,40,3,959.0
8:01.0, ,43-40,R. Jackson enters the game for J. Wall,,2,43,40,3,959.0
7:55.0, ,43-40,Turnover by N. Batum (bad pass),,2,43,40,3,965.0
7:39.0,Shooting foul by I. Zubac (drawn by B. Adebayo),43-40, ,,2,43,40,3,981.0
7:39.0,B. Adebayo makes free throw 1 of 2,44-40, ,,2,44,40,4,981.0
7:39.0,B. Adebayo makes free throw 2 of 2,45-40, ,,2,45,40,5,981.0
7:24.0, ,45-40,I. Zubac misses 2-pt hook shot from 8 ft,,2,45,40,5,996.0
7:23.0,Defensive rebound by B. Adebayo,45-40, ,,2,45,40,5,997.0
7:14.0,B. Adebayo makes 2-pt hook shot from 6 ft,47-40, ,,2,47,40,7,1006.0
7:13.0, ,47-40,LA Clippers full timeout,,2,47,40,7,1007.0
6:50.0, ,47-40,R. Jackson misses 3-pt jump shot from 29 ft,,2,47,40,7,1030.0
6:46.0,Defensive rebound by M. Strus,47-40, ,,2,47,40,7,1034.0
6:40.0,B. Adebayo misses 2-pt jump shot from 12 ft,47-40, ,,2,47,40,7,1040.0
6:36.0, ,47-40,Defensive rebound by N. Powell,,2,47,40,7,1044.0
6:32.0, ,47-40,R. Jackson misses 2-pt layup from 4 ft,,2,47,40,7,1048.0
6:30.0,Defensive rebound by V. Oladipo,47-40, ,,2,47,40,7,1050.0
6:23.0,V. Oladipo makes 2-pt layup from 2 ft,49-40, ,,2,49,40,9,1057.0
5:56.0, ,49-40,N. Powell misses 2-pt layup from 3 ft,,2,49,40,9,1084.0
5:53.0, ,49-40,Offensive rebound by I. Zubac,,2,49,40,9,1087.0
5:53.0, ,49-42,I. Zubac makes 2-pt layup at rim,,2,49,42,7,1087.0
5:37.0,Turnover by B. Adebayo (bad pass; steal by N. Powell),49-42, ,,2,49,42,7,1103.0
5:33.0, ,49-42,N. Powell misses 2-pt layup from 3 ft,,2,49,42,7,1107.0
5:31.0,Defensive rebound by B. Adebayo,49-42, ,,2,49,42,7,1109.0
5:20.0,Shooting foul by I. Zubac (drawn by B. Adebayo),49-42, ,,2,49,42,7,1120.0
5:20.0,B. Adebayo makes free throw 1 of 2,50-42, ,,2,50,42,8,1120.0
5:20.0,B. Adebayo makes free throw 2 of 2,51-42, ,,2,51,42,9,1120.0
5:20.0,J. Butler enters the game for V. Oladipo,51-42, ,,2,51,42,9,1120.0
5:20.0,K. Lowry enters the game for G. Vincent,51-42, ,,2,51,42,9,1120.0
5:20.0, ,51-42,P. George enters the game for N. Batum,,2,51,42,9,1120.0
5:20.0, ,51-42,T. Mann enters the game for L. Kennard,,2,51,42,9,1120.0
5:20.0, ,51-42,M. Morris enters the game for N. Powell,,2,51,42,9,1120.0
5:00.0, ,51-42,Turnover by M. Morris (bad pass),,2,51,42,9,1140.0
5:00.0,O. Robinson enters the game for B. Adebayo,51-42, ,,2,51,42,9,1140.0
