Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:40.0, ,78-80,P. George makes free throw 1 of 2,,3,78,80,-2,2060.0
1:40.0,M. Strus enters the game for J. Butler,78-80, ,,3,78,80,-2,2060.0
1:40.0, ,78-80,J. Wall enters the game for R. Jackson,,3,78,80,-2,2060.0
1:40.0, ,78-81,P. George makes free throw 2 of 2,,3,78,81,-3,2060.0
1:21.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),81-81, ,Tie,3,81,81,0,2079.0
1:03.0, ,81-81,M. Morris misses 3-pt jump shot from 27 ft,,3,81,81,0,2097.0
1:02.0,Defensive rebound by M. Strus,81-81, ,,3,81,81,0,2098.0
0:50.0,G. Vincent misses 3-pt jump shot from 27 ft,81-81, ,,3,81,81,0,2110.0
0:47.0, ,81-81,Defensive rebound by Team,,3,81,81,0,2113.0
0:47.0, ,81-81,L. Kennard enters the game for M. Morris,,3,81,81,0,2113.0
0:33.0, ,81-81,P. George misses 3-pt jump shot from 25 ft,,3,81,81,0,2127.0
0:28.0,Defensive rebound by M. Strus,81-81, ,,3,81,81,0,2132.0
0:17.0,T. Herro misses 2-pt jump shot from 6 ft,81-81, ,,3,81,81,0,2143.0
0:15.0, ,81-81,Defensive rebound by P. George,,3,81,81,0,2145.0
0:04.0, ,81-81,Shooting foul by G. Vincent (drawn by P. George),,3,81,81,0,2156.0
0:04.0, ,81-82,P. George makes free throw 1 of 2,,3,81,82,-1,2156.0
0:04.0, ,81-83,P. George makes free throw 2 of 2,,3,81,83,-2,2156.0
0:02.0,T. Herro misses 3-pt jump shot from 34 ft,81-83, ,,3,81,83,-2,2158.0
0:00.0,Offensive rebound by B. Adebayo,81-83, ,,3,81,83,-2,2160.0
0:00.0,B. Adebayo misses 2-pt layup from 11 ft,81-83, ,,3,81,83,-2,2160.0
0:00.0,Offensive rebound by Team,81-83, ,,3,81,83,-2,2160.0
0:00.0,End of 3rd quarter,81-83,,,3,81,83,-2,2160.0
12:00.0,Start of 4th quarter,81-83,,,4,81,83,-2,2160.0
11:53.0,Personal foul by N. Batum (drawn by G. Vincent),81-83, ,,4,81,83,-2,2167.0
11:44.0,M. Strus makes 3-pt jump shot from 26 ft (assist by V. Oladipo),84-83, ,Lead change,4,84,83,1,2176.0
11:26.0, ,84-83,N. Batum misses 2-pt jump shot from 19 ft,,4,84,83,1,2194.0
11:23.0,Defensive rebound by V. Oladipo,84-83, ,,4,84,83,1,2197.0
11:13.0,Turnover by M. Strus (bad pass; steal by N. Batum),84-83, ,,4,84,83,1,2207.0
10:55.0, ,84-83,N. Powell misses 3-pt jump shot from 23 ft,,4,84,83,1,2225.0
10:50.0,Defensive rebound by B. Adebayo,84-83, ,,4,84,83,1,2230.0
10:44.0,B. Adebayo misses 2-pt jump shot from 7 ft,84-83, ,,4,84,83,1,2236.0
10:42.0, ,84-83,Defensive rebound by N. Batum,,4,84,83,1,2238.0
10:36.0, ,84-83,N. Powell misses 3-pt jump shot from 23 ft,,4,84,83,1,2244.0
10:31.0,Defensive rebound by T. Herro,84-83, ,,4,84,83,1,2249.0
10:19.0,M. Strus misses 3-pt jump shot from 24 ft,84-83, ,,4,84,83,1,2261.0
10:18.0,Offensive rebound by Team,84-83, ,,4,84,83,1,2262.0
10:18.0, ,84-83,Loose ball foul by L. Kennard (drawn by B. Adebayo),,4,84,83,1,2262.0
10:10.0,V. Oladipo makes 2-pt jump shot from 11 ft,86-83, ,,4,86,83,3,2270.0
9:49.0, ,86-83,Turnover by J. Wall (lost ball; steal by V. Oladipo),,4,86,83,3,2291.0
9:46.0,G. Vincent makes 2-pt layup from 1 ft (assist by V. Oladipo),88-83, ,,4,88,83,5,2294.0
9:46.0, ,88-83,LA Clippers full timeout,,4,88,83,5,2294.0
9:41.0, ,88-83,Personal foul by G. Vincent (drawn by L. Kennard),,4,88,83,5,2299.0
9:32.0, ,88-83,Shooting foul by V. Oladipo (drawn by L. Kennard),,4,88,83,5,2308.0
9:32.0, ,88-84,L. Kennard makes free throw 1 of 2,,4,88,84,4,2308.0
9:32.0, ,88-85,L. Kennard makes free throw 2 of 2,,4,88,85,3,2308.0
9:20.0,V. Oladipo makes 2-pt layup from 3 ft,90-85, ,,4,90,85,5,2320.0
8:55.0, ,90-87,N. Batum makes 2-pt layup from 4 ft (assist by J. Wall),,4,90,87,3,2345.0
8:34.0,B. Adebayo makes 2-pt dunk at rim (assist by M. Strus),92-87, ,,4,92,87,5,2366.0
8:22.0, ,92-87,Shooting foul by V. Oladipo (drawn by N. Powell),,4,92,87,5,2378.0
8:22.0, ,92-88,N. Powell makes free throw 1 of 2,,4,92,88,4,2378.0
8:22.0, ,92-89,N. Powell makes free throw 2 of 2,,4,92,89,3,2378.0
8:06.0,M. Strus misses 2-pt layup from 4 ft,92-89, ,,4,92,89,3,2394.0
8:05.0,Offensive rebound by B. Adebayo,92-89, ,,4,92,89,3,2395.0
8:05.0,B. Adebayo makes 2-pt dunk at rim,94-89, ,,4,94,89,5,2395.0
8:05.0,Technical foul by B. Adebayo,94-89, ,,4,94,89,5,2395.0
8:05.0, ,94-90,L. Kennard makes technical free throw,,4,94,90,4,2395.0
7:53.0, ,94-90,Offensive foul by I. Zubac (drawn by V. Oladipo),,4,94,90,4,2407.0
7:53.0, ,94-90,Turnover by I. Zubac (offensive foul),,4,94,90,4,2407.0
7:33.0,Shooting foul by I. Zubac (drawn by M. Strus),94-90, ,,4,94,90,4,2427.0
7:33.0,M. Strus makes free throw 1 of 2,95-90, ,,4,95,90,5,2427.0
7:33.0,M. Strus makes free throw 2 of 2,96-90, ,,4,96,90,6,2427.0
7:20.0, ,96-90,N. Batum misses 3-pt jump shot from 24 ft,,4,96,90,6,2440.0
7:15.0,Defensive rebound by G. Vincent,96-90, ,,4,96,90,6,2445.0
7:10.0,T. Herro misses 3-pt jump shot from 26 ft,96-90, ,,4,96,90,6,2450.0
7:06.0, ,96-90,Defensive rebound by J. Wall,,4,96,90,6,2454.0
7:06.0,J. Butler enters the game for B. Adebayo,96-90, ,,4,96,90,6,2454.0
7:06.0,O. Robinson enters the game for G. Vincent,96-90, ,,4,96,90,6,2454.0
6:59.0, ,96-92,L. Kennard makes 2-pt jump shot from 14 ft,,4,96,92,4,2461.0
6:41.0,O. Robinson misses 2-pt layup from 3 ft,96-92, ,,4,96,92,4,2479.0
6:38.0, ,96-92,Defensive rebound by J. Wall,,4,96,92,4,2482.0
6:32.0, ,96-92,N. Batum misses 3-pt jump shot from 26 ft,,4,96,92,4,2488.0
6:28.0,Defensive rebound by M. Strus,96-92, ,,4,96,92,4,2492.0
6:10.0,M. Strus misses 3-pt jump shot from 27 ft,96-92, ,,4,96,92,4,2510.0
6:06.0, ,96-92,Defensive rebound by N. Powell,,4,96,92,4,2514.0
6:02.0, ,96-92,N. Powell misses 2-pt layup from 4 ft,,4,96,92,4,2518.0
6:01.0,Defensive rebound by O. Robinson,96-92, ,,4,96,92,4,2519.0
5:50.0,V. Oladipo misses 3-pt jump shot from 24 ft,96-92, ,,4,96,92,4,2530.0
5:47.0, ,96-92,Defensive rebound by N. Batum,,4,96,92,4,2533.0
5:40.0, ,96-95,L. Kennard makes 3-pt jump shot from 23 ft (assist by N. Batum),,4,96,95,1,2540.0
5:39.0,Miami full timeout,96-95, ,,4,96,95,1,2541.0
5:39.0,B. Adebayo enters the game for O. Robinson,96-95, ,,4,96,95,1,2541.0
5:39.0, ,96-95,P. George enters the game for I. Zubac,,4,96,95,1,2541.0
5:27.0,Shooting foul by N. Batum (drawn by J. Butler),96-95, ,,4,96,95,1,2553.0
5:27.0,J. Butler makes free throw 1 of 2,97-95, ,,4,97,95,2,2553.0
5:27.0,K. Lowry enters the game for M. Strus,97-95, ,,4,97,95,2,2553.0
5:27.0,J. Butler makes free throw 2 of 2,98-95, ,,4,98,95,3,2553.0
5:19.0, ,98-95,Turnover by P. George (bad pass),,4,98,95,3,2561.0
4:54.0,V. Oladipo misses 2-pt jump shot from 18 ft,98-95, ,,4,98,95,3,2586.0
4:50.0, ,98-95,Defensive rebound by N. Batum,,4,98,95,3,2590.0
4:43.0, ,98-95,Turnover by J. Wall (lost ball; steal by J. Butler),,4,98,95,3,2597.0
4:28.0,T. Herro makes 3-pt jump shot from 28 ft (assist by J. Butler),101-95, ,,4,101,95,6,2612.0
3:59.0, ,101-95,N. Batum misses 3-pt jump shot from 24 ft,,4,101,95,6,2641.0
3:56.0,Defensive rebound by V. Oladipo,101-95, ,,4,101,95,6,2644.0
3:40.0,J. Butler misses 2-pt hook shot from 7 ft,101-95, ,,4,101,95,6,2660.0
3:40.0,Offensive rebound by B. Adebayo,101-95, ,,4,101,95,6,2660.0
3:40.0,B. Adebayo makes 2-pt dunk at rim,103-95, ,,4,103,95,8,2660.0
3:40.0, ,103-95,LA Clippers full timeout,,4,103,95,8,2660.0
3:40.0, ,103-95,R. Jackson enters the game for L. Kennard,,4,103,95,8,2660.0
3:40.0, ,103-95,M. Morris enters the game for J. Wall,,4,103,95,8,2660.0
3:26.0, ,103-97,P. George makes 2-pt jump shot from 13 ft (assist by R. Jackson),,4,103,97,6,2674.0
3:06.0, ,103-97,LA Clippers full timeout,,4,103,97,6,2694.0
3:06.0, ,103-97,Instant Replay (Challenge: Stands),,4,103,97,6,2694.0
3:01.0,J. Butler misses 2-pt jump shot from 11 ft,103-97, ,,4,103,97,6,2699.0
2:57.0,Offensive rebound by J. Butler,103-97, ,,4,103,97,6,2703.0
2:50.0,B. Adebayo misses 2-pt dunk from 4 ft,103-97, ,,4,103,97,6,2710.0
2:50.0,Offensive rebound by B. Adebayo,103-97, ,,4,103,97,6,2710.0
2:50.0,Shooting foul by P. George (drawn by B. Adebayo),103-97, ,,4,103,97,6,2710.0
2:50.0,B. Adebayo makes free throw 1 of 2,104-97, ,,4,104,97,7,2710.0
2:50.0,B. Adebayo misses free throw 2 of 2,104-97, ,,4,104,97,7,2710.0
2:48.0, ,104-97,Defensive rebound by M. Morris,,4,104,97,7,2712.0
2:27.0, ,104-97,R. Jackson misses 2-pt jump shot from 24 ft,,4,104,97,7,2733.0
2:25.0,Defensive rebound by T. Herro,104-97, ,,4,104,97,7,2735.0
2:10.0,V. Oladipo misses 3-pt jump shot from 27 ft,104-97, ,,4,104,97,7,2750.0
2:07.0, ,104-97,Defensive rebound by R. Jackson,,4,104,97,7,2753.0
2:03.0, ,104-97,Offensive foul by N. Powell (drawn by V. Oladipo),,4,104,97,7,2757.0
2:03.0, ,104-97,Turnover by N. Powell (offensive foul),,4,104,97,7,2757.0
2:03.0, ,104-97,I. Zubac enters the game for N. Batum,,4,104,97,7,2757.0
1:45.0,T. Herro makes 2-pt jump shot from 16 ft,106-97, ,,4,106,97,9,2775.0
1:31.0, ,106-97,Shooting foul by T. Herro (drawn by N. Powell),,4,106,97,9,2789.0
1:31.0, ,106-98,N. Powell makes free throw 1 of 2,,4,106,98,8,2789.0
1:31.0, ,106-99,N. Powell makes free throw 2 of 2,,4,106,99,7,2789.0
1:16.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),108-99, ,,4,108,99,9,2804.0
1:07.0, ,108-99,Personal foul by V. Oladipo (drawn by P. George),,4,108,99,9,2813.0
1:07.0, ,108-100,P. George makes free throw 1 of 2,,4,108,100,8,2813.0
1:07.0, ,108-100,P. George misses free throw 2 of 2,,4,108,100,8,2813.0
1:04.0,Defensive rebound by T. Herro,108-100, ,,4,108,100,8,2816.0
0:53.0,Shooting foul by M. Morris (drawn by T. Herro),108-100, ,,4,108,100,8,2827.0
0:53.0,T. Herro makes free throw 1 of 2,109-100, ,,4,109,100,9,2827.0
0:53.0, ,109-100,T. Mann enters the game for P. George,,4,109,100,9,2827.0
0:53.0,T. Herro makes free throw 2 of 2,110-100, ,,4,110,100,10,2827.0
0:47.0, ,110-100,N. Powell misses 3-pt jump shot from 29 ft,,4,110,100,10,2833.0
0:43.0,Defensive rebound by J. Butler,110-100, ,,4,110,100,10,2837.0
0:21.0,K. Lowry misses 3-pt jump shot from 25 ft,110-100, ,,4,110,100,10,2859.0
0:17.0, ,110-100,Defensive rebound by T. Mann,,4,110,100,10,2863.0
0:00.0,End of 4th quarter,110-100,,,4,110,100,10,2880.0
