Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:19.0,C. Martin misses 3-pt jump shot from 23 ft,39-34, ,,2,39,34,5,881.0
9:16.0, ,39-34,Defensive rebound by N. Reid,,2,39,34,5,884.0
9:08.0, ,39-36,N. Reid makes 2-pt layup from 2 ft (assist by J. McLaughlin),,2,39,36,3,892.0
8:49.0,Personal foul by T. Prince (drawn by K. Lowry),39-36, ,,2,39,36,3,911.0
8:49.0,Instant Replay,39-36, ,,2,39,36,3,911.0
8:49.0,B. Adebayo enters the game for D. Dedmon,39-36, ,,2,39,36,3,911.0
8:49.0,M. Strus enters the game for K. Lowry,39-36, ,,2,39,36,3,911.0
8:49.0, ,39-36,A. Edwards enters the game for J. McLaughlin,,2,39,36,3,911.0
8:49.0, ,39-36,D. Russell enters the game for J. Nowell,,2,39,36,3,911.0
8:43.0,M. Strus misses 3-pt jump shot from 25 ft,39-36, ,,2,39,36,3,917.0
8:40.0, ,39-36,Defensive rebound by N. Reid,,2,39,36,3,920.0
8:34.0, ,39-36,Offensive foul by T. Prince (drawn by M. Strus),,2,39,36,3,926.0
8:34.0, ,39-36,Turnover by T. Prince (offensive foul),,2,39,36,3,926.0
8:24.0,B. Adebayo misses 2-pt jump shot from 10 ft,39-36, ,,2,39,36,3,936.0
8:21.0, ,39-36,Defensive rebound by R. Gobert,,2,39,36,3,939.0
8:14.0, ,39-36,D. Russell misses 3-pt jump shot from 25 ft,,2,39,36,3,946.0
8:11.0,Defensive rebound by C. Martin,39-36, ,,2,39,36,3,949.0
8:05.0,N. Jović misses 3-pt jump shot from 25 ft,39-36, ,,2,39,36,3,955.0
8:03.0,Offensive rebound by Team,39-36, ,,2,39,36,3,957.0
8:03.0, ,39-36,J. McDaniels enters the game for T. Prince,,2,39,36,3,957.0
7:48.0,N. Jović misses 3-pt jump shot from 26 ft,39-36, ,,2,39,36,3,972.0
7:44.0, ,39-36,Defensive rebound by R. Gobert,,2,39,36,3,976.0
7:37.0, ,39-38,N. Reid makes 2-pt layup at rim (assist by D. Russell),,2,39,38,1,983.0
7:19.0,N. Jović misses 3-pt jump shot from 25 ft,39-38, ,,2,39,38,1,1001.0
7:16.0, ,39-38,Defensive rebound by J. McDaniels,,2,39,38,1,1004.0
7:08.0, ,39-38,J. McDaniels misses 2-pt layup from 1 ft,,2,39,38,1,1012.0
7:07.0,Defensive rebound by N. Jović,39-38, ,,2,39,38,1,1013.0
7:03.0,M. Strus makes 3-pt jump shot from 25 ft (assist by N. Jović),42-38, ,,2,42,38,4,1017.0
6:48.0, ,42-38,J. McDaniels misses 3-pt jump shot from 23 ft,,2,42,38,4,1032.0
6:44.0,Defensive rebound by B. Adebayo,42-38, ,,2,42,38,4,1036.0
6:40.0,M. Strus makes 3-pt jump shot from 26 ft (assist by N. Jović),45-38, ,,2,45,38,7,1040.0
6:39.0, ,45-38,Minnesota full timeout,,2,45,38,7,1041.0
6:39.0, ,45-38,K. Towns enters the game for R. Gobert,,2,45,38,7,1041.0
6:25.0, ,45-38,D. Russell misses 3-pt jump shot from 25 ft,,2,45,38,7,1055.0
6:19.0, ,45-38,Offensive rebound by K. Towns,,2,45,38,7,1061.0
6:19.0, ,45-38,Personal foul by H. Highsmith (drawn by J. McDaniels),,2,45,38,7,1061.0
6:02.0, ,45-38,N. Reid misses 2-pt layup from 1 ft,,2,45,38,7,1078.0
5:58.0,Defensive rebound by N. Jović,45-38, ,,2,45,38,7,1082.0
5:39.0,H. Highsmith makes 3-pt jump shot from 22 ft (assist by B. Adebayo),48-38, ,,2,48,38,10,1101.0
5:23.0, ,48-38,N. Reid misses 2-pt jump shot from 13 ft (block by B. Adebayo),,2,48,38,10,1117.0
5:21.0,Defensive rebound by B. Adebayo,48-38, ,,2,48,38,10,1119.0
5:11.0,Shooting foul by N. Reid (drawn by B. Adebayo),48-38, ,,2,48,38,10,1129.0
5:11.0,B. Adebayo misses free throw 1 of 2,48-38, ,,2,48,38,10,1129.0
5:11.0,Offensive rebound by Team,48-38, ,,2,48,38,10,1129.0
5:11.0,K. Lowry enters the game for N. Jović,48-38, ,,2,48,38,10,1129.0
5:11.0,B. Adebayo makes free throw 2 of 2,49-38, ,,2,49,38,11,1129.0
5:03.0, ,49-38,Def 3 sec tech foul by Team,,2,49,38,11,1137.0
5:03.0, ,49-39,D. Russell makes technical free throw,,2,49,39,10,1137.0
4:59.0, ,49-39,J. McDaniels misses 3-pt jump shot from 25 ft,,2,49,39,10,1141.0
4:57.0,Defensive rebound by Team,49-39, ,,2,49,39,10,1143.0
4:39.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),52-39, ,,2,52,39,13,1161.0
4:23.0, ,52-39,K. Towns misses 3-pt jump shot from 26 ft,,2,52,39,13,1177.0
4:20.0,Defensive rebound by B. Adebayo,52-39, ,,2,52,39,13,1180.0
4:18.0,Shooting foul by D. Russell (drawn by H. Highsmith),52-39, ,,2,52,39,13,1182.0
4:18.0,H. Highsmith makes free throw 1 of 2,53-39, ,,2,53,39,14,1182.0
4:18.0, ,53-39,R. Gobert enters the game for J. McDaniels,,2,53,39,14,1182.0
4:18.0, ,53-39,T. Prince enters the game for N. Reid,,2,53,39,14,1182.0
4:18.0,H. Highsmith makes free throw 2 of 2,54-39, ,,2,54,39,15,1182.0
4:11.0, ,54-39,Shooting foul by H. Highsmith (drawn by K. Towns),,2,54,39,15,1189.0
4:11.0, ,54-40,K. Towns makes free throw 1 of 2,,2,54,40,14,1189.0
4:11.0,J. Cain enters the game for H. Highsmith,54-40, ,,2,54,40,14,1189.0
4:11.0, ,54-40,B. Forbes enters the game for D. Russell,,2,54,40,14,1189.0
4:11.0, ,54-41,K. Towns makes free throw 2 of 2,,2,54,41,13,1189.0
3:56.0,B. Adebayo misses 2-pt jump shot from 12 ft,54-41, ,,2,54,41,13,1204.0
3:53.0, ,54-41,Defensive rebound by K. Towns,,2,54,41,13,1207.0
3:48.0, ,54-41,A. Edwards misses 3-pt jump shot from 26 ft,,2,54,41,13,1212.0
3:46.0,Defensive rebound by Team,54-41, ,,2,54,41,13,1214.0
3:46.0, ,54-41,Loose ball foul by R. Gobert (drawn by B. Adebayo),,2,54,41,13,1214.0
3:31.0,M. Strus misses 3-pt jump shot from 25 ft,54-41, ,,2,54,41,13,1229.0
3:28.0, ,54-41,Defensive rebound by A. Edwards,,2,54,41,13,1232.0
3:20.0, ,54-41,A. Edwards misses 2-pt jump shot from 7 ft,,2,54,41,13,1240.0
3:18.0,Defensive rebound by J. Cain,54-41, ,,2,54,41,13,1242.0
3:11.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by C. Martin),56-41, ,,2,56,41,15,1249.0
2:55.0, ,56-41,Turnover by T. Prince (bad pass; steal by C. Martin),,2,56,41,15,1265.0
2:50.0,K. Lowry misses 3-pt jump shot from 26 ft,56-41, ,,2,56,41,15,1270.0
2:45.0, ,56-41,Defensive rebound by T. Prince,,2,56,41,15,1275.0
2:34.0, ,56-41,K. Towns misses 3-pt jump shot from 26 ft,,2,56,41,15,1286.0
2:30.0,Defensive rebound by C. Martin,56-41, ,,2,56,41,15,1290.0
2:17.0,Turnover by B. Adebayo (palming),56-41, ,,2,56,41,15,1303.0
2:17.0,Miami full timeout,56-41, ,,2,56,41,15,1303.0
2:06.0,Loose ball foul by K. Lowry (drawn by R. Gobert),56-41, ,,2,56,41,15,1314.0
1:51.0, ,56-41,Turnover by A. Edwards (lost ball; steal by J. Cain),,2,56,41,15,1329.0
1:45.0,M. Strus misses 3-pt jump shot from 25 ft,56-41, ,,2,56,41,15,1335.0
1:44.0, ,56-41,Defensive rebound by Team,,2,56,41,15,1336.0
1:31.0,Violation by Team (kicked ball),56-41, ,,2,56,41,15,1349.0
1:28.0, ,56-41,Personal foul by B. Adebayo (drawn by T. Prince),,2,56,41,15,1352.0
1:26.0, ,56-41,B. Forbes misses 3-pt jump shot from 26 ft (block by C. Martin),,2,56,41,15,1354.0
1:22.0,Defensive rebound by M. Strus,56-41, ,,2,56,41,15,1358.0
1:06.0,Turnover by K. Lowry (bad pass; steal by R. Gobert),56-41, ,,2,56,41,15,1374.0
0:59.0, ,56-43,K. Towns makes 2-pt layup from 1 ft (assist by T. Prince),,2,56,43,13,1381.0
0:46.0,M. Strus misses 2-pt layup from 2 ft,56-43, ,,2,56,43,13,1394.0
0:44.0, ,56-43,Defensive rebound by R. Gobert,,2,56,43,13,1396.0
0:36.0, ,56-43,Shooting foul by B. Adebayo (drawn by K. Towns),,2,56,43,13,1404.0
0:36.0, ,56-44,K. Towns makes free throw 1 of 2,,2,56,44,12,1404.0
0:36.0,N. Jović enters the game for B. Adebayo,56-44, ,,2,56,44,12,1404.0
