Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:58.0,K. Lowry misses 2-pt layup at rim,8-10, ,,1,8,10,-2,242.0
7:57.0, ,8-10,Defensive rebound by O. Okongwu,,1,8,10,-2,243.0
7:47.0, ,8-10,T. Young misses 3-pt jump shot from 23 ft,,1,8,10,-2,253.0
7:44.0,Defensive rebound by C. Martin,8-10, ,,1,8,10,-2,256.0
7:26.0,B. Adebayo misses 2-pt layup from 4 ft (block by O. Okongwu),8-10, ,,1,8,10,-2,274.0
7:22.0,Offensive rebound by B. Adebayo,8-10, ,,1,8,10,-2,278.0
7:21.0,T. Herro misses 3-pt jump shot from 27 ft,8-10, ,,1,8,10,-2,279.0
7:18.0, ,8-10,Defensive rebound by J. Collins,,1,8,10,-2,282.0
7:14.0, ,8-12,D. Murray makes 2-pt layup from 1 ft,,1,8,12,-4,286.0
7:05.0,Miami full timeout,8-12, ,,1,8,12,-4,295.0
6:54.0,M. Strus makes 3-pt jump shot from 25 ft (assist by T. Herro),11-12, ,,1,11,12,-1,306.0
6:39.0, ,11-12,D. Murray misses 2-pt jump shot from 19 ft,,1,11,12,-1,321.0
6:36.0,Defensive rebound by M. Strus,11-12, ,,1,11,12,-1,324.0
6:34.0,Turnover by M. Strus (bad pass; steal by D. Hunter),11-12, ,,1,11,12,-1,326.0
6:23.0, ,11-14,T. Young makes 2-pt jump shot from 13 ft,,1,11,14,-3,337.0
6:01.0,C. Martin misses 3-pt jump shot from 23 ft,11-14, ,,1,11,14,-3,359.0
5:57.0, ,11-14,Defensive rebound by J. Collins,,1,11,14,-3,363.0
5:57.0,D. Smith enters the game for K. Lowry,11-14, ,,1,11,14,-3,363.0
5:36.0, ,11-14,T. Young misses 2-pt jump shot from 16 ft (block by D. Smith),,1,11,14,-3,384.0
5:35.0, ,11-14,Offensive rebound by Team,,1,11,14,-3,385.0
5:35.0, ,11-14,Turnover by Team (shot clock),,1,11,14,-3,385.0
5:22.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Herro),13-14, ,,1,13,14,-1,398.0
5:07.0, ,13-17,D. Murray makes 3-pt jump shot from 26 ft (assist by J. Collins),,1,13,17,-4,413.0
4:53.0,Turnover by T. Herro (discontinued dribble),13-17, ,,1,13,17,-4,427.0
4:53.0,H. Highsmith enters the game for M. Strus,13-17, ,,1,13,17,-4,427.0
4:53.0, ,13-17,A. Griffin enters the game for D. Murray,,1,13,17,-4,427.0
4:31.0, ,13-19,D. Hunter makes 2-pt jump shot from 15 ft (assist by T. Young),,1,13,19,-6,449.0
4:15.0,T. Herro misses 2-pt jump shot from 12 ft (block by O. Okongwu),13-19, ,,1,13,19,-6,465.0
4:11.0,Offensive rebound by T. Herro,13-19, ,,1,13,19,-6,469.0
4:08.0,T. Herro misses 3-pt jump shot from 23 ft,13-19, ,,1,13,19,-6,472.0
4:06.0, ,13-19,Defensive rebound by D. Hunter,,1,13,19,-6,474.0
4:00.0, ,13-22,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),,1,13,22,-9,480.0
3:36.0,B. Adebayo makes 2-pt jump shot from 10 ft,15-22, ,,1,15,22,-7,504.0
3:16.0, ,15-25,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),,1,15,25,-10,524.0
3:04.0,Shooting foul by O. Okongwu (drawn by B. Adebayo),15-25, ,,1,15,25,-10,536.0
3:04.0,B. Adebayo makes free throw 1 of 2,16-25, ,,1,16,25,-9,536.0
3:04.0,M. Strus enters the game for T. Herro,16-25, ,,1,16,25,-9,536.0
3:04.0, ,16-25,T. Forrest enters the game for D. Hunter,,1,16,25,-9,536.0
3:04.0,B. Adebayo makes free throw 2 of 2,17-25, ,,1,17,25,-8,536.0
2:39.0, ,17-25,A. Griffin misses 2-pt jump shot from 16 ft (block by B. Adebayo),,1,17,25,-8,561.0
2:35.0,Defensive rebound by H. Highsmith,17-25, ,,1,17,25,-8,565.0
2:30.0,B. Adebayo misses 2-pt jump shot from 12 ft,17-25, ,,1,17,25,-8,570.0
2:25.0, ,17-25,Defensive rebound by J. Collins,,1,17,25,-8,575.0
2:21.0, ,17-25,J. Collins misses 3-pt jump shot from 25 ft,,1,17,25,-8,579.0
2:18.0,Defensive rebound by B. Adebayo,17-25, ,,1,17,25,-8,582.0
2:07.0,M. Strus makes 2-pt layup from 3 ft,19-25, ,,1,19,25,-6,593.0
2:07.0, ,19-25,Violation by Team (def goaltending),,1,19,25,-6,593.0
2:07.0, ,19-25,Atlanta full timeout,,1,19,25,-6,593.0
2:07.0,J. Cain enters the game for B. Adebayo,19-25, ,,1,19,25,-6,593.0
2:07.0,D. Dedmon enters the game for C. Martin,19-25, ,,1,19,25,-6,593.0
2:07.0, ,19-25,J. Johnson enters the game for J. Collins,,1,19,25,-6,593.0
2:07.0, ,19-25,F. Kaminsky enters the game for O. Okongwu,,1,19,25,-6,593.0
1:49.0, ,19-25,A. Griffin misses 2-pt jump shot from 17 ft (block by H. Highsmith),,1,19,25,-6,611.0
1:45.0,Defensive rebound by D. Dedmon,19-25, ,,1,19,25,-6,615.0
1:44.0,Turnover by D. Dedmon (bad pass; steal by T. Young),19-25, ,,1,19,25,-6,616.0
1:41.0, ,19-27,T. Young makes 2-pt layup from 1 ft,,1,19,27,-8,619.0
1:25.0,M. Strus misses 3-pt jump shot from 25 ft,19-27, ,,1,19,27,-8,635.0
1:22.0, ,19-27,Defensive rebound by J. Johnson,,1,19,27,-8,638.0
1:15.0, ,19-27,Shooting foul by D. Dedmon (drawn by T. Young),,1,19,27,-8,645.0
1:15.0, ,19-28,T. Young makes free throw 1 of 2,,1,19,28,-9,645.0
1:15.0, ,19-29,T. Young makes free throw 2 of 2,,1,19,29,-10,645.0
0:56.0,D. Smith misses 2-pt jump shot from 12 ft,19-29, ,,1,19,29,-10,664.0
0:53.0, ,19-29,Defensive rebound by A. Griffin,,1,19,29,-10,667.0
0:47.0, ,19-29,A. Griffin misses 3-pt jump shot from 25 ft,,1,19,29,-10,673.0
0:44.0,Defensive rebound by M. Strus,19-29, ,,1,19,29,-10,676.0
0:34.0,D. Dedmon makes 2-pt jump shot from 20 ft,21-29, ,,1,21,29,-8,686.0
0:29.0, ,21-29,Shooting foul by J. Cain (drawn by T. Young),,1,21,29,-8,691.0
0:29.0, ,21-30,T. Young makes free throw 1 of 2,,1,21,30,-9,691.0
0:29.0,K. Lowry enters the game for J. Cain,21-30, ,,1,21,30,-9,691.0
0:29.0, ,21-31,T. Young makes free throw 2 of 2,,1,21,31,-10,691.0
0:10.0,D. Smith makes 2-pt jump shot from 12 ft,23-31, ,,1,23,31,-8,710.0
0:01.0, ,23-31,F. Kaminsky misses 3-pt jump shot from 26 ft,,1,23,31,-8,719.0
0:00.0,Defensive rebound by Team,23-31, ,,1,23,31,-8,720.0
0:00.0,End of 1st quarter,23-31,,,1,23,31,-8,720.0
12:00.0,Start of 2nd quarter,23-31,,,2,23,31,-8,720.0
11:43.0,M. Strus makes 3-pt jump shot from 24 ft (assist by H. Highsmith),26-31, ,,2,26,31,-5,737.0
11:27.0, ,26-31,Def 3 sec tech foul by Team,,2,26,31,-5,753.0
11:27.0, ,26-32,D. Murray makes technical free throw,,2,26,32,-6,753.0
11:14.0, ,26-32,Turnover by D. Murray (bad pass; steal by H. Highsmith),,2,26,32,-6,766.0
11:03.0,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Lowry),28-32, ,,2,28,32,-4,777.0
11:03.0,Shooting foul by F. Kaminsky (drawn by D. Dedmon),28-32, ,,2,28,32,-4,777.0
11:03.0,D. Dedmon misses free throw 1 of 1,28-32, ,,2,28,32,-4,777.0
10:59.0,Offensive rebound by H. Highsmith,28-32, ,,2,28,32,-4,781.0
10:54.0,Shooting foul by J. Johnson (drawn by K. Lowry),28-32, ,,2,28,32,-4,786.0
10:54.0,K. Lowry makes free throw 1 of 2,29-32, ,,2,29,32,-3,786.0
10:54.0,K. Lowry makes free throw 2 of 2,30-32, ,,2,30,32,-2,786.0
10:37.0, ,30-32,D. Murray misses 2-pt jump shot from 12 ft,,2,30,32,-2,803.0
10:34.0,Defensive rebound by D. Smith,30-32, ,,2,30,32,-2,806.0
10:28.0,M. Strus misses 3-pt jump shot from 26 ft,30-32, ,,2,30,32,-2,812.0
10:24.0, ,30-32,Defensive rebound by D. Murray,,2,30,32,-2,816.0
10:17.0, ,30-35,A. Griffin makes 3-pt jump shot from 24 ft (assist by T. Forrest),,2,30,35,-5,823.0
9:52.0,Turnover by K. Lowry (bad pass; steal by D. Murray),30-35, ,,2,30,35,-5,848.0
9:50.0, ,30-37,D. Murray makes 2-pt layup from 1 ft,,2,30,37,-7,850.0
9:29.0,M. Strus misses 3-pt jump shot from 26 ft,30-37, ,,2,30,37,-7,871.0
9:26.0, ,30-37,Defensive rebound by J. Johnson,,2,30,37,-7,874.0
9:19.0, ,30-39,A. Griffin makes 2-pt jump shot from 19 ft (assist by J. Johnson),,2,30,39,-9,881.0
9:19.0,Miami full timeout,30-39, ,,2,30,39,-9,881.0
9:19.0,T. Herro enters the game for H. Highsmith,30-39, ,,2,30,39,-9,881.0
9:19.0,C. Martin enters the game for D. Smith,30-39, ,,2,30,39,-9,881.0
9:05.0,K. Lowry misses 3-pt jump shot from 26 ft,30-39, ,,2,30,39,-9,895.0
9:00.0, ,30-39,Defensive rebound by F. Kaminsky,,2,30,39,-9,900.0
8:52.0, ,30-39,A. Griffin misses 3-pt jump shot from 25 ft,,2,30,39,-9,908.0
8:50.0,Defensive rebound by C. Martin,30-39, ,,2,30,39,-9,910.0
8:46.0,C. Martin misses 2-pt layup from 1 ft,30-39, ,,2,30,39,-9,914.0
8:44.0, ,30-39,Defensive rebound by F. Kaminsky,,2,30,39,-9,916.0
8:38.0, ,30-39,D. Murray misses 3-pt jump shot from 25 ft,,2,30,39,-9,922.0
8:34.0,Defensive rebound by C. Martin,30-39, ,,2,30,39,-9,926.0
8:24.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by T. Herro),33-39, ,,2,33,39,-6,936.0
8:06.0, ,33-42,A. Griffin makes 3-pt jump shot from 25 ft,,2,33,42,-9,954.0
7:41.0,Turnover by T. Herro (out of bounds lost ball),33-42, ,,2,33,42,-9,979.0
7:41.0,B. Adebayo enters the game for D. Dedmon,33-42, ,,2,33,42,-9,979.0
7:41.0,H. Highsmith enters the game for M. Strus,33-42, ,,2,33,42,-9,979.0
7:41.0, ,33-42,D. Hunter enters the game for T. Forrest,,2,33,42,-9,979.0
7:41.0, ,33-42,O. Okongwu enters the game for F. Kaminsky,,2,33,42,-9,979.0
7:27.0, ,33-42,O. Okongwu misses 2-pt hook shot from 3 ft,,2,33,42,-9,993.0
7:24.0,Defensive rebound by B. Adebayo,33-42, ,,2,33,42,-9,996.0
7:14.0,Turnover by C. Martin (lost ball; steal by A. Griffin),33-42, ,,2,33,42,-9,1006.0
7:09.0, ,33-42,Turnover by J. Johnson (bad pass),,2,33,42,-9,1011.0
6:49.0,Shooting foul by J. Johnson (drawn by K. Lowry),33-42, ,,2,33,42,-9,1031.0
6:49.0,K. Lowry makes free throw 1 of 2,34-42, ,,2,34,42,-8,1031.0
6:49.0, ,34-42,J. Collins enters the game for A. Griffin,,2,34,42,-8,1031.0
6:49.0, ,34-42,T. Young enters the game for J. Johnson,,2,34,42,-8,1031.0
6:49.0,K. Lowry makes free throw 2 of 2,35-42, ,,2,35,42,-7,1031.0
6:30.0, ,35-44,D. Hunter makes 2-pt jump shot from 15 ft,,2,35,44,-9,1050.0
6:08.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),37-44, ,,2,37,44,-7,1072.0
6:00.0, ,37-44,D. Hunter misses 2-pt jump shot from 9 ft,,2,37,44,-7,1080.0
5:59.0, ,37-44,Offensive rebound by Team,,2,37,44,-7,1081.0
5:59.0,Loose ball foul by T. Herro (drawn by D. Hunter),37-44, ,,2,37,44,-7,1081.0
5:51.0, ,37-44,J. Collins misses 2-pt jump shot from 8 ft,,2,37,44,-7,1089.0
5:48.0,Defensive rebound by T. Herro,37-44, ,,2,37,44,-7,1092.0
5:37.0,T. Herro makes 2-pt jump shot from 21 ft (assist by B. Adebayo),39-44, ,,2,39,44,-5,1103.0
5:29.0, ,39-46,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,2,39,46,-7,1111.0
5:14.0,T. Herro misses 2-pt jump shot from 11 ft,39-46, ,,2,39,46,-7,1126.0
5:11.0, ,39-46,Defensive rebound by J. Collins,,2,39,46,-7,1129.0
4:55.0, ,39-48,J. Collins makes 2-pt jump shot from 6 ft (assist by D. Murray),,2,39,48,-9,1145.0
4:35.0,B. Adebayo makes 2-pt hook shot from 4 ft,41-48, ,,2,41,48,-7,1165.0
4:23.0, ,41-50,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,2,41,50,-9,1177.0
4:09.0,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),43-50, ,,2,43,50,-7,1191.0
4:03.0, ,43-50,Personal foul by H. Highsmith (drawn by T. Young),,2,43,50,-7,1197.0
4:03.0,M. Strus enters the game for H. Highsmith,43-50, ,,2,43,50,-7,1197.0
3:50.0, ,43-50,D. Hunter misses 3-pt jump shot from 25 ft,,2,43,50,-7,1210.0
3:46.0, ,43-50,Offensive rebound by T. Young,,2,43,50,-7,1214.0
3:45.0, ,43-50,Turnover by T. Young (bad pass; steal by T. Herro),,2,43,50,-7,1215.0
3:39.0,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),45-50, ,,2,45,50,-5,1221.0
3:31.0, ,45-50,Atlanta full timeout,,2,45,50,-5,1229.0
3:16.0, ,45-50,T. Young misses 3-pt jump shot from 26 ft,,2,45,50,-5,1244.0
3:11.0, ,45-50,Offensive rebound by O. Okongwu,,2,45,50,-5,1249.0
3:11.0, ,45-52,O. Okongwu makes 2-pt dunk at rim,,2,45,52,-7,1249.0
2:52.0,M. Strus misses 2-pt layup from 1 ft,45-52, ,,2,45,52,-7,1268.0
2:49.0, ,45-52,Defensive rebound by T. Young,,2,45,52,-7,1271.0
2:42.0, ,45-52,Shooting foul by T. Herro (drawn by T. Young),,2,45,52,-7,1278.0
2:42.0, ,45-53,T. Young makes free throw 1 of 2,,2,45,53,-8,1278.0
2:42.0, ,45-54,T. Young makes free throw 2 of 2,,2,45,54,-9,1278.0
2:33.0,B. Adebayo misses 2-pt jump shot from 12 ft,45-54, ,,2,45,54,-9,1287.0
2:30.0, ,45-54,Defensive rebound by J. Collins,,2,45,54,-9,1290.0
2:19.0, ,45-56,J. Collins makes 2-pt jump shot from 10 ft (assist by T. Young),,2,45,56,-11,1301.0
2:01.0,Shooting foul by D. Hunter (drawn by T. Herro),45-56, ,,2,45,56,-11,1319.0
2:01.0,T. Herro makes free throw 1 of 2,46-56, ,,2,46,56,-10,1319.0
2:01.0,T. Herro makes free throw 2 of 2,47-56, ,,2,47,56,-9,1319.0
1:44.0, ,47-56,T. Young misses 2-pt layup from 5 ft,,2,47,56,-9,1336.0
1:41.0,Defensive rebound by T. Herro,47-56, ,,2,47,56,-9,1339.0
1:37.0,K. Lowry makes 2-pt layup from 2 ft (assist by T. Herro),49-56, ,,2,49,56,-7,1343.0
1:18.0, ,49-56,D. Hunter misses 2-pt jump shot from 11 ft,,2,49,56,-7,1362.0
1:17.0,Defensive rebound by Team,49-56, ,,2,49,56,-7,1363.0
1:11.0,T. Herro makes 2-pt layup from 2 ft,51-56, ,,2,51,56,-5,1369.0
1:00.0, ,51-56,J. Collins misses 3-pt jump shot from 25 ft,,2,51,56,-5,1380.0
0:57.0,Defensive rebound by B. Adebayo,51-56, ,,2,51,56,-5,1383.0
0:51.0,K. Lowry misses 3-pt jump shot from 26 ft,51-56, ,,2,51,56,-5,1389.0
0:47.0, ,51-56,Defensive rebound by T. Young,,2,51,56,-5,1393.0
0:38.0, ,51-58,D. Hunter makes 2-pt jump shot from 8 ft (assist by T. Young),,2,51,58,-7,1402.0
0:30.0,B. Adebayo misses 2-pt layup from 5 ft,51-58, ,,2,51,58,-7,1410.0
0:27.0, ,51-58,Defensive rebound by Team,,2,51,58,-7,1413.0
0:27.0,Loose ball foul by M. Strus (drawn by D. Hunter),51-58, ,,2,51,58,-7,1413.0
0:07.0, ,51-60,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,2,51,60,-9,1433.0
0:03.0,T. Herro misses 3-pt jump shot from 28 ft,51-60, ,,2,51,60,-9,1437.0
0:00.0, ,51-60,Defensive rebound by J. Collins,,2,51,60,-9,1440.0
0:00.0,End of 2nd quarter,51-60,,,2,51,60,-9,1440.0
12:00.0,Start of 3rd quarter,51-60,,,3,51,60,-9,1440.0
11:40.0,C. Martin makes 2-pt layup from 2 ft (assist by M. Strus),53-60, ,,3,53,60,-7,1460.0
11:23.0, ,53-60,Shooting foul by C. Martin (drawn by T. Young),,3,53,60,-7,1477.0
11:23.0, ,53-61,T. Young makes free throw 1 of 2,,3,53,61,-8,1477.0
11:23.0, ,53-62,T. Young makes free throw 2 of 2,,3,53,62,-9,1477.0
11:13.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),55-62, ,,3,55,62,-7,1487.0
10:46.0, ,55-62,Turnover by Team (shot clock),,3,55,62,-7,1514.0
10:36.0,M. Strus misses 3-pt jump shot from 23 ft,55-62, ,,3,55,62,-7,1524.0
10:32.0, ,55-62,Defensive rebound by D. Murray,,3,55,62,-7,1528.0
10:26.0, ,55-62,Turnover by D. Murray (lost ball; steal by C. Martin),,3,55,62,-7,1534.0
10:22.0,C. Martin makes 2-pt dunk at rim,57-62, ,,3,57,62,-5,1538.0
10:10.0, ,57-62,Personal foul by K. Lowry (drawn by D. Hunter),,3,57,62,-5,1550.0
10:05.0, ,57-62,O. Okongwu misses 2-pt layup from 4 ft,,3,57,62,-5,1555.0
10:02.0,Defensive rebound by B. Adebayo,57-62, ,,3,57,62,-5,1558.0
9:42.0,B. Adebayo misses 2-pt jump shot from 20 ft,57-62, ,,3,57,62,-5,1578.0
9:41.0,Offensive rebound by Team,57-62, ,,3,57,62,-5,1579.0
9:41.0,Turnover by Team (shot clock),57-62, ,,3,57,62,-5,1579.0
9:35.0, ,57-62,D. Murray misses 3-pt jump shot from 23 ft,,3,57,62,-5,1585.0
9:32.0,Defensive rebound by T. Herro,57-62, ,,3,57,62,-5,1588.0
9:28.0,Shooting foul by J. Collins (drawn by C. Martin),57-62, ,,3,57,62,-5,1592.0
9:28.0,C. Martin makes free throw 1 of 2,58-62, ,,3,58,62,-4,1592.0
9:28.0,C. Martin makes free throw 2 of 2,59-62, ,,3,59,62,-3,1592.0
9:13.0, ,59-64,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,3,59,64,-5,1607.0
8:54.0,Offensive foul by B. Adebayo (drawn by D. Murray),59-64, ,,3,59,64,-5,1626.0
8:54.0,Turnover by B. Adebayo (offensive foul),59-64, ,,3,59,64,-5,1626.0
8:49.0, ,59-64,Turnover by T. Young (bad pass; steal by K. Lowry),,3,59,64,-5,1631.0
8:47.0,Shooting foul by T. Young (drawn by T. Herro),59-64, ,,3,59,64,-5,1633.0
8:47.0,T. Herro makes free throw 1 of 3,60-64, ,,3,60,64,-4,1633.0
8:47.0,T. Herro makes free throw 2 of 3,61-64, ,,3,61,64,-3,1633.0
8:47.0,T. Herro makes free throw 3 of 3,62-64, ,,3,62,64,-2,1633.0
8:35.0, ,62-64,J. Collins misses 3-pt jump shot from 22 ft,,3,62,64,-2,1645.0
8:30.0,Defensive rebound by C. Martin,62-64, ,,3,62,64,-2,1650.0
8:27.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by C. Martin),65-64, ,Lead change,3,65,64,1,1653.0
8:25.0, ,65-64,Atlanta full timeout,,3,65,64,1,1655.0
8:02.0, ,65-64,D. Murray misses 2-pt jump shot from 11 ft,,3,65,64,1,1678.0
7:59.0,Defensive rebound by B. Adebayo,65-64, ,,3,65,64,1,1681.0
7:54.0,C. Martin makes 2-pt layup from 1 ft (assist by K. Lowry),67-64, ,,3,67,64,3,1686.0
7:42.0, ,67-66,J. Collins makes 2-pt jump shot from 16 ft (assist by T. Young),,3,67,66,1,1698.0
7:22.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),69-66, ,,3,69,66,3,1718.0
7:04.0, ,69-66,Personal foul by B. Adebayo (drawn by J. Collins),,3,69,66,3,1736.0
6:57.0, ,69-66,D. Murray misses 3-pt jump shot from 24 ft,,3,69,66,3,1743.0
6:55.0,Defensive rebound by B. Adebayo,69-66, ,,3,69,66,3,1745.0
6:49.0,Shooting foul by J. Collins (drawn by B. Adebayo),69-66, ,,3,69,66,3,1751.0
6:49.0,B. Adebayo makes free throw 1 of 2,70-66, ,,3,70,66,4,1751.0
6:49.0,B. Adebayo makes free throw 2 of 2,71-66, ,,3,71,66,5,1751.0
6:35.0, ,71-66,Personal foul by K. Lowry (drawn by O. Okongwu),,3,71,66,5,1765.0
6:25.0, ,71-68,J. Collins makes 2-pt jump shot from 10 ft (assist by T. Young),,3,71,68,3,1775.0
6:10.0,T. Herro makes 2-pt jump shot from 8 ft (assist by K. Lowry),73-68, ,,3,73,68,5,1790.0
6:10.0, ,73-68,Violation by Team (def goaltending),,3,73,68,5,1790.0
6:04.0, ,73-68,Shooting foul by C. Martin (drawn by T. Young),,3,73,68,5,1796.0
6:04.0, ,73-69,T. Young makes free throw 1 of 2,,3,73,69,4,1796.0
6:04.0, ,73-70,T. Young makes free throw 2 of 2,,3,73,70,3,1796.0
5:44.0,M. Strus misses 3-pt jump shot from 25 ft,73-70, ,,3,73,70,3,1816.0
5:40.0, ,73-70,Defensive rebound by D. Murray,,3,73,70,3,1820.0
5:31.0, ,73-72,D. Hunter makes 2-pt jump shot from 14 ft,,3,73,72,1,1829.0
5:20.0,B. Adebayo makes 2-pt layup from 5 ft (assist by K. Lowry),75-72, ,,3,75,72,3,1840.0
5:13.0, ,75-72,T. Young misses 3-pt jump shot from 28 ft,,3,75,72,3,1847.0
5:10.0,Defensive rebound by T. Herro,75-72, ,,3,75,72,3,1850.0
5:03.0,B. Adebayo makes 2-pt jump shot from 9 ft (assist by K. Lowry),77-72, ,,3,77,72,5,1857.0
4:39.0, ,77-72,T. Young misses 2-pt jump shot from 7 ft,,3,77,72,5,1881.0
4:38.0,Defensive rebound by Team,77-72, ,,3,77,72,5,1882.0
4:38.0,Miami full timeout,77-72, ,,3,77,72,5,1882.0
4:38.0,H. Highsmith enters the game for T. Herro,77-72, ,,3,77,72,5,1882.0
4:38.0,D. Smith enters the game for C. Martin,77-72, ,,3,77,72,5,1882.0
4:38.0, ,77-72,A. Griffin enters the game for D. Murray,,3,77,72,5,1882.0
4:23.0,Turnover by M. Strus (lost ball),77-72, ,,3,77,72,5,1897.0
4:23.0,Loose ball foul by M. Strus (drawn by D. Hunter),77-72, ,,3,77,72,5,1897.0
4:23.0, ,77-73,D. Hunter makes free throw 1 of 2,,3,77,73,4,1897.0
4:23.0, ,77-74,D. Hunter makes free throw 2 of 2,,3,77,74,3,1897.0
4:11.0,K. Lowry misses 3-pt jump shot from 24 ft,77-74, ,,3,77,74,3,1909.0
4:07.0, ,77-74,Defensive rebound by D. Hunter,,3,77,74,3,1913.0
4:03.0, ,77-74,T. Young misses 3-pt jump shot from 28 ft,,3,77,74,3,1917.0
3:59.0,Defensive rebound by D. Smith,77-74, ,,3,77,74,3,1921.0
3:46.0,K. Lowry misses 3-pt jump shot from 26 ft,77-74, ,,3,77,74,3,1934.0
3:43.0, ,77-74,Defensive rebound by J. Collins,,3,77,74,3,1937.0
3:37.0, ,77-74,T. Young misses 2-pt layup from 4 ft,,3,77,74,3,1943.0
3:33.0, ,77-74,Offensive rebound by T. Young,,3,77,74,3,1947.0
3:25.0, ,77-74,D. Hunter misses 2-pt jump shot from 14 ft,,3,77,74,3,1955.0
3:22.0,Defensive rebound by K. Lowry,77-74, ,,3,77,74,3,1958.0
3:10.0,B. Adebayo makes 2-pt hook shot from 7 ft (assist by K. Lowry),79-74, ,,3,79,74,5,1970.0
2:56.0, ,79-74,D. Hunter misses 3-pt jump shot from 23 ft,,3,79,74,5,1984.0
2:52.0, ,79-74,Offensive rebound by O. Okongwu,,3,79,74,5,1988.0
2:49.0, ,79-74,A. Griffin misses 3-pt jump shot from 26 ft,,3,79,74,5,1991.0
2:46.0,Defensive rebound by K. Lowry,79-74, ,,3,79,74,5,1994.0
