Time,San Antonio,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:40.0,T. Jones misses free throw 1 of 1,57-52, ,,2,52,57,-5,1400.0
0:38.0, ,57-52,Defensive rebound by B. Adebayo,,2,52,57,-5,1402.0
0:28.0, ,57-54,J. Butler makes 2-pt jump shot from 7 ft,,2,54,57,-3,1412.0
0:09.0,Personal foul by C. Martin (drawn by T. Jones),57-54, ,,2,54,57,-3,1431.0
0:09.0,T. Jones makes free throw 1 of 2,58-54, ,,2,54,58,-4,1431.0
0:09.0,J. Richardson enters the game for D. McDermott,58-54, ,,2,54,58,-4,1431.0
0:09.0,T. Jones makes free throw 2 of 2,59-54, ,,2,54,59,-5,1431.0
0:01.0, ,59-56,K. Lowry makes 2-pt layup from 5 ft,,2,56,59,-3,1439.0
0:01.0, ,59-56,Shooting foul by Z. Collins (drawn by K. Lowry),,2,56,59,-3,1439.0
0:01.0, ,59-56,V. Oladipo enters the game for B. Adebayo,,2,56,59,-3,1439.0
0:01.0, ,59-57,K. Lowry makes free throw 1 of 1,,2,57,59,-2,1439.0
0:00.0,End of 2nd quarter,59-57,,,2,57,59,-2,1440.0
12:00.0,Start of 3rd quarter,59-57,,,3,57,59,-2,1440.0
11:42.0,Offensive foul by Z. Collins (drawn by K. Lowry),59-57, ,,3,57,59,-2,1458.0
11:42.0,Turnover by Z. Collins (offensive foul),59-57, ,,3,57,59,-2,1458.0
11:27.0, ,59-57,K. Lowry misses 3-pt jump shot from 25 ft,,3,57,59,-2,1473.0
11:25.0,Defensive rebound by M. Branham,59-57, ,,3,57,59,-2,1475.0
11:10.0,K. Johnson misses 2-pt jump shot from 8 ft,59-57, ,,3,57,59,-2,1490.0
11:08.0, ,59-57,Defensive rebound by T. Herro,,3,57,59,-2,1492.0
11:02.0, ,59-60,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),Lead change,3,60,59,1,1498.0
10:47.0,Turnover by Z. Collins (bad pass),59-60, ,,3,60,59,1,1513.0
10:39.0, ,59-60,B. Adebayo misses 2-pt jump shot from 7 ft,,3,60,59,1,1521.0
10:34.0,Defensive rebound by Z. Collins,59-60, ,,3,60,59,1,1526.0
10:15.0,T. Jones misses 2-pt jump shot from 13 ft,59-60, ,,3,60,59,1,1545.0
10:13.0, ,59-60,Defensive rebound by B. Adebayo,,3,60,59,1,1547.0
10:07.0, ,59-63,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,3,63,59,4,1553.0
10:06.0,San Antonio full timeout,59-63, ,,3,63,59,4,1554.0
9:50.0,Turnover by K. Johnson (bad pass),59-63, ,,3,63,59,4,1570.0
9:28.0, ,59-63,Turnover by J. Butler (bad pass; steal by T. Jones),,3,63,59,4,1592.0
9:24.0,K. Johnson makes 2-pt layup from 5 ft,61-63, ,,3,63,61,2,1596.0
9:24.0, ,61-63,Violation by Team (def goaltending),,3,63,61,2,1596.0
9:09.0, ,61-66,T. Herro makes 3-pt jump shot from 29 ft (assist by J. Butler),,3,66,61,5,1611.0
8:46.0,M. Branham misses 3-pt jump shot from 27 ft,61-66, ,,3,66,61,5,1634.0
8:45.0,Offensive rebound by Team,61-66, ,,3,66,61,5,1635.0
8:31.0,K. Johnson makes 2-pt layup from 6 ft,63-66, ,,3,66,63,3,1649.0
8:21.0, ,63-66,Shooting foul by Z. Collins (drawn by J. Butler),,3,66,63,3,1659.0
8:21.0, ,63-67,J. Butler makes free throw 1 of 2,,3,67,63,4,1659.0
8:21.0,C. Bassey enters the game for Z. Collins,63-67, ,,3,67,63,4,1659.0
8:21.0, ,63-67,J. Butler misses free throw 2 of 2,,3,67,63,4,1659.0
8:18.0,Defensive rebound by R. Langford,63-67, ,,3,67,63,4,1662.0
8:12.0,R. Langford makes 2-pt layup from 4 ft (assist by T. Jones),65-67, ,,3,67,65,2,1668.0
7:52.0, ,65-67,Turnover by T. Herro (bad pass),,3,67,65,2,1688.0
7:33.0,Turnover by R. Langford (out of bounds lost ball),65-67, ,,3,67,65,2,1707.0
7:22.0, ,65-70,T. Herro makes 3-pt jump shot from 28 ft,,3,70,65,5,1718.0
7:10.0,K. Johnson misses 3-pt jump shot from 23 ft,65-70, ,,3,70,65,5,1730.0
7:09.0, ,65-70,Defensive rebound by K. Lowry,,3,70,65,5,1731.0
7:05.0, ,65-72,J. Butler makes 2-pt layup at rim (assist by K. Lowry),,3,72,65,7,1735.0
7:05.0,San Antonio full timeout,65-72, ,,3,72,65,7,1735.0
7:05.0,J. Richardson enters the game for M. Branham,65-72, ,,3,72,65,7,1735.0
6:42.0,T. Jones misses 2-pt jump shot from 18 ft,65-72, ,,3,72,65,7,1758.0
6:36.0,Offensive rebound by J. Richardson,65-72, ,,3,72,65,7,1764.0
6:35.0,J. Richardson misses 2-pt jump shot from 10 ft,65-72, ,,3,72,65,7,1765.0
6:32.0,Offensive rebound by J. Richardson,65-72, ,,3,72,65,7,1768.0
6:28.0,J. Richardson misses 3-pt jump shot from 27 ft,65-72, ,,3,72,65,7,1772.0
6:24.0, ,65-72,Defensive rebound by B. Adebayo,,3,72,65,7,1776.0
6:12.0, ,65-72,B. Adebayo misses 2-pt jump shot from 16 ft,,3,72,65,7,1788.0
6:10.0,Defensive rebound by J. Richardson,65-72, ,,3,72,65,7,1790.0
6:06.0,K. Johnson makes 2-pt jump shot from 7 ft,67-72, ,,3,72,67,5,1794.0
6:06.0,Shooting foul by C. Martin (drawn by K. Johnson),67-72, ,,3,72,67,5,1794.0
6:06.0,D. McDermott enters the game for T. Jones,67-72, ,,3,72,67,5,1794.0
6:06.0,K. Johnson makes free throw 1 of 1,68-72, ,,3,72,68,4,1794.0
5:46.0, ,68-74,B. Adebayo makes 2-pt jump shot from 6 ft,,3,74,68,6,1814.0
5:28.0,C. Bassey misses 2-pt jump shot from 12 ft,68-74, ,,3,74,68,6,1832.0
5:24.0,Offensive rebound by R. Langford,68-74, ,,3,74,68,6,1836.0
5:23.0,R. Langford makes 2-pt layup from 4 ft,70-74, ,,3,74,70,4,1837.0
5:15.0, ,70-74,Personal foul by R. Langford (drawn by J. Butler),,3,74,70,4,1845.0
5:15.0, ,70-74,V. Oladipo enters the game for K. Lowry,,3,74,70,4,1845.0
5:05.0, ,70-74,J. Butler misses 2-pt jump shot from 8 ft,,3,74,70,4,1855.0
5:03.0, ,70-74,Offensive rebound by Team,,3,74,70,4,1857.0
5:01.0,Loose ball foul by D. McDermott (drawn by B. Adebayo),70-74, ,,3,74,70,4,1859.0
5:01.0, ,70-74,D. Robinson enters the game for C. Martin,,3,74,70,4,1859.0
4:56.0,Violation by Team (kicked ball),70-74, ,,3,74,70,4,1864.0
4:52.0, ,70-74,T. Herro misses 3-pt jump shot from 23 ft,,3,74,70,4,1868.0
4:49.0,Defensive rebound by K. Johnson,70-74, ,,3,74,70,4,1871.0
