Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:23.0, ,21-36,S. Dinwiddie misses 3-pt jump shot from 25 ft,,2,21,36,-15,817.0
10:21.0, ,21-36,Offensive rebound by D. Powell,,2,21,36,-15,819.0
10:21.0, ,21-36,Turnover by D. Powell (bad pass),,2,21,36,-15,819.0
10:14.0,G. Vincent misses 3-pt jump shot from 25 ft,21-36, ,,2,21,36,-15,826.0
10:11.0, ,21-36,Defensive rebound by J. Green,,2,21,36,-15,829.0
10:07.0, ,21-36,Shooting foul by G. Vincent (drawn by S. Dinwiddie),,2,21,36,-15,833.0
10:07.0, ,21-37,S. Dinwiddie makes free throw 1 of 2,,2,21,37,-16,833.0
10:07.0, ,21-37,J. Hardy enters the game for R. Bullock,,2,21,37,-16,833.0
10:07.0, ,21-38,S. Dinwiddie makes free throw 2 of 2,,2,21,38,-17,833.0
9:50.0,V. Oladipo makes 2-pt hook shot from 7 ft,23-38, ,,2,23,38,-15,850.0
9:31.0, ,23-38,J. Hardy misses 2-pt layup from 2 ft,,2,23,38,-15,869.0
9:28.0,Defensive rebound by C. Martin,23-38, ,,2,23,38,-15,872.0
9:23.0,Personal foul by D. Bertāns (drawn by B. Adebayo),23-38, ,,2,23,38,-15,877.0
9:18.0,Shooting foul by J. Green (drawn by B. Adebayo),23-38, ,,2,23,38,-15,882.0
9:18.0,B. Adebayo makes free throw 1 of 2,24-38, ,,2,24,38,-14,882.0
9:18.0,B. Adebayo makes free throw 2 of 2,25-38, ,,2,25,38,-13,882.0
8:57.0, ,25-41,J. Green makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,2,25,41,-16,903.0
8:49.0,B. Adebayo makes 2-pt jump shot from 5 ft,27-41, ,,2,27,41,-14,911.0
8:36.0, ,27-43,S. Dinwiddie makes 2-pt jump shot from 14 ft,,2,27,43,-16,924.0
8:18.0,G. Vincent makes 3-pt jump shot from 28 ft (assist by C. Martin),30-43, ,,2,30,43,-13,942.0
8:05.0, ,30-43,Shooting foul by M. Strus (drawn by S. Dinwiddie),,2,30,43,-13,955.0
8:05.0, ,30-44,S. Dinwiddie makes free throw 1 of 2,,2,30,44,-14,955.0
8:05.0,T. Herro enters the game for M. Strus,30-44, ,,2,30,44,-14,955.0
8:05.0, ,30-45,S. Dinwiddie makes free throw 2 of 2,,2,30,45,-15,955.0
7:54.0,V. Oladipo makes 2-pt jump shot from 10 ft,32-45, ,,2,32,45,-13,966.0
7:36.0, ,32-47,D. Bertāns makes 2-pt jump shot from 9 ft,,2,32,47,-15,984.0
7:18.0,T. Herro makes 2-pt jump shot from 11 ft,34-47, ,,2,34,47,-13,1002.0
6:54.0, ,34-47,J. Hardy misses 2-pt layup from 2 ft,,2,34,47,-13,1026.0
6:51.0,Defensive rebound by T. Herro,34-47, ,,2,34,47,-13,1029.0
6:47.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Herro),37-47, ,,2,37,47,-10,1033.0
6:47.0, ,37-47,Dallas full timeout,,2,37,47,-10,1033.0
6:47.0,J. Butler enters the game for B. Adebayo,37-47, ,,2,37,47,-10,1033.0
6:47.0,O. Robinson enters the game for C. Martin,37-47, ,,2,37,47,-10,1033.0
6:47.0, ,37-47,R. Bullock enters the game for D. Bertāns,,2,37,47,-10,1033.0
6:47.0, ,37-47,L. Dončić enters the game for J. Green,,2,37,47,-10,1033.0
6:47.0, ,37-47,D. Finney-Smith enters the game for J. Hardy,,2,37,47,-10,1033.0
6:47.0, ,37-47,T. Hardaway enters the game for D. Powell,,2,37,47,-10,1033.0
6:22.0, ,37-47,D. Finney-Smith misses 2-pt jump shot from 7 ft,,2,37,47,-10,1058.0
6:19.0,Defensive rebound by O. Robinson,37-47, ,,2,37,47,-10,1061.0
6:01.0,T. Herro misses 2-pt jump shot from 5 ft,37-47, ,,2,37,47,-10,1079.0
6:00.0, ,37-47,Defensive rebound by L. Dončić,,2,37,47,-10,1080.0
5:45.0, ,37-47,S. Dinwiddie misses 3-pt jump shot from 29 ft,,2,37,47,-10,1095.0
5:42.0,Defensive rebound by T. Herro,37-47, ,,2,37,47,-10,1098.0
5:27.0,G. Vincent misses 3-pt jump shot from 23 ft,37-47, ,,2,37,47,-10,1113.0
5:25.0, ,37-47,Defensive rebound by L. Dončić,,2,37,47,-10,1115.0
5:19.0, ,37-50,L. Dončić makes 3-pt jump shot from 26 ft,,2,37,50,-13,1121.0
4:56.0,V. Oladipo makes 2-pt layup from 2 ft,39-50, ,,2,39,50,-11,1144.0
4:39.0, ,39-53,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Dončić),,2,39,53,-14,1161.0
4:12.0,Shooting foul by D. Finney-Smith (drawn by J. Butler),39-53, ,,2,39,53,-14,1188.0
4:12.0,J. Butler makes free throw 1 of 2,40-53, ,,2,40,53,-13,1188.0
4:12.0,B. Adebayo enters the game for V. Oladipo,40-53, ,,2,40,53,-13,1188.0
4:12.0,K. Lowry enters the game for O. Robinson,40-53, ,,2,40,53,-13,1188.0
4:12.0,C. Martin enters the game for G. Vincent,40-53, ,,2,40,53,-13,1188.0
4:12.0, ,40-53,J. Green enters the game for S. Dinwiddie,,2,40,53,-13,1188.0
4:12.0,J. Butler makes free throw 2 of 2,41-53, ,,2,41,53,-12,1188.0
3:53.0, ,41-56,L. Dončić makes 3-pt jump shot from 28 ft,,2,41,56,-15,1207.0
3:39.0,Personal foul by D. Finney-Smith (drawn by B. Adebayo),41-56, ,,2,41,56,-15,1221.0
3:39.0, ,41-56,D. Powell enters the game for R. Bullock,,2,41,56,-15,1221.0
3:28.0,T. Herro makes 2-pt jump shot from 11 ft,43-56, ,,2,43,56,-13,1232.0
3:06.0, ,43-56,L. Dončić misses 2-pt jump shot from 7 ft,,2,43,56,-13,1254.0
3:04.0,Defensive rebound by K. Lowry,43-56, ,,2,43,56,-13,1256.0
3:03.0,J. Butler misses 2-pt jump shot from 7 ft,43-56, ,,2,43,56,-13,1257.0
3:01.0, ,43-56,Defensive rebound by Team,,2,43,56,-13,1259.0
3:01.0,Loose ball foul by B. Adebayo (drawn by D. Powell),43-56, ,,2,43,56,-13,1259.0
2:48.0, ,43-58,L. Dončić makes 2-pt jump shot from 8 ft (assist by J. Green),,2,43,58,-15,1272.0
2:35.0,T. Herro makes 2-pt jump shot from 15 ft,45-58, ,,2,45,58,-13,1285.0
2:22.0, ,45-58,J. Green misses 2-pt jump shot from 6 ft,,2,45,58,-13,1298.0
