Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:12.0, ,19-20,J. Harris enters the game for D. Finney-Smith,,1,19,20,-1,528.0
3:12.0, ,19-21,M. Bridges makes free throw 1 of 1,,1,19,21,-2,528.0
2:59.0,D. Robinson misses 3-pt jump shot from 25 ft,19-21, ,,1,19,21,-2,541.0
2:55.0,Offensive rebound by D. Robinson,19-21, ,,1,19,21,-2,545.0
2:53.0,O. Robinson misses 2-pt hook shot from 7 ft,19-21, ,,1,19,21,-2,547.0
2:50.0, ,19-21,Defensive rebound by B. Simmons,,1,19,21,-2,550.0
2:42.0, ,19-21,S. Curry misses 3-pt jump shot from 25 ft,,1,19,21,-2,558.0
2:39.0, ,19-21,Offensive rebound by M. Bridges,,1,19,21,-2,561.0
2:33.0, ,19-21,Violation by Team (kicked ball),,1,19,21,-2,567.0
2:33.0,Miami full timeout,19-21, ,,1,19,21,-2,567.0
2:33.0,B. Adebayo enters the game for C. Martin,19-21, ,,1,19,21,-2,567.0
2:33.0,M. Strus enters the game for O. Robinson,19-21, ,,1,19,21,-2,567.0
2:33.0, ,19-21,S. Dinwiddie enters the game for M. Bridges,,1,19,21,-2,567.0
2:24.0,Shooting foul by R. O'Neale (drawn by H. Highsmith),19-21, ,,1,19,21,-2,576.0
2:24.0,H. Highsmith makes free throw 1 of 2,20-21, ,,1,20,21,-1,576.0
2:24.0,H. Highsmith makes free throw 2 of 2,21-21, ,Tie,1,21,21,0,576.0
2:09.0, ,21-23,J. Harris makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,1,21,23,-2,591.0
1:55.0,Shooting foul by J. Harris (drawn by B. Adebayo),21-23, ,,1,21,23,-2,605.0
1:55.0,B. Adebayo makes free throw 1 of 2,22-23, ,,1,22,23,-1,605.0
1:55.0,B. Adebayo makes free throw 2 of 2,23-23, ,Tie,1,23,23,0,605.0
1:36.0, ,23-23,S. Curry misses 2-pt layup from 4 ft,,1,23,23,0,624.0
1:32.0,Defensive rebound by J. Bouyea,23-23, ,,1,23,23,0,628.0
1:22.0,Turnover by B. Adebayo (bad pass),23-23, ,,1,23,23,0,638.0
1:14.0, ,23-23,J. Harris misses 3-pt jump shot from 26 ft,,1,23,23,0,646.0
1:10.0,Defensive rebound by B. Adebayo,23-23, ,,1,23,23,0,650.0
1:00.0,Shooting foul by R. O'Neale (drawn by M. Strus),23-23, ,,1,23,23,0,660.0
1:00.0,M. Strus makes free throw 1 of 2,24-23, ,Lead change,1,24,23,1,660.0
1:00.0,M. Strus makes free throw 2 of 2,25-23, ,,1,25,23,2,660.0
0:40.0, ,25-23,Offensive foul by B. Simmons (drawn by H. Highsmith),,1,25,23,2,680.0
0:40.0, ,25-23,Turnover by B. Simmons (offensive foul),,1,25,23,2,680.0
0:29.0,M. Strus misses 3-pt jump shot from 26 ft,25-23, ,,1,25,23,2,691.0
0:25.0, ,25-23,Defensive rebound by S. Dinwiddie,,1,25,23,2,695.0
0:05.0, ,25-26,S. Dinwiddie makes 3-pt jump shot from 26 ft,Lead change,1,25,26,-1,715.0
0:00.0,M. Strus misses 3-pt jump shot from 25 ft,25-26, ,,1,25,26,-1,720.0
0:00.0,Offensive rebound by Team,25-26, ,,1,25,26,-1,720.0
0:00.0,End of 1st quarter,25-26,,,1,25,26,-1,720.0
12:00.0,Start of 2nd quarter,25-26,,,2,25,26,-1,720.0
11:41.0, ,25-29,J. Harris makes 3-pt jump shot from 23 ft (assist by R. O'Neale),,2,25,29,-4,739.0
11:24.0,D. Robinson misses 3-pt jump shot from 25 ft,25-29, ,,2,25,29,-4,756.0
11:21.0, ,25-29,Defensive rebound by R. O'Neale,,2,25,29,-4,759.0
11:10.0, ,25-29,Offensive foul by N. Claxton (drawn by D. Robinson),,2,25,29,-4,770.0
11:10.0, ,25-29,Turnover by N. Claxton (offensive foul),,2,25,29,-4,770.0
10:54.0,M. Strus makes 2-pt layup from 2 ft (assist by B. Adebayo),27-29, ,,2,27,29,-2,786.0
10:36.0, ,27-29,S. Dinwiddie misses 3-pt jump shot from 24 ft,,2,27,29,-2,804.0
10:34.0,Defensive rebound by J. Bouyea,27-29, ,,2,27,29,-2,806.0
10:28.0,J. Bouyea makes 2-pt layup from 1 ft,29-29, ,Tie,2,29,29,0,812.0
10:10.0, ,29-29,J. Harris misses 3-pt jump shot from 26 ft,,2,29,29,0,830.0
10:07.0,Defensive rebound by B. Adebayo,29-29, ,,2,29,29,0,833.0
10:01.0,Shooting foul by N. Claxton (drawn by B. Adebayo),29-29, ,,2,29,29,0,839.0
10:01.0,B. Adebayo misses free throw 1 of 2,29-29, ,,2,29,29,0,839.0
10:01.0,Offensive rebound by Team,29-29, ,,2,29,29,0,839.0
10:01.0,B. Adebayo misses free throw 2 of 2,29-29, ,,2,29,29,0,839.0
9:58.0, ,29-29,Defensive rebound by N. Claxton,,2,29,29,0,842.0
9:39.0, ,29-29,Shooting foul by M. Strus (drawn by C. Thomas),,2,29,29,0,861.0
9:39.0, ,29-30,C. Thomas makes free throw 1 of 2,,2,29,30,-1,861.0
9:39.0, ,29-31,C. Thomas makes free throw 2 of 2,,2,29,31,-2,861.0
9:28.0, ,29-31,Violation by Team (kicked ball),,2,29,31,-2,872.0
9:28.0, ,29-31,C. Johnson enters the game for J. Harris,,2,29,31,-2,872.0
9:19.0,M. Strus makes 2-pt dunk from 1 ft (assist by B. Adebayo),31-31, ,Tie,2,31,31,0,881.0
9:06.0, ,31-33,C. Thomas makes 2-pt jump shot from 12 ft,,2,31,33,-2,894.0
8:52.0,H. Highsmith makes 2-pt jump shot from 9 ft (assist by J. Bouyea),33-33, ,Tie,2,33,33,0,908.0
8:36.0, ,33-33,C. Thomas misses 2-pt jump shot from 12 ft,,2,33,33,0,924.0
8:33.0,Defensive rebound by H. Highsmith,33-33, ,,2,33,33,0,927.0
8:23.0,B. Adebayo misses 2-pt jump shot from 10 ft,33-33, ,,2,33,33,0,937.0
8:18.0, ,33-33,Defensive rebound by S. Dinwiddie,,2,33,33,0,942.0
8:13.0, ,33-33,C. Johnson misses 3-pt jump shot from 23 ft,,2,33,33,0,947.0
8:10.0,Defensive rebound by B. Adebayo,33-33, ,,2,33,33,0,950.0
8:04.0,B. Adebayo misses 2-pt layup from 2 ft (block by N. Claxton),33-33, ,,2,33,33,0,956.0
8:00.0,Offensive rebound by M. Strus,33-33, ,,2,33,33,0,960.0
7:58.0,M. Strus misses 2-pt layup from 1 ft,33-33, ,,2,33,33,0,962.0
7:57.0, ,33-33,Defensive rebound by R. O'Neale,,2,33,33,0,963.0
7:55.0, ,33-35,R. O'Neale makes 2-pt layup from 1 ft,,2,33,35,-2,965.0
7:44.0,Personal foul by N. Claxton (drawn by B. Adebayo),33-35, ,,2,33,35,-2,976.0
7:44.0,G. Vincent enters the game for J. Bouyea,33-35, ,,2,33,35,-2,976.0
7:44.0, ,33-35,D. Finney-Smith enters the game for N. Claxton,,2,33,35,-2,976.0
7:32.0,D. Robinson misses 3-pt jump shot from 26 ft,33-35, ,,2,33,35,-2,988.0
7:26.0,Offensive rebound by B. Adebayo,33-35, ,,2,33,35,-2,994.0
7:26.0,B. Adebayo misses 2-pt layup at rim,33-35, ,,2,33,35,-2,994.0
7:26.0, ,33-35,Defensive rebound by S. Dinwiddie,,2,33,35,-2,994.0
7:24.0, ,33-35,Shooting foul by H. Highsmith (drawn by C. Thomas),,2,33,35,-2,996.0
7:24.0, ,33-36,C. Thomas makes free throw 1 of 2,,2,33,36,-3,996.0
7:24.0, ,33-37,C. Thomas makes free throw 2 of 2,,2,33,37,-4,996.0
7:13.0,Shooting foul by C. Thomas (drawn by G. Vincent),33-37, ,,2,33,37,-4,1007.0
7:13.0,G. Vincent makes free throw 1 of 2,34-37, ,,2,34,37,-3,1007.0
7:13.0,J. Butler enters the game for B. Adebayo,34-37, ,,2,34,37,-3,1007.0
7:13.0,C. Martin enters the game for M. Strus,34-37, ,,2,34,37,-3,1007.0
7:13.0,G. Vincent makes free throw 2 of 2,35-37, ,,2,35,37,-2,1007.0
6:56.0, ,35-39,C. Thomas makes 2-pt jump shot from 10 ft,,2,35,39,-4,1024.0
6:44.0,C. Martin makes 3-pt jump shot from 25 ft (assist by D. Robinson),38-39, ,,2,38,39,-1,1036.0
6:34.0, ,38-39,Personal foul by D. Robinson (drawn by C. Thomas),,2,38,39,-1,1046.0
6:34.0, ,38-39,Brooklyn full timeout,,2,38,39,-1,1046.0
6:24.0, ,38-39,C. Johnson misses 3-pt jump shot from 23 ft,,2,38,39,-1,1056.0
6:21.0,Defensive rebound by D. Robinson,38-39, ,,2,38,39,-1,1059.0
6:05.0,G. Vincent makes 2-pt layup from 8 ft,40-39, ,Lead change,2,40,39,1,1075.0
5:44.0, ,40-42,C. Thomas makes 3-pt jump shot from 25 ft,Lead change,2,40,42,-2,1096.0
5:34.0,J. Butler makes 2-pt layup from 2 ft,42-42, ,Tie,2,42,42,0,1106.0
5:34.0,Shooting foul by D. Finney-Smith (drawn by J. Butler),42-42, ,,2,42,42,0,1106.0
5:34.0, ,42-42,M. Bridges enters the game for R. O'Neale,,2,42,42,0,1106.0
5:34.0,J. Butler makes free throw 1 of 1,43-42, ,Lead change,2,43,42,1,1106.0
5:20.0, ,43-42,Turnover by C. Thomas (traveling),,2,43,42,1,1120.0
5:20.0, ,43-42,S. Curry enters the game for S. Dinwiddie,,2,43,42,1,1120.0
5:20.0, ,43-42,B. Simmons enters the game for D. Finney-Smith,,2,43,42,1,1120.0
4:57.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),46-42, ,,2,46,42,4,1143.0
4:34.0, ,46-42,Personal foul by D. Robinson (drawn by C. Johnson),,2,46,42,4,1166.0
4:34.0,M. Strus enters the game for D. Robinson,46-42, ,,2,46,42,4,1166.0
4:24.0, ,46-42,C. Johnson misses 3-pt jump shot from 26 ft,,2,46,42,4,1176.0
4:18.0,Defensive rebound by M. Strus,46-42, ,,2,46,42,4,1182.0
3:56.0,J. Butler misses 2-pt jump shot from 16 ft,46-42, ,,2,46,42,4,1204.0
3:54.0, ,46-42,Defensive rebound by C. Thomas,,2,46,42,4,1206.0
3:49.0, ,46-42,C. Thomas misses 3-pt jump shot from 25 ft,,2,46,42,4,1211.0
3:45.0, ,46-42,Offensive rebound by M. Bridges,,2,46,42,4,1215.0
3:40.0, ,46-42,S. Curry misses 3-pt jump shot from 26 ft,,2,46,42,4,1220.0
3:36.0,Defensive rebound by H. Highsmith,46-42, ,,2,46,42,4,1224.0
3:18.0,C. Martin makes 2-pt layup from 2 ft (assist by J. Butler),48-42, ,,2,48,42,6,1242.0
3:13.0, ,48-42,Shooting foul by C. Martin (drawn by C. Johnson),,2,48,42,6,1247.0
3:13.0, ,48-43,C. Johnson makes free throw 1 of 2,,2,48,43,5,1247.0
3:13.0,B. Adebayo enters the game for H. Highsmith,48-43, ,,2,48,43,5,1247.0
3:13.0, ,48-44,C. Johnson makes free throw 2 of 2,,2,48,44,4,1247.0
2:55.0,G. Vincent makes 2-pt jump shot from 8 ft,50-44, ,,2,50,44,6,1265.0
2:40.0, ,50-46,M. Bridges makes 2-pt jump shot from 10 ft (assist by B. Simmons),,2,50,46,4,1280.0
2:40.0, ,50-46,Shooting foul by G. Vincent (drawn by M. Bridges),,2,50,46,4,1280.0
2:40.0,Miami full timeout,50-46, ,,2,50,46,4,1280.0
2:40.0, ,50-47,M. Bridges makes free throw 1 of 1,,2,50,47,3,1280.0
2:29.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),52-47, ,,2,52,47,5,1291.0
2:13.0, ,52-50,C. Johnson makes 3-pt jump shot from 24 ft (assist by M. Bridges),,2,52,50,2,1307.0
1:48.0,B. Adebayo makes 2-pt jump shot from 15 ft,54-50, ,,2,54,50,4,1332.0
1:33.0, ,54-50,Shooting foul by M. Strus (drawn by M. Bridges),,2,54,50,4,1347.0
1:33.0, ,54-51,M. Bridges makes free throw 1 of 2,,2,54,51,3,1347.0
1:33.0, ,54-51,S. Dinwiddie enters the game for C. Johnson,,2,54,51,3,1347.0
1:33.0, ,54-51,D. Finney-Smith enters the game for B. Simmons,,2,54,51,3,1347.0
1:33.0, ,54-51,J. Harris enters the game for C. Thomas,,2,54,51,3,1347.0
1:33.0, ,54-52,M. Bridges makes free throw 2 of 2,,2,54,52,2,1347.0
1:12.0,Turnover by J. Butler (bad pass; steal by M. Bridges),54-52, ,,2,54,52,2,1368.0
1:07.0, ,54-52,M. Bridges misses 2-pt layup from 2 ft,,2,54,52,2,1373.0
1:04.0,Defensive rebound by G. Vincent,54-52, ,,2,54,52,2,1376.0
0:55.0,J. Butler misses 2-pt jump shot from 5 ft,54-52, ,,2,54,52,2,1385.0
0:53.0, ,54-52,Defensive rebound by M. Bridges,,2,54,52,2,1387.0
0:37.0, ,54-52,J. Harris misses 3-pt jump shot from 23 ft,,2,54,52,2,1403.0
0:34.0,Defensive rebound by C. Martin,54-52, ,,2,54,52,2,1406.0
0:11.0,J. Butler misses 2-pt layup from 2 ft,54-52, ,,2,54,52,2,1429.0
0:11.0,Offensive rebound by J. Butler,54-52, ,,2,54,52,2,1429.0
0:11.0,Shooting foul by S. Dinwiddie (drawn by J. Butler),54-52, ,,2,54,52,2,1429.0
0:11.0,J. Butler makes free throw 1 of 2,55-52, ,,2,55,52,3,1429.0
0:11.0,J. Bouyea enters the game for M. Strus,55-52, ,,2,55,52,3,1429.0
0:11.0,H. Highsmith enters the game for G. Vincent,55-52, ,,2,55,52,3,1429.0
0:11.0,J. Butler makes free throw 2 of 2,56-52, ,,2,56,52,4,1429.0
0:02.0, ,56-52,Offensive foul by S. Dinwiddie (drawn by C. Martin),,2,56,52,4,1438.0
0:02.0, ,56-52,Turnover by S. Dinwiddie (offensive foul),,2,56,52,4,1438.0
0:02.0,D. Robinson enters the game for J. Bouyea,56-52, ,,2,56,52,4,1438.0
0:02.0,M. Strus enters the game for H. Highsmith,56-52, ,,2,56,52,4,1438.0
0:02.0, ,56-52,R. O'Neale enters the game for S. Curry,,2,56,52,4,1438.0
0:00.0,M. Strus misses 3-pt jump shot from 27 ft,56-52, ,,2,56,52,4,1440.0
0:00.0,Offensive rebound by Team,56-52, ,,2,56,52,4,1440.0
0:00.0,End of 2nd quarter,56-52,,,2,56,52,4,1440.0
12:00.0,Start of 3rd quarter,56-52,,,3,56,52,4,1440.0
11:43.0, ,56-52,C. Johnson misses 3-pt jump shot from 23 ft,,3,56,52,4,1457.0
11:39.0,Defensive rebound by B. Adebayo,56-52, ,,3,56,52,4,1461.0
11:19.0,G. Vincent misses 3-pt jump shot from 26 ft,56-52, ,,3,56,52,4,1481.0
11:15.0, ,56-52,Defensive rebound by N. Claxton,,3,56,52,4,1485.0
11:09.0, ,56-54,N. Claxton makes 2-pt dunk from 1 ft (assist by M. Bridges),,3,56,54,2,1491.0
10:56.0,Shooting foul by S. Dinwiddie (drawn by G. Vincent),56-54, ,,3,56,54,2,1504.0
10:56.0,G. Vincent makes free throw 1 of 2,57-54, ,,3,57,54,3,1504.0
10:56.0,G. Vincent makes free throw 2 of 2,58-54, ,,3,58,54,4,1504.0
10:37.0, ,58-54,Turnover by M. Bridges (bad pass; steal by C. Martin),,3,58,54,4,1523.0
10:24.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),60-54, ,,3,60,54,6,1536.0
10:12.0, ,60-54,M. Bridges misses 2-pt layup from 2 ft (block by B. Adebayo),,3,60,54,6,1548.0
10:12.0, ,60-54,Offensive rebound by Team,,3,60,54,6,1548.0
10:10.0, ,60-54,M. Bridges misses 2-pt jump shot from 10 ft,,3,60,54,6,1550.0
10:06.0,Defensive rebound by B. Adebayo,60-54, ,,3,60,54,6,1554.0
9:57.0,Offensive foul by B. Adebayo (drawn by N. Claxton),60-54, ,,3,60,54,6,1563.0
9:57.0,Turnover by B. Adebayo (offensive foul),60-54, ,,3,60,54,6,1563.0
9:37.0, ,60-56,C. Johnson makes 2-pt jump shot from 15 ft,,3,60,56,4,1583.0
9:24.0,B. Adebayo misses 2-pt jump shot from 14 ft,60-56, ,,3,60,56,4,1596.0
9:24.0, ,60-56,Defensive rebound by Team,,3,60,56,4,1596.0
9:21.0, ,60-56,Shooting foul by G. Vincent (drawn by C. Johnson),,3,60,56,4,1599.0
9:21.0, ,60-56,C. Johnson misses free throw 1 of 2,,3,60,56,4,1599.0
9:21.0, ,60-56,Offensive rebound by Team,,3,60,56,4,1599.0
9:21.0, ,60-57,C. Johnson makes free throw 2 of 2,,3,60,57,3,1599.0
9:05.0,M. Strus misses 3-pt jump shot from 26 ft,60-57, ,,3,60,57,3,1615.0
9:00.0, ,60-57,Defensive rebound by D. Finney-Smith,,3,60,57,3,1620.0
8:41.0, ,60-57,N. Claxton misses 2-pt hook shot from 6 ft,,3,60,57,3,1639.0
8:40.0,Defensive rebound by Team,60-57, ,,3,60,57,3,1640.0
8:40.0, ,60-57,Loose ball foul by M. Bridges (drawn by J. Butler),,3,60,57,3,1640.0
8:19.0,C. Martin makes 2-pt layup from 1 ft (assist by G. Vincent),62-57, ,,3,62,57,5,1661.0
8:05.0, ,62-57,D. Finney-Smith misses 3-pt jump shot from 23 ft,,3,62,57,5,1675.0
8:02.0, ,62-57,Offensive rebound by M. Bridges,,3,62,57,5,1678.0
8:01.0, ,62-59,M. Bridges makes 2-pt dunk from 1 ft,,3,62,59,3,1679.0
7:44.0,J. Butler misses 2-pt layup from 3 ft (block by C. Johnson),62-59, ,,3,62,59,3,1696.0
7:40.0,Offensive rebound by J. Butler,62-59, ,,3,62,59,3,1700.0
7:38.0,C. Martin makes 2-pt layup from 1 ft (assist by B. Adebayo),64-59, ,,3,64,59,5,1702.0
7:27.0, ,64-59,C. Johnson misses 3-pt jump shot from 25 ft,,3,64,59,5,1713.0
7:23.0,Defensive rebound by G. Vincent,64-59, ,,3,64,59,5,1717.0
7:11.0,C. Martin misses 2-pt jump shot from 7 ft,64-59, ,,3,64,59,5,1729.0
7:09.0, ,64-59,Defensive rebound by D. Finney-Smith,,3,64,59,5,1731.0
7:04.0, ,64-61,N. Claxton makes 2-pt dunk from 2 ft (assist by M. Bridges),,3,64,61,3,1736.0
6:49.0,Personal foul by C. Johnson (drawn by B. Adebayo),64-61, ,,3,64,61,3,1751.0
6:49.0, ,64-61,Brooklyn full timeout,,3,64,61,3,1751.0
6:49.0, ,64-61,C. Thomas enters the game for S. Dinwiddie,,3,64,61,3,1751.0
6:42.0,G. Vincent makes 3-pt jump shot from 24 ft (assist by J. Butler),67-61, ,,3,67,61,6,1758.0
6:25.0, ,67-64,M. Bridges makes 3-pt jump shot from 25 ft (assist by C. Thomas),,3,67,64,3,1775.0
6:15.0,Personal foul by C. Thomas (drawn by B. Adebayo),67-64, ,,3,67,64,3,1785.0
6:08.0,Turnover by M. Strus (bad pass; steal by M. Bridges),67-64, ,,3,67,64,3,1792.0
6:01.0, ,67-67,C. Thomas makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),Tie,3,67,67,0,1799.0
5:42.0,B. Adebayo makes 2-pt jump shot from 11 ft,69-67, ,,3,69,67,2,1818.0
5:34.0, ,69-67,Personal foul by B. Adebayo (drawn by N. Claxton),,3,69,67,2,1826.0
5:34.0,H. Highsmith enters the game for B. Adebayo,69-67, ,,3,69,67,2,1826.0
5:34.0,D. Robinson enters the game for M. Strus,69-67, ,,3,69,67,2,1826.0
5:34.0, ,69-67,J. Harris enters the game for C. Johnson,,3,69,67,2,1826.0
5:24.0, ,69-67,Offensive foul by C. Thomas (drawn by C. Martin),,3,69,67,2,1836.0
5:24.0, ,69-67,Turnover by C. Thomas (offensive foul),,3,69,67,2,1836.0
5:09.0,Offensive foul by C. Martin (drawn by C. Thomas),69-67, ,,3,69,67,2,1851.0
5:09.0,Turnover by C. Martin (offensive foul),69-67, ,,3,69,67,2,1851.0
4:54.0, ,69-67,Turnover by J. Harris (bad pass; steal by H. Highsmith),,3,69,67,2,1866.0
4:54.0,Personal foul by J. Harris (drawn by H. Highsmith),69-67, ,,3,69,67,2,1866.0
4:54.0,H. Highsmith misses free throw 1 of 2,69-67, ,,3,69,67,2,1866.0
4:54.0,Offensive rebound by Team,69-67, ,,3,69,67,2,1866.0
4:54.0, ,69-67,B. Simmons enters the game for D. Finney-Smith,,3,69,67,2,1866.0
