Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:57.0,M. Strus misses 2-pt layup from 2 ft,26-35, ,,1,26,35,-9,663.0
0:56.0,Offensive rebound by B. Adebayo,26-35, ,,1,26,35,-9,664.0
0:56.0,B. Adebayo misses 2-pt layup at rim,26-35, ,,1,26,35,-9,664.0
0:55.0,Offensive rebound by B. Adebayo,26-35, ,,1,26,35,-9,665.0
0:55.0,B. Adebayo misses 2-pt layup at rim,26-35, ,,1,26,35,-9,665.0
0:55.0, ,26-35,Defensive rebound by Team,,1,26,35,-9,665.0
0:55.0, ,26-35,Atlanta full timeout,,1,26,35,-9,665.0
0:34.0, ,26-38,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by A. Griffin),,1,26,38,-12,686.0
0:10.0,T. Herro misses 3-pt jump shot from 23 ft,26-38, ,,1,26,38,-12,710.0
0:09.0,Offensive rebound by Team,26-38, ,,1,26,38,-12,711.0
0:09.0,Turnover by Team (shot clock),26-38, ,,1,26,38,-12,711.0
0:01.0, ,26-38,Turnover by T. Young (bad pass; steal by V. Oladipo),,1,26,38,-12,719.0
0:00.0,V. Oladipo misses 3-pt jump shot from 26 ft,26-38, ,,1,26,38,-12,720.0
0:00.0,Offensive rebound by Team,26-38, ,,1,26,38,-12,720.0
0:00.0,End of 1st quarter,26-38,,,1,26,38,-12,720.0
12:00.0,Start of 2nd quarter,26-38,,,2,26,38,-12,720.0
11:39.0, ,26-40,O. Okongwu makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,26,40,-14,741.0
11:20.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by V. Oladipo),29-40, ,,2,29,40,-11,760.0
11:07.0, ,29-40,J. Collins misses 2-pt jump shot from 6 ft (block by B. Adebayo),,2,29,40,-11,773.0
11:05.0,Defensive rebound by H. Highsmith,29-40, ,,2,29,40,-11,775.0
11:00.0,Shooting foul by A. Griffin (drawn by M. Strus),29-40, ,,2,29,40,-11,780.0
11:00.0,M. Strus makes free throw 1 of 2,30-40, ,,2,30,40,-10,780.0
11:00.0,M. Strus makes free throw 2 of 2,31-40, ,,2,31,40,-9,780.0
10:45.0, ,31-42,D. Murray makes 2-pt jump shot from 18 ft,,2,31,42,-11,795.0
10:29.0,H. Highsmith makes 2-pt layup from 3 ft (assist by V. Oladipo),33-42, ,,2,33,42,-9,811.0
10:13.0, ,33-44,J. Collins makes 2-pt jump shot from 10 ft (assist by D. Murray),,2,33,44,-11,827.0
9:52.0,T. Herro misses 3-pt jump shot from 24 ft,33-44, ,,2,33,44,-11,848.0
9:49.0, ,33-44,Defensive rebound by A. Griffin,,2,33,44,-11,851.0
9:47.0, ,33-46,J. Collins makes 2-pt dunk from 1 ft (assist by A. Griffin),,2,33,46,-13,853.0
9:35.0,T. Herro misses 3-pt jump shot from 25 ft,33-46, ,,2,33,46,-13,865.0
9:32.0, ,33-46,Defensive rebound by B. Bogdanović,,2,33,46,-13,868.0
9:19.0, ,33-49,A. Griffin makes 3-pt jump shot from 23 ft (assist by D. Murray),,2,33,49,-16,881.0
9:18.0,Miami full timeout,33-49, ,,2,33,49,-16,882.0
9:18.0,G. Vincent enters the game for T. Herro,33-49, ,,2,33,49,-16,882.0
9:02.0,B. Adebayo misses 2-pt jump shot from 6 ft,33-49, ,,2,33,49,-16,898.0
8:59.0, ,33-49,Defensive rebound by O. Okongwu,,2,33,49,-16,901.0
8:52.0, ,33-51,A. Griffin makes 2-pt jump shot from 12 ft,,2,33,51,-18,908.0
8:37.0,H. Highsmith misses 3-pt jump shot from 25 ft,33-51, ,,2,33,51,-18,923.0
8:35.0, ,33-51,Defensive rebound by D. Murray,,2,33,51,-18,925.0
8:15.0, ,33-51,B. Bogdanović misses 2-pt layup from 2 ft,,2,33,51,-18,945.0
8:10.0,Defensive rebound by B. Adebayo,33-51, ,,2,33,51,-18,950.0
7:55.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),36-51, ,,2,36,51,-15,965.0
7:38.0, ,36-54,A. Griffin makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,2,36,54,-18,982.0
7:26.0,G. Vincent misses 3-pt jump shot from 25 ft,36-54, ,,2,36,54,-18,994.0
7:25.0, ,36-54,Defensive rebound by Team,,2,36,54,-18,995.0
7:25.0,J. Butler enters the game for V. Oladipo,36-54, ,,2,36,54,-18,995.0
7:25.0, ,36-54,D. Hunter enters the game for B. Bogdanović,,2,36,54,-18,995.0
7:17.0, ,36-54,Personal foul by H. Highsmith (drawn by O. Okongwu),,2,36,54,-18,1003.0
7:09.0, ,36-57,D. Murray makes 3-pt jump shot from 26 ft (assist by D. Hunter),,2,36,57,-21,1011.0
6:53.0,G. Vincent misses 3-pt jump shot from 25 ft,36-57, ,,2,36,57,-21,1027.0
6:50.0,Offensive rebound by G. Vincent,36-57, ,,2,36,57,-21,1030.0
6:48.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),39-57, ,,2,39,57,-18,1032.0
6:39.0, ,39-57,Offensive foul by D. Hunter (drawn by M. Strus),,2,39,57,-18,1041.0
6:39.0, ,39-57,Turnover by D. Hunter (offensive foul),,2,39,57,-18,1041.0
6:39.0,C. Martin enters the game for B. Adebayo,39-57, ,,2,39,57,-18,1041.0
6:39.0,O. Robinson enters the game for H. Highsmith,39-57, ,,2,39,57,-18,1041.0
6:39.0, ,39-57,T. Young enters the game for A. Griffin,,2,39,57,-18,1041.0
6:29.0,O. Robinson misses 2-pt layup from 2 ft (block by O. Okongwu),39-57, ,,2,39,57,-18,1051.0
6:24.0, ,39-57,Defensive rebound by J. Collins,,2,39,57,-18,1056.0
6:17.0, ,39-59,J. Collins makes 2-pt layup from 2 ft,,2,39,59,-20,1063.0
5:59.0,Turnover by G. Vincent (bad pass; steal by T. Young),39-59, ,,2,39,59,-20,1081.0
5:52.0, ,39-59,Turnover by O. Okongwu (bad pass),,2,39,59,-20,1088.0
5:47.0,Offensive foul by C. Martin (drawn by T. Young),39-59, ,,2,39,59,-20,1093.0
5:47.0,Turnover by C. Martin (offensive foul),39-59, ,,2,39,59,-20,1093.0
5:47.0, ,39-59,C. Capela enters the game for O. Okongwu,,2,39,59,-20,1093.0
5:39.0, ,39-62,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),,2,39,62,-23,1101.0
5:16.0,J. Butler misses 2-pt layup from 2 ft (block by C. Capela),39-62, ,,2,39,62,-23,1124.0
5:13.0, ,39-62,Defensive rebound by D. Hunter,,2,39,62,-23,1127.0
5:13.0,V. Oladipo enters the game for C. Martin,39-62, ,,2,39,62,-23,1127.0
4:53.0, ,39-62,T. Young misses 2-pt jump shot from 12 ft,,2,39,62,-23,1147.0
4:52.0, ,39-62,Offensive rebound by Team,,2,39,62,-23,1148.0
4:50.0, ,39-62,Turnover by T. Young (bad pass; steal by G. Vincent),,2,39,62,-23,1150.0
4:35.0,M. Strus makes 3-pt jump shot from 24 ft (assist by O. Robinson),42-62, ,,2,42,62,-20,1165.0
4:16.0, ,42-64,D. Hunter makes 2-pt jump shot from 13 ft (assist by D. Murray),,2,42,64,-22,1184.0
3:59.0, ,42-64,Violation by Team (kicked ball),,2,42,64,-22,1201.0
3:54.0,M. Strus misses 3-pt jump shot from 24 ft,42-64, ,,2,42,64,-22,1206.0
3:53.0, ,42-64,Defensive rebound by Team,,2,42,64,-22,1207.0
3:53.0,Loose ball foul by O. Robinson (drawn by J. Collins),42-64, ,,2,42,64,-22,1207.0
3:53.0, ,42-64,B. Bogdanović enters the game for J. Collins,,2,42,64,-22,1207.0
3:53.0, ,42-64,A. Griffin enters the game for D. Murray,,2,42,64,-22,1207.0
3:41.0, ,42-64,Turnover by T. Young (bad pass; steal by J. Butler),,2,42,64,-22,1219.0
3:35.0,J. Butler misses 2-pt layup from 4 ft,42-64, ,,2,42,64,-22,1225.0
3:33.0, ,42-64,Defensive rebound by C. Capela,,2,42,64,-22,1227.0
3:29.0, ,42-64,T. Young misses 2-pt jump shot from 19 ft,,2,42,64,-22,1231.0
3:26.0,Defensive rebound by O. Robinson,42-64, ,,2,42,64,-22,1234.0
3:17.0,J. Butler misses 2-pt layup from 1 ft (block by C. Capela),42-64, ,,2,42,64,-22,1243.0
3:13.0, ,42-64,Defensive rebound by A. Griffin,,2,42,64,-22,1247.0
3:09.0, ,42-66,A. Griffin makes 2-pt layup from 7 ft,,2,42,66,-24,1251.0
2:59.0,Personal foul by D. Hunter (drawn by V. Oladipo),42-66, ,,2,42,66,-24,1261.0
2:59.0, ,42-66,Atlanta full timeout,,2,42,66,-24,1261.0
2:59.0,B. Adebayo enters the game for O. Robinson,42-66, ,,2,42,66,-24,1261.0
2:59.0,T. Herro enters the game for G. Vincent,42-66, ,,2,42,66,-24,1261.0
2:46.0,B. Adebayo misses 2-pt hook shot from 7 ft,42-66, ,,2,42,66,-24,1274.0
2:45.0,Offensive rebound by Team,42-66, ,,2,42,66,-24,1275.0
2:45.0, ,42-66,Loose ball foul by C. Capela (drawn by J. Butler),,2,42,66,-24,1275.0
2:39.0,M. Strus misses 3-pt jump shot from 28 ft,42-66, ,,2,42,66,-24,1281.0
2:35.0, ,42-66,Defensive rebound by C. Capela,,2,42,66,-24,1285.0
2:28.0, ,42-68,T. Young makes 2-pt jump shot from 9 ft,,2,42,68,-26,1292.0
2:10.0,J. Butler misses 2-pt layup from 1 ft,42-68, ,,2,42,68,-26,1310.0
2:07.0,Offensive rebound by J. Butler,42-68, ,,2,42,68,-26,1313.0
2:05.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),44-68, ,,2,44,68,-24,1315.0
1:44.0, ,44-70,A. Griffin makes 2-pt jump shot from 20 ft (assist by T. Young),,2,44,70,-26,1336.0
1:34.0,B. Adebayo misses 2-pt jump shot from 12 ft,44-70, ,,2,44,70,-26,1346.0
1:30.0,Offensive rebound by J. Butler,44-70, ,,2,44,70,-26,1350.0
1:30.0,J. Butler makes 2-pt layup at rim,46-70, ,,2,46,70,-24,1350.0
1:16.0, ,46-70,Turnover by T. Young (traveling),,2,46,70,-24,1364.0
1:16.0, ,46-70,J. Collins enters the game for D. Hunter,,2,46,70,-24,1364.0
1:06.0,T. Herro makes 2-pt jump shot from 12 ft (assist by V. Oladipo),48-70, ,,2,48,70,-22,1374.0
0:49.0, ,48-70,A. Griffin misses 3-pt jump shot from 25 ft,,2,48,70,-22,1391.0
0:46.0,Defensive rebound by V. Oladipo,48-70, ,,2,48,70,-22,1394.0
0:38.0,T. Herro makes 2-pt jump shot from 12 ft (assist by V. Oladipo),50-70, ,,2,50,70,-20,1402.0
0:31.0, ,50-70,T. Young misses 2-pt jump shot from 15 ft,,2,50,70,-20,1409.0
0:28.0,Defensive rebound by B. Adebayo,50-70, ,,2,50,70,-20,1412.0
0:10.0,T. Herro misses 2-pt jump shot from 11 ft,50-70, ,,2,50,70,-20,1430.0
0:07.0, ,50-70,Defensive rebound by C. Capela,,2,50,70,-20,1433.0
0:00.0, ,50-70,Turnover by T. Young (bad pass; steal by B. Adebayo),,2,50,70,-20,1440.0
0:00.0,End of 2nd quarter,50-70,,,2,50,70,-20,1440.0
12:00.0,Start of 3rd quarter,50-70,,,3,50,70,-20,1440.0
11:49.0, ,50-72,D. Hunter makes 2-pt jump shot from 19 ft (assist by D. Murray),,3,50,72,-22,1451.0
11:26.0,Turnover by G. Vincent (out of bounds lost ball),50-72, ,,3,50,72,-22,1474.0
11:23.0, ,50-72,Personal foul by J. Butler (drawn by D. Hunter),,3,50,72,-22,1477.0
11:16.0, ,50-72,T. Young misses 2-pt hook shot from 7 ft,,3,50,72,-22,1484.0
11:12.0, ,50-72,Offensive rebound by J. Collins,,3,50,72,-22,1488.0
11:12.0, ,50-74,J. Collins makes 2-pt layup at rim,,3,50,74,-24,1488.0
10:56.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),53-74, ,,3,53,74,-21,1504.0
10:38.0, ,53-74,T. Young misses 3-pt jump shot from 26 ft,,3,53,74,-21,1522.0
10:34.0,Defensive rebound by B. Adebayo,53-74, ,,3,53,74,-21,1526.0
10:21.0,Shooting foul by T. Young (drawn by B. Adebayo),53-74, ,,3,53,74,-21,1539.0
10:21.0,B. Adebayo makes free throw 1 of 2,54-74, ,,3,54,74,-20,1539.0
10:21.0,B. Adebayo makes free throw 2 of 2,55-74, ,,3,55,74,-19,1539.0
10:03.0, ,55-76,D. Murray makes 2-pt jump shot from 18 ft,,3,55,76,-21,1557.0
9:51.0,G. Vincent makes 2-pt layup from 4 ft (assist by J. Butler),57-76, ,,3,57,76,-19,1569.0
9:43.0, ,57-76,D. Hunter misses 3-pt jump shot from 25 ft,,3,57,76,-19,1577.0
9:40.0,Defensive rebound by C. Martin,57-76, ,,3,57,76,-19,1580.0
9:32.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by G. Vincent),59-76, ,,3,59,76,-17,1588.0
9:15.0, ,59-78,D. Hunter makes 2-pt jump shot from 10 ft (assist by D. Murray),,3,59,78,-19,1605.0
9:02.0,B. Adebayo makes 2-pt jump shot from 11 ft,61-78, ,,3,61,78,-17,1618.0
8:50.0, ,61-80,T. Young makes 2-pt jump shot from 6 ft,,3,61,80,-19,1630.0
8:34.0,B. Adebayo misses 2-pt jump shot from 12 ft,61-80, ,,3,61,80,-19,1646.0
8:32.0, ,61-80,Defensive rebound by J. Collins,,3,61,80,-19,1648.0
8:24.0, ,61-80,D. Murray misses 3-pt jump shot from 25 ft,,3,61,80,-19,1656.0
8:20.0,Defensive rebound by T. Herro,61-80, ,,3,61,80,-19,1660.0
8:07.0,Personal foul by O. Okongwu (drawn by T. Herro),61-80, ,,3,61,80,-19,1673.0
8:02.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Adebayo),63-80, ,,3,63,80,-17,1678.0
7:46.0, ,63-80,D. Murray misses 2-pt jump shot from 11 ft,,3,63,80,-17,1694.0
7:43.0,Defensive rebound by B. Adebayo,63-80, ,,3,63,80,-17,1697.0
7:38.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),66-80, ,,3,66,80,-14,1702.0
7:38.0, ,66-80,Atlanta full timeout,,3,66,80,-14,1702.0
7:22.0, ,66-80,J. Collins misses 3-pt jump shot from 25 ft (block by J. Butler),,3,66,80,-14,1718.0
7:17.0,Defensive rebound by C. Martin,66-80, ,,3,66,80,-14,1723.0
7:09.0,Turnover by B. Adebayo (bad pass),66-80, ,,3,66,80,-14,1731.0
6:44.0, ,66-80,Turnover by T. Young (bad pass; steal by B. Adebayo),,3,66,80,-14,1756.0
6:30.0,T. Herro makes 2-pt layup from 2 ft,68-80, ,,3,68,80,-12,1770.0
6:15.0, ,68-80,Turnover by D. Murray (lost ball; steal by C. Martin),,3,68,80,-12,1785.0
6:10.0,C. Martin misses 2-pt layup from 1 ft,68-80, ,,3,68,80,-12,1790.0
6:08.0,Offensive rebound by B. Adebayo,68-80, ,,3,68,80,-12,1792.0
6:08.0,B. Adebayo makes 2-pt dunk at rim,70-80, ,,3,70,80,-10,1792.0
6:08.0, ,70-80,B. Bogdanović enters the game for T. Young,,3,70,80,-10,1792.0
5:43.0, ,70-80,B. Bogdanović misses 2-pt jump shot from 22 ft,,3,70,80,-10,1817.0
5:42.0,Defensive rebound by Team,70-80, ,,3,70,80,-10,1818.0
5:32.0,T. Herro misses 3-pt jump shot from 25 ft,70-80, ,,3,70,80,-10,1828.0
5:30.0,Offensive rebound by B. Adebayo,70-80, ,,3,70,80,-10,1830.0
5:30.0,B. Adebayo misses 2-pt layup from 2 ft (block by D. Murray),70-80, ,,3,70,80,-10,1830.0
5:29.0,Offensive rebound by Team,70-80, ,,3,70,80,-10,1831.0
5:24.0,Offensive foul by B. Adebayo (drawn by D. Hunter),70-80, ,,3,70,80,-10,1836.0
5:24.0,Turnover by B. Adebayo (offensive foul),70-80, ,,3,70,80,-10,1836.0
5:24.0,V. Oladipo enters the game for G. Vincent,70-80, ,,3,70,80,-10,1836.0
5:05.0, ,70-80,B. Bogdanović misses 2-pt jump shot from 9 ft,,3,70,80,-10,1855.0
5:02.0,Defensive rebound by B. Adebayo,70-80, ,,3,70,80,-10,1858.0
4:52.0,Shooting foul by J. Collins (drawn by J. Butler),70-80, ,,3,70,80,-10,1868.0
4:52.0,J. Butler makes free throw 1 of 2,71-80, ,,3,71,80,-9,1868.0
4:52.0,O. Robinson enters the game for B. Adebayo,71-80, ,,3,71,80,-9,1868.0
4:52.0, ,71-80,C. Capela enters the game for O. Okongwu,,3,71,80,-9,1868.0
4:52.0,J. Butler makes free throw 2 of 2,72-80, ,,3,72,80,-8,1868.0
4:30.0, ,72-80,Turnover by J. Collins (lost ball; steal by J. Butler),,3,72,80,-8,1890.0
4:30.0, ,72-80,A. Griffin enters the game for J. Collins,,3,72,80,-8,1890.0
4:30.0, ,72-80,T. Young enters the game for D. Murray,,3,72,80,-8,1890.0
4:16.0,T. Herro misses 3-pt jump shot from 25 ft,72-80, ,,3,72,80,-8,1904.0
4:12.0, ,72-80,Defensive rebound by C. Capela,,3,72,80,-8,1908.0
4:06.0, ,72-80,Personal foul by O. Robinson (drawn by D. Hunter),,3,72,80,-8,1914.0
3:55.0, ,72-82,C. Capela makes 2-pt dunk at rim (assist by T. Young),,3,72,82,-10,1925.0
3:37.0,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Herro),75-82, ,,3,75,82,-7,1943.0
3:18.0, ,75-84,D. Hunter makes 2-pt jump shot from 14 ft,,3,75,84,-9,1962.0
3:05.0,V. Oladipo misses 3-pt jump shot from 26 ft,75-84, ,,3,75,84,-9,1975.0
3:01.0, ,75-84,Defensive rebound by C. Capela,,3,75,84,-9,1979.0
2:41.0, ,75-87,B. Bogdanović makes 3-pt jump shot from 27 ft,,3,75,87,-12,1999.0
2:41.0,Miami full timeout,75-87, ,,3,75,87,-12,1999.0
2:41.0,M. Strus enters the game for T. Herro,75-87, ,,3,75,87,-12,1999.0
2:31.0,J. Butler makes 2-pt jump shot from 10 ft (assist by V. Oladipo),77-87, ,,3,77,87,-10,2009.0
2:31.0,Shooting foul by D. Hunter (drawn by J. Butler),77-87, ,,3,77,87,-10,2009.0
2:31.0,J. Butler makes free throw 1 of 1,78-87, ,,3,78,87,-9,2009.0
2:19.0, ,78-87,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,78,87,-9,2021.0
