Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:36.0,M. Strus misses 2-pt dunk from 1 ft (block by Z. Collins),49-53, ,,2,49,53,-4,1404.0
0:32.0, ,49-53,Defensive rebound by D. McDermott,,2,49,53,-4,1408.0
0:29.0, ,49-55,D. Vassell makes 2-pt layup from 3 ft (assist by T. Jones),,2,49,55,-6,1411.0
0:24.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),51-55, ,,2,51,55,-4,1416.0
0:24.0,Shooting foul by Z. Collins (drawn by J. Butler),51-55, ,,2,51,55,-4,1416.0
0:24.0,D. Dedmon enters the game for B. Adebayo,51-55, ,,2,51,55,-4,1416.0
0:24.0,H. Highsmith enters the game for T. Herro,51-55, ,,2,51,55,-4,1416.0
0:24.0,J. Butler makes free throw 1 of 1,52-55, ,,2,52,55,-3,1416.0
0:07.0, ,52-55,T. Jones misses 2-pt layup from 2 ft (block by D. Dedmon),,2,52,55,-3,1433.0
0:07.0, ,52-55,Offensive rebound by Team,,2,52,55,-3,1433.0
0:00.0, ,52-55,T. Jones misses 2-pt jump shot from 8 ft,,2,52,55,-3,1440.0
0:00.0, ,52-55,Offensive rebound by Team,,2,52,55,-3,1440.0
0:00.0,End of 2nd quarter,52-55,,,2,52,55,-3,1440.0
12:00.0,Start of 3rd quarter,52-55,,,3,52,55,-3,1440.0
11:46.0, ,52-55,D. Vassell misses 3-pt jump shot from 24 ft,,3,52,55,-3,1454.0
11:42.0,Defensive rebound by J. Butler,52-55, ,,3,52,55,-3,1458.0
11:23.0,Turnover by B. Adebayo (bad pass; steal by K. Bates-Diop),52-55, ,,3,52,55,-3,1477.0
11:19.0, ,52-57,D. Vassell makes 2-pt dunk from 1 ft (assist by K. Bates-Diop),,3,52,57,-5,1481.0
11:00.0, ,52-57,Violation by Team (kicked ball),,3,52,57,-5,1500.0
10:47.0,N. Jović misses 2-pt hook shot from 10 ft,52-57, ,,3,52,57,-5,1513.0
10:44.0, ,52-57,Defensive rebound by K. Bates-Diop,,3,52,57,-5,1516.0
10:41.0, ,52-57,K. Johnson misses 2-pt layup from 1 ft,,3,52,57,-5,1519.0
10:39.0, ,52-57,Offensive rebound by Team,,3,52,57,-5,1521.0
10:39.0,Loose ball foul by N. Jović (drawn by K. Johnson),52-57, ,,3,52,57,-5,1521.0
10:28.0, ,52-57,K. Johnson misses 2-pt jump shot from 9 ft,,3,52,57,-5,1532.0
10:26.0,Defensive rebound by B. Adebayo,52-57, ,,3,52,57,-5,1534.0
10:16.0,J. Butler makes 3-pt jump shot from 28 ft,55-57, ,,3,55,57,-2,1544.0
9:58.0, ,55-59,T. Jones makes 2-pt layup from 2 ft,,3,55,59,-4,1562.0
9:47.0,J. Butler makes 2-pt layup from 4 ft,57-59, ,,3,57,59,-2,1573.0
9:30.0, ,57-59,Turnover by K. Johnson (bad pass; steal by J. Butler),,3,57,59,-2,1590.0
9:25.0,Turnover by T. Herro (bad pass; steal by J. Poeltl),57-59, ,,3,57,59,-2,1595.0
9:07.0, ,57-61,K. Johnson makes 2-pt jump shot from 8 ft (assist by T. Jones),,3,57,61,-4,1613.0
8:55.0,T. Herro misses 2-pt layup from 8 ft,57-61, ,,3,57,61,-4,1625.0
8:53.0, ,57-61,Defensive rebound by J. Poeltl,,3,57,61,-4,1627.0
8:50.0, ,57-63,K. Bates-Diop makes 2-pt dunk at rim (assist by T. Jones),,3,57,63,-6,1630.0
8:32.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by M. Strus),59-63, ,,3,59,63,-4,1648.0
8:13.0, ,59-63,K. Bates-Diop misses 3-pt jump shot from 23 ft,,3,59,63,-4,1667.0
8:10.0, ,59-63,Offensive rebound by J. Poeltl,,3,59,63,-4,1670.0
8:01.0, ,59-63,K. Johnson misses 2-pt layup from 2 ft,,3,59,63,-4,1679.0
7:59.0,Defensive rebound by B. Adebayo,59-63, ,,3,59,63,-4,1681.0
7:47.0,Turnover by B. Adebayo (traveling),59-63, ,,3,59,63,-4,1693.0
7:31.0, ,59-65,J. Poeltl makes 2-pt hook shot from 6 ft,,3,59,65,-6,1709.0
7:18.0,B. Adebayo misses 2-pt jump shot from 17 ft,59-65, ,,3,59,65,-6,1722.0
7:14.0,Offensive rebound by M. Strus,59-65, ,,3,59,65,-6,1726.0
7:14.0,M. Strus makes 2-pt layup at rim,61-65, ,,3,61,65,-4,1726.0
7:02.0, ,61-65,J. Poeltl misses 2-pt jump shot from 8 ft,,3,61,65,-4,1738.0
7:00.0,Defensive rebound by M. Strus,61-65, ,,3,61,65,-4,1740.0
6:59.0,Turnover by T. Herro (bad pass),61-65, ,,3,61,65,-4,1741.0
6:59.0, ,61-65,San Antonio full timeout,,3,61,65,-4,1741.0
6:46.0, ,61-65,Shooting foul by T. Herro (drawn by D. Vassell),,3,61,65,-4,1754.0
6:46.0, ,61-65,D. Vassell misses free throw 1 of 3,,3,61,65,-4,1754.0
6:46.0, ,61-65,Offensive rebound by Team,,3,61,65,-4,1754.0
6:46.0, ,61-66,D. Vassell makes free throw 2 of 3,,3,61,66,-5,1754.0
6:46.0, ,61-67,D. Vassell makes free throw 3 of 3,,3,61,67,-6,1754.0
6:30.0,Personal foul by K. Bates-Diop (drawn by J. Butler),61-67, ,,3,61,67,-6,1770.0
6:17.0,M. Strus misses 3-pt jump shot from 25 ft,61-67, ,,3,61,67,-6,1783.0
6:16.0,Offensive rebound by Team,61-67, ,,3,61,67,-6,1784.0
6:16.0,Turnover by Team (shot clock),61-67, ,,3,61,67,-6,1784.0
5:55.0, ,61-67,D. Vassell misses 3-pt jump shot from 26 ft,,3,61,67,-6,1805.0
5:51.0,Defensive rebound by T. Herro,61-67, ,,3,61,67,-6,1809.0
5:44.0,T. Herro makes 2-pt jump shot from 14 ft,63-67, ,,3,63,67,-4,1816.0
