Time,Oklahoma City,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:34.0, ,17-20,J. Cain makes 2-pt jump shot from 9 ft (assist by M. Strus),,1,20,17,3,446.0
4:20.0,I. Joe misses 3-pt jump shot from 25 ft,17-20, ,,1,20,17,3,460.0
4:17.0, ,17-20,Defensive rebound by V. Oladipo,,1,20,17,3,463.0
4:07.0, ,17-20,M. Strus misses 2-pt jump shot from 6 ft,,1,20,17,3,473.0
4:06.0, ,17-20,Offensive rebound by M. Strus,,1,20,17,3,474.0
4:06.0, ,17-20,Shooting foul by L. Dort (drawn by M. Strus),,1,20,17,3,474.0
4:06.0, ,17-21,M. Strus makes free throw 1 of 2,,1,21,17,4,474.0
4:06.0,T. Mann enters the game for L. Dort,17-21, ,,1,21,17,4,474.0
4:06.0, ,17-22,M. Strus makes free throw 2 of 2,,1,22,17,5,474.0
3:49.0,K. Williams makes 2-pt jump shot from 14 ft (assist by S. Gilgeous-Alexander),19-22, ,,1,22,19,3,491.0
3:35.0, ,19-22,Def 3 sec tech foul by Team,,1,22,19,3,505.0
3:35.0, ,19-23,J. Butler makes technical free throw,,1,23,19,4,505.0
3:25.0, ,19-23,Shooting foul by I. Joe (drawn by J. Butler),,1,23,19,4,515.0
3:25.0, ,19-24,J. Butler makes free throw 1 of 2,,1,24,19,5,515.0
3:25.0, ,19-25,J. Butler makes free throw 2 of 2,,1,25,19,6,515.0
3:04.0,K. Williams misses 3-pt jump shot from 26 ft,19-25, ,,1,25,19,6,536.0
3:01.0, ,19-25,Defensive rebound by J. Butler,,1,25,19,6,539.0
2:50.0, ,19-25,V. Oladipo misses 3-pt jump shot from 25 ft,,1,25,19,6,550.0
2:47.0, ,19-25,Offensive rebound by M. Strus,,1,25,19,6,553.0
2:35.0, ,19-27,V. Oladipo makes 2-pt jump shot from 13 ft,,1,27,19,8,565.0
2:22.0,Personal foul by V. Oladipo (drawn by S. Gilgeous-Alexander),19-27, ,,1,27,19,8,578.0
2:22.0, ,19-27,Miami full timeout,,1,27,19,8,578.0
2:22.0, ,19-27,D. Dedmon enters the game for J. Butler,,1,27,19,8,578.0
2:22.0, ,19-27,G. Vincent enters the game for O. Robinson,,1,27,19,8,578.0
2:15.0,J. Williams misses 2-pt jump shot from 11 ft,19-27, ,,1,27,19,8,585.0
2:13.0, ,19-27,Defensive rebound by D. Dedmon,,1,27,19,8,587.0
2:01.0, ,19-27,Turnover by G. Vincent (bad pass),,1,27,19,8,599.0
2:01.0,M. Muscala enters the game for J. Williams,19-27, ,,1,27,19,8,599.0
2:01.0,L. Waters enters the game for K. Williams,19-27, ,,1,27,19,8,599.0
1:47.0,L. Waters makes 3-pt jump shot from 27 ft (assist by I. Joe),22-27, ,,1,27,22,5,613.0
1:32.0, ,22-27,J. Cain misses 2-pt jump shot from 14 ft,,1,27,22,5,628.0
1:28.0,Defensive rebound by I. Joe,22-27, ,,1,27,22,5,632.0
1:14.0,T. Mann misses 3-pt jump shot from 25 ft,22-27, ,,1,27,22,5,646.0
1:11.0, ,22-27,Defensive rebound by D. Dedmon,,1,27,22,5,649.0
0:59.0, ,22-29,M. Strus makes 2-pt layup from 3 ft,,1,29,22,7,661.0
0:50.0,Def 3 sec tech foul by Team,22-29, ,,1,29,22,7,670.0
0:50.0,S. Gilgeous-Alexander makes technical free throw,23-29, ,,1,29,23,6,670.0
0:38.0,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,23-29, ,,1,29,23,6,682.0
0:34.0, ,23-29,Defensive rebound by D. Dedmon,,1,29,23,6,686.0
0:28.0, ,23-29,Shooting foul by T. Mann (drawn by D. Dedmon),,1,29,23,6,692.0
0:28.0, ,23-30,D. Dedmon makes free throw 1 of 2,,1,30,23,7,692.0
0:28.0, ,23-31,D. Dedmon makes free throw 2 of 2,,1,31,23,8,692.0
0:25.0,Turnover by S. Gilgeous-Alexander (bad pass),23-31, ,,1,31,23,8,695.0
0:25.0,A. Wiggins enters the game for I. Joe,23-31, ,,1,31,23,8,695.0
0:25.0,K. Williams enters the game for T. Mann,23-31, ,,1,31,23,8,695.0
0:05.0, ,23-31,M. Strus misses 2-pt jump shot from 13 ft,,1,31,23,8,715.0
0:04.0,Defensive rebound by L. Waters,23-31, ,,1,31,23,8,716.0
0:00.0,Shooting foul by M. Strus (drawn by L. Waters),23-31, ,,1,31,23,8,720.0
0:00.0,L. Waters makes free throw 1 of 3,24-31, ,,1,31,24,7,720.0
0:00.0,L. Waters makes free throw 2 of 3,25-31, ,,1,31,25,6,720.0
0:00.0,L. Waters makes free throw 3 of 3,26-31, ,,1,31,26,5,720.0
0:00.0,End of 1st quarter,26-31,,,1,31,26,5,720.0
12:00.0,Start of 2nd quarter,26-31,,,2,31,26,5,720.0
11:44.0,L. Waters misses 3-pt jump shot from 27 ft,26-31, ,,2,31,26,5,736.0
11:39.0, ,26-31,Defensive rebound by G. Vincent,,2,31,26,5,741.0
11:18.0, ,26-31,M. Strus misses 3-pt jump shot from 30 ft,,2,31,26,5,762.0
11:13.0,Defensive rebound by L. Waters,26-31, ,,2,31,26,5,767.0
11:00.0,J. Giddey misses 2-pt layup from 4 ft,26-31, ,,2,31,26,5,780.0
10:57.0, ,26-31,Defensive rebound by G. Vincent,,2,31,26,5,783.0
10:48.0, ,26-31,G. Vincent misses 2-pt jump shot from 8 ft,,2,31,26,5,792.0
10:48.0, ,26-31,Offensive rebound by J. Cain,,2,31,26,5,792.0
10:48.0, ,26-33,J. Cain makes 2-pt layup from 2 ft,,2,33,26,7,792.0
10:48.0, ,26-33,Shooting foul by L. Waters (drawn by J. Cain),,2,33,26,7,792.0
10:48.0, ,26-34,J. Cain makes free throw 1 of 1,,2,34,26,8,792.0
10:35.0,K. Williams makes 2-pt dunk from 1 ft (assist by J. Giddey),28-34, ,,2,34,28,6,805.0
10:09.0, ,28-37,V. Oladipo makes 3-pt jump shot from 25 ft,,2,37,28,9,831.0
9:54.0,K. Williams makes 2-pt layup from 2 ft (assist by J. Giddey),30-37, ,,2,37,30,7,846.0
9:36.0, ,30-37,Turnover by V. Oladipo (bad pass; steal by K. Williams),,2,37,30,7,864.0
9:26.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Williams),32-37, ,,2,37,32,5,874.0
9:25.0, ,32-37,Miami full timeout,,2,37,32,5,875.0
9:25.0,E. Omoruyi enters the game for M. Muscala,32-37, ,,2,37,32,5,875.0
9:25.0, ,32-37,O. Robinson enters the game for D. Dedmon,,2,37,32,5,875.0
9:15.0, ,32-37,D. Dedmon ejected from game,,2,37,32,5,885.0
9:15.0, ,32-37,Technical foul by D. Dedmon,,2,37,32,5,885.0
9:15.0,L. Waters misses technical free throw,32-37, ,,2,37,32,5,885.0
9:15.0, ,32-37,Defensive rebound by Team,,2,37,32,5,885.0
9:02.0, ,32-40,M. Strus makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,2,40,32,8,898.0
8:47.0,K. Williams makes 2-pt layup from 5 ft (assist by J. Giddey),34-40, ,,2,40,34,6,913.0
8:28.0, ,34-40,M. Strus misses 3-pt jump shot from 26 ft,,2,40,34,6,932.0
8:23.0,Defensive rebound by K. Williams,34-40, ,,2,40,34,6,937.0
8:19.0,A. Wiggins misses 3-pt jump shot from 24 ft,34-40, ,,2,40,34,6,941.0
8:16.0, ,34-40,Defensive rebound by O. Robinson,,2,40,34,6,944.0
8:09.0, ,34-40,Shooting foul by A. Wiggins (drawn by J. Cain),,2,40,34,6,951.0
8:09.0, ,34-41,J. Cain makes free throw 1 of 2,,2,41,34,7,951.0
8:09.0,L. Dort enters the game for L. Waters,34-41, ,,2,41,34,7,951.0
8:09.0, ,34-41,J. Butler enters the game for G. Vincent,,2,41,34,7,951.0
8:09.0, ,34-42,J. Cain makes free throw 2 of 2,,2,42,34,8,951.0
7:55.0,J. Giddey misses 3-pt jump shot from 27 ft,34-42, ,,2,42,34,8,965.0
7:53.0, ,34-42,Defensive rebound by Team,,2,42,34,8,967.0
7:41.0, ,34-42,J. Cain misses 2-pt layup from 3 ft (block by J. Giddey),,2,42,34,8,979.0
7:38.0, ,34-42,Offensive rebound by Team,,2,42,34,8,982.0
7:38.0,Jump ball: J. Cain vs. J. Giddey (M. Strus gains possession),34-42,,,2,42,34,8,982.0
7:27.0, ,34-42,J. Butler misses 2-pt jump shot from 16 ft,,2,42,34,8,993.0
7:24.0,Defensive rebound by L. Dort,34-42, ,,2,42,34,8,996.0
7:13.0,A. Wiggins misses 3-pt jump shot from 23 ft,34-42, ,,2,42,34,8,1007.0
7:09.0,Offensive rebound by E. Omoruyi,34-42, ,,2,42,34,8,1011.0
7:06.0,A. Wiggins makes 2-pt layup from 2 ft (assist by E. Omoruyi),36-42, ,,2,42,36,6,1014.0
6:48.0, ,36-42,Shooting foul by A. Wiggins (drawn by J. Butler),,2,42,36,6,1032.0
6:48.0, ,36-43,J. Butler makes free throw 1 of 2,,2,43,36,7,1032.0
6:48.0,S. Gilgeous-Alexander enters the game for J. Giddey,36-43, ,,2,43,36,7,1032.0
6:48.0, ,36-43,G. Vincent enters the game for V. Oladipo,,2,43,36,7,1032.0
6:48.0, ,36-44,J. Butler makes free throw 2 of 2,,2,44,36,8,1032.0
6:48.0,I. Joe enters the game for A. Wiggins,36-44, ,,2,44,36,8,1032.0
6:26.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,38-44, ,,2,44,38,6,1054.0
6:12.0, ,38-44,G. Vincent misses 2-pt jump shot from 8 ft,,2,44,38,6,1068.0
6:12.0, ,38-44,Offensive rebound by J. Butler,,2,44,38,6,1068.0
6:12.0, ,38-44,Shooting foul by L. Dort (drawn by J. Butler),,2,44,38,6,1068.0
6:12.0, ,38-45,J. Butler makes free throw 1 of 2,,2,45,38,7,1068.0
6:12.0, ,38-46,J. Butler makes free throw 2 of 2,,2,46,38,8,1068.0
6:03.0,S. Gilgeous-Alexander makes 2-pt jump shot from 8 ft,40-46, ,,2,46,40,6,1077.0
5:51.0, ,40-46,Turnover by G. Vincent (bad pass; steal by S. Gilgeous-Alexander),,2,46,40,6,1089.0
5:47.0,Turnover by L. Dort (bad pass; steal by J. Butler),40-46, ,,2,46,40,6,1093.0
5:40.0, ,40-49,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,49,40,9,1100.0
5:30.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,42-49, ,,2,49,42,7,1110.0
5:30.0,Shooting foul by O. Robinson (drawn by S. Gilgeous-Alexander),42-49, ,,2,49,42,7,1110.0
5:30.0, ,42-49,H. Highsmith enters the game for J. Cain,,2,49,42,7,1110.0
5:30.0,S. Gilgeous-Alexander makes free throw 1 of 1,43-49, ,,2,49,43,6,1110.0
5:23.0, ,43-49,G. Vincent misses 3-pt jump shot from 26 ft,,2,49,43,6,1117.0
5:18.0,Defensive rebound by I. Joe,43-49, ,,2,49,43,6,1122.0
5:01.0,L. Dort misses 2-pt jump shot from 7 ft,43-49, ,,2,49,43,6,1139.0
4:57.0,Offensive rebound by L. Dort,43-49, ,,2,49,43,6,1143.0
4:57.0,Shooting foul by O. Robinson (drawn by L. Dort),43-49, ,,2,49,43,6,1143.0
4:57.0,L. Dort misses free throw 1 of 2,43-49, ,,2,49,43,6,1143.0
4:57.0,Offensive rebound by Team,43-49, ,,2,49,43,6,1143.0
4:57.0,J. Williams enters the game for K. Williams,43-49, ,,2,49,43,6,1143.0
4:57.0, ,43-49,V. Oladipo enters the game for M. Strus,,2,49,43,6,1143.0
4:57.0,L. Dort makes free throw 2 of 2,44-49, ,,2,49,44,5,1143.0
4:35.0, ,44-49,H. Highsmith misses 2-pt jump shot from 13 ft,,2,49,44,5,1165.0
4:31.0,Defensive rebound by L. Dort,44-49, ,,2,49,44,5,1169.0
4:23.0,L. Dort misses 3-pt jump shot from 23 ft,44-49, ,,2,49,44,5,1177.0
4:20.0, ,44-49,Defensive rebound by H. Highsmith,,2,49,44,5,1180.0
4:15.0, ,44-52,V. Oladipo makes 3-pt jump shot from 26 ft (assist by G. Vincent),,2,52,44,8,1185.0
4:13.0,Oklahoma City full timeout,44-52, ,,2,52,44,8,1187.0
4:13.0,M. Muscala enters the game for E. Omoruyi,44-52, ,,2,52,44,8,1187.0
4:02.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by O. Robinson),44-52, ,,2,52,44,8,1198.0
3:59.0, ,44-52,Defensive rebound by O. Robinson,,2,52,44,8,1201.0
3:48.0, ,44-52,J. Butler misses 2-pt layup from 5 ft,,2,52,44,8,1212.0
3:46.0, ,44-52,Offensive rebound by O. Robinson,,2,52,44,8,1214.0
3:44.0, ,44-54,O. Robinson makes 2-pt layup from 1 ft,,2,54,44,10,1216.0
3:31.0,M. Muscala makes 2-pt jump shot from 16 ft (assist by S. Gilgeous-Alexander),46-54, ,,2,54,46,8,1229.0
3:08.0, ,46-54,V. Oladipo misses 3-pt jump shot from 23 ft,,2,54,46,8,1252.0
3:07.0, ,46-54,Offensive rebound by Team,,2,54,46,8,1253.0
3:06.0, ,46-54,Turnover by Team (shot clock),,2,54,46,8,1254.0
2:54.0,I. Joe misses 3-pt jump shot from 25 ft,46-54, ,,2,54,46,8,1266.0
2:51.0, ,46-54,Defensive rebound by O. Robinson,,2,54,46,8,1269.0
2:48.0, ,46-54,Offensive foul by G. Vincent (drawn by L. Dort),,2,54,46,8,1272.0
2:48.0, ,46-54,Turnover by G. Vincent (offensive foul),,2,54,46,8,1272.0
2:48.0,J. Giddey enters the game for I. Joe,46-54, ,,2,54,46,8,1272.0
2:35.0,J. Williams makes 2-pt layup from 3 ft (assist by J. Giddey),48-54, ,,2,54,48,6,1285.0
2:22.0, ,48-54,Shooting foul by J. Giddey (drawn by J. Butler),,2,54,48,6,1298.0
2:22.0, ,48-55,J. Butler makes free throw 1 of 2,,2,55,48,7,1298.0
2:22.0, ,48-55,M. Strus enters the game for H. Highsmith,,2,55,48,7,1298.0
2:22.0, ,48-56,J. Butler makes free throw 2 of 2,,2,56,48,8,1298.0
2:15.0,Turnover by J. Giddey (bad pass),48-56, ,,2,56,48,8,1305.0
2:10.0, ,48-56,Turnover by J. Butler (traveling),,2,56,48,8,1310.0
2:01.0,Turnover by J. Giddey (bad pass; steal by M. Strus),48-56, ,,2,56,48,8,1319.0
1:57.0, ,48-56,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,2,56,48,8,1323.0
1:57.0, ,48-57,J. Butler makes free throw 1 of 2,,2,57,48,9,1323.0
1:57.0,A. Wiggins enters the game for L. Dort,48-57, ,,2,57,48,9,1323.0
1:57.0, ,48-58,J. Butler makes free throw 2 of 2,,2,58,48,10,1323.0
1:43.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,48-58, ,,2,58,48,10,1337.0
1:38.0, ,48-58,Defensive rebound by M. Strus,,2,58,48,10,1342.0
1:26.0, ,48-58,Turnover by M. Strus (lost ball; steal by S. Gilgeous-Alexander),,2,58,48,10,1354.0
1:21.0,Shooting foul by O. Robinson (drawn by S. Gilgeous-Alexander),48-58, ,,2,58,48,10,1359.0
1:21.0,S. Gilgeous-Alexander makes free throw 1 of 2,49-58, ,,2,58,49,9,1359.0
1:21.0, ,49-58,J. Cain enters the game for O. Robinson,,2,58,49,9,1359.0
1:21.0,S. Gilgeous-Alexander makes free throw 2 of 2,50-58, ,,2,58,50,8,1359.0
1:03.0, ,50-60,G. Vincent makes 2-pt jump shot from 7 ft,,2,60,50,10,1377.0
1:03.0, ,50-60,Shooting foul by A. Wiggins (drawn by G. Vincent),,2,60,50,10,1377.0
1:03.0,I. Joe enters the game for A. Wiggins,50-60, ,,2,60,50,10,1377.0
1:03.0, ,50-61,G. Vincent makes free throw 1 of 1,,2,61,50,11,1377.0
0:57.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,52-61, ,,2,61,52,9,1383.0
0:57.0,Shooting foul by V. Oladipo (drawn by S. Gilgeous-Alexander),52-61, ,,2,61,52,9,1383.0
0:57.0,S. Gilgeous-Alexander makes free throw 1 of 1,53-61, ,,2,61,53,8,1383.0
0:48.0, ,53-61,Turnover by V. Oladipo (bad pass; steal by M. Muscala),,2,61,53,8,1392.0
0:39.0,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft,56-61, ,,2,61,56,5,1401.0
0:29.0, ,56-61,Shooting foul by J. Williams (drawn by J. Butler),,2,61,56,5,1411.0
0:29.0, ,56-62,J. Butler makes free throw 1 of 2,,2,62,56,6,1411.0
0:29.0, ,56-62,H. Highsmith enters the game for V. Oladipo,,2,62,56,6,1411.0
0:29.0, ,56-63,J. Butler makes free throw 2 of 2,,2,63,56,7,1411.0
0:24.0,Offensive foul by J. Giddey (drawn by H. Highsmith),56-63, ,,2,63,56,7,1416.0
0:24.0,Turnover by J. Giddey (offensive foul),56-63, ,,2,63,56,7,1416.0
0:24.0,A. Wiggins enters the game for J. Giddey,56-63, ,,2,63,56,7,1416.0
0:24.0,K. Williams enters the game for I. Joe,56-63, ,,2,63,56,7,1416.0
0:04.0, ,56-63,M. Strus misses 3-pt jump shot from 23 ft,,2,63,56,7,1436.0
0:02.0,Defensive rebound by M. Muscala,56-63, ,,2,63,56,7,1438.0
0:00.0,J. Williams misses 3-pt jump shot from 35 ft,56-63, ,,2,63,56,7,1440.0
0:00.0,Offensive rebound by Team,56-63, ,,2,63,56,7,1440.0
0:00.0,End of 2nd quarter,56-63,,,2,63,56,7,1440.0
12:00.0,Start of 3rd quarter,56-63,,,3,63,56,7,1440.0
11:46.0,Shooting foul by O. Robinson (drawn by J. Williams),56-63, ,,3,63,56,7,1454.0
11:46.0,J. Williams makes free throw 1 of 2,57-63, ,,3,63,57,6,1454.0
11:46.0,J. Williams misses free throw 2 of 2,57-63, ,,3,63,57,6,1454.0
11:43.0, ,57-63,Defensive rebound by J. Butler,,3,63,57,6,1457.0
11:27.0, ,57-63,H. Highsmith misses 3-pt jump shot from 26 ft,,3,63,57,6,1473.0
11:22.0,Defensive rebound by J. Giddey,57-63, ,,3,63,57,6,1478.0
11:13.0,K. Williams makes 3-pt jump shot from 24 ft (assist by J. Giddey),60-63, ,,3,63,60,3,1487.0
10:54.0, ,60-63,M. Strus misses 2-pt jump shot from 5 ft,,3,63,60,3,1506.0
10:50.0, ,60-63,Offensive rebound by M. Strus,,3,63,60,3,1510.0
10:45.0, ,60-63,Shooting foul by J. Williams (drawn by G. Vincent),,3,63,60,3,1515.0
10:45.0, ,60-64,G. Vincent makes free throw 1 of 2,,3,64,60,4,1515.0
10:45.0, ,60-64,J. Cain enters the game for O. Robinson,,3,64,60,4,1515.0
10:45.0, ,60-65,G. Vincent makes free throw 2 of 2,,3,65,60,5,1515.0
10:32.0,J. Giddey misses 3-pt jump shot from 23 ft,60-65, ,,3,65,60,5,1528.0
10:31.0,Offensive rebound by K. Williams,60-65, ,,3,65,60,5,1529.0
10:30.0,K. Williams makes 2-pt layup at rim,62-65, ,,3,65,62,3,1530.0
10:05.0, ,62-65,G. Vincent misses 3-pt jump shot from 28 ft,,3,65,62,3,1555.0
10:02.0, ,62-65,Offensive rebound by J. Cain,,3,65,62,3,1558.0
10:00.0, ,62-68,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Cain),,3,68,62,6,1560.0
9:46.0,L. Dort misses 3-pt jump shot from 25 ft,62-68, ,,3,68,62,6,1574.0
9:42.0,Offensive rebound by J. Giddey,62-68, ,,3,68,62,6,1578.0
9:39.0,J. Giddey makes 2-pt hook shot from 8 ft,64-68, ,,3,68,64,4,1581.0
9:27.0, ,64-68,J. Butler misses 2-pt jump shot from 3 ft,,3,68,64,4,1593.0
9:25.0, ,64-68,Offensive rebound by Team,,3,68,64,4,1595.0
9:19.0, ,64-70,M. Strus makes 2-pt layup from 5 ft,,3,70,64,6,1601.0
9:14.0,Personal foul by M. Strus (drawn by J. Giddey),64-70, ,,3,70,64,6,1606.0
9:12.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by J. Giddey),66-70, ,,3,70,66,4,1608.0
8:58.0, ,66-70,Shooting foul by J. Giddey (drawn by G. Vincent),,3,70,66,4,1622.0
8:58.0, ,66-71,G. Vincent makes free throw 1 of 2,,3,71,66,5,1622.0
8:58.0, ,66-72,G. Vincent makes free throw 2 of 2,,3,72,66,6,1622.0
8:45.0,L. Dort makes 2-pt layup from 3 ft (assist by J. Williams),68-72, ,,3,72,68,4,1635.0
8:22.0, ,68-72,H. Highsmith misses 3-pt jump shot from 25 ft,,3,72,68,4,1658.0
8:19.0,Defensive rebound by K. Williams,68-72, ,,3,72,68,4,1661.0
8:14.0,J. Williams makes 2-pt jump shot from 6 ft,70-72, ,,3,72,70,2,1666.0
8:02.0, ,70-74,J. Butler makes 2-pt jump shot from 5 ft,,3,74,70,4,1678.0
7:36.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by J. Butler),70-74, ,,3,74,70,4,1704.0
7:32.0, ,70-74,Offensive foul by G. Vincent (drawn by K. Williams),,3,74,70,4,1708.0
7:32.0, ,70-74,Turnover by G. Vincent (offensive foul),,3,74,70,4,1708.0
7:25.0,Turnover by J. Giddey (lost ball),70-74, ,,3,74,70,4,1715.0
7:24.0,Loose ball foul by J. Giddey (drawn by J. Cain),70-74, ,,3,74,70,4,1716.0
7:14.0, ,70-74,Offensive foul by J. Cain (drawn by S. Gilgeous-Alexander),,3,74,70,4,1726.0
