Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:14.0, ,16-10,U. Haslem misses 2-pt layup from 1 ft,,1,10,16,-6,286.0
7:11.0,Defensive rebound by F. Wagner,16-10, ,,1,10,16,-6,289.0
7:08.0,M. Fultz misses 3-pt jump shot from 26 ft,16-10, ,,1,10,16,-6,292.0
7:05.0, ,16-10,Defensive rebound by U. Haslem,,1,10,16,-6,295.0
6:56.0, ,16-10,B. Adebayo misses 2-pt layup from 2 ft,,1,10,16,-6,304.0
6:54.0,Defensive rebound by W. Carter,16-10, ,,1,10,16,-6,306.0
6:49.0,C. Houstan misses 3-pt jump shot from 26 ft,16-10, ,,1,10,16,-6,311.0
6:46.0,Offensive rebound by J. Suggs,16-10, ,,1,10,16,-6,314.0
6:44.0,W. Carter misses 3-pt jump shot from 23 ft,16-10, ,,1,10,16,-6,316.0
6:39.0,Offensive rebound by J. Suggs,16-10, ,,1,10,16,-6,321.0
6:27.0,J. Suggs misses 2-pt jump shot from 11 ft (block by M. Strus),16-10, ,,1,10,16,-6,333.0
6:24.0,Offensive rebound by J. Suggs,16-10, ,,1,10,16,-6,336.0
6:20.0,J. Suggs misses 2-pt jump shot from 11 ft,16-10, ,,1,10,16,-6,340.0
6:18.0, ,16-10,Defensive rebound by U. Haslem,,1,10,16,-6,342.0
6:13.0, ,16-12,U. Haslem makes 2-pt layup from 2 ft (assist by T. Herro),,1,12,16,-4,347.0
6:00.0,M. Fultz misses 2-pt jump shot from 12 ft,16-12, ,,1,12,16,-4,360.0
5:58.0, ,16-12,Defensive rebound by G. Vincent,,1,12,16,-4,362.0
5:47.0, ,16-12,U. Haslem misses 3-pt jump shot from 26 ft,,1,12,16,-4,373.0
5:43.0,Defensive rebound by M. Fultz,16-12, ,,1,12,16,-4,377.0
5:36.0,F. Wagner misses 3-pt jump shot from 26 ft,16-12, ,,1,12,16,-4,384.0
5:36.0, ,16-12,Defensive rebound by T. Herro,,1,12,16,-4,384.0
5:22.0, ,16-12,U. Haslem misses 3-pt jump shot from 23 ft,,1,12,16,-4,398.0
5:18.0, ,16-12,Offensive rebound by B. Adebayo,,1,12,16,-4,402.0
5:15.0, ,16-12,G. Vincent misses 3-pt jump shot from 23 ft,,1,12,16,-4,405.0
5:10.0, ,16-12,Offensive rebound by B. Adebayo,,1,12,16,-4,410.0
5:09.0, ,16-15,U. Haslem makes 3-pt jump shot from 26 ft (assist by M. Strus),,1,15,16,-1,411.0
5:06.0,Orlando full timeout,16-15, ,,1,15,16,-1,414.0
5:06.0,G. Bitadze enters the game for W. Carter,16-15, ,,1,15,16,-1,414.0
5:06.0,M. Carter-Williams enters the game for M. Fultz,16-15, ,,1,15,16,-1,414.0
5:06.0,K. Harris enters the game for J. Suggs,16-15, ,,1,15,16,-1,414.0
5:06.0,C. Okeke enters the game for F. Wagner,16-15, ,,1,15,16,-1,414.0
4:53.0,K. Harris misses 2-pt layup from 4 ft,16-15, ,,1,15,16,-1,427.0
4:53.0, ,16-15,Defensive rebound by Team,,1,15,16,-1,427.0
4:53.0,Loose ball foul by G. Bitadze (drawn by T. Herro),16-15, ,,1,15,16,-1,427.0
4:53.0, ,16-15,K. Lowry enters the game for G. Vincent,,1,15,16,-1,427.0
4:32.0, ,16-17,U. Haslem makes 2-pt jump shot from 14 ft (assist by T. Herro),Lead change,1,17,16,1,448.0
4:12.0,C. Okeke misses 3-pt jump shot from 27 ft,16-17, ,,1,17,16,1,468.0
4:08.0,Offensive rebound by G. Bitadze,16-17, ,,1,17,16,1,472.0
4:08.0, ,16-17,K. Love enters the game for B. Adebayo,,1,17,16,1,472.0
4:02.0,C. Houstan misses 2-pt jump shot from 18 ft,16-17, ,,1,17,16,1,478.0
3:58.0, ,16-17,Defensive rebound by K. Love,,1,17,16,1,482.0
3:51.0, ,16-19,U. Haslem makes 2-pt jump shot from 14 ft (assist by M. Strus),,1,19,16,3,489.0
3:29.0,C. Houstan misses 3-pt jump shot from 25 ft,16-19, ,,1,19,16,3,511.0
3:25.0,Offensive rebound by G. Bitadze,16-19, ,,1,19,16,3,515.0
3:23.0,C. Okeke misses 3-pt jump shot from 26 ft,16-19, ,,1,19,16,3,517.0
3:20.0, ,16-19,Defensive rebound by Team,,1,19,16,3,520.0
3:20.0, ,16-19,D. Robinson enters the game for T. Herro,,1,19,16,3,520.0
3:05.0, ,16-21,U. Haslem makes 2-pt jump shot from 11 ft,,1,21,16,5,535.0
2:54.0,Offensive foul by M. Carter-Williams (drawn by U. Haslem),16-21, ,,1,21,16,5,546.0
2:54.0,Turnover by M. Carter-Williams (offensive foul),16-21, ,,1,21,16,5,546.0
2:54.0, ,16-21,Miami full timeout,,1,21,16,5,546.0
2:54.0,B. Bol enters the game for C. Houstan,16-21, ,,1,21,16,5,546.0
2:31.0, ,16-21,U. Haslem misses 2-pt jump shot from 17 ft,,1,21,16,5,569.0
2:30.0,Defensive rebound by Team,16-21, ,,1,21,16,5,570.0
2:17.0,K. Harris makes 3-pt jump shot from 27 ft (assist by B. Bol),19-21, ,,1,21,19,2,583.0
2:00.0, ,19-21,D. Robinson misses 3-pt jump shot from 26 ft,,1,21,19,2,600.0
1:57.0,Defensive rebound by B. Bol,19-21, ,,1,21,19,2,603.0
1:53.0,M. Carter-Williams misses 2-pt layup from 6 ft,19-21, ,,1,21,19,2,607.0
1:51.0, ,19-21,Defensive rebound by K. Love,,1,21,19,2,609.0
1:32.0, ,19-21,K. Love misses 3-pt jump shot from 27 ft,,1,21,19,2,628.0
1:28.0,Defensive rebound by G. Bitadze,19-21, ,,1,21,19,2,632.0
1:22.0,Personal foul by U. Haslem (drawn by M. Carter-Williams),19-21, ,,1,21,19,2,638.0
1:22.0, ,19-21,C. Martin enters the game for M. Strus,,1,21,19,2,638.0
1:12.0,K. Harris makes 2-pt layup from 5 ft,21-21, ,Tie,1,21,21,0,648.0
0:59.0, ,21-21,Turnover by K. Lowry (bad pass; steal by C. Okeke),,1,21,21,0,661.0
0:57.0,Personal foul by D. Robinson (drawn by K. Harris),21-21, ,,1,21,21,0,663.0
0:57.0,K. Harris makes free throw 1 of 2,22-21, ,Lead change,1,21,22,-1,663.0
0:57.0,K. Harris misses free throw 2 of 2,22-21, ,,1,21,22,-1,663.0
0:55.0,Offensive rebound by K. Harris,22-21, ,,1,21,22,-1,665.0
0:46.0,Turnover by M. Carter-Williams (bad pass; steal by C. Martin),22-21, ,,1,21,22,-1,674.0
0:42.0, ,22-23,U. Haslem makes 2-pt dunk from 4 ft (assist by D. Robinson),Lead change,1,23,22,1,678.0
0:32.0,M. Carter-Williams makes 2-pt jump shot from 9 ft,24-23, ,Lead change,1,23,24,-1,688.0
0:32.0,Shooting foul by U. Haslem (drawn by M. Carter-Williams),24-23, ,,1,23,24,-1,688.0
0:32.0,M. Carter-Williams misses free throw 1 of 1,24-23, ,,1,23,24,-1,688.0
0:30.0, ,24-23,Defensive rebound by K. Love,,1,23,24,-1,690.0
0:21.0, ,24-23,U. Haslem misses 2-pt jump shot from 15 ft,,1,23,24,-1,699.0
0:18.0,Defensive rebound by B. Bol,24-23, ,,1,23,24,-1,702.0
0:04.0,G. Bitadze misses 2-pt hook shot from 7 ft,24-23, ,,1,23,24,-1,716.0
0:02.0, ,24-23,Defensive rebound by K. Love,,1,23,24,-1,718.0
0:00.0, ,24-23,D. Robinson misses 3-pt jump shot from 32 ft,,1,23,24,-1,720.0
0:00.0, ,24-23,Offensive rebound by Team,,1,23,24,-1,720.0
0:00.0,End of 1st quarter,24-23,,,1,23,24,-1,720.0
12:00.0,Start of 2nd quarter,24-23,,,2,23,24,-1,720.0
11:37.0,A. Schofield misses 3-pt jump shot from 23 ft,24-23, ,,2,23,24,-1,743.0
11:32.0,Offensive rebound by G. Bitadze,24-23, ,,2,23,24,-1,748.0
11:29.0,G. Bitadze makes 2-pt hook shot from 5 ft,26-23, ,,2,23,26,-3,751.0
11:14.0, ,26-25,K. Love makes 2-pt jump shot from 8 ft (assist by C. Zeller),,2,25,26,-1,766.0
10:58.0,C. Okeke makes 3-pt jump shot from 25 ft (assist by A. Schofield),29-25, ,,2,25,29,-4,782.0
10:42.0, ,29-25,D. Robinson misses 3-pt jump shot from 27 ft,,2,25,29,-4,798.0
10:40.0,Defensive rebound by G. Bitadze,29-25, ,,2,25,29,-4,800.0
10:35.0,B. Bol misses 3-pt jump shot from 26 ft,29-25, ,,2,25,29,-4,805.0
10:28.0, ,29-25,Defensive rebound by C. Martin,,2,25,29,-4,812.0
10:19.0, ,29-25,K. Lowry misses 3-pt jump shot from 23 ft,,2,25,29,-4,821.0
10:17.0,Defensive rebound by K. Harris,29-25, ,,2,25,29,-4,823.0
10:06.0,C. Okeke misses 3-pt jump shot from 26 ft,29-25, ,,2,25,29,-4,834.0
10:02.0, ,29-25,Defensive rebound by Team,,2,25,29,-4,838.0
9:46.0, ,29-28,K. Love makes 3-pt jump shot from 26 ft (assist by C. Zeller),,2,28,29,-1,854.0
9:31.0,K. Harris makes 3-pt jump shot from 24 ft (assist by B. Bol),32-28, ,,2,28,32,-4,869.0
9:14.0, ,32-28,D. Robinson misses 3-pt jump shot from 26 ft,,2,28,32,-4,886.0
9:13.0, ,32-28,Offensive rebound by Team,,2,28,32,-4,887.0
9:13.0,Loose ball foul by G. Bitadze (drawn by C. Zeller),32-28, ,,2,28,32,-4,887.0
9:13.0,W. Carter enters the game for G. Bitadze,32-28, ,,2,28,32,-4,887.0
9:13.0,J. Suggs enters the game for K. Harris,32-28, ,,2,28,32,-4,887.0
9:13.0,F. Wagner enters the game for C. Okeke,32-28, ,,2,28,32,-4,887.0
9:02.0, ,32-28,C. Martin misses 3-pt jump shot from 26 ft,,2,28,32,-4,898.0
8:59.0,Defensive rebound by F. Wagner,32-28, ,,2,28,32,-4,901.0
8:51.0,A. Schofield makes 2-pt layup from 5 ft (assist by F. Wagner),34-28, ,,2,28,34,-6,909.0
8:44.0, ,34-30,C. Martin makes 2-pt jump shot from 20 ft (assist by K. Lowry),,2,30,34,-4,916.0
8:24.0,F. Wagner misses 2-pt hook shot from 6 ft,34-30, ,,2,30,34,-4,936.0
8:23.0, ,34-30,Defensive rebound by D. Robinson,,2,30,34,-4,937.0
8:08.0, ,34-33,K. Love makes 3-pt jump shot from 27 ft (assist by K. Lowry),,2,33,34,-1,952.0
7:49.0,A. Schofield misses 3-pt jump shot from 23 ft,34-33, ,,2,33,34,-1,971.0
7:46.0, ,34-33,Defensive rebound by K. Lowry,,2,33,34,-1,974.0
7:39.0, ,34-33,K. Love misses 3-pt jump shot from 28 ft,,2,33,34,-1,981.0
7:35.0,Defensive rebound by A. Schofield,34-33, ,,2,33,34,-1,985.0
7:18.0,A. Schofield misses 3-pt jump shot from 24 ft,34-33, ,,2,33,34,-1,1002.0
7:15.0, ,34-33,Defensive rebound by K. Love,,2,33,34,-1,1005.0
7:11.0, ,34-36,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),Lead change,2,36,34,2,1009.0
7:08.0,Orlando full timeout,34-36, ,,2,36,34,2,1012.0
7:08.0,C. Houstan enters the game for A. Schofield,34-36, ,,2,36,34,2,1012.0
7:08.0, ,34-36,H. Highsmith enters the game for K. Love,,2,36,34,2,1012.0
7:08.0, ,34-36,V. Oladipo enters the game for K. Lowry,,2,36,34,2,1012.0
6:50.0,C. Houstan misses 3-pt jump shot from 23 ft,34-36, ,,2,36,34,2,1030.0
6:47.0, ,34-36,Defensive rebound by C. Zeller,,2,36,34,2,1033.0
6:33.0, ,34-36,Shooting foul by W. Carter (drawn by C. Zeller),,2,36,34,2,1047.0
6:33.0, ,34-36,C. Zeller misses free throw 1 of 2,,2,36,34,2,1047.0
6:33.0, ,34-36,Offensive rebound by Team,,2,36,34,2,1047.0
6:33.0, ,34-36,C. Zeller misses free throw 2 of 2,,2,36,34,2,1047.0
6:32.0,Defensive rebound by B. Bol,34-36, ,,2,36,34,2,1048.0
6:29.0,Turnover by F. Wagner (bad pass; steal by C. Martin),34-36, ,,2,36,34,2,1051.0
6:27.0, ,34-36,Turnover by C. Martin (bad pass; steal by B. Bol),,2,36,34,2,1053.0
6:15.0,B. Bol misses 3-pt jump shot from 24 ft,34-36, ,,2,36,34,2,1065.0
6:13.0, ,34-36,Defensive rebound by C. Zeller,,2,36,34,2,1067.0
6:00.0, ,34-36,Turnover by H. Highsmith (bad pass),,2,36,34,2,1080.0
5:48.0,J. Suggs makes 2-pt layup from 6 ft,36-36, ,Tie,2,36,36,0,1092.0
5:39.0, ,36-38,D. Robinson makes 2-pt jump shot from 11 ft (assist by V. Oladipo),,2,38,36,2,1101.0
5:27.0,Shooting foul by C. Zeller (drawn by F. Wagner),36-38, ,,2,38,36,2,1113.0
5:27.0,F. Wagner makes free throw 1 of 2,37-38, ,,2,38,37,1,1113.0
5:27.0,F. Wagner makes free throw 2 of 2,38-38, ,Tie,2,38,38,0,1113.0
5:17.0, ,38-38,Turnover by V. Oladipo (bad pass),,2,38,38,0,1123.0
5:17.0,K. Harris enters the game for W. Carter,38-38, ,,2,38,38,0,1123.0
5:17.0,C. Okeke enters the game for C. Houstan,38-38, ,,2,38,38,0,1123.0
5:17.0,A. Schofield enters the game for F. Wagner,38-38, ,,2,38,38,0,1123.0
5:06.0,Personal foul by C. Zeller (drawn by K. Harris),38-38, ,,2,38,38,0,1134.0
5:06.0,C. Houstan enters the game for J. Suggs,38-38, ,,2,38,38,0,1134.0
4:53.0,A. Schofield makes 2-pt layup from 6 ft (assist by B. Bol),40-38, ,Lead change,2,38,40,-2,1147.0
4:37.0, ,40-38,D. Robinson misses 3-pt jump shot from 28 ft,,2,38,40,-2,1163.0
4:34.0,Defensive rebound by K. Harris,40-38, ,,2,38,40,-2,1166.0
4:28.0,A. Schofield misses 3-pt jump shot from 25 ft,40-38, ,,2,38,40,-2,1172.0
4:24.0, ,40-38,Defensive rebound by V. Oladipo,,2,38,40,-2,1176.0
4:21.0, ,40-40,C. Zeller makes 2-pt dunk from 1 ft (assist by C. Martin),Tie,2,40,40,0,1179.0
4:04.0,K. Harris misses 2-pt jump shot from 6 ft,40-40, ,,2,40,40,0,1196.0
3:59.0,Offensive rebound by K. Harris,40-40, ,,2,40,40,0,1201.0
3:59.0,K. Harris makes 2-pt layup at rim,42-40, ,,2,40,42,-2,1201.0
3:47.0, ,42-43,V. Oladipo makes 3-pt jump shot from 25 ft,Lead change,2,43,42,1,1213.0
3:30.0,B. Bol misses 3-pt jump shot from 27 ft,42-43, ,,2,43,42,1,1230.0
3:28.0, ,42-43,Defensive rebound by H. Highsmith,,2,43,42,1,1232.0
3:24.0, ,42-45,D. Robinson makes 2-pt layup from 2 ft (assist by H. Highsmith),,2,45,42,3,1236.0
3:24.0, ,42-45,Shooting foul by B. Bol (drawn by D. Robinson),,2,45,42,3,1236.0
3:24.0,Orlando full timeout,42-45, ,,2,45,42,3,1236.0
3:24.0, ,42-45,U. Haslem enters the game for C. Martin,,2,45,42,3,1236.0
3:24.0, ,42-46,D. Robinson makes free throw 1 of 1,,2,46,42,4,1236.0
3:08.0,Personal foul by H. Highsmith (drawn by K. Harris),42-46, ,,2,46,42,4,1252.0
3:00.0,Turnover by A. Schofield (bad pass; steal by H. Highsmith),42-46, ,,2,46,42,4,1260.0
2:54.0, ,42-46,H. Highsmith misses 2-pt jump shot from 18 ft,,2,46,42,4,1266.0
2:51.0,Defensive rebound by C. Okeke,42-46, ,,2,46,42,4,1269.0
2:41.0,C. Okeke makes 3-pt jump shot from 24 ft (assist by B. Bol),45-46, ,,2,46,45,1,1279.0
2:19.0, ,45-46,D. Robinson misses 3-pt jump shot from 23 ft,,2,46,45,1,1301.0
2:16.0,Defensive rebound by B. Bol,45-46, ,,2,46,45,1,1304.0
2:11.0,Turnover by B. Bol (lost ball),45-46, ,,2,46,45,1,1309.0
2:11.0,Loose ball foul by B. Bol (drawn by H. Highsmith),45-46, ,,2,46,45,1,1309.0
2:11.0,G. Bitadze enters the game for B. Bol,45-46, ,,2,46,45,1,1309.0
1:54.0, ,45-46,U. Haslem misses 2-pt jump shot from 14 ft,,2,46,45,1,1326.0
1:51.0,Defensive rebound by G. Bitadze,45-46, ,,2,46,45,1,1329.0
1:32.0,Turnover by G. Bitadze (bad pass; steal by V. Oladipo),45-46, ,,2,46,45,1,1348.0
1:29.0, ,45-48,V. Oladipo makes 2-pt layup from 2 ft,,2,48,45,3,1351.0
1:10.0,Personal foul by V. Oladipo (drawn by K. Harris),45-48, ,,2,48,45,3,1370.0
1:02.0,C. Houstan makes 3-pt jump shot from 27 ft (assist by K. Harris),48-48, ,Tie,2,48,48,0,1378.0
0:46.0, ,48-48,V. Oladipo misses 2-pt jump shot from 19 ft,,2,48,48,0,1394.0
0:46.0, ,48-48,Offensive rebound by C. Zeller,,2,48,48,0,1394.0
0:34.0, ,48-50,C. Zeller makes 2-pt layup from 3 ft (assist by V. Oladipo),,2,50,48,2,1406.0
0:19.0,C. Houstan misses 3-pt jump shot from 23 ft,48-50, ,,2,50,48,2,1421.0
0:17.0, ,48-50,Defensive rebound by C. Zeller,,2,50,48,2,1423.0
0:17.0, ,48-50,Personal foul by C. Houstan (drawn by C. Zeller),,2,50,48,2,1423.0
0:17.0, ,48-51,C. Zeller makes free throw 1 of 2,,2,51,48,3,1423.0
0:17.0, ,48-52,C. Zeller makes free throw 2 of 2,,2,52,48,4,1423.0
0:01.0,A. Schofield makes 2-pt layup from 3 ft,50-52, ,,2,52,50,2,1439.0
0:00.0,End of 2nd quarter,50-52,,,2,52,50,2,1440.0
12:00.0,Start of 3rd quarter,50-52,,,3,52,50,2,1440.0
11:44.0,Shooting foul by D. Robinson (drawn by C. Houstan),50-52, ,,3,52,50,2,1456.0
11:44.0,C. Houstan makes free throw 1 of 2,51-52, ,,3,52,51,1,1456.0
11:44.0,C. Houstan makes free throw 2 of 2,52-52, ,Tie,3,52,52,0,1456.0
11:27.0, ,52-52,O. Yurtseven misses 3-pt jump shot from 26 ft,,3,52,52,0,1473.0
11:24.0,Defensive rebound by J. Suggs,52-52, ,,3,52,52,0,1476.0
11:19.0,Turnover by F. Wagner (discontinued dribble),52-52, ,,3,52,52,0,1481.0
11:11.0, ,52-54,V. Oladipo makes 2-pt jump shot from 18 ft,,3,54,52,2,1489.0
10:58.0,M. Fultz makes 3-pt jump shot from 26 ft (assist by C. Houstan),55-54, ,Lead change,3,54,55,-1,1502.0
10:42.0, ,55-57,V. Oladipo makes 3-pt jump shot from 25 ft,Lead change,3,57,55,2,1518.0
10:33.0,J. Suggs makes 3-pt jump shot from 25 ft (assist by M. Fultz),58-57, ,Lead change,3,57,58,-1,1527.0
10:18.0, ,58-57,H. Highsmith misses 3-pt jump shot from 28 ft,,3,57,58,-1,1542.0
10:15.0,Defensive rebound by J. Suggs,58-57, ,,3,57,58,-1,1545.0
10:10.0,M. Fultz misses 3-pt jump shot from 27 ft,58-57, ,,3,57,58,-1,1550.0
10:09.0, ,58-57,Defensive rebound by Team,,3,57,58,-1,1551.0
9:58.0, ,58-57,V. Oladipo misses 2-pt layup from 3 ft,,3,57,58,-1,1562.0
9:56.0,Defensive rebound by J. Suggs,58-57, ,,3,57,58,-1,1564.0
9:44.0,Turnover by F. Wagner (out of bounds lost ball),58-57, ,,3,57,58,-1,1576.0
9:24.0, ,58-57,U. Haslem misses 3-pt jump shot from 23 ft,,3,57,58,-1,1596.0
9:19.0, ,58-57,Offensive rebound by H. Highsmith,,3,57,58,-1,1601.0
9:18.0, ,58-59,H. Highsmith makes 2-pt layup from 3 ft,Lead change,3,59,58,1,1602.0
9:08.0,C. Houstan makes 3-pt jump shot from 24 ft (assist by J. Suggs),61-59, ,Lead change,3,59,61,-2,1612.0
8:51.0, ,61-61,D. Robinson makes 2-pt jump shot from 7 ft (assist by V. Oladipo),Tie,3,61,61,0,1629.0
8:31.0,F. Wagner misses 2-pt jump shot from 14 ft,61-61, ,,3,61,61,0,1649.0
8:29.0, ,61-61,Defensive rebound by D. Robinson,,3,61,61,0,1651.0
8:08.0, ,61-61,O. Yurtseven misses 3-pt jump shot from 23 ft (block by J. Suggs),,3,61,61,0,1672.0
8:05.0,Defensive rebound by F. Wagner,61-61, ,,3,61,61,0,1675.0
8:03.0,M. Fultz makes 2-pt dunk from 1 ft (assist by F. Wagner),63-61, ,,3,61,63,-2,1677.0
8:03.0,M. Carter-Williams enters the game for M. Fultz,63-61, ,,3,61,63,-2,1677.0
8:03.0,K. Harris enters the game for J. Suggs,63-61, ,,3,61,63,-2,1677.0
8:03.0,C. Okeke enters the game for F. Wagner,63-61, ,,3,61,63,-2,1677.0
7:41.0, ,63-61,Shooting foul by C. Houstan (drawn by D. Robinson),,3,61,63,-2,1699.0
7:41.0, ,63-62,D. Robinson makes free throw 1 of 3,,3,62,63,-1,1699.0
7:41.0, ,63-62,D. Robinson misses free throw 2 of 3,,3,62,63,-1,1699.0
7:41.0, ,63-62,Offensive rebound by Team,,3,62,63,-1,1699.0
7:41.0, ,63-63,D. Robinson makes free throw 3 of 3,Tie,3,63,63,0,1699.0
7:30.0,C. Okeke misses 2-pt jump shot from 10 ft,63-63, ,,3,63,63,0,1710.0
7:27.0, ,63-63,Defensive rebound by O. Yurtseven,,3,63,63,0,1713.0
7:17.0, ,63-66,D. Robinson makes 3-pt jump shot from 27 ft (assist by V. Oladipo),Lead change,3,66,63,3,1723.0
7:04.0,M. Carter-Williams makes 2-pt layup from 3 ft,65-66, ,,3,66,65,1,1736.0
6:51.0, ,65-66,U. Haslem misses 3-pt jump shot from 26 ft,,3,66,65,1,1749.0
6:46.0,Defensive rebound by W. Carter,65-66, ,,3,66,65,1,1754.0
6:31.0,Shooting foul by D. Robinson (drawn by K. Harris),65-66, ,,3,66,65,1,1769.0
6:31.0, ,65-66,Miami full timeout,,3,66,65,1,1769.0
6:31.0,G. Bitadze enters the game for W. Carter,65-66, ,,3,66,65,1,1769.0
6:31.0, ,65-66,J. Cain enters the game for D. Robinson,,3,66,65,1,1769.0
6:31.0,K. Harris misses free throw 1 of 2,65-66, ,,3,66,65,1,1769.0
6:31.0,Offensive rebound by Team,65-66, ,,3,66,65,1,1769.0
6:31.0,K. Harris makes free throw 2 of 2,66-66, ,Tie,3,66,66,0,1769.0
6:13.0, ,66-66,Turnover by U. Haslem (out of bounds lost ball),,3,66,66,0,1787.0
5:56.0,C. Okeke makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),68-66, ,Lead change,3,66,68,-2,1804.0
5:41.0, ,68-66,Turnover by V. Oladipo (bad pass; steal by M. Carter-Williams),,3,66,68,-2,1819.0
5:36.0,G. Bitadze makes 2-pt layup from 4 ft (assist by M. Carter-Williams),70-66, ,,3,66,70,-4,1824.0
5:22.0, ,70-66,O. Yurtseven misses 2-pt jump shot from 6 ft,,3,66,70,-4,1838.0
5:20.0,Defensive rebound by K. Harris,70-66, ,,3,66,70,-4,1840.0
5:08.0,Shooting foul by O. Yurtseven (drawn by C. Houstan),70-66, ,,3,66,70,-4,1852.0
5:08.0,C. Houstan misses free throw 1 of 2,70-66, ,,3,66,70,-4,1852.0
5:08.0,Offensive rebound by Team,70-66, ,,3,66,70,-4,1852.0
5:08.0,C. Houstan makes free throw 2 of 2,71-66, ,,3,66,71,-5,1852.0
4:55.0, ,71-69,J. Cain makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,3,69,71,-2,1865.0
4:35.0,M. Carter-Williams misses 3-pt jump shot from 26 ft,71-69, ,,3,69,71,-2,1885.0
4:33.0, ,71-69,Defensive rebound by O. Yurtseven,,3,69,71,-2,1887.0
4:17.0, ,71-72,J. Cain makes 3-pt jump shot from 27 ft (assist by V. Oladipo),Lead change,3,72,71,1,1903.0
4:01.0,K. Harris makes 3-pt jump shot from 23 ft (assist by C. Okeke),74-72, ,Lead change,3,72,74,-2,1919.0
3:36.0, ,74-72,V. Oladipo misses 3-pt jump shot from 27 ft,,3,72,74,-2,1944.0
3:33.0,Defensive rebound by K. Harris,74-72, ,,3,72,74,-2,1947.0
